Store Nbr,"Mixed BQT 
Double Bucket Wingstack Display","Mixed BQT 
Double Decker Pallet Display","Rose Lily
Double Bucket Wingstack Display",Small Bouquet Double Bucket Wingstack Display,"XL Premium Roses
Double Bucket Wingstack Display","XL Premium Roses
Pallet Display",TOTAL VALDAY PROMO DISPLAYS,Total WINGSTACK DISPLAYS,TOTAL PALLET DISPLAYS
641,,2,5,7,1,,33,17,16
642,1,1,3,,,3,39,26,13
643,2,2,3,,1,1,27,17,10
644,,2,2,1,,2,23,9,14
645,1,2,3,7,1,2,38,25,13
646,1,1,3,,,4,17,13,4
647,3,,1,,,2,15,9,6
648,,1,2,3,1,4,25,16,9
649,,2,4,,,2,30,17,13
651,3,,2,,,1,21,10,11
652,3,1,3,,,2,28,15,13
653,,1,6,,,3,30,19,11
655,1,1,3,,1,4,29,19,10
656,,1,2,,,2,22,12,10
657,1,2,3,,,4,33,21,12
658,1,3,3,5,,2,41,29,12
659,3,,2,,,1,16,6,10
660,2,1,,5,2,,37,17,20
661,,3,3,2,1,3,57,35,22
662,1,1,2,5,1,1,42,26,16
663,1,2,3,9,,4,44,33,11
664,,1,3,,,1,21,11,10
665,2,,2,,,1,22,15,7
666,,1,6,,,2,36,15,21
667,,1,2,,,1,22,12,10
668,3,2,3,4,1,3,58,41,17
669,,1,3,5,,,69,48,21
670,1,3,5,,,3,54,36,18
671,,2,2,4,1,4,46,25,21
672,,1,,5,1,1,31,17,14
673,1,3,,4,1,,45,29,16
674,1,2,3,5,1,1,43,30,13
675,3,2,3,,,4,33,23,10
676,3,,,,,1,27,20,7
677,,2,,,,2,27,12,15
678,3,1,3,,,,33,24,9
680,1,,,2,,4,32,24,8
681,3,1,,,,4,47,33,14
682,3,1,3,,,1,31,20,11
683,2,2,3,3,,1,41,28,13
684,,1,3,1,1,,42,30,12
685,3,1,,8,1,2,47,34,13
686,2,,3,,1,4,30,22,8
687,3,3,,5,,,54,37,17
688,1,1,2,3,,3,36,24,12
689,1,1,2,3,1,3,37,28,9
690,,1,,4,,1,28,19,9
691,2,2,5,,2,1,48,28,20
692,2,1,3,,1,1,28,19,9
694,,1,2,,1,3,39,22,17
695,3,,2,4,,3,31,21,10
697,1,1,3,5,1,1,41,22,19
698,,3,,2,1,1,32,13,19
699,1,2,3,1,,1,29,17,12
700,3,,3,1,,4,34,22,12
701,,1,,,1,4,20,12,8
702,,1,3,,,2,20,12,8
703,2,1,1,,,4,24,17,7
705,3,2,3,9,,,42,28,14
706,3,1,3,8,,3,40,24,16
707,3,,3,,,4,25,16,9
708,1,1,,,,2,12,4,8
709,2,,2,3,,4,33,17,16
710,3,1,2,,,2,20,13,7
711,2,3,3,9,2,1,41,23,18
712,2,2,2,6,1,1,36,23,13
714,3,,,,,,10,6,4
715,1,2,,4,,4,43,26,17
716,,1,2,3,,3,32,23,9
718,,1,,7,2,1,39,19,20
719,1,2,3,,,2,30,15,15
720,3,,3,,,2,23,16,7
721,1,2,3,12,3,4,51,34,17
722,1,1,3,,2,4,37,28,9
723,1,1,2,2,,2,21,14,7
724,2,1,3,7,1,2,39,31,8
725,3,2,5,8,2,1,51,29,22
726,,1,3,,,1,22,13,9
727,2,,3,,,2,19,10,9
728,3,1,3,,,2,22,16,6
729,3,2,3,1,,3,27,18,9
730,3,1,,,1,,31,18,13
731,3,1,2,2,,3,19,13,6
733,3,,3,,,2,17,10,7
734,,,5,1,1,,34,20,14
735,2,1,2,3,1,1,32,20,12
736,,3,3,,1,1,30,17,13
737,1,2,3,,1,,33,20,13
738,,1,2,,1,2,21,13,8
739,,1,3,,1,,22,12,10
740,3,2,3,,,2,20,14,6
741,,1,3,2,1,,33,20,13
742,,2,,,,3,33,22,11
743,,2,,4,3,,49,20,29
744,,2,3,3,1,1,34,18,16
745,3,,2,5,,3,34,21,13
746,,1,2,,,2,30,17,13
748,2,,,,,,10,4,6
749,,1,3,,,4,21,14,7
750,3,,,,,1,15,9,6
751,2,1,,1,,4,18,11,7
752,1,2,2,,3,3,47,27,20
753,,1,,,,2,21,13,8
754,3,2,3,5,,3,46,31,15
755,,2,2,9,1,3,34,23,11
756,,1,3,,,3,31,21,10
757,1,1,2,,,1,26,17,9
758,,1,3,,1,3,19,10,9
759,3,1,3,,,2,27,21,6
761,,1,,,,,26,19,7
762,1,2,3,5,1,1,24,11,13
764,3,,5,,1,,39,27,12
765,,2,3,,3,1,29,12,17
766,1,2,3,1,1,1,36,19,17
767,2,2,3,8,1,1,41,28,13
768,1,2,2,4,2,1,28,12,16
769,,4,4,2,2,3,41,22,19
770,,1,,,,,13,5,8
771,1,1,4,,,2,24,15,9
772,3,,2,4,2,3,36,23,13
773,2,,1,,,,15,11,4
774,,1,3,9,2,3,39,26,13
775,,1,,,,4,21,13,8
776,,1,,,,2,24,13,11
777,3,1,,,,3,20,11,9
778,1,1,5,4,,1,31,17,14
779,3,1,2,2,2,1,48,35,13
780,3,2,2,6,,3,45,29,16
781,2,1,3,3,1,3,24,14,10
782,2,2,3,,3,1,40,29,11
784,3,,2,,1,1,14,9,5
785,3,,2,,2,3,18,11,7
786,,1,3,3,,1,19,12,7
787,3,1,,10,1,,32,18,14
788,3,1,4,,,2,17,12,5
789,1,2,6,4,3,1,35,14,21
790,1,2,3,,,3,20,11,9
791,3,1,3,,,3,36,28,8
793,3,1,3,,2,2,31,18,13
794,1,1,3,,,1,16,10,6
795,2,,2,,,1,29,20,9
796,1,3,4,3,1,1,41,28,13
797,,1,,,,1,13,2,11
798,2,,2,,,1,15,10,5
799,1,1,2,2,1,4,32,21,11
800,1,1,2,,,4,27,17,10
801,,,3,,,4,23,14,9
802,2,1,2,,,1,17,12,5
803,2,,1,,,,17,8,9
804,,1,4,1,2,,34,17,17
805,,1,2,1,,4,24,13,11
806,3,2,4,10,2,2,73,57,16
807,3,2,2,,2,2,28,11,17
808,2,1,3,,,1,30,18,12
809,3,2,3,10,1,3,58,37,21
810,3,,3,,,2,19,13,6
811,,1,3,3,,4,32,20,12
812,2,1,5,4,1,4,44,28,16
813,3,3,2,4,1,2,31,16,15
814,,1,,10,,2,38,28,10
815,,,3,,1,1,16,8,8
816,3,1,3,10,,1,41,26,15
817,1,2,2,6,,2,37,24,13
818,,2,3,1,,3,23,14,9
819,1,2,5,3,,3,45,29,16
820,,1,2,,,2,14,7,7
821,,2,4,4,1,1,44,22,22
822,,1,6,11,2,1,59,41,18
823,1,2,,,1,,20,10,10
824,2,,3,,1,1,23,16,7
825,2,,3,,1,3,32,25,7
826,,2,2,,,1,26,14,12
827,1,2,2,4,1,4,34,20,14
828,3,1,4,4,,,42,32,10
833,1,1,2,,,1,16,11,5
834,,1,1,,,1,11,6,5
