Store Number,Number of Scales,Tracking for Scales Shipment,Power/Data Install Date,Power/Data Install Vendor,Scale Install Date,Scale Install Vendor
4636,3,TBD,7/18/2023,Wachter,TBD,Hobart
312,3,TBD,6/28/2023,Wachter,7/19/2023,Mettler - Toledo
3017,4,TBD,6/27/2023,Wachter,7/14/2023,Mettler - Toledo
1082,3,TBD,6/25/2023,Wachter,7/21/2023,Mettler - Toledo
599,3,TBD,6/21/2023,Wachter,7/17/2023,Mettler - Toledo
7179,3,TBD,6/28/2023,Wachter,7/25/2023,Mettler - Toledo
1057,3,TBD,6/28/2023,Wachter,8/14/2023,Mettler - Toledo
833,3,TBD,6/27/2023,Wachter,TBD,Hobart
3503,3,TBD,6/27/2023,Wachter,8/8/2023,Mettler - Toledo
5125,2,TBD,6/27/2023,Wachter,7/18/2023,Mettler - Toledo
836,3,TBD,6/28/2023,Wachter,7/27/2023,Mettler - Toledo
628,3,TBD,8/20/2023,Wachter,8/18/2023,Mettler - Toledo
1292,3,TBD,10/15/2023,Wachter,TBD,Hobart
2840,2,TBD,9/18/2023,Wachter,9/18/2023,Mettler - Toledo
2388,3,TBD,10/9/2023,Wachter,TBD,Hobart
222,3,TBD,8/28/2023,Wachter,TBD,Hobart
5912,3,TBD,10/9/2023,Wachter,10/3/2023,Mettler - Toledo
1100,3,TBD,8/27/2023,Wachter,8/22/2023,Mettler - Toledo
1294,3,TBD,10/5/2023,Wachter,TBD,Hobart
3397,3,TBD,9/17/2023,Wachter,9/14/2023,Mettler - Toledo
715,3,TBD,8/30/2023,Wachter,8/25/2023,Mettler - Toledo
1048,3,TBD,9/27/2023,Wachter,TBD,Hobart
448,3,TBD,8/21/2023,Wachter,8/21/2023,Mettler - Toledo
5025,3,TBD,10/17/2023,Wachter,TBD,Hobart
3156,2,TBD,9/24/2023,Wachter,TBD,Hobart
1493,3,TBD,9/12/2023,Wachter,9/11/2023,Mettler - Toledo
175,3,TBD,10/22/2023,Wachter,10/12/2023,Mettler - Toledo
2821,3,TBD,8/30/2023,Wachter,TBD,Hobart
6226,2,TBD,10/5/2023,Wachter,TBD,Hobart
3235,4,TBD,9/14/2023,Wachter,9/11/2023,Mettler - Toledo
1248,3,TBD,10/19/2023,Wachter,10/11/2023,Mettler - Toledo
3770,3,TBD,10/22/2023,Wachter,TBD,Hobart
686,3,TBD,9/26/2023,Wachter,9/26/2023,Mettler - Toledo
102,3,TBD,9/14/2023,Wachter,9/4/2023,Mettler - Toledo
128,3,TBD,10/3/2023,Wachter,9/25/2023,Mettler - Toledo
45,3,TBD,10/5/2023,Wachter,9/27/2023,Mettler - Toledo
154,3,TBD,10/2/2023,Wachter,TBD,Hobart
124,3,TBD,9/6/2023,Wachter,8/25/2023,Mettler - Toledo
258,3,TBD,8/23/2023,Wachter,8/18/2023,Mettler - Toledo
273,3,TBD,8/24/2023,Wachter,8/21/2023,Mettler - Toledo
604,3,TBD,10/10/2023,Wachter,10/3/2023,Mettler - Toledo
1091,3,TBD,9/19/2023,Wachter,9/12/2023,Mettler - Toledo
1462,3,TBD,9/20/2023,Wachter,9/13/2023,Mettler - Toledo
1134,3,TBD,10/15/2023,Wachter,10/6/2023,Mettler - Toledo
1638,3,TBD,10/8/2023,Wachter,9/29/2023,Mettler - Toledo
734,4,TBD,10/12/2023,Wachter,10/5/2023,Mettler - Toledo
2114,3,TBD,10/16/2023,Wachter,10/9/2023,Mettler - Toledo
740,3,TBD,10/11/2023,Wachter,10/4/2023,Mettler - Toledo
723,3,TBD,10/5/2023,Wachter,9/28/2023,Mettler - Toledo
1101,3,TBD,9/25/2023,Wachter,9/18/2023,Mettler - Toledo
483,3,TBD,9/28/2023,Wachter,9/21/2023,Mettler - Toledo
930,3,TBD,9/21/2023,Wachter,9/14/2023,Mettler - Toledo
4407,3,TBD,10/3/2023,Wachter,9/26/2023,Mettler - Toledo
700,3,TBD,9/6/2023,Wachter,8/30/2023,Mettler - Toledo
424,3,TBD,9/27/2023,Wachter,9/20/2023,Mettler - Toledo
938,3,TBD,9/24/2023,Wachter,9/15/2023,Mettler - Toledo
4318,3,TBD,9/26/2023,Wachter,9/19/2023,Mettler - Toledo
5348,3,TBD,10/2/2023,Wachter,9/25/2023,Mettler - Toledo
731,3,TBD,9/7/2023,Wachter,8/31/2023,Mettler - Toledo
425,3,TBD,9/5/2023,Wachter,8/29/2023,Mettler - Toledo
1052,3,TBD,8/28/2023,Wachter,8/23/2023,Mettler - Toledo
1174,3,TBD,9/10/2023,Wachter,9/1/2023,Mettler - Toledo
2760,3,TBD,9/11/2023,Wachter,9/10/2023,Mettler - Toledo
7247,3,TBD,9/13/2023,Wachter,9/6/2023,Mettler - Toledo
1620,3,TBD,9/14/2023,Wachter,9/7/2023,Mettler - Toledo
1006,3,TBD,9/27/2023,Wachter,9/27/2023,Mettler - Toledo
1061,3,TBD,9/24/2023,Wachter,9/22/2023,Mettler - Toledo
593,3,TBD,9/25/2023,Wachter,9/25/2023,Mettler - Toledo
862,4,TBD,9/12/2023,Wachter,9/12/2023,Mettler - Toledo
556,3,TBD,9/19/2023,Wachter,9/19/2023,Mettler - Toledo
5392,3,TBD,9/21/2023,Wachter,9/21/2023,Mettler - Toledo
639,4,TBD,9/17/2023,Wachter,9/15/2023,Mettler - Toledo
2630,3,TBD,9/14/2023,Wachter,9/14/2023,Mettler - Toledo
6395,4,TBD,8/28/2023,Wachter,8/28/2023,Mettler - Toledo
605,3,TBD,9/5/2023,Wachter,9/1/2023,Mettler - Toledo
4556,3,TBD,9/7/2023,Wachter,9/11/2023,Mettler - Toledo
2860,4,TBD,8/31/2023,Wachter,8/31/2023,Mettler - Toledo
1383,4,TBD,8/27/2023,Wachter,8/25/2023,Mettler - Toledo
635,3,TBD,9/10/2023,Wachter,9/12/2023,Mettler - Toledo
7181,3,TBD,8/24/2023,Wachter,8/24/2023,Mettler - Toledo
2832,3,TBD,8/29/2023,Wachter,8/29/2023,Mettler - Toledo
1011,3,TBD,8/30/2023,Wachter,8/30/2023,Mettler - Toledo
1358,3,TBD,8/23/2023,Wachter,8/23/2023,Mettler - Toledo
469,3,TBD,10/15/2023,Wachter,10/13/2023,Mettler - Toledo
521,3,TBD,10/8/2023,Wachter,10/6/2023,Mettler - Toledo
331,3,TBD,10/10/2023,Wachter,10/10/2023,Mettler - Toledo
1204,3,TBD,10/11/2023,Wachter,10/11/2023,Mettler - Toledo
4520,3,TBD,10/25/2023,Wachter,10/18/2023,Mettler - Toledo
488,3,TBD,10/18/2023,Wachter,10/11/2023,Mettler - Toledo
858,3,TBD,10/22/2023,Wachter,10/13/2023,Mettler - Toledo
1077,3,TBD,10/24/2023,Wachter,10/17/2023,Mettler - Toledo
1408,3,TBD,10/30/2023,Wachter,10/20/2023,Mettler - Toledo
1375,3,TBD,10/17/2023,Wachter,10/10/2023,Mettler - Toledo
5422,3,TBD,10/19/2023,Wachter,10/12/2023,Mettler - Toledo
3307,3,TBD,10/31/2023,Wachter,10/23/2023,Mettler - Toledo
4427,3,TBD,10/26/2023,Wachter,10/19/2023,Mettler - Toledo
1223,3,TBD,10/23/2023,Wachter,10/16/2023,Mettler - Toledo
2930,2,TBD,8/24/2023,Wachter,8/18/2023,Mettler - Toledo
4563,2,TBD,9/12/2023,Wachter,9/9/2023,Mettler - Toledo
3183,3,TBD,10/12/2023,Wachter,10/6/2023,Mettler - Toledo
3935,2,TBD,10/11/2023,Wachter,10/5/2023,Mettler - Toledo
5945,2,TBD,9/26/2023,Wachter,9/20/2023,Mettler - Toledo
4140,2,TBD,10/1/2023,Wachter,9/25/2023,Mettler - Toledo
2907,2,TBD,9/18/2023,Wachter,9/12/2023,Mettler - Toledo
5719,2,TBD,10/4/2023,Wachter,9/28/2023,Mettler - Toledo
5615,3,TBD,9/24/2023,Wachter,9/18/2023,Mettler - Toledo
4826,2,TBD,9/7/2023,Wachter,8/30/2023,Mettler - Toledo
4595,3,TBD,8/30/2023,Wachter,8/24/2023,Mettler - Toledo
2987,3,TBD,9/6/2023,Wachter,8/29/2023,Mettler - Toledo
2946,4,TBD,9/13/2023,Wachter,9/10/2023,Mettler - Toledo
1851,4,TBD,8/27/2023,Wachter,8/21/2023,Mettler - Toledo
1349,3,TBD,8/29/2023,Wachter,8/23/2023,Mettler - Toledo
1845,3,TBD,9/5/2023,Wachter,8/28/2023,Mettler - Toledo
3625,3,TBD,8/28/2023,Wachter,8/22/2023,Mettler - Toledo
5932,3,TBD,9/20/2023,Wachter,9/14/2023,Mettler - Toledo
2591,3,TBD,9/21/2023,Wachter,9/15/2023,Mettler - Toledo
2151,3,TBD,8/31/2023,Wachter,8/25/2023,Mettler - Toledo
2091,4,TBD,10/3/2023,Wachter,9/27/2023,Mettler - Toledo
2814,4,TBD,9/27/2023,Wachter,9/21/2023,Mettler - Toledo
5854,3,TBD,9/28/2023,Wachter,9/22/2023,Mettler - Toledo
1680,3,TBD,10/5/2023,Wachter,9/29/2023,Mettler - Toledo
4161,3,TBD,10/2/2023,Wachter,9/26/2023,Mettler - Toledo
5671,3,TBD,10/10/2023,Wachter,10/4/2023,Mettler - Toledo
6397,3,TBD,10/8/2023,Wachter,10/2/2023,Mettler - Toledo
3868,3,TBD,8/22/2023,Wachter,8/22/2023,Mettler - Toledo
876,3,TBD,8/29/2023,Wachter,8/29/2023,Mettler - Toledo
278,3,TBD,8/24/2023,Wachter,8/24/2023,Mettler - Toledo
323,3,TBD,8/28/2023,Wachter,8/28/2023,Mettler - Toledo
376,4,TBD,8/17/2023,Wachter,8/17/2023,Mettler - Toledo
6932,3,TBD,8/20/2023,Wachter,8/18/2023,Mettler - Toledo
498,3,TBD,9/26/2023,Wachter,9/26/2023,Mettler - Toledo
405,4,TBD,10/4/2023,Wachter,10/4/2023,Mettler - Toledo
1107,3,TBD,10/5/2023,Wachter,10/5/2023,Mettler - Toledo
539,3,TBD,10/1/2023,Wachter,9/29/2023,Mettler - Toledo
75,3,TBD,9/27/2023,Wachter,9/27/2023,Mettler - Toledo
4295,3,TBD,10/3/2023,Wachter,10/3/2023,Mettler - Toledo
170,3,TBD,8/30/2023,Wachter,8/30/2023,Mettler - Toledo
1110,3,TBD,9/10/2023,Wachter,9/11/2023,Mettler - Toledo
1109,3,TBD,9/24/2023,Wachter,9/22/2023,Mettler - Toledo
244,3,TBD,8/31/2023,Wachter,8/31/2023,Mettler - Toledo
976,3,TBD,9/25/2023,Wachter,9/25/2023,Mettler - Toledo
1193,3,TBD,9/18/2023,Wachter,9/18/2023,Mettler - Toledo
149,3,TBD,9/5/2023,Wachter,9/1/2023,Mettler - Toledo
1108,3,TBD,9/13/2023,Wachter,9/13/2023,Mettler - Toledo
98,3,TBD,9/14/2023,Wachter,9/14/2023,Mettler - Toledo
23,3,TBD,9/7/2023,Wachter,9/10/2023,Mettler - Toledo
2678,3,TBD,9/13/2023,Wachter,TBD,Hobart
3436,3,TBD,9/12/2023,Wachter,TBD,Hobart
2544,3,TBD,9/5/2023,Wachter,TBD,Hobart
1618,3,TBD,8/31/2023,Wachter,TBD,Hobart
1487,3,TBD,9/7/2023,Wachter,TBD,Hobart
2276,3,TBD,9/10/2023,Wachter,TBD,Hobart
1479,4,TBD,9/6/2023,Wachter,TBD,Hobart
1665,3,TBD,10/8/2023,Wachter,10/9/2023,Hobart
2339,3,TBD,9/28/2023,Wachter,10/2/2023,Hobart
3851,3,TBD,10/1/2023,Wachter,10/3/2023,Hobart
854,3,TBD,10/3/2023,Wachter,10/5/2023,Hobart
1304,3,TBD,9/19/2023,Wachter,8/3/2023,Hobart
1639,3,TBD,9/25/2023,Wachter,10/6/2023,Hobart
2679,3,TBD,9/17/2023,Wachter,8/23/2023,Hobart
1978,3,TBD,9/11/2023,Wachter,7/21/2023,Hobart
1566,3,TBD,9/18/2023,Wachter,9/27/2023,Hobart
4399,3,TBD,9/14/2023,Wachter,9/13/2023,Hobart
1329,3,TBD,9/26/2023,Wachter,6/30/2023,Hobart
1667,3,TBD,9/24/2023,Wachter,6/30/2023,Hobart
1962,3,TBD,10/4/2023,Wachter,7/10/2023,Hobart
1804,3,TBD,10/15/2023,Wachter,8/11/2023,Hobart
1647,3,TBD,10/11/2023,Wachter,8/8/2023,Hobart
2819,3,TBD,10/10/2023,Wachter,7/25/2023,Hobart
4231,3,TBD,10/12/2023,Wachter,7/14/2023,Hobart
4230,3,TBD,10/18/2023,Wachter,6/30/2023,Hobart
1570,3,TBD,10/22/2023,Wachter,7/17/2023,Hobart
1388,3,TBD,10/19/2023,Wachter,9/20/2023,Hobart
2311,3,TBD,9/21/2023,Wachter,9/6/2023,Hobart
1709,3,TBD,10/23/2023,Wachter,9/7/2023,Hobart
1425,3,TBD,9/20/2023,Wachter,8/29/2023,Hobart
1419,3,TBD,10/16/2023,Wachter,7/18/2023,Hobart
655,3,TBD,9/7/2023,Wachter,9/15/2023,Hobart
653,3,TBD,9/14/2023,Wachter,7/26/2023,Hobart
294,3,TBD,9/11/2023,Wachter,7/24/2023,Hobart
282,3,TBD,9/18/2023,Wachter,9/15/2023,Hobart
204,3,TBD,9/12/2023,Wachter,1/8/2024,Hobart
736,3,TBD,9/17/2023,Wachter,9/8/2023,Hobart
5236,3,TBD,9/19/2023,Wachter,9/14/2023,Hobart
299,3,TBD,9/20/2023,Wachter,9/15/2023,Hobart
257,3,TBD,9/6/2023,Wachter,1/0/1900,Hobart
333,3,TBD,9/10/2023,Wachter,1/0/1900,Hobart
711,3,TBD,9/21/2023,Wachter,9/18/2023,Hobart
569,3,TBD,9/25/2023,Wachter,9/20/2023,Hobart
2654,3,TBD,9/24/2023,Wachter,9/19/2023,Hobart
1234,3,TBD,9/26/2023,Wachter,9/21/2023,Hobart
1307,3,TBD,8/30/2023,Wachter,8/25/2023,Hobart
4323,3,TBD,8/29/2023,Wachter,8/24/2023,Hobart
1548,3,TBD,8/28/2023,Wachter,8/23/2023,Hobart
237,3,TBD,9/5/2023,Wachter,8/28/2023,Hobart
252,3,TBD,8/27/2023,Wachter,8/17/2023,Hobart
1395,3,TBD,8/29/2023,Wachter,8/24/2023,Hobart
224,3,TBD,8/30/2023,Wachter,8/25/2023,Hobart
454,3,TBD,8/31/2023,Wachter,8/28/2023,Hobart
4378,3,TBD,10/22/2023,Wachter,1/0/1900,Hobart
1525,3,TBD,9/10/2023,Wachter,8/31/2023,Hobart
1730,3,TBD,9/11/2023,Wachter,9/1/2023,Hobart
4350,3,TBD,9/12/2023,Wachter,9/8/2023,Hobart
2295,3,TBD,9/5/2023,Wachter,8/30/2023,Hobart
4191,3,TBD,8/31/2023,Wachter,8/28/2023,Hobart
2795,3,TBD,9/7/2023,Wachter,8/31/2023,Hobart
3265,3,TBD,9/19/2023,Wachter,9/15/2023,Hobart
3219,4,TBD,9/17/2023,Wachter,9/13/2023,Hobart
3831,3,TBD,10/1/2023,Wachter,9/26/2023,Hobart
5488,4,TBD,10/18/2023,Wachter,10/12/2023,Hobart
1759,3,TBD,9/13/2023,Wachter,9/11/2023,Hobart
4623,3,TBD,9/21/2023,Wachter,9/19/2023,Hobart
1682,3,TBD,9/26/2023,Wachter,9/22/2023,Hobart
1773,3,TBD,9/18/2023,Wachter,9/14/2023,Hobart
1811,3,TBD,10/16/2023,Wachter,10/11/2023,Hobart
4064,3,TBD,10/15/2023,Wachter,10/9/2023,Hobart
1687,3,TBD,9/28/2023,Wachter,9/26/2023,Hobart
5253,4,TBD,10/2/2023,Wachter,9/27/2023,Hobart
5922,3,TBD,10/12/2023,Wachter,10/9/2023,Hobart
1688,3,TBD,10/11/2023,Wachter,10/6/2023,Hobart
3214,3,TBD,9/25/2023,Wachter,9/21/2023,Hobart
2529,4,TBD,10/8/2023,Wachter,10/3/2023,Hobart
3216,4,TBD,10/9/2023,Wachter,10/4/2023,Hobart
1524,4,TBD,8/28/2023,Wachter,8/23/2023,Hobart
2160,3,TBD,8/24/2023,Wachter,8/21/2023,Hobart
1424,3,TBD,8/27/2023,Wachter,8/22/2023,Hobart
1763,3,TBD,10/8/2023,Wachter,1/0/1900,Hobart
3480,3,TBD,10/3/2023,Wachter,1/0/1900,Hobart
3303,3,TBD,10/4/2023,Wachter,1/0/1900,Hobart
2089,3,TBD,10/1/2023,Wachter,9/26/2023,Hobart
3772,3,TBD,9/28/2023,Wachter,9/25/2023,Hobart
2761,3,TBD,10/5/2023,Wachter,1/0/1900,Hobart
2337,3,TBD,10/18/2023,Wachter,10/6/2023,Hobart
1652,3,TBD,10/11/2023,Wachter,10/13/2023,Hobart
1301,3,TBD,10/17/2023,Wachter,10/5/2023,Hobart
2762,3,TBD,10/12/2023,Wachter,10/13/2023,Hobart
1243,3,TBD,10/19/2023,Wachter,10/10/2023,Hobart
1309,3,TBD,10/16/2023,Wachter,10/4/2023,Hobart
1465,3,TBD,10/24/2023,Wachter,10/12/2023,Hobart
2705,3,TBD,9/27/2023,Wachter,9/25/2023,Hobart
2646,3,TBD,10/10/2023,Wachter,10/12/2023,Hobart
2933,3,TBD,10/9/2023,Wachter,10/10/2023,Hobart
5244,3,TBD,8/30/2023,Wachter,8/22/2023,Mettler - Toledo
4460,3,TBD,8/29/2023,Wachter,8/21/2023,Mettler - Toledo
126,3,TBD,9/5/2023,Wachter,8/24/2023,Mettler - Toledo
5706,3,TBD,8/31/2023,Wachter,8/23/2023,Mettler - Toledo
3230,3,TBD,9/7/2023,Wachter,8/28/2023,Mettler - Toledo
85,3,TBD,9/10/2023,Wachter,8/29/2023,Mettler - Toledo
127,3,TBD,9/11/2023,Wachter,8/30/2023,Mettler - Toledo
336,3,TBD,9/12/2023,Wachter,8/31/2023,Mettler - Toledo
4168,3,TBD,9/25/2023,Wachter,9/15/2023,Mettler - Toledo
2587,3,TBD,9/24/2023,Wachter,9/14/2023,Mettler - Toledo
169,3,TBD,9/20/2023,Wachter,9/12/2023,Mettler - Toledo
167,3,TBD,9/11/2023,Wachter,9/14/2023,Mettler - Toledo
3331,4,TBD,9/13/2023,Wachter,9/1/2023,Mettler - Toledo
714,3,TBD,9/17/2023,Wachter,9/5/2023,Mettler - Toledo
348,3,TBD,9/12/2023,Wachter,9/12/2023,Mettler - Toledo
18,3,TBD,10/1/2023,Wachter,9/21/2023,Mettler - Toledo
157,4,TBD,9/27/2023,Wachter,9/19/2023,Mettler - Toledo
119,4,TBD,9/28/2023,Wachter,9/20/2023,Mettler - Toledo
71,3,TBD,10/2/2023,Wachter,9/22/2023,Mettler - Toledo
229,3,TBD,10/9/2023,Wachter,9/29/2023,Mettler - Toledo
91,3,TBD,9/18/2023,Wachter,9/6/2023,Mettler - Toledo
70,3,TBD,10/17/2023,Wachter,10/9/2023,Mettler - Toledo
62,3,TBD,10/12/2023,Wachter,10/4/2023,Mettler - Toledo
68,3,TBD,9/19/2023,Wachter,9/7/2023,Mettler - Toledo
36,3,TBD,10/11/2023,Wachter,10/3/2023,Mettler - Toledo
74,3,TBD,10/15/2023,Wachter,10/5/2023,Mettler - Toledo
1275,3,TBD,10/2/2023,Wachter,10/4/2023,Hobart
4380,2,TBD,8/23/2023,Wachter,8/17/2023,Mettler - Toledo
6975,2,TBD,9/21/2023,Wachter,9/13/2023,Mettler - Toledo
5043,3,TBD,10/23/2023,Wachter,10/13/2023,Mettler - Toledo
5122,3,TBD,10/18/2023,Wachter,10/10/2023,Mettler - Toledo
5780,2,TBD,10/10/2023,Wachter,10/2/2023,Mettler - Toledo
6943,2,TBD,10/8/2023,Wachter,9/28/2023,Mettler - Toledo
2431,2,TBD,9/26/2023,Wachter,9/18/2023,Mettler - Toledo
2743,2,TBD,8/28/2023,Wachter,8/18/2023,Mettler - Toledo
4654,2,TBD,10/16/2023,Wachter,10/6/2023,Mettler - Toledo
6876,2,TBD,10/4/2023,Wachter,9/26/2023,Mettler - Toledo
3713,2,TBD,8/17/2023,Wachter,8/17/2023,Mettler - Toledo
6174,2,TBD,8/21/2023,Wachter,8/21/2023,Mettler - Toledo
5279,2,TBD,8/22/2023,Wachter,8/22/2023,Mettler - Toledo
5755,3,TBD,10/19/2023,Wachter,9/19/2023,Hobart
5754,2,TBD,9/14/2023,Wachter,8/28/2023,Hobart
3885,2,TBD,,Wachter,10/4/2023,Hobart
6798,2,TBD,10/17/2023,Wachter,9/27/2023,Hobart
3157,2,TBD,9/20/2023,Wachter,9/20/2023,Hobart
3299,2,TBD,10/4/2023,Wachter,9/27/2023,Hobart
3330,2,TBD,10/3/2023,Wachter,9/25/2023,Hobart
4220,2,TBD,10/10/2023,Wachter,9/28/2023,Hobart
7174,2,TBD,8/29/2023,Wachter,9/20/2023,Hobart
3880,2,TBD,9/6/2023,Wachter,9/18/2023,Hobart
5829,2,TBD,10/23/2023,Wachter,10/11/2023,Hobart
3736,2,TBD,9/28/2023,Wachter,9/28/2023,Mettler - Toledo
3727,2,TBD,10/2/2023,Wachter,10/2/2023,Mettler - Toledo
4577,2,TBD,9/6/2023,Wachter,9/9/2023,Mettler - Toledo
2919,2,TBD,9/17/2023,Wachter,9/15/2023,Mettler - Toledo
2940,2,TBD,9/21/2023,Wachter,9/21/2023,Mettler - Toledo
3745,2,TBD,9/19/2023,Wachter,9/19/2023,Mettler - Toledo
5204,2,TBD,8/23/2023,Wachter,8/23/2023,Mettler - Toledo
3743,2,TBD,9/20/2023,Wachter,9/20/2023,Mettler - Toledo
3746,2,TBD,8/27/2023,Wachter,8/25/2023,Mettler - Toledo
4691,2,TBD,10/4/2023,Wachter,9/27/2023,Mettler - Toledo
5248,2,TBD,8/29/2023,Wachter,8/24/2023,Mettler - Toledo
5256,2,TBD,8/31/2023,Wachter,8/28/2023,Mettler - Toledo
4672,2,TBD,10/1/2023,Wachter,9/22/2023,Mettler - Toledo
5769,2,TBD,10/9/2023,Wachter,10/2/2023,Mettler - Toledo
4530,2,TBD,9/6/2023,Wachter,9/10/2023,Mettler - Toledo
4527,2,TBD,9/20/2023,Wachter,9/20/2023,Mettler - Toledo
4525,2,TBD,9/13/2023,Wachter,9/13/2023,Mettler - Toledo
4519,2,TBD,9/11/2023,Wachter,9/14/2023,Mettler - Toledo
1511,3,TBD,9/10/2023,Wachter,8/31/2023,Mettler - Toledo
1590,3,TBD,9/19/2023,Wachter,9/13/2023,Mettler - Toledo
3163,4,TBD,9/11/2023,Wachter,9/1/2023,Mettler - Toledo
4303,3,TBD,9/25/2023,Wachter,9/19/2023,Mettler - Toledo
6590,2,TBD,10/9/2023,Wachter,10/9/2023,Mettler - Toledo
6583,2,TBD,10/12/2023,Wachter,10/12/2023,Mettler - Toledo
5059,2,TBD,9/13/2023,Wachter,10/10/2023,Hobart
143,3,TBD,8/15/2023,Wachter,9/27/2023,Hobart
4511,3,TBD,8/10/2023,Wachter,8/7/2023,Hobart
1069,3,TBD,7/31/2023,Wachter,8/14/2023,Mettler - Toledo
950,3,TBD,8/1/2023,Wachter,8/14/2023,Mettler - Toledo
1561,3,TBD,8/3/2023,Wachter,8/14/2023,Mettler - Toledo
675,3,TBD,8/9/2023,Wachter,8/14/2023,Mettler - Toledo
1037,4,TBD,8/16/2023,Wachter,8/16/2023,Mettler - Toledo
699,4,TBD,7/19/2023,Wachter,8/4/2023,Mettler - Toledo
93,3,TBD,8/6/2023,Wachter,8/14/2023,Mettler - Toledo
1589,3,TBD,8/8/2023,Wachter,8/10/2023,Mettler - Toledo
5759,3,TBD,7/31/2023,Wachter,8/1/2023,Mettler - Toledo
4617,3,TBD,8/13/2023,Wachter,8/8/2023,Mettler - Toledo
4498,3,TBD,8/22/2023,Wachter,8/16/2023,Mettler - Toledo
153,3,TBD,8/21/2023,Wachter,8/16/2023,Mettler - Toledo
114,3,TBD,8/22/2023,Wachter,8/17/2023,Mettler - Toledo
105,3,TBD,7/25/2023,Wachter,8/7/2023,Mettler - Toledo
164,3,TBD,8/20/2023,Wachter,8/15/2023,Mettler - Toledo
118,3,TBD,8/15/2023,Wachter,8/14/2023,Mettler - Toledo
391,3,TBD,8/17/2023,Wachter,8/14/2023,Mettler - Toledo
303,3,TBD,7/24/2023,Wachter,8/9/2023,Mettler - Toledo
1146,3,TBD,8/15/2023,Wachter,8/15/2023,Mettler - Toledo
4384,3,TBD,8/2/2023,Wachter,8/2/2023,Mettler - Toledo
632,3,TBD,8/3/2023,Wachter,8/3/2023,Mettler - Toledo
2348,3,TBD,8/6/2023,Wachter,8/4/2023,Mettler - Toledo
2928,4,TBD,8/14/2023,Wachter,8/14/2023,Mettler - Toledo
3367,3,TBD,8/8/2023,Wachter,8/7/2023,Mettler - Toledo
1748,3,TBD,8/7/2023,Wachter,8/11/2023,Mettler - Toledo
1359,3,TBD,8/9/2023,Wachter,8/8/2023,Mettler - Toledo
643,3,TBD,7/17/2023,Wachter,8/4/2023,Mettler - Toledo
574,3,TBD,7/26/2023,Wachter,8/14/2023,Mettler - Toledo
4664,3,TBD,7/20/2023,Wachter,8/11/2023,Mettler - Toledo
5705,3,TBD,7/30/2023,Wachter,7/28/2023,Mettler - Toledo
586,3,TBD,7/19/2023,Wachter,8/8/2023,Mettler - Toledo
625,3,TBD,8/1/2023,Wachter,8/1/2023,Mettler - Toledo
2712,4,TBD,7/23/2023,Wachter,8/14/2023,Mettler - Toledo
