Store Number,Market,Approved Installation Date,Planned Go-Live Date,Boxed Coin Delivery Date
716,136,7/27/2024,7/28/2024,7/22/2024
840,546,7/27/2024,7/28/2024,7/22/2024
1143,30,7/29/2024,7/30/2024,7/23/2024
118,4,7/29/2024,7/30/2024,7/22/2024
1359,36,7/29/2024,7/30/2024,7/22/2024
1645,581,7/29/2024,7/30/2024,7/22/2024
1771,202,7/29/2024,7/30/2024,7/25/2024
2280,451,7/29/2024,7/30/2024,7/24/2024
3046,512,7/29/2024,7/30/2024,7/22/2024
4459,301,7/29/2024,7/30/2024,7/23/2024
4533,145,7/29/2024,7/30/2024,7/22/2024
5348,8,7/29/2024,7/30/2024,7/22/2024
684,147,7/29/2024,7/30/2024,7/23/2024
104,146,7/30/2024,7/31/2024,7/23/2024
1238,310,7/30/2024,7/31/2024,7/22/2024
1658,30,7/30/2024,7/31/2024,7/22/2024
273,4,7/30/2024,7/31/2024,7/22/2024
3791,202,7/30/2024,7/31/2024,7/22/2024
466,147,7/30/2024,7/31/2024,7/22/2024
5766,451,7/30/2024,7/31/2024,7/22/2024
5890,450,7/30/2024,7/31/2024,7/22/2024
5956,581,7/30/2024,7/31/2024,7/22/2024
635,29,7/30/2024,7/31/2024,7/22/2024
754,30,7/30/2024,7/31/2024,7/23/2024
120,146,7/31/2024,8/1/2024,7/23/2024
153,4,7/31/2024,8/1/2024,7/22/2024
1540,201,7/31/2024,8/1/2024,7/22/2024
2039,450,7/31/2024,8/1/2024,7/22/2024
2536,581,7/31/2024,8/1/2024,7/22/2024
377,516,7/31/2024,8/1/2024,7/22/2024
4144,30,7/31/2024,8/1/2024,7/22/2024
4619,492,7/31/2024,8/1/2024,7/17/2024
5489,310,7/31/2024,8/1/2024,7/23/2024
5751,451,7/31/2024,8/1/2024,7/22/2024
605,29,7/31/2024,8/1/2024,7/22/2024
1286,41,8/1/2024,8/2/2024,7/22/2024
1293,30,8/1/2024,8/2/2024,7/22/2024
1481,13,8/1/2024,8/2/2024,7/23/2024
1583,449,8/1/2024,8/2/2024,7/22/2024
1587,450,8/1/2024,8/2/2024,7/22/2024
1877,581,8/1/2024,8/2/2024,7/22/2024
1978,247,8/1/2024,8/2/2024,7/22/2024
2832,29,8/1/2024,8/2/2024,7/22/2024
335,146,8/1/2024,8/2/2024,7/23/2024
391,4,8/1/2024,8/2/2024,7/22/2024
4457,38,8/1/2024,8/2/2024,7/22/2024
1074,136,8/2/2024,8/3/2024,7/22/2024
1270,39,8/2/2024,8/3/2024,7/22/2024
164,4,8/2/2024,8/3/2024,7/22/2024
1882,581,8/2/2024,8/3/2024,7/22/2024
2020,246,8/2/2024,8/3/2024,7/17/2024
2134,306,8/2/2024,8/3/2024,7/23/2024
5215,581,8/2/2024,8/3/2024,7/22/2024
5256,544,8/2/2024,8/3/2024,7/22/2024
5378,496,8/2/2024,8/3/2024,7/22/2024
5843,450,8/2/2024,8/3/2024,7/22/2024
64,146,8/2/2024,8/3/2024,7/22/2024
728,29,8/2/2024,8/3/2024,7/22/2024
105,4,8/3/2024,8/4/2024,7/23/2024
1530,136,8/3/2024,8/4/2024,7/22/2024
