,New Plus,,
4824, 191 , 218 , 234 
6405, 136 , 136 , 148 
6410, 342 , 388 , 392 
6433, 133 , 163 , 162 
6455, 195 , 215 , 209 
6612, 341 , 331 , 354 
6620, 128 , 144 , 147 
6621, 125 , 131 , 135 
6622, 143 , 237 , 216 
8290, 266 , 350 , 311 
8138, 183 , 201 , 206 
6218, 151 , 187 , 185 
6212, 140 , 223 , 188 
6189, 149 , 188 , 184 
4828, 203 , 226 , 225 
4785, 221 , 227 , 232 
4782, 235 , 251 , 254 
4831, 194 , 239 , 227 
4872, 96 , 131 , 124 
4946, 189 , 215 , 221 
6203, 133 , 135 , 150 
6216, 113 , 141 , 138 
6353, 210 , 248 , 231 
6443, 205 , 209 , 216 
6570, 143 , 145 , 160 
6571, 119 , 172 , 155 
6573, 259 , 290 , 304 
6976, 215 , 265 , 258 
8129, 193 , 263 , 235 
8218, 348 , 360 , 386 
8223, 136 , 202 , 174 
8283, 171 , 234 , 223 
4857, 196 , 263 , 248 
4972, 213 , 272 , 252 
4991, 146 , 165 , 168 
6217, 394 , 408 , 425 
6341, 237 , 241 , 268 
6364, 276 , 371 , 351 
6445, 139 , 181 , 173 
6520, 196 , 275 , 255 
6637, 162 , 183 , 180 
8130, 216 , 296 , 274 
8141, 139 , 191 , 171 
8150, 181 , 210 , 209 
8157, 235 , 282 , 278 
8173, 286 , 319 , 323 
4772, 139 , 184 , 178 
4794, 192 , 209 , 226 
4801, 189 , 210 , 211 
4818, 140 , 186 , 182 
4852, 167 , 190 , 203 
4861, 130 , 174 , 174 
4998, 150 , 182 , 178 
6335, 273 , 339 , 321 
6387, 203 , 242 , 243 
6401, 251 , 294 , 293 
6403, 167 , 233 , 223 
6420, 184 , 171 , 183 
6441, 182 , 184 , 198 
6448, 175 , 158 , 184 
8201, 141 , 190 , 190 
8155, 330 , 393 , 394 
4797, 217 , 226 , 229 
4901, 230 , 256 , 262 
4917, 227 , 236 , 244 
4950, 204 , 232 , 220 
6236, 161 , 202 , 197 
6348, 198 , 219 , 227 
6355, 169 , 222 , 219 
6414, 249 , 316 , 309 
6452, 256 , 293 , 295 
6463, 224 , 276 , 254 
6540, 236 , 248 , 266 
8142, 238 , 261 , 261 
8219, 208 , 239 , 234 
8278, 208 , 258 , 253 
4820, 276 , 321 , 307 
4879, 116 , 140 , 143 
6204, 224 , 259 , 260 
6363, 186 , 178 , 197 
6506, 112 , 119 , 122 
6582, 231 , 269 , 278 
7658, 152 , 167 , 170 
8115, 321 , 370 , 370 
8116, 242 , 280 , 272 
8120, 247 , 194 , 251 
8151, 320 , 392 , 376 
8192, 149 , 185 , 189 
8202, 177 , 221 , 210 
8252, 320 , 366 , 374 
8253, 162 , 177 , 187 
4702, 150 , 169 , 166 
4712, 130 , 163 , 172 
4763, 195 , 204 , 214 
4764, 210 , 240 , 233 
4769, 290 , 308 , 331 
4843, 225 , 232 , 237 
6202, 144 , 205 , 201 
6867, 151 , 148 , 158 
8190, 126 , 148 , 152 
8244, 214 , 207 , 227 
8246, 207 , 251 , 242 
8265, 133 , 167 , 162 
8274, 192 , 192 , 216 
8275, 197 , 259 , 254 
8281, 249 , 330 , 304 
4743, 150 , 167 , 166 
4783, 216 , 213 , 226 
4906, 166 , 215 , 201 
6255, 148 , 195 , 181 
6265, 149 , 188 , 183 
6372, 104 , 148 , 144 
6376, 163 , 172 , 186 
6381, 149 , 161 , 169 
6482, 173 , 234 , 218 
8242, 173 , 203 , 179 
8248, 315 , 381 , 338 
8299, 125 , 144 , 137 
8284, 233 , 255 , 274 
6422, 181 , 173 , 193 
4713, 112 , 144 , 140 
4720, 149 , 147 , 153 
4721, 192 , 218 , 222 
6188, 173 , 226 , 207 
6259, 275 , 309 , 301 
6338, 182 , 206 , 211 
6367, 233 , 340 , 307 
6421, 189 , 212 , 214 
6453, 189 , 232 , 222 
8245, 309 , 388 , 368 
8259, 216 , 263 , 254 
8286, 189 , 221 , 209 
6245, 170 , 233 , 223 
6336, 136 , 189 , 170 
4850, 191 , 229 , 231 
4914, 173 , 181 , 196 
4939, 159 , 188 , 188 
4958, 135 , 128 , 145 
6262, 132 , 150 , 160 
6269, 155 , 156 , 168 
6471, 108 , 120 , 123 
8126, 148 , 149 , 150 
8156, 207 , 263 , 249 
8227, 284 , 352 , 340 
8250, 219 , 242 , 247 
8262, 185 , 191 , 210 
8264, 181 , 193 , 188 
8267, 221 , 268 , 262 
4742, 138 , 192 , 183 
4905, 176 , 213 , 210 
4911, 165 , 154 , 175 
4948, 154 , 162 , 168 
6244, 81 , 113 , 115 
6781, 191 , 229 , 225 
8210, 127 , 192 , 167 
8226, 141 , 202 , 183 
8268, 174 , 180 , 208 
8269, 124 , 105 , 118 
8277, 134 , 172 , 169 
8282, 161 , 173 , 179 
8288, 189 , 209 , 214 
6439, 208 , 248 , 248 
8280, 226 , 249 , 247 
8279, 138 , 147 , 151 
8270, 205 , 261 , 249 
8153, 170 , 185 , 199 
7676, 129 , 152 , 163 
6672, 111 , 143 , 142 
6502, 183 , 228 , 221 
6408, 189 , 150 , 178 
6347, 152 , 198 , 189 
6246, 138 , 156 , 152 
4961, 112 , 123 , 131 
4938, 112 , 142 , 131 
4784, 160 , 146 , 163 
4703, 142 , 165 , 166 
4774, 403 , 449 , 464 
6333, 107 , 125 , 134 
6352, 166 , 182 , 195 
6356, 98 , 135 , 127 
6369, 192 , 237 , 238 
6386, 151 , 148 , 165 
6423, 100 , 141 , 122 
6428, 249 , 300 , 292 
6462, 86 , 136 , 120 
6581, 103 , 119 , 124 
6636, 155 , 250 , 221 
6674, 165 , 189 , 206 
8186, 88 , 101 , 100 
8191, 171 , 218 , 212 
4722, 115 , 154 , 143 
4994, 105 , 142 , 122 
6330, 161 , 210 , 202 
6332, 153 , 182 , 182 
6536, 116 , 182 , 167 
6567, 90 , 142 , 130 
6670, 135 , 160 , 163 
6671, 172 , 231 , 216 
6676, 123 , 121 , 135 
6693, 118 , 108 , 119 
8144, 111 , 167 , 149 
8145, 133 , 157 , 152 
8160, 163 , 157 , 180 
8175, 127 , 184 , 162 
4729, 155 , 162 , 183 
4771, 137 , 159 , 165 
4855, 102 , 112 , 109 
6239, 83 , 85 , 100 
6357, 148 , 196 , 188 
6371, 188 , 192 , 203 
6383, 129 , 107 , 138 
6434, 196 , 168 , 190 
6650, 149 , 155 , 153 
6651, 114 , 117 , 133 
6652, 100 , 113 , 120 
6653, 188 , 201 , 213 
6655, 158 , 161 , 171 
8161, 108 , 140 , 125 
8193, 175 , 219 , 212 
4859, 91 , 128 , 112 
4952, 79 , 116 , 107 
6201, 85 , 112 , 112 
6366, 113 , 135 , 140 
6406, 90 , 95 , 104 
6431, 104 , 116 , 121 
6440, 133 , 187 , 179 
6456, 100 , 145 , 133 
6460, 131 , 146 , 148 
6533, 102 , 128 , 125 
6539, 148 , 190 , 182 
6547, 102 , 157 , 142 
6673, 139 , 137 , 156 
6675, 187 , 197 , 199 
4710, 131 , 167 , 158 
4711, 153 , 164 , 171 
4798, 90 , 124 , 107 
4860, 101 , 128 , 126 
4996, 135 , 153 , 148 
6343, 167 , 169 , 174 
6351, 134 , 162 , 162 
6354, 124 , 152 , 148 
6365, 91 , 116 , 115 
6368, 197 , 218 , 222 
6402, 169 , 207 , 201 
6458, 155 , 238 , 211 
6524, 120 , 105 , 122 
6569, 75 , 113 , 97 
8220, 162 , 152 , 172 
8228, 178 , 191 , 204 
4750, 121 , 144 , 142 
4846, 115 , 154 , 141 
4847, 104 , 149 , 145 
4936, 108 , 139 , 139 
6302, 78 , 100 , 105 
6305, 144 , 207 , 195 
6314, 108 , 144 , 134 
6317, 135 , 186 , 177 
6322, 110 , 152 , 141 
6327, 133 , 146 , 148 
6404, 87 , 101 , 103 
6575, 120 , 148 , 144 
6677, 95 , 134 , 116 
6678, 68 , 92 , 86 
6679, 105 , 135 , 129 
8189, 90 , 114 , 110 
4781, 174 , 147 , 165 
4944, 188 , 173 , 184 
4982, 153 , 156 , 161 
6313, 187 , 219 , 203 
6315, 146 , 191 , 184 
6319, 107 , 137 , 132 
6359, 134 , 175 , 164 
6417, 148 , 161 , 173 
6419, 114 , 143 , 142 
6429, 117 , 112 , 125 
6562, 149 , 176 , 169 
6658, 138 , 150 , 159 
6661, 142 , 199 , 185 
6663, 126 , 173 , 161 
8291, 98 , 120 , 120 
4770, 104 , 142 , 131 
4933, 147 , 172 , 162 
4987, 94 , 88 , 95 
6320, 87 , 77 , 90 
6385, 107 , 87 , 107 
6425, 122 , 131 , 136 
6430, 155 , 195 , 189 
6565, 195 , 228 , 232 
6633, 85 , 120 , 118 
8147, 129 , 103 , 125 
8165, 167 , 229 , 225 
8172, 101 , 118 , 123 
4873, 77 , 96 , 94 
4973, 86 , 101 , 98 
6181, 86 , 103 , 101 
6344, 194 , 219 , 232 
6413, 121 , 90 , 102 
6427, 130 , 140 , 140 
6432, 139 , 189 , 179 
6461, 149 , 242 , 229 
6472, 85 , 100 , 97 
6510, 87 , 112 , 112 
6514, 120 , 134 , 135 
6568, 72 , 89 , 93 
6979, 90 , 184 , 143 
8146, 155 , 204 , 201 
8162, 106 , 147 , 144 
8238, 144 , 194 , 198 
4736, 108 , 112 , 120 
4738, 64 , 97 , 84 
4787, 160 , 206 , 197 
6254, 128 , 121 , 137 
6309, 92 , 130 , 124 
6310, 159 , 188 , 187 
6311, 124 , 146 , 146 
6312, 101 , 110 , 117 
6321, 106 , 100 , 117 
6324, 107 , 129 , 123 
6436, 104 , 125 , 122 
6535, 99 , 129 , 123 
8149, 142 , 158 , 148 
8164, 86 , 115 , 112 
8167, 144 , 193 , 186 
8183, 121 , 164 , 146 
8185, 80 , 93 , 97 
4840, 105 , 148 , 137 
4942, 162 , 191 , 179 
6228, 106 , 104 , 120 
6328, 334 , 370 , 372 
6331, 102 , 131 , 124 
6339, 144 , 167 , 168 
6349, 169 , 148 , 173 
6358, 103 , 176 , 171 
6384, 164 , 194 , 186 
6388, 124 , 163 , 157 
6444, 111 , 146 , 136 
6464, 115 , 132 , 135 
6487, 145 , 138 , 152 
8184, 100 , 158 , 141 
8297, 123 , 136 , 136 
4778, 148 , 182 , 175 
4962, 79 , 94 , 91 
6412, 174 , 218 , 208 
6454, 161 , 186 , 179 
6657, 96 , 133 , 131 
6659, 130 , 165 , 160 
6660, 96 , 102 , 102 
6662, 114 , 105 , 117 
6664, 126 , 135 , 143 
6666, 125 , 146 , 141 
6667, 71 , 92 , 98 
8139, 131 , 132 , 137 
4739, 116 , 138 , 139 
4780, 131 , 169 , 167 
4789, 165 , 175 , 181 
4802, 141 , 143 , 155 
4804, 228 , 234 , 239 
6409, 250 , 322 , 296 
6509, 116 , 137 , 139 
6643, 212 , 216 , 241 
6644, 273 , 278 , 315 
6646, 109 , 116 , 126 
8158, 186 , 198 , 199 
8166, 322 , 356 , 366 
8194, 137 , 159 , 156 
8203, 221 , 230 , 251 
8211, 161 , 221 , 208 
8225, 199 , 220 , 223 
8287, 181 , 193 , 200 
4724, 118 , 143 , 142 
4776, 132 , 179 , 173 
4817, 152 , 174 , 173 
4836, 139 , 151 , 150 
4989, 118 , 117 , 125 
4990, 186 , 205 , 211 
6329, 155 , 186 , 183 
6361, 194 , 260 , 246 
6435, 137 , 152 , 155 
8102, 229 , 226 , 231 
8106, 169 , 185 , 180 
8107, 102 , 95 , 115 
8119, 199 , 246 , 241 
8196, 133 , 168 , 162 
8213, 142 , 163 , 171 
8236, 391 , 469 , 447 
8247, 156 , 160 , 163 
4740, 149 , 190 , 203 
4930, 150 , 230 , 196 
6249, 192 , 224 , 229 
6256, 133 , 175 , 180 
6260, 223 , 237 , 244 
6501, 155 , 177 , 184 
6507, 187 , 184 , 200 
6512, 219 , 208 , 234 
6518, 139 , 159 , 170 
6572, 236 , 298 , 278 
8112, 207 , 277 , 255 
8222, 177 , 233 , 226 
8256, 267 , 298 , 295 
8257, 106 , 128 , 126 
8292, 244 , 237 , 241 
8294, 255 , 361 , 329 
4109, 142 , 169 , 167 
4775, 246 , 220 , 243 
4790, 135 , 160 , 159 
4837, 108 , 129 , 141 
4871, 72 , 83 , 83 
4874, 89 , 112 , 109 
6220, 86 , 112 , 100 
6503, 129 , 132 , 165 
6521, 150 , 160 , 165 
6527, 136 , 143 , 145 
8114, 158 , 215 , 197 
8181, 128 , 178 , 163 
8221, 163 , 199 , 190 
8237, 113 , 133 , 125 
8261, 113 , 132 , 126 
8271, 129 , 170 , 157 
8273, 211 , 268 , 245 
4947, 130 , 138 , 142 
4963, 116 , 163 , 154 
6242, 129 , 151 , 148 
6251, 71 , 105 , 105 
6307, 145 , 190 , 186 
6308, 135 , 170 , 164 
6326, 113 , 151 , 142 
6373, 128 , 146 , 142 
6375, 101 , 107 , 117 
6407, 93 , 106 , 119 
6457, 109 , 145 , 139 
6556, 80 , 119 , 105 
8152, 149 , 178 , 179 
4815, 82 , 103 , 106 
4926, 108 , 136 , 138 
6304, 199 , 262 , 250 
6325, 155 , 225 , 204 
6334, 53 , 64 , 65 
6424, 141 , 174 , 168 
6437, 150 , 182 , 177 
6485, 150 , 152 , 182 
6489, 126 , 129 , 136 
8128, 89 , 116 , 107 
8135, 113 , 149 , 141 
8168, 182 , 259 , 231 
8169, 141 , 161 , 159 
8174, 158 , 205 , 195 
8197, 85 , 103 , 107 
8215, 93 , 121 , 118 
8298, 92 , 137 , 136 
4707, 89 , 108 , 117 
4791, 144 , 107 , 145 
4870, 119 , 156 , 147 
4920, 100 , 134 , 134 
6247, 98 , 100 , 108 
6275, 86 , 97 , 101 
6418, 112 , 114 , 121 
6426, 114 , 137 , 134 
6505, 99 , 84 , 110 
8163, 123 , 180 , 169 
8176, 140 , 174 , 172 
8207, 94 , 104 , 115 
8208, 155 , 169 , 179 
8243, 95 , 127 , 127 
8254, 103 , 106 , 124 
8293, 138 , 158 , 163 
6238, 111 , 154 , 137 
4731, 76 , 83 , 84 
4761, 88 , 133 , 118 
4839, 119 , 99 , 124 
6267, 91 , 110 , 118 
6342, 165 , 205 , 192 
6350, 205 , 293 , 265 
6779, 71 , 73 , 76 
7189, 128 , 100 , 129 
8117, 80 , 114 , 102 
8224, 184 , 187 , 191 
8239, 130 , 171 , 158 
8241, 85 , 103 , 102 
8263, 126 , 135 , 139 
8289, 137 , 163 , 159 
8296, 235 , 275 , 267 
8295, 181 , 282 , 255 
8266, 184 , 282 , 248 
8134, 261 , 297 , 297 
8104, 228 , 318 , 298 
6415, 283 , 311 , 317 
6377, 116 , 152 , 156 
4969, 216 , 268 , 277 
4825, 142 , 189 , 162 
4808, 164 , 212 , 210 
4749, 138 , 146 , 157 
8209, 175 , 188 , 195 
4985, 192 , 207 , 221 
4741, 85 , 116 , 110 
4875, 88 , 138 , 136 
4878, 171 , 164 , 171 
4999, 127 , 121 , 133 
6252, 70 , 83 , 78 
6449, 144 , 183 , 169 
6474, 98 , 147 , 135 
6479, 166 , 202 , 192 
8125, 88 , 125 , 108 
8180, 127 , 187 , 171 
8182, 97 , 99 , 107 
8205, 141 , 199 , 183 
8251, 110 , 108 , 133 
8285, 136 , 161 , 155 
4728, 214 , 224 , 239 
4851, 126 , 131 , 149 
4876, 268 , 318 , 310 
4908, 77 , 107 , 99 
4992, 130 , 125 , 141 
6380, 160 , 164 , 182 
6450, 146 , 174 , 168 
6517, 100 , 126 , 124 
6528, 111 , 122 , 146 
8111, 145 , 183 , 177 
8123, 189 , 237 , 226 
8132, 216 , 221 , 240 
8133, 131 , 155 , 155 
8136, 121 , 124 , 123 
8188, 216 , 279 , 269 
8276, 190 , 234 , 221 
4795, 199 , 230 , 229 
6690, 289 , 351 , 357 
6689, 211 , 262 , 258 
6680, 181 , 281 , 257 
6543, 161 , 296 , 236 
6270, 253 , 265 , 269 
6225, 197 , 316 , 286 
4866, 247 , 244 , 261 
," 93,290 "," 109,806 "," 109,669 "
