STORE_NBR,ITEM_NBR,ITEM1_DESC,CURRENT_RTL
23,675677756,STITCH KEYCHAIN BAG,9.88
24,675562821,HKITTY/KEROPPI KYCH,8.88
24,675562083,STITCH CRYSTAL PEND,8.88
24,675625453,HELLO KITTY CRY ER,8.88
24,675562121,HELLO KITTY PD/ER,7.88
24,675562099,HELLO KITTY CRYS ER,8.88
24,675562028,HELLOKITTY BFF KEYCH,9.88
24,675562524,STITCH BOW CLIP SET,8.88
24,675562014,HELLOKITTY PLSH KYCH,9.88
24,675561998,CHEER BEAR KEYCHAIN,8.88
24,675562097,KUROMI HOOP EARRING,7.88
24,675562357,JACK PLUSH KEYCHAIN,9.88
24,675562010,HELLOKITTY KEYCH BAG,9.88
24,675562685,HELLOKITTY SCRUNCHIE,7.88
24,675562123,HELLOKITTY HRT PD/ER,7.88
24,675562016,MYMELODY PLUSH KEYCH,9.88
24,675625465,DEADPL/WLVERNE BFFPD,8.88
24,675562005,STITCH/ANGEL KEYCHN,9.88
24,675562057,HKITTY CRYSTAL PD,8.88
24,675677756,STITCH KEYCHAIN BAG,9.88
24,676314867,HELLOKITTY CLIP 4PC,7.88
24,675562002,SNOOPY BFF KEYCHAIN,8.88
24,675562075,HELLO KITTY BFF PDS,8.88
24,675677758,HELLOKITTY BFF KEYCH,9.88
25,675562821,HKITTY/KEROPPI KYCH,8.88
25,675562099,HELLO KITTY CRYS ER,8.88
25,675562057,HKITTY CRYSTAL PD,8.88
25,675677762,KUROMI PLUSH KEYCH,9.88
25,675561998,CHEER BEAR KEYCHAIN,8.88
25,676314867,HELLOKITTY CLIP 4PC,7.88
25,675562524,STITCH BOW CLIP SET,8.88
25,675625465,DEADPL/WLVERNE BFFPD,8.88
25,675562016,MYMELODY PLUSH KEYCH,9.88
25,675562064,STITCH/ANGEL BFF PD,8.88
25,675562005,STITCH/ANGEL KEYCHN,9.88
25,675677758,HELLOKITTY BFF KEYCH,9.88
25,675677756,STITCH KEYCHAIN BAG,9.88
25,675562028,HELLOKITTY BFF KEYCH,9.88
25,675562075,HELLO KITTY BFF PDS,8.88
25,675562083,STITCH CRYSTAL PEND,8.88
25,675562001,STITCH/ANGEL KEYCHN,8.88
25,675562014,HELLOKITTY PLSH KYCH,9.88
25,675562009,HKITTY POMPOM KEYCH,9.88
25,675562002,SNOOPY BFF KEYCHAIN,8.88
25,675562097,KUROMI HOOP EARRING,7.88
