Location Number,June 3 Hours,Week 19 (6/4-5) Additional Hours
3521,16,33
3530,13,28
3542,13,28
3574,13,28
3579,13,28
3593,13,28
3594,13,28
3599,13,28
3600,16,33
3603,16,33
3604,13,28
3605,16,33
3606,13,28
3614,16,33
3615,13,28
3617,13,28
3619,16,33
3622,16,33
3628,16,33
3629,13,28
3635,16,33
3637,16,33
3638,16,33
3646,16,33
3653,16,33
3654,16,33
3655,13,28
3661,13,28
3703,13,28
3713,16,33
3723,11,23
3724,16,33
3727,16,33
3736,16,33
3740,13,28
3743,16,33
3745,16,33
3746,13,28
3752,16,33
3788,13,28
3817,13,28
3844,13,28
3845,13,28
3846,13,28
3862,13,28
3870,13,28
3880,11,23
3885,16,33
3899,16,33
3935,13,28
3959,16,33
3988,16,33
3990,16,33
4046,13,28
4048,16,33
4053,13,28
4054,13,28
4056,16,33
4057,13,28
4100,13,28
4104,16,33
4105,13,28
4114,16,33
4127,8,18
4128,13,28
4134,13,28
4138,13,28
4139,13,28
4140,16,33
4141,13,28
4142,13,28
4145,13,28
4147,13,28
4148,13,28
4157,13,28
4159,13,28
4160,8,18
4169,13,28
4174,13,28
4178,13,28
4180,13,28
4182,13,28
4184,8,18
4188,13,28
4189,13,28
4193,13,28
4196,13,28
4197,16,33
4198,13,28
4206,16,33
4210,16,33
4211,13,28
4218,13,28
4220,13,28
4233,13,28
4264,13,28
4275,13,28
4293,8,18
4324,13,28
4339,13,28
4354,13,28
4357,13,28
4366,13,28
4367,16,33
4371,16,33
4373,16,33
4375,16,33
4376,16,33
4380,13,28
4388,16,33
4390,16,33
4413,13,28
4415,13,28
4421,16,33
4425,13,28
4426,16,33
4431,13,28
4432,16,33
4434,16,33
4441,13,28
4443,16,33
4445,16,33
4452,16,33
4453,11,23
4464,16,33
4465,16,33
4466,13,28
4468,16,33
4469,16,33
4470,16,33
4473,13,28
4478,13,28
4490,16,33
4491,16,33
4494,13,28
4498,13,28
4504,13,28
4516,13,28
4517,16,33
4519,16,33
4524,13,28
4525,16,33
4527,11,23
4528,16,33
4530,16,33
4545,16,33
4546,13,28
4560,13,28
4561,13,28
4563,13,28
4565,16,33
4577,16,33
4579,16,33
4580,13,28
4582,16,33
4585,16,33
4586,16,33
4589,16,33
4591,16,33
4595,13,28
4603,8,18
4605,16,33
4607,13,28
4617,13,28
4618,16,33
4619,16,33
4625,11,23
4626,11,23
4648,13,28
4654,16,33
4655,13,28
4657,13,28
4659,13,28
4667,13,28
4669,8,18
4671,8,18
4672,16,33
4673,16,33
4674,16,33
4676,16,33
4686,11,23
4691,16,33
4692,16,33
4700,13,28
4706,13,28
4747,13,28
4756,16,33
4757,13,28
4759,13,28
4762,13,28
4826,13,28
4848,13,28
5005,13,28
5007,13,28
5008,13,28
5013,13,28
5014,13,28
5021,13,28
5043,13,28
5059,16,33
5062,16,33
5081,16,33
5093,13,28
5094,13,28
5098,13,28
5100,13,28
5102,16,33
5106,13,28
5107,13,28
5108,13,28
5109,16,33
5110,13,28
5119,13,28
5122,13,28
5125,11,23
5132,13,28
5135,16,33
5143,16,33
5148,16,33
5149,13,28
5179,13,28
5180,13,28
5182,16,33
5183,13,28
5188,16,33
5198,11,23
5204,16,33
5205,13,28
5206,16,33
5207,13,28
5221,13,28
5224,13,28
5226,16,33
5248,16,33
5255,13,28
5256,16,33
5257,13,28
5258,13,28
5259,13,28
5265,16,33
5267,16,33
5269,13,28
5279,16,33
5286,13,28
5290,16,33
5291,16,33
5297,13,28
5304,13,28
5306,13,28
5308,13,28
5310,16,33
5314,13,28
5321,13,28
5323,16,33
5327,16,33
5328,13,28
5332,13,28
5336,13,28
5349,13,28
5353,16,33
5364,16,33
5365,13,28
5366,13,28
5367,16,33
5371,16,33
5372,13,28
5378,16,33
5383,16,33
5393,13,28
5408,13,28
5421,13,28
5423,13,28
5427,16,33
5451,13,28
5452,16,33
5453,13,28
5459,11,23
5464,16,33
5467,13,28
5490,16,33
5600,13,28
5601,13,28
5602,13,28
5603,13,28
5604,13,28
5605,13,28
5606,13,28
5608,13,28
5609,13,28
5610,13,28
5611,13,28
5613,13,28
5614,13,28
5615,13,28
5622,13,28
5623,13,28
5624,13,28
5627,13,28
5633,13,28
5634,8,18
5635,13,28
5637,8,18
5638,13,28
5639,13,28
5640,8,18
5643,13,28
5645,13,28
5646,13,28
5653,13,28
5654,13,28
5657,13,28
5658,13,28
5659,13,28
5661,8,18
5663,13,28
5664,13,28
5670,13,28
5675,13,28
5678,13,28
5683,13,28
5684,13,28
5689,13,28
5691,13,28
5692,13,28
5693,13,28
5695,13,28
5697,13,28
5700,16,33
5702,16,33
5704,16,33
5715,16,33
5716,16,33
5719,13,28
5722,13,28
5725,13,28
5726,16,33
5734,16,33
5737,13,28
5738,13,28
5740,16,33
5741,16,33
5744,16,33
5754,13,28
5755,13,28
5758,13,28
5759,13,28
5760,13,28
5767,13,28
5769,16,33
5771,16,33
5773,11,23
5774,13,28
5776,16,33
5780,16,33
5782,16,33
5789,16,33
5790,13,28
5791,11,23
5804,13,28
5805,16,33
5813,13,28
5815,13,28
5816,13,28
5817,13,28
5818,13,28
5819,13,28
5820,13,28
5824,16,33
5826,13,28
5828,16,33
5829,16,33
5831,13,28
5832,13,28
5837,16,33
5840,13,28
5846,13,28
5855,13,28
5863,13,28
5875,13,28
5876,13,28
5903,16,33
5907,13,28
5908,16,33
5923,16,33
5925,16,33
5945,13,28
5960,13,28
5962,13,28
5963,13,28
5979,13,28
5980,13,28
5981,13,28
5982,13,28
5988,13,28
5990,13,28
5991,13,28
5993,13,28
5994,13,28
6078,16,33
6098,13,28
6149,13,28
6159,13,28
6165,16,33
6166,13,28
6167,8,18
6170,13,28
6172,13,28
6174,13,28
6176,13,28
6177,8,18
6178,13,28
6207,16,33
6226,13,28
6233,13,28
6243,13,28
6263,13,28
6264,13,28
6323,16,33
6390,13,28
6398,13,28
6459,16,33
6470,13,28
6500,13,28
6531,13,28
6548,13,28
6577,13,28
6578,16,33
6583,16,33
6585,13,28
6586,13,28
6587,13,28
6588,13,28
6590,16,33
6732,16,33
6786,16,33
6798,13,28
6813,13,28
6814,13,28
6828,13,28
6849,13,28
6850,16,33
6851,16,33
6876,16,33
6894,16,33
6936,13,28
6937,13,28
6941,16,33
6942,13,28
6943,13,28
6953,16,33
6960,11,23
6962,16,33
6966,16,33
6967,13,28
6968,13,28
6971,11,23
6975,13,28
7004,13,28
7043,13,28
7062,13,28
7072,13,28
7098,8,18
7099,13,28
7127,13,28
7137,16,33
7146,13,28
7162,8,18
7168,16,33
7174,13,28
7177,16,33
7180,13,28
7205,13,28
7206,13,28
7209,11,23
7218,16,33
7220,13,28
7221,16,33
7222,13,28
7224,16,33
7229,13,28
7232,16,33
7233,16,33
7235,16,33
7240,16,33
7241,16,33
7242,13,28
7251,16,33
7262,16,33
7296,13,28
7298,13,28
7299,16,33
7304,11,23
7307,13,28
7308,16,33
7309,13,28
7310,16,33
7311,13,28
7315,16,33
7317,13,28
7320,13,28
7329,8,18
7334,13,28
7337,16,33
7339,16,33
7340,16,33
7342,16,33
7347,16,33
7349,16,33
7357,16,33
7361,13,28
7362,13,28
8958,13,28
4041,8,18
4109,11,23
4702,11,23
4703,11,23
4704,8,18
4707,11,23
4709,11,23
4710,11,23
4711,11,23
4712,11,23
4713,11,23
4718,11,23
4720,8,18
4721,8,18
4722,11,23
4724,11,23
4728,11,23
4729,11,23
4730,11,23
4731,11,23
4732,11,23
4735,11,23
4736,8,18
4738,11,23
4739,11,23
4740,11,23
4741,11,23
4742,11,23
4743,11,23
4745,11,23
4749,11,23
4750,11,23
4754,8,18
4755,8,18
4761,8,18
4763,11,23
4764,11,23
4767,11,23
4768,11,23
4769,11,23
4770,11,23
4771,11,23
4772,8,18
4774,8,18
4775,11,23
4776,11,23
4777,11,23
4778,11,23
4780,11,23
4781,11,23
4782,11,23
4783,11,23
4784,11,23
4785,11,23
4786,11,23
4787,11,23
4789,11,23
4790,11,23
4791,11,23
4794,11,23
4795,11,23
4797,11,23
4798,11,23
4799,11,23
4801,11,23
4802,11,23
4804,11,23
4805,11,23
4808,11,23
4815,11,23
4816,11,23
4817,11,23
4818,11,23
4819,11,23
4820,11,23
4822,11,23
4824,11,23
4825,11,23
4828,11,23
4829,11,23
4830,11,23
4831,11,23
4836,11,23
4837,11,23
4839,11,23
4840,8,18
4843,11,23
4846,11,23
4847,11,23
4850,11,23
4851,11,23
4852,11,23
4853,11,23
4855,11,23
4857,11,23
4859,11,23
4860,11,23
4861,11,23
4870,11,23
4871,11,23
4872,11,23
4873,11,23
4874,11,23
4875,11,23
4876,11,23
4878,11,23
4879,11,23
4901,11,23
4905,11,23
4906,11,23
4908,11,23
4911,11,23
4914,8,18
4915,11,23
4917,11,23
4920,11,23
4925,8,18
4926,11,23
4930,11,23
4933,11,23
4936,11,23
4938,11,23
4939,11,23
4942,11,23
4944,8,18
4946,11,23
4947,11,23
4948,11,23
4950,11,23
4952,11,23
4955,11,23
4958,11,23
4961,11,23
4962,11,23
4963,11,23
4969,11,23
4972,11,23
4973,11,23
4974,11,23
4982,8,18
4983,11,23
4985,11,23
4987,11,23
4989,11,23
4990,11,23
4991,11,23
4992,11,23
4994,11,23
4996,11,23
4998,11,23
4999,11,23
6181,11,23
6188,11,23
6189,11,23
6201,8,18
6202,8,18
6203,11,23
6204,11,23
6205,11,23
6212,11,23
6213,11,23
6214,8,18
6216,11,23
6217,11,23
6218,11,23
6219,11,23
6220,11,23
6228,11,23
6235,8,18
6236,11,23
6238,11,23
6239,8,18
6240,11,23
6242,11,23
6244,11,23
6245,11,23
6246,11,23
6247,11,23
6249,11,23
6251,11,23
6252,8,18
6254,11,23
6255,11,23
6256,11,23
6257,11,23
6259,8,18
6260,11,23
6261,11,23
6262,11,23
6265,11,23
6267,11,23
6269,11,23
6275,11,23
6302,11,23
6304,8,18
6305,11,23
6307,8,18
6308,11,23
6309,11,23
6310,11,23
6311,11,23
6312,11,23
6313,11,23
6314,11,23
6315,8,18
6317,11,23
6319,11,23
6320,11,23
6321,8,18
6322,11,23
6324,11,23
6325,8,18
6326,11,23
6327,11,23
6328,11,23
6329,11,23
6330,11,23
6331,11,23
6332,11,23
6333,11,23
6334,8,18
6335,11,23
6336,11,23
6338,11,23
6339,11,23
6341,8,18
6342,11,23
6343,11,23
6344,11,23
6345,11,23
6347,11,23
6348,11,23
6349,8,18
6350,11,23
6351,11,23
6352,11,23
6353,11,23
6354,11,23
6355,11,23
6356,8,18
6357,11,23
6358,11,23
6359,11,23
6360,11,23
6361,11,23
6363,11,23
6364,11,23
6365,11,23
6366,8,18
6367,11,23
6368,11,23
6369,11,23
6371,11,23
6372,11,23
6373,11,23
6375,11,23
6376,11,23
6377,11,23
6378,11,23
6379,11,23
6380,11,23
6381,11,23
6382,11,23
6383,11,23
6384,11,23
6385,11,23
6386,11,23
6387,11,23
6388,11,23
6401,11,23
6402,11,23
6403,11,23
6404,8,18
6405,11,23
6406,11,23
6407,11,23
6408,11,23
6409,11,23
6410,11,23
6412,11,23
6413,11,23
6414,11,23
6415,11,23
6417,8,18
6418,11,23
6419,11,23
6420,11,23
6421,11,23
6422,11,23
6423,11,23
6424,11,23
6425,11,23
6426,11,23
6427,8,18
6428,11,23
6429,11,23
6430,11,23
6431,8,18
6432,11,23
6433,11,23
6434,11,23
6435,11,23
6436,8,18
6437,11,23
6439,11,23
6440,8,18
6441,11,23
6443,11,23
6444,11,23
6445,11,23
6448,11,23
6449,11,23
6450,11,23
6452,11,23
6453,11,23
6454,11,23
6455,8,18
6456,11,23
6457,11,23
6458,11,23
6460,11,23
6461,11,23
6462,8,18
6463,11,23
6464,11,23
6471,11,23
6472,11,23
6474,11,23
6479,8,18
6482,11,23
6485,8,18
6487,11,23
6489,11,23
6501,11,23
6502,11,23
6503,11,23
6505,11,23
6506,11,23
6507,11,23
6509,8,18
6510,11,23
6512,11,23
6514,11,23
6517,11,23
6518,11,23
6520,11,23
6521,11,23
6522,8,18
6524,11,23
6527,11,23
6528,11,23
6533,11,23
6535,11,23
6536,11,23
6539,8,18
6540,8,18
6547,11,23
6549,11,23
6556,8,18
6562,11,23
6565,11,23
6567,8,18
6568,11,23
6569,11,23
6570,8,18
6571,11,23
6572,11,23
6573,11,23
6575,11,23
6581,11,23
6582,11,23
6604,11,23
6605,11,23
6606,11,23
6608,11,23
6609,11,23
6610,11,23
6612,8,18
6613,11,23
6614,11,23
6615,11,23
6616,11,23
6617,11,23
6619,11,23
6620,11,23
6621,11,23
6622,11,23
6624,11,23
6626,8,18
6628,8,18
6630,8,18
6631,11,23
6632,8,18
6633,8,18
6634,11,23
6635,8,18
6636,11,23
6637,8,18
6643,11,23
6644,11,23
6646,11,23
6650,11,23
6651,11,23
6652,11,23
6653,8,18
6655,11,23
6657,11,23
6658,11,23
6659,11,23
6660,11,23
6661,11,23
6662,11,23
6663,11,23
6664,11,23
6666,8,18
6667,11,23
6670,11,23
6671,8,18
6672,11,23
6673,8,18
6674,8,18
6675,11,23
6676,11,23
6677,11,23
6678,11,23
6679,11,23
6682,11,23
6683,11,23
6684,11,23
6685,11,23
6686,11,23
6692,11,23
6693,8,18
6779,11,23
6781,11,23
6867,11,23
6976,11,23
6979,11,23
7189,11,23
7191,8,18
7658,11,23
7676,11,23
8102,11,23
8104,11,23
8106,11,23
8107,11,23
8111,11,23
8112,11,23
8114,11,23
8115,11,23
8116,11,23
8117,11,23
8119,11,23
8120,11,23
8123,11,23
8125,11,23
8126,11,23
8128,8,18
8129,11,23
8130,11,23
8132,8,18
8133,8,18
8134,11,23
8135,11,23
8136,11,23
8138,11,23
8139,11,23
8141,11,23
8142,11,23
8144,11,23
8145,11,23
8146,11,23
8147,11,23
8149,8,18
8150,11,23
8151,11,23
8152,11,23
8153,11,23
8155,11,23
8156,11,23
8157,11,23
8158,11,23
8160,11,23
8161,11,23
8162,11,23
8163,8,18
8164,8,18
8165,11,23
8166,8,18
8167,8,18
8168,11,23
8169,11,23
8172,11,23
8173,8,18
8174,11,23
8175,11,23
8176,11,23
8177,11,23
8180,11,23
8181,11,23
8182,11,23
8183,11,23
8184,11,23
8185,8,18
8186,11,23
8188,11,23
8189,11,23
8190,11,23
8191,11,23
8192,11,23
8193,11,23
8194,11,23
8196,11,23
8197,11,23
8201,11,23
8202,11,23
8203,11,23
8205,11,23
8207,11,23
8208,11,23
8209,11,23
8210,11,23
8211,8,18
8213,11,23
8215,11,23
8218,11,23
8219,8,18
8220,11,23
8221,11,23
8222,11,23
8223,11,23
8224,11,23
8225,11,23
8226,11,23
8227,11,23
8228,11,23
8236,11,23
8237,11,23
8238,11,23
8239,11,23
8241,11,23
8242,11,23
8243,11,23
8244,11,23
8245,11,23
8246,11,23
8247,11,23
8248,11,23
8250,11,23
8251,11,23
8252,11,23
8253,11,23
8254,11,23
8256,11,23
8257,11,23
8259,11,23
8261,11,23
8262,11,23
8263,11,23
8264,11,23
8265,11,23
8266,11,23
8267,11,23
8268,11,23
8269,8,18
8270,11,23
8271,11,23
8272,11,23
8273,11,23
8274,11,23
8275,11,23
8276,11,23
8277,11,23
8278,11,23
8279,11,23
8280,11,23
8281,11,23
8282,11,23
8283,11,23
8284,11,23
8285,11,23
8286,11,23
8287,11,23
8288,11,23
8289,11,23
8290,11,23
8291,11,23
8292,11,23
8293,11,23
8294,11,23
8295,11,23
8296,11,23
8297,11,23
8298,11,23
8299,11,23
1,16,33
2,8,18
3,8,18
4,13,28
5,13,28
7,13,28
8,8,18
9,8,18
10,8,18
11,8,18
12,13,28
13,13,28
14,8,18
15,8,18
16,13,28
17,13,28
18,8,18
19,13,28
20,8,18
21,8,18
22,8,18
23,13,28
24,13,28
25,8,18
26,13,28
27,8,18
28,8,18
29,13,28
30,8,18
31,8,18
33,8,18
34,8,18
35,13,28
36,13,28
37,13,28
38,8,18
39,8,18
40,8,18
41,13,28
42,8,18
43,8,18
45,13,28
46,8,18
47,8,18
48,8,18
49,8,18
50,8,18
51,8,18
52,13,28
54,13,28
55,8,18
56,8,18
58,11,23
59,13,28
60,13,28
61,8,18
62,8,18
63,8,18
64,8,18
65,8,18
66,8,18
67,8,18
68,8,18
69,13,28
70,13,28
71,8,18
72,8,18
73,13,28
74,8,18
75,13,28
76,8,18
77,8,18
78,8,18
79,13,28
80,13,28
81,8,18
82,8,18
83,8,18
85,13,28
86,13,28
87,8,18
88,8,18
89,8,18
90,8,18
91,8,18
92,8,18
93,8,18
94,13,28
95,13,28
96,8,18
97,13,28
98,8,18
99,13,28
100,16,33
101,8,18
102,8,18
103,13,28
104,8,18
105,8,18
106,8,18
107,8,18
108,8,18
109,8,18
110,16,33
111,8,18
112,8,18
113,13,28
114,8,18
115,8,18
118,8,18
119,8,18
120,8,18
121,8,18
122,13,28
123,8,18
124,8,18
125,13,28
126,13,28
127,8,18
128,13,28
129,13,28
130,8,18
131,8,18
132,8,18
133,8,18
134,8,18
135,8,18
137,13,28
138,13,28
139,8,18
140,13,28
141,13,28
143,8,18
144,13,28
145,8,18
146,8,18
147,13,28
148,13,28
149,8,18
150,8,18
151,8,18
152,8,18
153,8,18
154,16,33
155,13,28
157,13,28
158,8,18
159,13,28
160,8,18
161,8,18
162,8,18
163,16,33
164,13,28
165,13,28
166,8,18
167,8,18
168,13,28
169,13,28
170,8,18
171,8,18
172,13,28
173,8,18
174,13,28
175,13,28
177,8,18
178,8,18
179,13,28
180,8,18
181,8,18
182,13,28
183,8,18
184,13,28
185,8,18
186,8,18
188,13,28
189,8,18
190,8,18
192,13,28
194,13,28
195,8,18
196,13,28
197,8,18
198,8,18
199,8,18
200,8,18
201,13,28
202,16,33
203,8,18
204,8,18
205,8,18
206,13,28
207,8,18
211,8,18
212,13,28
213,8,18
214,8,18
216,13,28
217,13,28
218,8,18
219,13,28
220,13,28
221,13,28
222,8,18
224,8,18
225,8,18
226,8,18
227,8,18
228,13,28
229,8,18
231,8,18
233,8,18
234,13,28
236,11,23
237,8,18
238,8,18
239,8,18
240,8,18
242,8,18
243,13,28
244,8,18
246,8,18
248,8,18
249,8,18
250,8,18
251,8,18
252,8,18
253,8,18
254,8,18
256,13,28
257,8,18
258,13,28
259,13,28
260,13,28
261,13,28
262,8,18
264,13,28
265,8,18
266,13,28
267,13,28
268,8,18
269,13,28
271,8,18
272,13,28
273,8,18
275,8,18
276,13,28
277,13,28
278,13,28
279,8,18
280,8,18
281,8,18
282,8,18
284,13,28
285,13,28
286,8,18
287,8,18
288,11,23
290,16,33
292,8,18
294,8,18
295,13,28
296,13,28
297,13,28
298,13,28
299,13,28
300,13,28
301,13,28
302,13,28
303,8,18
304,13,28
305,8,18
306,13,28
307,13,28
308,8,18
309,13,28
310,13,28
312,8,18
313,13,28
314,8,18
315,8,18
316,13,28
317,8,18
318,8,18
319,13,28
321,8,18
322,13,28
323,8,18
324,8,18
325,8,18
328,8,18
329,13,28
330,13,28
331,13,28
332,13,28
333,13,28
334,13,28
335,13,28
336,8,18
337,8,18
338,8,18
340,8,18
341,8,18
342,8,18
343,8,18
344,8,18
345,8,18
346,8,18
347,8,18
348,8,18
350,8,18
351,16,33
353,8,18
354,8,18
355,13,28
356,13,28
357,8,18
358,13,28
359,13,28
360,8,18
361,13,28
362,8,18
363,8,18
364,8,18
365,13,28
366,8,18
368,8,18
369,8,18
370,8,18
371,13,28
372,8,18
373,16,33
374,13,28
375,13,28
376,13,28
378,13,28
379,13,28
381,13,28
382,8,18
383,13,28
384,13,28
386,13,28
387,8,18
388,13,28
389,13,28
390,8,18
391,13,28
392,8,18
393,13,28
394,8,18
395,13,28
396,13,28
397,13,28
398,13,28
399,13,28
400,13,28
401,8,18
402,13,28
403,8,18
404,13,28
405,8,18
406,13,28
407,16,33
408,13,28
409,8,18
410,13,28
412,8,18
413,8,18
414,13,28
415,13,28
416,13,28
417,8,18
418,8,18
419,8,18
420,13,28
421,8,18
422,8,18
423,13,28
424,8,18
425,8,18
426,13,28
427,8,18
428,13,28
429,13,28
430,8,18
431,13,28
432,8,18
433,8,18
434,13,28
435,8,18
436,8,18
437,8,18
438,11,23
440,13,28
442,8,18
443,8,18
444,13,28
445,8,18
447,13,28
448,13,28
449,13,28
450,13,28
451,13,28
452,13,28
454,8,18
456,13,28
457,13,28
458,13,28
459,13,28
461,13,28
462,13,28
463,8,18
464,13,28
465,8,18
466,8,18
467,13,28
468,13,28
469,13,28
470,13,28
471,13,28
472,13,28
475,13,28
476,8,18
477,13,28
479,8,18
481,8,18
483,13,28
484,13,28
485,13,28
486,13,28
488,8,18
489,13,28
490,13,28
491,13,28
492,8,18
493,8,18
494,13,28
495,13,28
497,13,28
498,8,18
499,13,28
500,13,28
501,13,28
502,8,18
504,13,28
505,8,18
506,8,18
507,13,28
508,13,28
510,13,28
511,13,28
512,13,28
513,8,18
514,13,28
515,8,18
516,8,18
517,13,28
518,13,28
519,8,18
520,13,28
521,13,28
522,13,28
523,8,18
524,8,18
526,13,28
527,13,28
528,13,28
529,13,28
530,8,18
531,13,28
532,13,28
533,13,28
535,13,28
536,13,28
537,13,28
538,13,28
539,13,28
540,13,28
541,13,28
542,13,28
543,8,18
544,13,28
546,13,28
547,13,28
548,13,28
549,8,18
550,8,18
551,13,28
553,13,28
555,13,28
556,8,18
557,8,18
558,13,28
559,13,28
560,13,28
561,8,18
562,13,28
563,13,28
564,13,28
565,8,18
566,13,28
568,8,18
569,8,18
571,13,28
572,13,28
573,13,28
574,13,28
575,13,28
576,13,28
577,13,28
578,13,28
579,13,28
580,13,28
581,8,18
582,13,28
583,8,18
584,8,18
585,13,28
586,13,28
587,8,18
588,13,28
589,13,28
590,13,28
591,8,18
592,13,28
593,8,18
594,13,28
595,13,28
598,13,28
599,13,28
600,8,18
601,13,28
602,13,28
603,13,28
604,13,28
605,13,28
608,13,28
609,8,18
610,8,18
611,13,28
612,8,18
613,13,28
614,13,28
615,13,28
616,13,28
618,13,28
619,8,18
620,13,28
621,8,18
622,13,28
623,13,28
624,13,28
625,13,28
627,8,18
628,13,28
629,8,18
630,13,28
631,13,28
632,13,28
633,8,18
634,13,28
635,13,28
636,8,18
637,8,18
638,13,28
639,13,28
640,13,28
641,13,28
642,8,18
643,13,28
644,13,28
645,8,18
646,8,18
647,8,18
648,13,28
649,13,28
651,13,28
652,13,28
653,13,28
655,11,23
656,8,18
657,13,28
658,13,28
659,13,28
660,13,28
661,13,28
662,13,28
663,13,28
664,8,18
665,8,18
666,13,28
667,13,28
668,13,28
669,13,28
670,13,28
671,13,28
672,13,28
673,13,28
674,13,28
675,8,18
676,8,18
677,13,28
678,8,18
680,13,28
681,13,28
682,13,28
683,8,18
684,8,18
685,13,28
686,8,18
687,13,28
688,13,28
689,13,28
690,13,28
691,8,18
692,13,28
694,13,28
695,16,33
697,13,28
698,13,28
699,13,28
700,8,18
701,13,28
702,13,28
703,13,28
705,13,28
706,13,28
707,8,18
708,8,18
709,13,28
710,13,28
711,8,18
712,8,18
714,13,28
715,13,28
716,8,18
718,13,28
719,13,28
720,13,28
721,13,28
722,13,28
723,8,18
724,13,28
725,13,28
726,8,18
727,8,18
728,13,28
729,13,28
730,8,18
731,8,18
733,8,18
734,13,28
735,8,18
736,8,18
737,8,18
738,8,18
739,8,18
740,8,18
741,8,18
742,13,28
743,13,28
744,13,28
745,13,28
746,13,28
748,8,18
749,13,28
750,8,18
751,8,18
752,13,28
753,13,28
754,13,28
755,13,28
756,8,18
757,8,18
758,8,18
759,8,18
761,13,28
762,13,28
764,13,28
765,13,28
766,13,28
767,13,28
768,13,28
769,13,28
770,8,18
771,13,28
772,13,28
773,8,18
774,13,28
775,8,18
776,13,28
777,13,28
778,13,28
779,13,28
780,13,28
781,8,18
782,8,18
784,8,18
785,8,18
786,13,28
787,13,28
788,8,18
789,13,28
790,8,18
791,8,18
793,13,28
794,8,18
795,8,18
796,8,18
797,8,18
798,8,18
799,8,18
800,13,28
801,8,18
802,8,18
803,8,18
804,8,18
805,13,28
806,13,28
807,13,28
808,13,28
809,13,28
810,13,28
811,8,18
812,8,18
813,8,18
814,13,28
815,8,18
816,8,18
817,13,28
818,13,28
819,13,28
820,8,18
821,13,28
822,13,28
823,13,28
824,13,28
825,13,28
826,13,28
827,8,18
828,13,28
831,13,28
833,8,18
834,8,18
835,13,28
836,8,18
838,13,28
839,13,28
842,13,28
843,13,28
844,13,28
846,8,18
847,8,18
848,13,28
849,13,28
850,13,28
851,8,18
852,8,18
853,13,28
854,8,18
855,8,18
856,8,18
857,13,28
858,8,18
859,13,28
860,13,28
861,13,28
862,13,28
863,8,18
864,8,18
865,13,28
866,13,28
867,13,28
868,8,18
869,8,18
870,8,18
872,13,28
874,8,18
875,13,28
876,8,18
877,13,28
878,13,28
879,8,18
880,13,28
881,13,28
882,8,18
884,13,28
885,8,18
886,13,28
887,13,28
888,8,18
889,8,18
890,13,28
891,8,18
892,13,28
894,13,28
896,13,28
897,11,23
899,13,28
900,8,18
901,13,28
902,8,18
903,8,18
904,13,28
905,13,28
906,8,18
907,8,18
908,13,28
909,13,28
910,8,18
911,13,28
912,13,28
913,8,18
914,8,18
915,13,28
916,13,28
917,8,18
918,8,18
919,13,28
921,13,28
922,8,18
923,13,28
924,8,18
927,8,18
928,13,28
929,13,28
930,13,28
931,13,28
