Store #,Program
1245,Everday 
1248,Everday 
1249,Everday 
1252,Everday 
1253,Everday 
1254,Everday 
1255,Everday 
1256,Everday 
1257,Everday 
1261,Everday 
1263,Everday 
1264,Everday 
1265,Everday 
1270,Everday 
1271,Everday 
1272,Everday 
1273,Everday 
1274,Everday 
1276,Everday 
1279,Everday 
1280,Everday 
1282,Everday 
1283,Everday 
1284,Everday 
1286,Everday 
1287,Everday 
1288,Everday 
1291,Everday 
1292,Everday 
1295,Everday 
1296,Everday 
1296,Patriotic 
1297,Everday 
1298,Everday 
1298,Patriotic 
1300,Everday 
1301,Everday 
1301,Patriotic 
1302,Everday 
1303,Everday 
1303,Patriotic 
1304,Everday 
1305,Everday 
1306,Everday 
1307,Everday 
1308,Everday 
1310,Everday 
1311,Everday 
1312,Everday 
1313,Everday 
1314,Everday 
1315,Everday 
1317,Everday 
1319,Everday 
1319,Patriotic 
1321,Everday 
1322,Everday 
1324,Everday 
1326,Everday 
1328,Everday 
1330,Everday 
1332,Everday 
1334,Everday 
1335,Everday 
1337,Everday 
1338,Everday 
1339,Everday 
1340,Everday 
1340,Patriotic 
1341,Everday 
1342,Everday 
1344,Everday 
1344,Patriotic 
1345,Everday 
1346,Everday 
1347,Everday 
1348,Everday 
1348,Patriotic 
1349,Everday 
1349,Patriotic 
1350,Everday 
1351,Everday 
1351,Patriotic 
1352,Everday 
1354,Everday 
1358,Everday 
1359,Everday 
1361,Everday 
1362,Everday 
1363,Everday 
1364,Everday 
1368,Everday 
1371,Everday 
1372,Everday 
1373,Everday 
1373,Patriotic 
1374,Everday 
1375,Everday 
1376,Everday 
1378,Everday 
1379,Everday 
1380,Everday 
1382,Everday 
1383,Everday 
1383,Patriotic 
1386,Everday 
1387,Everday 
1389,Everday 
1390,Everday 
1391,Everday 
1392,Everday 
1393,Everday 
1394,Everday 
1397,Everday 
1399,Everday 
1400,Everday 
1401,Everday 
1403,Everday 
1404,Everday 
1405,Everday 
1406,Everday 
1408,Everday 
1409,Everday 
1413,Everday 
1415,Everday 
1417,Everday 
1419,Everday 
1424,Everday 
1425,Everday 
1428,Everday 
1430,Everday 
1432,Everday 
1432,Patriotic 
1434,Everday 
1435,Everday 
1436,Everday 
1437,Everday 
1438,Everday 
1438,Patriotic 
1439,Everday 
1439,Patriotic 
1440,Everday 
1440,Patriotic 
1441,Everday 
1443,Everday 
1444,Everday 
1449,Everday 
1450,Everday 
1451,Everday 
1452,Everday 
1453,Everday 
1453,Patriotic 
1454,Everday 
1455,Everday 
1456,Everday 
1459,Everday 
1462,Everday 
1465,Everday 
1465,Patriotic 
1466,Everday 
1467,Everday 
1468,Everday 
1468,Patriotic 
1469,Everday 
1470,Everday 
1471,Everday 
1472,Everday 
1473,Everday 
1474,Everday 
1474,Patriotic 
1476,Everday 
1477,Everday 
1478,Everday 
1479,Everday 
1479,Patriotic 
1481,Everday 
1482,Everday 
1483,Everday 
1483,Patriotic 
1486,Everday 
1486,Patriotic 
1488,Everday 
1489,Everday 
1490,Everday 
1492,Everday 
1493,Everday 
1494,Everday 
1495,Everday 
1496,Everday 
1498,Everday 
1501,Everday 
1502,Everday 
1503,Everday 
1504,Everday 
1505,Everday 
1507,Everday 
1510,Everday 
1513,Everday 
1514,Everday 
1514,Patriotic 
1517,Everday 
1518,Everday 
1520,Everday 
1522,Everday 
1523,Everday 
1524,Everday 
1526,Everday 
1529,Everday 
1529,Patriotic 
1530,Everday 
1531,Everday 
1532,Everday 
1533,Everday 
1533,Patriotic 
1534,Everday 
1534,Patriotic 
1535,Everday 
1537,Everday 
1538,Everday 
1539,Everday 
1541,Everday 
1541,Patriotic 
1543,Everday 
1544,Everday 
1545,Everday 
1547,Everday 
1549,Everday 
1549,Patriotic 
1551,Everday 
1552,Everday 
1553,Everday 
1554,Everday 
1555,Everday 
1556,Everday 
1556,Patriotic 
1557,Everday 
1557,Patriotic 
1560,Everday 
1561,Everday 
1562,Everday 
1563,Everday 
1566,Everday 
1567,Everday 
1567,Patriotic 
1569,Everday 
1573,Everday 
1575,Everday 
1579,Everday 
1580,Everday 
1581,Everday 
1583,Everday 
1584,Everday 
1584,Patriotic 
1585,Everday 
1585,Patriotic 
1586,Everday 
1586,Patriotic 
1587,Everday 
1588,Everday 
1590,Everday 
1591,Everday 
1593,Everday 
1594,Everday 
1596,Everday 
1597,Everday 
1598,Everday 
1601,Everday 
1602,Everday 
1603,Everday 
1604,Everday 
1604,Patriotic 
1605,Everday 
1606,Everday 
1607,Everday 
1608,Everday 
1610,Everday 
1611,Everday 
1612,Everday 
1613,Everday 
1617,Everday 
1618,Everday 
1619,Everday 
1620,Everday 
1621,Everday 
1623,Everday 
1624,Everday 
1624,Patriotic 
1626,Everday 
1631,Everday 
1633,Everday 
1636,Everday 
1636,Patriotic 
1637,Everday 
1638,Everday 
1639,Everday 
1640,Everday 
1641,Everday 
1642,Everday 
1643,Everday 
1644,Everday 
1645,Everday 
1646,Everday 
1647,Everday 
1648,Everday 
1651,Everday 
1656,Everday 
1657,Everday 
1658,Everday 
1659,Everday 
1660,Everday 
1660,Patriotic 
1661,Everday 
1662,Everday 
1663,Everday 
1664,Everday 
1665,Everday 
1670,Everday 
1671,Everday 
1671,Patriotic 
1674,Everday 
1675,Everday 
1676,Everday 
1677,Everday 
1677,Patriotic 
1679,Everday 
1680,Everday 
1682,Everday 
1682,Patriotic 
1683,Everday 
1686,Everday 
1687,Everday 
1688,Everday 
1689,Everday 
1690,Everday 
1691,Everday 
1692,Everday 
1692,Patriotic 
1693,Everday 
1694,Everday 
1697,Everday 
1699,Everday 
1699,Patriotic 
1700,Everday 
1700,Patriotic 
1701,Everday 
1702,Everday 
1703,Everday 
1704,Everday 
1705,Everday 
1707,Everday 
1708,Everday 
1708,Patriotic 
1710,Everday 
1711,Everday 
1712,Everday 
1712,Patriotic 
1714,Everday 
1716,Everday 
1717,Everday 
1718,Everday 
1720,Everday 
1721,Everday 
