Club List,Grower,Rack QTY,RECEIPT UNITS WK 30,Wk 30 Racks,RECEIPT UNITS WK  31,Wk 31 racks,RECEIPT UNITS WK 32,Wk 32 racks,RECEIPT UNITS WK 33,Wk 33 racks ,RECEIPT UNITS WK 34,Wk 34 Racks,RECEIPT WUNITS K 35,Wk 35 Racks,RECEIPT UNITS WK 36,Wk 36 Racks,RECEIPT  UNITS WK 37,Wk 37 Racks,RECEIPT UNITS WK 38,Wk 38 Racks
8193,Catoctin Mtn ,18,66,4,201,11,96,5,112,6,138,8,64,4,6,0,46,3,0,0.0
4745,Dutch Heritage,12,64,5,95,8,80,7,14,1,51,4,58,5,23,2,2,0,0,0.0
4770,Dutch Heritage,12,66,6,133,11,50,4,8,1,36,3,32,3,14,1,1,0,27,2.2
4777,Dutch Heritage,12,86,7,99,8,60,5,99,8,30,3,39,3,13,1,6,0,-1,-0.1
4816,Dutch Heritage,12,114,10,150,12,126,10,53,4,141,12,74,6,1,0,-3,0,46,3.9
4853,Dutch Heritage,12,127,11,282,23,194,16,4,0,195,16,134,11,0,0,0,0,-1,-0.1
4987,Dutch Heritage,12,102,8,100,8,61,5,105,9,64,5,83,7,51,4,0,0,0,0.0
6219,Dutch Heritage,12,114,10,116,10,130,11,59,5,90,8,107,9,0,0,0,0,0,0.0
6549,Dutch Heritage,12,111,9,173,14,96,8,65,5,92,8,90,8,46,4,6,0,2,0.2
6630,Dutch Heritage,12,88,7,120,10,62,5,79,7,37,3,81,7,24,2,0,0,0,0.0
6631,Dutch Heritage,12,75,6,39,3,48,4,64,5,54,5,31,3,0,0,0,0,0,0.0
6632,Dutch Heritage,12,71,6,28,2,51,4,21,2,20,2,23,2,9,1,52,4,0,0.0
6633,Dutch Heritage,12,97,8,90,7,81,7,80,7,46,4,58,5,8,1,0,0,-2,-0.2
6634,Dutch Heritage,12,107,9,292,24,168,14,81,7,140,12,129,11,13,1,-1,0,0,0.0
6635,Dutch Heritage,12,105,9,89,7,72,6,92,8,49,4,73,6,38,3,0,0,0,0.0
8147,Dutch Heritage,12,107,9,173,14,74,6,74,6,80,7,101,8,-1,0,0,0,-1,-0.1
8272,Dutch Heritage,12,101,8,86,7,172,14,72,6,75,6,92,8,52,4,0,0,0,0.0
4728,Green Circle,21,363,17,601,29,234,11,260,12,119,6,45,2,-2,0,-1,0,0,0.0
4750,Green Circle,21,199,9,219,10,252,12,255,12,178,8,85,4,1,0,-1,0,0,0.0
4808,Green Circle,21,259,12,547,26,624,30,541,26,461,22,389,19,204,10,-1,0,-1,-0.1
4846,Green Circle,21,530,25,568,27,405,19,254,12,254,12,150,7,0,0,0,0,0,0.0
4847,Green Circle,21,704,34,447,21,0,0,-1,0,0,0,0,0,0,0,0,0,0,0.0
4859,Green Circle,21,292,14,482,23,620,30,484,23,359,17,70,3,2,0,0,0,0,0.0
4876,Green Circle,21,77,4,113,5,43,2,101,5,106,5,20,1,-1,0,0,0,0,0.0
4908,Green Circle,21,131,6,246,12,177,8,125,6,42,2,8,0,0,0,0,0,0,0.0
4936,Green Circle,21,482,23,496,24,64,3,0,0,0,0,0,0,0,0,0,0,0,0.0
4947,Green Circle,21,302,14,491,23,477,23,286,14,172,8,69,3,4,0,0,0,0,0.0
4952,Green Circle,21,414,20,617,29,589,28,550,26,396,19,108,5,-2,0,0,0,-2,-0.1
4962,Green Circle,21,60,3,97,5,185,9,191,9,172,8,22,1,49,2,49,2,49,2.3
4963,Green Circle,21,239,11,223,11,360,17,333,16,172,8,102,5,-5,0,-4,0,0,0.0
4969,Green Circle,21,612,29,"1,043",50,"1,314",63,"1,194",57,"1,260",60,966,46,541,26,-5,0,-5,-0.2
6201,Green Circle,21,509,24,643,31,446,21,437,21,217,10,23,1,25,1,0,0,-2,-0.1
6242,Green Circle,21,126,6,349,17,206,10,179,9,126,6,49,2,-4,0,0,0,-4,-0.2
6251,Green Circle,21,254,12,466,22,595,28,556,26,471,22,33,2,-2,0,-2,0,1,0.1
6302,Green Circle,21,231,11,297,14,389,19,381,18,319,15,128,6,0,0,0,0,-10,-0.5
6304,Green Circle,21,98,5,140,7,126,6,195,9,148,7,153,7,55,3,49,2,49,2.3
6305,Green Circle,21,137,7,167,8,173,8,186,9,164,8,25,1,49,2,0,0,0,0.0
6307,Green Circle,21,54,3,122,6,33,2,92,4,3,0,25,1,23,1,25,1,0,0.0
6308,Green Circle,21,181,9,355,17,389,19,373,18,205,10,103,5,0,0,0,0,0,0.0
6313,Green Circle,21,490,23,674,32,"1,003",48,868,41,729,35,11,1,25,1,25,1,25,1.2
6314,Green Circle,21,347,17,372,18,390,19,358,17,225,11,90,4,-1,0,0,0,0,0.0
6317,Green Circle,21,304,14,590,28,307,15,396,19,238,11,55,3,0,0,-2,0,0,0.0
6322,Green Circle,21,589,28,871,41,644,31,477,23,232,11,-2,0,-1,0,-2,0,0,0.0
6326,Green Circle,21,238,11,297,14,485,23,480,23,357,17,54,3,48,2,49,2,49,2.3
6327,Green Circle,21,315,15,284,14,238,11,313,15,77,4,16,1,0,0,0,0,0,0.0
6356,Green Circle,21,293,14,388,18,474,23,417,20,201,10,156,7,-5,0,0,0,0,0.0
6366,Green Circle,21,520,25,728,35,535,25,359,17,189,9,69,3,0,0,0,0,0,0.0
6373,Green Circle,21,315,15,440,21,376,18,299,14,158,8,44,2,0,0,0,0,0,0.0
6375,Green Circle,21,55,3,163,8,217,10,167,8,149,7,49,2,0,0,0,0,0,0.0
6380,Green Circle,21,169,8,215,10,202,10,163,8,102,5,74,4,26,1,25,1,20,0.9
6404,Green Circle,21,400,19,404,19,535,25,505,24,410,20,115,5,-4,0,0,0,-2,-0.1
6406,Green Circle,21,448,21,506,24,600,29,449,21,342,16,55,3,0,0,-2,0,0,0.0
6407,Green Circle,21,174,8,199,9,225,11,237,11,130,6,102,5,54,3,0,0,0,0.0
6423,Green Circle,21,151,7,300,14,334,16,404,19,179,9,141,7,2,0,0,0,0,0.0
6424,Green Circle,21,270,13,393,19,374,18,269,13,194,9,104,5,2,0,0,0,0,0.0
6428,Green Circle,21,299,14,559,27,594,28,607,29,369,18,35,2,-7,0,-13,-1,-11,-0.5
6431,Green Circle,21,276,13,225,11,239,11,160,8,52,2,9,0,0,0,0,0,0,0.0
6440,Green Circle,21,"1,144",54,"1,237",59,"1,394",66,"1,108",53,828,39,52,2,-2,0,-2,0,-2,-0.1
6449,Green Circle,21,164,8,239,11,178,8,194,9,80,4,79,4,-2,0,0,0,0,0.0
6450,Green Circle,21,234,11,313,15,451,21,312,15,169,8,50,2,-4,0,44,2,0,0.0
6456,Green Circle,21,346,16,486,23,127,6,29,1,27,1,0,0,0,0,0,0,0,0.0
6460,Green Circle,21,130,6,167,8,156,7,132,6,115,5,44,2,-1,0,0,0,0,0.0
