DC,Item Number,Category,Pick Type,Supplier Number,Supplier Name,
6065,653976455,ORNAMENTALS                   ,Case Pick,551424940,MIDWESTS BEST PRODUCE CO INC T,
6065,653976454,ORNAMENTALS                   ,Case Pick,551424940,MIDWESTS BEST PRODUCE CO INC T,
6065,585138309,PUMPKINS WHITE                ,FPP,551424940,MIDWESTS BEST PRODUCE CO INC T,
6065,585138310,AUTUMN COLOURS                ,FPP,551424943,MIDWESTS BEST PRODUCE CO INC T,
6071,581367056,CARVING PUMPKIN               ,FPP,393843940,SCOTLYNN SWEETPAC GROWERS INC.,
6071,551701181,PIE PUMPKIN                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6071,550813548,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6071,654461045,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6071,550813559,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6071,550937075,PUMPKINS WHITE                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6071,556330665,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6071,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
6072,9420598,CARVING PUMPKIN               ,FPP,460052943,FREY PRODUCE LLC              ,
6072,551710426,PIE PUMPKIN                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6072,9420499,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6072,9420464,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6072,9473972,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6072,676174746,PUMPKINS WHITE                ,FPP,460052946,FREY PRODUCE LLC              ,
6072,576952792,AUTUMN COLOURS                ,FPP,460052945,FREY PRODUCE LLC              ,
6072,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
6073,9478249,CARVING PUMPKIN               ,FPP,231772942,BOTTOMLEY EVERGREENS & FARMS  ,
6073,9446423,CARVING PUMPKIN               ,FPP,257662944,FIFER ORCHARDS INC            ,
6073,551701181,PIE PUMPKIN                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6073,550813548,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6073,654461045,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6073,550813559,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6073,550937075,PUMPKINS WHITE                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6073,556330665,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6074,594460141,CARVING PUMPKIN               ,FPP,260448941,SMP MARKETING LLC             ,
6074,595014646,PIE PUMPKIN                   ,Case Pick,38755942,MOUZIN BROTHERS FARMS LLC     ,
6074,595014639,ORNAMENTALS                   ,Case Pick,38755942,MOUZIN BROTHERS FARMS LLC     ,
6074,595014642,ORNAMENTALS                   ,Case Pick,38755942,MOUZIN BROTHERS FARMS LLC     ,
6074,595014644,ORNAMENTALS                   ,Case Pick,38755942,MOUZIN BROTHERS FARMS LLC     ,
6074,580718250,PUMPKINS WHITE                ,FPP,447713942,WIERS FARM INC                ,
6074,595600878,AUTUMN COLOURS                ,FPP,447713947,WIERS FARM INC                ,
6074,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
6077,9420598,CARVING PUMPKIN               ,FPP,460052943,FREY PRODUCE LLC              ,
6077,551710426,PIE PUMPKIN                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6077,9420499,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6077,9420464,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6077,9473972,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6077,676174746,PUMPKINS WHITE                ,FPP,460052946,FREY PRODUCE LLC              ,
6077,576952792,AUTUMN COLOURS                ,FPP,460052945,FREY PRODUCE LLC              ,
6077,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
6082,9420598,CARVING PUMPKIN               ,FPP,460052943,FREY PRODUCE LLC              ,
6082,551710426,PIE PUMPKIN                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6082,9420499,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6082,9420464,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6082,9473972,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6082,676174746,PUMPKINS WHITE                ,FPP,460052946,FREY PRODUCE LLC              ,
6082,576952792,AUTUMN COLOURS                ,FPP,460052945,FREY PRODUCE LLC              ,
6082,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
6083,9445464,CARVING PUMPKIN               ,FPP,468777940,LUSK ONION COMPANY            ,
6083,571317436,PIE PUMPKIN                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
6083,556108568,ORNAMENTALS                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
6083,556108565,ORNAMENTALS                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
6083,576219639,PUMPKINS WHITE                ,FPP,468777940,LUSK ONION COMPANY            ,
6083,556152829,AUTUMN COLOURS                ,FPP,468777942,LUSK ONION COMPANY            ,
6083,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
6084,9445464,CARVING PUMPKIN               ,FPP,468777940,LUSK ONION COMPANY            ,
6084,595309333,CARVING PUMPKIN               ,FPP,71714940,"RUBY ROBINSON COMPANY, LLC    ",
6084,571317436,PIE PUMPKIN                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
6084,556108568,ORNAMENTALS                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
6084,556108565,ORNAMENTALS                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
6084,576219639,PUMPKINS WHITE                ,FPP,468777940,LUSK ONION COMPANY            ,
6084,556152829,AUTUMN COLOURS                ,FPP,468777942,LUSK ONION COMPANY            ,
6084,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
6085,576811037,CARVING PUMPKIN               ,FPP,551424943,MIDWESTS BEST PRODUCE CO INC T,
6085,671238817,PIE PUMPKIN                   ,Case Pick,431879940,"BUTCH'S BEST, LLC             ",
6085,671238829,ORNAMENTALS                   ,Case Pick,431879940,"BUTCH'S BEST, LLC             ",
6085,671238828,ORNAMENTALS                   ,Case Pick,431879940,"BUTCH'S BEST, LLC             ",
6085,671238830,ORNAMENTALS                   ,Case Pick,431879940,"BUTCH'S BEST, LLC             ",
6085,585138309,PUMPKINS WHITE                ,FPP,551424940,MIDWESTS BEST PRODUCE CO INC T,
6085,576964513,AUTUMN COLOURS                ,FPP,38755942,MOUZIN BROTHERS FARMS LLC     ,
6085,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
6090,9445401,CARVING PUMPKIN               ,FPP,656883946,EAGLE FARMS INC               ,
6090,551710425,PIE PUMPKIN                   ,Case Pick,518840941,FEWEL FARMS LLC               ,
6090,9468330,ORNAMENTALS                   ,Case Pick,518840941,FEWEL FARMS LLC               ,
6090,9468337,ORNAMENTALS                   ,Case Pick,518840941,FEWEL FARMS LLC               ,
6090,9468344,ORNAMENTALS                   ,Case Pick,518840941,FEWEL FARMS LLC               ,
6090,576219639,PUMPKINS WHITE                ,FPP,468777940,LUSK ONION COMPANY            ,
6090,551723045,AUTUMN COLOURS                ,FPP,913913942,VAN GRONINGEN AND SONS INC    ,
6090,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
6091,9478249,CARVING PUMPKIN               ,FPP,231772942,BOTTOMLEY EVERGREENS & FARMS  ,
6091,551701181,PIE PUMPKIN                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6091,550813548,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6091,654461045,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6091,550813559,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6091,550937075,PUMPKINS WHITE                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6091,676336578,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6091,676336579,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6091,676336580,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6095,576479938,CARVING PUMPKIN               ,FPP,455811943,GLOBAL PRODUCE SALES INC      ,
6095,551710426,PIE PUMPKIN                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6095,9420499,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6095,9420464,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6095,9473972,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6095,676174746,PUMPKINS WHITE                ,FPP,460052946,FREY PRODUCE LLC              ,
6095,576952792,AUTUMN COLOURS                ,FPP,460052945,FREY PRODUCE LLC              ,
6095,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
6096,9446423,CARVING PUMPKIN               ,FPP,257662944,FIFER ORCHARDS INC            ,
6096,551701181,PIE PUMPKIN                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6096,550813548,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6096,654461045,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6096,550813559,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6096,550937075,PUMPKINS WHITE                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6096,556330665,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6097,9420598,CARVING PUMPKIN               ,FPP,460052943,FREY PRODUCE LLC              ,
6097,9478249,CARVING PUMPKIN               ,FPP,231772942,BOTTOMLEY EVERGREENS & FARMS  ,
6097,551710426,PIE PUMPKIN                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6097,9420499,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6097,9420464,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6097,9473972,ORNAMENTALS                   ,Case Pick,460052941,FREY PRODUCE LLC              ,
6097,676174746,PUMPKINS WHITE                ,FPP,460052946,FREY PRODUCE LLC              ,
6097,671238826,AUTUMN COLOURS                ,FPP,431879940,"BUTCH'S BEST, LLC             ",
6097,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
6099,581367056,CARVING PUMPKIN               ,FPP,393843940,SCOTLYNN SWEETPAC GROWERS INC.,
6099,551701181,PIE PUMPKIN                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6099,550813548,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6099,654461045,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6099,550813559,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6099,676336578,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6099,676336579,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6099,676336580,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6858,9478249,CARVING PUMPKIN               ,FPP,231772942,BOTTOMLEY EVERGREENS & FARMS  ,
6858,551701181,PIE PUMPKIN                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6858,550813548,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6858,654461045,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6858,550813559,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
6858,550937075,PUMPKINS WHITE                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
6858,556330665,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
7010,9445464,CARVING PUMPKIN               ,FPP,468777940,LUSK ONION COMPANY            ,
7010,571317436,PIE PUMPKIN                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
7010,556108568,ORNAMENTALS                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
7010,556108565,ORNAMENTALS                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
7010,576219639,PUMPKINS WHITE                ,FPP,468777940,LUSK ONION COMPANY            ,
7010,556152829,AUTUMN COLOURS                ,FPP,468777942,LUSK ONION COMPANY            ,
7010,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
7012,9420605,CARVING PUMPKIN               ,FPP,447713946,WIERS FARM INC                ,
7012,595014646,PIE PUMPKIN                   ,Case Pick,38755942,MOUZIN BROTHERS FARMS LLC     ,
7012,595014639,ORNAMENTALS                   ,Case Pick,38755942,MOUZIN BROTHERS FARMS LLC     ,
7012,595014642,ORNAMENTALS                   ,Case Pick,38755942,MOUZIN BROTHERS FARMS LLC     ,
7012,595014644,ORNAMENTALS                   ,Case Pick,38755942,MOUZIN BROTHERS FARMS LLC     ,
7012,580718250,PUMPKINS WHITE                ,FPP,447713942,WIERS FARM INC                ,
7012,595600878,AUTUMN COLOURS                ,FPP,447713947,WIERS FARM INC                ,
7013,9450199,CARVING PUMPKIN               ,FPP,913913941,VAN GRONINGEN AND SONS INC    ,
7013,571317436,PIE PUMPKIN                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
7013,556108568,ORNAMENTALS                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
7013,556108565,ORNAMENTALS                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
7013,576075716,PUMPKINS WHITE                ,FPP,559955940,"BAY BABY PRODUCE, INC.        ",
7013,556152829,AUTUMN COLOURS                ,FPP,468777942,LUSK ONION COMPANY            ,
7013,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
7014,581367056,CARVING PUMPKIN               ,FPP,393843940,SCOTLYNN SWEETPAC GROWERS INC.,
7014,551701181,PIE PUMPKIN                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7014,550813548,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7014,654461045,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7014,550813559,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7014,550937075,PUMPKINS WHITE                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
7014,556330665,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
7015,9450178,CARVING PUMPKIN               ,FPP,662212942,H C SCHMIEDING PRODUCE CO LLC ,
7015,9445464,CARVING PUMPKIN               ,FPP,468777940,LUSK ONION COMPANY            ,
7015,571317436,PIE PUMPKIN                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
7015,556108568,ORNAMENTALS                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
7015,556108565,ORNAMENTALS                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
7015,662187264,PUMPKINS WHITE                ,FPP,71714940,"RUBY ROBINSON COMPANY, LLC    ",
7015,556152829,AUTUMN COLOURS                ,FPP,468777942,LUSK ONION COMPANY            ,
7015,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
7016,9446423,CARVING PUMPKIN               ,FPP,257662944,FIFER ORCHARDS INC            ,
7016,9478249,CARVING PUMPKIN               ,FPP,231772942,BOTTOMLEY EVERGREENS & FARMS  ,
7016,551701181,PIE PUMPKIN                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7016,550813548,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7016,654461045,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7016,550813559,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7016,550937075,PUMPKINS WHITE                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
7016,676336578,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
7016,676336579,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
7016,676336580,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
7017,9420605,CARVING PUMPKIN               ,FPP,447713946,WIERS FARM INC                ,
7017,595014646,PIE PUMPKIN                   ,Case Pick,38755942,MOUZIN BROTHERS FARMS LLC     ,
7017,595014639,ORNAMENTALS                   ,Case Pick,38755942,MOUZIN BROTHERS FARMS LLC     ,
7017,595014642,ORNAMENTALS                   ,Case Pick,38755942,MOUZIN BROTHERS FARMS LLC     ,
7017,595014644,ORNAMENTALS                   ,Case Pick,38755942,MOUZIN BROTHERS FARMS LLC     ,
7017,580718250,PUMPKINS WHITE                ,FPP,447713942,WIERS FARM INC                ,
7017,595600878,AUTUMN COLOURS                ,FPP,447713947,WIERS FARM INC                ,
7018,9450178,CARVING PUMPKIN               ,FPP,662212942,H C SCHMIEDING PRODUCE CO LLC ,
7018,595309333,CARVING PUMPKIN               ,FPP,71714940,"RUBY ROBINSON COMPANY, LLC    ",
7018,571317436,PIE PUMPKIN                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
7018,556108568,ORNAMENTALS                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
7018,556108565,ORNAMENTALS                   ,Case Pick,468777941,LUSK ONION COMPANY            ,
7018,552183313,PUMPKINS WHITE                ,FPP,913913940,VAN GRONINGEN AND SONS INC    ,
7018,556152829,AUTUMN COLOURS                ,FPP,468777942,LUSK ONION COMPANY            ,
7018,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
7019,576871421,CARVING PUMPKIN               ,FPP,464353940,INDIAN HILLS PRODUCE INC      ,
7019,551701181,PIE PUMPKIN                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7019,550813548,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7019,654461045,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7019,550813559,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7019,550937075,PUMPKINS WHITE                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
7019,556330665,AUTUMN COLOURS                ,FPP,231772943,BOTTOMLEY EVERGREENS & FARMS  ,
7019,661684435,CANDY CORN PUMPKINS           ,FPP,460052944,FREY PRODUCE LLC              ,
7021,9446752,CARVING PUMPKIN               ,FPP,457848940,ROBERT S COX  FARMS           ,
7021,551710425,PIE PUMPKIN                   ,Case Pick,518840941,FEWEL FARMS LLC               ,
7021,9468330,ORNAMENTALS                   ,Case Pick,518840941,FEWEL FARMS LLC               ,
7021,9468337,ORNAMENTALS                   ,Case Pick,518840941,FEWEL FARMS LLC               ,
7021,9468344,ORNAMENTALS                   ,Case Pick,518840941,FEWEL FARMS LLC               ,
7021,595064995,PUMPKINS WHITE                ,FPP,518840941,FEWEL FARMS LLC               ,
7021,662336399,AUTUMN COLOURS                ,FPP,518840941,FEWEL FARMS LLC               ,
7023,576479938,CARVING PUMPKIN               ,FPP,455811943,GLOBAL PRODUCE SALES INC      ,
7023,9446423,CARVING PUMPKIN               ,FPP,257662944,FIFER ORCHARDS INC            ,
7023,551701181,PIE PUMPKIN                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7023,550813548,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
7023,654461045,ORNAMENTALS                   ,Case Pick,231772941,BOTTOMLEY EVERGREENS & FARMS  ,
