Store Number,Current Delivery,Current MP Delivery Window,Updated MP Delivery Window,Updated Delivery,Comments
1086,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1104,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1203,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 15, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1213,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1220,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
1245,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1374,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1390,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1482,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1501,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1513,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1536,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1712,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1960,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2081,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2387,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 15, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
2391,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
2499,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
2627,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2695,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2740,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2796,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2881,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
3013,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3161,Same Day Delivery,07:00:00-09:00:00,Same Day Delivery,18:00:00-21:00:00,
3162,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
3197,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3347,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3370,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,18:00:00-04:00:00,"Your store will not receive an MP delivery on July 15, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
3372,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3414,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
3415,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3418,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3463,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,18:00:00-04:00:00,"Your store will not receive an MP delivery on July 15, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
3526,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3887,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
4141,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
4159,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
4160,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
4197,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
4211,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
4332,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
4425,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
4588,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
4667,Same Day Delivery,07:00:00-09:00:00,Same Day Delivery,18:00:00-21:00:00,
4681,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
4690,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5035,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5036,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5214,Same Day Delivery,22:00:00-03:00:00,Same Day Delivery,16:00:00-04:00:00,
5218,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5220,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5221,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5250,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5255,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5265,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5266,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5299,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5300,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 15, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
5420,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5622,Same Day Delivery,06:00:00-08:00:00,Next Day Delivery,16:00:00-21:00:00,"Your store will not receive an MP delivery on July 15, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
5654,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5670,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5760,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5772,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5826,Same Day Delivery,20:00:00-06:00:00,Next Day Delivery,18:00:00-04:00:00,"Your store will not receive an MP delivery on July 15, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
5846,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5871,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5875,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5876,Same Day Delivery,06:00:00-08:00:00,Same Day Delivery,18:00:00-21:00:00,
5964,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
6149,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
6207,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
6548,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
6894,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
6968,Same Day Delivery,20:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 15, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
