Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
12,583,POINTPICKUP,Scheduled Standard Delivery,17,Executive Review,Degrading,Driver Supply Focus,202327,86.40%,94.90%,8.4,87.50%,84.60%,84.60%,88.70%
12,1466,SPARK,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202327,90.20%,91.90%,9,91.30%,91.50%,82.80%,94.60%
12,4635,ROADIE,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202327,72.60%,92.10%,9.6,72.30%,69.90%,69.20%,78.10%
12,1159,SPARK,Scheduled Standard Delivery,45,Executive Review,Degrading,Driver Supply Focus,202327,89.20%,99.10%,4.8,87.50%,88.90%,92.90%,87.90%
12,2496,ROADIE,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202327,56.20%,88.60%,7.5,59.20%,59.00%,53.70%,52.50%
12,2496,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202327,88.60%,92.80%,8,92.10%,94.80%,82.40%,85.40%
12,2749,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Driver Supply Focus,202327,57.70%,96.70%,5.8,48.90%,58.10%,61.20%,65.50%
11,394,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202327,76.00%,98.00%,6.4,83.20%,67.50%,77.40%,77.10%
11,662,POINTPICKUP,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202327,75.00%,91.70%,8.4,100.00%,100.00%,66.70%,50.00%
11,115,SPARK,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202327,79.10%,96.20%,6.9,80.00%,87.90%,86.70%,61.30%
11,3059,SPARK,Scheduled Standard Delivery,47,Executive Review,Recovering,Driver Supply Focus,202327,91.80%,94.60%,6.6,90.20%,97.10%,91.60%,89.30%
11,218,SPARK,Scheduled Standard Delivery,8,Active Monitoring,Degrading,Driver Supply Focus,202327,95.10%,100.00%,5.8,89.40%,95.90%,99.50%,95.80%
12,264,UBER,Scheduled Standard Delivery,17,Executive Review,Degrading,Driver Supply Focus,202327,87.50%,90.10%,8.4,76.90%,90.50%,95.50%,75.00%
12,304,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202327,77.30%,100.00%,7,71.40%,66.70%,88.90%,88.90%
12,695,SPARK,Scheduled Standard Delivery,39,Executive Review,Recovering,Driver Supply Focus,202327,90.70%,89.80%,7.1,92.60%,94.50%,86.70%,87.20%
12,1075,POINTPICKUP,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202327,90.70%,93.70%,8.3,92.00%,90.50%,83.30%,96.90%
12,1226,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202327,82.90%,97.00%,7.3,81.40%,84.30%,83.00%,83.50%
12,3137,UBER,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202327,88.90%,100.00%,6.7,100.00%,80.00%,77.80%,100.00%
12,587,ROADIE,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202327,71.90%,98.30%,8.7,75.00%,83.30%,66.70%,73.90%
12,5616,ROADIE,Scheduled Standard Delivery,17,Executive Review,Degrading,Driver Supply Focus,202327,79.00%,99.30%,6.2,82.40%,76.50%,69.10%,82.70%
2,3485,ROADIE,Scheduled Standard Delivery,11,Executive Review,Degrading,Driver Supply Focus,202327,82.40%,97.60%,7.6,87.80%,80.00%,79.10%,82.10%
2,3621,SPARK,Scheduled Standard Delivery,40,Executive Review,Degrading,Driver Supply Focus,202327,89.00%,92.80%,8.9,87.00%,92.50%,86.80%,89.80%
2,1024,ROADIE,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202327,77.50%,93.90%,7.7,90.00%,69.20%,62.10%,92.90%
9,908,ROADIE,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202327,83.70%,89.10%,8.2,80.00%,92.00%,88.20%,75.90%
9,5325,ROADIE,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202327,76.90%,96.30%,8.8,56.50%,89.70%,71.40%,87.50%
9,2814,ROADIE,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202327,82.80%,95.50%,9.9,80.60%,84.70%,81.70%,84.00%
9,3163,ROADIE,Scheduled Standard Delivery,16,Executive Review,Degrading,Driver Supply Focus,202327,87.10%,98.30%,8.8,85.00%,96.00%,80.40%,89.80%
60,5861,SPARK,Scheduled Standard Delivery,19,Executive Review,Recovering,Driver Supply Focus,202327,90.30%,95.50%,6.5,90.80%,93.50%,95.80%,83.10%
60,2549,ROADIE,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202327,82.00%,98.50%,8,74.40%,86.50%,88.00%,81.30%
60,1876,SPARK,Scheduled Standard Delivery,44,Executive Review,Degrading,Driver Supply Focus,202327,72.80%,96.20%,4.5,76.70%,66.70%,72.00%,76.30%
60,3742,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202327,77.00%,96.20%,6.7,88.10%,82.50%,69.00%,66.10%
61,5659,POINTPICKUP,Scheduled Standard Delivery,11,At Risk,Recovering,Driver Supply Focus,202327,91.70%,100.00%,4.5,100.00%,100.00%,80.00%,100.00%
54,4599,ROADIE,Scheduled Standard Delivery,12,Executive Review,Recovering,Driver Supply Focus,202327,83.30%,96.70%,8.7,92.30%,75.00%,85.70%,81.00%
54,5341,SPARK,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,202327,90.70%,99.00%,8.2,94.20%,90.50%,89.40%,88.90%
54,2751,ROADIE,Scheduled Standard Delivery,11,Executive Review,-,Driver Supply Focus,202327,65.20%,91.80%,8.8,,,58.30%,67.60%
54,921,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202327,80.70%,97.90%,5.2,89.50%,72.70%,79.60%,81.50%
54,1199,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202327,82.40%,97.40%,6.4,88.50%,89.70%,79.70%,73.30%
54,2293,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202327,88.50%,90.60%,6.6,93.80%,88.90%,90.10%,81.00%
54,5957,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202327,87.10%,92.60%,8,89.50%,88.70%,85.70%,84.90%
56,1951,ROADIE,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202327,73.10%,96.20%,8,71.40%,90.90%,80.00%,63.60%
56,1905,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202327,87.80%,98.40%,5.3,95.90%,85.90%,81.00%,84.40%
56,2782,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202327,83.30%,98.70%,5.2,89.40%,71.40%,66.70%,80.00%
56,5890,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202327,76.50%,94.10%,7.3,100.00%,37.50%,85.70%,81.80%
47,2084,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202327,81.80%,90.80%,5.7,61.10%,87.50%,89.10%,81.00%
47,2259,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202327,87.20%,93.90%,9.1,87.70%,85.70%,87.30%,88.30%
47,1543,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202327,91.30%,97.40%,5.6,95.10%,96.40%,95.20%,81.90%
16,2329,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202327,87.50%,98.60%,6.2,96.20%,82.50%,82.10%,88.70%
16,3409,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202327,91.30%,95.00%,8.9,92.80%,95.10%,88.90%,88.60%
16,2222,SPARK,Scheduled Standard Delivery,36,Executive Review,Recovering,Driver Supply Focus,202327,90.60%,90.10%,8.7,92.50%,89.00%,86.20%,95.10%
16,3535,SPARK,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,202327,88.60%,98.80%,6.3,92.90%,83.50%,85.50%,92.90%
16,2366,ROADIE,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202327,77.50%,93.10%,7.5,76.20%,78.80%,79.80%,73.80%
16,3561,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Driver Supply Focus,202327,84.40%,99.00%,6.8,80.30%,92.30%,86.80%,77.80%
16,5448,POINTPICKUP,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202327,88.20%,92.40%,9.5,81.30%,95.70%,90.80%,85.40%
17,2261,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202327,92.40%,99.90%,5.1,96.40%,93.90%,86.80%,92.50%
17,2898,SPARK,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202327,90.20%,98.30%,5,87.70%,97.30%,90.90%,84.60%
17,2899,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202327,88.60%,98.00%,5.4,90.90%,94.90%,83.30%,85.40%
17,2547,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202327,90.20%,99.60%,8.8,93.90%,91.40%,92.80%,81.50%
17,2286,POINTPICKUP,Scheduled Standard Delivery,46,Executive Review,Degrading,Driver Supply Focus,202327,85.20%,99.10%,7.5,83.40%,84.00%,86.40%,86.40%
17,5294,SPARK,Scheduled Standard Delivery,46,Executive Review,Degrading,Driver Supply Focus,202327,92.10%,96.90%,8.6,88.20%,92.80%,89.70%,98.00%
17,2503,SPARK,Scheduled Standard Delivery,6,At Risk,Recovering,Driver Supply Focus,202327,89.30%,97.10%,9.9,93.00%,83.50%,90.50%,89.90%
17,5447,ROADIE,Scheduled Standard Delivery,17,Executive Review,Degrading,Driver Supply Focus,202327,86.90%,98.40%,8.9,82.10%,88.70%,85.20%,91.50%
17,5867,ROADIE,Scheduled Standard Delivery,32,Executive Review,Degrading,Driver Supply Focus,202327,81.60%,99.30%,8.1,81.00%,85.80%,79.70%,79.80%
17,5867,SPARK,Scheduled Standard Delivery,40,Executive Review,Recovering,Driver Supply Focus,202327,90.80%,99.00%,8.9,92.30%,91.50%,90.60%,88.90%
16,2369,SPARK,Scheduled Standard Delivery,12,At Risk,Recovering,Driver Supply Focus,202327,90.90%,98.20%,6.6,92.60%,89.00%,87.20%,94.60%
16,2639,SPARK,Scheduled Standard Delivery,12,At Risk,Recovering,Driver Supply Focus,202327,92.10%,99.10%,6.3,92.50%,90.10%,89.10%,96.00%
16,2130,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Driver Supply Focus,202327,80.80%,98.50%,7.1,81.90%,76.10%,78.10%,87.00%
16,2398,SPARK,Scheduled Standard Delivery,9,At Risk,Degrading,Driver Supply Focus,202327,84.80%,92.30%,5.7,76.70%,76.70%,85.70%,97.70%
16,1796,SPARK,Scheduled Standard Delivery,40,Executive Review,Recovering,Driver Supply Focus,202327,91.70%,93.40%,9,95.40%,90.70%,91.40%,89.60%
16,1907,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202327,89.80%,91.90%,6.2,86.80%,90.30%,95.20%,86.90%
17,3520,ROADIE,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202327,84.60%,95.70%,8.9,79.60%,87.70%,85.70%,85.30%
76,3280,ROADIE,Scheduled Standard Delivery,20,Executive Review,-,Driver Supply Focus,202327,83.60%,95.00%,9.2,,,84.20%,83.30%
76,1966,ROADIE,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202327,77.50%,96.20%,7.2,69.20%,86.70%,76.70%,80.60%
76,2210,ROADIE,Scheduled Standard Delivery,16,Executive Review,-,Driver Supply Focus,202327,56.30%,100.00%,6.3,,,80.00%,45.50%
76,2258,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202327,88.40%,94.80%,8.1,86.50%,88.20%,89.90%,88.80%
76,3035,ROADIE,Scheduled Standard Delivery,17,Executive Review,-,Driver Supply Focus,202327,71.40%,92.90%,4.4,,,,71.40%
76,3035,SPARK,Scheduled Standard Delivery,40,Executive Review,Degrading,Driver Supply Focus,202327,88.60%,98.00%,7.8,88.20%,87.90%,89.80%,88.50%
76,5968,ROADIE,Scheduled Standard Delivery,20,Executive Review,-,Driver Supply Focus,202327,54.70%,94.10%,6.7,,,,54.70%
76,5968,SPARK,Scheduled Standard Delivery,40,Executive Review,Degrading,Driver Supply Focus,202327,85.70%,93.40%,8.2,81.20%,89.00%,87.20%,86.20%
76,2564,SPARK,Scheduled Standard Delivery,14,At Risk,Degrading,Driver Supply Focus,202327,89.80%,93.50%,7,83.80%,93.50%,88.40%,92.90%
26,2845,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202327,77.90%,97.30%,8.6,73.70%,81.30%,85.20%,50.00%
26,2836,ROADIE,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202327,70.90%,97.70%,7.7,68.40%,65.40%,81.50%,69.20%
26,2000,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202327,79.90%,96.90%,6.7,67.30%,80.80%,92.50%,81.40%
26,2000,UBER,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202327,81.80%,100.00%,7.4,83.30%,83.30%,100.00%,0.00%
26,1064,POINTPICKUP,Scheduled Standard Delivery,15,At Risk,Degrading,Driver Supply Focus,202327,95.00%,92.30%,8,89.50%,99.10%,94.80%,93.90%
