Store Number,Sub Division Name,Phase,Op Model Expansion Tier
210,SOUTHWEST BU,Week 37,3
211,SOUTHWEST BU,LIVE,2
212,SOUTHWEST BU,Week 37,2
213,NORTH BU,Week 37,2
214,SOUTHWEST BU,Week 37,2
216,NORTH BU,Week 37,1
217,SOUTHWEST BU,LIVE,2
218,SOUTHEAST BU,Week 37,3
219,NORTH BU,Week 37,2
220,SOUTHWEST BU,LIVE,1
221,SOUTHWEST BU,Week 37,2
222,NORTH BU,Week 37,3
224,NORTH BU,Week 37,2
225,SOUTHWEST BU,Week 37,3
226,SOUTHWEST BU,Week 37,3
227,SOUTHWEST BU,Week 37,3
228,SOUTHWEST BU,LIVE,1
229,SOUTHEAST BU,Week 37,3
230,SOUTHEAST BU,LIVE,3
231,SOUTHWEST BU,Week 37,2
232,SOUTHWEST BU,Week 37,3
233,NORTH BU,Week 37,3
234,NORTH BU,Week 37,2
236,SOUTHWEST BU,Week 37,3
237,NORTH BU,Week 37,2
238,SOUTHEAST BU,Week 37,3
239,SOUTHEAST BU,Week 37,3
240,SOUTHWEST BU,Week 37,3
242,SOUTHWEST BU,Week 37,3
243,NORTH BU,Week 37,2
244,SOUTHEAST BU,LIVE,3
246,SOUTHWEST BU,Week 37,3
247,SOUTHWEST BU,Week 37,3
248,SOUTHWEST BU,LIVE,2
249,SOUTHWEST BU,Week 37,2
250,NORTH BU,Week 37,3
251,SOUTHWEST BU,LIVE,2
252,NORTH BU,Week 37,3
253,NORTH BU,Week 37,3
254,NORTH BU,Week 37,3
256,NORTH BU,Week 37,2
257,NORTH BU,Week 37,3
258,SOUTHEAST BU,Week 37,2
259,SOUTHWEST BU,LIVE,2
260,SOUTHWEST BU,LIVE,1
261,SOUTHEAST BU,LIVE,1
262,NORTH BU,Week 37,3
263,SOUTHWEST BU,LIVE,3
264,SOUTHEAST BU,Week 37,1
265,SOUTHWEST BU,LIVE,2
266,SOUTHWEST BU,LIVE,2
267,SOUTHEAST BU,LIVE,3
268,SOUTHEAST BU,Week 37,2
269,SOUTHWEST BU,Week 37,2
271,SOUTHWEST BU,Week 37,3
272,SOUTHEAST BU,Week 37,1
273,SOUTHEAST BU,Week 37,3
274,SOUTHEAST BU,Week 37,3
275,SOUTHWEST BU,Week 37,2
276,SOUTHWEST BU,Week 37,3
277,SOUTHWEST BU,Week 37,2
278,SOUTHEAST BU,LIVE,2
279,SOUTHEAST BU,LIVE,3
280,SOUTHWEST BU,Week 37,3
281,SOUTHEAST BU,LIVE,3
282,NORTH BU,Week 37,2
283,SOUTHWEST BU,Week 37,3
284,SOUTHWEST BU,LIVE,1
285,SOUTHWEST BU,Week 37,2
286,SOUTHWEST BU,LIVE,2
287,SOUTHEAST BU,Week 37,2
288,SOUTHWEST BU,Week 37,3
289,SOUTHEAST BU,LIVE,3
290,SOUTHWEST BU,Week 37,3
292,SOUTHWEST BU,LIVE,2
293,SOUTHWEST BU,LIVE,3
294,NORTH BU,Week 37,3
295,NORTH BU,Week 37,3
296,SOUTHEAST BU,LIVE,3
297,SOUTHWEST BU,LIVE,1
298,SOUTHEAST BU,Week 37,2
299,NORTH BU,Week 37,1
300,SOUTHEAST BU,Week 37,3
301,SOUTHEAST BU,Week 37,2
302,NORTH BU,Week 37,3
303,SOUTHEAST BU,Week 37,3
304,SOUTHEAST BU,Week 37,2
305,SOUTHEAST BU,Week 37,3
306,SOUTHEAST BU,Week 37,3
307,SOUTHEAST BU,LIVE,1
308,SOUTHEAST BU,LIVE,2
309,SOUTHWEST BU,LIVE,2
310,SOUTHWEST BU,LIVE,2
311,SOUTHWEST BU,Week 37,3
312,SOUTHWEST BU,Week 37,3
313,NORTH BU,Week 37,3
314,SOUTHEAST BU,Week 37,3
315,SOUTHEAST BU,Week 37,3
316,SOUTHEAST BU,Week 37,3
317,NORTH BU,Week 37,3
318,SOUTHEAST BU,LIVE,3
319,NORTH BU,Week 37,2
320,SOUTHWEST BU,LIVE,3
321,SOUTHWEST BU,LIVE,2
322,SOUTHWEST BU,LIVE,1
323,SOUTHEAST BU,LIVE,3
324,SOUTHWEST BU,LIVE,3
325,NORTH BU,Week 37,3
326,NORTH BU,Week 37,3
328,NORTH BU,Week 37,3
329,SOUTHEAST BU,Week 37,2
330,SOUTHWEST BU,LIVE,1
331,SOUTHWEST BU,Week 37,2
332,SOUTHEAST BU,Week 37,2
333,NORTH BU,Week 37,3
334,NORTH BU,Week 37,3
335,SOUTHEAST BU,LIVE,2
336,SOUTHEAST BU,LIVE,3
337,NORTH BU,LIVE,3
338,SOUTHEAST BU,LIVE,3
339,SOUTHEAST BU,LIVE,3
340,SOUTHWEST BU,Week 37,3
341,WEST BU,Week 37,3
342,WEST BU,Week 37,3
343,NORTH BU,Week 37,3
344,SOUTHWEST BU,LIVE,3
345,SOUTHWEST BU,Week 37,2
346,SOUTHWEST BU,Week 37,3
347,SOUTHEAST BU,Week 37,3
348,SOUTHEAST BU,LIVE,2
350,WEST BU,Week 37,3
351,SOUTHWEST BU,Week 37,3
352,NORTH BU,Week 37,3
353,SOUTHWEST BU,LIVE,3
354,NORTH BU,Week 37,3
355,SOUTHEAST BU,Week 37,2
356,SOUTHEAST BU,Week 37,2
357,NORTH BU,Week 37,3
358,SOUTHEAST BU,LIVE,3
359,SOUTHEAST BU,LIVE,1
360,SOUTHWEST BU,Week 37,3
361,NORTH BU,Week 37,2
362,SOUTHEAST BU,Week 37,3
363,NORTH BU,Week 37,3
364,SOUTHWEST BU,Week 37,3
365,SOUTHEAST BU,Week 37,2
366,SOUTHEAST BU,Week 37,2
368,SOUTHWEST BU,Week 37,3
369,WEST BU,Week 37,3
370,WEST BU,Week 37,3
371,SOUTHWEST BU,LIVE,1
372,WEST BU,Week 37,2
373,SOUTHEAST BU,LIVE,3
374,SOUTHWEST BU,Week 37,3
375,SOUTHEAST BU,Week 37,2
376,SOUTHEAST BU,LIVE,1
378,WEST BU,Week 37,3
379,NORTH BU,Week 37,3
381,SOUTHWEST BU,Week 37,1
382,SOUTHWEST BU,Week 37,3
383,SOUTHWEST BU,Week 37,3
384,SOUTHWEST BU,Week 37,3
385,SOUTHWEST BU,LIVE,3
386,SOUTHWEST BU,LIVE,2
387,SOUTHWEST BU,Week 37,3
388,SOUTHEAST BU,LIVE,2
389,SOUTHWEST BU,Week 37,2
390,SOUTHEAST BU,Week 37,3
391,SOUTHEAST BU,Week 37,2
392,SOUTHWEST BU,Week 37,3
393,SOUTHEAST BU,Week 37,2
394,SOUTHEAST BU,Week 37,3
395,SOUTHWEST BU,LIVE,1
396,EAST BU,Week 37,2
397,SOUTHWEST BU,LIVE,1
398,SOUTHWEST BU,Week 37,2
399,SOUTHWEST BU,Week 37,2
400,SOUTHWEST BU,Week 37,1
401,SOUTHWEST BU,Week 37,3
402,SOUTHWEST BU,LIVE,2
403,SOUTHEAST BU,Week 37,3
404,SOUTHWEST BU,LIVE,1
405,SOUTHWEST BU,Week 37,2
406,SOUTHEAST BU,LIVE,2
407,SOUTHWEST BU,Week 37,1
408,SOUTHWEST BU,Week 37,1
409,SOUTHEAST BU,Week 37,3
410,SOUTHEAST BU,LIVE,2
411,SOUTHEAST BU,Week 37,3
412,SOUTHWEST BU,LIVE,2
413,SOUTHWEST BU,LIVE,2
414,SOUTHWEST BU,Week 37,2
415,SOUTHWEST BU,LIVE,2
416,SOUTHEAST BU,LIVE,2
417,SOUTHWEST BU,Week 37,2
418,WEST BU,Week 37,3
419,WEST BU,Week 37,3
420,SOUTHWEST BU,Week 37,2
421,SOUTHWEST BU,LIVE,1
422,NORTH BU,Week 37,3
423,SOUTHEAST BU,Week 37,2
424,SOUTHEAST BU,Week 37,2
425,SOUTHEAST BU,Week 37,3
426,SOUTHWEST BU,LIVE,2
427,SOUTHWEST BU,Week 37,2
428,SOUTHWEST BU,Week 37,3
429,SOUTHWEST BU,LIVE,2
430,NORTH BU,Week 37,3
431,NORTH BU,Week 37,2
432,SOUTHEAST BU,Week 37,3
433,SOUTHEAST BU,Week 37,2
434,SOUTHEAST BU,Week 37,2
435,NORTH BU,Week 37,3
436,NORTH BU,Week 37,3
437,SOUTHWEST BU,LIVE,3
438,SOUTHWEST BU,Week 37,3
440,SOUTHWEST BU,LIVE,2
442,SOUTHWEST BU,LIVE,2
443,SOUTHWEST BU,Week 37,3
444,NORTH BU,Week 37,2
445,NORTH BU,Week 37,2
446,SOUTHWEST BU,LIVE,3
447,SOUTHWEST BU,Week 37,1
448,SOUTHEAST BU,LIVE,2
449,SOUTHWEST BU,Week 37,2
450,SOUTHEAST BU,LIVE,2
451,NORTH BU,Week 37,3
452,SOUTHWEST BU,LIVE,1
453,SOUTHEAST BU,Week 37,3
454,NORTH BU,Week 37,3
456,SOUTHWEST BU,LIVE,1
457,SOUTHWEST BU,Week 37,2
458,SOUTHWEST BU,LIVE,2
459,SOUTHEAST BU,Week 37,1
461,SOUTHWEST BU,Week 37,1
462,SOUTHWEST BU,LIVE,1
463,SOUTHWEST BU,LIVE,2
464,SOUTHWEST BU,LIVE,1
465,SOUTHWEST BU,Week 37,2
466,SOUTHEAST BU,Week 37,3
467,SOUTHWEST BU,LIVE,2
468,SOUTHWEST BU,Week 37,2
469,SOUTHWEST BU,Week 37,2
470,SOUTHWEST BU,LIVE,1
471,SOUTHWEST BU,LIVE,1
472,SOUTHWEST BU,LIVE,2
473,SOUTHWEST BU,LIVE,3
475,SOUTHWEST BU,Week 37,1
476,SOUTHWEST BU,Week 37,3
477,SOUTHEAST BU,Week 37,3
478,SOUTHWEST BU,Week 37,3
479,SOUTHWEST BU,Week 37,2
480,NORTH BU,Week 37,3
481,NORTH BU,Week 37,2
482,SOUTHWEST BU,LIVE,3
483,SOUTHEAST BU,Week 37,2
484,WEST BU,Week 37,2
485,SOUTHWEST BU,Week 37,3
486,NORTH BU,Week 37,3
488,SOUTHEAST BU,LIVE,3
489,SOUTHWEST BU,Week 37,2
490,SOUTHWEST BU,LIVE,2
491,NORTH BU,Week 37,2
492,NORTH BU,LIVE,2
493,NORTH BU,Week 37,3
494,SOUTHEAST BU,Week 37,2
495,SOUTHEAST BU,Week 37,2
497,NORTH BU,Week 37,2
498,SOUTHWEST BU,Week 37,3
499,SOUTHWEST BU,Week 37,2
500,SOUTHWEST BU,Week 37,1
501,SOUTHWEST BU,Week 37,1
502,SOUTHWEST BU,Week 37,3
503,SOUTHWEST BU,LIVE,3
504,SOUTHWEST BU,LIVE,1
505,SOUTHWEST BU,Week 37,2
506,NORTH BU,Week 37,3
507,NORTH BU,Week 37,3
508,SOUTHWEST BU,Week 37,1
510,SOUTHEAST BU,Week 37,1
511,EAST BU,Week 37,1
512,SOUTHWEST BU,Week 37,1
513,SOUTHWEST BU,Week 37,2
514,EAST BU,Week 37,2
515,SOUTHEAST BU,Week 37,2
516,SOUTHWEST BU,LIVE,2
517,SOUTHWEST BU,Week 37,2
518,SOUTHEAST BU,Week 37,2
519,NORTH BU,Week 37,3
520,SOUTHEAST BU,Week 37,2
521,SOUTHWEST BU,Week 37,2
522,SOUTHWEST BU,LIVE,2
523,SOUTHWEST BU,Week 37,3
524,SOUTHWEST BU,LIVE,3
526,NORTH BU,Week 37,3
527,SOUTHWEST BU,LIVE,2
528,SOUTHEAST BU,LIVE,2
529,SOUTHWEST BU,LIVE,1
530,SOUTHEAST BU,LIVE,2
531,SOUTHWEST BU,LIVE,1
532,SOUTHWEST BU,Week 37,1
533,SOUTHWEST BU,LIVE,2
535,SOUTHWEST BU,Week 37,1
536,SOUTHWEST BU,Week 37,1
537,SOUTHWEST BU,Week 37,1
538,SOUTHEAST BU,Week 37,2
539,SOUTHWEST BU,Week 37,2
540,SOUTHWEST BU,Week 37,2
541,SOUTHWEST BU,Week 37,1
542,SOUTHWEST BU,Week 37,2
543,SOUTHWEST BU,LIVE,2
544,SOUTHWEST BU,Week 37,1
545,NORTH BU,Week 37,3
546,SOUTHWEST BU,LIVE,1
547,SOUTHEAST BU,Week 37,1
548,SOUTHEAST BU,Week 37,2
549,SOUTHWEST BU,Week 37,1
550,NORTH BU,Week 37,3
551,SOUTHEAST BU,Week 37,1
552,NORTH BU,Week 37,3
553,SOUTHWEST BU,Week 37,2
554,SOUTHWEST BU,Week 37,1
555,SOUTHEAST BU,Week 37,2
556,SOUTHEAST BU,Week 37,2
557,WEST BU,Week 37,2
558,WEST BU,Week 37,2
559,WEST BU,Week 37,2
560,NORTH BU,Week 37,2
561,SOUTHWEST BU,LIVE,3
562,SOUTHEAST BU,Week 37,3
563,SOUTHEAST BU,Week 37,1
564,SOUTHWEST BU,Week 37,1
565,SOUTHWEST BU,LIVE,2
566,NORTH BU,LIVE,3
567,SOUTHWEST BU,LIVE,3
568,SOUTHEAST BU,Week 37,3
569,NORTH BU,Week 37,3
571,NORTH BU,Week 37,2
572,SOUTHWEST BU,Week 37,2
573,NORTH BU,Week 37,2
574,EAST BU,Week 37,1
575,SOUTHEAST BU,LIVE,2
576,SOUTHWEST BU,Week 37,1
577,NORTH BU,Week 37,2
578,SOUTHEAST BU,Week 37,1
579,SOUTHEAST BU,Week 37,1
580,SOUTHEAST BU,LIVE,2
581,WEST BU,Week 37,2
582,SOUTHEAST BU,Week 37,2
583,SOUTHEAST BU,Week 37,3
584,NORTH BU,Week 37,2
585,EAST BU,Week 37,2
586,EAST BU,Week 37,2
587,SOUTHEAST BU,Week 37,3
588,SOUTHEAST BU,Week 37,1
589,NORTH BU,Week 37,2
590,SOUTHWEST BU,LIVE,2
591,NORTH BU,Week 37,3
592,WEST BU,Week 37,2
593,SOUTHEAST BU,Week 37,2
594,SOUTHEAST BU,Week 37,2
595,SOUTHWEST BU,LIVE,1
596,NORTH BU,Week 37,3
598,WEST BU,Week 37,2
599,SOUTHEAST BU,Week 37,2
600,SOUTHWEST BU,Week 37,3
601,SOUTHWEST BU,Week 37,2
602,SOUTHWEST BU,Week 37,2
603,NORTH BU,Week 37,2
604,SOUTHEAST BU,Week 37,1
605,EAST BU,Week 37,2
606,EAST BU,Week 37,3
607,SOUTHWEST BU,Week 37,3
608,SOUTHWEST BU,Week 37,1
609,NORTH BU,Week 37,2
610,SOUTHWEST BU,LIVE,2
611,SOUTHWEST BU,Week 37,2
612,NORTH BU,Week 37,3
613,SOUTHEAST BU,Week 37,2
614,SOUTHEAST BU,Week 37,1
615,SOUTHEAST BU,Week 37,1
616,EAST BU,Week 37,2
617,NORTH BU,LIVE,3
618,SOUTHEAST BU,LIVE,2
619,SOUTHEAST BU,Week 37,3
620,SOUTHEAST BU,Week 37,2
621,EAST BU,Week 37,2
622,SOUTHWEST BU,Week 37,1
623,SOUTHEAST BU,LIVE,1
624,EAST BU,Week 37,3
625,EAST BU,Week 37,2
626,SOUTHWEST BU,Week 37,3
627,EAST BU,Week 37,3
628,EAST BU,Week 37,2
629,EAST BU,Week 37,3
630,EAST BU,Week 37,2
631,EAST BU,Week 37,2
632,EAST BU,Week 37,3
633,NORTH BU,Week 37,3
634,EAST BU,Week 37,2
635,EAST BU,Week 37,2
636,NORTH BU,Week 37,3
637,WEST BU,Week 37,3
638,EAST BU,Week 37,2
639,SOUTHEAST BU,Week 37,1
640,EAST BU,Week 37,2
641,EAST BU,Week 37,2
642,EAST BU,Week 37,3
643,EAST BU,Week 37,1
644,EAST BU,Week 37,2
645,WEST BU,Week 37,2
646,WEST BU,Week 37,3
647,WEST BU,Week 37,3
648,NORTH BU,Week 37,2
649,SOUTHEAST BU,LIVE,2
651,SOUTHWEST BU,Week 37,1
652,WEST BU,Week 37,2
653,NORTH BU,Week 37,1
655,NORTH BU,Week 37,2
656,SOUTHEAST BU,LIVE,2
657,SOUTHEAST BU,Week 37,2
658,SOUTHEAST BU,Week 37,2
659,SOUTHEAST BU,Week 37,2
660,SOUTHEAST BU,Week 37,2
661,SOUTHEAST BU,Week 37,1
662,SOUTHEAST BU,Week 37,2
663,SOUTHEAST BU,Week 37,2
664,WEST BU,Week 37,2
665,NORTH BU,Week 37,2
666,SOUTHEAST BU,LIVE,2
667,SOUTHEAST BU,LIVE,3
668,SOUTHEAST BU,LIVE,2
669,SOUTHEAST BU,Week 37,2
670,SOUTHEAST BU,Week 37,1
671,SOUTHEAST BU,Week 37,1
672,SOUTHEAST BU,Week 37,1
673,SOUTHEAST BU,Week 37,1
674,SOUTHEAST BU,Week 37,1
675,SOUTHEAST BU,LIVE,3
676,SOUTHEAST BU,Week 37,2
677,SOUTHEAST BU,LIVE,2
678,SOUTHEAST BU,Week 37,2
680,SOUTHEAST BU,Week 37,2
681,SOUTHEAST BU,Week 37,2
682,SOUTHEAST BU,LIVE,1
683,SOUTHEAST BU,Week 37,2
684,SOUTHEAST BU,Week 37,2
685,SOUTHEAST BU,Week 37,1
686,SOUTHEAST BU,Week 37,3
687,SOUTHEAST BU,Week 37,1
688,SOUTHEAST BU,Week 37,2
689,NORTH BU,Week 37,1
690,SOUTHEAST BU,Week 37,2
691,SOUTHEAST BU,Week 37,1
692,NORTH BU,Week 37,2
693,NORTH BU,Week 37,3
694,NORTH BU,Week 37,2
695,SOUTHEAST BU,Week 37,2
696,NORTH BU,Week 37,3
697,SOUTHEAST BU,Week 37,1
698,SOUTHEAST BU,Week 37,2
699,SOUTHEAST BU,Week 37,2
700,SOUTHEAST BU,Week 37,2
701,NORTH BU,Week 37,2
702,NORTH BU,Week 37,2
703,SOUTHWEST BU,LIVE,2
705,SOUTHEAST BU,Week 37,1
706,SOUTHEAST BU,Week 37,1
707,SOUTHEAST BU,Week 37,3
708,SOUTHEAST BU,Week 37,2
709,NORTH BU,Week 37,1
710,SOUTHEAST BU,Week 37,2
711,NORTH BU,Week 37,1
712,SOUTHEAST BU,Week 37,2
713,SOUTHEAST BU,Week 37,3
714,SOUTHEAST BU,LIVE,3
715,SOUTHEAST BU,Week 37,1
716,SOUTHEAST BU,Week 37,3
718,SOUTHEAST BU,LIVE,1
719,NORTH BU,Week 37,1
720,NORTH BU,Week 37,2
721,SOUTHEAST BU,LIVE,2
722,SOUTHEAST BU,Week 37,1
723,SOUTHEAST BU,Week 37,2
724,SOUTHEAST BU,Week 37,2
725,SOUTHEAST BU,LIVE,1
726,SOUTHEAST BU,Week 37,3
727,SOUTHEAST BU,Week 37,3
728,EAST BU,Week 37,2
729,NORTH BU,Week 37,2
730,SOUTHEAST BU,Week 37,2
731,SOUTHEAST BU,Week 37,3
733,SOUTHEAST BU,Week 37,2
734,SOUTHEAST BU,Week 37,2
735,SOUTHEAST BU,LIVE,2
736,NORTH BU,Week 37,3
737,SOUTHEAST BU,LIVE,3
738,SOUTHEAST BU,Week 37,3
739,NORTH BU,Week 37,2
740,SOUTHEAST BU,Week 37,3
741,SOUTHEAST BU,Week 37,2
742,SOUTHEAST BU,Week 37,2
743,SOUTHWEST BU,Week 37,1
744,SOUTHWEST BU,LIVE,1
745,SOUTHEAST BU,Week 37,2
746,SOUTHWEST BU,LIVE,1
748,WEST BU,Week 37,3
749,WEST BU,Week 37,3
750,WEST BU,Week 37,3
751,WEST BU,Week 37,3
752,SOUTHWEST BU,LIVE,1
753,WEST BU,Week 37,2
754,SOUTHEAST BU,Week 37,1
755,SOUTHWEST BU,Week 37,1
756,SOUTHEAST BU,Week 37,3
757,SOUTHWEST BU,Week 37,2
758,SOUTHEAST BU,Week 37,2
759,SOUTHEAST BU,LIVE,3
760,NORTH BU,Week 37,3
761,SOUTHWEST BU,Week 37,3
762,SOUTHEAST BU,Week 37,2
764,SOUTHEAST BU,Week 37,2
765,SOUTHWEST BU,LIVE,2
766,SOUTHEAST BU,Week 37,1
767,SOUTHEAST BU,Week 37,1
768,SOUTHWEST BU,LIVE,1
769,SOUTHEAST BU,LIVE,2
770,WEST BU,Week 37,2
771,SOUTHEAST BU,LIVE,2
772,SOUTHWEST BU,LIVE,2
773,SOUTHWEST BU,Week 37,2
774,WEST BU,Week 37,2
775,NORTH BU,Week 37,2
776,WEST BU,Week 37,2
777,SOUTHWEST BU,Week 37,2
778,SOUTHEAST BU,LIVE,2
779,SOUTHEAST BU,Week 37,2
780,SOUTHEAST BU,Week 37,2
781,SOUTHWEST BU,Week 37,1
782,SOUTHWEST BU,Week 37,2
783,NORTH BU,Week 37,3
784,WEST BU,Week 37,3
