Store,Market,Store Type,InHome Driver Age Requirement ,
5063,309,SUP,21+,
5085,305,SUP,21+,
5137,376,SUP,21+,
5144,77,SUP,21+,
5145,86,SUP,21+,
5146,506,SUP,21+,
5184,219,SUP,21+,
5185,217,SUP,21+,
5245,77,SUP,21+,
5286,533,WNM,21+,
5298,305,SUP,21+,
5314,533,WNM,21+,
5427,485,WNM,21+,
5466,219,SUP,21+,
5481,305,SUP,21+,
5499,221,SUP,21+,
5857,219,SUP,21+,
7294,353,SUP,21+,
7326,353,SUP,21+,
1156,306,SUP,21+,
1209,305,SUP,21+,
1552,308,SUP,21+,
1662,304,SUP,21+,
3434,270,SUP,21+,
1308,380,SUP,21+,
1492,376,SUP,21+,
2751,380,SUP,21+,
2892,376,SUP,21+,
3566,380,SUP,21+,
1514,340,SUP,21+,
5605,481,WNM,21+,
3406,51,SUP,21+,
4580,544,WNM,21+,
1200,391,SUP,21+,
2593,396,SUP,21+,
3019,490,WNM,21+,
3069,554,WNM,21+,
3473,394,SUP,21+,
4196,490,WNM,21+,
194,60,SUP,21+,
201,341,SUP,21+,
256,341,SUP,21+,
297,59,SUP,21+,
351,68,SUP,21+,
361,341,SUP,21+,
500,505,SUP,21+,
512,505,SUP,21+,
529,61,SUP,21+,
546,62,SUP,21+,
602,68,SUP,21+,
648,339,SUP,21+,
703,67,SUP,21+,
744,59,SUP,21+,
752,63,SUP,21+,
768,65,SUP,21+,
772,64,SUP,21+,
805,340,SUP,21+,
849,59,SUP,21+,
872,62,SUP,21+,
915,62,SUP,21+,
964,505,SUP,21+,
1015,505,SUP,21+,
1040,65,SUP,21+,
1062,63,SUP,21+,
1103,59,SUP,21+,
1137,60,SUP,21+,
1161,339,SUP,21+,
1228,269,SUP,21+,
1229,13,SUP,21+,
1231,379,SUP,21+,
1252,380,SUP,21+,
1273,389,SUP,21+,
1279,59,SUP,21+,
1404,269,SUP,21+,
1409,65,SUP,21+,
1413,270,SUP,21+,
1418,341,SUP,21+,
1434,391,SUP,21+,
1481,13,SUP,21+,
1497,266,SUP,21+,
1512,371,SUP,21+,
1549,368,SUP,21+,
1553,264,SUP,21+,
1560,396,SUP,21+,
1584,396,SUP,21+,
1598,370,SUP,21+,
1646,372,SUP,21+,
1689,376,SUP,21+,
1711,2,SUP,21+,
1720,25,SUP,21+,
1746,371,SUP,21+,
1760,455,SUP,21+,
1761,341,SUP,21+,
1837,59,SUP,21+,
1881,454,SUP,21+,
1896,391,SUP,21+,
1988,455,SUP,21+,
2050,396,SUP,21+,
2066,64,SUP,21+,
2125,380,SUP,21+,
2154,24,SUP,21+,
2201,505,SUP,21+,
2215,265,SUP,21+,
2223,585,SUP,21+,
2257,67,SUP,21+,
2292,484,SUP,21+,
2457,455,SUP,21+,
2464,454,SUP,21+,
2483,394,SUP,21+,
2505,62,SUP,21+,
2512,369,SUP,21+,
2554,368,SUP,21+,
2592,394,SUP,21+,
2600,339,SUP,21+,
2612,505,SUP,21+,
2616,339,SUP,21+,
2632,510,WNM,21+,
2671,373,SUP,21+,
2713,3,SUP,21+,
2724,63,SUP,21+,
2735,454,SUP,21+,
2752,585,SUP,21+,
2766,370,SUP,21+,
2768,372,SUP,21+,
2777,368,SUP,21+,
2838,396,SUP,21+,
2884,394,SUP,21+,
2993,62,SUP,21+,
3018,389,SUP,21+,
3061,340,SUP,21+,
3067,20,SUP,21+,
3081,454,SUP,21+,
3083,490,WNM,21+,
3126,490,WNM,21+,
3128,490,WNM,21+,
3175,490,WNM,21+,
3176,490,WNM,21+,
3198,504,WNM,21+,
3201,19,SUP,21+,
3213,68,SUP,21+,
3226,65,SUP,21+,
3241,369,SUP,21+,
3296,64,SUP,21+,
3297,67,SUP,21+,
3298,60,SUP,21+,
3302,64,SUP,21+,
3313,376,SUP,21+,
3314,510,WNM,21+,
3315,510,WNM,21+,
3341,58,WNM,21+,
3350,394,SUP,21+,
3351,394,SUP,21+,
3354,397,WNM,21+,
3355,397,WNM,21+,
3356,397,WNM,21+,
3388,25,SUP,21+,
3390,68,SUP,21+,
3425,63,SUP,21+,
3452,562,WNM,21+,
3462,24,SUP,21+,
3465,369,SUP,21+,
3500,60,SUP,21+,
3509,562,WNM,21+,
3510,62,SUP,21+,
3533,585,SUP,21+,
3542,562,WNM,21+,
3572,62,SUP,21+,
3582,391,SUP,21+,
3584,64,SUP,21+,
3587,455,SUP,21+,
3640,65,SUP,21+,
3652,454,SUP,21+,
3655,397,WNM,21+,
3661,526,WNM,21+,
3712,455,SUP,21+,
3728,394,SUP,21+,
3763,505,SUP,21+,
3788,397,WNM,21+,
3799,371,SUP,21+,
3824,585,SUP,21+,
3827,64,SUP,21+,
3833,372,SUP,21+,
3844,510,WNM,21+,
3845,510,WNM,21+,
3861,373,SUP,21+,
3867,379,SUP,21+,
4049,266,SUP,21+,
4202,455,SUP,21+,
4275,510,WNM,21+,
4284,380,SUP,21+,
4286,265,SUP,21+,
4288,379,SUP,21+,
4298,59,SUP,21+,
4309,455,SUP,21+,
4324,9,WNM,21+,
4336,368,SUP,21+,
4356,396,SUP,21+,
4393,454,SUP,21+,
4415,526,WNM,21+,
4416,67,SUP,21+,
4465,562,WNM,21+,
4466,562,WNM,21+,
4468,562,WNM,21+,
4497,13,SUP,21+,
4504,544,WNM,21+,
4512,65,SUP,21+,
4531,265,SUP,21+,
4538,67,SUP,21+,
4557,396,SUP,21+,
4558,25,SUP,21+,
4567,379,SUP,21+,
4618,562,WNM,21+,
4734,585,SUP,21+,
4747,490,WNM,21+,
4759,552,WNM,21+,
5045,67,SUP,21+,
5049,380,SUP,21+,
5070,396,SUP,21+,
5091,67,SUP,21+,
5094,562,WNM,21+,
5116,60,SUP,21+,
5123,391,SUP,21+,
5124,370,SUP,21+,
5186,373,SUP,21+,
5189,369,SUP,21+,
5190,370,SUP,21+,
5192,454,SUP,21+,
5257,510,WNM,21+,
5258,397,WNM,21+,
5259,397,WNM,21+,
5262,13,SUP,21+,
5269,397,WNM,21+,
5287,68,SUP,21+,
5304,9,WNM,21+,
5306,397,WNM,21+,
5313,339,SUP,21+,
5331,368,SUP,21+,
5332,510,WNM,21+,
5349,510,WNM,21+,
5353,562,WNM,21+,
5363,16,SUP,21+,
5388,61,SUP,21+,
5421,485,WNM,21+,
5423,397,WNM,21+,
5449,62,SUP,21+,
5479,83,SUP,21+,
5612,63,SUP,21+,
5683,552,WNM,21+,
5686,448,SUP,21+,
5717,505,SUP,21+,
5768,371,SUP,21+,
5814,26,SUP,21+,
5815,554,WNM,21+,
5927,339,SUP,21+,
5947,505,SUP,21+,
5957,585,SUP,21+,
5959,63,SUP,21+,
5980,552,WNM,21+,
5981,552,WNM,21+,
5982,552,WNM,21+,
6178,490,WNM,21+,
6477,369,SUP,21+,
7357,562,WNM,21+,
7361,562,WNM,21+,
905,379,SUP,21+,
953,378,SUP,21+,
575,24,SUP,21+,
594,22,SUP,21+,
618,26,SUP,21+,
787,22,SUP,21+,
880,50,SUP,21+,
937,26,SUP,21+,
1047,22,SUP,21+,
1167,435,SUP,21+,
1256,266,SUP,21+,
1377,270,SUP,21+,
1420,264,SUP,21+,
1531,270,SUP,21+,
1563,448,SUP,21+,
1586,26,SUP,21+,
1596,265,SUP,21+,
1618,238,SUP,21+,
1660,448,SUP,21+,
1668,269,SUP,21+,
1681,268,SUP,21+,
1735,269,SUP,21+,
1737,268,SUP,21+,
1814,264,SUP,21+,
1848,264,SUP,21+,
1892,268,SUP,21+,
1897,268,SUP,21+,
1898,264,SUP,21+,
1938,268,SUP,21+,
1941,462,SUP,21+,
1998,267,SUP,21+,
2082,464,SUP,21+,
2110,465,SUP,21+,
2204,267,SUP,21+,
2218,466,SUP,21+,
2226,481,WNM,21+,
2242,464,SUP,21+,
2251,484,SUP,21+,
2475,20,SUP,21+,
2517,466,SUP,21+,
2544,238,SUP,21+,
2609,465,SUP,21+,
2818,238,SUP,21+,
2886,484,SUP,21+,
2941,24,SUP,21+,
2948,484,SUP,21+,
2950,448,SUP,21+,
2951,448,SUP,21+,
2956,262,SUP,21+,
3004,268,SUP,21+,
3101,551,WNM,21+,
3132,515,WNM,21+,
3180,446,SUP,21+,
3188,20,SUP,21+,
3205,23,SUP,21+,
3248,464,SUP,21+,
3400,265,SUP,21+,
3477,465,SUP,21+,
3522,484,SUP,21+,
3523,448,SUP,21+,
3621,23,SUP,21+,
3709,19,SUP,21+,
3725,267,SUP,21+,
3748,26,SUP,21+,
3786,25,SUP,21+,
3790,265,SUP,21+,
3891,269,SUP,21+,
3893,269,SUP,21+,
4132,465,SUP,21+,
4134,551,WNM,21+,
4171,466,SUP,21+,
4174,512,WNM,21+,
4185,24,SUP,21+,
4405,264,SUP,21+,
4436,24,SUP,21+,
4472,20,SUP,21+,
4641,270,SUP,21+,
4762,515,WNM,21+,
5060,270,SUP,21+,
5154,484,SUP,21+,
5162,448,SUP,21+,
5199,269,SUP,21+,
5275,26,SUP,21+,
5352,264,SUP,21+,
5390,23,SUP,21+,
5442,264,SUP,21+,
5485,268,SUP,21+,
5600,515,WNM,21+,
5601,551,WNM,21+,
5602,481,WNM,21+,
5603,551,WNM,21+,
5604,481,WNM,21+,
5617,267,SUP,21+,
5641,464,SUP,21+,
5644,466,SUP,21+,
5807,465,SUP,21+,
5930,464,SUP,21+,
5954,484,SUP,21+,
7185,24,SUP,21+,
475,83,SUP,21+,
5092,53,SUP,21+,
5480,83,SUP,21+,
1185,83,SUP,21+,
1253,82,SUP,21+,
2486,512,WNM,21+,
2667,55,SUP,21+,
4554,82,SUP,21+,
202,51,SUP,21+,
206,52,SUP,21+,
217,53,SUP,21+,
220,48,SUP,21+,
266,50,SUP,21+,
284,49,SUP,21+,
426,53,SUP,21+,
467,52,SUP,21+,
471,49,SUP,21+,
590,48,SUP,21+,
789,583,SUP,21+,
807,50,SUP,21+,
896,49,SUP,21+,
940,479,SUP,21+,
972,479,SUP,21+,
1055,583,SUP,21+,
1117,51,SUP,21+,
1118,55,SUP,21+,
1129,82,SUP,21+,
1178,50,SUP,21+,
1216,53,SUP,21+,
1455,44,SUP,21+,
1800,583,SUP,21+,
1801,44,SUP,21+,
2086,56,SUP,21+,
2105,53,SUP,21+,
2119,451,SUP,21+,
2133,82,SUP,21+,
2427,53,SUP,21+,
2463,56,SUP,21+,
2649,50,SUP,21+,
2697,452,SUP,21+,
2834,50,SUP,21+,
2883,56,SUP,21+,
2918,51,SUP,21+,
2926,56,SUP,21+,
2973,51,SUP,21+,
2974,504,WNM,21+,
2976,561,WNM,21+,
2977,561,WNM,21+,
2978,44,SUP,21+,
2979,58,WNM,21+,
2980,479,SUP,21+,
2981,58,WNM,21+,
2991,82,SUP,21+,
2995,504,WNM,21+,
2996,53,SUP,21+,
3014,49,SUP,21+,
3023,512,WNM,21+,
3044,50,SUP,21+,
3123,512,WNM,21+,
3224,583,SUP,21+,
3225,583,SUP,21+,
3274,50,SUP,21+,
3284,44,SUP,21+,
3285,44,SUP,21+,
3286,52,SUP,21+,
3392,58,WNM,21+,
3419,58,WNM,21+,
3432,49,SUP,21+,
3433,49,SUP,21+,
3482,51,SUP,21+,
3569,83,SUP,21+,
3594,58,WNM,21+,
3631,44,SUP,21+,
3773,479,SUP,21+,
3777,56,SUP,21+,
3870,561,WNM,21+,
4163,82,SUP,21+,
4165,479,SUP,21+,
4182,504,WNM,21+,
4219,82,SUP,21+,
4240,53,SUP,21+,
4503,44,SUP,21+,
4509,48,SUP,21+,
4627,52,SUP,21+,
5021,561,WNM,21+,
5080,50,SUP,21+,
5147,44,SUP,21+,
5211,52,SUP,21+,
5311,52,SUP,21+,
5312,479,SUP,21+,
5316,479,SUP,21+,
5317,82,SUP,21+,
5416,50,SUP,21+,
5435,451,SUP,21+,
5610,512,WNM,21+,
5611,512,WNM,21+,
5613,58,WNM,21+,
5614,58,WNM,21+,
5624,58,WNM,21+,
5657,504,WNM,21+,
5672,51,SUP,21+,
5673,51,SUP,21+,
5810,49,SUP,21+,
5823,583,SUP,21+,
5824,561,WNM,21+,
5866,56,SUP,21+,
5884,451,SUP,21+,
5889,53,SUP,21+,
6300,56,SUP,21+,
7347,58,WNM,21+,
8930,583,SUP,21+,
5626,367,SUP,21+,
472,356,SUP,21+,
576,345,SUP,21+,
894,356,SUP,21+,
992,356,SUP,21+,
1291,367,SUP,21+,
1458,120,SUP,21+,
1469,120,SUP,21+,
1597,356,SUP,21+,
1606,119,SUP,21+,
1637,432,SUP,21+,
1671,433,SUP,21+,
1965,432,SUP,21+,
2847,433,SUP,21+,
2922,366,SUP,21+,
3143,9,WNM,21+,
3150,432,SUP,21+,
3172,491,WNM,21+,
3173,491,WNM,21+,
3267,432,SUP,21+,
3340,507,WNM,21+,
3659,119,SUP,21+,
3884,367,SUP,21+,
4358,432,SUP,21+,
4600,433,SUP,21+,
4692,498,WNM,21+,
5031,366,SUP,21+,
5141,432,SUP,21+,
5361,432,SUP,21+,
5725,9,WNM,21+,
5799,367,SUP,21+,
6170,507,WNM,21+,
184,361,SUP,21+,
234,360,SUP,21+,
319,361,SUP,21+,
548,25,SUP,21+,
573,361,SUP,21+,
577,362,SUP,21+,
745,19,SUP,21+,
878,24,SUP,21+,
998,485,WNM,21+,
1014,361,SUP,21+,
1094,361,SUP,21+,
1120,360,SUP,21+,
1151,362,SUP,21+,
1181,23,SUP,21+,
1184,20,SUP,21+,
1314,24,SUP,21+,
1373,24,SUP,21+,
1381,372,SUP,21+,
1488,22,SUP,21+,
1532,369,SUP,21+,
1533,369,SUP,21+,
1578,23,SUP,21+,
1599,362,SUP,21+,
2112,372,SUP,21+,
2360,23,SUP,21+,
2442,485,WNM,21+,
2482,371,SUP,21+,
2515,371,SUP,21+,
2767,372,SUP,21+,
2855,362,SUP,21+,
2857,360,SUP,21+,
2955,362,SUP,21+,
3118,20,SUP,21+,
3273,362,SUP,21+,
3360,373,SUP,21+,
3389,25,SUP,21+,
3401,19,SUP,21+,
3402,19,SUP,21+,
3403,26,SUP,21+,
3471,26,SUP,21+,
3609,19,SUP,21+,
3611,26,SUP,21+,
3741,23,SUP,21+,
3751,373,SUP,21+,
3771,371,SUP,21+,
3896,368,SUP,21+,
4232,370,SUP,21+,
4451,373,SUP,21+,
4475,362,SUP,21+,
4553,361,SUP,21+,
4590,361,SUP,21+,
4611,362,SUP,21+,
5207,485,WNM,21+,
5252,25,SUP,21+,
5308,485,WNM,21+,
5330,369,SUP,21+,
5369,368,SUP,21+,
5428,372,SUP,21+,
5429,368,SUP,21+,
6172,485,WNM,21+,
6480,373,SUP,21+,
6500,485,WNM,21+,
5183,494,WNM,20+,
4524,494,WNM,20+,
5297,494,WNM,20+,
2691,243,SUP,20+,
3294,242,SUP,20+,
526,242,SUP,20+,
589,256,SUP,20+,
1476,243,SUP,20+,
4450,242,SUP,20+,
5417,242,SUP,20+,
5418,242,SUP,20+,
6931,256,SUP,20+,
7290,242,SUP,20+,
1170,256,SUP,20+,
,,,,
,,,,
