Store Nbr,Brilliant Roses WS (20),Mixed BQT Plt (81),Mixed BQT Dbl Bkt WS (18),Mixed BQT Dbl Plt (234),Rose Lily Dbl Bkt WS (20),Small Bqt Dbl Bkt WS (32),Wild Mix Plt (54),Tulips Dbl Bkt WS (28)
233,0,2,1,1,0,0,0,0
234,0,1,0,2,2,0,0,0
236,0,1,0,4,0,0,0,0
237,0,2,1,1,1,0,0,0
238,0,1,2,1,2,2,0,0
239,0,1,2,1,0,0,0,0
240,1,0,1,3,2,0,0,0
242,0,0,2,3,1,1,0,3
243,0,1,1,3,0,3,0,2
244,0,0,3,0,1,0,0,0
246,0,2,2,1,2,0,0,3
248,3,1,1,2,1,1,0,0
249,3,1,2,6,3,4,0,0
250,0,1,3,1,0,0,0,3
251,0,1,4,3,3,0,0,3
252,0,1,0,1,1,0,0,0
253,0,0,1,0,0,1,0,3
254,0,1,3,1,0,3,0,0
256,0,0,0,2,1,1,0,0
257,0,1,2,1,0,0,0,0
258,0,0,0,2,1,0,1,2
259,1,0,1,5,4,0,0,3
260,7,0,0,5,3,0,2,3
261,0,1,2,5,2,0,0,3
262,0,0,1,2,2,2,0,3
264,0,2,0,2,4,6,0,3
265,3,1,2,6,0,1,0,3
266,5,0,1,3,0,0,0,0
267,0,1,2,3,0,1,0,3
268,0,2,1,1,2,0,1,2
269,1,1,2,2,2,0,0,2
271,1,1,3,3,3,0,0,0
272,0,0,1,1,1,2,0,2
273,0,1,3,1,1,0,0,2
275,0,0,1,5,1,3,0,2
276,0,0,2,1,0,0,0,0
277,0,1,0,9,0,0,2,3
278,0,1,0,2,0,0,0,2
279,7,1,0,2,1,0,1,0
280,6,1,0,2,0,0,0,0
281,0,1,0,2,2,0,0,3
282,0,1,1,2,1,5,0,0
284,4,0,0,4,1,2,0,0
285,1,2,0,0,2,0,0,0
286,8,0,0,6,3,3,0,0
287,0,0,0,2,4,4,0,2
288,0,1,1,3,0,0,0,0
290,4,2,2,1,0,1,0,0
292,6,1,0,4,2,2,0,0
294,0,0,0,2,2,0,0,0
295,0,1,3,1,0,0,0,0
296,0,1,0,2,0,0,0,0
297,5,0,0,7,2,1,0,3
298,0,1,4,2,2,4,0,2
299,1,0,1,2,2,0,0,2
300,0,1,0,3,2,2,0,3
301,0,1,2,3,3,0,2,2
302,0,0,1,1,0,0,0,0
303,0,1,0,1,2,0,0,0
304,0,1,4,1,2,1,0,0
305,0,0,0,2,0,0,0,0
306,0,1,3,2,2,0,0,3
307,0,2,1,2,0,0,0,2
308,0,0,0,2,2,2,0,0
309,0,0,1,2,1,0,0,0
310,0,2,2,1,2,0,0,3
312,0,0,3,1,0,0,0,0
313,0,1,2,1,2,2,0,0
314,0,0,0,3,3,0,0,3
315,0,0,0,4,2,0,2,2
316,0,1,2,1,1,2,0,0
317,0,1,4,1,0,0,0,0
318,0,2,1,2,0,0,0,0
319,0,1,2,3,1,2,0,3
321,4,1,0,3,0,0,0,0
322,7,1,0,4,1,0,1,0
323,0,1,0,0,0,0,0,0
324,0,2,2,1,0,0,0,0
325,0,2,1,1,1,0,0,3
328,0,0,2,1,1,1,0,3
329,0,1,4,0,3,2,0,0
330,4,1,4,2,0,0,0,0
331,0,1,2,1,0,0,0,0
332,1,1,3,1,1,2,0,0
333,0,0,0,2,2,2,0,1
334,0,1,2,1,2,0,0,0
335,0,1,2,1,1,0,2,3
336,0,2,0,1,0,0,0,0
337,0,2,0,1,3,0,0,3
338,0,1,4,0,0,0,0,0
340,0,2,1,1,2,0,0,3
341,0,1,1,1,0,0,0,0
342,0,0,1,2,0,0,0,0
343,0,2,1,0,0,0,0,0
344,5,0,0,3,1,0,0,0
345,0,1,0,3,0,0,0,1
346,0,1,3,1,0,0,0,0
347,0,0,2,1,2,0,0,0
348,0,1,2,4,0,1,0,3
350,0,0,0,2,0,2,0,3
351,3,0,3,1,0,0,0,0
353,0,1,0,2,0,0,0,3
354,0,2,2,1,0,0,0,0
355,0,0,0,2,2,2,0,0
356,0,0,2,1,2,0,1,0
357,0,1,1,0,0,0,0,1
358,0,0,0,3,1,0,0,3
359,1,0,0,4,3,0,0,3
360,2,1,1,1,3,0,0,3
361,0,1,1,2,0,4,0,3
362,0,2,0,1,2,0,0,0
363,0,0,0,2,2,1,0,3
364,4,1,4,4,1,0,0,0
365,0,2,0,2,0,2,0,0
366,0,1,2,1,2,0,1,0
368,0,2,1,2,3,0,0,0
369,0,0,0,1,0,0,0,0
370,0,2,2,0,0,0,0,0
371,5,2,0,3,3,1,0,0
372,9,0,0,2,1,0,2,3
373,0,2,1,1,0,0,0,0
374,0,2,2,0,0,2,0,3
375,1,1,0,1,3,1,0,3
376,0,0,3,2,0,0,0,1
377,0,2,1,1,2,0,0,3
378,0,0,1,2,0,0,0,0
379,0,1,2,5,2,4,0,3
381,1,0,0,4,2,2,0,1
382,5,1,3,4,1,0,1,3
383,0,0,0,5,0,0,0,0
384,0,0,0,5,1,1,0,3
386,0,1,1,3,2,0,0,3
387,0,2,0,2,0,0,0,0
388,5,1,0,4,4,0,2,1
389,0,1,0,4,2,0,0,3
390,0,1,0,1,0,0,0,0
391,0,0,0,2,0,0,0,0
392,1,0,0,6,2,0,0,1
393,0,0,0,2,1,0,0,3
394,0,0,2,2,2,0,0,0
395,5,2,0,4,0,2,0,0
396,0,0,1,2,2,0,0,0
397,6,0,0,4,0,0,0,0
398,1,1,1,6,2,0,0,0
399,5,1,2,4,1,0,0,0
400,5,2,0,4,2,2,0,0
401,0,0,0,0,1,0,0,0
402,0,0,0,0,1,0,0,0
403,0,1,2,1,4,0,1,3
404,6,2,0,2,0,5,0,0
405,0,2,0,3,2,0,0,3
406,1,2,2,1,1,0,0,1
407,5,1,0,6,0,0,0,1
408,4,0,0,8,1,2,0,3
409,0,0,0,2,0,0,0,0
410,1,1,1,3,3,0,0,1
412,1,2,0,5,2,0,1,0
413,4,1,0,3,1,0,0,0
414,0,1,4,1,0,3,0,0
415,7,2,1,1,0,0,0,0
416,0,0,0,2,3,0,0,0
417,1,1,2,6,4,0,2,1
418,0,0,3,0,0,0,0,0
419,0,0,1,1,0,0,0,0
420,1,1,0,2,3,3,0,0
421,7,0,0,4,0,0,1,1
422,0,1,3,1,3,0,0,1
423,0,1,4,2,0,1,0,0
424,0,1,3,1,1,2,0,0
425,0,0,0,3,0,0,0,0
426,0,0,0,5,0,1,0,3
427,1,1,0,7,6,1,0,3
428,0,2,1,1,2,0,0,0
429,7,1,2,7,0,0,1,0
430,1,1,2,1,1,0,1,3
431,0,0,0,2,2,2,0,0
432,0,1,4,1,0,0,1,0
433,0,0,1,1,2,0,0,0
434,0,0,2,2,4,1,0,1
435,0,0,1,2,3,7,0,3
436,0,2,0,1,0,0,0,0
437,6,0,0,6,1,1,0,0
438,1,0,2,0,0,0,0,0
440,4,1,4,1,0,0,0,0
442,7,1,1,3,0,3,0,0
443,5,2,2,1,2,0,0,0
444,0,0,0,5,2,4,0,1
445,0,2,1,2,2,1,0,0
447,8,1,2,6,1,0,1,0
448,0,0,2,2,0,0,0,3
449,4,0,0,7,1,0,0,0
450,0,0,2,2,0,0,0,0
451,0,2,1,1,1,2,0,3
452,7,0,2,7,3,0,2,0
454,0,1,3,1,1,0,0,0
456,10,0,0,10,4,0,2,1
457,0,0,2,3,0,0,0,3
458,4,1,1,1,0,0,0,0
459,0,1,0,5,4,4,0,0
461,6,1,3,5,2,0,1,0
462,5,0,0,6,0,2,0,0
463,4,1,2,2,2,0,0,0
464,7,0,0,7,2,0,2,1
465,5,2,2,1,0,0,0,0
466,0,0,2,1,0,0,0,0
467,3,1,0,2,2,0,0,1
468,5,1,3,3,0,0,0,1
469,0,1,4,1,1,0,0,0
470,7,0,0,5,0,1,0,0
471,5,1,2,5,2,2,0,0
472,1,1,0,5,2,0,2,3
475,5,0,2,3,2,1,0,1
476,0,2,1,2,2,0,0,0
477,0,0,1,1,1,0,0,0
479,4,0,0,7,2,4,0,3
481,0,0,0,2,2,6,0,1
483,0,1,1,3,1,0,1,0
484,0,1,4,2,1,2,0,3
485,0,0,0,0,0,0,0,0
486,0,0,2,2,1,2,0,0
488,0,1,0,2,1,2,0,0
489,0,0,0,2,2,0,0,0
490,5,0,0,2,1,0,0,3
491,0,1,2,4,2,0,2,3
492,0,1,2,1,2,0,0,1
493,0,0,0,2,1,2,0,0
494,0,0,2,4,2,1,0,0
495,0,1,2,1,0,0,1,0
497,0,1,4,1,2,2,0,0
498,0,0,0,0,0,0,0,0
499,1,0,0,2,2,3,0,3
500,9,0,0,8,4,0,2,0
501,0,0,0,7,6,0,1,0
502,0,2,2,2,0,0,0,0
504,3,1,0,1,2,0,0,3
505,0,2,2,1,3,0,0,0
506,0,1,1,1,0,0,0,0
507,0,0,2,1,2,0,0,0
508,5,1,2,1,1,0,0,0
510,10,1,0,5,1,0,0,1
511,0,0,1,5,3,6,0,1
512,8,0,0,10,2,6,0,1
513,8,2,0,2,0,0,1,0
514,0,0,0,3,1,0,0,0
515,0,0,0,2,3,2,0,0
516,0,2,0,4,2,0,0,3
517,4,1,1,8,2,0,2,3
518,0,0,0,4,0,2,0,0
519,0,1,2,1,0,0,0,0
520,0,0,2,4,2,0,1,0
521,0,1,2,0,0,0,0,0
522,5,0,0,10,3,4,0,3
523,0,1,4,3,2,1,0,3
524,8,0,3,1,1,0,0,0
525,0,0,2,1,0,0,0,0
526,0,3,1,0,2,0,0,0
527,5,0,1,2,0,0,0,0
528,7,0,0,4,3,0,0,3
529,3,0,1,6,2,1,0,0
530,0,2,1,1,1,2,0,1
531,0,1,2,1,3,0,0,0
532,0,0,1,2,2,0,0,0
533,0,0,0,2,0,0,0,0
535,1,1,0,7,3,8,0,3
536,6,0,0,2,2,6,0,3
537,7,1,0,4,0,0,1,0
538,0,1,3,2,1,0,0,0
539,0,0,0,0,0,0,0,0
540,0,0,0,2,2,0,0,0
541,8,0,0,2,2,0,0,1
542,0,2,1,1,1,0,0,0
543,0,0,0,4,2,0,0,3
544,4,0,2,3,5,0,0,3
546,5,2,1,3,1,1,0,0
547,1,1,0,5,3,0,0,1
548,0,1,2,1,5,0,0,0
549,9,1,1,8,2,4,0,1
550,0,2,1,1,0,0,0,0
551,0,2,0,3,1,0,1,0
553,0,1,0,3,1,1,0,0
555,0,2,1,0,2,0,0,0
556,1,2,0,2,2,0,0,0
557,1,0,0,6,3,0,0,3
558,1,2,1,1,0,0,0,3
559,1,1,2,3,0,2,0,1
560,0,0,0,2,2,4,0,0
561,3,1,0,3,0,0,0,3
562,0,1,1,1,0,2,0,0
563,1,0,0,8,2,0,2,0
564,5,1,2,3,3,0,2,3
565,5,2,0,4,0,0,0,0
566,0,0,0,2,0,0,0,3
568,0,1,4,1,0,0,0,0
569,0,2,1,2,1,2,0,0
571,0,0,1,3,0,0,2,0
572,5,0,0,5,2,2,0,1
573,1,2,1,1,0,2,0,3
574,0,0,0,3,2,3,0,0
575,0,1,0,3,0,2,0,0
576,6,2,1,1,2,0,2,3
577,1,0,0,4,2,5,0,1
578,0,1,2,1,1,0,0,0
579,0,0,0,3,2,3,0,3
580,1,0,0,5,1,2,0,0
581,5,1,3,5,4,0,2,3
582,0,1,3,5,1,2,0,0
583,0,0,0,2,0,2,0,0
584,0,0,0,0,1,0,0,0
585,0,1,3,1,2,0,0,0
586,0,1,3,3,3,0,0,1
587,0,1,1,1,2,2,0,3
588,0,0,2,0,2,0,0,0
589,0,1,2,1,0,0,0,0
590,1,1,0,5,1,2,0,0
591,0,1,4,1,2,0,1,3
592,0,2,1,2,1,1,0,3
593,0,0,0,4,3,6,0,0
594,0,1,4,1,0,2,0,0
595,9,1,0,7,2,0,1,0
598,0,1,3,5,1,4,0,3
599,0,2,2,1,0,0,0,0
600,4,0,2,3,2,0,0,0
601,8,1,0,4,2,0,0,0
602,1,0,2,1,1,0,0,1
603,0,0,1,3,1,2,0,1
604,0,0,0,3,0,0,0,0
605,0,0,0,0,0,0,0,0
608,6,1,0,4,0,0,1,0
609,0,2,2,1,2,0,0,3
610,6,1,2,5,2,8,0,3
611,9,1,1,2,2,2,0,0
612,0,1,2,1,2,0,0,0
613,0,0,1,5,0,4,0,3
614,0,1,4,1,2,0,0,1
615,0,2,2,4,0,2,0,0
616,0,2,1,1,2,0,0,0
618,0,2,0,3,1,1,0,0
619,0,0,2,1,1,2,0,0
620,0,0,1,1,0,0,0,0
621,0,1,4,1,0,0,0,1
622,1,1,0,4,2,0,1,3
623,0,0,0,3,2,0,0,0
624,0,2,2,1,0,1,0,0
625,0,2,1,1,2,2,0,0
627,0,2,3,0,3,0,0,0
628,0,1,0,4,2,3,0,1
629,0,1,0,1,0,0,0,0
630,0,1,2,3,2,3,0,0
631,0,0,0,2,0,2,0,0
632,0,2,1,0,1,1,0,0
633,0,1,1,3,0,1,0,3
634,0,1,0,4,1,0,2,1
635,0,1,4,3,0,0,0,0
636,0,0,2,4,0,0,0,1
637,4,0,1,2,2,4,0,0
638,0,2,0,1,1,0,0,0
639,0,1,1,0,2,0,1,0
640,0,1,3,1,1,0,0,0
641,0,2,1,3,1,0,1,1
642,0,0,0,2,2,0,0,3
643,0,2,0,1,2,0,0,0
644,0,2,1,1,2,0,0,0
645,1,0,0,2,0,3,0,3
646,0,0,0,2,0,0,0,0
647,0,0,0,2,0,0,0,3
648,0,1,0,3,2,0,0,3
649,0,0,1,6,2,2,0,0
651,6,1,0,2,0,0,0,3
652,8,0,0,2,0,2,0,3
653,1,2,1,1,3,0,0,0
655,0,2,2,1,2,0,0,0
656,0,2,1,1,2,0,0,3
657,0,0,3,1,3,0,0,0
658,0,1,2,3,3,4,0,0
659,1,1,3,0,0,0,0,0
660,0,1,2,4,2,0,2,1
661,0,1,3,1,11,6,0,1
662,0,0,0,2,2,3,0,0
663,0,1,2,1,1,0,1,1
664,0,1,2,1,0,2,0,3
665,0,1,3,0,2,0,0,0
666,0,1,1,4,0,3,0,0
667,0,0,3,1,1,0,0,0
668,0,0,0,2,4,0,0,1
669,6,0,0,5,4,0,2,0
670,0,0,0,2,4,5,0,3
671,0,2,1,2,3,4,0,3
672,0,0,0,2,0,2,0,0
673,1,0,0,2,4,3,0,3
674,0,0,0,2,2,2,0,1
675,0,0,0,2,0,0,1,1
676,0,0,0,2,0,0,0,0
677,0,0,0,2,1,0,0,0
678,0,0,2,1,2,0,1,0
680,0,0,3,1,1,2,0,0
681,0,1,2,2,0,3,0,0
682,1,1,3,1,0,2,0,0
683,0,0,3,1,2,2,0,3
684,0,0,0,2,3,0,1,3
685,0,1,3,1,0,0,1,3
686,0,2,2,1,2,0,0,0
687,0,1,4,1,2,3,0,0
688,3,2,1,0,2,3,0,3
689,0,2,2,1,0,2,0,0
690,0,0,1,2,2,3,0,0
691,0,0,0,2,4,4,0,3
692,0,1,2,1,0,1,0,0
694,0,0,0,2,4,3,0,1
695,1,2,1,0,2,1,0,0
697,0,0,0,3,2,4,0,3
698,0,0,0,2,1,3,0,3
699,0,0,0,2,0,2,0,3
700,0,1,1,2,0,2,0,0
701,0,0,1,2,2,0,0,3
702,0,1,3,1,0,1,0,0
703,4,0,2,2,0,0,0,0
705,0,2,1,4,1,3,0,0
706,0,0,0,6,0,6,0,0
707,0,1,2,1,0,0,0,0
708,0,1,3,1,0,0,0,0
709,0,0,3,0,3,0,2,0
710,1,2,3,0,0,2,0,0
711,0,1,0,4,3,0,2,1
712,0,1,1,2,2,5,0,0
714,0,0,0,0,0,0,0,0
715,0,0,0,2,2,0,1,1
716,0,2,4,2,3,0,1,1
718,2,1,4,4,2,6,0,1
719,0,1,0,3,3,0,1,0
720,0,1,1,1,0,0,0,0
721,10,1,1,1,2,4,0,0
722,0,1,4,1,0,2,0,0
723,0,0,3,1,2,0,0,0
724,0,0,0,2,0,0,1,0
725,2,0,0,7,1,0,0,1
726,0,0,1,0,0,2,0,0
727,0,1,2,1,1,2,0,0
728,0,0,3,1,1,2,0,0
729,0,0,0,2,1,1,0,0
730,0,1,1,0,3,2,0,0
731,0,1,1,2,1,0,0,0
733,0,2,0,0,0,1,0,0
734,0,0,2,2,3,0,0,1
735,0,0,1,2,2,2,0,0
736,4,0,0,3,3,1,0,0
737,0,0,0,2,0,1,0,0
738,0,1,3,1,0,0,0,0
739,0,2,1,1,0,0,0,0
740,0,2,2,1,1,0,0,0
741,0,0,0,2,0,0,1,0
742,0,0,0,2,3,2,0,0
743,5,1,4,2,2,0,2,3
744,1,1,4,3,1,2,0,1
745,0,2,0,3,2,3,0,0
746,5,1,2,1,1,0,0,3
748,0,1,1,1,0,0,0,0
749,1,3,1,0,2,0,0,3
750,0,2,1,1,0,0,0,0
751,0,0,0,2,0,0,0,0
752,6,1,0,6,2,4,0,1
753,0,1,2,1,0,0,0,3
754,0,2,0,3,1,0,1,3
755,0,0,0,5,1,2,0,1
756,0,2,0,1,0,0,0,0
757,6,0,0,2,2,0,0,0
758,0,0,2,4,1,2,0,0
759,6,1,0,4,2,0,0,1
761,0,0,1,2,0,0,0,0
762,0,0,3,1,2,0,1,0
764,0,0,0,2,0,1,0,0
765,6,1,0,5,1,3,0,1
766,0,0,0,3,0,0,1,0
767,0,1,1,4,2,2,0,0
768,4,0,0,8,2,3,2,0
769,3,1,0,3,0,3,0,0
770,1,1,3,1,0,0,0,1
771,0,1,2,4,0,2,0,0
772,5,1,2,3,1,0,1,0
773,0,1,1,0,2,0,0,0
774,5,1,2,2,1,4,0,3
775,0,1,0,4,0,5,0,3
776,5,1,3,1,3,0,1,0
777,0,0,0,3,1,0,0,0
778,0,2,2,1,2,3,0,1
779,0,0,0,5,0,2,0,0
780,0,0,0,4,1,3,0,0
781,5,1,0,4,1,1,0,1
782,9,0,1,4,0,0,0,0
784,0,2,1,1,0,0,0,3
785,0,1,1,2,0,0,0,0
786,5,1,2,1,1,2,0,3
787,0,1,3,3,0,3,0,0
788,0,2,1,1,0,0,0,0
789,7,1,0,4,2,3,0,0
790,0,0,0,2,1,2,0,3
791,7,1,0,3,2,3,0,0
793,0,2,1,4,2,1,0,3
794,0,1,3,1,2,1,0,0
795,0,1,0,2,0,0,0,0
796,0,1,0,4,2,0,2,3
797,0,1,1,1,0,0,0,3
798,0,1,2,0,0,0,0,0
799,9,0,1,2,0,7,0,0
800,0,0,0,4,1,2,0,0
801,0,1,0,1,0,0,0,0
802,0,0,0,1,0,0,0,0
803,0,0,0,0,2,0,0,0
804,4,0,2,5,3,2,0,0
805,0,0,0,2,2,3,0,3
806,6,2,0,7,2,5,0,1
807,4,1,1,2,1,0,0,1
808,5,0,1,2,1,0,0,0
809,0,1,3,1,0,4,0,1
810,0,1,2,0,0,2,0,3
811,7,0,0,3,3,2,0,0
812,8,2,2,1,1,0,2,0
813,7,0,0,6,2,3,0,1
814,6,1,3,2,2,3,0,0
815,0,1,0,1,0,0,0,0
816,0,1,2,6,2,2,0,0
817,2,1,4,2,0,4,0,0
818,0,0,0,1,0,0,0,0
819,2,1,0,4,2,0,0,1
820,0,1,2,1,1,0,0,0
821,17,1,0,5,2,5,0,1
822,7,0,1,3,2,4,0,1
823,0,1,0,4,2,0,1,3
824,4,1,3,1,0,0,0,3
825,0,1,0,1,1,0,0,0
826,9,2,2,1,2,0,0,0
827,0,0,0,5,3,1,0,0
828,0,0,0,2,5,3,0,0
833,0,1,0,1,0,0,0,0
834,0,1,4,1,0,0,0,1
835,7,1,2,2,2,2,0,0
836,0,1,2,5,2,0,1,1
838,0,0,2,2,1,1,0,3
839,0,2,0,1,2,0,0,0
840,0,0,2,1,1,2,0,0
842,9,0,2,4,2,0,0,0
843,0,1,2,0,0,0,0,0
844,4,1,1,2,1,0,0,0
846,5,0,0,4,0,0,0,3
847,0,0,1,2,2,1,0,3
848,0,2,2,1,1,2,0,0
849,5,1,1,4,2,0,1,3
850,5,2,0,1,2,2,0,0
851,3,1,3,2,0,0,0,0
852,0,1,0,3,0,0,0,3
853,0,0,2,2,2,0,0,1
854,5,0,2,5,4,4,0,3
855,0,1,0,3,2,5,0,0
