Store Nbr,Item Number,Item Description,Qty,Remarks
5264,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
713,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
769,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
817,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
890,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
941,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
955,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1084,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3474,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3782,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5264,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
890,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
1084,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
1062,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
2724,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
3213,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
3425,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
4526,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
440,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
503,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
772,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
915,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1062,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1137,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2066,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2439,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2724,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3213,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3425,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3640,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3827,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
4526,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
4538,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
440,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
503,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
772,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
915,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1062,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1137,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2066,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2439,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2724,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3213,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3425,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3640,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3827,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
4526,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
4538,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1062,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
2724,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
3213,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
3425,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
4526,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
292,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
413,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
463,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
782,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
791,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1185,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1347,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2133,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3106,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
4115,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
292,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
413,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
463,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
782,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
791,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1185,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1347,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2133,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3106,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
4115,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1560,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
1584,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
1853,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
1992,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
3522,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
5070,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
5335,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
1560,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1584,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1660,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1693,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1700,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1853,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1917,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1992,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2218,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3494,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3522,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
4340,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5070,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5193,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5335,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5886,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1560,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1584,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1660,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1693,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1700,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1853,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1917,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1992,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2218,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3494,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3522,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
4340,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5070,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5193,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5335,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5886,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1560,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
1584,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
1853,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
1992,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
3522,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
5070,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
5335,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
1590,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
1680,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
1916,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
2091,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
2814,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
2962,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
2963,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
3417,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
666,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1541,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1590,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1680,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1916,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1957,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2091,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2176,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2727,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2814,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2962,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2963,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3417,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3625,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
4303,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5301,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5347,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
666,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1541,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1590,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1680,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1916,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1957,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2091,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2176,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2727,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2814,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2962,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2963,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3417,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3625,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
4303,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5301,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5347,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1590,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
1680,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
1916,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
2091,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
2814,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
2962,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
2963,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
3417,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
1711,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
114,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
287,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
298,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
306,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
314,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
329,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
391,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
403,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
423,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1215,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1481,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1711,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2690,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3386,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3659,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3835,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
4330,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5173,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5262,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
114,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
287,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
298,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
306,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
314,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
329,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
391,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
403,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
423,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1215,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1481,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1711,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2690,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3386,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3659,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3835,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
4330,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5173,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5262,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1711,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
365,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
816,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
866,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
874,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
912,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
934,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1025,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1066,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1222,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
365,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
816,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
866,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
874,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
912,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
934,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1025,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1066,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1222,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
500,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
134,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
479,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
500,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
513,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
806,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
822,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
829,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
835,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
868,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
962,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2652,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2924,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3136,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3427,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3731,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
134,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
479,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
500,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
513,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
806,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
822,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
829,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
835,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
868,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
962,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2652,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2924,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3136,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3427,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3731,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
500,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
1523,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
1717,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
2799,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
1424,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1502,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1523,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1717,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1759,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1833,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1934,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2194,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2799,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3214,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3216,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3831,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
4258,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
4378,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5343,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1424,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1502,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1523,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1717,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1759,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1833,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1934,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2194,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2799,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3214,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3216,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3831,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
4258,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
4378,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5343,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1523,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
1717,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
2799,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
1523,673938139,BTFL STRIPE COMF QN,2,1 Week Delay
1717,673938139,BTFL STRIPE COMF QN,2,1 Week Delay
2799,673938139,BTFL STRIPE COMF QN,2,1 Week Delay
1424,673938142,BTFL FLSG COMF QN,2,1 Week Delay
1502,673938142,BTFL FLSG COMF QN,2,1 Week Delay
1523,673938142,BTFL FLSG COMF QN,2,1 Week Delay
1717,673938142,BTFL FLSG COMF QN,2,1 Week Delay
1759,673938142,BTFL FLSG COMF QN,2,1 Week Delay
1833,673938142,BTFL FLSG COMF QN,2,1 Week Delay
1934,673938142,BTFL FLSG COMF QN,2,1 Week Delay
2194,673938142,BTFL FLSG COMF QN,2,1 Week Delay
2799,673938142,BTFL FLSG COMF QN,2,1 Week Delay
3214,673938142,BTFL FLSG COMF QN,2,1 Week Delay
3216,673938142,BTFL FLSG COMF QN,2,1 Week Delay
3831,673938142,BTFL FLSG COMF QN,2,1 Week Delay
4258,673938142,BTFL FLSG COMF QN,2,1 Week Delay
4378,673938142,BTFL FLSG COMF QN,2,1 Week Delay
5343,673938142,BTFL FLSG COMF QN,2,1 Week Delay
1424,673938163,BTFL FLSG COMF KG,2,1 Week Delay
1502,673938163,BTFL FLSG COMF KG,2,1 Week Delay
1523,673938163,BTFL FLSG COMF KG,2,1 Week Delay
1717,673938163,BTFL FLSG COMF KG,2,1 Week Delay
1759,673938163,BTFL FLSG COMF KG,2,1 Week Delay
1833,673938163,BTFL FLSG COMF KG,2,1 Week Delay
1934,673938163,BTFL FLSG COMF KG,2,1 Week Delay
2194,673938163,BTFL FLSG COMF KG,2,1 Week Delay
2799,673938163,BTFL FLSG COMF KG,2,1 Week Delay
3214,673938163,BTFL FLSG COMF KG,2,1 Week Delay
3216,673938163,BTFL FLSG COMF KG,2,1 Week Delay
3831,673938163,BTFL FLSG COMF KG,2,1 Week Delay
4258,673938163,BTFL FLSG COMF KG,2,1 Week Delay
4378,673938163,BTFL FLSG COMF KG,2,1 Week Delay
5343,673938163,BTFL FLSG COMF KG,2,1 Week Delay
1523,673938166,BTFL STRIPE COMF KG,2,1 Week Delay
1717,673938166,BTFL STRIPE COMF KG,2,1 Week Delay
2799,673938166,BTFL STRIPE COMF KG,2,1 Week Delay
23,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
1163,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
23,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
170,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
283,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
521,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
533,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
935,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1107,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1136,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1163,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1342,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
23,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
170,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
283,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
521,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
533,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
935,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1107,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1136,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1163,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1342,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
23,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
1163,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
787,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
459,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
614,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
787,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3401,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3403,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3627,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3874,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5252,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5363,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5390,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5814,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
459,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
614,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
787,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3401,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3403,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3627,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3874,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5252,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5363,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5390,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5814,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
787,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
