Market,Store,Current VIN,BrightDrop VIN,BrightDrop Estimated Arrival Date at Store
380,2751,1FTBW3XK2NKA30435,2G5ZJ2TY0R9104015,12/5/2024
585,2752,1FTBW3XK0NKA28425,2G5ZJ2TY2R9104016,12/5/2024
490,3019,1FTBW3XK4NKA30453,2G5ZJ2TY6R9104018,12/5/2024
490,3126,1FTBW3XK3NKA30105,2G5ZJ2TY8R9104019,12/5/2024
490,3128,1FTBW3XK8NKA28463,2G5ZJ2TY6R9104049,12/5/2024
376,3313,1FTBW3XKXNKA28450,2G5ZJ2TY4R9104079,12/5/2024
585,3533,1FTBW3XK9NKA28438,2G5ZJ2TY8R9104022,12/5/2024
380,3566,1FTBW3XK9NKA30447,2G5ZJ2TYXR9104023,12/5/2024
585,3824,1FTBW3XK4NKA28475,2G5ZJ2TY5R9104138,12/5/2024
379,3867,1FTBW3XK5NKA28470,2G5ZJ2TY7R9104139,12/5/2024
490,4196,1FTBW3XK0NKA28389,2G5ZJ2TY9R9104126,12/5/2024
380,4284,1FTBW3XK3NKA28578,2G5ZJ2TY1R9104119,12/5/2024
379,4288,1FTBW3XK6NKA28462,2G5ZJ2TY1R9104122,12/5/2024
379,4567,1FTBW3XK3NKA14244,2G5ZJ2TY8R9104120,12/5/2024
585,4734,1FTBW3XK7NKA14215,2G5ZJ2TY5R9104124,12/5/2024
380,5049,1FTBW3XK2NKA14221,2G5ZJ2TY3R9104123,12/5/2024
376,5137,1FTBW3XK4NKA14219,2G5ZJ2TY8R9104117,12/5/2024
376,5334,1FTBW3XK5NKA14195,2G5ZJ2TYXR9104068,12/5/2024
379,5341,1FTBW3XK9NKA28441,2G5ZJ2TYXR9104121,12/5/2024
585,5957,1FTBW3XK8NKA30472,2G5ZJ2TY7R9104125,12/5/2024
205,1611,3C6MRVJGXPE573691,2G5ZJ2TY5R9104141,12/5/2024
205,1987,3C6MRVJGXPE581547,2G5ZJ2TY2R9104033,12/5/2024
205,2354,3C6MRVJGXPE582830 ,2G5ZJ2TY4R9104034,12/5/2024
197,2872,3C6MRVJG5PE599339,2G5ZJ2TY2R9104114,12/5/2024
197,2912,3C6MRVJG1PE581548,2G5ZJ2TY7R9104058,12/5/2024
197,3336,3C6MRVJG4PE599350,2G5ZJ2TYXR9104135,12/5/2024
197,3476,3C6MRVJG4PE563142,2G5ZJ2TY4R9104020,12/5/2024
197,5842,3C6MRVJG1PE599340,2G5ZJ2TY3R9104137,12/5/2024
206,2559,3C6MRVJG7PE592148,2G5ZJ2TY5R9104110,12/5/2024
206,2692,3C6MRVJG5PE556667,2G5ZJ2TY9R9104112,12/5/2024
206,2873,3C6MRVJG6PE599348,2G5ZJ2TY4R9104115,12/5/2024
206,3487,3C6MRVJG2PE575323,2G5ZJ2TY5R9103992,12/5/2024
206,4424,3C6MRVJG8PE546277 ,2G5ZJ2TY7R9103993,12/5/2024
206,5844,3C6MRVJG7PE582848 ,2G5ZJ2TY4R9104017,12/5/2024
203,1754,3C6MRVJG2PE566380,2G5ZJ2TY0R9104032,12/5/2024
203,2618,3C6MRVJG8PE592093,2G5ZJ2TY7R9104111,12/5/2024
203,2700,3C6MRVJG1PE546296,2G5ZJ2TY0R9104113,12/5/2024
203,4540,3C6MRVJG1PE568847,2G5ZJ2TY9R9103994,12/5/2024
203,5048,3C6MRVJG1PE576768,2G5ZJ2TYXR9104099,12/5/2024
