Store Number,Workgroup,City,State,Date Offering Testing Began,Date Offering Testing Ended
2082,Front End,CERRITOS,CA,1/13/2022,2/22/2022
2110,Fresh,PARAMOUNT,CA,1/3/2022,2/22/2022
2110,Front End,PARAMOUNT,CA,1/14/2022,2/22/2022
2110,Fashion,PARAMOUNT,CA,1/10/2022,2/22/2022
2117,Overnight,LOS BANOS,CA,1/17/2022,2/22/2022
2119,Replenishment 1,MILPITAS,CA,1/20/2022,2/22/2022
2150,ACC,SAN DIEGO,CA,1/14/2022,2/22/2022
2177,Fashion,SAN DIEGO,CA,1/8/2022,2/22/2022
2181,Fresh,INDIO,CA,1/24/2022,2/22/2022
2181,Digital,INDIO,CA,1/20/2022,2/22/2022
2181,Pharmacy,INDIO,CA,1/11/2022,2/22/2022
2206,Digital,LAGUNA NIGUEL,CA,1/11/2022,2/22/2022
2218,Digital,FOOTHILL RANCH,CA,12/31/2021,2/22/2022
2242,Digital,ANAHEIM,CA,1/10/2022,2/22/2022
2245,Digital,OCEANSIDE,CA,1/11/2022,2/22/2022
2253,Digital,EL CAJON,CA,1/17/2022,2/22/2022
2280,Replenishment 1,MOUNTAIN VIEW,CA,1/17/2022,2/22/2022
2288,Digital,POMONA,CA,1/13/2022,2/22/2022
2292,Digital,COVINA,CA,1/5/2022,2/22/2022
2464,Overnight,SACRAMENTO,CA,1/7/2022,2/22/2022
2479,Fresh,SAN DIEGO,CA,1/20/2022,2/22/2022
2479,Digital,SAN DIEGO,CA,1/5/2022,2/22/2022
2479,Replenishment 1,SAN DIEGO,CA,1/8/2022,2/22/2022
2494,Overnight,OCEANSIDE,CA,1/14/2022,2/22/2022
2507,Overnight,SANTA MARIA,CA,1/13/2022,2/22/2022
2517,Fashion,SANTA ANA,CA,1/30/2022,2/22/2022
2517,Overnight,SANTA ANA,CA,1/14/2022,2/22/2022
2517,Digital,SANTA ANA,CA,1/6/2022,2/22/2022
2517,Replenishment 1,SANTA ANA,CA,1/20/2022,2/22/2022
2526,Front End,PORTER RANCH,CA,1/10/2022,2/22/2022
2526,Replenishment 1,PORTER RANCH,CA,1/14/2022,2/22/2022
2536,Replenishment 1,TULARE,CA,1/5/2022,2/22/2022
2537,Fresh,REDDING,CA,1/17/2022,2/22/2022
2546,Front End,ORANGE,CA,1/11/2022,2/22/2022
2568,Pharmacy,PANORAMA CITY,CA,1/8/2022,2/22/2022
2568,Digital,PANORAMA CITY,CA,1/11/2022,2/22/2022
2609,Digital,LAKEWOOD,CA,12/22/2021,2/22/2022
2609,Fresh,LAKEWOOD,CA,1/5/2022,2/22/2022
2621,Replenishment 1,SIMI VALLEY,CA,1/11/2022,2/22/2022
2697,Food and Consumables,ANTIOCH,CA,1/6/2022,2/22/2022
2708,Digital,TEMECULA,CA,1/5/2022,2/22/2022
2708,Fresh,TEMECULA,CA,1/11/2022,2/22/2022
2708,Front End,TEMECULA,CA,1/11/2022,2/22/2022
2735,Overnight,SACRAMENTO,CA,1/17/2022,2/22/2022
2735,Fresh,SACRAMENTO,CA,1/20/2022,2/22/2022
2735,Digital,SACRAMENTO,CA,1/13/2022,2/22/2022
2735,Front End,SACRAMENTO,CA,1/10/2022,2/22/2022
2735,Replenishment 1,SACRAMENTO,CA,1/13/2022,2/22/2022
2842,Overnight,CORONA,CA,1/10/2022,2/22/2022
2842,Replenishment 1,CORONA,CA,1/6/2022,2/22/2022
2886,Fresh,PICO RIVERA,CA,1/6/2022,2/22/2022
2948,Fresh,SANTA FE SPRINGS,CA,1/8/2022,2/22/2022
2950,Digital,PALMDALE,CA,1/5/2022,2/22/2022
2950,Replenishment 1,PALMDALE,CA,1/14/2022,2/22/2022
2950,Fresh,PALMDALE,CA,1/20/2022,2/22/2022
2951,Asset Protection,LANCASTER,CA,1/11/2022,2/22/2022
2985,Overnight,FRESNO,CA,1/7/2022,2/22/2022
2989,Front End,FREMONT,CA,1/24/2022,2/22/2022
3047,Fresh,TURLOCK,CA,1/13/2022,2/22/2022
3081,Overnight,SACRAMENTO,CA,1/17/2022,2/22/2022
3081,Front End,SACRAMENTO,CA,1/6/2022,2/22/2022
3084,Overnight,ESCONDIDO,CA,1/6/2022,2/22/2022
3087,GM Service,OXNARD,CA,1/11/2022,2/22/2022
3139,Pharmacy,BAKERSFIELD,CA,1/14/2022,2/22/2022
3248,Fresh,LA HABRA,CA,1/6/2022,2/22/2022
3248,Overnight,LA HABRA,CA,1/5/2022,2/22/2022
3248,Food and Consumables,LA HABRA,CA,1/12/2022,2/22/2022
3248,Replenishment 1,LA HABRA,CA,1/12/2022,2/22/2022
3276,Digital,SAN BERNARDINO,CA,1/11/2022,2/22/2022
3455,GM Garden,RICHMOND,CA,1/13/2022,2/22/2022
3493,Food and Consumables,MARTINEZ,CA,1/7/2022,2/22/2022
3516,Food and Consumables,CHULA VISTA,CA,1/13/2022,2/22/2022
3522,Front End,BALDWIN PARK,CA,1/7/2022,2/22/2022
3522,Replenishment 1,BALDWIN PARK,CA,1/10/2022,2/22/2022
3523,Digital,SANTA CLARITA,CA,1/5/2022,2/22/2022
3524,Fashion,EL CAJON,CA,1/20/2022,2/22/2022
3587,Digital,ROCKLIN,CA,1/20/2022,2/22/2022
3712,Front End,CITRUS HEIGHTS,CA,1/17/2022,2/22/2022
3712,Digital,CITRUS HEIGHTS,CA,1/10/2022,2/22/2022
3796,Digital,ONTARIO,CA,1/7/2022,2/22/2022
3796,Replenishment 1,ONTARIO,CA,1/14/2022,2/22/2022
4101,Fashion,LONG BEACH,CA,1/10/2022,2/22/2022
4127,Fresh,WOODLAND,CA,1/11/2022,2/22/2022
4169,Digital,EL CAJON,CA,1/11/2022,2/22/2022
4171,Overnight,GARDEN GROVE,CA,1/7/2022,2/22/2022
4174,Fresh,SAN JOSE,CA,1/20/2022,2/22/2022
4309,Digital,ORANGEVALE,CA,1/13/2022,2/22/2022
4309,Fresh,ORANGEVALE,CA,1/11/2022,2/22/2022
4340,Food and Consumables,HESPERIA,CA,1/7/2022,2/22/2022
4393,Food and Consumables,NORTH HIGHLANDS,CA,1/12/2022,2/22/2022
4759,Fresh,CITRUS HEIGHTS,CA,1/24/2022,2/22/2022
4759,Digital,CITRUS HEIGHTS,CA,1/11/2022,2/22/2022
5023,Digital,NATIONAL CITY,CA,1/14/2022,2/22/2022
5023,Pharmacy,NATIONAL CITY,CA,1/17/2022,2/22/2022
5023,Overnight,NATIONAL CITY,CA,1/7/2022,2/22/2022
5023,Fashion,NATIONAL CITY,CA,1/20/2022,2/22/2022
5072,Replenishment 1,TORRANCE,CA,1/13/2022,2/22/2022
5134,Pharmacy,BAKERSFIELD,CA,1/7/2022,2/22/2022
5139,Replenishment 1,DIXON,CA,1/14/2022,2/22/2022
5139,Overnight,DIXON,CA,1/11/2022,2/22/2022
5152,Replenishment 1,WEST HILLS,CA,1/7/2022,2/22/2022
5152,Fashion,WEST HILLS,CA,1/14/2022,2/22/2022
5152,Food and Consumables,WEST HILLS,CA,1/13/2022,2/22/2022
5193,Digital,MORENO VALLEY,CA,1/3/2022,2/22/2022
5215,Digital,DELANO,CA,1/7/2022,2/22/2022
5231,Fresh,GALT,CA,1/14/2022,2/22/2022
5231,Replenishment 1,GALT,CA,1/17/2022,2/22/2022
5231,Overnight,GALT,CA,1/20/2022,2/22/2022
5425,Replenishment 1,SAN JACINTO,CA,1/10/2022,2/22/2022
5425,Food and Consumables,SAN JACINTO,CA,1/20/2022,2/22/2022
5425,Fresh,SAN JACINTO,CA,1/14/2022,2/22/2022
5425,GM Service,SAN JACINTO,CA,1/11/2022,2/22/2022
5434,Front End,SAN LEANDRO,CA,1/13/2022,2/22/2022
5435,Digital,SAN JOSE,CA,1/6/2022,2/22/2022
5435,Front End,SAN JOSE,CA,1/6/2022,2/22/2022
5605,Pharmacy,PANORAMA CITY,CA,1/11/2022,2/22/2022
5608,Front End,VACAVILLE,CA,1/20/2022,2/22/2022
5609,Digital,VALLEJO,CA,1/24/2022,2/22/2022
5611,Replenishment 1,PLEASANTON,CA,1/14/2022,2/22/2022
5611,Digital,PLEASANTON,CA,1/13/2022,2/22/2022
5632,Digital,FRESNO,CA,1/10/2022,2/22/2022
5632,Front End,FRESNO,CA,1/17/2022,2/22/2022
5632,Fashion,FRESNO,CA,1/14/2022,2/22/2022
5633,Fresh,CLOVIS,CA,1/6/2022,2/22/2022
5634,Fresh,FRESNO,CA,1/5/2022,2/22/2022
5644,Digital,IRVINE,CA,1/5/2022,2/22/2022
5664,Overnight,CAMARILLO,CA,1/26/2022,2/22/2022
5683,Overnight,ELK GROVE,CA,1/20/2022,2/22/2022
5683,Digital,ELK GROVE,CA,1/8/2022,2/22/2022
5684,Fresh,LA MESA,CA,1/8/2022,2/22/2022
5684,Front End,LA MESA,CA,1/10/2022,2/22/2022
5684,Digital,LA MESA,CA,1/3/2022,2/22/2022
5689,Front End,PALMDALE,CA,1/6/2022,2/22/2022
5689,Replenishment 1,PALMDALE,CA,1/13/2022,2/22/2022
5701,Overnight,KERMAN,CA,1/14/2022,2/22/2022
5701,Digital,KERMAN,CA,1/11/2022,2/22/2022
5710,Replenishment 1,MODESTO,CA,1/20/2022,2/22/2022
5751,Fresh,SALINAS,CA,1/30/2022,2/22/2022
5807,Replenishment 1,COMPTON,CA,1/11/2022,2/22/2022
5843,Replenishment 1,PATTERSON,CA,1/30/2022,2/22/2022
5843,Front End,PATTERSON,CA,1/6/2022,2/22/2022
5859,Replenishment 1,WASCO,CA,1/5/2022,2/22/2022
5886,Digital,ENCINITAS,CA,1/7/2022,2/22/2022
5886,Replenishment 1,ENCINITAS,CA,1/8/2022,2/22/2022
5930,Front End,ANAHEIM,CA,1/14/2022,2/22/2022
5930,Food and Consumables,ANAHEIM,CA,1/20/2022,2/22/2022
5930,Fresh,ANAHEIM,CA,1/11/2022,2/22/2022
5930,Replenishment 1,ANAHEIM,CA,1/14/2022,2/22/2022
5956,Replenishment 1,VISALIA,CA,1/11/2022,2/22/2022
1563,Digital,LANCASTER,CA,12/22/2021,2/22/2022
1624,Front End,BAKERSFIELD,CA,12/31/2021,2/22/2022
5008,Digital,HEMET,CA,12/31/2021,2/22/2022
5684,Overnight,LA MESA,CA,1/3/2022,2/22/2022
5425,Front End,SAN JACINTO,CA,1/3/2022,2/22/2022
2951,Digital,LANCASTER,CA,1/3/2022,2/22/2022
1882,Overnight,SELMA,CA,1/5/2022,2/22/2022
4340,Digital,HESPERIA,CA,1/5/2022,2/22/2022
5954,Front End,WEST COVINA,CA,1/5/2022,2/22/2022
1588,Digital,VICTORVILLE,CA,1/5/2022,2/22/2022
4392,Digital,VICTORVILLE,CA,1/5/2022,2/22/2022
1563,Front End,LANCASTER,CA,1/5/2022,2/22/2022
1859,Digital,CALEXICO,CA,1/5/2022,2/22/2022
2094,Overnight,VISTA,CA,1/5/2022,2/22/2022
5930,Overnight,ANAHEIM,CA,1/6/2022,2/22/2022
1805,Digital,LA QUINTA,CA,1/6/2022,2/22/2022
5843,Digital,PATTERSON,CA,1/6/2022,2/22/2022
3248,Digital,LA HABRA,CA,1/6/2022,2/22/2022
5633,Front End,CLOVIS,CA,1/6/2022,2/22/2022
2523,Front End,BREA,CA,1/6/2022,2/22/2022
5954,Digital,WEST COVINA,CA,1/6/2022,2/22/2022
3523,Front End,SANTA CLARITA,CA,1/6/2022,2/22/2022
1879,Fresh,BARSTOW,CA,1/7/2022,2/22/2022
3081,Replenishment 1,SACRAMENTO,CA,1/7/2022,2/22/2022
5335,Digital,BRAWLEY,CA,1/7/2022,2/22/2022
1815,Digital,FRESNO,CA,1/7/2022,2/22/2022
3352,Front End,STOCKTON,CA,1/7/2022,2/22/2022
1747,Overnight,PERRIS,CA,1/8/2022,2/22/2022
4202,Digital,ROSEVILLE,CA,1/8/2022,2/22/2022
2537,Digital,REDDING,CA,1/10/2022,2/22/2022
5231,Digital,GALT,CA,1/11/2022,2/22/2022
3477,Front End,LONG BEACH,CA,1/11/2022,2/22/2022
2536,Overnight,TULARE,CA,1/11/2022,2/22/2022
1747,Food and Consumables,PERRIS,CA,1/11/2022,2/22/2022
3477,Replenishment 1,LONG BEACH,CA,1/11/2022,2/22/2022
1555,Digital,EL CENTRO,CA,1/11/2022,2/22/2022
3081,Digital,SACRAMENTO,CA,1/12/2022,2/22/2022
5394,Digital,DINUBA,CA,1/12/2022,2/22/2022
1747,Fashion,PERRIS,CA,1/12/2022,2/22/2022
1988,Digital,ROSEVILLE,CA,1/12/2022,2/22/2022
3522,Food and Consumables,BALDWIN PARK,CA,1/12/2022,2/22/2022
5890,Food and Consumables,ATWATER,CA,1/12/2022,2/22/2022
1915,Overnight,YUCCA VALLEY,CA,1/12/2022,2/22/2022
1915,Replenishment 1,YUCCA VALLEY,CA,1/13/2022,2/22/2022
5689,Fresh,PALMDALE,CA,1/13/2022,2/22/2022
5136,Overnight,MARYSVILLE,CA,1/13/2022,2/22/2022
5956,Digital,VISALIA,CA,1/13/2022,2/22/2022
1815,Front End,FRESNO,CA,1/13/2022,2/22/2022
1989,Pharmacy,LOMPOC,CA,1/13/2022,2/22/2022
5032,Pharmacy,BUENA PARK,CA,1/13/2022,2/22/2022
2537,Overnight,REDDING,CA,1/13/2022,2/22/2022
1903,Fresh,YUBA CITY,CA,1/13/2022,2/22/2022
2048,Digital,FAIRFIELD,CA,1/14/2022,2/22/2022
3352,Digital,STOCKTON,CA,1/14/2022,2/22/2022
5605,Front End,PANORAMA CITY,CA,1/14/2022,2/22/2022
2479,GM TA Serv,SAN DIEGO,CA,1/14/2022,2/22/2022
1805,Overnight,LA QUINTA,CA,1/14/2022,2/22/2022
2280,Food and Consumables,MOUNTAIN VIEW,CA,1/17/2022,2/22/2022
3084,Digital,ESCONDIDO,CA,1/17/2022,2/22/2022
3523,Replenishment 1,SANTA CLARITA,CA,1/17/2022,2/22/2022
3046,Food and Consumables,MODESTO,CA,1/17/2022,2/22/2022
2253,Digital,EL CAJON,CA,1/17/2022,2/22/2022
2950,Fashion,PALMDALE,CA,1/20/2022,2/22/2022
3477,Overnight,LONG BEACH,CA,1/20/2022,2/22/2022
5956,Fresh,VISALIA,CA,1/20/2022,2/22/2022
1651,Replenishment 1,AMERICAN CANYON,CA,1/20/2022,2/22/2022
1563,Fresh,LANCASTER,CA,1/20/2022,2/22/2022
2245,Overnight,OCEANSIDE,CA,1/20/2022,2/22/2022
5606,Fresh,WOODLAND,CA,1/20/2022,2/22/2022
5956,Overnight,VISALIA,CA,1/20/2022,2/22/2022
5032,Front End,BUENA PARK,CA,1/24/2022,2/22/2022
3147,Fresh,SIMI VALLEY,CA,1/24/2022,2/22/2022
2280,Overnight,MOUNTAIN VIEW,CA,1/24/2022,2/22/2022
3147,Digital,SIMI VALLEY,CA,1/24/2022,2/22/2022
5133,Fresh,ANDERSON,CA,1/24/2022,2/22/2022
5807,Overnight,COMPTON,CA,1/24/2022,2/22/2022
1910,Fresh,CRESCENT CITY,CA,1/24/2022,2/22/2022
2002,Front End,GILROY,CA,1/24/2022,2/22/2022
1877,GM Service,PORTERVILLE,CA,1/24/2022,2/22/2022
5008,Fresh,HEMET,CA,1/24/2022,2/22/2022
5133,Replenishment 1,ANDERSON,CA,1/24/2022,2/22/2022
2468,Front End,ROHNERT PARK,CA,1/26/2022,2/22/2022
1882,Fresh,SELMA,CA,1/26/2022,2/22/2022
2181,Overnight,INDIO,CA,1/26/2022,2/22/2022
1903,Fashion,YUBA CITY,CA,1/26/2022,2/22/2022
5435,Replenishment 1,SAN JOSE,CA,1/26/2022,2/22/2022
5890,Asset Protection,ATWATER,CA,1/26/2022,2/22/2022
5890,Customer Host,ATWATER,CA,1/26/2022,2/22/2022
1700,Digital,POWAY,CA,1/26/2022,2/22/2022
2025,Pharmacy,TRACY,CA,1/26/2022,2/22/2022
5633,Overnight,CLOVIS,CA,1/26/2022,2/22/2022
2039,Overnight,MERCED,CA,1/30/2022,2/22/2022
5133,Front End,ANDERSON,CA,1/30/2022,2/22/2022
1979,Front End,CLEARLAKE,CA,1/30/2022,2/22/2022
2039,Maintenance,MERCED,CA,1/30/2022,2/22/2022
1989,Overnight,LOMPOC,CA,2/1/2022,2/22/2022
2291,Overnight,CHULA VISTA,CA,2/1/2022,2/22/2022
3047,Front End,TURLOCK,CA,2/1/2022,2/22/2022
2044,Front End,CHICO,CA,2/1/2022,2/22/2022
5632,GM TA Serv,FRESNO,CA,2/1/2022,2/22/2022
2150,Digital,SAN DIEGO,CA,2/1/2022,2/22/2022
5007,Digital,VACAVILLE,CA,2/1/2022,2/22/2022
1575,Pharmacy,OROVILLE,CA,1/24/2022,3/1/2022
1587,Front End,MODESTO,CA,1/20/2022,3/1/2022
1587,Overnight,MODESTO,CA,2/7/2022,3/1/2022
1608,Digital,RED BLUFF,CA,1/11/2022,3/1/2022
1608,Front End,RED BLUFF,CA,1/24/2022,3/1/2022
1608,Overnight,RED BLUFF,CA,1/24/2022,3/1/2022
1697,Digital,ELK GROVE,CA,1/13/2022,3/1/2022
1826,Overnight,VISALIA,CA,1/30/2022,3/1/2022
1853,Digital,HEMET,CA,1/14/2022,3/1/2022
1853,Front End,HEMET,CA,1/17/2022,3/1/2022
1910,Food and Consumables,CRESCENT CITY,CA,2/7/2022,3/1/2022
1979,Pharmacy,CLEARLAKE,CA,1/17/2022,3/1/2022
1988,Replenishment 1,ROSEVILLE,CA,2/7/2022,3/1/2022
1989,Fresh,LOMPOC,CA,1/30/2022,3/1/2022
2030,Digital,SONORA,CA,1/24/2022,3/1/2022
2110,Overnight,PARAMOUNT,CA,1/3/2022,3/1/2022
2117,Digital,LOS BANOS,CA,1/5/2022,3/1/2022
2117,Front End,LOS BANOS,CA,1/30/2022,3/1/2022
2190,Fashion,WOODLAND,CA,1/26/2022,3/1/2022
2218,Front End,FOOTHILL RANCH,CA,1/14/2022,3/1/2022
2277,ACC,CLOVIS,CA,1/13/2022,3/1/2022
2280,Digital,MOUNTAIN VIEW,CA,1/11/2022,3/1/2022
2479,Front End,SAN DIEGO,CA,1/5/2022,3/1/2022
2494,Front End,OCEANSIDE,CA,1/30/2022,3/1/2022
2517,Front End,SANTA ANA,CA,1/13/2022,3/1/2022
2546,Overnight,ORANGE,CA,1/17/2022,3/1/2022
2553,Front End,WINDSOR,CA,1/13/2022,3/1/2022
2556,Replenishment 1,ARROYO GRANDE,CA,1/13/2022,3/1/2022
2568,Front End,PANORAMA CITY,CA,1/8/2022,3/1/2022
2689,Front End,FRESNO,CA,1/24/2022,3/1/2022
2697,Overnight,ANTIOCH,CA,1/8/2022,3/1/2022
2697,Replenishment 1,ANTIOCH,CA,1/12/2022,3/1/2022
2697,Front End,ANTIOCH,CA,1/24/2022,3/1/2022
2886,Digital,PICO RIVERA,CA,1/8/2022,3/1/2022
2985,Digital,FRESNO,CA,1/17/2022,3/1/2022
2985,Front End,FRESNO,CA,2/1/2022,3/1/2022
3081,Fashion,SACRAMENTO,CA,1/14/2022,3/1/2022
