Store,Market,Region,BU
1018,28,3,A
1020,425,53,E
1021,339,40,E
1024,30,2,A
1025,141,13,B
1026,580,41,E
1033,243,41,E
1035,42,4,F
1036,294,4,F
1039,304,26,F
1040,65,6,B
1042,85,6,B
1043,350,44,B
1053,242,41,E
1054,411,47,M
1056,353,44,B
1059,138,11,A
1061,28,3,A
1062,63,6,B
1064,304,26,F
1069,138,11,A
1073,81,7,B
1074,136,11,A
1076,32,2,A
1085,104,3,A
1087,107,9,A
1090,101,3,A
1091,7,14,A
1093,273,25,E
1095,388,54,M
1098,84,6,B
1100,137,11,A
1101,8,14,A
1105,326,42,A
1106,141,13,B
1111,21,2,A
1112,16,14,A
1114,328,42,A
1115,147,11,A
1118,55,5,B
1121,21,2,A
1124,137,11,A
1126,506,7,B
1128,134,13,B
1134,7,14,A
1136,131,13,B
1137,60,6,B
1138,441,53,E
1140,259,21,E
1148,349,44,B
1152,426,52,M
1158,2,14,A
1160,243,41,E
1163,125,13,B
1165,256,41,E
1168,141,13,B
1174,14,14,A
1180,243,41,E
1183,41,4,F
1187,410,44,B
1188,339,40,E
1190,257,41,E
1193,135,42,A
1195,143,13,B
1196,131,13,B
1197,301,26,F
1199,388,54,M
1200,391,54,M
1205,101,3,A
1209,305,26,F
1211,270,25,E
1212,1,14,A
1214,406,47,M
1219,101,3,A
1227,30,2,A
1229,13,14,A
1231,379,54,M
1232,81,7,B
1235,86,7,B
1239,217,21,E
1241,418,52,M
1242,294,4,F
1244,35,4,F
1247,258,20,E
1249,74,7,B
1254,76,5,B
1255,309,26,F
1259,258,20,E
1260,143,13,B
1265,339,40,E
1266,130,13,B
1267,441,53,E
1268,300,4,F
1270,39,4,F
1271,138,11,A
1272,74,7,B
1275,482,41,E
1277,438,53,E
1281,42,4,F
1282,407,47,M
1286,41,4,F
1288,296,26,F
1290,304,26,F
1294,247,21,E
1296,569,6,B
1297,93,3,A
1310,251,41,E
1316,439,53,E
1317,294,4,F
1318,122,12,A
1319,122,12,A
1327,242,41,E
1328,364,58,M
1329,246,21,E
1331,239,21,E
1333,222,21,E
1334,372,46,B
1340,25,2,A
1342,128,13,B
1347,87,7,B
1351,317,20,E
1352,300,4,F
1354,301,26,F
1358,33,4,F
1359,36,4,F
1360,317,20,E
1361,426,52,M
1364,365,58,M
1366,440,53,E
1369,364,58,M
1372,299,26,F
1373,23,2,A
1374,91,9,A
1375,97,14,A
1379,301,26,F
1383,33,4,F
1384,389,54,M
1385,305,26,F
1386,262,25,E
1388,248,21,E
1389,414,52,M
1391,94,3,A
1393,413,52,M
1399,314,75,F
1403,18,2,A
1404,269,25,E
1405,61,6,B
1413,270,25,E
1414,384,46,B
1415,421,52,M
1422,204,19,E
1423,203,19,E
1425,247,21,E
1431,418,52,M
1435,413,52,M
1437,406,47,M
1442,405,57,M
1443,221,21,E
1445,213,19,E
1450,316,20,E
1451,275,25,E
1456,381,47,M
1462,7,14,A
1466,122,12,A
1467,121,12,A
1472,423,52,M
1475,418,52,M
1477,317,20,E
1489,269,25,E
1490,263,53,E
1491,413,52,M
1493,14,14,A
1495,223,21,E
1500,430,47,M
1504,223,21,E
1505,258,20,E
1509,415,52,M
1512,371,46,B
1515,442,53,E
1516,70,7,B
1519,218,21,E
1526,426,52,M
1531,270,25,E
1539,213,19,E
1540,201,19,E
1544,320,76,F
1545,412,52,M
1546,426,52,M
1548,262,25,E
1549,368,46,B
1551,435,53,E
1558,298,26,F
1562,424,52,M
1564,218,21,E
1566,247,21,E
1569,259,21,E
1573,405,57,M
1579,296,26,F
1580,249,41,E
1590,553,9,A
1591,234,22,F
1595,217,21,E
1596,265,25,E
1607,237,22,F
1613,308,26,F
1628,213,19,E
1631,288,75,F
1634,419,52,M
1638,7,14,A
1642,202,19,E
1644,232,22,F
1647,248,21,E
1650,444,53,E
1652,312,75,F
1654,419,52,M
1657,425,53,E
1659,379,54,M
1661,302,26,F
1665,239,21,E
1668,269,25,E
1672,436,53,E
1682,288,75,F
1684,237,22,F
1685,430,47,M
1689,376,54,M
1693,445,58,M
1694,124,12,A
1695,427,47,M
1698,183,16,F
1702,92,9,A
1710,140,11,A
1711,2,14,A
1714,320,76,F
1718,222,21,E
1726,315,75,F
1727,439,53,E
1728,246,21,E
1729,239,21,E
1732,414,52,M
1740,263,53,E
1743,258,20,E
1747,461,58,M
1750,222,21,E
1751,297,26,F
1752,204,19,E
1756,462,58,M
1758,239,21,E
1761,341,40,E
1766,24,2,A
1771,202,19,E
1772,468,56,M
1773,288,75,F
1774,310,4,F
1775,478,60,M
1779,265,25,E
1780,315,75,F
1783,580,41,E
1784,477,60,M
1787,414,52,M
1792,237,22,F
1793,477,60,M
1797,179,16,F
1798,205,19,E
1801,44,5,B
1803,87,7,B
1808,388,54,M
1809,202,19,E
1811,289,75,F
1812,215,20,E
1819,436,53,E
1820,229,20,E
1821,306,26,F
1825,286,76,F
1826,581,57,M
1834,468,56,M
1837,59,6,B
1840,450,56,M
1843,477,60,M
1845,109,9,A
1849,308,26,F
1858,421,52,M
1860,284,22,F
1863,209,20,E
1866,180,16,F
1868,180,16,F
1872,383,47,M
1881,453,56,M
1883,229,20,E
1886,234,22,F
1890,285,22,F
1895,215,20,E
1899,461,58,M
1903,457,56,M
1905,400,56,M
1907,184,16,F
1909,195,76,F
1911,215,20,E
1912,461,58,M
1914,445,58,M
1917,459,58,M
1928,205,19,E
1937,216,20,E
1940,188,16,F
1946,187,16,F
1950,301,26,F
1953,297,26,F
1954,183,16,F
1955,263,53,E
1962,246,21,E
1963,450,56,M
1970,159,16,F
1972,511,56,M
1980,162,17,F
1983,450,56,M
1986,213,19,E
1992,462,58,M
1993,195,76,F
1999,424,52,M
2003,174,17,F
2006,475,60,M
2009,281,75,F
2010,201,19,E
2012,156,16,F
2014,204,19,E
2015,292,76,F
2023,233,22,F
2025,511,56,M
2031,511,56,M
2032,446,57,M
2033,427,47,M
2035,239,21,E
2036,317,20,E
2044,457,56,M
2047,179,16,F
2052,457,56,M
2054,454,56,M
2062,201,19,E
2066,64,6,B
2070,469,60,M
2071,469,60,M
2075,478,60,M
2082,464,58,M
2095,160,16,F
2102,200,19,E
2105,53,5,B
2110,465,57,M
2125,380,54,M
2127,440,53,E
2132,131,13,B
2135,190,17,F
2138,181,16,F
2143,179,16,F
2145,168,22,F
2146,189,76,F
2152,188,16,F
2160,290,75,F
2161,511,56,M
2167,167,22,F
2183,180,16,F
2185,232,22,F
2187,473,60,M
2190,453,56,M
2191,207,19,E
2198,423,52,M
2200,162,17,F
2204,267,25,E
2207,403,54,M
2209,216,20,E
2211,208,20,E
2213,340,40,E
2214,41,4,F
2223,585,54,M
2230,237,22,F
2233,280,76,F
2234,189,76,F
2238,200,19,E
2241,475,60,M
2245,460,58,M
2247,299,26,F
2248,293,75,F
2250,221,21,E
2251,484,57,M
2253,458,58,M
2257,67,6,B
2258,283,76,F
2259,383,47,M
2264,189,76,F
2267,156,16,F
2271,440,53,E
2273,205,19,E
2276,238,19,E
2277,449,57,M
2279,282,75,F
2280,451,56,M
2286,171,17,F
2288,462,58,M
2291,458,58,M
2292,484,57,M
2297,448,57,M
2306,11,11,A
2307,403,54,M
2308,470,57,M
2309,221,21,E
2311,247,21,E
2314,470,57,M
2321,470,57,M
2322,145,11,A
2326,194,76,F
2328,497,59,O
2332,181,16,F
2338,196,53,E
2340,233,22,F
2350,207,19,E
2351,188,16,F
2368,174,17,F
2369,181,16,F
2385,514,60,M
2388,239,21,E
2392,102,72,O
2394,533,64,O
2395,507,64,O
2398,183,16,F
2400,218,21,E
2402,400,56,M
2403,514,60,M
2405,194,76,F
2406,488,72,O
2414,500,59,O
2421,436,53,E
2422,476,60,M
2424,187,16,F
2426,217,21,E
2429,223,21,E
2437,286,76,F
2439,60,6,B
2441,225,21,E
2442,485,59,O
2445,170,22,F
2447,225,21,E
2448,423,52,M
2452,444,53,E
2457,454,56,M
2460,285,22,F
2464,454,56,M
2465,497,59,O
2468,552,61,O
2469,467,60,M
2471,217,21,E
2474,320,76,F
2481,232,22,F
2486,512,61,O
2488,566,59,O
2490,362,40,E
2491,273,25,E
2492,475,60,M
2494,460,58,M
2495,466,58,M
2496,124,12,A
2500,544,72,O
2506,208,20,E
2507,447,57,M
2509,439,53,E
2518,178,22,F
2526,446,57,M
2527,460,58,M
2531,164,17,F
2534,7,14,A
2535,232,22,F
2536,581,57,M
2538,478,60,M
2546,464,58,M
2553,457,56,M
2554,368,46,B
2557,447,57,M
2558,206,19,E
2563,580,41,E
2572,218,21,E
2579,429,47,M
2580,300,4,F
2582,174,17,F
2584,23,2,A
2590,550,61,O
2594,471,60,M
2595,471,60,M
2598,453,56,M
2599,86,7,B
2603,229,20,E
2604,174,17,F
2605,218,21,E
2607,383,47,M
2611,235,20,E
2613,213,19,E
2614,168,22,F
2617,399,56,M
2618,203,19,E
2621,446,57,M
2626,101,3,A
2630,28,3,A
2631,197,19,E
2633,175,17,F
2636,466,58,M
2638,259,21,E
2641,168,22,F
2642,423,52,M
2643,422,52,M
2644,204,19,E
2645,314,75,F
2646,317,20,E
2648,511,56,M
2656,375,46,B
2659,183,16,F
2660,157,16,F
2662,317,20,E
2663,231,76,F
2668,435,53,E
2671,373,46,B
2672,389,54,M
2674,228,76,F
2679,247,21,E
2687,35,4,F
2689,512,61,O
2690,137,11,A
2691,243,41,E
2694,340,40,E
2699,497,59,O
2703,38,4,F
2704,298,26,F
2705,314,75,F
2714,426,52,M
2715,143,13,B
2718,64,6,B
2722,469,60,M
2725,217,21,E
2728,275,25,E
2729,378,54,M
2730,301,26,F
2731,497,59,O
2732,22,2,A
2733,32,2,A
2743,492,72,O
2744,537,72,O
2749,124,12,A
2752,585,54,M
2753,18,2,A
2761,311,20,E
2762,312,75,F
2764,414,52,M
2771,246,21,E
2773,546,59,O
2784,407,47,M
2787,249,41,E
2790,280,76,F
2792,316,20,E
2799,508,75,F
2801,546,59,O
2805,314,75,F
2809,320,76,F
2810,316,20,E
2812,425,53,E
2819,248,21,E
2820,421,52,M
2821,290,75,F
2823,216,20,E
2826,515,61,O
2827,418,52,M
2831,400,56,M
2832,29,4,F
2833,320,76,F
2840,496,59,O
2842,461,58,M
2849,316,20,E
2856,361,40,E
2860,29,4,F
2866,203,19,E
2876,533,64,O
2877,533,64,O
2887,516,59,O
2889,415,52,M
2891,73,7,B
2906,171,17,F
2911,191,76,F
2912,197,19,E
2919,542,64,O
2921,401,54,M
2925,452,56,M
2931,285,22,F
2934,273,25,E
2935,413,52,M
2937,419,52,M
2939,140,11,A
2940,542,64,O
2945,167,22,F
2947,476,60,M
2948,484,57,M
2950,448,57,M
2952,460,58,M
2962,108,9,A
2973,51,5,B
2976,561,64,O
2979,58,64,O
2981,58,64,O
2984,533,64,O
2986,439,53,E
2988,120,12,A
2989,511,56,M
2990,430,47,M
2991,82,7,B
2994,360,40,E
2996,53,5,B
2998,515,61,O
3011,488,72,O
3014,49,5,B
3015,561,64,O
3022,552,61,O
3026,515,61,O
3035,283,76,F
3043,58,64,O
3044,50,5,B
3047,512,61,O
3049,9,61,O
3050,550,61,O
3057,506,7,B
3058,86,7,B
3059,140,11,A
3062,538,72,O
3066,102,72,O
3070,554,59,O
3071,554,59,O
3074,554,59,O
3082,490,61,O
3083,490,61,O
3084,551,61,O
3087,446,57,M
3088,424,52,M
3090,552,61,O
3094,557,61,O
3098,550,61,O
3101,551,61,O
3102,424,52,M
3103,409,44,B
3104,488,72,O
3106,86,7,B
3107,506,7,B
3110,494,59,O
3112,77,7,B
3123,512,61,O
3126,490,61,O
3127,490,61,O
3128,490,61,O
3131,515,61,O
3132,515,61,O
3133,515,61,O
3135,58,64,O
3138,481,61,O
3139,481,61,O
3140,481,61,O
3141,481,61,O
3143,9,61,O
3144,550,61,O
3145,550,61,O
3146,550,61,O
3152,491,61,O
3153,491,61,O
3154,491,61,O
3155,491,61,O
3156,502,59,O
3157,502,59,O
3161,548,72,O
3164,534,72,O
3167,125,13,B
3168,537,72,O
3169,83,7,B
3170,83,7,B
3172,491,61,O
3173,491,61,O
3175,490,61,O
3176,490,61,O
3177,378,54,M
3178,550,61,O
3179,481,61,O
3180,446,57,M
3183,103,72,O
3184,544,72,O
3198,504,64,O
3199,504,64,O
3202,533,64,O
3204,561,64,O
3209,424,52,M
3212,165,22,F
3213,68,13,B
3227,391,54,M
3238,538,72,O
3245,436,53,E
3251,218,21,E
3253,228,76,F
3262,216,20,E
3268,440,53,E
3269,180,16,F
3271,13,14,A
3276,445,58,M
3277,392,56,M
3286,52,5,B
3287,504,64,O
3298,60,6,B
3299,502,59,O
3300,222,21,E
3302,64,6,B
3303,311,20,E
3305,298,26,F
3307,97,14,A
3311,553,9,A
3314,510,61,O
3320,80,6,B
3322,442,53,E
3327,533,64,O
3328,200,19,E
3330,502,59,O
3331,327,42,A
3332,191,76,F
3336,197,19,E
3338,497,59,O
3340,507,64,O
3342,225,21,E
3347,116,9,A
3354,397,61,O
3356,397,61,O
3359,499,59,O
3364,422,52,M
3366,401,54,M
3367,36,4,F
3377,9,61,O
3383,70,7,B
3384,70,7,B
3385,570,64,O
3386,3,14,A
3389,25,2,A
3394,413,52,M
3395,433,47,M
3401,20,2,A
3411,500,59,O
3414,548,72,O
3422,558,22,F
3424,544,72,O
3428,375,46,B
3429,228,76,F
3430,352,44,B
3432,49,5,B
3433,49,5,B
3442,516,59,O
3447,219,21,E
3449,528,64,O
3450,528,64,O
3452,562,64,O
3456,500,59,O
3477,465,57,M
3480,311,20,E
3483,129,13,B
3493,452,56,M
3494,459,58,M
3497,444,53,E
3500,60,6,B
3502,221,21,E
3504,499,59,O
3512,570,64,O
3514,228,76,F
3515,218,21,E
3518,88,7,B
3521,504,64,O
3522,484,57,M
3526,95,3,A
3528,143,13,B
3529,249,41,E
3541,167,22,F
3542,562,64,O
3546,173,17,F
3548,163,17,F
3563,168,22,F
3567,80,6,B
3571,221,21,E
3588,291,75,F
3593,492,72,O
3595,310,4,F
3597,270,25,E
3599,492,72,O
3600,500,59,O
3602,275,25,E
3603,498,59,O
3604,510,61,O
3605,498,59,O
3606,549,72,O
3607,195,76,F
3608,209,20,E
3611,26,2,A
3612,296,26,F
3614,498,59,O
3615,533,64,O
3616,128,13,B
3617,559,72,O
3619,554,59,O
3620,403,54,M
3622,498,59,O
3623,88,7,B
3628,497,59,O
3629,549,72,O
3632,205,19,E
3634,232,22,F
3635,554,59,O
3646,496,59,O
3653,58,64,O
3654,534,72,O
3655,397,61,O
3658,298,26,F
3701,302,26,F
3703,543,64,O
3708,453,56,M
3709,20,2,A
3713,496,59,O
3723,537,72,O
3724,496,59,O
3727,541,64,O
3731,385,46,B
3734,430,47,M
3736,541,64,O
3738,227,20,E
3740,490,61,O
3741,22,2,A
3742,476,60,M
3743,542,64,O
3745,542,64,O
3746,542,64,O
3747,239,21,E
3749,221,21,E
3750,32,2,A
3751,373,46,B
3752,542,64,O
3757,471,60,M
3758,412,52,M
3760,421,52,M
3761,412,52,M
3765,239,21,E
3772,311,20,E
3780,281,75,F
3781,482,41,E
3783,223,21,E
3784,221,21,E
3785,14,14,A
3788,397,61,O
3791,202,19,E
3792,219,21,E
3796,462,58,M
3803,173,17,F
3806,421,52,M
3809,213,19,E
3810,168,22,F
3812,217,21,E
3817,559,72,O
3825,302,26,F
3826,71,7,B
3828,46,13,B
3840,222,21,E
3842,192,76,F
3843,285,22,F
3844,510,61,O
3845,510,61,O
3847,405,57,M
3857,441,53,E
3864,302,26,F
3868,127,42,A
3869,287,75,F
3875,427,47,M
3876,200,19,E
3877,93,3,A
3880,502,59,O
3887,116,9,A
3893,269,25,E
3899,496,59,O
4046,561,64,O
4048,541,64,O
4053,494,59,O
4054,494,59,O
4055,87,7,B
4056,528,64,O
4057,538,72,O
4064,289,75,F
4101,465,57,M
4103,77,7,B
4104,504,64,O
4105,526,64,O
4111,65,6,B
4112,569,6,B
4114,542,64,O
4115,87,7,B
4127,552,61,O
4128,537,72,O
4134,551,61,O
4139,491,61,O
4140,103,72,O
4145,497,59,O
4147,500,59,O
4148,499,59,O
4153,175,17,F
4156,181,16,F
4157,500,59,O
4159,559,72,O
4160,96,72,O
4162,506,7,B
4165,479,5,B
4169,551,61,O
4176,477,60,M
4180,557,61,O
4182,504,64,O
4183,85,6,B
4185,24,2,A
4188,566,59,O
4189,544,72,O
4191,287,75,F
4193,542,64,O
4194,84,6,B
4196,490,61,O
4197,96,72,O
4200,16,14,A
4201,385,46,B
4206,497,59,O
4210,545,72,O
4215,55,5,B
4216,580,41,E
4218,510,61,O
4219,82,7,B
4220,502,59,O
4226,119,12,A
4230,248,21,E
4231,248,21,E
4237,42,4,F
4243,205,19,E
4244,412,52,M
4246,412,52,M
4247,383,47,M
4249,474,60,M
4253,412,52,M
4256,414,52,M
4259,272,25,E
4264,9,61,O
4275,510,61,O
4281,436,53,E
4285,214,20,E
4288,379,54,M
4293,9,61,O
4295,134,13,B
4298,59,6,B
4317,447,57,M
4318,8,14,A
4324,9,61,O
4336,368,46,B
4339,397,61,O
4340,445,58,M
4348,237,22,F
4350,287,75,F
4357,545,72,O
4359,469,60,M
4365,90,9,A
4366,526,64,O
4367,542,64,O
4371,542,64,O
4373,542,64,O
4375,534,72,O
4377,388,54,M
4387,156,16,F
4388,502,59,O
4389,181,16,F
4390,507,64,O
4392,445,58,M
4399,247,21,E
4409,22,2,A
4410,304,26,F
4414,152,12,A
4415,526,64,O
4416,67,6,B
4421,546,59,O
4426,546,59,O
4427,97,14,A
4428,294,4,F
4431,509,59,O
4432,499,59,O
4435,149,12,A
4436,24,2,A
4440,41,4,F
4443,497,59,O
4445,497,59,O
4452,497,59,O
4453,504,64,O
4456,558,22,F
4460,324,42,A
4461,259,21,E
4464,570,64,O
4468,562,64,O
4469,566,59,O
4470,538,72,O
4472,25,2,A
4473,9,61,O
4474,469,60,M
4477,308,26,F
4478,538,72,O
4479,207,19,E
4483,149,12,A
4487,39,4,F
4490,9,61,O
4491,490,61,O
4497,13,14,A
4498,488,72,O
4501,235,20,E
4504,544,72,O
4506,41,4,F
4514,286,76,F
4517,546,59,O
4519,496,59,O
4524,498,59,O
4525,496,59,O
4526,63,6,B
4530,496,59,O
4531,265,25,E
4538,67,6,B
4545,500,59,O
4554,82,7,B
4556,29,4,F
4558,25,2,A
4560,488,72,O
4563,103,72,O
4564,299,26,F
4568,432,47,M
4569,427,47,M
4570,164,17,F
4577,542,64,O
4579,537,72,O
4585,507,64,O
4586,543,64,O
4589,566,59,O
4591,566,59,O
4594,305,26,F
4595,103,72,O
4599,378,54,M
4605,542,64,O
4607,494,59,O
4609,225,21,E
4612,168,22,F
4618,562,64,O
4623,288,75,F
4625,491,61,O
4641,270,25,E
4648,545,72,O
4653,381,47,M
4654,492,72,O
4655,507,64,O
4657,545,72,O
4659,541,64,O
4660,206,19,E
4667,548,72,O
4672,544,72,O
4673,544,72,O
4674,542,64,O
4676,570,64,O
4677,435,53,E
4682,315,75,F
4683,130,13,B
4686,534,72,O
4691,544,72,O
4692,554,59,O
4695,341,40,E
4699,262,25,E
4747,490,61,O
4756,544,72,O
4757,550,61,O
4759,552,61,O
4762,515,61,O
4826,103,72,O
4848,499,59,O
4849,419,52,M
4865,430,47,M
5005,549,72,O
5007,552,61,O
5008,551,61,O
5013,509,59,O
5021,561,64,O
5025,248,21,E
5037,98,3,A
5043,492,72,O
5044,263,53,E
5045,67,6,B
5047,558,22,F
5049,380,54,M
5059,566,59,O
5064,201,19,E
5072,465,57,M
5077,577,17,F
5078,473,60,M
5081,543,64,O
5087,37,4,F
5088,235,20,E
5091,67,6,B
5093,507,64,O
5097,204,19,E
5099,388,54,M
5100,544,72,O
5102,543,64,O
5104,223,21,E
5106,96,72,O
5107,566,59,O
5108,526,64,O
5109,557,61,O
5110,557,61,O
5113,2,14,A
5115,418,52,M
5116,60,6,B
5122,492,72,O
5130,170,22,F
5133,457,56,M
5135,498,59,O
5140,459,58,M
5143,554,59,O
5145,86,7,B
5148,566,59,O
5149,485,59,O
5151,120,12,A
5152,446,57,M
5159,204,19,E
5160,202,19,E
5165,80,6,B
5168,405,57,M
5172,97,14,A
5182,566,59,O
5184,219,21,E
5185,217,21,E
5189,369,46,B
5193,461,58,M
5196,144,11,A
5199,269,25,E
5202,171,17,F
5204,542,64,O
5205,557,61,O
5206,557,61,O
5207,485,59,O
5215,581,57,M
5221,548,72,O
5224,528,64,O
5229,166,22,F
5232,388,54,M
5233,403,54,M
5236,254,41,E
5242,191,76,F
5245,77,7,B
5246,65,6,B
5248,544,72,O
5256,544,72,O
5257,510,61,O
5259,397,61,O
5265,559,72,O
5273,472,60,M
5279,496,59,O
5280,201,19,E
5285,215,20,E
5287,68,13,B
5291,496,59,O
5296,316,20,E
5298,305,26,F
5305,458,58,M
5306,397,61,O
5308,485,59,O
5309,213,19,E
5312,479,5,B
5320,298,26,F
5323,533,64,O
5325,109,9,A
5330,369,46,B
5331,368,46,B
5332,510,61,O
5336,507,64,O
5338,459,58,M
5342,365,58,M
5345,508,75,F
5346,296,26,F
5348,8,14,A
5349,510,61,O
5353,562,64,O
5355,222,21,E
5358,234,22,F
5360,228,76,F
5364,507,64,O
5367,516,59,O
5369,368,46,B
5371,497,59,O
5372,485,59,O
5373,438,53,E
5376,204,19,E
5378,496,59,O
5379,235,20,E
5383,516,59,O
5384,165,22,F
5385,207,19,E
5386,200,19,E
5388,61,6,B
5390,26,2,A
5393,509,59,O
5398,263,53,E
5408,494,59,O
5409,223,21,E
5411,202,19,E
5417,243,41,E
5418,242,41,E
5421,485,59,O
5422,97,14,A
5427,485,59,O
5430,384,46,B
5432,436,53,E
5434,511,56,M
5435,451,56,M
5440,477,60,M
5444,436,53,E
