,,,,,,Action Alley ,,
79,334,42,WM Supercenter,,3,1,1,1
80,359,40,WM Supercenter,,3,1,1,1
81,347,44,WM Supercenter,,0,,,
82,335,40,WM Supercenter,,0,,,
83,327,42,WM Supercenter,,3,1,1,1
85,324,42,WM Supercenter,,3,1,1,1
86,357,40,WM Supercenter,,3,1,1,1
87,127,42,WM Supercenter,,3,1,1,1
88,357,40,WM Supercenter,,3,1,1,1
89,336,40,WM Supercenter,,3,1,1,1
90,347,44,WM Supercenter,,3,1,1,1
91,329,11,WM Supercenter,,3,1,1,1
92,334,42,WM Supercenter,,3,1,1,1
93,146,11,WM Supercenter,,3,1,1,1
94,145,11,WM Supercenter,,3,1,1,1
95,335,40,WM Supercenter,,3,1,1,1
96,361,40,WM Supercenter,,3,1,1,1
97,146,11,WM Supercenter,,0,,,
98,135,42,WM Supercenter,,3,1,1,1
99,340,40,WM Supercenter,,2,,1,1
100,323,42,WM Supercenter,,3,1,1,1
101,336,40,WM Supercenter,,1,,,1
102,327,42,WM Supercenter,,0,,,
103,351,44,WM Supercenter,,3,1,1,1
104,146,11,WM Supercenter,,3,1,1,1
105,4,11,WM Supercenter,,3,1,1,1
106,146,11,WM Supercenter,,0,,,
107,146,11,WM Supercenter,,3,1,1,1
108,344,44,WM Supercenter,,3,1,1,1
109,360,40,WM Supercenter,,2,,1,1
110,89,3,WM Supercenter,,3,1,1,1
111,410,44,WM Supercenter,,0,,,
112,138,11,WM Supercenter,,1,,,1
113,349,44,WM Supercenter,,3,1,1,1
114,4,11,WM Supercenter,,3,1,1,1
115,138,11,WM Supercenter,,0,,,
116,127,42,Wal-Mart,,0,,,
117,47,44,Wal-Mart,,0,,,
118,4,11,WM Supercenter,,3,1,1,1
119,328,42,WM Supercenter,,3,1,1,1
120,146,11,WM Supercenter,,3,1,1,1
121,351,44,WM Supercenter,,1,,,1
122,335,40,WM Supercenter,,3,1,1,1
123,351,44,WM Supercenter,,2,,1,1
124,324,42,WM Supercenter,,3,1,1,1
125,321,42,WM Supercenter,,3,1,1,1
126,324,42,WM Supercenter,,2,,1,1
127,325,42,WM Supercenter,,1,,,1
128,329,11,WM Supercenter,,3,1,1,1
129,350,44,WM Supercenter,,3,1,1,1
130,347,44,WM Supercenter,,3,1,1,1
131,47,44,WM Supercenter,,3,1,1,1
132,344,44,WM Supercenter,,0,,,
133,325,42,WM Supercenter,,0,,,
134,344,44,WM Supercenter,,2,,1,1
135,360,40,WM Supercenter,,3,1,1,1
136,345,44,Wal-Mart,,0,,,
137,352,44,WM Supercenter,,3,1,1,1
138,357,40,WM Supercenter,,3,1,1,1
139,353,44,WM Supercenter,,3,1,1,1
140,503,13,WM Supercenter,,3,1,1,1
141,321,42,WM Supercenter,,3,1,1,1
143,253,41,WM Supercenter,,3,1,1,1
144,322,42,WM Supercenter,,3,1,1,1
145,339,40,WM Supercenter,,0,,,
146,46,13,WM Supercenter,,0,,,
147,350,44,WM Supercenter,,3,1,1,1
148,47,44,WM Supercenter,,3,1,1,1
149,135,42,WM Supercenter,,0,,,
150,344,44,WM Supercenter,,3,1,1,1
151,350,44,WM Supercenter,,3,1,1,1
152,335,40,WM Supercenter,,3,1,1,1
153,4,11,WM Supercenter,,3,1,1,1
154,311,20,WM Supercenter,,3,1,1,1
155,136,11,WM Supercenter,,3,1,1,1
157,328,42,WM Supercenter,,3,1,1,1
158,350,44,WM Supercenter,,3,1,1,1
159,359,40,WM Supercenter,,3,1,1,1
160,328,42,WM Supercenter,,0,,,
161,147,11,WM Supercenter,,2,,1,1
162,349,44,WM Supercenter,,0,,,
163,503,13,WM Supercenter,,3,1,1,1
164,4,11,WM Supercenter,,3,1,1,1
165,46,13,WM Supercenter,,2,,1,1
166,357,40,WM Supercenter,,0,,,
167,327,42,WM Supercenter,,3,1,1,1
168,345,44,WM Supercenter,,3,1,1,1
169,326,42,WM Supercenter,,0,,,
170,134,13,WM Supercenter,,3,1,1,1
171,327,42,WM Supercenter,,3,1,1,1
172,340,40,WM Supercenter,,3,1,1,1
173,357,40,WM Supercenter,,3,1,1,1
174,92,9,WM Supercenter,,3,1,1,1
175,144,11,WM Supercenter,,3,1,1,1
176,4,11,Wal-Mart,,0,,,
177,146,11,WM Supercenter,,3,1,1,1
178,344,44,WM Supercenter,,0,,,
179,357,40,WM Supercenter,,3,1,1,1
180,46,13,WM Supercenter,,3,1,1,1
181,47,44,WM Supercenter,,3,1,1,1
182,136,11,WM Supercenter,,3,1,1,1
183,138,11,WM Supercenter,,0,,,
184,361,40,WM Supercenter,,3,1,1,1
185,350,44,WM Supercenter,,3,1,1,1
186,409,44,WM Supercenter,,1,,,1
188,335,40,WM Supercenter,,3,1,1,1
189,359,40,WM Supercenter,,3,1,1,1
190,329,11,WM Supercenter,,3,1,1,1
192,153,12,WM Supercenter,,3,1,1,1
194,60,6,WM Supercenter,,3,1,1,1
195,360,40,WM Supercenter,,3,1,1,1
196,271,41,WM Supercenter,,3,1,1,1
197,278,25,WM Supercenter,,3,1,1,1
198,272,25,WM Supercenter,,3,1,1,1
199,278,25,WM Supercenter,,3,1,1,1
200,275,25,WM Supercenter,,3,1,1,1
201,341,40,WM Supercenter,,3,1,1,1
202,51,5,WM Supercenter,,0,,,
203,359,40,WM Supercenter,,0,,,
204,253,41,WM Supercenter,,1,,,1
205,138,11,WM Supercenter,,3,1,1,1
206,52,5,WM Supercenter,,3,1,1,1
207,345,44,WM Supercenter,,0,,,
209,321,42,Wal-Mart,,0,,,
210,351,44,Wal-Mart,,0,,,
211,76,5,WM Supercenter,,3,1,1,1
212,353,44,WM Supercenter,,3,1,1,1
213,272,25,WM Supercenter,,3,1,1,1
214,503,13,WM Supercenter,,3,1,1,1
216,271,41,WM Supercenter,,3,1,1,1
217,53,5,WM Supercenter,,3,1,1,1
218,147,11,WM Supercenter,,0,,,
219,336,40,WM Supercenter,,3,1,1,1
220,48,5,WM Supercenter,,3,1,1,1
221,344,44,WM Supercenter,,3,1,1,1
222,271,41,WM Supercenter,,3,1,1,1
224,272,25,WM Supercenter,,3,1,1,1
225,350,44,WM Supercenter,,0,,,
226,47,44,WM Supercenter,,3,1,1,1
227,344,44,WM Supercenter,,1,,,1
228,48,5,WM Supercenter,,3,1,1,1
229,329,11,WM Supercenter,,0,,,
230,321,42,Wal-Mart,,0,,,
231,351,44,WM Supercenter,,3,1,1,1
232,350,44,Wal-Mart,,0,,,
233,271,41,WM Supercenter,,3,1,1,1
234,360,40,WM Supercenter,,3,1,1,1
236,503,13,WM Supercenter,,0,,,
237,271,41,WM Supercenter,,3,1,1,1
238,147,11,WM Supercenter,,3,1,1,1
239,138,11,WM Supercenter,,1,,,1
240,47,44,WM Supercenter,,0,,,
242,410,44,WM Supercenter,,3,1,1,1
243,339,40,WM Supercenter,,3,1,1,1
244,135,42,WM Supercenter,,0,,,
246,345,44,WM Supercenter,,3,1,1,1
247,351,44,Wal-Mart,,0,,,
248,76,5,WM Supercenter,,3,1,1,1
249,503,13,WM Supercenter,,3,1,1,1
250,357,40,WM Supercenter,,3,1,1,1
251,45,5,WM Supercenter,,3,1,1,1
252,271,41,WM Supercenter,,0,,,
253,341,40,WM Supercenter,,3,1,1,1
254,273,25,WM Supercenter,,1,,,1
256,341,40,WM Supercenter,,3,1,1,1
257,254,41,WM Supercenter,,0,,,
258,4,11,WM Supercenter,,3,1,1,1
259,583,5,WM Supercenter,,3,1,1,1
260,55,5,WM Supercenter,,3,1,1,1
261,325,42,WM Supercenter,,3,1,1,1
262,271,41,WM Supercenter,,3,1,1,1
263,52,5,WM Supercenter,,0,,,
264,149,12,WM Supercenter,,3,1,1,1
265,45,5,WM Supercenter,,3,1,1,1
266,50,5,WM Supercenter,,3,1,1,1
267,334,42,WM Supercenter,,3,1,1,1
268,147,11,WM Supercenter,,3,1,1,1
269,349,44,WM Supercenter,,3,1,1,1
271,349,44,WM Supercenter,,3,1,1,1
272,153,12,WM Supercenter,,3,1,1,1
273,4,11,WM Supercenter,,1,,1,
274,4,11,Wal-Mart,,0,,,
275,503,13,WM Supercenter,,3,1,1,1
276,351,44,WM Supercenter,,0,,,
277,353,44,WM Supercenter,,1,,,1
278,127,42,WM Supercenter,,3,1,1,1
279,321,42,WM Supercenter,,0,,,
280,83,7,WM Supercenter,,0,,,
281,328,42,WM Supercenter,,3,1,1,1
282,253,41,WM Supercenter,,3,1,1,1
283,66,13,Wal-Mart,,0,,,
284,49,5,WM Supercenter,,1,,,1
285,503,13,WM Supercenter,,3,1,1,1
286,55,5,WM Supercenter,,2,,1,1
287,11,11,WM Supercenter,,3,1,1,1
288,503,13,WM Supercenter,,0,,,
289,327,42,Wal-Mart,,0,,,
290,77,7,WM Supercenter,,3,1,1,1
292,87,7,WM Supercenter,,0,,,
293,85,6,Wal-Mart,,0,,,
294,253,41,WM Supercenter,,3,1,1,1
295,340,40,WM Supercenter,,3,1,1,1
296,325,42,WM Supercenter,,0,,,
297,59,6,WM Supercenter,,3,1,1,1
298,3,14,WM Supercenter,,3,1,1,1
299,254,41,WM Supercenter,,3,1,1,1
300,3,14,WM Supercenter,,3,1,1,1
301,3,14,WM Supercenter,,3,1,1,1
302,271,41,WM Supercenter,,3,1,1,1
303,4,11,WM Supercenter,,0,,,
304,149,12,WM Supercenter,,3,1,1,1
305,138,11,WM Supercenter,,0,,,
306,5,12,WM Supercenter,,3,1,1,1
307,135,42,WM Supercenter,,3,1,1,1
308,151,12,WM Supercenter,,3,1,1,1
309,132,13,WM Supercenter,,3,1,1,1
310,132,13,WM Supercenter,,3,1,1,1
311,129,13,Wal-Mart,,0,,,
312,134,13,WM Supercenter,,3,1,1,1
313,340,40,WM Supercenter,,3,1,1,1
314,5,12,WM Supercenter,,3,1,1,1
315,3,14,WM Supercenter,,3,1,1,1
316,3,14,WM Supercenter,,3,1,1,1
317,272,25,WM Supercenter,,3,1,1,1
318,325,42,WM Supercenter,,1,,,1
319,361,40,WM Supercenter,,3,1,1,1
320,76,5,Wal-Mart,,0,,,
321,85,6,WM Supercenter,,3,1,1,1
322,85,6,WM Supercenter,,3,1,1,1
323,127,42,WM Supercenter,,0,,,
324,356,44,WM Supercenter,,0,,,
325,360,40,WM Supercenter,,3,1,1,1
326,361,40,Wal-Mart,,0,,,
328,341,40,WM Supercenter,,3,1,1,1
329,10,14,WM Supercenter,,3,1,1,1
330,84,6,WM Supercenter,,0,,,
331,66,13,WM Supercenter,,3,1,1,1
332,5,12,WM Supercenter,,3,1,1,1
333,254,41,WM Supercenter,,3,1,1,1
334,275,25,WM Supercenter,,0,,,
335,146,11,WM Supercenter,,3,1,1,1
336,325,42,WM Supercenter,,0,,,
337,335,40,WM Supercenter,,0,,,
338,334,42,WM Supercenter,,0,,,
339,327,42,Wal-Mart,,0,,,
340,351,44,WM Supercenter,,3,1,1,1
341,407,47,WM Supercenter,,0,,,
342,411,47,WM Supercenter,,0,,,
343,275,25,WM Supercenter,,1,,,1
344,65,6,WM Supercenter,,3,1,1,1
345,46,13,WM Supercenter,,3,1,1,1
346,409,44,WM Supercenter,,0,,,
347,136,11,WM Supercenter,,0,,,
348,327,42,WM Supercenter,,3,1,1,1
349,533,64,Neighborhood Market,,0,,,
350,433,47,WM Supercenter,,3,1,1,1
351,68,13,WM Supercenter,,2,1,,1
352,271,41,Wal-Mart,,0,,,
353,48,5,WM Supercenter,,3,1,1,1
354,336,40,WM Supercenter,,0,,,
355,10,14,WM Supercenter,,3,1,1,1
356,10,14,WM Supercenter,,3,1,1,1
357,336,40,WM Supercenter,,0,,,
358,321,42,WM Supercenter,,3,1,1,1
359,322,42,WM Supercenter,,3,1,1,1
360,352,44,WM Supercenter,,3,1,1,1
361,341,40,WM Supercenter,,3,1,1,1
362,11,11,WM Supercenter,,0,,,
363,359,40,WM Supercenter,,2,,1,1
364,503,13,WM Supercenter,,3,1,1,1
365,140,11,WM Supercenter,,3,1,1,1
366,121,12,WM Supercenter,,3,1,1,1
368,410,44,WM Supercenter,,3,1,1,1
369,406,47,WM Supercenter,,3,1,1,1
370,406,47,WM Supercenter,,3,1,1,1
371,48,5,WM Supercenter,,3,1,1,1
372,406,47,WM Supercenter,,3,1,1,1
373,322,42,WM Supercenter,,0,,,
374,347,44,WM Supercenter,,3,1,1,1
375,5,12,WM Supercenter,,3,1,1,1
376,127,42,WM Supercenter,,3,1,1,1
377,516,59,Neighborhood Market,,0,,,
378,411,47,WM Supercenter,,0,,,
379,333,40,WM Supercenter,,3,1,1,1
381,81,7,WM Supercenter,,3,1,1,1
382,410,44,WM Supercenter,,3,1,1,1
383,66,13,WM Supercenter,,3,1,1,1
384,66,13,WM Supercenter,,3,1,1,1
385,84,6,Wal-Mart,,0,,,
386,132,13,WM Supercenter,,3,1,1,1
387,352,44,WM Supercenter,,0,,,
388,321,42,WM Supercenter,,3,1,1,1
389,352,44,WM Supercenter,,3,1,1,1
390,149,12,WM Supercenter,,0,,,
391,4,11,WM Supercenter,,3,1,1,1
392,344,44,WM Supercenter,,3,1,1,1
393,147,11,WM Supercenter,,3,1,1,1
394,137,11,WM Supercenter,,3,1,1,1
395,80,6,WM Supercenter,,3,1,1,1
396,39,4,WM Supercenter,,3,1,1,1
397,80,6,WM Supercenter,,3,1,1,1
398,46,13,WM Supercenter,,3,1,1,1
399,46,13,WM Supercenter,,3,1,1,1
400,68,13,WM Supercenter,,3,1,1,1
401,131,13,WM Supercenter,,0,,,
402,132,13,WM Supercenter,,3,1,1,1
403,137,11,WM Supercenter,,3,1,1,1
404,87,7,WM Supercenter,,3,1,1,1
405,134,13,WM Supercenter,,3,1,1,1
406,151,12,WM Supercenter,,3,1,1,1
407,81,7,WM Supercenter,,3,1,1,1
408,66,13,WM Supercenter,,2,,1,1
409,137,11,WM Supercenter,,0,,,
410,146,11,WM Supercenter,,3,1,1,1
411,138,11,Wal-Mart,,0,,,
412,45,5,WM Supercenter,,3,1,1,1
413,569,6,WM Supercenter,,1,,1,
414,349,44,WM Supercenter,,3,1,1,1
415,132,13,WM Supercenter,,3,1,1,1
416,151,12,WM Supercenter,,3,1,1,1
417,47,44,WM Supercenter,,3,1,1,1
418,407,47,WM Supercenter,,0,,,
419,406,47,WM Supercenter,,0,,,
420,349,44,WM Supercenter,,3,1,1,1
421,479,5,WM Supercenter,,3,1,1,1
422,273,25,WM Supercenter,,3,1,1,1
423,13,14,WM Supercenter,,3,1,1,1
424,8,14,WM Supercenter,,3,1,1,1
425,11,11,WM Supercenter,,0,,,
426,53,5,WM Supercenter,,2,,1,1
427,47,44,WM Supercenter,,3,1,1,1
428,130,13,WM Supercenter,,3,1,1,1
429,80,6,WM Supercenter,,3,1,1,1
430,253,41,WM Supercenter,,3,1,1,1
431,253,41,WM Supercenter,,3,1,1,1
432,10,14,WM Supercenter,,3,1,1,1
433,5,12,WM Supercenter,,3,1,1,1
434,5,12,WM Supercenter,,3,1,1,1
435,272,25,WM Supercenter,,3,1,1,1
436,272,25,WM Supercenter,,0,,,
437,84,6,WM Supercenter,,3,1,1,1
438,74,7,WM Supercenter,,0,,,
440,78,6,WM Supercenter,,3,1,1,1
442,78,6,WM Supercenter,,3,1,1,1
443,88,7,WM Supercenter,,3,1,1,1
444,333,40,WM Supercenter,,3,1,1,1
445,256,41,WM Supercenter,,3,1,1,1
446,85,6,Wal-Mart,,0,,,
447,88,7,WM Supercenter,,2,1,1,
448,127,42,WM Supercenter,,3,1,1,1
449,66,13,WM Supercenter,,0,,,
450,127,42,WM Supercenter,,3,1,1,1
451,359,40,WM Supercenter,,3,1,1,1
452,80,6,WM Supercenter,,1,,1,
453,329,11,Wal-Mart,,0,,,
454,272,25,WM Supercenter,,0,,,
456,569,6,WM Supercenter,,3,1,1,1
457,66,13,WM Supercenter,,3,1,1,1
458,78,6,WM Supercenter,,3,1,1,1
459,25,2,WM Supercenter,,3,1,1,1
461,88,7,WM Supercenter,,3,1,1,1
462,61,6,WM Supercenter,,3,1,1,1
463,84,6,WM Supercenter,,3,1,1,1
464,78,6,WM Supercenter,,3,1,1,1
465,77,7,WM Supercenter,,3,1,1,1
466,147,11,WM Supercenter,,0,,,
467,52,5,WM Supercenter,,3,1,1,1
468,47,44,WM Supercenter,,3,1,1,1
469,66,13,WM Supercenter,,3,1,1,1
470,78,6,WM Supercenter,,3,1,1,1
471,49,5,WM Supercenter,,3,1,1,1
472,356,44,WM Supercenter,,3,1,1,1
473,85,6,Wal-Mart,,0,,,
475,83,7,WM Supercenter,,3,1,1,1
476,81,7,WM Supercenter,,3,1,1,1
477,119,12,WM Supercenter,,3,1,1,1
478,77,7,Wal-Mart,,0,,,
479,349,44,WM Supercenter,,3,1,1,1
480,275,25,Wal-Mart,,0,,,
481,273,25,WM Supercenter,,3,1,1,1
482,61,6,Wal-Mart,,0,,,
483,8,14,WM Supercenter,,3,1,1,1
484,411,47,WM Supercenter,,3,1,1,1
485,129,13,WM Supercenter,,0,,,
486,362,40,WM Supercenter,,3,1,1,1
488,97,14,WM Supercenter,,0,,,
489,128,13,WM Supercenter,,3,1,1,1
490,78,6,WM Supercenter,,3,1,1,1
491,253,41,WM Supercenter,,3,1,1,1
492,580,41,WM Supercenter,,3,1,1,1
493,259,21,WM Supercenter,,3,1,1,1
494,16,14,WM Supercenter,,3,1,1,1
495,138,11,WM Supercenter,,3,1,1,1
497,242,41,WM Supercenter,,3,1,1,1
498,134,13,WM Supercenter,,3,1,1,1
499,344,44,WM Supercenter,,3,1,1,1
500,505,7,WM Supercenter,,3,1,1,1
501,141,13,WM Supercenter,,3,1,1,1
502,129,13,WM Supercenter,,3,1,1,1
503,84,6,Wal-Mart,,0,,,
504,61,6,WM Supercenter,,3,1,1,1
505,134,13,WM Supercenter,,3,1,1,1
506,272,25,WM Supercenter,,0,,,
507,260,41,WM Supercenter,,3,1,1,1
508,506,7,WM Supercenter,,3,1,1,1
510,21,2,WM Supercenter,,3,1,1,1
511,38,4,WM Supercenter,,1,,,1
512,505,7,WM Supercenter,,3,1,1,1
513,73,7,WM Supercenter,,3,1,1,1
514,39,4,WM Supercenter,,3,1,1,1
515,18,2,WM Supercenter,,3,1,1,1
516,45,5,WM Supercenter,,3,1,1,1
517,353,44,WM Supercenter,,3,1,1,1
518,24,2,WM Supercenter,,3,1,1,1
519,260,41,WM Supercenter,,3,1,1,1
520,21,2,WM Supercenter,,3,1,1,1
521,66,13,WM Supercenter,,3,1,1,1
522,60,6,WM Supercenter,,3,1,1,1
523,46,13,WM Supercenter,,2,,1,1
524,84,6,WM Supercenter,,0,,,
525,549,72,Neighborhood Market,,0,,,
526,242,41,WM Supercenter,,3,1,1,1
527,61,6,WM Supercenter,,2,,1,1
528,115,9,WM Supercenter,,3,1,1,1
529,61,6,WM Supercenter,,3,1,1,1
530,327,42,WM Supercenter,,3,1,1,1
531,132,13,WM Supercenter,,3,1,1,1
532,130,13,WM Supercenter,,3,1,1,1
533,132,13,WM Supercenter,,3,1,1,1
535,74,7,WM Supercenter,,3,1,1,1
536,74,7,WM Supercenter,,3,1,1,1
537,73,7,WM Supercenter,,3,1,1,1
538,93,3,WM Supercenter,,3,1,1,1
539,134,13,WM Supercenter,,3,1,1,1
540,129,13,WM Supercenter,,1,,,1
541,128,13,WM Supercenter,,3,1,1,1
542,129,13,WM Supercenter,,1,,,1
543,132,13,WM Supercenter,,1,,,1
544,353,44,WM Supercenter,,3,1,1,1
545,258,20,Wal-Mart,,0,,,
546,62,6,WM Supercenter,,3,1,1,1
547,114,3,WM Supercenter,,3,1,1,1
548,25,2,WM Supercenter,,3,1,1,1
549,71,7,WM Supercenter,,3,1,1,1
550,273,25,WM Supercenter,,0,,,
551,93,3,WM Supercenter,,3,1,1,1
552,258,20,Wal-Mart,,0,,,
553,125,13,WM Supercenter,,3,1,1,1
554,88,7,Wal-Mart,,0,,,
555,32,2,WM Supercenter,,2,1,,1
556,28,3,WM Supercenter,,3,1,1,1
557,407,47,WM Supercenter,,3,1,1,1
558,407,47,WM Supercenter,,2,,1,1
559,418,52,WM Supercenter,,1,,,1
560,360,40,WM Supercenter,,3,1,1,1
561,76,5,WM Supercenter,,3,1,1,1
562,2,14,WM Supercenter,,3,1,1,1
563,94,3,WM Supercenter,,3,1,1,1
564,344,44,WM Supercenter,,1,,,1
565,55,5,WM Supercenter,,2,,1,1
566,580,41,WM Supercenter,,3,1,1,1
567,85,6,Wal-Mart,,0,,,
568,152,12,WM Supercenter,,0,,,
569,257,41,WM Supercenter,,3,1,1,1
571,260,41,WM Supercenter,,3,1,1,1
572,46,13,WM Supercenter,,3,1,1,1
573,361,40,WM Supercenter,,3,1,1,1
574,37,4,WM Supercenter,,3,1,1,1
575,26,2,WM Supercenter,,3,1,1,1
576,345,44,WM Supercenter,,1,,,1
577,362,40,WM Supercenter,,3,1,1,1
578,123,12,WM Supercenter,,0,,,
579,94,3,WM Supercenter,,3,1,1,1
580,116,9,WM Supercenter,,3,1,1,1
581,414,52,WM Supercenter,,3,1,1,1
582,94,3,WM Supercenter,,3,1,1,1
583,121,12,WM Supercenter,,3,1,1,1
584,260,41,WM Supercenter,,3,1,1,1
585,42,4,WM Supercenter,,3,1,1,1
586,37,4,WM Supercenter,,3,1,1,1
587,121,12,WM Supercenter,,3,1,1,1
588,27,3,WM Supercenter,,3,1,1,1
589,256,41,WM Supercenter,,3,1,1,1
590,48,5,WM Supercenter,,3,1,1,1
591,259,21,WM Supercenter,,3,1,1,1
592,406,47,WM Supercenter,,3,1,1,1
593,28,3,WM Supercenter,,3,1,1,1
594,19,2,WM Supercenter,,3,1,1,1
595,569,6,WM Supercenter,,3,1,1,1
596,271,41,Wal-Mart,,0,,,
598,429,47,WM Supercenter,,3,1,1,1
599,124,12,WM Supercenter,,3,1,1,1
600,70,7,WM Supercenter,,3,1,1,1
601,74,7,WM Supercenter,,3,1,1,1
602,68,13,WM Supercenter,,3,1,1,1
603,278,25,WM Supercenter,,3,1,1,1
604,7,14,WM Supercenter,,3,1,1,1
605,29,4,WM Supercenter,,3,1,1,1
606,29,4,Wal-Mart,,0,,,
607,349,44,Wal-Mart,,0,,,
608,73,7,WM Supercenter,,3,1,1,1
609,275,25,WM Supercenter,,3,1,1,1
610,76,5,WM Supercenter,,3,1,1,1
611,387,46,WM Supercenter,,3,1,1,1
612,273,25,WM Supercenter,,3,1,1,1
613,94,3,WM Supercenter,,3,1,1,1
614,16,14,WM Supercenter,,3,1,1,1
615,22,2,WM Supercenter,,1,,,1
616,41,4,WM Supercenter,,3,1,1,1
617,580,41,Wal-Mart,,0,,,
618,26,2,WM Supercenter,,3,1,1,1
619,119,12,WM Supercenter,,3,1,1,1
620,124,12,WM Supercenter,,3,1,1,1
621,38,4,WM Supercenter,,1,,,1
622,344,44,WM Supercenter,,3,1,1,1
623,118,9,WM Supercenter,,3,1,1,1
624,39,4,WM Supercenter,,3,1,1,1
625,36,4,WM Supercenter,,3,1,1,1
626,73,7,Wal-Mart,,0,,,
627,38,4,WM Supercenter,,3,1,1,1
628,33,4,WM Supercenter,,3,1,1,1
629,39,4,WM Supercenter,,3,1,1,1
630,38,4,WM Supercenter,,3,1,1,1
631,35,4,WM Supercenter,,3,1,1,1
632,36,4,WM Supercenter,,3,1,1,1
633,279,25,WM Supercenter,,3,1,1,1
634,38,4,WM Supercenter,,3,1,1,1
635,29,4,WM Supercenter,,3,1,1,1
636,279,25,WM Supercenter,,1,,,1
637,429,47,WM Supercenter,,3,1,1,1
638,42,4,WM Supercenter,,3,1,1,1
639,28,3,WM Supercenter,,3,1,1,1
640,35,4,WM Supercenter,,3,1,1,1
641,35,4,WM Supercenter,,1,,,1
642,38,4,WM Supercenter,,0,,,
643,37,4,WM Supercenter,,3,1,1,1
644,39,4,WM Supercenter,,1,,,1
645,433,47,WM Supercenter,,3,1,1,1
646,415,52,WM Supercenter,,0,,,
647,414,52,WM Supercenter,,0,,,
648,339,40,WM Supercenter,,1,,,1
649,92,9,WM Supercenter,,1,,,1
651,66,13,WM Supercenter,,3,1,1,1
652,406,47,WM Supercenter,,3,1,1,1
653,253,41,WM Supercenter,,3,1,1,1
655,253,41,WM Supercenter,,3,1,1,1
656,151,12,WM Supercenter,,3,1,1,1
657,121,12,WM Supercenter,,3,1,1,1
658,120,12,WM Supercenter,,1,,,1
