Store,DSL Gen,DSL Start Date ,Resource Link,Toolkit Link by Gen,RDC,APD Phase 1,APD Phase 2,APD Phase 3,HVDC Start Date,FDD Start Date,CoSTL Install Date,Digital Lock Install Date,Digital Lock Survey Date,Next Gen Cash Recycler Install Date,Initial Change Order Delivery Date,Mobile Calling,
1129,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,TBD,LIVE,Completed,4/17/2025,4/7/2025,6/10/2025,
1186,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7036,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,9/23/2024,TBD,TBD,3/25/2025,3/18/2025,6/10/2025,
1192,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,TBD,TBD,TBD,3/21/2025,3/10/2025,6/10/2025,
1195,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,TBD,TBD,TBD,3/17/2025,3/11/2025,6/10/2025,
1204,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6048,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,TBD,LIVE,Completed,4/14/2025,4/7/2025,TBD,
1220,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,6/18/2024,LIVE,Completed,Completed,Completed,6/24/2025,
1253,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,TBD,LIVE,Completed,4/15/2025,4/7/2025,6/10/2025,
1272,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6012,12/18/2024,6/18/2026,10/18/2027,Completed,Completed,TBD,TBD,TBD,5/15/2025,5/7/2025,TBD,
1281,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6070,1/1/2028,4/1/2029,,Completed,Completed,5/14/2024,1/15/2025,Completed,Completed,Completed,6/12/2025,
1436,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7038,1/1/2028,4/1/2029,,Completed,Completed,6/16/2024,TBD,TBD,Completed,Completed,TBD,
1468,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,TBD,
1748,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6010,Complete,1/6/2025,5/6/2026,Completed,Completed,8/27/2024,LIVE,Completed,Completed,Completed,6/12/2025,
1795,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6039,Complete,4/18/2025,8/18/2026,6/24/2024,6/24/2024,9/10/2024,TBD,TBD,Completed,Completed,TBD,
1851,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7038,1/1/2028,4/1/2029,,9/16/2024,9/16/2024,TBD,1/27/2025,Completed,Completed,Completed,6/24/2025,
1996,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7038,1/1/2028,4/1/2029,,9/16/2024,9/16/2024,TBD,TBD,TBD,Completed,Completed,TBD,
2132,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6048,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,TBD,1/21/2025,Completed,4/3/2025,3/25/2025,TBD,
2176,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7038,1/1/2028,4/1/2029,,Completed,Completed,7/30/2024,TBD,TBD,Completed,Completed,TBD,
2306,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,TBD,1/22/2025,Completed,3/24/2025,3/18/2025,6/24/2025,
2392,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6020,Complete,9/1/2024,In Progress,9/16/2024,9/16/2024,TBD,TBD,TBD,Completed,Completed,TBD,
2406,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7038,1/1/2028,4/1/2029,,9/16/2024,9/16/2024,TBD,TBD,TBD,Completed,Completed,TBD,
2459,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6020,Complete,9/1/2024,In Progress,9/16/2024,9/16/2024,7/30/2024,TBD,TBD,Completed,Completed,6/24/2025,
