Store Number,Vendor,Regular Visits,Plus up Visits,Total WK20 Visits,Regular Visits,Plus up Visits,Total Weekend Visits
1611,American Greetings,2,3,5,0,3,3
1718,American Greetings,3,2,5,1,2,3
1682,American Greetings,2,3,5,0,3,3
1729,American Greetings,3,2,5,1,2,3
1473,American Greetings,3,2,5,1,2,3
1742,American Greetings,3,2,5,1,2,3
1750,American Greetings,3,2,5,1,2,3
1701,American Greetings,2,3,5,0,3,3
1709,American Greetings,2,3,5,0,3,3
1667,American Greetings,2,3,5,0,3,3
1568,American Greetings,3,2,5,1,2,3
1591,American Greetings,2,3,5,0,3,3
1612,American Greetings,3,2,5,1,2,3
1754,American Greetings,2,3,5,0,3,3
1741,American Greetings,3,2,5,1,2,3
1180,American Greetings,3,2,5,1,2,3
1685,American Greetings,2,3,5,0,3,3
1734,American Greetings,2,3,5,0,3,3
1644,American Greetings,3,2,5,1,2,3
1762,American Greetings,3,2,5,1,2,3
1759,American Greetings,3,2,5,1,2,3
1757,American Greetings,3,2,5,1,2,3
1753,American Greetings,3,2,5,1,2,3
1745,American Greetings,3,2,5,1,2,3
1735,American Greetings,2,3,5,0,3,3
1712,American Greetings,2,4,6,0,4,4
1695,American Greetings,2,3,5,0,3,3
1702,American Greetings,3,2,5,1,2,3
1766,American Greetings,2,3,5,0,3,3
1773,American Greetings,2,3,5,0,3,3
1767,American Greetings,3,3,6,1,3,4
1777,American Greetings,2,3,5,0,3,3
1822,American Greetings,3,2,5,1,2,3
1093,American Greetings,2,3,5,0,3,3
1256,American Greetings,2,3,5,0,3,3
1071,American Greetings,3,2,5,1,2,3
1421,American Greetings,3,2,5,1,2,3
1125,American Greetings,3,2,5,1,2,3
1811,American Greetings,2,3,5,0,3,3
1160,American Greetings,3,2,5,1,2,3
1817,American Greetings,3,2,5,1,2,3
1141,American Greetings,3,2,5,1,2,3
1162,American Greetings,3,2,5,1,2,3
1806,American Greetings,3,2,5,1,2,3
1827,American Greetings,3,2,5,1,2,3
1838,American Greetings,2,3,5,0,3,3
1737,American Greetings,2,3,5,0,3,3
1807,American Greetings,3,2,5,1,2,3
1814,American Greetings,2,3,5,0,3,3
1782,American Greetings,3,2,5,1,2,3
1812,American Greetings,4,2,6,1,2,3
1875,American Greetings,3,3,6,1,3,4
1813,American Greetings,2,3,5,0,3,3
1833,American Greetings,3,2,5,1,2,3
1821,American Greetings,2,3,5,0,3,3
1798,American Greetings,2,3,5,0,3,3
1700,American Greetings,3,2,5,1,2,3
1906,American Greetings,2,3,5,0,3,3
1839,American Greetings,2,3,5,0,3,3
1849,American Greetings,2,3,5,0,3,3
1846,American Greetings,2,3,5,0,3,3
1885,American Greetings,4,4,8,2,3,5
1808,American Greetings,3,2,5,1,2,3
1888,American Greetings,3,2,5,1,2,3
1793,American Greetings,3,2,5,1,2,3
1797,American Greetings,3,2,5,1,2,3
1857,American Greetings,2,3,5,0,3,3
1886,American Greetings,3,2,5,1,2,3
1892,American Greetings,3,2,5,1,2,3
1937,American Greetings,2,3,5,0,3,3
1854,American Greetings,3,2,5,1,2,3
1894,American Greetings,3,2,5,1,2,3
1895,American Greetings,2,3,5,0,3,3
1902,American Greetings,4,3,7,1,3,4
1870,American Greetings,2,3,5,0,3,3
1924,American Greetings,2,3,5,0,3,3
1929,American Greetings,3,2,5,1,2,3
1863,American Greetings,2,3,5,0,3,3
1869,American Greetings,3,2,5,1,2,3
1852,American Greetings,3,2,5,1,2,3
1897,American Greetings,2,3,5,0,3,3
1919,American Greetings,2,3,5,0,3,3
1911,American Greetings,2,3,5,0,3,3
1913,American Greetings,2,3,5,0,3,3
1953,American Greetings,2,3,5,0,3,3
1993,American Greetings,3,2,5,1,2,3
1946,American Greetings,2,3,5,0,3,3
1939,American Greetings,2,3,5,0,3,3
1955,American Greetings,2,3,5,0,3,3
1956,American Greetings,3,2,5,1,2,3
1957,American Greetings,2,3,5,0,3,3
1977,American Greetings,3,2,5,1,2,3
2007,American Greetings,3,2,5,1,2,3
1933,American Greetings,2,3,5,0,3,3
1976,American Greetings,3,2,5,1,2,3
1810,American Greetings,3,2,5,1,2,3
1927,American Greetings,3,2,5,1,2,3
1990,American Greetings,2,3,5,0,3,3
1997,American Greetings,3,2,5,1,2,3
2008,American Greetings,3,2,5,1,2,3
1974,American Greetings,2,4,6,0,4,4
1848,American Greetings,3,2,5,1,2,3
1995,American Greetings,3,2,5,1,2,3
