Store,Patio Live Plant Set Wk,Patio Live Plant Layout,Link,Parking Lot Set Wk,Parking Lot Layout,Link,Indoor Live Plant Layout,Link
12,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,B,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout B.pdf
13,4,N/A,,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
14,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
15,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,A,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout A.pdf
16,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
17,4,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
18,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,SMALL PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/SMALL Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
19,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,B,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout B.pdf
20,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,N/A,
21,4,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,A,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout A.pdf
22,4,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,B,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout B.pdf
23,1,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,1,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
24,1,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,1,N/A,,E,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout E.pdf
25,4,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
26,4,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
27,4,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,4,SMALL PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/SMALL Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
28,4,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,B,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout B.pdf
29,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
30,4,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,4,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
31,1,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,1,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,E,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout E.pdf
32,4,N/A,,4,N/A,,N/A,
33,1,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,1,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
34,4,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
35,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,B,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout B.pdf
36,4,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
37,4,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,E,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout E.pdf
38,1,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,1,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
39,4,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,4,SMALL PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/SMALL Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
40,4,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,4,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
41,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,E,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout E.pdf
42,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
43,4,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,E,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout E.pdf
44,4,N/A,,4,N/A,,N/A,
45,4,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,4,N/A,,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
46,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
47,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
48,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
