Region,Store ID,First Assigned Carrier,Fulfillment Type, Status, Trend,Directional Focus,Max_WM_WK_ID,Weeks on DPI,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
3,705,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,23,90.80%,95.20%,14,91.30%,96.20%,86.80%,88.60%
12,578,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,5,90.90%,82.70%,9.3,88.40%,93.90%,91.70%,89.80%
12,2310,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,44,79.60%,67.40%,13.5,77.00%,81.30%,73.90%,85.40%
11,848,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,49,38.70%,55.00%,35.1,51.80%,30.60%,30.50%,44.30%
2,1367,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,49,95.30%,81.40%,20.2,98.90%,99.50%,98.70%,85.40%
2,3205,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,33,83.50%,93.60%,14,80.20%,75.20%,93.50%,83.80%
2,1227,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,49,91.60%,86.70%,10.1,86.20%,93.10%,94.30%,93.40%
42,124,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,9,84.80%,86.90%,14.5,82.80%,85.80%,77.50%,94.10%
42,3331,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,46,89.60%,85.60%,9.6,90.70%,86.00%,87.60%,95.30%
42,278,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,20,74.30%,65.10%,17,64.60%,72.30%,75.90%,84.80%
72,2392,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202425,3,91.40%,81.60%,11.6,95.10%,96.80%,86.90%,86.60%
60,2485,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,2,79.60%,78.00%,9.9,77.90%,69.80%,83.50%,88.50%
60,2006,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,1,83.00%,83.60%,10.7,84.90%,84.90%,85.70%,75.80%
