Market Nbr,Facility,OKM Tracking ,OKM Delivery Date,OKM Install Date,Digital Lock Tracking,Carrier,Digital Lock Install Week,Digital Lock Installation Date,Total lock count,Length of install
385,829,,,,,,Live,11/12/24,,
385,835,,,,,,Live,1/12/23,,
130,839,,,,,,Live,1/15/25,,
389,842,,,,,,Live,10/11/24,,
59,849,,,,,,Live,9/16/24,,
385,850,,,,,,Live,1/10/23,,
20,855,,,,,,Live,8/8/24,,
309,877,,,,,,Live,9/26/24,,
50,880,,,,,,Live,10/9/23,,
426,886,,,,,,Live,12/9/24,,
414,892,,,,,,Live,1/9/25,,
356,894,,,,,,Live,9/2/22,,
49,896,,,,,,Live,10/16/24,,
379,905,,,,,,Live,10/15/24,,
90,908,,,,,,Live,10/14/24,,
125,912,,,,,,Live,9/24/24,,
62,915,,,,,,Live,9/10/24,,
8,930,,,,,,Live,1/23/25,,
130,935,,,,,,Live,1/27/25,,
26,937,,,,,,Live,11/5/24,,
479,940,,,,,,Live,10/25/24,,
304,948,,,,,,Live,10/18/24,,
479,972,,,,,,Live,10/30/24,,
1,991,,,,,,Live,1/16/25,,
407,993,,,,,,Live,12/11/24,,
309,1010,,,,,,Live,9/27/24,,
29,1011,,,,,,Live,12/16/24,,
361,1014,,,,,,Live,10/25/24,,
306,1027,,,,,,Live,9/30/24,,
42,1030,,,,,,Live,10/24/24,,
305,1034,,,,,,Live,10/3/24,,
42,1035,,,,,,Live,11/12/24,,
294,1036,,,,,,Live,1/23/25,,
33,1037,,,,,,Live,10/7/24,,
65,1040,,,,,,Live,9/18/24,,
85,1042,,,,,,Live,9/9/24,,
20,1047,,,,,,Live,8/9/24,,
411,1054,,,,,,Live,11/6/24,,
583,1055,,,,,,Live,3/29/22,,
304,1060,,,,,,Live,10/14/24,,
304,1064,,,,,,Live,10/21/24,,
149,1075,,,,,,Live,1/13/25,,
98,1082,,,,,,Live,10/24/24,,
101,1083,,,,,,Live,11/5/24,,
143,1088,,,,,,Live,1/15/25,,
101,1090,,,,,,Live,10/30/24,,
361,1094,,,,,,Live,10/28/24,,
304,1096,,,,,,Live,11/7/24,,
409,1099,,,,,,Live,9/7/22,,
130,1102,,,,,,Live,1/17/25,,
59,1103,,,,,,Live,8/31/22,,
326,1105,,,,,,Live,8/29/24,,
55,1118,,,,,,Live,10/12/23,,
134,1128,,,,,,Live,1/13/25,,
82,1129,,,,,,Live,9/9/24,,
38,1135,,,,,,Live,10/23/24,,
131,1136,,,,,,Live,1/28/25,,
60,1137,,,,,,Live,12/12/24,,
42,1144,,,,,,Live,12/6/24,,
32,1153,,,,,,Live,1/6/25,,
306,1156,,,,,,Live,1/8/25,,
339,1161,,,,,,Live,10/24/24,,
125,1163,,,,,,Live,9/26/24,,
41,1164,,,,,,Live,10/28/24,,
435,1167,,,,,,Live,10/7/24,,
98,1172,,,,,,Live,10/25/24,,
364,1175,,,,,,Live,10/7/24,,
294,1179,,,,,,Live,12/12/24,,
26,1181,,,,,,Live,7/30/24,,
41,1183,,,,,,Live,11/13/24,,
83,1185,,,,,,Live,12/4/24,,
339,1188,,,,,,Live,10/3/24,,
135,1193,,,,,,Live,1/7/25,,
391,1200,,,,,,Live,9/9/22,,
66,1204,,,,,,Live,10/18/24,,
130,1206,,,,,,Live,1/20/25,,
305,1209,,,,,,Live,10/3/24,,
53,1216,,,,,,Live,11/5/24,,
101,1219,,,,,,Live,11/6/24,,
90,1220,,,,,,Live,10/17/24,,
409,1221,,,,,,Live,12/12/24,,
379,1231,,,,,,Live,9/5/24,,
302,1236,,,,,,Live,10/28/24,,
310,1238,,,,,,Live,11/12/24,,
418,1241,,,,,,Live,1/15/25,,
294,1242,,,,,,Live,12/4/24,,
35,1244,,,,,,Live,11/11/24,,
380,1252,,,,,,Live,9/6/24,,
82,1253,,,,,,Live,9/10/24,,
310,1261,,,,,,Live,11/5/24,,
254,1263,,,,,,Live,12/14/24,,
339,1265,,,,,,Live,10/4/24,,
130,1266,,,,,,Live,1/25/25,,
441,1267,,,,,,Live,10/15/24,,
42,1281,,,,,,Live,1/15/25,,
41,1286,,,,,,Live,11/5/24,,
367,1291,,,,,,Live,11/6/24,,
312,1292,,,,,,Live,1/9/25,,
30,1293,,,,,,Live,1/8/25,,
247,1294,,,,,,Live,11/4/24,,
302,1298,,,,,,Live,10/31/24,,
380,1308,,,,,,Live,9/5/24,,
312,1309,,,,,,Live,1/10/25,,
77,1313,,,,,,Live,9/17/24,,
299,1321,,,,,,Live,10/25/24,,
308,1322,,,,,,Live,10/18/24,,
246,1329,,,,,,Live,1/13/25,,
222,1330,,,,,,Live,12/13/24,,
426,1332,,,,,,Live,1/13/25,,
304,1337,,,,,,Live,11/5/24,,
41,1339,,,,,,Live,10/29/24,,
25,1340,,,,,,Live,8/2/24,,
315,1344,,,,,,Live,1/16/25,,
315,1350,,,,,,Live,1/15/25,,
33,1358,,,,,,Live,12/13/24,,
23,1373,,,,,,Live,8/9/24,,
97,1375,,,,,,Live,11/7/24,,
247,1378,,,,,,Live,11/7/24,,
372,1381,,,,,,Live,9/27/24,,
33,1383,,,,,,Live,12/12/24,,
305,1385,,,,,,Live,10/11/24,,
94,1391,,,,,,Live,10/22/24,,
435,1394,,,,,,Live,10/10/24,,
384,1397,,,,,,Live,9/13/24,,
65,1409,,,,,,Live,9/6/24,,
341,1418,,,,,,Live,10/22/24,,
406,1437,,,,,,Live,9/6/22,,
405,1439,,,,,,Live,10/25/24,,
221,1441,,,,,,Live,10/29/24,,
221,1443,,,,,,Live,10/7/24,,
44,1455,,,,,,Live,10/21/24,,
249,1459,,,,,,Live,9/17/24,,
305,1464,,,,,,Live,9/22/22,,
423,1472,,,,,,Live,10/14/24,,
421,1473,,,,,,Live,1/7/25,,
259,1478,,,,,,Live,9/19/22,,
413,1491,,,,,,Live,1/7/25,,
376,1492,,,,,,Live,8/29/24,,
415,1496,,,,,,Live,1/22/25,,
409,1507,,,,,,Live,12/17/24,,
371,1512,,,,,,Live,9/30/24,,
442,1515,,,,,,Live,10/11/24,,
482,1518,,,,,,Live,9/24/24,,
225,1521,,,,,,Live,10/4/24,,
415,1528,,,,,,Live,11/7/24,,
369,1533,,,,,,Live,9/15/22,,
427,1534,,,,,,Live,12/10/24,,
196,1542,,,,,,Live,9/8/22,,
246,1547,,,,,,Live,1/21/25,,
368,1549,,,,,,Live,9/20/24,,
308,1552,,,,,,Live,11/6/24,,
452,1554,,,,,,Live,9/27/24,,
482,1557,,,,,,Live,9/23/24,,
394,1559,,,,,,Live,10/24/24,,
396,1560,,,,,,Live,12/6/24,,
145,1561,,,,,,Live,10/16/24,,
424,1562,,,,,,Live,10/29/24,,
448,1563,,,,,,Live,10/18/24,,
447,1574,,,,,,Live,10/25/24,,
457,1575,,,,,,Live,10/3/24,,
249,1580,,,,,,Live,9/19/24,,
427,1581,,,,,,Live,1/16/25,,
449,1583,,,,,,Live,12/6/24,,
396,1584,,,,,,Live,9/12/22,,
26,1586,,,,,,Live,11/4/24,,
450,1587,,,,,,Live,10/19/24,,
445,1588,,,,,,Live,10/24/24,,
234,1591,,,,,,Live,1/15/25,,
447,1600,,,,,,Live,10/14/24,,
457,1608,,,,,,Live,9/13/24,,
297,1614,,,,,,Live,11/12/24,,
452,1615,,,,,,Live,9/13/24,,
238,1618,,,,,,Live,8/27/24,,
192,1619,,,,,,Live,9/9/24,,
226,1623,,,,,,Live,1/10/25,,
447,1624,,,,,,Live,10/16/24,,
424,1633,,,,,,Live,11/11/24,,
432,1637,,,,,,Live,1/20/25,,
444,1643,,,,,,Live,10/14/24,,
581,1645,,,,,,Live,10/23/24,,
452,1651,,,,,,Live,10/8/24,,
448,1660,,,,,,Live,9/25/24,,
304,1662,,,,,,Live,10/17/24,,
309,1666,,,,,,Live,8/26/22,,
432,1671,,,,,,Live,1/16/25,,
280,1674,,,,,,Live,11/6/24,,
438,1679,,,,,,Live,10/18/24,,
376,1689,,,,,,Live,8/29/24,,
362,1691,,,,,,Live,9/8/22,,
445,1692,,,,,,Live,10/30/24,,
445,1693,,,,,,Live,1/23/25,,
124,1694,,,,,,Live,11/13/24,,
427,1695,,,,,,Live,12/11/24,,
454,1697,,,,,,Live,10/1/24,,
459,1700,,,,,,Live,10/17/24,,
280,1703,,,,,,Live,10/23/24,,
453,1704,,,,,,Live,9/27/24,,
2,1711,,,,,,Live,11/13/24,,
508,1717,,,,,,Live,10/28/24,,
222,1718,,,,,,Live,12/16/24,,
421,1722,,,,,,Live,1/27/25,,
413,1723,,,,,,Live,1/27/25,,
414,1732,,,,,,Live,1/24/25,,
235,1739,,,,,,Live,10/15/24,,
165,1742,,,,,,Live,9/20/24,,
371,1746,,,,,,Live,9/23/24,,
461,1747,,,,,,Live,11/12/24,,
33,1748,,,,,,Live,10/11/24,,
222,1750,,,,,,Live,1/15/25,,
452,1755,,,,,,Live,10/17/24,,
462,1756,,,,,,Live,11/7/24,,
455,1760,,,,,,Live,9/13/24,,
341,1761,,,,,,Live,10/11/24,,
413,1764,,,,,,Live,12/13/24,,
202,1771,,,,,,Live,11/8/24,,
468,1772,,,,,,Live,10/30/24,,
478,1775,,,,,,Live,12/19/24,,
315,1780,,,,,,Live,1/20/25,,
477,1784,,,,,,Live,12/6/24,,
423,1786,,,,,,Live,10/11/24,,
414,1787,,,,,,Live,12/10/24,,
454,1789,,,,,,Live,10/1/24,,
477,1793,,,,,,Live,9/13/24,,
583,1800,,,,,,Live,11/13/24,,
44,1801,,,,,,Live,10/17/24,,
411,1802,,,,,,Live,12/9/24,,
87,1803,,,,,,Live,12/2/24,,
248,1804,,,,,,Live,12/11/24,,
463,1805,,,,,,Live,1/6/25,,
164,1810,,,,,,Live,1/6/25,,
192,1813,,,,,,Live,9/16/24,,
449,1815,,,,,,Live,11/8/24,,
475,1817,,,,,,Live,12/17/24,,
306,1821,,,,,,Live,9/25/24,,
581,1826,,,,,,Live,11/14/24,,
191,1831,,,,,,Live,12/9/24,,
463,1832,,,,,,Live,12/12/24,,
468,1834,,,,,,Live,12/11/24,,
190,1835,,,,,,Live,11/12/24,,
214,1839,,,,,,Live,11/11/24,,
450,1840,,,,,,Live,10/2/24,,
289,1841,,,,,,Live,6/5/23,,
109,1851,,,,,,Live,1/27/25,,
291,1852,,,,,,Live,10/30/24,,
461,1853,,,,,,Live,11/8/24,,
284,1860,,,,,,Live,1/24/25,,
422,1861,,,,,,Live,10/17/24,,
462,1862,,,,,,Live,11/14/24,,
209,1863,,,,,,Live,9/16/24,,
422,1864,,,,,,Live,10/24/24,,
581,1877,,,,,,Live,10/18/24,,
445,1879,,,,,,Live,10/29/24,,
468,1880,,,,,,Live,12/5/24,,
453,1881,,,,,,Live,9/10/24,,
581,1882,,,,,,Live,11/7/24,,
461,1899,,,,,,Live,12/3/24,,
457,1903,,,,,,Live,10/4/24,,
195,1909,,,,,,Live,12/3/24,,
468,1910,,,,,,Live,12/13/24,,
215,1911,,,,,,Live,9/23/24,,
461,1912,,,,,,Live,10/24/24,,
207,1913,,,,,,Live,9/5/22,,
445,1914,,,,,,Live,11/5/24,,
459,1917,,,,,,Live,10/11/24,,
477,1920,,,,,,Live,10/8/24,,
462,1922,,,,,,Live,12/6/24,,
200,1923,,,,,,Live,12/3/24,,
478,1925,,,,,,Live,11/6/24,,
268,1938,,,,,,Live,9/21/23,,
462,1941,,,,,,Live,10/8/24,,
433,1943,,,,,,Live,1/10/25,,
422,1952,,,,,,Live,10/23/24,,
263,1955,,,,,,Live,1/24/25,,
382,1956,,,,,,Live,11/12/24,,
164,1959,,,,,,Live,1/8/25,,
450,1963,,,,,,Live,10/16/24,,
432,1965,,,,,,Live,12/12/24,,
511,1972,,,,,,Live,11/4/24,,
457,1979,,,,,,Live,10/29/24,,
450,1983,,,,,,Live,10/17/24,,
283,1985,,,,,,Live,10/29/24,,
455,1988,,,,,,Live,10/4/24,,
447,1989,,,,,,Live,1/6/25,,
462,1992,,,,,,Live,1/21/25,,
400,1995,,,,,,Live,1/22/25,,
188,1997,,,,,,Live,1/6/25,,
424,1999,,,,,,Live,10/28/24,,
449,2001,,,,,,Live,11/5/24,,
451,2002,,,,,,Live,2/4/22,,
174,2003,,,,,,Live,10/14/24,,
415,2004,,,,,,Live,1/20/25,,
306,2005,,,,,,Live,10/2/24,,
162,2022,,,,,,Live,12/12/24,,
511,2025,,,,,,Live,11/6/24,,
461,2028,,,,,,Live,10/28/24,,
450,2030,,,,,,Live,10/22/24,,
511,2031,,,,,,Live,9/12/24,,
446,2032,,,,,,Live,12/17/24,,
317,2036,,,,,,Live,12/16/24,,
472,2037,,,,,,Live,11/14/24,,
450,2039,,,,,,Live,10/11/24,,
457,2044,,,,,,Live,9/11/24,,
453,2048,,,,,,Live,9/24/24,,
396,2050,,,,,,Live,9/10/24,,
457,2053,,,,,,Live,9/9/24,,
454,2054,,,,,,Live,9/9/24,,
188,2056,,,,,,Live,1/21/25,,
297,2058,,,,,,Live,1/22/25,,
231,2059,,,,,,Live,10/22/24,,
122,2065,,,,,,Live,12/17/24,,
64,2066,,,,,,Live,9/10/24,,
170,2068,,,,,,Live,9/7/24,,
468,2069,,,,,,Live,12/3/24,,
469,2070,,,,,,Live,10/3/24,,
469,2071,,,,,,Live,10/11/24,,
214,2073,,,,,,Live,9/24/24,,
469,2074,,,,,,Live,10/5/24,,
478,2075,,,,,,Live,12/16/24,,
460,2077,,,,,,Live,9/27/24,,
464,2082,,,,,,Live,10/11/24,,
383,2084,,,,,,Live,12/9/24,,
56,2086,,,,,,Live,11/6/24,,
422,2087,,,,,,Live,10/21/24,,
110,2091,,,,,,Live,9/17/24,,
460,2094,,,,,,Live,1/13/25,,
188,2097,,,,,,Live,1/20/25,,
219,2098,,,,,,Live,8/26/24,,
447,2099,,,,,,Live,12/17/24,,
475,2101,,,,,,Live,1/14/25,,
53,2105,,,,,,Live,11/8/24,,
392,2106,,,,,,Live,8/30/23,,
165,2108,,,,,,Live,9/23/24,,
465,2110,,,,,,Live,11/5/24,,
372,2112,,,,,,Live,10/2/24,,
370,2113,,,,,,Live,9/16/22,,
216,2115,,,,,,Live,11/12/24,,
451,2117,,,,,,Live,10/8/24,,
511,2119,,,,,,Live,2/4/22,,
472,2121,,,,,,Live,10/30/24,,
380,2125,,,,,,Live,9/4/24,,
470,2126,,,,,,Live,1/20/25,,
411,2131,,,,,,Live,1/13/25,,
131,2132,,,,,,Live,1/24/25,,
82,2133,,,,,,Live,9/13/24,,
306,2134,,,,,,Live,8/25/22,,
291,2136,,,,,,Live,10/29/24,,
157,2139,,,,,,Live,12/2/24,,
166,2141,,,,,,Live,9/4/24,,
184,2142,,,,,,Live,9/12/22,,
168,2145,,,,,,Live,10/30/24,,
188,2152,,,,,,Live,1/8/25,,
171,2156,,,,,,Live,9/10/24,,
156,2158,,,,,,Live,12/4/24,,
191,2166,,,,,,Live,12/10/24,,
459,2177,,,,,,Live,10/15/24,,
463,2181,,,,,,Live,1/9/25,,
392,2189,,,,,,Live,9/1/23,,
453,2190,,,,,,Live,10/1/24,,
178,2195,,,,,,Live,10/17/24,,
472,2196,,,,,,Live,10/25/24,,
423,2198,,,,,,Live,10/10/24,,
267,2204,,,,,,Live,8/29/24,,
233,2205,,,,,,Live,1/16/25,,
466,2206,,,,,,Live,11/11/24,,
216,2209,,,,,,Live,9/21/22,,
195,2210,,,,,,Live,12/5/24,,
340,2213,,,,,,Live,8/29/22,,
41,2214,,,,,,Live,11/14/24,,
466,2218,,,,,,Live,11/12/24,,
280,2233,,,,,,Live,11/4/24,,
200,2238,,,,,,Live,12/2/24,,
464,2242,,,,,,Live,10/3/24,,
460,2245,,,,,,Live,1/15/25,,
467,2249,,,,,,Live,11/8/24,,
221,2250,,,,,,Live,12/6/24,,
484,2251,,,,,,Live,9/10/24,,
67,2257,,,,,,Live,9/5/24,,
383,2259,,,,,,Live,11/4/24,,
214,2266,,,,,,Live,9/26/24,,
473,2269,,,,,,Live,1/9/25,,
424,2274,,,,,,Live,11/6/24,,
449,2277,,,,,,Live,10/23/24,,
451,2280,,,,,,Live,2/17/22,,
235,2281,,,,,,Live,10/21/24,,
162,2282,,,,,,Live,12/11/24,,
161,2283,,,,,,Live,12/12/24,,
171,2286,,,,,,Live,9/11/24,,
462,2288,,,,,,Live,11/12/24,,
458,2291,,,,,,Live,1/22/25,,
484,2292,,,,,,Live,9/13/24,,
448,2297,,,,,,Live,9/24/24,,
227,2300,,,,,,Live,10/14/24,,
11,2306,,,,,,Live,1/22/25,,
470,2308,,,,,,Live,1/24/25,,
122,2310,,,,,,Live,12/16/24,,
312,2312,,,,,,Live,1/13/25,,
470,2314,,,,,,Live,1/21/25,,
472,2317,,,,,,Live,10/29/24,,
468,2320,,,,,,Live,12/6/24,,
145,2322,,,,,,Live,10/17/24,,
472,2325,,,,,,Live,10/28/24,,
441,2335,,,,,,Live,10/16/24,,
246,2339,,,,,,Live,1/20/25,,
33,2348,,,,,,Live,1/10/25,,
424,2352,,,,,,Live,11/5/24,,
209,2362,,,,,,Live,9/17/24,,
419,2367,,,,,,Live,1/9/25,,
188,2370,,,,,,Live,1/14/25,,
514,2385,,,,,,Live,11/12/24,,
114,2387,,,,,,Live,10/7/24,,
484,2401,,,,,,Live,10/15/24,,
514,2403,,,,,,Live,10/25/24,,
235,2420,,,,,,Live,10/16/24,,
217,2426,,,,,,Live,8/27/24,,
53,2427,,,,,,Live,10/11/23,,
433,2432,,,,,,Live,1/7/25,,
561,2433,,,,,,Live,10/9/23,,
282,2435,,,,,,Live,8/29/22,,
60,2439,,,,,,Live,9/23/24,,
225,2441,,,,,,Live,10/8/24,,
170,2445,,,,,,Live,10/28/24,,
170,2446,,,,,,Live,7/15/23,,
225,2447,,,,,,Live,9/27/24,,
471,2450,,,,,,Live,10/18/24,,
444,2452,,,,,,Live,10/24/24,,
454,2457,,,,,,Live,9/12/24,,
451,2458,,,,,,Live,2/8/22,,
56,2463,,,,,,Live,11/7/24,,
454,2464,,,,,,Live,10/2/24,,
467,2469,,,,,,Live,11/5/24,,
470,2473,,,,,,Live,1/28/25,,
468,2477,,,,,,Live,11/12/24,,
459,2479,,,,,,Live,10/8/24,,
232,2481,,,,,,Live,1/14/25,,
372,2482,,,,,,Live,10/4/24,,
394,2483,,,,,,Live,10/4/24,,
362,2490,,,,,,Live,10/21/24,,
466,2495,,,,,,Live,1/15/25,,
447,2507,,,,,,Live,1/7/25,,
370,2515,,,,,,Live,10/1/24,,
514,2516,,,,,,Live,10/16/24,,
466,2517,,,,,,Live,1/13/25,,
464,2523,,,,,,Live,10/7/24,,
446,2526,,,,,,Live,11/5/24,,
232,2535,,,,,,Live,1/13/25,,
581,2536,,,,,,Live,10/22/24,,
457,2537,,,,,,Live,10/25/24,,
478,2538,,,,,,Live,11/13/24,,
474,2539,,,,,,Live,9/6/24,,
464,2546,,,,,,Live,10/1/24,,
474,2549,,,,,,Live,8/30/24,,
476,2550,,,,,,Live,8/29/24,,
457,2553,,,,,,Live,11/8/24,,
368,2554,,,,,,Live,9/19/24,,
284,2555,,,,,,Live,1/23/25,,
447,2556,,,,,,Live,1/9/25,,
447,2557,,,,,,Live,12/3/24,,
446,2568,,,,,,Live,10/29/24,,
514,2571,,,,,,Live,10/29/24,,
281,2577,,,,,,Live,11/8/24,,
300,2580,,,,,,Live,10/30/24,,
195,2586,,,,,,Live,12/6/24,,
227,2588,,,,,,Live,10/17/24,,
394,2592,,,,,,Live,10/23/24,,
396,2593,,,,,,Live,10/1/24,,
471,2594,,,,,,Live,10/24/24,,
471,2595,,,,,,Live,10/21/24,,
471,2596,,,,,,Live,10/30/24,,
453,2598,,,,,,Live,8/30/24,,
465,2609,,,,,,Live,10/29/24,,
446,2621,,,,,,Live,11/8/24,,
112,2627,,,,,,Live,1/29/25,,
260,2628,,,,,,Live,12/5/24,,
175,2633,,,,,,Live,10/8/24,,
466,2636,,,,,,Live,1/16/25,,
423,2642,,,,,,Live,10/7/24,,
422,2643,,,,,,Live,10/16/24,,
511,2648,,,,,,Live,7/17/23,,
50,2649,,,,,,Live,11/11/24,,
170,2650,,,,,,Live,9/4/24,,
375,2656,,,,,,Live,11/13/24,,
55,2667,,,,,,Live,10/12/23,,
435,2668,,,,,,Live,10/8/24,,
373,2671,,,,,,Live,10/1/24,,
201,2678,,,,,,Live,1/23/25,,
247,2679,,,,,,Live,11/6/24,,
243,2691,,,,,,Live,12/12/24,,
206,2692,,,,,,Live,1/6/25,,
340,2694,,,,,,Live,10/21/24,,
452,2697,,,,,,Live,9/11/24,,
38,2703,,,,,,Live,10/21/24,,
125,2706,,,,,,Live,9/27/24,,
460,2708,,,,,,Live,12/13/24,,
37,2712,,,,,,Live,8/12/24,,
415,2716,,,,,,Live,1/29/25,,
64,2718,,,,,,Live,9/6/24,,
469,2722,,,,,,Live,10/8/24,,
63,2724,,,,,,Live,9/11/24,,
110,2727,,,,,,Live,9/18/24,,
454,2735,,,,,,Live,10/16/24,,
380,2751,,,,,,Live,1/8/25,,
414,2764,,,,,,Live,1/8/25,,
372,2766,,,,,,Live,9/23/24,,
371,2768,,,,,,Live,1/13/25,,
217,2774,,,,,,Live,12/3/24,,
260,2783,,,,,,Live,12/3/24,,
249,2787,,,,,,Live,12/19/24,,
238,2817,,,,,,Live,8/28/24,,
216,2823,,,,,,Live,12/17/24,,
418,2827,,,,,,Live,1/13/25,,
435,2828,,,,,,Live,10/25/24,,
166,2830,,,,,,Live,10/25/24,,
396,2838,,,,,,Live,9/12/24,,
461,2842,,,,,,Live,12/4/24,,
432,2847,,,,,,Live,1/15/25,,
360,2857,,,,,,Live,10/30/24,,
192,2859,,,,,,Live,11/15/24,,
29,2860,,,,,,Live,12/5/24,,
474,2865,,,,,,Live,9/6/24,,
558,2871,,,,,,Live,9/25/23,,
189,2874,,,,,,Live,1/15/25,,
422,2882,,,,,,Live,1/10/25,,
56,2883,,,,,,Live,1/28/22,,
394,2884,,,,,,Live,9/26/24,,
484,2886,,,,,,Live,5/23/23,,
415,2889,,,,,,Live,1/16/25,,
376,2892,,,,,,Live,9/6/24,,
171,2906,,,,,,Live,9/9/24,,
197,2912,,,,,,Live,1/9/25,,
215,2914,,,,,,Live,9/20/24,,
171,2917,,,,,,Live,9/13/24,,
401,2921,,,,,,Live,1/16/25,,
382,2923,,,,,,Live,11/13/24,,
384,2924,,,,,,Live,12/6/24,,
476,2927,,,,,,Live,9/19/24,,
132,2938,,,,,,Live,1/14/25,,
109,2946,,,,,,Live,1/28/25,,
476,2947,,,,,,Live,8/28/24,,
484,2948,,,,,,Live,1/20/25,,
448,2950,,,,,,Live,10/2/24,,
448,2951,,,,,,Live,9/11/24,,
460,2952,,,,,,Live,12/5/24,,
362,2955,,,,,,Live,10/18/24,,
108,2962,,,,,,Live,11/8/24,,
156,2964,,,,,,Live,12/3/24,,
225,2967,,,,,,Live,10/28/24,,
479,2980,,,,,,Live,11/4/24,,
449,2985,,,,,,Live,10/31/24,,
511,2989,,,,,,Live,9/10/24,,
82,2991,,,,,,Live,9/13/24,,
53,2996,,,,,,Live,10/13/23,,
268,3004,,,,,,Live,1/5/23,,
49,3014,,,,,,Live,11/14/23,,
561,3015,,,,,,Live,10/9/23,,
