Store,County,State,City,Yes
2108,Mays Landing,NJ,PHILADELPHIA,Yes
2111,Hoover,AL,BIRMINGHAM,Yes
2112,Scottsdale,AZ,PHOENIX,Yes
2174,Westfield,MA,HARTFORD-PROVIDENCE,Yes
2189,Reno,NV,LAS VEGAS,Yes
2215,Darien,IL,CHICAGO,Yes
2223,Westminster,CO,DENVER,Yes
2233,Frederick,MD,WASHINGTON DC,Yes
2239,San Antonio,TX,SOUTH-WEST TEXAS,Yes
2245,Oceanside,CA,SAN DIEGO,Yes
2252,Easton,PA,PHILADELPHIA,Yes
2283,Coventry,RI,HARTFORD-PROVIDENCE,Yes
2284,Naugatuck,CT,HARTFORD-PROVIDENCE,Yes
2286,Centereach,NY,NEW YORK,Yes
2300,Pittsburgh,PA,PITTSBURGH,Yes
2307,South Jordan,UT,SALT LAKE-BOISE,Yes
2322,Cordova,TN,MEMPHIS,Yes
2325,Port Orchard,WA,SEATTLE-TACOMA WA,Yes
2336,Plymouth,MA,BOSTON,Yes
2366,North Attleboro,MA,HARTFORD-PROVIDENCE,Yes
2371,Wallingford,CT,HARTFORD-PROVIDENCE,Yes
2387,Brandon,FL,TAMPA-ST PETERSBURG,Yes
2401,Duarte,CA,LOS ANGELES,Yes
2402,Elko,NV,SALT LAKE-BOISE,Yes
2438,Stafford,VA,WASHINGTON DC,Yes
2443,Sioux Falls,SD,OMAHA-WICHITA,Yes
2483,Las Vegas,NV,LAS VEGAS,Yes
2508,Boise,ID,SALT LAKE-BOISE,Yes
2512,Phoenix,AZ,PHOENIX,Yes
2526,Porter Ranch,CA,LOS ANGELES,Yes
2592,North Las Vegas,NV,LAS VEGAS,Yes
2593,Las Vegas,NV,LAS VEGAS,Yes
2612,El Paso,TX,SOUTH-WEST TEXAS,Yes
2616,O Fallon,MO,ST LOUIS,Yes
2642,Apple Valley,MN,MINNEAPOLIS-ST PAUL,Yes
2649,Irving,TX,DALLAS-FT WORTH,Yes
2651,Manville,NJ,NEW YORK,Yes
2671,Chandler,AZ,PHOENIX,Yes
2688,Tyler,TX,DALLAS-FT WORTH,Yes
2729,Fort Collins,CO,DENVER,Yes
2740,Tampa,FL,TAMPA-ST PETERSBURG,Yes
2755,Flowood,MS,NEW ORLEANS,Yes
2766,Scottsdale,AZ,PHOENIX,Yes
2796,Oldsmar,FL,TAMPA-ST PETERSBURG,Yes
2803,Edmond,OK,OKLAHOMA CITY,Yes
2838,Henderson,NV,LAS VEGAS,Yes
2842,Corona,CA,LOS ANGELES,Yes
2844,Clifton Park,NY,ALBANY-SYRACUSE,Yes
2846,Olive Branch,MS,MEMPHIS,Yes
2857,Kansas City,MO,KANSAS CITY,Yes
2862,Meridian,ID,SALT LAKE-BOISE,Yes
2881,Kissimmee,FL,ORLANDO-DAYTONA BEACH,Yes
2886,Pico Rivera,CA,LOS ANGELES,Yes
2920,Fleming Island,FL,JACKSONVILLE,Yes
2922,Tucson,AZ,ALBUQUERQUE-TUCSON,Yes
2958,Appleton,WI,MILWAUKEE,Yes
2980,Fort Worth,TX,DALLAS-FT WORTH,Yes
3218,Spanaway,WA,SEATTLE-TACOMA WA,Yes
3225,Rowlett,TX,DALLAS-FT WORTH,Yes
3232,West Jordan,UT,SALT LAKE-BOISE,Yes
3254,Reno,NV,LAS VEGAS,Yes
3261,Richland,WA,SPOKANE,Yes
3265,Yorktown,VA,RICHMOND,Yes
3267,Omaha,NE,OMAHA-WICHITA,Yes
3277,Reno,NV,LAS VEGAS,Yes
3283,Wichita,KS,OMAHA-WICHITA,Yes
3297,Houston,TX,HOUSTON,Yes
3319,Harker Heights,TX,SOUTH-WEST TEXAS,Yes
3352,Stockton,CA,SACRAMENTO,Yes
3360,Chandler,AZ,PHOENIX,Yes
3380,Pasco,WA,SPOKANE,Yes
3418,Wesley Chapel,FL,TAMPA-ST PETERSBURG,Yes
3460,Peoria,IL,CHAMPAIGN-PEORIA,Yes
3462,Suwanee,GA,ATLANTA,Yes
3464,Chino,CA,LOS ANGELES,Yes
3482,Plano,TX,DALLAS-FT WORTH,Yes
3525,Puyallup,WA,SEATTLE-TACOMA WA,Yes
3533,Denver,CO,DENVER,Yes
3537,Lakewood,WA,SEATTLE-TACOMA WA,Yes
3538,Melbourne,FL,ORLANDO-DAYTONA BEACH,Yes
3566,Denver,CO,DENVER,Yes
3570,Evans,GA,SAVANNAH,Yes
3620,Riverton,UT,SALT LAKE-BOISE,Yes
3648,Bismarck,ND,MINNEAPOLIS-ST PAUL,Yes
3652,West Sacramento,CA,SACRAMENTO,Yes
3700,Indian Trail,NC,CHARLOTTE,Yes
3725,Niles,IL,CHICAGO,Yes
3729,Sparks,NV,LAS VEGAS,Yes
3732,Rio Rancho,NM,ALBUQUERQUE-TUCSON,Yes
3748,Acworth,GA,ATLANTA,Yes
3751,Queen Creek,AZ,PHOENIX,Yes
3762,West Des Moines,IA,DES MOINES-CEDAR RAPIDS,Yes
3763,El Paso,TX,SOUTH-WEST TEXAS,Yes
3771,Phoenix,AZ,PHOENIX,Yes
3773,Fort Worth,TX,DALLAS-FT WORTH,Yes
3777,Frisco,TX,DALLAS-FT WORTH,Yes
3786,Buford,GA,ATLANTA,Yes
3833,Mesa,AZ,PHOENIX,Yes
3835,Ooltewah,TN,NASHVILLE,Yes
3867,Westminster,CO,DENVER,Yes
3888,San Antonio,TX,SOUTH-WEST TEXAS,Yes
4108,Springdale,AR,OKLAHOMA CITY,Yes
4240,Lewisville,TX,DALLAS-FT WORTH,Yes
4272,Logan,UT,SALT LAKE-BOISE,Yes
4298,Humble,TX,HOUSTON,Yes
4356,Las Vegas,NV,LAS VEGAS,Yes
4365,Orlando,FL,ORLANDO-DAYTONA BEACH,Yes
4438,Saratoga Springs,UT,SALT LAKE-BOISE,Yes
4444,Jacksonville,FL,JACKSONVILLE,Yes
4567,Thornton,CO,DENVER,Yes
5023,National City,CA,SAN DIEGO,Yes
5031,Tucson,AZ,ALBUQUERQUE-TUCSON,Yes
5036,Tampa,FL,TAMPA-ST PETERSBURG,Yes
5051,Greeley,CO,DENVER,Yes
5070,Las Vegas,NV,LAS VEGAS,Yes
5075,Oceanside,CA,SAN DIEGO,Yes
5090,De Pere,WI,MILWAUKEE,Yes
5092,Lewisville,TX,DALLAS-FT WORTH,Yes
5123,Colorado Springs,CO,DENVER,Yes
5134,Bakersfield,CA,FRESNO-BAKERSFIELD,Yes
5141,Omaha,NE,OMAHA-WICHITA,Yes
5154,Rosemead,CA,LOS ANGELES,Yes
5186,Gilbert,AZ,PHOENIX,Yes
5191,Forney,TX,DALLAS-FT WORTH,Yes
5192,Sacramento,CA,SACRAMENTO,Yes
5233,Salt Lake City,UT,SALT LAKE-BOISE,Yes
5241,North Huntingdon,PA,PITTSBURGH,Yes
5247,Roanoke,TX,DALLAS-FT WORTH,Yes
5254,Wake Forest,NC,RALEIGH,Yes
5260,Rogers,AR,OKLAHOMA CITY,Yes
5270,Lindon,UT,SALT LAKE-BOISE,Yes
5272,Poulsbo,WA,SEATTLE-TACOMA WA,Yes
5275,Woodstock,GA,ATLANTA,Yes
5293,Valley Stream,NY,NEW YORK,Yes
5300,Gibsonton,FL,TAMPA-ST PETERSBURG,Yes
5331,Phoenix,AZ,PHOENIX,Yes
5337,Clovis,CA,FRESNO-BAKERSFIELD,Yes
5343,Fredericksburg,VA,WASHINGTON DC,Yes
5369,Goodyear,AZ,PHOENIX,Yes
5388,League City,TX,HOUSTON,Yes
5391,Naples,FL,PALM BEACH-FT MYERS,Yes
5428,Mesa,AZ,PHOENIX,Yes
5429,Surprise,AZ,PHOENIX,Yes
5462,Vancouver,WA,PORTLAND,Yes
5841,Meridian,ID,SALT LAKE-BOISE,Yes
5932,Pembroke Pines,FL,MIAMI-FT LAUDERDALE,Yes
6898,Lubbock,TX,SOUTH-WEST TEXAS,Yes
