STORE NUMBER,Dept.,Category ,Category Description, SAP NUMBER,SAP Description, QUANTITY,Set Week,
148,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
150,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
151,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
154,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
157,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
162,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
163,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
168,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
170,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
172,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
174,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
175,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
179,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
182,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
184,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
185,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
186,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
188,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
189,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
192,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
194,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
195,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
196,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
197,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
198,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
199,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
200,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
201,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
204,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
212,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
216,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
217,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
220,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
224,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
234,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
237,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
243,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
244,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
253,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
256,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
258,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
259,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
260,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
261,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
264,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
265,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
268,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
269,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
271,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
272,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
275,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
277,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
278,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
284,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
285,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
286,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
287,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
297,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
298,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
299,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
300,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
301,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
304,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
307,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
308,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
309,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
314,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
316,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
319,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
329,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
331,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
332,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
345,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
346,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
353,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
355,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
356,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
359,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
361,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
365,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
368,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
371,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
372,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
375,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
379,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
381,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
386,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
388,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
389,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
392,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
393,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
394,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
395,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
396,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
397,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
399,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
400,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
405,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
406,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
407,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
408,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
410,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
414,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
415,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
420,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
423,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
426,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
433,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
434,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
442,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
445,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
447,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
449,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
450,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
452,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
456,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
458,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
459,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
461,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
462,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
463,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
464,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
467,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
468,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
470,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
471,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
472,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
475,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
479,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
481,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
483,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
484,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
491,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
492,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
499,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
500,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
501,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
505,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
508,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
510,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
511,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
512,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
513,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
514,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
515,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
521,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
526,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
528,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
529,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
530,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
531,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
532,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
533,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
535,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
536,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
539,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
540,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
541,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
542,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
543,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
544,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
547,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
548,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
549,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
553,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
554,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
555,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
557,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
558,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
559,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
560,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
563,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
564,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
565,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
571,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
572,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
574,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
575,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
576,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
578,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
579,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
582,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
585,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
586,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
587,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
588,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
590,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
592,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
593,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
594,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
598,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
599,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
600,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
601,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
602,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
603,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
604,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
608,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
611,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
613,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
614,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
615,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
616,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
620,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
621,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
622,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
623,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
625,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
629,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
630,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
631,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
632,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
634,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
635,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
637,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
638,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
639,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
640,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
641,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
645,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
648,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
651,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
652,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
653,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
655,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
656,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
657,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
658,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
659,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
660,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
661,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
662,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
663,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
664,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
666,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
668,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
669,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
670,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
671,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
672,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
673,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
674,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
676,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
677,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
680,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
682,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
683,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
684,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
685,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
687,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
688,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
689,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
690,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
691,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
692,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
694,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
698,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
699,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
700,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
701,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
703,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
705,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
706,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
708,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
709,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
710,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
