Market,Club Number,PRIMARY TEAM,SECONDARY TEAM,TERTIARY TEAM
36,4828,CENTRAL FLORIDA,TAMPA BAY BUCCANEERS,N/A
36,4782,CENTRAL FLORIDA,N/A,N/A
36,6189,CENTRAL FLORIDA,N/A,N/A
36,6212,CENTRAL FLORIDA,TAMPA BAY BUCCANEERS,N/A
25,4982,CENTRAL MICHIGAN,DETROIT LIONS,N/A
21,4815,CHICAGO BEARS,N/A,N/A
21,8215,CHICAGO BEARS,N/A,N/A
21,8174,CHICAGO BEARS,NOTRE DAME,MERRILLVILLE HIGH SCHOOL
20,4942,CHICAGO BEARS,ILLINOIS,N/A
21,6485,CHICAGO BEARS,GREEN BAY PACKERS,N/A
20,6487,CHICAGO BEARS,ILLINOIS,N/A
19,8285,CHICAGO BEARS,N/A,N/A
19,4878,CHICAGO BEARS,N/A,N/A
20,6228,CHICAGO BEARS,N/A,N/A
20,6444,CHICAGO BEARS,N/A,N/A
20,6328,CHICAGO BEARS,NORTHWESTERN,N/A
21,6334,CHICAGO BEARS,ILLINOIS,N/A
20,8184,CHICAGO BEARS,WISCONSIN,N/A
21,8128,CHICAGO BEARS,ILLINOIS,N/A
20,6349,CHICAGO BEARS,N/A,N/A
21,8298,CHICAGO BEARS,N/A,N/A
20,6358,CHICAGO BEARS,NORTHWESTERN,N/A
20,6339,CHICAGO BEARS,N/A,N/A
20,8297,CHICAGO BEARS,GREEN BAY PACKERS,N/A
21,6489,CHICAGO BEARS,N/A,N/A
20,6464,CHICAGO BEARS,NORTHWESTERN,N/A
20,6388,CHICAGO BEARS,ILLINOIS,N/A
19,4999,CHICAGO BEARS,N/A,N/A
20,6384,CHICAGO BEARS,N/A,N/A
22,6528,CINCINNATI BENGALS,CINCINNATI,N/A
22,8133,CINCINNATI BENGALS,KENTUCKY,N/A
22,6450,CINCINNATI BENGALS,CINCINNATI,N/A
22,8132,CINCINNATI BENGALS,CINCINNATI,N/A
30,8142,CLEMSON,S CAROLINA,N/A
30,6463,CLEMSON,GEORGIA,T L HANNA HIGH SCHOOL
30,8278,CLEMSON,S CAROLINA,N/A
30,4901,CLEMSON,S CAROLINA,N/A
29,8252,CLEMSON,CAROLINA PANTHERS,N/A
33,6305,CLEVELAND BROWNS,OHIO STATE,N/A
33,6314,CLEVELAND BROWNS,OHIO STATE,N/A
33,4846,CLEVELAND BROWNS,OHIO STATE,N/A
33,4750,CLEVELAND BROWNS,OHIO STATE,N/A
33,6302,CLEVELAND BROWNS,OHIO STATE,N/A
35,6353,COASTAL CAROLINA,CLEMSON,N/A
5,6634,COLORADO,DENVER BRONCOS,N/A
7,6633,COLORADO STATE,DENVER BRONCOS,N/A
12,4939,DALLAS COWBOYS,TEXAS A&M,N/A
12,8227,DALLAS COWBOYS,UTSA,N/A
11,4911,DALLAS COWBOYS,BAYLOR,N/A
12,6471,DALLAS COWBOYS,N/A,N/A
11,8288,DALLAS COWBOYS,TEXAS TECH,N/A
14,6422,DALLAS COWBOYS,N/A,N/A
12,4850,DALLAS COWBOYS,BAYLOR,N/A
10,8224,DALLAS COWBOYS,N/A,N/A
13,8259,DALLAS COWBOYS,TEXAS,N/A
11,6439,DALLAS COWBOYS,TEXAS TECH,N/A
13,6245,DALLAS COWBOYS,TEXAS,N/A
11,8210,DALLAS COWBOYS,TCU,BURLESON CENTENNIAL HIGH SCHOOL
6,6246,DALLAS COWBOYS,N/A,N/A
11,8277,DALLAS COWBOYS,TCU,N/A
12,8250,DALLAS COWBOYS,N/A,N/A
12,8156,DALLAS COWBOYS,N/A,JOHN B ALEXANDER HIGH SCHOOL
12,8267,DALLAS COWBOYS,TEXAS A&M,N/A
13,6188,DALLAS COWBOYS,TEXAS A&M,N/A
11,4948,DALLAS COWBOYS,N/A,N/A
6,6502,DALLAS COWBOYS,N/A,N/A
6,7676,DALLAS COWBOYS,TEXAS TECH,N/A
6,8279,DALLAS COWBOYS,TEXAS TECH,N/A
13,6259,DALLAS COWBOYS,BAYLOR,N/A
13,6336,DALLAS COWBOYS,BAYLOR,N/A
14,4906,DALLAS COWBOYS,BAYLOR,N/A
12,6269,DALLAS COWBOYS,BAYLOR,N/A
16,8295,DALLAS COWBOYS,N/A,N/A
11,4905,DALLAS COWBOYS,N TEXAS,N/A
13,4713,DALLAS COWBOYS,TEXAS,N/A
13,6453,DALLAS COWBOYS,TEXAS,N/A
10,6350,DALLAS COWBOYS,TEXAS,N/A
35,6443,DALLAS COWBOYS,N CAROLINA,N/A
12,4914,DALLAS COWBOYS,TEXAS A&M,N/A
14,6376,DALLAS COWBOYS,BAYLOR,N/A
14,6381,DALLAS COWBOYS,N TEXAS,N/A
12,8264,DALLAS COWBOYS,N/A,N/A
11,6781,DALLAS COWBOYS,TCU,KELLER HIGH SCHOOL
11,8268,DALLAS COWBOYS,TCU,N/A
14,6372,DALLAS COWBOYS,BAYLOR,N/A
14,6265,DALLAS COWBOYS,BAYLOR,N/A
11,4742,DALLAS COWBOYS,TCU,N/A
6,8280,DALLAS COWBOYS,UTEP,N/A
14,4783,DALLAS COWBOYS,TCU,N/A
14,8299,DALLAS COWBOYS,N/A,N/A
6,8153,DALLAS COWBOYS,UTEP,N/A
12,8262,DALLAS COWBOYS,N/A,N/A
11,8282,DALLAS COWBOYS,N/A,N/A
14,8284,DALLAS COWBOYS,N/A,N/A
14,8242,DALLAS COWBOYS,N/A,N/A
12,8126,DALLAS COWBOYS,N/A,N/A
11,8269,DALLAS COWBOYS,N/A,N/A
15,6202,DALLAS COWBOYS,N/A,N/A
11,8226,DALLAS COWBOYS,N/A,WYLIE HIGH SCHOOL
14,4743,DALLAS COWBOYS,N/A,N/A
14,6482,DALLAS COWBOYS,N/A,N/A
14,6255,DALLAS COWBOYS,N/A,N/A
14,8248,DALLAS COWBOYS,N/A,N/A
22,8136,DAYTON,CENTRAL STATE,CENTERVILLE HIGH SCHOOL
5,4745,DENVER BRONCOS,COLORADO,N/A
3,6360,DENVER BRONCOS,N/A,N/A
5,6219,DENVER BRONCOS,N/A,N/A
7,8147,DENVER BRONCOS,COLORADO STATE,N/A
5,4777,DENVER BRONCOS,COLORADO,N/A
7,4987,DENVER BRONCOS,COLORADO,N/A
5,6631,DENVER BRONCOS,COLORADO,N/A
5,8272,DENVER BRONCOS,COLORADO,N/A
5,6630,DENVER BRONCOS,COLORADO,N/A
5,4816,DENVER BRONCOS,COLORADO,N/A
5,4853,DENVER BRONCOS,N/A,N/A
5,6632,DENVER BRONCOS,N/A,N/A
5,6635,DENVER BRONCOS,N/A,N/A
5,6549,DENVER BRONCOS,N/A,N/A
7,4770,DENVER BRONCOS,N/A,N/A
25,6562,DETROIT LIONS,MICHIGAN STATE,N/A
25,6419,DETROIT LIONS,MICHIGAN STATE,N/A
26,6659,DETROIT LIONS,MICHIGAN ,N/A
26,4778,DETROIT LIONS,MICHIGAN ,N/A
26,6662,DETROIT LIONS,MICHIGAN ,N/A
35,6216,E CAROLINA,CAROLINA PANTHERS,N/A
35,8218,FAYETTEVILLE STATE,N CAROLINA,N/A
24,6361,FLORIDA STATE,FLORIDA,N/A
24,8119,FLORIDA STATE,ALABAMA,N/A
32,4991,FLORIDA STATE,TAMPA BAY BUCCANEERS,N/A
31,6441,FLORIDA STATE,TAMPA BAY BUCCANEERS,N/A
29,8151,FLORIDA STATE,FLORIDA,FLORIDA A&M
31,4998,FLORIDA,N/A,N/A
31,4794,FLORIDA,N/A,N/A
31,4818,FLORIDA,N/A,N/A
31,6335,FLORIDA,N/A,N/A
31,8155,FLORIDA,N/A,N/A
29,8120,FLORIDA A&M,FLORIDA STATE,N/A
36,6218,FLORIDA A&M,MIAMI DOLPHINS,N/A
32,8157,FLORIDA A&M,FLORIDA,N/A
1,4704,FRESNO STATE,SAN FRANCISCO 49ERS,N/A
29,6506,GEORGIA,ALBANY STATE,N/A
28,4739,GEORGIA,ATLANTA FALCONS,N/A
28,4804,GEORGIA,ATLANTA FALCONS,N/A
28,4789,GEORGIA,ATLANTA FALCONS,CLARK ATLANTA
24,8213,GEORGIA,AUBURN,N/A
29,8253,GEORGIA,FLORIDA,JACKSONVILLE JAGUARS
28,8158,GEORGIA,KENNESAW STATE,N/A
29,8202,GEORGIA,SAVANNAH STATE,N/A
28,4780,GEORGIA,ATLANTA FALCONS,N/A
28,4802,GEORGIA,ATLANTA FALCONS,N/A
28,8166,GEORGIA,N/A,DULUTH HIGH SCHOOL
28,8203,GEORGIA,MOREHOUSE COLLEGE,N/A
28,6643,GEORGIA,ATLANTA FALCONS,MORRIS BROWN COLLEGE
24,6509,GEORGIA,ATLANTA FALCONS,SHORTER UNIVERSITY
28,6644,GEORGIA,ATLANTA FALCONS,N/A
28,8225,GEORGIA,ATLANTA FALCONS,N/A
29,6204,GEORGIA,FLORIDA,LOWNDES HIGH SCHOOL
28,6646,GEORGIA,ATLANTA FALCONS,N/A
29,8115,GEORGIA,ATLANTA FALCONS,N/A
28,8211,GEORGIA,ATLANTA FALCONS,N/A
29,7658,GEORGIA,N/A,N/A
28,8194,GEORGIA,N/A,N/A
17,8237,GRAMBLING STATE,LOUISIANA-MONROE,N/A
18,8167,GREEN BAY PACKERS,WISCONSIN,N/A
18,6535,GREEN BAY PACKERS,WISCONSIN,N/A
18,8164,GREEN BAY PACKERS,WISCONSIN,N/A
18,6324,GREEN BAY PACKERS,WISCONSIN,N/A
20,6331,GREEN BAY PACKERS,WISCONSIN,N/A
18,8149,GREEN BAY PACKERS,WISCONSIN,N/A
34,6351,HAMPTON,WASHINGTON COMMANDRS,N/A
1,4755,HAWAII,N/A,N/A
1,6410,HAWAII,N/A,N/A
15,4702,HOUSTON,HOUSTON TEXANS,N/A
15,4764,HOUSTON TEXANS,N/A,N/A
13,6367,HOUSTON TEXANS,N/A,N/A
15,8275,HOUSTON TEXANS,TEXAS A&M,N/A
15,8281,HOUSTON TEXANS,TEXAS SOUTHERN,N/A
15,8244,HOUSTON TEXANS,N/A,N/A
15,8246,HOUSTON TEXANS,N/A,N/A
13,6421,HOUSTON TEXANS,PRAIRIE VIEW A&M,N/A
15,4843,HOUSTON TEXANS,HOUSTON,N/A
13,8245,HOUSTON TEXANS,N/A,N/A
15,4763,HOUSTON TEXANS,N/A,N/A
15,6867,HOUSTON TEXANS,N/A,N/A
15,8190,HOUSTON TEXANS,N/A,N/A
15,4712,HOUSTON TEXANS,TEXAS SOUTHERN,N/A
38,6434,HOWARD,BOWIE STATE,N/A
38,6653,HOWARD,BALTIMORE RAVENS,N/A
21,8197,ILLINOIS,CHICAGO BEARS,N/A
22,8123,INDIANA,KENTUCKY,N/A
21,6437,INDIANA,INDIANAPOLIS COLTS,N/A
21,6325,INDIANAPOLIS COLTS,N/A,CENTER GROVE SCHOOL CORPORATION
21,8168,INDIANAPOLIS COLTS,INDIANA,N/A
22,4851,INDIANAPOLIS COLTS,INDIANA,N/A
21,8135,INDIANAPOLIS COLTS,INDIANA,N/A
21,6304,INDIANAPOLIS COLTS,N/A,N/A
21,4926,INDIANAPOLIS COLTS,N/A,N/A
25,6313,INDIANAPOLIS COLTS,NOTRE DAME,N/A
22,8111,INDIANAPOLIS COLTS,KENTUCKY STATE,N/A
8,8238,IOWA,CHICAGO BEARS,N/A
8,6344,IOWA,IOWA STATE,N/A
8,6979,IOWA,IOWA STATE,N/A
8,4973,IOWA,KANSAS CITY CHIEFS,N/A
8,6472,IOWA,KANSAS CITY CHIEFS,N/A
8,8162,IOWA,KANSAS CITY CHIEFS,N/A
17,4790,JACKSON STATE,MISSISSIPPI STATE,N/A
29,6363,JACKSONVILLE JAGUARS,FLORIDA,N/A
29,8116,JACKSONVILLE JAGUARS,FLORIDA STATE,ED WATERS UNIVERSITY
36,8138,JACKSONVILLE JAGUARS,BETHUNE-COOKMAN,N/A
32,8141,JACKSONVILLE JAGUARS,CENTRAL FLORIDA,N/A
30,6540,JOHNSON C SMITH,CAROLINA PANTHERS,N/A
19,8182,KANSAS CITY CHIEFS,MIZZOU,N/A
19,6479,KANSAS CITY CHIEFS,N/A,N/A
19,8205,KANSAS CITY CHIEFS,MIZZOU,N/A
19,4741,KANSAS CITY CHIEFS,MIZZOU,N/A
19,4875,KANSAS CITY CHIEFS,MIZZOU,N/A
9,8254,KANSAS CITY CHIEFS,OKLAHOMA,N/A
24,4871,KANSAS CITY CHIEFS,N/A,N/A
9,8208,KANSAS CITY CHIEFS,KANSAS,KANSAS STATE
9,8176,KANSAS CITY CHIEFS,KANSAS,KANSAS STATE
8,6432,KANSAS CITY CHIEFS,N/A,N/A
19,6474,KANSAS CITY CHIEFS,MIZZOU,N/A
19,8251,KANSAS CITY CHIEFS,MIZZOU,N/A
9,8163,KANSAS CITY CHIEFS,MIZZOU,N/A
19,6252,KANSAS CITY CHIEFS,MIZZOU,N/A
9,6275,KANSAS CITY CHIEFS,WICHITA STATE,N/A
9,6426,KANSAS CITY CHIEFS,N/A,N/A
8,6568,KANSAS CITY CHIEFS,N/A,N/A
10,4731,KANSAS CITY CHIEFS,OKLAHOMA STATE,N/A
9,4791,KANSAS CITY CHIEFS,N/A,N/A
16,4985,KANSAS CITY CHIEFS,MIZZOU,N/A
9,6418,KANSAS CITY CHIEFS,WICHITA STATE,N/A
19,8125,KANSAS CITY CHIEFS,N/A,N/A
16,6415,KANSAS CITY CHIEFS,KANSAS,JOPLIN HIGH SCHOOL
9,4920,KANSAS CITY CHIEFS,MIZZOU,N/A
9,8207,KANSAS CITY CHIEFS,MIZZOU,N/A
9,8293,KANSAS CITY CHIEFS,MIZZOU,N/A
9,6247,KANSAS CITY CHIEFS,MIZZOU,N/A
9,4870,KANSAS CITY CHIEFS,KANSAS,N/A
9,8243,KANSAS CITY CHIEFS,MIZZOU,N/A
9,4707,KANSAS CITY CHIEFS,KANSAS,N/A
9,6505,KANSAS CITY CHIEFS,MIZZOU,N/A
16,8296,KANSAS CITY CHIEFS,MIZZOU,N/A
22,4728,KENTUCKY,CINCINNATI BENGALS,N/A
22,4992,KENTUCKY,CINCINNATI BENGALS,N/A
22,4908,KENTUCKY,CINCINNATI BENGALS,OWENSBORO HIGH SCHOOL
19,6449,KENTUCKY,N/A,N/A
22,8188,KENTUCKY,CINCINNATI BENGALS,KENTUCKY STATE
2,4822,LOS ANGELES CHARGERS,USC TROJANS,N/A
2,6235,LOS ANGELES CHARGERS,N/A,N/A
2,6615,LOS ANGELES RAMS,USC TROJANS,N/A
1,4824,LOS ANGELES RAMS,UCLA,N/A
2,6626,LOS ANGELES RAMS,UCLA,N/A
2,6610,LAS VEGAS RAIDERS,N/A,N/A
4,4983,LAS VEGAS RAIDERS,UNLV,N/A
2,6628,LAS VEGAS RAIDERS,UCLA,N/A
3,6684,LAS VEGAS RAIDERS,UTAH,N/A
2,4735,LAS VEGAS RAIDERS,CAL STATE FULLERTON,N/A
2,6616,LAS VEGAS RAIDERS,UCLA,N/A
2,6619,LAS VEGAS RAIDERS,USC TROJANS,N/A
4,8177,LAS VEGAS RAIDERS,UNLV,N/A
4,6382,LAS VEGAS RAIDERS,UNLV,N/A
4,6257,LAS VEGAS RAIDERS,UNLV,N/A
4,4974,LAS VEGAS RAIDERS,UNLV,N/A
2,6613,LAS VEGAS RAIDERS,LOS ANGELES RAMS,N/A
2,6240,LAS VEGAS RAIDERS,LOS ANGELES RAMS,N/A
2,6614,LAS VEGAS RAIDERS,LOS ANGELES RAMS,N/A
2,6609,LAS VEGAS RAIDERS,UCLA,N/A
2,6617,LAS VEGAS RAIDERS,LOS ANGELES RAMS,N/A
1,6622,LAS VEGAS RAIDERS,N/A,N/A
4,6261,LAS VEGAS RAIDERS,UNLV,N/A
1,6455,LAS VEGAS RAIDERS,UCLA,N/A
2,6378,LAS VEGAS RAIDERS,LOS ANGELES RAMS,N/A
2,6624,LAS VEGAS RAIDERS,UCLA,N/A
4,4915,LAS VEGAS RAIDERS,N/A,N/A
34,6458,LIBERTY,WASHINGTON COMMANDRS,BROOKVILLE HIGH SCHOOL
22,8276,LOUISVILLE,KENTUCKY,N/A
15,8265,LSU,MCNEESE STATE,N/A
17,8181,LSU,NEW ORLEANS SAINTS,N/A
17,8273,LSU,NEW ORLEANS SAINTS,N/A
17,6521,LSU,NEW ORLEANS SAINTS,N/A
17,4874,LSU,NEW ORLEANS SAINTS,COVINGTON HIGH SCHOOL
17,4109,LSU,NEW ORLEANS SAINTS,N/A
17,6220,LSU,NEW ORLEANS SAINTS,N/A
17,4837,LSU,SOUTHERN,N/A
40,6333,MAINE,NEW ENGLAND PATRIOTS,N/A
27,8152,MARSHALL ,OHIO STATE,N/A
38,6652,Maryland,BALTIMORE RAVENS,N/A
32,6217,MIAMI,MIAMI DOLPHINS,N/A
32,6637,MIAMI DOLPHINS,MIAMI,N/A
32,8173,MIAMI DOLPHINS,FLORIDA MEMORIAL,N/A
32,4972,MIAMI DOLPHINS,MIAMI,N/A
32,6341,MIAMI DOLPHINS,N/A,N/A
32,8130,MIAMI DOLPHINS,MIAMI,N/A
32,6364,MIAMI DOLPHINS,MIAMI,N/A
32,8150,MIAMI DOLPHINS,MIAMI,FLORIDA A&M
32,4857,MIAMI DOLPHINS,JACKSONVILLE JAGUARS,N/A
26,6412,MICHIGAN ,MICHIGAN STATE ,DETROIT LIONS
25,6661,MICHIGAN ,DETROIT LIONS,N/A
26,6666,MICHIGAN ,DETROIT LIONS,N/A
25,6429,MICHIGAN ,MICHIGAN STATE ,HARPER CREEK COMMUNITY HIGH SCHOOL
25,8291,MICHIGAN ,MICHIGAN STATE ,N/A
26,6660,MICHIGAN ,DETROIT LIONS,PORT HURON HIGH SCHOOL
26,6657,MICHIGAN ,MICHIGAN STATE ,DETROIT LIONS
25,6658,MICHIGAN ,MICHIGAN STATE ,N/A
25,6359,MICHIGAN ,MICHIGAN STATE ,N/A
25,6417,MICHIGAN ,DETROIT LIONS,N/A
26,6667,MICHIGAN ,EASTERN MICHIGAN,N/A
25,6663,MICHIGAN ,DETROIT LIONS,N/A
26,6664,MICHIGAN ,DETROIT LIONS,N/A
25,4944,MICHIGAN ,MICHIGAN STATE ,GRAND BLANC HIGH SCHOOL
25,4781,MICHIGAN STATE ,DETROIT LIONS,N/A
26,6454,MICHIGAN STATE ,DETROIT LIONS,N/A
25,6319,MICHIGAN STATE ,DETROIT LIONS,N/A
18,6309,MINNESOTA,MINNESOTA VIKINGS,WHITE BEAR LAKE AREA HIGH SCHOOL
18,4736,MINNESOTA,MINNESOTA VIKINGS,N/A
18,6311,MINNESOTA VIKINGS,N/A,N/A
18,6312,MINNESOTA VIKINGS,MINNESOTA,N/A
8,6427,MINNESOTA VIKINGS,MINNESOTA,N/A
7,4933,MINNESOTA VIKINGS,N DAKOTA STATE,N/A
18,6254,MINNESOTA VIKINGS,MINNESOTA,N/A
18,4787,MINNESOTA VIKINGS,MINNESOTA,N/A
18,4738,MINNESOTA VIKINGS,MINNESOTA,N/A
8,6514,MINNESOTA VIKINGS,N/A,N/A
18,6310,MINNESOTA VIKINGS,MINNESOTA,N/A
8,6510,MINNESOTA VIKINGS,MINNESOTA,N/A
18,8183,MINNESOTA VIKINGS,MINNESOTA,N/A
7,6320,MINNESOTA VIKINGS,MINNESOTA,N/A
7,6565,MINNESOTA VIKINGS,DENVER BRONCOS,N/A
23,6329,MISSISSIPPI STATE,OLE MISS,N/A
3,4805,MONTANA,N/A,N/A
3,6379,MONTANA STATE,MONTANA,N/A
38,6357,NAVAL ACADEMY,MARYLAND,N/A
35,6570,N CAROLINA CENTRAL,N CAROLINA A&T STATE,N/A
35,4831,N CAROLINA CENTRAL,N CAROLINA,N/A
35,6976,N CAROLINA STATE,DUKE,N CAROLINA CENTRAL
35,8223,N CAROLINA STATE,ST AUGUSTINE,N CAROLINA A&T STATE
8,8146,NEBRASKA,CREIGHTON,N/A
8,4873,NEBRASKA,N/A,N/A
8,6181,NEBRASKA,N/A,N/A
8,6413,NEBRASKA,N/A,N/A
8,6461,NEBRASKA,N/A,N/A
1,4768,NEVADA,LAS VEGAS RAIDERS,N/A
40,6386,NEW ENGLAND PATRIOTS,N/A,N/A
40,6352,NEW ENGLAND PATRIOTS,N/A,N/A
40,8186,NEW ENGLAND PATRIOTS,MAINE,N/A
40,6462,NEW ENGLAND PATRIOTS,N/A,N/A
6,4961,NEW MEXICO,N/A,N/A
6,4938,NEW MEXICO,DENVER BRONCOS,N/A
6,4703,NEW MEXICO,DALLAS COWBOYS,N/A
6,6408,NEW MEXICO,N/A,N/A
6,6672,NEW MEXICO,N/A,N/A
6,4784,NEW MEXICO STATE,N/A,N/A
17,8261,NEW ORLEANS SAINTS,LSU,N/A
17,8114,NEW ORLEANS SAINTS,N/A,ACADIANA HIGH SCHOOL
24,8236,NEW ORLEANS SAINTS,LSU,N/A
17,8221,NEW ORLEANS SAINTS,XAVIER,SOUTHERN
17,4775,NEW ORLEANS SAINTS,XAVIER,N/A
40,6369,NEW YORK GIANTS,N/A,N/A
40,4774,NEW YORK GIANTS,N/A,N/A
37,6201,NEW YORK GIANTS,N/A,N/A
40,6356,NEW YORK GIANTS,N/A,N/A
40,6423,NEW YORK GIANTS,N/A,N/A
37,6456,NEW YORK GIANTS,NEW YORK JETS,N/A
40,6428,NEW YORK JETS,N/A,N/A
37,6440,NEW YORK JETS,N/A,SHAKER HIGH SCHOOL
34,6368,NORFOLK STATE,ELIZABETH CITY STATE,N/A
34,4711,NORFOLK STATE,HAMPTON,ELIZABETH CITY STATE
30,6355,N CAROLINA,CAROLINA PANTHERS,N/A
30,6452,N CAROLINA,CAROLINA PANTHERS,N/A
30,4917,N CAROLINA,CAROLINA PANTHERS,N/A
34,6402,N CAROLINA A&T STATE,BENNETT,WINSTON-SALEM STATE
7,6385,N DAKOTA,MINNESOTA VIKINGS,N/A
7,8172,N DAKOTA STATE,MINNESOTA VIKINGS,N/A
25,6315,NOTRE DAME,MICHIGAN,N/A
33,6317,OHIO STATE,CLEVELAND BROWNS,N/A
22,6517,OHIO STATE,CENTRAL STATE,N/A
33,6327,OHIO STATE,CLEVELAND BROWNS,N/A
27,6407,OHIO STATE,CLEVELAND BROWNS,MANSFIELD SENIOR HIGH SCHOOL
27,4947,OHIO STATE,CLEVELAND BROWNS,N/A
33,6404,OHIO STATE,CLEVELAND BROWNS,N/A
26,8139,OHIO STATE,TOLEDO,N/A
27,4963,OHIO STATE,CLEVELAND BROWNS,N/A
27,6307,OHIO STATE,CLEVELAND BROWNS,N/A
27,6556,OHIO STATE,W VIRGINIA,N/A
33,6322,OHIO STATE,PITTSBURGH STEELERS,N/A
26,4962,OHIO STATE,CLEVELAND BROWNS,SANDUSKY HIGH SCHOOL
27,6375,OHIO STATE,CLEVELAND BROWNS,N/A
27,6242,OHIO STATE,CLEVELAND BROWNS,N/A
27,6308,OHIO STATE,CLEVELAND BROWNS,N/A
27,6326,OHIO STATE,CLEVELAND BROWNS,REYNOLDSBURG HIGH SCHOOL
22,6380,OHIO STATE,CENTRAL STATE,N/A
10,6267,OKLAHOMA STATE,KANSAS CITY CHIEFS,LANGSTON
10,4839,OKLAHOMA STATE,OKLAHOMA,N/A
10,6238,OKLAHOMA STATE,KANSAS CITY CHIEFS,N/A
10,8117,OKLAHOMA,KANSAS CITY CHIEFS,N/A
10,8241,OKLAHOMA,KANSAS CITY CHIEFS,N/A
10,8263,OKLAHOMA,KANSAS CITY CHIEFS,N/A
10,6342,OKLAHOMA,KANSAS CITY CHIEFS,N/A
10,7189,OKLAHOMA,KANSAS CITY CHIEFS,N/A
10,6779,OKLAHOMA,KANSAS CITY CHIEFS,MOORE HIGH SCHOOL
10,8239,OKLAHOMA,OKLAHOMA STATE,N/A
10,8289,OKLAHOMA,N/A,N/A
10,4761,OKLAHOMA,KANSAS CITY CHIEFS,N/A
23,4740,OLE MISS,MISSISSIPPI STATE,N/A
37,6460,PENN STATE,PITTSBURGH STEELERS,N/A
37,6675,PENN STATE,PITTSBURGH STEELERS,N/A
39,8160,PENN STATE,PHILADELPHIA EAGLES,N/A
37,6533,PENN STATE,PITTSBURGH STEELERS,N/A
40,8191,PENN STATE,PITTSBURGH STEELERS,N/A
