Market,Region,Store Number,Percentage
94,3,857,68.49%
94,3,860,97.37%
94,3,1079,78.81%
94,3,1182,77.93%
94,3,1391,43.27%
94,3,3207,91.73%
94,3,3310,30.05%
95,3,959,125.00%
95,3,1029,34.69%
95,3,1104,69.40%
95,3,1213,28.22%
95,3,2843,68.48%
95,3,3526,74.34%
95,3,4262,58.57%
95,3,5772,69.18%
98,3,928,36.63%
98,3,977,44.44%
98,3,1082,58.03%
98,3,1172,51.89%
98,3,1173,51.41%
98,3,1444,108.79%
98,3,3309,92.61%
98,3,3702,55.31%
98,3,4444,67.49%
98,3,5037,77.24%
98,3,5054,37.96%
101,3,767,100.45%
101,3,1083,76.46%
101,3,1090,48.45%
101,3,1205,53.91%
101,3,1219,38.98%
101,3,1225,59.25%
101,3,2626,84.06%
101,3,2920,35.12%
101,3,3308,66.87%
101,3,6978,63.52%
104,3,967,30.22%
104,3,988,68.32%
104,3,994,69.03%
104,3,1085,43.97%
104,3,2740,60.07%
104,3,3415,65.66%
104,3,3418,78.38%
104,3,5266,42.88%
111,3,1390,113.24%
111,3,1513,52.62%
111,3,1536,89.12%
111,3,1712,68.77%
111,3,2081,113.16%
111,3,2796,72.93%
111,3,3372,63.82%
111,3,4690,49.73%
111,3,5218,68.75%
112,3,925,36.61%
112,3,1482,47.66%
112,3,1501,13.13%
112,3,1960,41.08%
112,3,2627,44.01%
112,3,3197,40.18%
112,3,4681,61.38%
112,3,5036,48.32%
112,3,5220,103.43%
112,3,5964,96.60%
114,3,547,99.57%
114,3,779,61.58%
114,3,941,60.83%
114,3,1203,36.92%
114,3,1245,78.13%
114,3,2387,62.47%
114,3,3463,86.98%
114,3,5300,100.58%
Region Total,3,,70.16%
29,4,605,113.06%
29,4,606,122.11%
29,4,635,86.59%
29,4,728,46.75%
29,4,1011,125.00%
29,4,2832,91.87%
29,4,2860,125.00%
29,4,4556,47.74%
29,4,6395,104.86%
33,4,628,101.16%
33,4,795,37.95%
33,4,1037,125.00%
33,4,1358,71.98%
33,4,1383,125.00%
33,4,1748,81.84%
33,4,2348,125.00%
33,4,7181,106.76%
35,4,631,114.69%
35,4,640,117.97%
35,4,641,98.87%
35,4,1123,125.00%
35,4,1244,101.80%
35,4,2265,125.00%
35,4,2687,118.81%
35,4,3191,88.86%
35,4,3192,77.49%
35,4,3222,47.96%
35,4,4583,77.73%
35,4,5487,72.94%
36,4,625,75.19%
36,4,632,125.00%
36,4,1017,88.43%
36,4,1146,104.94%
36,4,1359,125.00%
36,4,2928,125.00%
36,4,3367,125.00%
36,4,4384,125.00%
37,4,574,47.14%
37,4,586,83.47%
37,4,643,37.91%
37,4,1767,51.92%
37,4,2712,39.90%
37,4,4664,69.85%
37,4,5087,49.36%
37,4,5705,75.34%
38,4,511,67.89%
38,4,621,50.82%
38,4,627,100.16%
38,4,630,33.84%
38,4,634,125.00%
38,4,642,67.26%
38,4,1135,83.15%
38,4,1829,58.37%
38,4,2703,58.21%
38,4,4457,36.09%
38,4,7188,48.22%
39,4,396,125.00%
39,4,514,41.92%
39,4,624,42.70%
39,4,629,78.23%
39,4,644,70.79%
39,4,1130,46.55%
39,4,1270,123.12%
39,4,1382,98.76%
39,4,1603,101.83%
39,4,4487,98.66%
39,4,6576,92.48%
39,4,6887,62.62%
41,4,616,114.40%
41,4,881,80.18%
41,4,1164,125.00%
41,4,1183,94.33%
41,4,1286,118.49%
41,4,1339,105.92%
41,4,2214,84.94%
41,4,4420,114.06%
41,4,4440,87.71%
41,4,4506,82.44%
41,4,4521,65.84%
42,4,585,59.05%
42,4,638,110.93%
42,4,1030,54.22%
42,4,1035,95.78%
42,4,1144,48.31%
42,4,1281,62.47%
42,4,2806,101.16%
42,4,3733,119.10%
42,4,4237,125.00%
42,4,4593,79.04%
294,4,1036,42.41%
294,4,1179,119.04%
294,4,1217,53.21%
294,4,1242,42.01%
294,4,1317,85.78%
294,4,1663,58.77%
294,4,1795,39.08%
294,4,2440,81.84%
294,4,4334,124.33%
294,4,4428,88.40%
300,4,1166,74.98%
300,4,1268,50.35%
300,4,1348,125.00%
300,4,1352,93.40%
300,4,1392,125.00%
300,4,2580,63.31%
300,4,2772,73.03%
300,4,4065,118.65%
300,4,4273,83.07%
300,4,7243,84.70%
310,4,1155,66.44%
310,4,1238,91.34%
310,4,1261,71.69%
310,4,1312,48.15%
310,4,1774,60.42%
310,4,2929,60.38%
310,4,3595,94.53%
310,4,5489,42.67%
310,4,5787,84.97%
310,4,6879,65.67%
310,4,6958,73.59%
Region Total,4,,84.83%
44,5,1455,88.77%
44,5,1801,82.37%
44,5,2978,68.25%
44,5,3284,125.00%
44,5,3285,50.63%
44,5,3631,112.81%
44,5,4279,78.04%
44,5,4503,75.95%
44,5,5147,125.00%
45,5,251,87.41%
45,5,265,51.24%
45,5,412,95.16%
45,5,516,103.05%
45,5,827,47.90%
45,5,1022,75.92%
45,5,1044,79.08%
45,5,2688,62.45%
45,5,3764,61.48%
45,5,6467,87.71%
48,5,220,68.04%
48,5,228,64.50%
48,5,353,42.42%
48,5,371,74.53%
48,5,590,56.21%
48,5,804,60.86%
48,5,963,50.50%
48,5,3431,90.45%
48,5,4509,46.86%
48,5,5359,78.68%
49,5,284,76.49%
49,5,471,118.71%
49,5,896,63.64%
49,5,3014,100.06%
49,5,3432,90.19%
49,5,3433,61.04%
49,5,5288,90.80%
49,5,5810,108.88%
50,5,266,121.92%
50,5,807,77.09%
50,5,880,125.00%
50,5,1178,78.64%
50,5,2649,111.18%
50,5,2834,82.68%
50,5,3044,69.37%
50,5,3274,78.44%
50,5,5080,78.06%
50,5,5416,99.61%
51,5,202,104.82%
51,5,1117,95.85%
51,5,2918,36.71%
51,5,2973,73.44%
51,5,3406,105.47%
51,5,3482,70.98%
51,5,5210,88.15%
51,5,5672,69.59%
51,5,5673,87.60%
52,5,206,93.74%
52,5,467,111.88%
52,5,3286,81.58%
52,5,4627,96.36%
52,5,5211,125.00%
52,5,5311,73.80%
52,5,5707,125.00%
52,5,6963,103.35%
53,5,217,39.82%
53,5,426,125.00%
53,5,1216,44.48%
53,5,2105,57.88%
53,5,2427,60.78%
53,5,2996,75.26%
53,5,4240,62.62%
53,5,5092,55.01%
53,5,5889,34.90%
55,5,260,73.34%
55,5,286,66.59%
55,5,565,120.98%
55,5,1118,100.31%
55,5,2667,61.47%
55,5,4164,56.52%
55,5,4215,99.49%
55,5,5191,125.00%
56,5,2086,95.94%
56,5,2463,42.13%
56,5,2883,71.42%
56,5,2926,39.99%
56,5,3777,113.43%
56,5,5866,90.76%
56,5,6300,125.00%
56,5,7178,89.71%
76,5,211,58.11%
76,5,248,88.20%
76,5,320,31.59%
76,5,561,52.11%
76,5,610,68.25%
76,5,746,98.13%
76,5,939,53.66%
76,5,1254,53.69%
76,5,5389,38.38%
76,5,6929,43.25%
76,5,7156,66.48%
479,5,421,68.34%
479,5,940,79.36%
479,5,972,64.11%
479,5,2980,40.14%
479,5,3773,70.84%
479,5,4165,35.43%
479,5,5247,96.69%
479,5,5312,56.23%
479,5,5316,80.42%
479,5,5764,75.64%
583,5,259,75.63%
583,5,789,53.35%
583,5,1055,39.15%
583,5,1800,58.47%
583,5,3224,63.99%
583,5,3225,23.88%
583,5,5823,110.67%
583,5,5987,55.39%
583,5,8930,84.62%
Region Total,5,,77.13%
59,6,297,55.21%
59,6,744,73.05%
59,6,849,101.62%
59,6,1103,87.66%
59,6,1279,94.89%
59,6,1837,88.11%
59,6,4298,90.06%
59,6,6579,65.67%
60,6,194,61.59%
60,6,522,55.18%
60,6,1137,49.62%
60,6,1186,50.81%
60,6,2439,70.41%
60,6,3298,39.36%
60,6,3500,33.01%
60,6,5116,68.74%
61,6,462,42.44%
61,6,482,0.00%
61,6,504,45.63%
61,6,527,103.31%
61,6,529,62.87%
61,6,808,73.23%
61,6,1405,42.56%
61,6,5388,84.48%
62,6,546,82.10%
62,6,872,64.13%
62,6,915,73.14%
62,6,2505,89.73%
62,6,2993,64.63%
62,6,3510,62.53%
62,6,3572,63.27%
62,6,5449,28.26%
63,6,752,44.53%
63,6,1062,61.51%
63,6,2724,38.39%
63,6,3425,39.76%
63,6,4526,82.65%
63,6,5612,32.24%
63,6,5959,63.76%
64,6,772,49.02%
64,6,2066,100.18%
64,6,2718,77.95%
64,6,3296,62.87%
64,6,3302,61.71%
64,6,3584,62.23%
64,6,3827,56.26%
65,6,344,17.99%
65,6,768,37.21%
65,6,1040,50.90%
65,6,1409,53.50%
65,6,3226,50.65%
65,6,3640,68.32%
65,6,4111,47.29%
65,6,4512,63.37%
65,6,5246,79.20%
67,6,703,57.00%
67,6,2257,71.98%
67,6,3297,37.04%
67,6,4416,26.24%
67,6,4538,62.61%
67,6,5045,53.23%
67,6,5091,90.48%
67,6,6930,41.04%
78,6,440,90.78%
78,6,442,25.28%
78,6,458,83.56%
78,6,464,40.92%
78,6,470,53.81%
78,6,490,74.65%
78,6,791,17.19%
78,6,1494,40.61%
78,6,5460,100.91%
78,6,5898,52.39%
80,6,395,46.84%
80,6,397,48.06%
80,6,429,44.84%
80,6,452,31.17%
80,6,1958,32.59%
80,6,3320,37.74%
80,6,3567,22.15%
80,6,3886,38.64%
80,6,4508,26.27%
80,6,5165,26.94%
80,6,5809,39.92%
84,6,330,64.64%
84,6,385,72.03%
84,6,437,49.36%
84,6,463,29.48%
84,6,503,54.72%
84,6,524,27.63%
84,6,1067,57.49%
84,6,1098,39.21%
84,6,4194,73.22%
85,6,293,14.44%
85,6,321,50.42%
85,6,322,125.00%
85,6,446,0.00%
85,6,473,42.61%
85,6,567,14.29%
85,6,846,24.47%
85,6,951,47.66%
85,6,1042,102.18%
85,6,1150,48.44%
85,6,4183,125.00%
569,6,413,27.34%
569,6,456,46.41%
569,6,595,73.32%
569,6,1000,53.81%
569,6,1041,45.49%
569,6,1296,55.02%
569,6,2763,44.46%
569,6,2765,50.96%
569,6,4112,50.45%
569,6,5808,60.63%
Region Total,6,,55.74%
70,7,600,97.33%
70,7,755,103.87%
70,7,793,86.51%
70,7,812,77.17%
70,7,822,95.26%
70,7,900,85.01%
70,7,1516,49.99%
70,7,3383,75.12%
70,7,3384,67.03%
70,7,5216,72.15%
71,7,549,125.00%
71,7,821,104.42%
71,7,861,63.34%
71,7,927,88.83%
71,7,945,109.63%
71,7,1051,47.22%
71,7,2653,77.42%
71,7,3826,35.57%
71,7,4299,42.02%
71,7,6898,71.99%
73,7,513,56.24%
73,7,537,56.04%
73,7,608,42.46%
73,7,626,20.56%
73,7,897,39.28%
73,7,898,76.20%
73,7,2891,42.78%
73,7,3645,66.10%
74,7,438,34.38%
74,7,535,115.23%
74,7,536,76.55%
74,7,601,55.36%
74,7,1078,125.00%
74,7,1249,57.43%
74,7,1257,100.22%
74,7,1272,125.00%
74,7,3381,119.67%
74,7,7281,37.16%
77,7,290,28.39%
77,7,465,41.50%
77,7,478,23.58%
77,7,757,60.18%
77,7,901,64.42%
77,7,1313,55.32%
77,7,3112,55.33%
77,7,3279,62.46%
77,7,4103,93.29%
77,7,5144,45.91%
77,7,5245,74.68%
81,7,381,85.48%
81,7,407,55.89%
81,7,476,58.90%
81,7,781,96.81%
81,7,813,113.05%
81,7,917,125.00%
81,7,1073,92.03%
81,7,1232,68.41%
81,7,1303,58.22%
81,7,3319,109.79%
81,7,6286,57.41%
82,7,1129,81.76%
82,7,1253,70.60%
82,7,2133,125.00%
82,7,2991,84.12%
82,7,4130,73.03%
82,7,4163,65.89%
82,7,4219,77.95%
82,7,4554,75.10%
82,7,5317,125.00%
83,7,77,59.27%
83,7,280,60.21%
83,7,475,121.86%
83,7,1185,66.03%
83,7,3169,94.97%
83,7,3170,81.12%
83,7,3569,62.47%
83,7,5479,106.76%
83,7,5480,81.07%
86,7,999,20.56%
86,7,1235,33.68%
86,7,2239,83.98%
86,7,2599,56.82%
86,7,3058,60.79%
86,7,3106,55.19%
86,7,3888,72.99%
86,7,4102,62.25%
86,7,5145,75.60%
87,7,292,30.09%
87,7,404,73.61%
87,7,765,42.24%
87,7,865,67.95%
87,7,1347,83.59%
87,7,1803,32.18%
87,7,2404,73.67%
87,7,2769,71.29%
87,7,3391,49.42%
87,7,4055,43.78%
87,7,4115,50.56%
88,7,443,90.30%
88,7,447,36.38%
88,7,461,45.80%
88,7,554,13.54%
88,7,782,39.16%
88,7,1046,20.23%
88,7,3518,35.48%
88,7,3623,62.26%
88,7,5713,53.16%
505,7,500,54.68%
505,7,512,55.55%
505,7,964,37.49%
505,7,1015,35.31%
505,7,2201,45.37%
505,7,2612,46.75%
505,7,3136,47.46%
505,7,3763,82.18%
505,7,5717,49.19%
505,7,5947,54.59%
506,7,508,77.74%
506,7,1126,71.11%
506,7,1154,91.30%
506,7,1198,38.04%
506,7,2864,93.54%
506,7,3056,78.92%
506,7,3057,52.92%
506,7,3107,94.23%
506,7,4131,60.17%
506,7,4162,78.24%
506,7,5146,44.60%
Region Total,7,,67.85%
90,9,817,51.59%
90,9,908,41.55%
90,9,1086,54.81%
90,9,1220,44.94%
90,9,2881,57.36%
90,9,4332,46.67%
90,9,4365,55.44%
90,9,5214,68.56%
90,9,5250,43.40%
90,9,5420,59.54%
91,9,890,81.24%
91,9,943,81.01%
91,9,955,49.26%
91,9,1084,12.62%
91,9,1374,61.13%
91,9,3782,43.64%
91,9,4588,55.46%
91,9,5871,62.31%
91,9,5894,43.77%
92,9,174,68.52%
92,9,649,76.31%
92,9,771,90.39%
92,9,931,73.99%
92,9,956,68.51%
92,9,973,80.44%
92,9,974,65.84%
92,9,1068,36.42%
92,9,1702,97.61%
92,9,3538,81.52%
92,9,5455,60.09%
105,9,819,27.77%
105,9,987,43.83%
105,9,1119,16.83%
105,9,1957,69.45%
105,9,3417,62.16%
105,9,4063,69.85%
105,9,5034,63.84%
105,9,5055,65.05%
105,9,5347,94.61%
105,9,5391,44.69%
107,9,814,59.04%
107,9,929,68.68%
107,9,1087,116.25%
107,9,1436,68.99%
107,9,1541,69.76%
107,9,2176,93.47%
107,9,3348,81.10%
107,9,3527,73.84%
107,9,4260,66.11%
107,9,4446,86.73%
107,9,5301,48.42%
108,9,1387,36.73%
108,9,1398,32.72%
108,9,1517,39.16%
108,9,1589,52.64%
108,9,1916,60.45%
108,9,2789,25.11%
108,9,2962,56.99%
108,9,2963,84.33%
108,9,3858,40.79%
108,9,5882,68.25%
108,9,5911,125.00%
109,9,1349,51.51%
109,9,1845,39.05%
109,9,1851,29.57%
109,9,2151,88.26%
109,9,2591,99.25%
109,9,2946,24.58%
109,9,2987,64.56%
109,9,3625,33.18%
109,9,5325,86.32%
109,9,5932,35.12%
110,9,1680,24.78%
110,9,2091,48.23%
110,9,2727,51.48%
110,9,2814,64.78%
110,9,4161,55.66%
110,9,4303,59.67%
110,9,5671,68.19%
110,9,5854,48.41%
110,9,5912,47.82%
110,9,6397,98.68%
115,9,528,47.52%
115,9,769,64.55%
115,9,1004,72.65%
115,9,1171,54.08%
115,9,2459,74.26%
115,9,3370,87.09%
115,9,3474,66.16%
115,9,5264,48.79%
115,9,5727,62.02%
116,9,580,53.40%
116,9,666,55.77%
116,9,718,77.16%
116,9,725,46.54%
116,9,759,65.50%
116,9,859,79.38%
116,9,968,59.01%
116,9,3347,70.43%
116,9,3887,65.07%
116,9,5035,95.03%
118,9,623,45.43%
118,9,721,70.40%
118,9,778,64.62%
118,9,811,23.87%
118,9,1874,101.46%
118,9,2237,37.82%
118,9,2484,28.52%
118,9,3349,78.74%
118,9,3387,40.90%
118,9,6190,70.44%
553,9,1511,52.62%
553,9,1590,34.59%
553,9,1996,51.01%
553,9,3163,41.89%
553,9,3235,47.91%
553,9,3311,33.76%
553,9,3397,65.84%
Region Total,9,,60.00%
4,11,105,86.64%
4,11,114,70.88%
4,11,118,75.87%
4,11,153,107.85%
4,11,164,69.64%
4,11,176,18.31%
4,11,258,58.81%
4,11,273,119.57%
4,11,274,21.06%
4,11,303,35.61%
4,11,391,118.37%
11,11,287,91.53%
11,11,362,46.30%
11,11,425,64.19%
11,11,715,125.00%
11,11,731,54.36%
11,11,764,125.00%
11,11,1052,18.06%
11,11,2306,125.00%
136,11,155,70.83%
136,11,182,65.16%
136,11,347,64.69%
136,11,699,89.93%
136,11,707,55.76%
136,11,716,125.00%
136,11,1074,70.21%
136,11,1468,92.61%
136,11,1530,95.16%
137,11,394,49.54%
137,11,403,67.77%
137,11,409,59.74%
137,11,660,58.00%
137,11,661,100.66%
137,11,662,123.94%
137,11,766,80.12%
137,11,1100,38.23%
137,11,1124,86.86%
137,11,2690,105.05%
137,11,4187,68.62%
137,11,5703,63.01%
138,11,112,93.07%
138,11,115,64.65%
138,11,183,53.75%
138,11,205,53.40%
138,11,239,65.16%
138,11,305,101.62%
138,11,411,10.70%
138,11,495,125.00%
138,11,981,120.36%
138,11,1059,46.62%
138,11,1069,111.17%
138,11,1271,66.37%
140,11,365,125.00%
140,11,708,103.58%
140,11,875,58.33%
140,11,903,38.21%
140,11,1710,120.71%
140,11,2720,111.75%
140,11,2755,61.94%
140,11,2939,40.40%
140,11,3059,98.77%
140,11,3060,111.99%
140,11,6469,58.75%
144,11,175,125.00%
144,11,848,125.00%
144,11,1248,123.53%
144,11,2846,72.74%
144,11,5196,98.04%
144,11,5419,125.00%
144,11,6964,125.00%
145,11,94,42.50%
145,11,950,116.47%
145,11,1561,78.33%
145,11,2322,87.96%
145,11,4533,94.03%
145,11,6807,104.26%
146,11,64,125.00%
146,11,93,62.17%
146,11,97,67.37%
146,11,104,125.00%
146,11,106,125.00%
146,11,107,59.50%
146,11,120,62.33%
146,11,177,53.89%
146,11,335,101.56%
146,11,410,59.12%
146,11,675,60.33%
146,11,677,125.00%
147,11,161,70.27%
147,11,218,63.18%
147,11,238,79.29%
147,11,268,84.04%
147,11,393,85.73%
147,11,466,78.60%
147,11,683,65.35%
147,11,684,55.55%
147,11,738,40.09%
147,11,1115,113.48%
329,11,36,68.28%
329,11,45,66.11%
329,11,62,55.80%
329,11,68,85.66%
329,11,70,97.02%
329,11,74,105.28%
329,11,91,54.54%
329,11,128,125.00%
329,11,190,89.96%
329,11,229,41.27%
329,11,453,125.00%
Region Total,11,,81.63%
5,12,306,85.81%
5,12,314,77.43%
5,12,332,120.29%
5,12,375,125.00%
5,12,433,121.14%
5,12,434,107.79%
5,12,681,87.13%
5,12,712,74.53%
5,12,5197,59.96%
5,12,6878,84.49%
5,12,7324,83.17%
119,12,477,73.48%
119,12,619,78.97%
119,12,663,69.33%
119,12,698,54.40%
119,12,1469,105.60%
119,12,1606,110.94%
119,12,3659,108.45%
119,12,3835,56.71%
119,12,4226,55.70%
119,12,5251,116.44%
119,12,5263,67.29%
120,12,658,49.44%
120,12,669,39.23%
120,12,756,82.37%
120,12,1089,51.67%
120,12,1215,97.35%
120,12,1458,121.30%
120,12,2988,40.45%
120,12,3660,21.66%
120,12,5151,75.07%
120,12,5173,94.11%
121,12,366,63.80%
121,12,583,44.97%
121,12,587,75.36%
121,12,657,67.23%
121,12,676,59.74%
121,12,687,68.12%
121,12,741,94.67%
121,12,1194,79.46%
121,12,1467,35.26%
121,12,4166,90.48%
121,12,5175,54.48%
122,12,672,63.37%
122,12,1318,82.55%
122,12,1319,102.76%
122,12,1320,82.61%
122,12,1466,61.10%
122,12,2065,116.39%
122,12,2310,114.29%
122,12,2932,60.32%
122,12,4635,125.00%
123,12,578,56.50%
123,12,678,50.99%
123,12,680,90.99%
123,12,685,66.67%
123,12,724,72.77%
123,12,1159,95.49%
123,12,3234,65.09%
123,12,4223,62.15%
123,12,6370,100.06%
124,12,599,84.43%
124,12,620,80.17%
124,12,690,76.03%
124,12,742,49.94%
124,12,1080,69.60%
124,12,1694,42.19%
124,12,2496,71.59%
124,12,2749,64.31%
124,12,3289,52.38%
124,12,3829,87.62%
124,12,3852,103.79%
149,12,264,62.29%
149,12,304,43.88%
149,12,390,37.67%
149,12,673,102.69%
149,12,1075,38.06%
149,12,1226,125.00%
149,12,3137,103.11%
149,12,3495,76.62%
149,12,4435,125.00%
149,12,4483,57.19%
151,12,308,81.17%
151,12,406,52.12%
151,12,416,65.75%
151,12,656,74.40%
151,12,667,52.59%
151,12,668,60.63%
151,12,682,84.40%
151,12,735,91.19%
151,12,737,99.59%
151,12,2757,68.38%
151,12,5057,88.16%
152,12,568,69.38%
152,12,671,61.46%
152,12,674,81.36%
152,12,695,125.00%
152,12,710,61.15%
152,12,879,62.54%
152,12,1376,68.86%
152,12,4414,56.61%
152,12,4482,71.87%
153,12,192,103.78%
153,12,272,88.23%
153,12,659,93.38%
153,12,688,30.37%
153,12,3017,78.28%
153,12,3717,99.23%
153,12,5058,92.39%
153,12,5616,62.79%
153,12,7020,76.50%
Region Total,12,,77.07%
46,13,146,68.96%
46,13,165,46.46%
46,13,180,76.94%
46,13,345,55.49%
46,13,398,43.94%
46,13,399,81.93%
46,13,523,65.92%
46,13,572,52.41%
46,13,918,58.08%
46,13,3828,62.09%
66,13,283,19.48%
66,13,331,73.75%
66,13,383,69.98%
66,13,384,97.01%
66,13,408,73.25%
66,13,449,48.47%
66,13,457,80.42%
66,13,469,51.52%
66,13,521,122.59%
66,13,651,78.19%
66,13,777,63.63%
66,13,1204,107.94%
68,13,351,47.02%
68,13,400,79.61%
68,13,602,39.00%
68,13,3213,109.74%
68,13,3390,65.72%
68,13,3585,83.56%
68,13,3591,35.52%
68,13,5287,50.46%
125,13,553,118.23%
125,13,909,76.62%
125,13,912,98.05%
125,13,1163,125.00%
125,13,2665,76.88%
125,13,2706,68.28%
125,13,3167,105.85%
125,13,5022,125.00%
128,13,489,81.64%
128,13,541,125.00%
128,13,803,35.29%
128,13,911,86.65%
128,13,989,114.62%
128,13,1342,69.09%
128,13,1353,47.96%
128,13,3616,125.00%
128,13,4129,99.63%
129,13,311,57.81%
129,13,485,104.04%
129,13,502,90.45%
129,13,540,77.87%
129,13,542,56.50%
129,13,761,68.00%
129,13,961,65.97%
129,13,1016,99.83%
129,13,2913,116.41%
129,13,3483,93.69%
130,13,428,77.87%
130,13,532,96.79%
130,13,839,125.00%
130,13,935,96.46%
130,13,1102,125.00%
130,13,1206,125.00%
130,13,1266,57.72%
130,13,4683,97.36%
131,13,401,97.78%
131,13,1136,84.66%
131,13,1196,79.98%
131,13,2132,107.75%
131,13,2822,69.99%
131,13,3288,115.63%
131,13,4679,77.95%
131,13,5056,125.00%
132,13,309,34.16%
132,13,310,25.08%
132,13,386,67.29%
132,13,402,51.49%
132,13,415,42.54%
132,13,531,101.52%
132,13,533,61.92%
132,13,543,39.54%
132,13,2938,67.78%
132,13,7301,58.00%
134,13,75,125.00%
134,13,170,118.52%
134,13,312,46.05%
134,13,405,87.86%
134,13,498,65.81%
134,13,505,44.16%
134,13,539,125.00%
134,13,773,65.59%
134,13,1107,102.84%
134,13,1128,76.04%
134,13,4295,125.00%
141,13,501,86.17%
141,13,785,64.46%
141,13,816,64.71%
141,13,874,82.09%
141,13,887,109.67%
141,13,916,120.93%
141,13,954,71.96%
141,13,1025,71.06%
141,13,1106,67.28%
141,13,1168,35.69%
141,13,1192,125.00%
141,13,2717,108.06%
143,13,969,66.26%
143,13,970,50.89%
143,13,1066,43.68%
143,13,1088,73.46%
143,13,1195,74.67%
143,13,1260,53.08%
143,13,1346,122.35%
143,13,2715,84.56%
143,13,3528,63.95%
143,13,5079,44.21%
503,13,140,122.72%
503,13,163,96.80%
503,13,214,49.44%
503,13,236,39.28%
503,13,249,32.12%
503,13,275,62.83%
503,13,285,82.12%
503,13,288,40.19%
503,13,364,45.88%
Region Total,13,,78.12%
1,14,853,41.70%
1,14,866,93.95%
1,14,904,82.62%
1,14,934,125.00%
1,14,991,125.00%
1,14,1212,110.73%
1,14,2748,79.72%
1,14,4333,106.04%
1,14,4581,56.02%
1,14,5174,71.90%
1,14,6173,55.57%
2,14,562,81.90%
2,14,670,82.33%
2,14,762,104.04%
2,14,1158,57.05%
2,14,1711,125.00%
2,14,2723,82.83%
2,14,5113,120.19%
2,14,7280,110.32%
3,14,298,56.55%
3,14,300,29.73%
3,14,301,117.83%
3,14,315,75.52%
3,14,316,80.89%
3,14,691,112.42%
3,14,1201,125.00%
3,14,2713,97.35%
