Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
4504,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202222,84.64%,84.31%,13.1,89.10%,89.20%,74.30%,85.10%
5623,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,81.02%,82.69%,11.1,80.60%,79.60%,79.10%,85.20%
5740,SPARK,Scheduled Standard Delivery,22,Executive Review,Recovering,Store Focus,202222,89.34%,83.36%,13.3,93.00%,86.20%,88.70%,89.70%
5744,POINTPICKUP,Scheduled Standard Delivery,16,Executive Review,Degrading,Store Focus,202222,90.96%,81.50%,13.7,80.00%,90.00%,85.00%,96.30%
1801,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Store Focus,202222,84.70%,73.67%,18.9,90.60%,92.80%,72.00%,83.20%
5147,SPARK,Scheduled Standard Delivery,38,Executive Review,Recovering,Store Focus,202222,87.13%,88.63%,13.3,95.70%,89.60%,77.00%,86.30%
3764,UBER,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,69.61%,93.64%,12.3,75.80%,60.60%,68.40%,76.50%
471,SPARK,Scheduled Standard Delivery,21,Executive Review,Recovering,Store Focus,202222,83.29%,81.75%,17.1,95.40%,83.40%,70.40%,87.20%
3014,SPARK,Scheduled Standard Delivery,38,Executive Review,Recovering,Store Focus,202222,91.89%,97.07%,12.5,96.10%,94.60%,88.00%,88.70%
4503,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202222,83.67%,74.06%,19.1,93.00%,94.40%,48.90%,90.40%
5810,SPARK,Scheduled Standard Delivery,26,Executive Review,Recovering,Store Focus,202222,90.07%,95.28%,12.2,97.70%,91.60%,82.80%,88.70%
2649,SPARK,Scheduled Standard Delivery,11,Executive Review,Recovering,Store Focus,202222,86.70%,84.81%,16.7,90.40%,87.20%,82.80%,86.50%
2427,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202222,67.51%,70.62%,22.6,82.80%,71.70%,43.00%,72.10%
426,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,84.22%,72.48%,11.2,82.20%,84.60%,79.50%,90.40%
2105,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202222,87.11%,70.86%,20.8,91.50%,94.60%,79.20%,82.60%
5889,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Driver Supply Focus,202222,86.61%,93.82%,8.9,92.10%,86.30%,84.00%,84.10%
535,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202222,86.63%,67.78%,17.7,83.30%,88.90%,79.50%,89.80%
3381,POINTPICKUP,Scheduled Express Delivery ,4,At Risk,Recovering,Driver Supply Focus,202222,94.29%,94.37%,8.5,90.00%,95.70%,100.00%,87.50%
781,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,76.97%,81.40%,10.5,80.60%,84.60%,76.20%,68.80%
813,POINTPICKUP,Scheduled Express Delivery ,4,At Risk,Degrading,Store Focus,202222,78.85%,99.20%,9.1,81.50%,85.00%,80.60%,69.20%
1303,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,81.12%,73.07%,15,85.90%,82.10%,68.90%,84.30%
