Store Nbr,Store Name,Shipper vs Non Shipper
145,BOWLING GREEN MO,Shipper
146,GILMER TX,Shipper
147,DENISON TX,Shipper
148,PARIS TX,Shipper
149,"JONESBORO, LA",Shipper
150,WOODWARD OK,Shipper
151,MCALESTER OK,Shipper
152,DESOTO MO,Shipper
153,NEW ALBANY MS,Shipper
154,ABINGDON VA,Shipper
155,SENATOBIA MS,Shipper
157,SEARCY AR,Shipper
158,BONHAM TX,Shipper
159,COLUMBIA MO,Shipper
160,ASH FLAT AR,Shipper
161,HUNTINGDON TN,Shipper
162,"ANADARKO, OK",Shipper
163,NACOGDOCHES TX,Shipper
164,PONTOTOC MS,Shipper
165,HENDERSON TX,Shipper
166,HOUSTON MO,Shipper
167,CROSSETT AR,Shipper
168,OWASSO OK,Shipper
169,LONOKE AR,Shipper
170,NATCHITOCHES LA,Shipper
171,"CAMDEN, AR",Shipper
172,WASHINGTON MO,Shipper
173,POTOSI MO,Shipper
174,ROCKLEDGE FL,Shipper
175,COLLIERVILLE TN,Shipper
177,"PARIS, TN",Shipper
178,"ALVA, OK",Shipper
179,"SPRINGFIELD, MO",Shipper
180,JACKSONVILLE TX,Shipper
181,NEW BOSTON TX,Shipper
182,GREENVILLE MS,Shipper
183,LOUISVILLE MS,Shipper
184,BLUE SPRINGS MO,Shipper
185,GAINESVILLE TX,Shipper
186,EL DORADO KS,Shipper
188,CAPE GIRARDEAU MO,Shipper
189,KIRKSVILLE MO,Shipper
190,KENNETT MO,Shipper
192,COLUMBIA TN,Shipper
194,BAYTOWN TX,Shipper
195,EXCELSIOR SPRINGS MO,Shipper
196,CARBONDALE IL,Shipper
197,MACOMB IL,Shipper
198,SALEM IL,Shipper
199,LINCOLN IL,Shipper
200,JACKSONVILLE IL,Shipper
201,BELLEVILLE IL,Shipper
202,FRISCO CUSTER & 121 TX,Shipper
203,BROOKFIELD MO,Shipper
204,PRINCETON KY,Shipper
205,PHILADELPHIA MS,Shipper
206,MCKINNEY TX,Shipper
207,CLEVELAND OK,Shipper
211,HILLSBORO TX,Shipper
212,NORMAN OK,Shipper
213,LITCHFIELD IL,Shipper
214,JASPER TX,Shipper
216,MARION IL,Shipper
217,LEWISVILLE TX,Shipper
218,SELMER TN,Shipper
219,SEDALIA MO,Shipper
220,BURLESON TX,Shipper
221,YUKON OK,Shipper
222,SPARTA IL,Shipper
224,"MT. VERNON, IL.",Shipper
225,SULPHUR OK.,Shipper
226,"ATLANTA, TX.",Shipper
227,EL RENO OK.,Shipper
228,CLEBURNE TX.,Shipper
229,TRUMANN AR.,Shipper
231,ADA OK.,Shipper
233,"ANNA, IL.",Shipper
234,"KANSAS CITY, MO.",Shipper
236,CROCKETT TX.,Shipper
237,HARRISBURG IL.,Shipper
238,PULASKI TN.,Shipper
239,"KOSCIUSKO, MS.",Shipper
240,COMMERCE TX.,Shipper
242,PAOLA KS.,Shipper
243,WENTZVILLE MO.,Shipper
244,WINNFIELD LA.,Shipper
246,SKIATOOK OK.,Shipper
248,MEXIA TX.,Shipper
249,CLEVELAND TX.,Shipper
250,WARSAW MO.,Shipper
251,MINEOLA TX.,Shipper
252,"DU QUOIN, IL.",Shipper
253,"JERSEYVILLE, IL.",Shipper
254,OLNEY IL.,Shipper
256,"GLEN CARBON, IL.",Shipper
257,MORGANFIELD KY.,Shipper
258,TUPELO MS.,Shipper
259,ROCKWALL TX.,Shipper
260,WAXAHACHIE TX.,Shipper
261,HOT SPRINGS AR.,Shipper
262,BENTON IL /WEST CITY.,Shipper
264,DICKSON TN,Shipper
265,"TERRELL, TX",Shipper
266,"SOUTHLAKE, TX",Shipper
267,WEBB CITY MO,Shipper
268,SAVANNAH TN,Shipper
269,"LAWTON, OK",Shipper
271,BOWIE TX,Shipper
272,FRANKLIN TN,Shipper
273,FULTON MS,Shipper
275,LIVINGSTON TX,Shipper
276,STIGLER OK,Shipper
277,MOORE OK,Shipper
278,SHREVEPORT LA,Shipper
279,DE QUEEN AR,Shipper
280,ROCKDALE TX,Shipper
281,HEBER SPRINGS AR.,Shipper
282,FRANKLIN KY,Shipper
284,MANSFIELD TX,Shipper
285,HUNTSVILLE TX,Shipper
286,ENNIS TX,Shipper
287,JASPER AL,Shipper
288,WOODVILLE TX,Shipper
290,GONZALES TX,Shipper
292,LOCKHART TX,Shipper
294,"CENTRAL CITY, KY",Shipper
295,EUREKA MO,Shipper
296,DARDANELLE AR,Shipper
297,PORTER TX,Shipper
298,BOAZ AL,Shipper
299,BOWLING GREEN KY,Shipper
300,JACKSONVILLE AL,Shipper
301,GADSDEN AL,Shipper
302,MURPHYSBORO IL,Shipper
303,HOLLY SPRINGS MS,Shipper
304,SPRINGFIELD TN,Shipper
305,CARTHAGE MS,Shipper
306,ARAB AL,Shipper
307,W MONROE LA,Shipper
308,MANCHESTER TN,Shipper
309,ABBEVILLE LA,Shipper
310,CROWLEY LA,Shipper
312,VILLE PLATTE LA,Shipper
313,HIGH RIDGE MO,Shipper
314,FAYETTEVILLE TN,Shipper
315,ONEONTA AL,Shipper
316,ATTALLA AL,Shipper
317,VANDALIA IL,Shipper
318,ARKADELPHIA AR,Shipper
319,"RAYMORE,MO",Shipper
321,BRENHAM TX,Shipper
322,BRYAN TX,Shipper
323,MANSFIELD LA,Shipper
324,BRISTOW OK,Shipper
325,RICHMOND MO,Shipper
328,"WATERLOO, IL",Shipper
329,ANNISTON AL,Shipper
330,VICTORIA TX,Shipper
331,SULPHUR LA,Shipper
332,HUNTSVILLE AL,Shipper
333,BEAVER DAM KY,Shipper
334,CARLINVILLE IL,Shipper
335,JACKSON TN,Shipper
336,SHERIDAN AR,Shipper
337,FREDERICKTOWN MO,Shipper
338,LAMAR MO,Shipper
340,CHECOTAH OK,Shipper
341,MARYSVILLE KS,Shipper
342,HIAWATHA KS,Shipper
343,TAYLORVILLE IL,Shipper
344,EL CAMPO TX,Shipper
345,PALESTINE TX,Shipper
346,AUGUSTA KS,Shipper
347,INDIANOLA MS,Shipper
348,MONTICELLO AR,Shipper
350,YORK NE,Shipper
351,TOMBALL TX,Shipper
353,GRAHAM TX,Shipper
354,OWENSVILLE MO,Shipper
355,OPELIKA AL,Shipper
356,AUBURN AL,Shipper
357,VERSAILLES MO,Shipper
358,ALMA AR,Shipper
359,"FAYETTEVILLE, AR",Shipper
360,CUSHING OK,Shipper
361,COLLINSVILLE IL,Shipper
362,WINFIELD AL,Shipper
363,"MARSHALL, MO",Shipper
364,CENTER TX,Shipper
365,"PEARL, MS",Shipper
366,MADISONVILLE TN,Shipper
368,"PARSONS, KS",Shipper
369,WINFIELD KS,Shipper
370,WELLINGTON KS,Shipper
371,GRANBURY TX,Shipper
372,DODGE CITY KS,Shipper
374,COWETA OK,Shipper
375,HUNTSVILLE AL,Shipper
376,"BOSSIER CITY, LA",Shipper
379,OZARK MO,Shipper
381,COPPERAS COVE TX,Shipper
382,OTTAWA KS,Shipper
383,SILSBEE TX,Shipper
384,LUMBERTON TX,Shipper
386,JENNINGS LA,Shipper
387,CHANDLER OK,Shipper
388,FT SMITH AR,Shipper
389,EDMOND OK,Shipper
390,WAVERLY TN,Shipper
391,TUPELO MS,Shipper
392,WEATHERFORD OK,Shipper
393,JACKSON TN/BEMIS,Shipper
394,MOULTON AL,Shipper
395,MISSION TX,Shipper
396,ANDERSON SC,Shipper
397,"MCALLEN, TX",Shipper
398,LONGVIEW TX,Shipper
399,LONGVIEW TX,Shipper
400,CONROE TX,Shipper
401,PLAQUEMINE LA,Shipper
402,BREAUX BRIDGE LA,Shipper
403,RUSSELVILLE AL,Shipper
404,SAN MARCOS TX,Shipper
405,LEESVILLE LA,Shipper
406,"SMYRNA, TN",Shipper
407,KILLEEN TX,Shipper
408,"PORT ARTHUR, TX",Shipper
409,HALEYVILLE AL,Shipper
410,MURRAY KY,Shipper
412,ATHENS TX,Shipper
413,PORT ISABEL TX,Shipper
414,WICHITA FALLS TX,Shipper
415,ST MARTINVILLE LA,Shipper
416,MURFREESBORO S TN,Shipper
417,SULPHUR SPRINGS TX,Shipper
418,FAIRBURY NE,Shipper
419,PRATT KS,Shipper
420,"WICHITA FALLS (N), TX",Shipper
421,DECATUR TX,Shipper
422,ROBINSON IL,Shipper
423,PELHAM AL,Shipper
424,CLANTON AL,Shipper
425,"BRENT, AL",Shipper
426,THE COLONY TX,Shipper
427,GREENVILLE TX,Shipper
428,ZACHARY LA,Shipper
429,EDINBURG TX,Shipper
430,MAYFIELD KY,Shipper
431,PADUCAH KY,Shipper
432,TALLADEGA AL,Shipper
433,"HUNTSVILLE (N), AL",Shipper
434,"HUNTSVILLE, AL",Shipper
435,HIGHLAND IL,Shipper
436,CARLYLE IL,Shipper
437,SEALY TX,Shipper
440,ROCKPORT TX /FULTON,Shipper
442,KINGSVILLE TX,Shipper
443,HONDO TX,Shipper
444,SPRINGFIELD MO,Shipper
445,LEITCHFIELD KY,Shipper
447,DEL RIO TX,Shipper
448,SHREVEPORT LA,Shipper
449,GROVES TX,Shipper
450,SHREVEPORT LA,Shipper
451,COLUMBIA MO,Shipper
452,MCALLEN TX,Shipper
454,FAIRFIELD IL,Shipper
456,BROWNSVILLE TX,Shipper
457,VIDOR TX,Shipper
458,ARANSAS PASS TX,Shipper
459,COVINGTON GA,Shipper
461,EAGLE PASS TX,Shipper
462,ALVIN TX,Shipper
463,BEEVILLE TX,Shipper
464,CORPUS CHRISTI TX,Shipper
465,FLORESVILLE TX,Shipper
466,BOLIVAR TN,Shipper
467,DENTON TX,Shipper
468,TEXARKANA AR,Shipper
469,LAKE CHARLES LA,Shipper
470,CORPUS CHRISTI TX,Shipper
471,"LANCASTER, TX",Shipper
472,"BROKEN ARROW, OK",Shipper
475,ROUND ROCK TX,Shipper
476,GATESVILLE TX,Shipper
477,SODDY-DAISY TN,Shipper
479,ALTUS OK,Shipper
481,MATTOON IL,Shipper
483,PRATTVILLE AL,Shipper
484,LAWRENCE KS,Shipper
485,DONALDSONVILLE LA,Shipper
486,BONNER SPRINGS KS,Shipper
488,QUINCY FL,Shipper
489,HAMMOND LA,Shipper
490,"CORPUS CHRISTI, TX",Shipper
491,PADUCAH KY,Shipper
492,VINCENNES IN,Shipper
493,"PARIS, KY",Shipper
494,"NEWNAN, GA",Shipper
495,COLUMBUS MS,Shipper
497,"SHELBYVILLE, KY",Shipper
498,JENA LA,Shipper
499,ENID OK,Shipper
500,EL PASO TX,Shipper
501,LAUREL MS,Shipper
502,GALLIANO LA,Shipper
504,GALVESTON TX,Shipper
505,"DERIDDER, LA",Shipper
506,FLORA IL,Shipper
507,LAWRENCEBURG KY,Shipper
508,KERRVILLE TX,Shipper
510,GAINESVILLE GA,Shipper
511,SUMTER SC,Shipper
512,EL PASO TX,Shipper
513,BIG SPRINGS TX,Shipper
514,AIKEN SC,Shipper
515,MURPHY NC,Shipper
516,"GUN BARREL CITY, TX",Shipper
517,MUSTANG OK,Shipper
518,CANTON GA,Shipper
519,HARRODSBURG KY,Shipper
520,WINDER GA,Shipper
521,MOSS BLUFF LA,Shipper
522,CROSBY TX,Shipper
523,CARTHAGE TX,Shipper
524,KENEDY TX,Shipper
526,"LOUISVILLE (NE), KY",Shipper
527,ANGLETON TX,Shipper
528,"BRADENTON, FL",Shipper
529,TEXAS CITY TX,Shipper
530,"EL DORADO, AR",Shipper
531,LAFAYETTE LA (W),Shipper
532,GONZALES LA,Shipper
533,NEW IBERIA LA,Shipper
535,ABILENE TX (S),Shipper
536,ABILENE TX (N),Shipper
537,ODESSA TX,Shipper
538,GAINESVILLE FL,Shipper
539,ALEXANDRIA LA,Shipper
540,MORGAN CITY LA,Shipper
541,COVINGTON LA,Shipper
542,HOUMA LA,Shipper
543,OPELOUSAS LA,Shipper
544,"DEL CITY (MWC), OK",Shipper
546,"RICHMOND, TX",Shipper
547,"PLANT CITY, FL",Shipper
548,LAWRENCEVILLE GA,Shipper
549,HOBBS NM,Shipper
550,LAWRENCEVILLE IL,Shipper
551,PALATKA FL,Shipper
553,SLIDELL LA,Shipper
555,DUBLIN GA,Shipper
556,WAYCROSS GA,Shipper
557,EMPORIA KS,Shipper
558,SALINA KS,Shipper
559,MUSCATINE IA,Shipper
560,ST JOSEPH MO,Shipper
561,EASTLAND TX,Shipper
562,LEEDS AL,Shipper
563,ORANGE CITY FL,Shipper
564,"OKLAHOMA CITY(W), OK",Shipper
565,CORSICANA TX,Shipper
566,BOONVILLE IN,Shipper
568,CARTHAGE TN,Shipper
569,COLUMBIA KY,Shipper
571,GEORGETOWN KY,Shipper
572,KILGORE TX,Shipper
573,LEE'S SUMMIT MO,Shipper
574,"SURFSIDE BEACH, SC",Shipper
575,WOODSTOCK GA,Shipper
576,TULSA OK,Shipper
577,OLATHE KS,Shipper
578,SEVIERVILLE TN,Shipper
579,ST AUGUSTINE FL,Shipper
580,BARTOW FL,Shipper
581,MARSHALLTOWN IA,Shipper
582,PORT ORANGE/DAYTONA BEACH,Shipper
583,ONEIDA TN,Shipper
584,"DRY RIDGE, KY",Shipper
585,ROCK HILL SC,Shipper
586,CONWAY SC,Shipper
587,SPARTA TN,Shipper
588,ALBANY GA,Shipper
589,LOUISVILLE (HILLVIEW) KY,Shipper
590,BENBROOK TX/FT WORTH,Shipper
591,CYNTHIANA KY,Shipper
592,DERBY KS,Shipper
593,DOUGLAS GA,Shipper
594,"FAYETTEVILLE, GA",Shipper
595,HARLINGEN TX,Shipper
598,"KEARNEY, NE",Shipper
599,KINGSPORT TN,Shipper
600,PAMPA TX,Shipper
601,SAN ANGELO TX,Shipper
602,"THE WOODLANDS,TX",Shipper
603,PEKIN IL,Shipper
604,DOTHAN AL,Shipper
605,SAVANNAH GA,Shipper
608,MIDLAND TX,Shipper
609,HANNIBAL MO,Shipper
610,STEPHENVILLE TX,Shipper
611,ROSWELL NM,Shipper
612,CHARLESTON IL,Shipper
613,ORMOND BEACH FL,Shipper
614,LA GRANGE GA,Shipper
615,CARTERSVILLE GA,Shipper
616,"ORANGEBURG, SC",Shipper
618,HIRAM GA,Shipper
619,DAYTON TN,Shipper
620,BRISTOL TN,Shipper
621,LAKE CITY SC,Shipper
622,OKLA CITY (NW),Shipper
623,N FT MYERS FL,Shipper
624,NEWBERRY SC,Shipper
625,GEORGETOWN SC,Shipper
627,DILLON SC,Shipper
628,SUMMERVILLE SC,Shipper
629,UNION SC,Shipper
630,FLORENCE SC,Shipper
631,EASLEY SC,Shipper
632,MT PLEASANT SC,Shipper
633,KEWANEE IL,Shipper
634,CAMDEN SC,Shipper
635,SAVANNAH GA,Shipper
636,PRINCETON IL,Shipper
637,LEXINGTON NE,Shipper
638,GAFFNEY SC,Shipper
639,BRUNSWICK GA,Shipper
640,GREENVILLE SC,Shipper
641,GREENVILLE SC,Shipper
642,CHERAW SC,Shipper
643,MYRTLE BEACH SC,Shipper
644,ANDERSON SC,Shipper
645,NORFOLK NE,Shipper
646,ANAMOSA IA,Shipper
647,GRINNELL IA,Shipper
648,"ST PETERS, MO",Shipper
649,"TITUSVILLE,FL",Shipper
651,BEAUMONT TX,Shipper
652,GARDEN CITY KS,Shipper
653,HOPKINSVILLE KY,Shipper
655,MADISONVILLE KY,Shipper
656,SHELBYVILLE TN,Shipper
657,COOKEVILLE TN,Shipper
658,ROME GA,Shipper
659,NASHVILLE TN,Shipper
660,MUSCLE SHOALS /SHEFFIELD,Shipper
661,ATHENS AL,Shipper
662,DECATUR AL,Shipper
663,ATHENS TN,Shipper
664,HAYS KS,Shipper
665,CAMPBELLSVILLE KY,Shipper
666,SEBRING FL,Shipper
667,TULLAHOMA TN,Shipper
668,"MCMINNVILLE, TN",Shipper
669,DALTON GA,Shipper
670,CULLMAN AL,Shipper
671,LEBANON TN,Shipper
672,"ALCOA, TN",Shipper
673,CLARKSVILLE (E) TN,Shipper
674,"GALLATIN, TN",Shipper
675,UNION CITY TN,Shipper
676,ROCKWOOD/HARRIMAN TN,Shipper
677,DYERSBURG TN,Shipper
678,NEWPORT TN,Shipper
680,GREENEVILLE TN,Shipper
681,GUNTERSVILLE AL,Shipper
682,MURFREESBORO TN,Shipper
683,LAWRENCEBURG TN,Shipper
684,LEXINGTON TN,Shipper
685,MORRISTOWN TN,Shipper
686,FITZGERALD GA,Shipper
687,CROSSVILLE TN,Shipper
688,"NASHVILLE (S), TN",Shipper
689,SOMERSET KY,Shipper
690,ELIZABETHTON TN,Shipper
691,"FT. PAYNE, AL",Shipper
692,DANVILLE KY,Shipper
694,HENDERSON KY,Shipper
695,MADISON (NASHVILLE) TN,Shipper
697,OCALA FL,Shipper
698,CLEVELAND TN,Shipper
699,OXFORD MS,Shipper
700,SELMA AL,Shipper
701,"OWENSBORO, KY",Shipper
702,WINCHESTER KY,Shipper
703,TOMBALL TX,Shipper
705,"MOUNT DORA, FL",Shipper
706,ZEPHYRHILLS FL /UNATILLA,Shipper
707,CLARKSDALE MS,Shipper
708,VICKSBURG MS,Shipper
709,ELIZABETHTOWN KY,Shipper
710,HERMITAGE TN,Shipper
711,GLASGOW KY,Shipper
712,SCOTTSBORO AL,Shipper
714,WEST HELENA AR,Shipper
715,TUSCALOOSA AL,Shipper
716,GREENWOOD MS,Shipper
718,AUBURNDALE FL,Shipper
719,RICHMOND KY,Shipper
720,FRANKFORT KY,Shipper
721,PORT CHARLOTTE /MURDOCK,Shipper
722,CARROLLTON GA,Shipper
723,TROY AL,Shipper
724,JEFFERSON CITY TN,Shipper
725,HAINES CITY FL,Shipper
726,ALEXANDER CITY AL,Shipper
727,CEDARTOWN GA,Shipper
728,HILTON HD ISL SC,Shipper
729,BARDSTOWN KY,Shipper
730,SYLACAUGA AL,Shipper
731,DEMOPOLIS AL,Shipper
733,"VALLEY, AL",Shipper
734,ENTERPRISE AL,Shipper
735,WINCHESTER TN,Shipper
736,RUSSELVILLE KY,Shipper
737,LEWISBURG TN,Shipper
738,CAMDEN TN,Shipper
739,MIDDLESBORO KY,Shipper
740,OZARK AL,Shipper
741,"LENOIR CITY, TN",Shipper
742,KINGSPORT TN,Shipper
743,OKLAHOMA CITY OK,Shipper
744,ATASCOCITA TX,Shipper
745,STOCKBRIDGE GA,Shipper
746,TEMPLE TX,Shipper
748,NEWTON IA,Shipper
749,AMES IA,Shipper
750,INDEPENDENCE IA,Shipper
751,PELLA IA,Shipper
752,PASADENA TX,Shipper
753,CEDAR FALLS IA,Shipper
754,STATESBORO GA,Shipper
755,AMARILLO TX,Shipper
756,SUMMERVILLE GA,Shipper
757,PLEASANTON TX,Shipper
758,AMERICUS GA,Shipper
759,WAUCHULA FL,Shipper
761,"RACELAND, LA",Shipper
762,BIRMINGHAM/CENTERPOINT,Shipper
764,BESSEMER AL,Shipper
765,"SAN ANTONIO, TX",Shipper
766,FLORENCE AL,Shipper
767,LAKE CITY FL,Shipper
768,KATY FRY RD AND I10 TX,Shipper
769,VENICE FL,Shipper
770,GREAT BEND KS,Shipper
771,MERRITT ISLAND FL,Shipper
772,HOUSTON (ALIEF) TX,Shipper
773,EUNICE LA,Shipper
774,COLUMBUS NE,Shipper
775,GALESBURG IL,Shipper
776,FREMONT NE,Shipper
777,WEST ORANGE TX,Shipper
778,PUNTA GORDA FL,Shipper
779,LAKELAND FL,Shipper
780,MONROE GA,Shipper
781,MARBLE FALLS TX,Shipper
782,UVALDE TX,Shipper
784,MOUNT PLEASANT IA,Shipper
785,WAYNESBORO MS,Shipper
786,"DEKALB, IL",Shipper
787,RIVERDALE GA,Shipper
788,CLINTON AR,Shipper
789,MESQUITE TX,Shipper
790,MCCOOK NE,Shipper
791,ALICE TX,Shipper
793,CANYON TX,Shipper
794,HUTCHINSON KS,Shipper
795,BARNWELL SC,Shipper
796,PERU IL,Shipper
797,BURLINGTON IA,Shipper
798,MARSHALL IL,Shipper
799,LIBERAL KS,Shipper
800,LEESBURG FL,Shipper
801,MARYVILLE MO,Shipper
802,MONROE WI,Shipper
803,BOGALUSA LA EF,Shipper
804,MINERAL WELLS TX,Shipper
805,FENTON MO,Shipper
806,"LAS CRUCES, NM",Shipper
807,"N RICHLAND HILLS, TX",Shipper
808,LAKE JACKSON TX,Shipper
809,OXFORD AL,Shipper
810,MASON CITY IA,Shipper
811,ARCADIA FL,Shipper
812,DUMAS TX,Shipper
813,BROWNWOOD TX,Shipper
814,"OKEECHOBEE, FL",Shipper
815,"OSAGE BEACH, MO",Shipper
816,BROOKHAVEN MS,Shipper
817,KISSIMMEE FL,Shipper
818,PANAMA CITY BEACH,Shipper
819,CAPE CORAL FL/FT MYERS,Shipper
820,BOONVILLE MO,Shipper
821,CLOVIS NM,Shipper
822,AMARILLO TX,Shipper
823,PONCA CITY OK,Shipper
824,ALBUQUERQUE (N),Shipper
825,STANFORD KY,Shipper
826,FARMINGTON NM,Shipper
827,CANTON TX,Shipper
828,INDIANAPOLIS (PLAINFIELD),Shipper
833,CARMI ILL,Shipper
834,BETHANY MO,Shipper
835,ALBUQUERQUE - JUAN TOBO,Shipper
836,ST MARYS GA,Shipper
838,SAND SPRINGS OK,Shipper
839,BATON ROUGE LA,Shipper
842,"PUEBLO (N), CO",Shipper
844,MORRIS IL,Shipper
846,LAGRANGE TX,Shipper
847,DODGEVILLE WI,Shipper
848,SOUTHAVEN MS,Shipper
849,HOUST/HUMBLE/ALBIDE,Shipper
850,"ALBUQUERQUE (C), NM",Shipper
851,"RUIDOSO DOWNS, NM",Shipper
852,OTTAWA IL,Shipper
853,MOBILE AL,Shipper
854,FRANKFORT IN,Shipper
855,UNION CITY GA,Shipper
856,BREMEN GA,Shipper
857,SANFORD FL,Shipper
858,CAIRO GA,Shipper
859,LAKE WALES FL,Shipper
860,DELAND FL,Shipper
861,LUBBOCK TX,Shipper
862,HINESVILLE GA,Shipper
863,ROANOKE AL,Shipper
864,VIDALIA GA,Shipper
865,NEW BRAUNFELS TX,Shipper
866,"MOBILE (S), AL",Shipper
867,SCOTTSBLUFF NE,Shipper
868,CARLSBAD NM,Shipper
869,ALAMOSA CO,Shipper
870,JASPER IN,Shipper
872,PEARLAND TX,Shipper
874,NATCHEZ MS,Shipper
875,RIDGELAND MS /JACKSON,Shipper
876,MANY LA,Shipper
877,MONROE NC,Shipper
878,"CUMMING, GA",Shipper
879,LAFAYETTE TN,Shipper
880,IRVING TX,Shipper
881,"LEXINGTON, SC",Shipper
882,PRARIE DU CHIEN WI,Shipper
884,SHELBYVILLE IN,Shipper
885,SEWARD NE,Shipper
886,FT DODGE IA,Shipper
887,PETAL MS,Shipper
888,BUTLER MO,Shipper
889,THOMASVILLE GA,Shipper
890,ORLANDO (UNION PARK) FL,Shipper
891,STERLING IL,Shipper
892,ANKENY IA,Shipper
894,"TULSA,OK",Shipper
896,GRAND PRARIE TX,Shipper
897,FT STOCKTON TX,Shipper
899,VALDOSTA GA,Shipper
900,CHILDRESS TX,Shipper
901,SEGUIN TX,Shipper
902,GREENCASTLE IN,Shipper
903,"JACKSON, MS",Shipper
904,FOLEY AL,Shipper
905,LONGMONT CO,Shipper
906,GALLUP NM,Shipper
907,FORSYTH GA,Shipper
908,ORLANDO (SW) FL,Shipper
909,CHALMETTE LA,Shipper
910,LAKE GENEVA WI,Shipper
911,HARVEY (NO-S) LA,Shipper
912,NEW ORLEANS (EAST) LA,Shipper
