Store #,City,State,Walmart Responsibility?,Service Frequency,Walmart Contractor
100,Bentonville,Arkansas,Walmart,10,Aqualis (New Restoration)
101,Rolla,Missouri,Walmart,10,Apex
102,Stuttgart,Arkansas,Walmart,10,Aqualis (New Restoration)
103,Shawnee,Oklahoma,Walmart,6,Apex
104,Milan,Tennessee,Walmart,1,Apex
105,Corinth,Mississippi,Walmart,12,Apex
106,Fulton,Kentucky,Walmart,12,Opterra Solutions 
107,Martin,Tennessee,Walmart,12,Apex
108,Guthrie,Oklahoma,Walmart,8,Apex
109,Cameron,Missouri,Walmart,10,Apex
110,Winter Garden,Florida,Combination,4,Apex
111,Chanute,Kansas,Walmart,8,Apex
112,Starkville,Mississippi,Walmart,12,Apex
113,Chickasha,Oklahoma,Walmart,6,Apex
114,Booneville,Mississippi,Walmart,12,Apex
115,West Point,Mississippi,Walmart,12,Apex
116,Vivian,Louisiana,Walmart,4,Apex
117,Broken Bow,Oklahoma,Walmart,1,Apex
118,AMORY,Mississippi,Walmart,12,Apex
119,Batesville,Arkansas,Walmart,1,Aqualis (New Restoration)
120,Humboldt,Tennessee,Walmart,12,Apex
121,Okmulgee,Oklahoma,Walmart,8,Apex
122,Jackson,Missouri,Walmart,10,Apex
123,Seminole,Oklahoma,Walmart,6,Apex
124,Little Rock,Arkansas,Walmart,12,Aqualis (New Restoration)
125,Fort Smith,Arkansas,Walmart,1,Aqualis (New Restoration)
126,Little Rock,Arkansas,Walmart,1,Aqualis (New Restoration)
127,Malvern,Arkansas,Walmart,10,Aqualis (New Restoration)
128,Jonesboro,Arkansas,Walmart,10,Aqualis (New Restoration)
129,Ardmore,Oklahoma,Walmart,8,Apex
130,Muskogee,Oklahoma,Walmart,8,Apex
131,Mount Pleasant,Texas,Walmart,10,Apex
132,Kingfisher,Oklahoma,Walmart,8,Apex
133,Ashdown,Arkansas,Walmart,10,Aqualis (New Restoration)
134,Elk City,Oklahoma,Walmart,8,Apex
135,Chillicothe,Missouri,Walmart,10,Apex
136,Blackwell,Oklahoma,Walmart,2,Apex
137,Stillwater,Oklahoma,Walmart,6,Apex
138,Springfield,Missouri,Walmart,10,Apex
139,Purcell,Oklahoma,Walmart,8,Apex
140,Lufkin,Texas,Walmart,10,Apex
141,Fort Smith,Arkansas,Walmart,1,Aqualis (New Restoration)
143,Benton,Kentucky,Walmart,1,Opterra Solutions 
144,Fayetteville,Arkansas,Walmart,10,Aqualis (New Restoration)
145,Bowling Green,Missouri,Walmart,1,Apex
146,Gilmer,Texas,Walmart,12,Apex
147,Denison,Texas,Walmart,10,Apex
148,Paris,Texas,Walmart,12,Apex
149,Jonesboro,Louisiana,Walmart,12,Apex
150,Woodward,Oklahoma,Walmart,8,Apex
151,McAlester,Oklahoma,Walmart,1,Apex
152,De Soto,Missouri,Walmart,10,Apex
153,New Albany,Mississippi,Walmart,12,Apex
154,Abingdon,Virginia,Walmart,12,Apex
155,Senatobia,Mississippi,Walmart,12,Apex
157,Searcy,Arkansas,Walmart,10,Aqualis (New Restoration)
158,Bonham,Texas,Walmart,10,Apex
159,Columbia,Missouri,No- Third Party,,n/a
160,ASH FLAT,Arkansas,Walmart,10,Aqualis (New Restoration)
161,Huntingdon,Tennessee,Walmart,12,Apex
162,Anadarko,Oklahoma,Walmart,8,Apex
163,Nacogdoches,Texas,Walmart,12,Apex
164,Pontotoc,Mississippi,Walmart,12,Apex
165,Henderson,Texas,Walmart,12,Apex
166,Houston,Missouri,Walmart,10,Apex
167,Crossett,Arkansas,Walmart,12,Aqualis (New Restoration)
168,Owasso,Oklahoma,Walmart,1,Apex
169,Lonoke,Arkansas,Walmart,10,Aqualis (New Restoration)
170,Natchitoches,Louisiana,Walmart,12,Apex
171,Camden,Arkansas,Walmart,1,Aqualis (New Restoration)
172,Washington,Missouri,Walmart,10,Apex
173,Potosi,Missouri,Walmart,10,Apex
174,Cocoa,Florida,Walmart,16,Apex
175,Collierville,Tennessee,Walmart,12,Apex
176,Ripley,Mississippi,Walmart,12,Apex
177,Paris,Tennessee,Walmart,12,Apex
178,Alva,Oklahoma,Walmart,8,Apex
179,Springfield,Missouri,Walmart,10,Apex
180,Jacksonville,Texas,Walmart,12,Apex
181,New Boston,Texas,Walmart,10,Apex
182,Greenville,Mississippi,Walmart,12,Apex
183,Louisville,Mississippi,Walmart,12,Apex
184,Blue Springs,Missouri,Walmart,2,Apex
185,Gainesville,Texas,Walmart,10,Apex
186,El Dorado,Kansas,Walmart,8,Apex
188,Cape Girardeau,Missouri,Walmart,10,Apex
189,Kirksville,Missouri,Walmart,10,Apex
190,Kennett,Missouri,Walmart,10,Apex
192,Columbia,Tennessee,Walmart,12,Apex
194,Baytown,Texas,Walmart,12,Apex
195,Excelsior Springs,Missouri,Walmart,10,Apex
196,Carbondale,Illinois,Walmart,12,Apex
197,Macomb,Illinois,Walmart,12,Apex
198,Salem,Illinois,Walmart,12,Apex
199,Lincoln,Illinois,Walmart,12,Apex
200,Jacksonville,Illinois,Walmart,12,Apex
201,Belleville,Illinois,Walmart,12,Apex
202,Frisco,Texas,Walmart,1,Apex
203,Brookfield,Missouri,Walmart,4,Apex
204,Princeton,Kentucky,Walmart,12,Opterra Solutions 
205,Philadelphia,Mississippi,Walmart,12,Apex
206,McKinney,Texas,Walmart,12,Apex
207,Cleveland,Oklahoma,Walmart,6,Apex
209,Ozark,Arkansas,Walmart,1,Aqualis (New Restoration)
210,Holdenville,Oklahoma,Walmart,4,Apex
211,Hillsboro,Texas,Walmart,10,Apex
212,Norman,Oklahoma,Walmart,8,Apex
213,Litchfield,Illinois,Walmart,12,Apex
214,Jasper,Texas,Walmart,12,Apex
216,Marion,Illinois,Walmart,12,Apex
217,Lewisville,Texas,Walmart,12,Apex
218,Selmer,Tennessee,Walmart,10,Apex
219,Sedalia,Missouri,Walmart,10,Apex
220,Burleson,Texas,Walmart,12,Apex
221,Yukon,Oklahoma,Walmart,8,Apex
222,Sparta,Illinois,Walmart,12,Apex
224,Mount Vernon,Illinois,Combination,1,Apex
225,Sulphur,Oklahoma,Walmart,8,Apex
226,Atlanta,Texas,Walmart,10,Apex
227,El Reno,Oklahoma,Walmart,8,Apex
228,Cleburne,Texas,Walmart,10,Apex
229,Trumann,Arkansas,Walmart,10,Aqualis (New Restoration)
230,Paris,Arkansas,Walmart,1,Aqualis (New Restoration)
231,Ada,Oklahoma,Walmart,6,Apex
232,Atoka,Oklahoma,Walmart,4,Apex
