Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
15,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,45,
15,Dept 40,Scalp Massagers,Full Endcap,1,45,
15,Dept 46,Ricitos Baby Shampoo 13.5 Free Mini,4-way,1,45,
15,Dept 74,27 Gal Navy Base/Ylw  Qty 44,Full Stack,1,45,
15,Dept 74,27 Gal PurpleBase/Ylw Lid Qty 44,Full Stack,1,45,
15,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,45,
15,Dept 82,60pc Handy Heater,Half Stack,1,45,
15,Dept 90,"Local/Regional EggNog, 444pcs",Half Endcap,2,45,
15,Dept 92,"Elf on the Shelf/Rice Krispies Half Pallet, 138ct",Half Stack,1,45,
15,Dept 92,Kraft Miracle Whip HP  (160 pieces),Half Stack,1,45,
15,Dept 92,"MOM Bag Pallet, 140ct",Full Stack,1,45,
15,Dept 92,"Quaker Oatmeal Value Pack Half Pallet, 90ct",Half Stack,2,45,
15,Dept 95,224 Ocean Spray 64oz PALLET 6 FLAVORS,Full Stack,1,45,
15,Dept 95,"EM CINN TOFFEE PECAN, SGR COOKIE CASHEW Assortment",SDK,1,45,
15,Dept 95,"On the Boarder Tortilla Chips, 154 units",PDQ,1,45,
15,Dept 95,V8 SPLASH 64OZ TROP 60ct,Half Stack,1,45,
15,Dept 95,Valentines Ding Dong Heart Cakes 8-count 9.31oz,Half Endcap,2,45,
16,Dept 08,"6 Qt Round Heated Pet Bowl, 40 units",Full Endcap,1,45,
16,Dept 13,"Swiffer Duster360, 12 count",PDQ,1,45,
16,Dept 40,Built Bars 120 pieces,4-way,1,45,
16,Dept 40,EQ Antacid Chew,Full Endcap,1,45,
16,Dept 40,EQ Epsom Salt 8Lb,PDQ,1,45,
16,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,45,
16,Dept 40,Quest 4ct Chips 64 pieces,Full Endcap,1,45,
16,Dept 71,"GTRACING gtwd-200 BLUE Gaming Chair, 8 units",Full Endcap,1,45,
16,Dept 79,"Purified Water 10oz 15PK (2 for $5!), 25 units",4-way,1,45,
18,Dept 11,"Bundled Firewood Pallet, 65 units",Full Stack,1,45,
18,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,45,
18,Dept 79,"Purified Water 10oz 15PK (2 for $5!), 25 units",4-way,1,45,
18,Dept 95,Valentines Ding Dong Heart Cakes 8-count 9.31oz,Half Endcap,1,45,
19,Dept 02,Jergens Loyalty Size 72 pcs,4-way,1,45,
19,Dept 04,Molded fiber 64ct plate and 64ct platter,Half Stack,2,45,
19,Dept 07,2pk Giganitcs (DumpTruck/Firetruck) 12pc Assortment,Half Stack,2,45,
19,Dept 08,"6 Qt Round Heated Pet Bowl, 40 units",Full Endcap,1,45,
19,Dept 08,"Mossy Oak Hunting Hoodie for Dogs, 24 pcs",SDK,2,45,
19,Dept 11,"Hefty Trash Bags Assortment, 80pcs",Full Endcap,1,45,
19,Dept 13,FABULOSO 169oz 90ct,Full Stack,1,45,
19,Dept 13,"Tide LQ 73-84/25, 42ct",Half Stack,2,45,
19,Dept 14,Holiday Time Foil ,Half Stack,1,45,
19,Dept 17,"Yankee Winter, 120pc ",Half Stack,1,45,
19,Dept 22,"MossyOak, Realtree, Duck, Timber Faux Fur Throw 72",Half Stack,2,45,
19,Dept 23,192PC MIDWEIGHT WINTER ASSORTED #1,Full Endcap,1,45,
19,Dept 23,"Men's Wrangler Thermals, Socks,and Beanie, 576pcs",Full Stack,1,45,
19,Dept 24,"96 PC ICEBURG BOYS SNOW JKT, PUFFER & SHACKET",4-way,1,45,
19,Dept 31,428pc Licensed Character Sets (multi price points),Half Stack,1,45,
19,Dept 33,Boys and Girls $5 License 6P Socks 400u,Half Stack,1,45,
19,Dept 34,48 Unit Heated Soft Shell Jacket and Vest,4-way,1,45,
19,Dept 34,Women's Soft Shell Jackets + Vest,4-way,1,45,
19,Dept 40,Built Bars 120 pieces,4-way,2,45,
19,Dept 40,EQ 91% Isopropyl Alcohol 32oz,PDQ,1,45,
19,Dept 40,EQ Antacid Chew,Full Endcap,1,45,
19,Dept 40,EQ Epsom Salt 8Lb,PDQ,1,45,
19,Dept 40,EQ MCX COUGH CAPLET 24CT,SDK,1,45,
19,Dept 40,Premier Single Bottles 384pcs,Half Stack,1,45,
19,Dept 40,Quest 4ct Chips 64 pieces,Full Endcap,1,45,
19,Dept 46,"L'Oreal Paris Everpure Moisture Kit, 48pcs",4-way,1,45,
19,Dept 46,"Lu Shampoo Starter Kit, 18 units",SDK,1,45,
19,Dept 46,SV FYE26 24pc Hair Styling,SDK,2,45,
19,Dept 67,Lorann 126CT Flavor Oils TwinPack SK,SDK,1,45,
19,Dept 74,27-Gal Navy Base/Orng Lid Qty 44,Full Stack,2,45,
19,Dept 82,60pc Handy Heater,Half Stack,2,45,
19,Dept 90,"Local/Regional EggNog, 444pcs",Half Endcap,1,45,
19,Dept 92,720 CT Kraft Original Mac & Cheese 1/2 Pallet,Half Stack,2,45,
19,Dept 92,Kraft Miracle Whip HP  (160 pieces),Half Stack,1,45,
19,Dept 92,"MOM Bag Pallet, 140ct",Full Stack,1,45,
19,Dept 92,Onboard Tuna Bites Shipper,Side-stack,2,45,
19,Dept 92,"Quaker Oatmeal Value Pack Half Pallet, 90ct",Half Stack,2,45,
19,Dept 95,224 Ocean Spray 64oz PALLET 6 FLAVORS,Full Stack,1,45,
19,Dept 95,384PC CAPRI SUN,Full Stack,1,45,
19,Dept 95,"EM CINN TOFFEE PECAN, SGR COOKIE CASHEW Assortment",SDK,1,45,
19,Dept 95,Kool-Aid Jammers 10pk  Mixed Pallet 384CT,Full Stack,1,45,
19,Dept 95,"On the Boarder Tortilla Chips, 154 units",PDQ,1,45,
19,Dept 95,RYL TEA WALLEN LTO ROCKET POP,Half Stack,1,45,
19,Dept 95,Valentines Ding Dong Heart Cakes 8-count 9.31oz,Half Endcap,2,45,
19,Dept 95,Veggie Straws,PDQ,1,45,
20,Dept 40,EQ MCX COUGH CAPLET 24CT,SDK,1,45,
21,Dept 07,2pk Giganitcs (DumpTruck/Firetruck) 12pc Assortment,Half Stack,1,45,
21,Dept 14,Holiday Time Foil ,Half Stack,1,45,
21,Dept 17,MTH 5x7 Washable Rug Program 24pc,Full Endcap,1,45,
21,Dept 17,"Yankee Winter, 120pc ",Half Stack,1,45,
21,Dept 40,EQ Antacid Chew,Full Endcap,1,45,
21,Dept 40,EQ MCX COUGH CAPLET 24CT,SDK,1,45,
21,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,45,
21,Dept 40,Quest 4ct Chips 64 pieces,Full Endcap,1,45,
21,Dept 74,27 Gal Navy Base/Ylw  Qty 44,Full Stack,1,45,
21,Dept 74,27 Gal PurpleBase/Ylw Lid Qty 44,Full Stack,1,45,
22,Dept 08,"Vibrant Life Cedar Pet Bedding 141L, 50 units",Full Stack,1,45,
22,Dept 08,"VL Pine Bedding 141L, 50 units",Full Stack,1,45,
22,Dept 14,Holiday Time Foil ,Half Stack,1,45,
22,Dept 40,EQ Antacid Chew,Full Endcap,1,45,
22,Dept 40,EQ Epsom Salt 8Lb,PDQ,1,45,
22,Dept 40,EQ MCX COUGH CAPLET 24CT,SDK,1,45,
22,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,45,
22,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,2,45,
