Store Number,Item Description,Over Shipped Qty
2110,WAL VEST PETE XS WMN BLU,8
2110,WAL VEST PETE XS WMN BLU,35
2110,WAL VEST PETE XL WMN BLU,42
2110,WAL VEST PETE 2XL WMN BLU,12
2110,WAL VEST PETE 2XL WMN BLU,32
2155,WAL VEST PETE XL WMN BLU,15
2155,WAL VEST PETE XL WMN BLU,75
2195,WAL VEST PETE XS WMN BLU,79
2195,WAL VEST PETE XL WMN BLU,122
2195,WAL VEST PETE 2XL WMN BLU,124
2251,WAL VEST PETE XS WMN BLU,46
2251,WAL VEST PETE XL WMN BLU,13
2251,WAL VEST PETE XL WMN BLU,34
2251,WAL VEST PETE 2XL WMN BLU,45
2272,WAL VEST PETE XS WMN BLU,21
2272,WAL VEST PETE XS WMN BLU,87
2272,WAL VEST PETE XL WMN BLU,1
2272,WAL VEST PETE XL WMN BLU,109
2272,WAL VEST PETE 2XL WMN BLU,24
2272,WAL VEST PETE 2XL WMN BLU,85
2302,WAL VEST PETE XS WMN BLU,54
2338,WAL VEST PETE 2XL WMN BLU,154
2417,WAL VEST PETE 2XL WMN BLU,183
2460,WAL VEST PETE XL WMN BLU,59
2460,WAL VEST PETE 2XL WMN BLU,60
2514,WAL VEST PETE 2XL WMN BLU,133
2526,WAL VEST PETE 2XL WMN BLU,1
2526,WAL VEST PETE 2XL WMN BLU,112
2629,WAL VEST PETE XS WMN BLU,118
2629,WAL VEST PETE XL WMN BLU,15
2629,WAL VEST PETE XL WMN BLU,102
2664,WAL VEST PETE 2XL WMN BLU,162
2751,WAL VEST PETE XS WMN BLU,49
2751,WAL VEST PETE XL WMN BLU,50
2751,WAL VEST PETE 2XL WMN BLU,51
2806,WAL VEST PETE 2XL WMN BLU,157
2904,WAL VEST PETE 2XL WMN BLU,145
2986,WAL VEST PETE 2XL WMN BLU,114
3169,WAL VEST PETE 2XL WMN BLU,96
3259,WAL VEST PETE 2XL WMN BLU,34
3259,WAL VEST PETE 2XL WMN BLU,129
3430,WAL VEST PETE 2XL WMN BLU,147
3478,WAL VEST PETE XS WMN BLU,48
3505,WAL VEST PETE XS WMN BLU,61
3587,WAL VEST PETE XS WMN BLU,101
3587,WAL VEST PETE 2XL WMN BLU,102
3796,WAL VEST PETE 2XL WMN BLU,13
3796,WAL VEST PETE 2XL WMN BLU,157
3899,WAL VEST PETE 2XL WMN BLU,30
4103,WAL VEST PETE XL WMN BLU,33
4103,WAL VEST PETE 2XL WMN BLU,34
4348,WAL VEST PETE 2XL WMN BLU,130
4538,WAL VEST PETE XS WMN BLU,73
4538,WAL VEST PETE XL WMN BLU,72
4538,WAL VEST PETE 2XL WMN BLU,74
4676,WAL VEST PETE XL WMN BLU,65
4676,WAL VEST PETE 2XL WMN BLU,66
5022,WAL VEST PETE XS WMN BLU,91
5082,WAL VEST PETE XL WMN BLU,15
5082,WAL VEST PETE XL WMN BLU,91
5082,WAL VEST PETE 2XL WMN BLU,107
5326,WAL VEST PETE XS WMN BLU,56
5326,WAL VEST PETE XL WMN BLU,58
5326,WAL VEST PETE 2XL WMN BLU,57
5497,WAL VEST PETE 2XL WMN BLU,178
5807,WAL VEST PETE XL WMN BLU,22
5807,WAL VEST PETE 2XL WMN BLU,23
6300,WAL VEST PETE XL WMN BLU,35
6300,WAL VEST PETE 2XL WMN BLU,36
7032,WAL VEST PETE XS WMN BLU,28
7032,WAL VEST PETE XL WMN BLU,27
7032,WAL VEST PETE 2XL WMN BLU,29
7178,WAL VEST PETE XS WMN BLU,38
7178,WAL VEST PETE XL WMN BLU,39
7178,WAL VEST PETE 2XL WMN BLU,37
8861,WAL VEST PETE XS WMN BLU,31
8861,WAL VEST PETE XL WMN BLU,32
,,
