Store #,Coverage 
1310,Store Not Serviced
2231,Store Not Serviced
2426,Store Not Serviced
3439,Store Not Serviced
3480,Store Not Serviced
1814,Store Not Serviced
484,Store Not Serviced
1383,Store Not Serviced
4682,Store Not Serviced
1937,Store Not Serviced
5124,Store Not Serviced
616,Store Not Serviced
2891,Store Not Serviced
3469,Store Not Serviced
1962,Store Not Serviced
1132,Store Not Serviced
1930,Store Not Serviced
1694,Store Not Serviced
2087,Store Not Serviced
578,Store Not Serviced
6898,Store Not Serviced
1839,Store Not Serviced
2889,Store Not Serviced
1134,Store Not Serviced
797,Store Not Serviced
5441,Store Not Serviced
1074,Store Not Serviced
2579,Store Not Serviced
2617,Store Not Serviced
2994,Store Not Serviced
5752,Store Not Serviced
1004,Store Not Serviced
355,Store Not Serviced
1784,Store Not Serviced
3492,Store Not Serviced
1780,Store Not Serviced
3543,Store Not Serviced
2621,Store Not Serviced
379,Store Not Serviced
2245,Store Not Serviced
3102,Store Not Serviced
559,Store Not Serviced
1695,Store Not Serviced
1172,Store Not Serviced
1477,Store Not Serviced
2630,Store Not Serviced
2532,Store Not Serviced
4137,Store Not Serviced
113,Store Not Serviced
195,Store Not Serviced
1010,Store Not Serviced
877,Store Not Serviced
2145,Store Not Serviced
661,Store Not Serviced
1672,Store Not Serviced
87,Store Not Serviced
4593,Store Not Serviced
575,Store Not Serviced
3219,Store Not Serviced
1619,Store Not Serviced
4355,Store Not Serviced
1384,Store Not Serviced
585,Store Not Serviced
2385,Store Not Serviced
1759,Store Not Serviced
3310,Store Not Serviced
3192,Store Not Serviced
1179,Store Not Serviced
1385,Store Not Serviced
2432,Store Not Serviced
530,Store Not Serviced
609,Store Not Serviced
2626,Store Not Serviced
200,Store Not Serviced
894,Store Not Serviced
955,Store Not Serviced
2103,Store Not Serviced
666,Store Not Serviced
1452,Store Not Serviced
1650,Store Not Serviced
3794,Store Not Serviced
3720,Store Not Serviced
810,Store Not Serviced
2496,Store Not Serviced
2786,Store Not Serviced
2872,Store Not Serviced
1151,Store Not Serviced
5282,Store Not Serviced
724,Store Not Serviced
1028,Store Not Serviced
2728,Store Not Serviced
588,Store Not Serviced
5881,Store Not Serviced
43,Store Not Serviced
22,Store Not Serviced
2827,Store Not Serviced
1360,Store Not Serviced
5150,Store Not Serviced
5707,Store Not Serviced
3626,Store Not Serviced
699,Store Not Serviced
1678,Store Not Serviced
1165,Store Not Serviced
2459,Store Not Serviced
2474,Store Not Serviced
2,Store Not Serviced
1891,Store Not Serviced
2123,Store Not Serviced
1779,Store Not Serviced
2534,Store Not Serviced
1584,Store Not Serviced
1339,Store Not Serviced
3329,Store Not Serviced
1570,Store Not Serviced
3497,Store Not Serviced
4163,Store Not Serviced
3328,Store Not Serviced
786,Store Not Serviced
179,Store Not Serviced
7,Store Not Serviced
873,Store Not Serviced
2070,Store Not Serviced
14,Store Not Serviced
137,Store Not Serviced
469,Store Not Serviced
1668,Store Not Serviced
2334,Store Not Serviced
973,Store Not Serviced
3548,Store Not Serviced
2354,Store Not Serviced
2189,Store Not Serviced
1646,Store Not Serviced
121,Store Not Serviced
1270,Store Not Serviced
6978,Store Not Serviced
5886,Store Not Serviced
4253,Store Not Serviced
614,Store Not Serviced
4553,Store Not Serviced
3489,Store Not Serviced
2061,Store Not Serviced
605,Store Not Serviced
4574,Store Not Serviced
1560,Store Not Serviced
392,Store Not Serviced
3322,Store Not Serviced
3255,Store Not Serviced
4514,Store Not Serviced
921,Store Not Serviced
2713,Store Not Serviced
3805,Store Not Serviced
90,Store Not Serviced
5781,Store Not Serviced
2680,Store Not Serviced
1261,Store Not Serviced
1551,Store Not Serviced
3149,Store Not Serviced
1670,Store Not Serviced
5625,Store Not Serviced
2900,Store Not Serviced
4246,Store Not Serviced
5195,Store Not Serviced
252,Store Not Serviced
1159,Store Not Serviced
747,Store Not Serviced
1189,Store Not Serviced
834,Store Not Serviced
247,Store Not Serviced
626,Store Not Serviced
1166,Store Not Serviced
845,Store Not Serviced
453,Store Not Serviced
339,Store Not Serviced
293,Store Not Serviced
1067,Store Not Serviced
1046,Store Not Serviced
893,Store Not Serviced
2552,Store Not Serviced
5038,Store Not Serviced
5899,Store Not Serviced
5941,Store Not Serviced
5404,Store Not Serviced
831,Store Not Serviced
2936,Store Not Serviced
3008,Store Not Serviced
3775,Store Not Serviced
5339,Store Not Serviced
2209,Store Not Serviced
1611,Store Not Serviced
2535,Store Not Serviced
988,Store Not Serviced
2544,Store Not Serviced
307,Store Not Serviced
1769,Store Not Serviced
4340,Store Not Serviced
1976,Store Not Serviced
850,Store Not Serviced
5841,Store Not Serviced
2497,Store Not Serviced
608,Store Not Serviced
1204,Store Not Serviced
1113,Store Not Serviced
3422,Store Not Serviced
4252,Store Not Serviced
2284,Store Not Serviced
1231,Store Not Serviced
2044,Store Not Serviced
2037,Store Not Serviced
5626,Store Not Serviced
1291,Store Not Serviced
1659,Store Not Serviced
1413,Store Not Serviced
1782,Store Not Serviced
2024,Store Not Serviced
3587,Store Not Serviced
3861,Store Not Serviced
1790,Store Not Serviced
3267,Store Not Serviced
1831,Store Not Serviced
2697,Store Not Serviced
3771,Store Not Serviced
1880,Store Not Serviced
256,Store Not Serviced
3261,Store Not Serviced
1306,Store Not Serviced
2270,Store Not Serviced
2526,Store Not Serviced
1914,Store Not Serviced
3850,Store Not Serviced
5235,Store Not Serviced
1576,Store Not Serviced
2325,Store Not Serviced
3726,Store Not Serviced
5839,Store Not Serviced
3277,Store Not Serviced
3848,Store Not Serviced
5133,Store Not Serviced
5142,Store Not Serviced
5763,Store Not Serviced
1903,Store Not Serviced
2700,Store Not Serviced
2444,Store Not Serviced
2445,Store Not Serviced
188,Store Not Serviced
1458,Store Not Serviced
