Store,Curr Total Baseline TL HC,Curr Total Budgeted TL HC,New Total Baseline TL HC,New Total Budgeted TL HC,Curr F&C TL Baseline HC,Curr F&C TL Budgeted HC,New F&C Baseline HC,New F&C Budgeted HC,Total Added Budgeted HC
1713,18,18,18,18,2,2,2,2,0
1282,21,21,21,21,2,2,2,2,0
419,23,23,23,23,2,3,2,3,0
1084,18,19,18,19,2,2,2,2,0
362,21,21,21,21,2,2,2,2,0
3770,21,21,21,21,2,2,2,2,0
2660,18,18,18,18,2,2,2,2,0
4249,21,21,21,21,2,3,2,3,0
4699,19,19,19,19,2,2,2,2,0
2267,18,18,18,18,2,2,2,2,0
885,21,21,21,21,2,2,2,2,0
5276,20,20,20,20,2,2,2,2,0
290,24,24,24,24,2,2,2,2,0
714,23,23,23,23,2,2,2,2,0
346,21,21,21,21,2,2,2,2,0
4556,21,21,21,21,2,2,2,2,0
3650,18,18,18,18,2,2,2,2,0
834,21,21,21,21,2,2,2,2,0
55,21,21,21,21,2,2,2,2,0
3546,18,18,18,18,2,2,2,2,0
2989,20,21,20,21,2,2,2,2,0
1107,23,23,23,23,2,2,2,2,0
5911,21,21,21,21,2,2,2,2,0
1857,18,18,18,18,2,2,2,2,0
354,21,21,21,21,2,2,2,2,0
2900,18,18,18,18,2,2,2,2,0
485,19,19,19,19,2,2,2,2,0
3491,18,18,18,18,2,2,2,2,0
1211,21,21,21,21,2,2,2,2,0
2640,18,18,18,18,2,2,2,2,0
550,21,21,21,21,2,2,2,2,0
32,19,20,19,20,2,2,2,2,0
203,21,21,21,21,2,2,2,2,0
3252,18,18,18,18,2,2,2,2,0
2041,18,18,18,18,2,2,2,2,0
1052,21,21,21,21,2,2,2,2,0
2527,20,20,20,20,2,2,2,2,0
334,19,19,19,19,2,2,2,2,0
2603,20,20,20,20,2,2,2,2,0
1187,23,23,23,23,2,2,2,2,0
324,23,23,23,23,2,2,2,2,0
4259,21,21,21,21,2,2,2,2,0
409,19,19,19,19,2,2,2,2,0
2897,18,18,18,18,2,2,2,2,0
2490,18,19,18,19,2,2,2,2,0
5047,18,18,18,18,2,2,2,2,0
2805,19,19,19,19,2,2,2,2,0
2288,20,20,20,20,2,2,2,2,0
276,19,19,19,19,2,2,2,2,0
1715,18,18,18,18,2,2,2,2,0
985,21,21,21,21,2,2,2,2,0
488,21,21,21,21,2,2,2,2,0
1743,18,18,18,18,2,2,2,2,0
2968,21,21,21,21,2,2,2,2,0
2672,23,23,23,23,2,2,2,2,0
1992,20,20,20,20,2,2,2,2,0
833,21,21,21,21,2,2,2,2,0
5345,18,19,18,19,2,2,2,2,0
2138,18,18,18,18,2,2,2,2,0
2681,18,18,18,18,2,2,2,2,0
3229,23,23,23,23,2,2,2,2,0
2904,18,18,18,18,2,2,2,2,0
2551,20,20,20,20,2,2,2,2,0
2935,21,21,21,21,2,2,2,2,0
229,21,21,21,21,2,2,2,2,0
347,23,23,23,23,2,2,2,2,0
1821,18,18,18,18,2,2,2,2,0
338,23,23,23,23,2,2,2,2,0
2833,21,21,21,21,2,3,2,3,0
2579,21,21,21,21,2,2,2,2,0
5003,21,21,21,21,2,2,2,2,0
3107,21,22,21,22,2,2,2,2,0
4208,21,21,21,21,2,2,2,2,0
3598,18,18,18,18,2,2,2,2,0
2571,20,20,20,20,2,3,2,3,0
1921,18,18,18,18,2,2,2,2,0
81,21,21,21,21,2,2,2,2,0
5200,18,18,18,18,2,2,2,2,0
1732,21,21,21,21,2,3,2,3,0
2530,18,19,18,19,2,2,2,2,0
369,23,23,23,23,2,2,2,2,0
5178,18,18,18,18,2,2,2,2,0
5766,21,21,21,21,2,2,2,2,0
257,21,21,21,21,2,2,2,2,0
2333,20,20,20,20,2,2,2,2,0
466,21,21,21,21,2,2,2,2,0
1038,21,21,21,21,2,2,2,2,0
2118,20,20,20,20,2,2,2,2,0
1621,21,21,21,21,2,2,2,2,0
2810,21,21,21,21,2,3,2,3,0
2613,21,21,21,21,2,2,2,2,0
2156,22,23,22,23,2,2,2,2,0
2947,20,20,20,20,2,2,2,2,0
183,21,21,21,21,2,2,2,2,0
1684,18,18,18,18,2,2,2,2,0
3561,18,18,18,18,2,2,2,2,0
5229,18,18,18,18,2,2,2,2,0
2092,20,20,20,20,2,2,2,2,0
5219,21,21,21,21,2,2,2,2,0
1100,23,23,23,23,2,2,2,2,0
1109,21,21,21,21,2,2,2,2,0
387,21,21,21,21,2,2,2,2,0
3734,23,23,23,23,2,2,2,2,0
5360,21,21,21,21,2,2,2,2,0
1095,18,18,18,18,2,2,2,2,0
2797,18,18,18,18,2,2,2,2,0
2053,21,21,21,21,2,2,2,2,0
750,21,21,21,21,2,2,2,2,0
401,21,21,21,21,2,2,2,2,0
2926,21,21,21,21,2,2,2,2,0
2538,18,18,18,18,2,2,2,2,0
1876,18,18,18,18,2,2,2,2,0
4639,21,21,21,21,2,2,2,2,0
4677,21,21,21,21,2,2,2,2,0
252,21,21,21,21,2,2,2,2,0
2604,18,19,18,19,2,2,2,2,0
1869,18,18,18,18,2,2,2,2,0
3266,20,20,20,20,2,2,2,2,0
1509,21,21,21,21,2,2,2,2,0
280,21,21,21,21,2,2,2,2,0
1950,21,21,21,21,2,2,2,2,0
2718,18,20,18,20,2,2,2,2,0
2315,20,20,20,20,2,2,2,2,0
236,22,22,22,22,2,2,2,2,0
4377,21,21,21,21,2,2,2,2,0
2760,21,21,21,21,2,2,2,2,0
1678,21,21,21,21,2,2,2,2,0
166,21,21,21,21,2,2,2,2,0
498,21,21,21,21,2,2,2,2,0
2200,18,18,18,18,2,2,2,2,0
5848,18,19,18,19,2,2,2,2,0
971,21,21,21,21,2,2,2,2,0
56,21,21,21,21,2,2,2,2,0
2785,21,21,21,21,2,2,2,2,0
167,23,23,23,23,2,2,2,2,0
4281,21,21,21,21,2,2,2,2,0
3490,20,21,20,21,2,2,2,2,0
218,23,23,23,23,2,2,2,2,0
568,21,21,21,21,2,2,2,2,0
4191,21,21,21,21,2,2,2,2,0
1389,21,21,21,21,2,2,2,2,0
454,23,23,23,23,2,2,2,2,0
1106,21,21,21,21,2,2,2,2,0
4341,23,23,23,23,2,2,2,2,0
2329,21,21,21,21,2,2,2,2,0
2170,20,20,20,20,2,2,2,2,0
5616,21,21,21,21,2,2,2,2,0
5676,21,21,21,21,2,2,2,2,0
2815,20,20,20,20,2,2,2,2,0
3869,21,21,21,21,2,2,2,2,0
5799,21,21,21,21,2,2,2,2,0
1482,18,18,18,18,2,2,2,2,0
33,23,23,23,23,2,2,2,2,0
305,21,21,21,21,2,2,2,2,0
1073,21,21,21,21,2,2,2,2,0
3269,21,21,21,21,2,2,2,2,0
1334,21,21,21,21,2,2,2,2,0
312,23,23,23,23,2,2,2,2,0
7188,22,22,22,22,2,2,2,2,0
2754,21,21,21,21,2,2,2,2,0
5641,21,22,21,22,2,2,2,2,0
64,23,23,23,23,2,2,2,2,0
978,23,23,23,23,2,2,2,2,0
337,21,21,21,21,2,2,2,2,0
2054,20,21,20,21,2,2,2,2,0
5492,21,21,21,21,2,2,2,2,0
3200,18,18,18,18,2,2,2,2,0
2774,21,22,21,22,2,3,2,3,0
5341,25,25,25,25,2,2,2,2,0
795,21,21,21,21,2,2,2,2,0
3060,24,24,24,24,2,2,2,2,0
2130,23,23,23,23,2,2,2,2,0
1480,23,23,23,23,2,2,2,2,0
2493,21,22,21,22,2,2,2,2,0
436,21,21,21,21,2,2,2,2,0
2563,21,21,21,21,2,2,2,2,0
39,23,23,23,23,2,2,2,2,0
3481,20,21,20,21,2,2,2,2,0
115,21,21,21,21,2,2,2,2,0
2730,23,23,23,23,2,2,2,2,0
1906,18,18,18,18,2,2,2,2,0
4414,23,23,23,23,2,2,2,2,0
3643,21,21,21,21,2,2,2,2,0
4350,21,22,21,22,2,2,2,2,0
18,23,23,23,23,2,2,2,2,0
225,21,21,21,21,2,2,2,2,0
1803,23,23,23,23,2,2,2,2,0
1963,22,22,22,22,2,2,2,2,0
233,21,21,21,21,2,2,2,2,0
1537,18,18,18,18,2,2,2,2,0
5886,21,21,21,21,2,2,2,2,0
3562,18,19,18,19,2,2,2,2,0
4636,21,21,21,21,2,2,2,2,0
2584,23,23,23,23,2,2,2,2,0
3170,22,22,22,22,2,2,2,2,0
50,21,21,21,21,2,2,2,2,0
1147,23,23,23,23,2,2,2,2,0
4696,24,24,24,24,2,2,2,2,0
1755,20,21,20,21,2,2,2,2,0
2109,18,18,18,18,2,2,2,2,0
5077,18,19,18,19,2,2,2,2,0
1114,23,23,23,23,2,2,2,2,0
5996,18,18,18,18,2,2,2,2,0
2646,21,21,21,21,2,2,2,2,0
954,23,23,23,23,2,2,2,2,0
4436,23,23,23,23,2,2,2,2,0
2319,20,20,20,20,2,2,2,2,0
4209,23,23,23,23,2,2,2,2,0
846,21,21,21,21,2,2,2,2,0
5888,21,21,21,21,2,2,2,2,0
1175,18,18,18,18,2,2,2,2,0
5228,18,18,18,18,2,2,2,2,0
5797,21,21,21,21,2,2,2,2,0
1930,18,18,18,18,2,2,2,2,0
49,21,21,21,21,2,2,2,2,0
561,21,21,21,21,2,2,2,2,0
1918,18,18,18,18,2,2,2,2,0
2621,20,20,20,20,2,2,2,2,0
1827,21,21,21,21,2,2,2,2,0
2934,21,21,21,21,2,2,2,2,0
2348,23,23,23,23,2,2,2,2,0
5201,20,21,20,21,2,2,2,2,0
357,21,21,21,21,2,2,2,2,0
1174,23,23,23,23,2,2,2,2,0
1898,21,21,21,21,2,2,2,2,0
2224,18,18,18,18,2,2,2,2,0
279,21,21,21,21,2,2,2,2,0
102,21,21,21,21,2,2,2,2,0
2758,23,23,23,23,2,2,2,2,0
2096,21,21,21,21,2,2,2,2,0
2509,23,23,23,23,2,2,2,2,0
526,21,21,21,21,2,2,2,2,0
3876,23,24,23,24,2,2,2,2,0
1587,20,20,20,20,2,2,2,2,0
390,21,21,21,21,2,2,2,2,0
97,21,21,21,21,2,2,2,2,0
1670,18,18,18,18,2,2,2,2,0
4459,21,21,21,21,2,2,2,2,0
858,21,21,21,21,2,3,2,3,0
2227,18,18,18,18,2,2,2,2,0
2471,23,24,23,24,2,3,2,3,0
4374,23,23,23,23,2,2,2,2,0
1727,21,21,21,21,2,2,2,2,0
3103,21,21,21,21,2,2,2,2,0
240,21,21,21,21,2,2,2,2,0
5294,20,20,20,20,2,2,2,2,0
5411,23,23,23,23,2,2,2,2,0
1615,22,22,22,22,2,2,2,2,0
3791,23,24,23,24,2,2,2,2,0
432,23,23,23,23,2,2,2,2,0
2188,21,21,21,21,2,2,2,2,0
3807,21,21,21,21,2,2,2,2,0
3381,21,21,21,21,2,2,2,2,0
3191,21,21,21,21,2,2,2,2,0
3772,23,23,23,23,2,2,2,2,0
63,23,23,23,23,2,2,2,2,0
1061,21,22,21,22,2,2,2,2,0
4570,21,21,21,21,2,2,2,2,0
4246,21,21,21,21,2,2,2,2,0
6951,23,23,23,23,2,2,2,2,0
2404,21,21,21,21,2,2,2,2,0
5444,23,23,23,23,2,3,2,3,0
2564,21,21,21,21,2,2,2,2,0
2424,21,21,21,21,2,2,2,2,0
1579,21,21,21,21,2,2,2,2,0
202,24,24,24,24,2,2,2,2,0
296,21,21,21,21,2,2,2,2,0
288,24,24,24,24,2,2,2,2,0
4372,23,23,23,23,2,3,2,3,0
2297,22,22,22,22,2,2,2,2,0
1675,21,21,21,21,2,2,2,2,0
4568,21,21,21,21,2,2,2,2,0
2542,21,20,21,20,2,2,2,2,0
863,23,23,23,23,2,2,2,2,0
68,23,23,23,23,2,2,2,2,0
2178,23,23,23,23,2,2,2,2,0
4103,23,23,23,23,2,2,2,2,0
1716,18,19,18,19,2,2,2,2,0
519,23,23,23,23,2,2,2,2,0
3760,23,23,23,23,2,2,2,2,0
2275,23,23,23,23,2,2,2,2,0
2052,22,22,22,22,2,2,2,2,0
3059,23,24,23,24,2,2,2,2,0
1920,18,19,18,19,2,2,2,2,0
5032,22,23,22,23,2,2,2,2,0
748,23,23,23,23,2,2,2,2,0
3812,21,21,21,21,2,2,2,2,0
1858,21,22,21,22,2,2,2,2,0
292,23,23,23,23,2,2,2,2,0
42,21,21,21,21,2,2,2,2,0
1054,23,23,23,23,2,2,2,2,0
2180,18,18,18,18,2,2,2,2,0
3785,21,21,21,21,2,2,2,2,0
2633,18,18,18,18,2,2,2,2,0
1316,21,21,21,21,2,2,2,2,0
1131,21,21,21,21,2,2,2,2,0
4309,21,22,21,22,2,2,2,2,0
5857,21,21,21,21,2,2,2,2,0
3415,21,21,21,21,2,2,2,2,0
2908,21,21,21,21,2,2,2,2,0
5356,21,21,21,21,2,2,2,2,0
2320,21,21,21,21,2,2,2,2,0
1435,23,23,23,23,2,2,2,2,0
2207,23,23,23,23,2,2,2,2,0
2965,20,20,20,20,2,2,2,2,0
2317,22,22,22,22,2,2,2,2,0
5352,25,25,25,25,2,2,2,2,0
1143,23,23,23,23,2,2,2,2,0
5893,21,23,21,23,2,2,2,2,0
3806,23,23,23,23,2,2,2,2,0
1521,25,25,25,25,2,2,2,2,0
4689,21,21,21,21,2,2,2,2,0
145,21,21,21,21,2,2,2,2,0
351,24,24,24,24,2,2,2,2,0
5768,21,22,21,22,2,3,2,3,0
239,21,21,21,21,2,2,2,2,0
3749,25,25,25,25,2,2,2,2,0
5152,20,20,20,20,2,2,2,2,0
2849,22,22,22,22,2,3,2,3,0
2248,18,18,18,18,2,2,2,2,0
5146,25,26,25,26,2,2,2,2,0
707,23,23,23,23,2,2,2,2,0
1855,21,21,21,21,2,2,2,2,0
4131,23,24,23,24,2,2,2,2,0
5482,23,23,23,23,2,2,2,2,0
3087,18,18,18,18,2,2,2,2,0
2518,20,20,20,20,2,2,2,2,0
98,23,24,23,24,2,2,2,2,0
982,23,23,23,23,2,2,2,2,0
82,21,21,21,21,2,2,2,2,0
27,21,21,21,21,2,2,2,2,0
2905,18,19,18,19,2,2,2,2,0
2264,22,22,22,22,2,2,2,2,0
1625,23,23,23,23,2,2,2,2,0
1272,21,21,21,21,2,2,2,2,0
5386,23,23,23,23,2,2,2,2,0
5340,22,22,22,22,2,2,2,2,0
2696,21,21,21,21,2,2,2,2,0
4690,21,21,21,21,2,2,2,2,0
4162,23,24,23,24,2,2,2,2,0
1196,23,23,23,23,2,2,2,2,0
8930,21,22,21,22,2,3,2,3,0
476,23,23,23,23,2,2,2,2,0
1115,21,21,21,21,2,2,2,2,0
1650,21,21,21,21,2,2,2,2,0
1653,22,22,22,22,2,2,2,2,0
2232,18,18,18,18,2,2,2,2,0
2769,24,24,24,24,2,2,2,2,0
5489,23,23,23,23,2,2,2,2,0
2902,18,18,18,18,2,2,2,2,0
273,21,21,21,21,2,2,2,2,0
1347,23,23,23,23,2,2,2,2,0
4687,21,21,21,21,2,2,2,2,0
336,21,21,21,21,2,2,2,2,0
2361,22,22,22,22,2,2,2,2,0
2495,22,22,22,22,2,2,2,2,0
1416,23,23,23,23,2,2,2,2,0
4461,21,21,21,21,2,2,2,2,0
161,21,21,21,21,2,2,2,2,0
2909,21,21,21,21,2,2,2,2,0
2941,25,25,25,25,2,2,2,2,0
1098,25,25,25,25,2,2,2,2,0
1043,23,23,23,23,2,2,2,2,0
5073,20,19,20,19,2,2,2,2,0
6392,23,23,23,23,2,2,2,2,0
4543,21,22,21,22,2,2,2,2,0
4232,21,21,21,21,2,2,2,2,0
4389,23,23,23,23,2,2,2,2,0
2662,21,21,21,21,2,2,2,2,0
5835,23,23,23,23,2,2,2,2,0
1467,21,21,21,21,2,2,2,2,0
77,23,23,23,23,2,2,2,2,0
5355,23,23,23,23,2,2,2,2,0
3394,23,23,23,23,2,2,2,2,0
2794,21,21,21,21,2,2,2,2,0
3182,23,23,23,23,2,2,2,2,0
5869,21,21,21,21,2,2,2,2,0
2184,18,18,18,18,2,2,2,2,0
2373,20,20,20,20,2,2,2,2,0
5806,23,23,23,23,2,3,2,3,0
523,21,21,21,21,2,2,2,2,0
1265,21,21,21,21,2,2,2,2,0
2250,21,22,21,22,2,2,2,2,0
1548,21,21,21,21,2,2,2,2,0
1152,21,21,21,21,2,2,2,2,0
4194,26,26,26,26,2,2,2,2,0
254,23,24,23,24,2,2,2,2,0
1630,23,23,23,23,2,2,2,2,0
3217,21,21,21,21,2,3,2,3,0
5667,21,21,21,21,2,2,2,2,0
5498,23,24,23,24,2,2,2,2,0
5969,21,21,21,21,2,2,2,2,0
962,25,25,25,25,2,2,2,2,0
1512,23,24,23,24,2,3,2,3,0
5944,21,21,21,21,2,2,2,2,0
2044,22,22,22,22,2,2,2,2,0
847,23,23,23,23,2,2,2,2,0
360,23,23,23,23,2,2,2,2,0
3430,23,23,23,23,2,2,2,2,0
897,24,24,24,24,2,2,2,2,0
3768,24,24,24,24,2,2,2,2,0
1295,21,21,21,21,2,2,2,2,0
5761,23,23,23,23,2,2,2,2,0
2039,22,22,22,22,2,2,2,2,0
2206,22,23,22,23,2,2,2,2,0
111,23,23,23,23,2,2,2,2,0
3057,25,25,25,25,2,2,2,2,0
1051,25,25,25,25,2,2,2,2,0
627,23,23,23,23,2,2,2,2,0
2332,22,22,22,22,2,2,2,2,0
1561,25,25,25,25,2,2,2,2,0
1867,20,20,20,20,2,2,2,2,0
1154,25,25,25,25,2,2,2,2,0
173,21,21,21,21,2,2,2,2,0
2144,18,18,18,18,2,2,2,2,0
2228,22,22,22,22,2,2,2,2,0
2607,21,21,21,21,2,2,2,2,0
6887,23,23,23,23,2,2,2,2,0
2652,21,21,21,21,2,2,2,2,0
3305,23,23,23,23,2,2,2,2,0
2608,23,23,23,23,2,2,2,2,0
3701,23,23,23,23,2,2,2,2,0
302,23,23,23,23,2,2,2,2,0
2639,21,21,21,21,2,2,2,2,0
368,23,23,23,23,2,2,2,2,0
2618,23,23,23,23,2,2,2,2,0
1366,21,21,21,21,2,2,2,2,0
788,23,23,23,23,2,2,2,2,0
979,23,23,23,23,2,2,2,2,0
1277,23,23,23,23,2,2,2,2,0
465,23,23,23,23,2,2,2,2,0
3493,20,20,20,20,2,2,2,2,0
2636,20,21,20,21,2,2,2,2,0
3742,21,21,21,21,2,2,2,2,0
1672,23,23,23,23,2,2,2,2,0
2418,22,22,22,22,2,2,2,2,0
4185,23,23,23,23,2,2,2,2,0
4244,23,23,23,23,2,3,2,3,0
6952,23,23,23,23,2,2,2,2,0
1018,23,23,23,23,2,2,2,2,0
876,21,21,21,21,2,2,2,2,0
1933,20,20,20,20,2,2,2,2,0
1953,21,21,21,21,2,2,2,2,0
1393,25,25,25,25,2,2,2,2,0
3810,23,24,23,24,2,2,2,2,0
4063,23,23,23,23,2,2,2,2,0
1925,21,21,21,21,2,2,2,2,0
1093,23,23,23,23,2,2,2,2,0
2258,20,21,20,21,2,2,2,2,0
2600,25,25,25,25,2,2,2,2,0
1423,25,25,25,25,2,2,2,2,0
2137,25,25,25,25,2,2,2,2,0
5131,22,22,22,22,2,2,2,2,0
