Store ,Launch Date 
1429,7/24/2025
1432,7/24/2025
1433,7/24/2025
1434,7/24/2025
1436,7/24/2025
1438,7/24/2025
1439,7/24/2025
1440,7/24/2025
1441,7/24/2025
1442,7/24/2025
1443,7/24/2025
1444,7/24/2025
1445,7/24/2025
1448,7/24/2025
1450,7/24/2025
1452,7/24/2025
1456,7/24/2025
1457,7/24/2025
1458,7/24/2025
1459,7/24/2025
1461,7/24/2025
1463,7/24/2025
1464,7/24/2025
1465,7/24/2025
1466,7/24/2025
1469,7/24/2025
1474,7/24/2025
1476,7/24/2025
1477,7/24/2025
1478,7/24/2025
1480,7/24/2025
1482,7/24/2025
1485,7/24/2025
1486,7/24/2025
1488,7/24/2025
1492,7/24/2025
1495,7/24/2025
1498,7/24/2025
1499,7/24/2025
1501,7/24/2025
1502,7/24/2025
1503,7/24/2025
1504,7/24/2025
1505,7/24/2025
1508,7/24/2025
1510,7/24/2025
1511,7/24/2025
1512,7/24/2025
1513,7/24/2025
1517,7/24/2025
1518,7/24/2025
1519,7/24/2025
1521,7/24/2025
1522,7/24/2025
1523,7/24/2025
1524,7/24/2025
1525,7/24/2025
1527,7/24/2025
1529,7/24/2025
1532,7/24/2025
1533,7/24/2025
1536,7/24/2025
1537,7/24/2025
1539,7/24/2025
1540,7/24/2025
1541,7/24/2025
1542,7/24/2025
1543,7/24/2025
1544,7/24/2025
1547,7/24/2025
1549,7/24/2025
1550,7/24/2025
1552,7/24/2025
1557,7/24/2025
1558,7/24/2025
1559,7/24/2025
1560,7/24/2025
1564,7/24/2025
1566,7/24/2025
1567,7/24/2025
1568,7/24/2025
1569,7/24/2025
1570,7/24/2025
1572,7/24/2025
1573,7/24/2025
1578,7/24/2025
1579,7/24/2025
1580,7/24/2025
1584,7/24/2025
1586,7/24/2025
1589,7/24/2025
1590,7/24/2025
1591,7/24/2025
1592,7/24/2025
1593,7/24/2025
1594,7/24/2025
1595,7/24/2025
1598,7/24/2025
1601,7/24/2025
1603,7/24/2025
1604,7/24/2025
1606,7/24/2025
1607,7/24/2025
1610,7/24/2025
1611,7/24/2025
1612,7/24/2025
1613,7/24/2025
1614,7/24/2025
1617,7/24/2025
1619,7/24/2025
1622,7/24/2025
