Store #,Store Name,City,State,Associated Signage
1193,MONROE LA,MONROE,LA,English
1194,OAK RIDGE TN,OAK RIDGE,TN,English
1195,WAVELAND MS,WAVELAND,MS,English
1196,NEW ROADS LA,NEW ROADS,LA,English
1197,ROCKY MOUNT NC,ROCKY MOUNT,NC,English
1198,SAN ANTONIO (N) TX,SAN ANTONIO,TX,Bilingual
1199,AVON CO,AVON,CO,Bilingual
1200,COLORADO SPRINGS CO,COLORADO SPRINGS,CO,Bilingual
1201,GARDENDALE AL,GARDENDALE,AL,English
1202,WISCONSIN RAPIDS WI,WISCONSIN RAPIDS,WI,English
1203,WIMAUMA FL,WIMAUMA,FL,Bilingual
1204,LAKE CHARLES (W) LA,LAKE CHARLES,LA,English
1205,MACCLENNY FL,MACCLENNY,FL,English
1206,BATON ROUGE LA,BATON ROUGE,LA,English
1207,CALLAWAY FL PANAMA CITY E,CALLAWAY,FL,English
1209,LINCOLNTON NC,LINCOLNTON,NC,English
1210,NICHOLASVILLE KY,NICHOLASVILLE,KY,English
1211,HARVARD IL,HARVARD,IL,Bilingual
1212,SARALAND AL,SARALAND,AL,English
1213,"BROOKSVILLE, FL",BROOKSVILLE,FL,Bilingual
1214,"COLBY, KS",COLBY,KS,English
1215,CALHOUN GA,CALHOUN,GA,Bilingual
1216,CARROLLTON TX,CARROLLTON,TX,Bilingual
1217,FRANKLIN NC,FRANKLIN,NC,English
1218,CASA GRANDE AZ,CASA GRANDE,AZ,Bilingual
1219,JACKSONVILLE FL,JACKSONVILLE,FL,English
1220,ORLANDO FL,ORLANDO,FL,Bilingual
1221,WICHITA KS,WICHITA,KS,Bilingual
1222,PENSACOLA (N) FL,PENSACOLA,FL,English
1223,TALLAHASSEE (NE) FL,TALLAHASSEE,FL,English
1224,PENSACOLA FL,PENSACOLA,FL,English
1225,ORANGE PARK FL,ORANGE PARK,FL,English
1226,ASHLAND CITY TN,ASHLAND CITY,TN,English
1227,"AUGUSTA (MARTINEZ), GA",AUGUSTA,GA,English
1228,ROUND LAKE BEACH IL,ROUND LAKE BEACH,IL,Bilingual
1229,HOOVER(BIRMINGHAM) AL,HOOVER,AL,English
1230,"SHOW LOW, AZ",SHOW LOW,AZ,English
1231,THORNTON CO,THORNTON,CO,Bilingual
1232,BELTON TX,BELTON,TX,Bilingual
1233,PAINTSVILLE KY,PAINTSVILLE,KY,English
1234,MONTICELLO KY,MONTICELLO,KY,English
1235,SAN ANTONIO TX,SAN ANTONIO,TX,Bilingual
1236,GOLDSBORO NC,GOLDSBORO,NC,English
1237,DUNN NC,ERWIN,NC,English
1238,FAYETTEVILLE NC,FAYETTEVILLE,NC,English
1239,URBANA OH,URBANA,OH,English
1240,SIERRA VISTA AZ,SIERRA VISTA,AZ,Bilingual
1241,DAVENPORT IA,DAVENPORT,IA,English
1242,HENDERSONVILLE NC,HENDERSONVILLE,NC,Bilingual
1243,MARTINSVILLE VA,MARTINSVILLE,VA,English
1244,GREENVILLE / TAYLOR SC,TAYLORS,SC,English
1245,LAKELAND(N) FL,LAKELAND,FL,Bilingual
1247,HAZARD KY,HAZARD,KY,English
1248,MEMPHIS (SE) TN,MEMPHIS,TN,English
1249,"SAN ANGELO, TX",SAN ANGELO,TX,Bilingual
1252,"HIGHLANDS RANCH, CO",HIGHLANDS RANCH,CO,English
1253,AUSTIN (S) TX,AUSTIN,TX,Bilingual
1254,BELLMEAD TX,BELLMEAD,TX,Bilingual
1255,LAURINBURG NC,LAURINBURG,NC,English
1256,JOLIET IL,JOLIET,IL,Bilingual
1257,STAMFORD TX,STAMFORD,TX,Bilingual
1259,CORBIN KY,CORBIN,KY,English
1260,LUCEDALE MS,LUCEDALE,MS,English
1261,FAYETTEVILLE (NE) NC,FAYETTEVILLE,NC,English
1263,"EVANSVILLE, IN",EVANSVILLE,IN,English
1264,"BELLEFONTAINE,OH",BELLEFONTAINE,OH,English
1265,ST LOUIS MO,SAINT LOUIS,MO,English
1266,BATON ROUGE LA,BATON ROUGE,LA,English
1267,SUN PRAIRIE WI,SUN PRAIRIE,WI,English
1268,WHITEVILLE NC,WHITEVILLE,NC,English
1270,NORTH AUGUSTA SC,NORTH AUGUSTA,SC,English
1271,MERIDIAN MS,MERIDIAN,MS,English
1272,SNYDER TX,SNYDER,TX,Bilingual
1273,FOUNTAIN CO,FOUNTAIN,CO,Bilingual
1274,WHITEWATER WI,WHITEWATER,WI,English
1275,LEBANON IN,LEBANON,IN,English
1276,"SHEBOYGAN, WI",SHEBOYGAN,WI,English
1277,BLACK RIVER FALLS WI,BLACK RIVER FALLS,WI,English
1279,HOUSTON TX,HOUSTON,TX,Bilingual
1280,GRAND JUNCTION CO,GRAND JUNCTION,CO,Bilingual
1281,SPARTENBURG (EAST) SC,SPARTANBURG,SC,English
1282,CONCORDIA KS,CONCORDIA,KS,English
1283,STARKE FL,STARKE,FL,English
1284,PHENIX CITY AL,PHENIX CITY,AL,English
1285,OTTUMWA IA,OTTUMWA,IA,English
1286,COLUMBIA SC,COLUMBIA,SC,English
1287,BURLINGTON NC,BURLINGTON,NC,English
1288,ROXBORO NC,ROXBORO,NC,English
1289,WILMINGTON OH,WILMINGTON,OH,English
1290,WILKESBORO NC,WILKESBORO,NC,English
1291,TUCSON (E) AZ,TUCSON,AZ,Bilingual
1292,CHRISTIANSBURG VA,CHRISTIANSBURG,VA,English
1293,AUGUSTA GA,AUGUSTA,GA,English
1294,MARION IN,MARION,IN,English
1295,MADILL OK,MADILL,OK,Bilingual
1296,SAN BENITO TX,SAN BENITO,TX,Bilingual
1297,CHIEFLAND FL,CHIEFLAND,FL,English
1298,JACKSONVILLE NC,JACKSONVILLE,NC,English
1299,COTTONWOOD AZ,COTTONWOOD,AZ,Bilingual
1300,NEW BERN NC,NEW BERN,NC,English
1301,ROANOKE (S) VA,ROANOKE,VA,English
1302,NORTON VA,NORTON,VA,English
1303,GEORGETOWN TX,GEORGETOWN,TX,Bilingual
1304,WARSAW IN,WARSAW,IN,English
1305,JANESVILLE WI,JANESVILLE,WI,English
1306,ALAMOGORDO NM,ALAMOGORDO,NM,Bilingual
1307,BOURBONAIS IL,BOURBONNAIS,IL,English
1308,LITTLETON/DENVER (SW) CO,LITTLETON,CO,Bilingual
1309,"SALEM, VA",SALEM,VA,English
1310,TERRE HAUTE (S) IN,TERRE HAUTE,IN,English
1311,COLUMBUS (N) GA,COLUMBUS,GA,English
1312,SPRING LAKE NC,SPRING LAKE,NC,English
1313,SAN ANTONIO (S) TX,SAN ANTONIO,TX,Bilingual
1314,BUFORD GA,BUFORD,GA,Bilingual
1315,CHEYENNE WY,CHEYENNE,WY,English
1316,STURGEON BAY WI,STURGEON BAY,WI,English
1317,ASHEVILLE (E) NC,ASHEVILLE,NC,English
1318,KNOXVILLE (NW) TN,KNOXVILLE,TN,English
1319,KNOXVILLE (N) TN,KNOXVILLE,TN,English
1320,KNOXVILLE (SE) TN,KNOXVILLE,TN,English
1321,"SMITHFIELD, NC",SMITHFIELD,NC,Bilingual
1322,LEXINGTON NC,LEXINGTON,NC,English
1323,PEORIA IL,PEORIA,IL,English
1324,NOGALES AZ,NOGALES,AZ,Bilingual
1325,TUCSON (N) AZ,TUCSON,AZ,Bilingual
1326,NORTH GRAND ISLAND,GRAND ISLAND,NE,Bilingual
1327,MADISON IN,MADISON,IN,English
1328,WINSLOW AZ,WINSLOW,AZ,Bilingual
1329,LOGANSPORT IN,LOGANSPORT,IN,Bilingual
1330,LIMA OH,LIMA,OH,English
1331,SIDNEY OH,SIDNEY,OH,English
1332,"SOUTH SIOUX CITY, NE",SOUTH SIOUX CITY,NE,Bilingual
1333,VAN WERT OH,VAN WERT,OH,English
1334,CLAYPOOL/MIAMI AZ,CLAYPOOL,AZ,Bilingual
1335,LEXINGTON VA,LEXINGTON,VA,English
1336,MARION VA,MARION,VA,English
1337,ELKIN NC,ELKIN,NC,English
1338,COLUMBUS (S) GA,COLUMBUS,GA,English
1339,COLUMBIA (NE) SC,COLUMBIA,SC,English
1340,ATLANTA/DECATUR GA,LITHONIA,GA,English
1341,EVANSVILLE(W) IN,EVANSVILLE,IN,English
1342,KENNER LA,KENNER,LA,Bilingual
1344,STAUNTON VIRGINIA,STAUNTON,VA,English
1345,SOUTH BOSTON VA,SOUTH BOSTON,VA,English
1346,OCEAN SPRINGS MS,OCEAN SPRINGS,MS,English
1347,SAN ANTONIO (E) TX,SAN ANTONIO,TX,Bilingual
1348,WILMINGTON (S) NC,WILMINGTON,NC,English
1349,SUNRISE FL,SUNRISE,FL,Bilingual
1350,LYNCHBURG VA,LYNCHBURG,VA,English
1351,BECKLEY WV,BECKLEY,WV,English
1352,WALLACE NC,WALLACE,NC,English
1353,HARAHAN LA,HARAHAN,LA,English
1354,WASHINGTON NC,WASHINGTON,NC,English
1355,MOREHEAD CITY NC,MOREHEAD CITY,NC,English
1356,MARTINSVILLE IN,MARTINSVILLE,IN,English
1357,SILVER CITY NM,SILVER CITY,NM,Bilingual
1358,WALTERBORO SC,WALTERBORO,SC,English
1359,NORTH CHARLESTON SC,NORTH CHARLESTON,SC,English
1360,"FAYETTEVILLE, WV",FAYETTEVILLE,WV,English
1361,SIOUX CITY IA,SIOUX CITY,IA,English
1362,DESTIN FL,DESTIN,FL,English
1363,MADISON GA,MADISON,GA,English
1364,LAKE HAVASU CITY AZ,LAKE HAVASU CITY,AZ,Bilingual
1365,HUDSON WI,HUDSON,WI,English
1366,MERRILL WI,MERRILL,WI,English
1367,WARNER ROBINS GA,WARNER ROBINS,GA,English
1368,WEST UNION OH,WEST UNION,OH,English
1369,PAYSON AZ,PAYSON,AZ,English
1370,BULLHEAD CITY AZ,BULLHEAD CITY,AZ,Bilingual
1371,COLUMBUS IN,COLUMBUS,IN,English
1372,GARNER/RALEIGH NC,RALEIGH,NC,Bilingual
1373,LILBURN (DULUTH) GA,LILBURN,GA,Bilingual
1374,"ALTAMONTE SPRINGS , FL",ALTAMONTE SPRINGS,FL,Bilingual
1375,MARIANNA FL,MARIANNA,FL,English
1376,HENDERSONVILLE TN,HENDERSONVILLE,TN,English
1377,MCHENRY IL,JOHNSBURG,IL,English
1378,"GOSHEN (S), IN",GOSHEN,IN,Bilingual
1379,GREENVILLE NC,GREENVILLE,NC,English
1380,LAS VEGAS NM,LAS VEGAS,NM,Bilingual
1381,"APACHE JUNCTION, AZ",APACHE JUNCTION,AZ,Bilingual
1382,GREENWOOD SC,GREENWOOD,SC,English
1383,BEAUFORT SC,BEAUFORT,SC,English
1384,LA JUNTA CO,LA JUNTA,CO,Bilingual
1385,GASTONIA NC,GASTONIA,NC,English
1386,PONTIAC IL,PONTIAC,IL,English
1387,CORAL SPRINGS FL,CORAL SPRINGS,FL,Bilingual
1388,KENDALLVILLE IN,KENDALLVILLE,IN,English
1389,BOONE IA,BOONE,IA,English
1390,PINELLAS PARK FL,PINELLAS PARK,FL,English
1391,DAYTONA BEACH FL,DAYTONA BEACH,FL,English
1392,WILMINGTON (N) NC,WILMINGTON,NC,English
1393,OSKALOOSA IA,OSKALOOSA,IA,English
1394,GREENFIELD WI,GREENFIELD,WI,Bilingual
1395,CENTRALIA IL,CENTRALIA,IL,English
1396,BARABOO WI,BARABOO,WI,English
1397,ALBQUERQUE (NW) NM,ALBUQUERQUE,NM,Bilingual
1398,LAKE WORTH FL,LAKE WORTH,FL,Bilingual
1399,BEDFORD VA,BEDFORD,VA,English
1400,ATHENS GA,ATHENS,GA,English
1401,NAPERVILLE IL,NAPERVILLE,IL,English
1403,CORNELIA GA,CORNELIA,GA,Bilingual
1404,LAKE ZURICH IL,LAKE ZURICH,IL,English
1405,"BAY CITY, TX",BAY CITY,TX,Bilingual
1406,WINCHESTER VA,WINCHESTER,VA,Bilingual
1407,LEBANON OH,LEBANON,OH,English
1408,TALLAHASSEE(W) FL,TALLAHASSEE,FL,English
1409,HOUSTON TX,HOUSTON,TX,Bilingual
1410,TROY OH,TROY,OH,English
1411,GREEN VALLEY AZ,GREEN VALLEY,AZ,Bilingual
1412,LARAMIE WY,LARAMIE,WY,English
1413,CRYSTAL LAKE IL,CRYSTAL LAKE,IL,English
1414,BELEN NM,BELEN,NM,Bilingual
1415,SPIRIT LAKE IA,SPIRIT LAKE,IA,English
1416,NAPOLEON OH,NAPOLEON,OH,English
1417,PRESCOTT AZ,PRESCOTT,AZ,Bilingual
1418,"O`FALLON, IL",O FALLON,IL,English
1419,FT WAYNE(N) IN,FORT WAYNE,IN,English
1420,STREAMWOOD IL,STREAMWOOD,IL,Bilingual
1421,WASHINGTON/ MEADOWS,WASHINGTON,IL,English
1422,ALMA MI,ALMA,MI,English
1423,ST JOHNS MI,SAINT JOHNS,MI,English
1424,COLONIAL HEIGHTS VA,COLONIAL HEIGHTS,VA,English
1425,COLUMBIA CITY IN,COLUMBIA CITY,IN,English
1426,ASHLAND KY,ASHLAND,KY,English
1427,CIRCLEVILLE OH,CIRCLEVILLE,OH,English
1428,MT PLEASANT MI,MOUNT PLEASANT,MI,English
1429,FREMONT OH,FREMONT,OH,English
1430,OSHKOSH WI,OSHKOSH,WI,English
1431,KEOKUK IA,KEOKUK,IA,English
1432,CADILLAC MI,CADILLAC,MI,English
1433,CELINA OH,CELINA,OH,English
1434,COLORADO SPRINGS CO,COLORADO SPRINGS,CO,Bilingual
1435,CRESTON IA,CRESTON,IA,English
1436,"GREENACRES CITY, FL",GREENACRES,FL,Bilingual
1437,GUYMON OK,GUYMON,OK,Bilingual
1438,CEDAR CITY UT,CEDAR CITY,UT,English
1439,"WASHINGTON CITY, UTAH",WASHINGTON,UT,Bilingual
1440,TOOELE UT,TOOELE,UT,English
1441,"MASON, OH",MASON,OH,English
1442,PAGE AZ,PAGE,AZ,English
1443,CINCINNATI (SE) OH,CINCINNATI,OH,English
1444,JACKSONVILLE FL,JACKSONVILLE,FL,English
1445,PORT CLINTON OH,PORT CLINTON,OH,English
1446,RICE LAKE WI,RICE LAKE,WI,English
1447,SUPERIOR WI,SUPERIOR,WI,English
1448,ASHLAND OH,ASHLAND,OH,English
1449,MANITOWOC WI,MANITOWOC,WI,English
1450,RIPLEY WV,RIPLEY,WV,English
1451,BEARDSTOWN IL,BEARDSTOWN,IL,Bilingual
1452,CHARLOTTE (S) NC EF,CHARLOTTE,NC,English
1453,GREEN BAY WI,GREEN BAY,WI,English
1454,QUINCY IL,QUINCY,IL,English
1455,FT WORTH TX,FORT WORTH,TX,Bilingual
1456,EVANSTON WY,EVANSTON,WY,English
1457,RIVERTON WY,RIVERTON,WY,English
1458,"FT. OGLETHORPE, GA",FORT OGLETHORPE,GA,English
1459,INDIANAPOLIS(S) IN,INDIANAPOLIS,IN,English
1460,HASTINGS NE,HASTINGS,NE,English
1461,ROCK SPRINGS WY,ROCK SPRINGS,WY,Bilingual
1462,GREENVILLE AL,GREENVILLE,AL,English
1463,XENIA OH,XENIA,OH,English
1464,CHARLOTTE (SW) NC,CHARLOTTE,NC,Bilingual
1465,DANVILLE VA,DANVILLE,VA,English
1466,"LA FOLLETTE, TN",JACKSBORO,TN,English
1467,JAMESTOWN TN,JAMESTOWN,TN,English
1468,BATESVILLE MS,BATESVILLE,MS,English
1469,CHATTANOOGA (CENTRAL) TN,CHATTANOOGA,TN,English
1470,WILLMAR MN,WILLMAR,MN,Bilingual
1471,NEW LONDON WI,NEW LONDON,WI,English
1472,HASTINGS MN,HASTINGS,MN,English
1473,MANKATO MN,MANKATO,MN,English
1474,YUMA AZ,YUMA,AZ,Bilingual
1475,WASHINGTON IA,WASHINGTON,IA,English
1476,CLARKSVILLE IN,CLARKSVILLE,IN,English
1477,SUMMERSVILLE WV,SUMMERSVILLE,WV,English
1478,"SOUTH POINT, OH",SOUTH POINT,OH,English
1479,VALPARAISO IN,VALPARAISO,IN,English
1480,WINCHESTER IN,WINCHESTER,IN,English
1481,"HOMEWOOD, AL",HOMEWOOD,AL,English
1482,TAMPA (W)FL,TAMPA,FL,Bilingual
1483,YANKTON SD,YANKTON,SD,English
1485,GILLETTE WY,GILLETTE,WY,English
1486,FARMVILLE VA,FARMVILLE,VA,English
1487,MICHIGAN CITY IN,MICHIGAN CITY,IN,English
1488,DOUGLASVILLE (SW) GA,DOUGLASVILLE,GA,English
1489,VERNON HILLS IL,VERNON HILLS,IL,Bilingual
1490,ROCKFORD IL,ROCKFORD,IL,Bilingual
1491,INDIANOLA IA,INDIANOLA,IA,English
1492,AURORA CO,AURORA,CO,Bilingual
1493,MONROEVILLE AL,MONROEVILLE,AL,English
1494,CORPUS CHRISTI TX,CORPUS CHRISTI,TX,Bilingual
1495,"HUBER HEIGHTS, OH",HUBER HEIGHTS,OH,English
1496,WATERLOO IA,WATERLOO,IA,English
1497,RICHTON PARK IL,RICHTON PARK,IL,English
1498,GREENSBORO NC,GREENSBORO,NC,English
1499,LEWISBURG WV,LEWISBURG,WV,English
1500,WATERTOWN SD,WATERTOWN,SD,English
1501,TAMPA (N) FL,TAMPA,FL,Bilingual
1502,ROANOKE RAPIDS NC,ROANOKE RAPIDS,NC,English
1503,CENTERVILLE/DAY(SE) OH,DAYTON,OH,English
1504,DAYTON/MIAMISBURG OH,DAYTON,OH,English
1505,PIKEVILLE KY,PIKEVILLE,KY,English
1506,MANCHESTER IA,MANCHESTER,IA,English
1507,"WICHITA (NE), KS",WICHITA,KS,English
1508,SHERIDAN WY,SHERIDAN,WY,English
1509,MAQUOKETA IA,MAQUOKETA,IA,English
1510,FLORENCE KY,FLORENCE,KY,Bilingual
1511,MIRAMAR FL,MIRAMAR,FL,Bilingual
1512,CHANDLER AZ,CHANDLER,AZ,Bilingual
1513,PALM HARBOR FL,PALM HARBOR,FL,English
1514,ARNOLD MO,ARNOLD,MO,English
1515,"GERMANTOWN, WI",GERMANTOWN,WI,English
1516,BORGER TX,BORGER,TX,Bilingual
1517,POMPANO BEACH FL,POMPANO BEACH,FL,Bilingual
1518,INDIANAPOLIS IN,INDIANAPOLIS,IN,English
1519,"JACKSON, OH",JACKSON,OH,English
1520,ABERDEEN SD,ABERDEEN,SD,English
1521,"CINCINNATI,OH",CINCINNATI,OH,English
1522,ELKINS WV,ELKINS,WV,English
1523,"GLEN ALLEN, VA",GLEN ALLEN,VA,English
1524,"CHESTER, VA",CHESTER,VA,English
1525,MECHANICSVILLE VA,MECHANICSVILLE,VA,English
1526,STORM LAKE IA,STORM LAKE,IA,Bilingual
1527,ELIZABETH CITY NC,ELIZABETH CITY,NC,English
1528,CEDAR RAPIDS IA,CEDAR RAPIDS,IA,English
1529,YORK PA,YORK,PA,Bilingual
1530,CLEVELAND MS,CLEVELAND,MS,English
1531,CARPENTERSVILLE IL,CARPENTERSVILLE,IL,Bilingual
1532,GLENDALE(PHOENIX) AZ,GLENDALE,AZ,Bilingual
1533,PEORIA AZ,PEORIA,AZ,Bilingual
1534,BISMARCK ND,BISMARCK,ND,English
1535,SIOUX FALLS SD,SIOUX FALLS,SD,English
1536,ST PETERSBURG FL,ST PETERSBURG,FL,English
1537,GETTYSBURG PA,GETTYSBURG,PA,English
1538,BROOKINGS SD,BROOKINGS,SD,English
1539,MANSFIELD OH,ONTARIO,OH,English
1540,SOUTH HAVEN MI,SOUTH HAVEN,MI,Bilingual
1541,ROYAL PALM BEACH FL,WEST PALM BEACH,FL,Bilingual
1542,GAYLORD MI,GAYLORD,MI,English
1543,SPEARFISH SD,SPEARFISH,SD,English
1544,CLARKSBURG WV,CLARKSBURG,WV,English
1545,"GRAND FORKS, ND",GRAND FORKS,ND,English
1546,IOWA FALLS IA,IOWA FALLS,IA,English
1547,LAFAYETTE IN,LAFAYETTE,IN,English
1548,WATSEKA IL,WATSEKA,IL,English
1549,PHOENIX (W) AZ,PHOENIX,AZ,Bilingual
1550,GUNNISON CO,GUNNISON,CO,English
1551,FRANKLIN WI,FRANKLIN,WI,Bilingual
1552,SALISBURY NC,SALISBURY,NC,English
1553,BLOOMINGDALE IL,BLOOMINGDALE,IL,Bilingual
1554,STOCKTON CA,STOCKTON,CA,Bilingual
1555,EL CENTRO CA,EL CENTRO,CA,Bilingual
1556,ORLAND HILLS IL,ORLAND HILLS,IL,Bilingual
1557,FISHERS IN,FISHERS,IN,English
1558,EDEN NC,EDEN,NC,English
1559,LAS VEGAS (NE) NV,LAS VEGAS,NV,Bilingual
1560,LAS VEGAS (SE) NV,LAS VEGAS,NV,Bilingual
1561,"MEMPHIS (AUSTIN P), TN",MEMPHIS,TN,English
1562,COON RAPIDS MN,COON RAPIDS,MN,English
1563,LANCASTER CA,LANCASTER,CA,Bilingual
1564,NEW BOSTON OH,NEW BOSTON,OH,English
1565,WILLISTON ND,WILLISTON,ND,English
1566,GOSHEN IN,GOSHEN,IN,Bilingual
1567,DICKINSON ND,DICKINSON,ND,English
1568,HERMITAGE PA,HERMITAGE,PA,English
1569,MAYSVILLE KY,MAYSVILLE,KY,English
1570,AUBURN IN,AUBURN,IN,English
1571,MUKWONAGO WI,MUKWONAGO,WI,English
1572,VERNAL UT,VERNAL,UT,English
1573,PRICE UT,PRICE,UT,English
1574,BAKERSFIELD (S) CA,BAKERSFIELD,CA,Bilingual
1575,OROVILLE CA,OROVILLE,CA,Bilingual
1576,SCHERERVILLE IN,SCHERERVILLE,IN,Bilingual
1577,BUFFALO MN,BUFFALO,MN,English
1578,ROSWELL GA,ROSWELL,GA,Bilingual
1579,OXFORD NC,OXFORD,NC,English
1580,INDIANAPOLIS (E) IN,INDIANAPOLIS,IN,English
1581,FARGO ND,FARGO,ND,English
1583,MADERA CA,MADERA,CA,Bilingual
1584,LAS VEGAS (SW) NV,LAS VEGAS,NV,Bilingual
1585,NORTH PLATTE NE,NORTH PLATTE,NE,English
1586,AUSTELL GA,AUSTELL,GA,Bilingual
1587,MODESTO CA,MODESTO,CA,Bilingual
1588,VICTORVILLE CA,VICTORVILLE,CA,Bilingual
1589,DELRAY BEACH FL,DELRAY BEACH,FL,Bilingual
1590,"HIALEAH, FL",HIALEAH,FL,Bilingual
1591,HARRISBURG (E) PA,HARRISBURG,PA,English
1592,BAD AXE MI,BAD AXE,MI,English
1593,COLDWATER MI,COLDWATER,MI,English
1594,HEATH OH,HEATH,OH,English
1595,"MARYSVILLE, OH",MARYSVILLE,OH,English
1596,BOLINGBROOK IL,BOLINGBROOK,IL,Bilingual
1597,"TULSA (MEMORIAL), OK",TULSA,OK,English
1598,PHOENIX AZ,PHOENIX,AZ,Bilingual
1599,OVERLAND PARK KS,OVERLAND PARK,KS,English
1600,RIDGECREST CA,RIDGECREST,CA,Bilingual
1601,CARMEL (WESTFIELD) IN,CARMEL,IN,English
1602,SPRINGFIELD IL,SPRINGFIELD,IL,English
1603,CHESTER SC,CHESTER,SC,English
1604,RAPID CITY SD,RAPID CITY,SD,English
1605,PENSACOLA (W) FL,PENSACOLA,FL,English
1606,CHATTANOOGA (N) TN,HIXSON,TN,English
1607,LEWISTOWN PA,LEWISTOWN,PA,English
1608,RED BLUFF CA,RED BLUFF,CA,Bilingual
1609,GRAND RAPIDS MN,GRAND RAPIDS,MN,English
1610,GREECE NY,GREECE,NY,English
1611,FORT GRATIOT MI,FORT GRATIOT,MI,English
1612,TUCSON (S) AZ,TUCSON,AZ,Bilingual
1613,HIGH POINT NC,HIGH POINT,NC,English
1614,DURHAM (N) NC,DURHAM,NC,Bilingual
1615,PITTSBURG CA,PITTSBURG,CA,Bilingual
1616,SUSANVILLE CA,SUSANVILLE,CA,Bilingual
1617,CASPER WY,CASPER,WY,English
1618,MERRILLVILLE IN,MERRILLVILLE,IN,English
1619,HENRIETTA NY,ROCHESTER,NY,English
1620,"BREWTON, AL",BREWTON,AL,English
1621,CENTERVILLE IA,CENTERVILLE,IA,English
1622,"TIFFIN, OH",TIFFIN,OH,English
1623,WILKES-BARRE PA,WILKES BARRE,PA,Bilingual
1624,BAKERSFIELD (NE) CA,BAKERSFIELD,CA,Bilingual
1625,LE MARS IA,LE MARS,IA,English
1626,THE VILLAGE (OKC-N) OK,OKLAHOMA CITY,OK,English
1627,"DILWORTH, MN",DILWORTH,MN,English
1628,SANDUSKY OH,SANDUSKY,OH,English
1629,BRAZIL IN,BRAZIL,IN,English
1630,YREKA CA,YREKA,CA,English
1631,"HAMPTON, VA",HAMPTON,VA,English
1632,ALEXANDRIA MN,ALEXANDRIA,MN,English
1633,ST CLOUD MN,SARTELL,MN,English
1634,LITTLE FALLS MN,LITTLE FALLS,MN,English
1635,WAUKESHA WI,WAUKESHA,WI,Bilingual
1636,MINOT ND,MINOT,ND,English
1637,OMAHA (NW) NE,OMAHA,NE,English
1638,EUFAULA AL,EUFAULA,AL,English
1639,ROCHESTER IN,ROCHESTER,IN,English
1640,STATE COLLEGE PA,STATE COLLEGE,PA,English
1641,WILLIAMSTON NC,WILLIAMSTON,NC,English
1642,CHARLOTTE MI,CHARLOTTE,MI,English
1643,FOND DU LAC WI,FOND DU LAC,WI,English
1644,LEWISBURG PA,LEWISBURG,PA,English
1645,HANFORD CA,HANFORD,CA,Bilingual
1646,MESA (SUPERSTITION) AZ,MESA,AZ,Bilingual
1647,DECATUR IND,DECATUR,IN,English
1648,CARSON CITY NV,CARSON CITY,NV,Bilingual
1649,JAMESTOWN ND,JAMESTOWN,ND,English
1650,SAUKVILLE WI,SAUKVILLE,WI,English
1651,"AMERICAN CANYON, CA",AMERICAN CANYON,CA,Bilingual
1652,"DUBLIN, VA",DUBLIN,VA,English
1653,WESTON WV,WESTON,WV,English
1654,BAXTER MN,BAXTER,MN,English
1655,CRAWFORDSVILLE IN,CRAWFORDSVILLE,IN,English
1656,MEADVILLE PA,MEADVILLE,PA,English
1657,FARIBAULT MN,FARIBAULT,MN,English
1658,THOMSON GA,THOMSON,GA,English
1659,BRIGHTON CO,BRIGHTON,CO,Bilingual
1660,PALMDALE CA,PALMDALE,CA,Bilingual
1661,KINSTON NC,KINSTON,NC,English
1662,STATESVILLE NC,STATESVILLE,NC,English
1663,"WAYNESVILLE, NC",WAYNESVILLE,NC,English
1664,WILSON NC,WILSON,NC,English
1665,MUNCIE IN,MUNCIE,IN,English
1666,CHARLOTTE (E) NC,CHARLOTTE,NC,Bilingual
1667,WABASH IN,WABASH,IN,English
1668,GURNEE IL,GURNEE,IL,Bilingual
1669,"EAU CLAIRE, WI",EAU CLAIRE,WI,English
1670,WYOMISSING (READING) PA,WYOMISSING,PA,Bilingual
1671,"PAPILLION, NE",PAPILLION,NE,Bilingual
1672,ASHLAND WI,ASHLAND,WI,English
1673,CANANDAIGUA NY,CANANDAIGUA,NY,English
1674,HAGERSTOWN MD,HAGERSTOWN,MD,English
1675,LEBANON KY,LEBANON,KY,English
1676,TELL CITY IN,TELL CITY,IN,English
1677,"NEW HARTFORD, NY",NEW HARTFORD,NY,English
1678,DELAFIELD WI,DELAFIELD,WI,English
1679,ONALASKA WI,ONALASKA,WI,English
1680,KENDALL FL,KENDALL,FL,Bilingual
1681,MOUNT PROSPECT IL,MOUNT PROSPECT,IL,Bilingual
1682,CHESAPEAKE VA,CHESAPEAKE,VA,English
1683,SHENANDOAH IA,SHENANDOAH,IA,English
1684,EVERETT PA,EVERETT,PA,English
1685,PIERRE SD,PIERRE,SD,English
1686,"TAYLORSVILLE, UT",TAYLORSVILLE,UT,Bilingual
1687,SUFFOLK VA,SUFFOLK,VA,English
1688,VIRGINIA BEACH VA,VIRGINIA BEACH,VA,English
1689,AURORA (S) CO,AURORA,CO,Bilingual
1690,DECATUR IL,DECATUR,IL,English
1691,OVERLAND PARK KS,OVERLAND PARK,KS,Bilingual
1692,COLTON CA,COLTON,CA,Bilingual
1693,REDLANDS CA,REDLANDS,CA,Bilingual
1694,MARION NC,MARION,NC,English
1695,DEVILS LAKE ND,DEVILS LAKE,ND,English
1696,FERGUS FALLS MN,FERGUS FALLS,MN,English
