Store Number,Store Signing Type
1370,swipe up
1371,legacy
1372,swipe up
1373,swipe up
1374,swipe up
1375,legacy
1376,legacy
1377,swipe up
1378,swipe up
1379,swipe up
1380,swipe up
1381,legacy
1382,swipe up
1383,swipe up
1384,swipe up
1385,swipe up
1386,swipe up
1387,legacy
1388,legacy
1389,legacy
1390,swipe up
1391,legacy
1392,legacy
1393,legacy
1394,swipe up
1395,swipe up
1396,swipe up
1397,swipe up
1398,legacy
1399,legacy
1400,swipe up
1401,swipe up
1403,swipe up
1404,swipe up
1405,swipe up
1406,swipe up
1407,swipe up
1408,legacy
1409,swipe up
1410,swipe up
1411,swipe up
1412,swipe up
1413,swipe up
1414,swipe up
1415,legacy
1416,legacy
1417,legacy
1418,swipe up
1419,legacy
1420,swipe up
1421,swipe up
1422,swipe up
1423,swipe up
1424,swipe up
1425,legacy
1426,swipe up
1427,legacy
1428,swipe up
1429,swipe up
1430,swipe up
1431,legacy
1432,swipe up
1433,swipe up
1434,swipe up
1435,legacy
1436,legacy
1437,swipe up
1438,swipe up
1439,swipe up
1440,swipe up
1441,legacy
1442,swipe up
1443,legacy
1444,swipe up
1445,swipe up
1446,legacy
1447,legacy
1448,swipe up
1449,swipe up
1450,legacy
1451,legacy
1452,swipe up
1453,legacy
1454,legacy
1455,swipe up
1456,legacy
1457,swipe up
1458,swipe up
1459,swipe up
1460,legacy
1461,swipe up
1462,swipe up
1463,swipe up
1464,legacy
1465,legacy
1466,swipe up
1467,swipe up
1468,legacy
1469,swipe up
1470,legacy
1471,swipe up
1472,swipe up
1473,swipe up
1474,legacy
1475,legacy
1476,swipe up
1477,legacy
1478,legacy
1479,swipe up
1480,swipe up
1481,swipe up
1482,legacy
1483,legacy
1485,swipe up
1486,swipe up
1487,swipe up
1488,swipe up
1489,swipe up
1490,swipe up
1491,legacy
1492,swipe up
1493,swipe up
1494,legacy
1495,swipe up
1496,legacy
1497,swipe up
1498,legacy
1499,swipe up
1500,swipe up
1501,swipe up
1502,legacy
1503,swipe up
1504,swipe up
1505,swipe up
1506,legacy
1507,legacy
1508,legacy
1509,swipe up
1510,swipe up
1511,legacy
1512,swipe up
1513,swipe up
1514,swipe up
1515,swipe up
1516,legacy
1517,legacy
1518,swipe up
1519,legacy
1520,legacy
1521,swipe up
1522,legacy
1523,swipe up
1524,swipe up
1525,legacy
1526,swipe up
1527,legacy
1528,legacy
1529,legacy
1530,legacy
1531,swipe up
1532,swipe up
1533,swipe up
1534,swipe up
1535,swipe up
1536,swipe up
1537,legacy
1538,swipe up
1539,legacy
1540,swipe up
1541,legacy
1542,swipe up
1543,legacy
1544,legacy
1545,legacy
1546,swipe up
1547,swipe up
1548,swipe up
1549,legacy
1550,swipe up
1551,swipe up
1552,legacy
1553,swipe up
1554,legacy
1555,swipe up
1556,swipe up
1557,swipe up
1558,swipe up
1559,swipe up
1560,swipe up
1561,swipe up
1562,legacy
1563,swipe up
1564,swipe up
1565,swipe up
1566,legacy
1567,swipe up
1568,legacy
1569,swipe up
1570,legacy
1571,swipe up
1572,swipe up
1573,legacy
1574,swipe up
1575,legacy
1576,swipe up
1577,legacy
1578,swipe up
1579,swipe up
1580,swipe up
1581,swipe up
1583,swipe up
1584,swipe up
1585,swipe up
1586,swipe up
1587,swipe up
1588,legacy
1589,legacy
1590,legacy
1591,legacy
1592,swipe up
1593,swipe up
1594,legacy
1595,swipe up
1596,swipe up
1597,legacy
1598,swipe up
1599,swipe up
1600,legacy
1601,swipe up
1602,swipe up
1603,swipe up
1604,swipe up
1605,legacy
1606,swipe up
1607,legacy
1608,swipe up
1609,legacy
1610,legacy
1611,swipe up
1612,swipe up
1613,swipe up
1614,legacy
1615,legacy
1616,legacy
1617,swipe up
1618,swipe up
1619,legacy
1620,legacy
1621,swipe up
1622,legacy
1623,swipe up
1624,legacy
1625,swipe up
1626,swipe up
1627,swipe up
1628,swipe up
1629,swipe up
1630,swipe up
1631,swipe up
1632,legacy
1633,legacy
1634,legacy
1635,swipe up
1636,swipe up
1637,swipe up
1638,swipe up
1639,swipe up
1640,swipe up
1641,swipe up
1642,swipe up
1643,swipe up
1644,legacy
1645,swipe up
1646,swipe up
1647,swipe up
1648,legacy
1649,swipe up
1650,swipe up
1651,swipe up
1652,swipe up
1653,legacy
1654,legacy
1655,swipe up
1656,swipe up
1657,legacy
1658,swipe up
1659,swipe up
1660,swipe up
1661,legacy
1662,swipe up
1663,legacy
1664,legacy
1665,legacy
1666,legacy
1667,legacy
1668,swipe up
1669,legacy
1670,legacy
1671,swipe up
1672,swipe up
1673,legacy
1674,swipe up
1675,legacy
1676,swipe up
1677,swipe up
1678,swipe up
1679,swipe up
1680,legacy
1681,swipe up
1682,legacy
1683,swipe up
1684,legacy
1685,legacy
1686,legacy
1687,legacy
1688,swipe up
1689,swipe up
1690,legacy
1691,legacy
1692,legacy
1693,swipe up
1694,swipe up
1695,swipe up
1696,swipe up
1697,legacy
1698,legacy
1699,swipe up
1700,legacy
1701,swipe up
1702,legacy
1703,swipe up
1704,legacy
1705,swipe up
1707,legacy
1708,swipe up
1709,legacy
1710,legacy
1711,swipe up
1712,swipe up
1713,legacy
1714,swipe up
1715,legacy
1716,legacy
1717,legacy
1718,swipe up
1719,legacy
1720,swipe up
1721,legacy
1722,swipe up
1723,swipe up
1724,swipe up
1726,swipe up
1727,swipe up
1728,legacy
1729,swipe up
1730,legacy
1731,legacy
1732,swipe up
1733,legacy
1734,swipe up
1735,swipe up
1736,legacy
1737,swipe up
1738,legacy
1739,legacy
1740,swipe up
1741,legacy
1742,swipe up
1743,swipe up
1744,legacy
1745,swipe up
1746,legacy
1747,swipe up
1748,legacy
1749,legacy
1750,legacy
1751,legacy
1752,legacy
1753,legacy
1754,swipe up
1755,swipe up
1756,swipe up
1757,legacy
1758,legacy
1759,legacy
1760,legacy
1761,swipe up
1762,legacy
1763,swipe up
1764,swipe up
1765,legacy
1766,swipe up
1767,legacy
1768,swipe up
1769,swipe up
1770,swipe up
1771,swipe up
1772,swipe up
1773,legacy
1774,swipe up
1775,legacy
1776,swipe up
1777,legacy
1778,legacy
1779,swipe up
1780,swipe up
1781,legacy
1782,legacy
1783,swipe up
1784,swipe up
1785,legacy
1786,legacy
1787,swipe up
1788,legacy
1789,legacy
1790,legacy
1791,legacy
1792,legacy
1793,swipe up
1794,legacy
1795,legacy
1796,legacy
1797,legacy
1798,legacy
1799,swipe up
1800,swipe up
1801,swipe up
1802,legacy
1803,swipe up
1804,legacy
1805,swipe up
1806,swipe up
1807,legacy
1808,swipe up
1809,legacy
1810,swipe up
1811,swipe up
1812,swipe up
1813,legacy
1814,swipe up
1815,swipe up
1816,swipe up
1817,swipe up
1819,legacy
1820,swipe up
1821,legacy
1823,legacy
1825,legacy
1826,swipe up
1827,legacy
1828,swipe up
1829,legacy
1830,legacy
1831,swipe up
1832,swipe up
1833,swipe up
1834,swipe up
1835,legacy
1836,legacy
1837,swipe up
1838,swipe up
1839,swipe up
1840,legacy
1841,swipe up
1842,legacy
1843,legacy
1844,legacy
1845,legacy
1846,legacy
1847,swipe up
1848,swipe up
1849,swipe up
1850,swipe up
1851,swipe up
1852,legacy
1853,legacy
1855,swipe up
1856,swipe up
1857,swipe up
1858,swipe up
1859,swipe up
1860,legacy
1861,legacy
1862,swipe up
1863,swipe up
1864,legacy
1865,legacy
1866,legacy
1867,swipe up
1868,legacy
1869,legacy
1870,legacy
1871,swipe up
1872,swipe up
1873,legacy
1874,swipe up
1875,legacy
1876,legacy
1877,legacy
1878,swipe up
1879,legacy
1880,swipe up
1881,legacy
1882,swipe up
1883,legacy
1884,swipe up
1885,swipe up
1886,legacy
1887,legacy
1888,swipe up
1889,swipe up
1890,swipe up
1891,swipe up
1892,swipe up
1893,swipe up
1894,swipe up
1895,legacy
1896,swipe up
1897,swipe up
1898,swipe up
1899,legacy
1900,swipe up
1901,swipe up
1902,swipe up
1903,legacy
1904,legacy
1905,legacy
1906,legacy
1907,legacy
1908,swipe up
1909,legacy
1910,swipe up
1911,swipe up
1912,swipe up
1913,swipe up
1914,swipe up
1915,swipe up
1916,legacy
1917,legacy
1918,legacy
1919,swipe up
1920,legacy
1921,legacy
1922,swipe up
1923,swipe up
1924,legacy
1925,swipe up
1926,swipe up
1927,swipe up
1928,swipe up
1929,swipe up
1930,legacy
1931,swipe up
1932,swipe up
1933,swipe up
1934,legacy
1935,legacy
1936,swipe up
1937,legacy
1938,swipe up
1939,swipe up
1940,legacy
1941,swipe up
1942,swipe up
1943,swipe up
1945,legacy
1946,swipe up
1947,legacy
1948,swipe up
1949,legacy
1950,swipe up
1951,swipe up
1952,legacy
1953,swipe up
1954,legacy
1955,swipe up
1956,swipe up
1957,swipe up
1958,legacy
1959,swipe up
1960,swipe up
1961,legacy
1962,legacy
1963,legacy
1964,legacy
1965,swipe up
1966,legacy
1967,legacy
1968,legacy
1969,swipe up
1970,legacy
1971,legacy
1972,legacy
1973,swipe up
1974,swipe up
1975,swipe up
1976,swipe up
1977,legacy
1978,swipe up
1979,swipe up
1980,legacy
1981,swipe up
1982,legacy
1983,swipe up
1984,swipe up
1985,swipe up
1986,swipe up
1987,swipe up
1988,legacy
1989,swipe up
1990,legacy
1991,swipe up
1992,legacy
1993,legacy
1994,swipe up
1995,swipe up
1996,swipe up
1997,swipe up
1998,swipe up
1999,legacy
2000,swipe up
2001,swipe up
2002,legacy
2003,swipe up
2004,legacy
2005,legacy
2006,swipe up
2007,swipe up
2008,swipe up
2009,legacy
2010,legacy
2012,legacy
2013,swipe up
2014,legacy
2015,swipe up
2016,swipe up
2019,swipe up
2020,swipe up
2021,swipe up
2022,legacy
2023,legacy
2024,legacy
