Store Nbr,Store Location,Store Type Descr,Go Forward Trait,Go Forward Trait Desc,Mod Communication,Digital Signage for HD Storage
2891,"ODESSA (W), TX",BASE STR Supercenter,249945,004W TREC LPP 24,Hart Endcap MOD CAT 545/550,
2892,"PARKER, CO",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2897,"SOUTHINGTON, CT",BASE STR Wal-Mart,405411,004W TREC ALT 24,Hart Endcap MOD CAT 545/550,
2902,FRAMINGHAM MA,BASE STR Wal-Mart,130427,004W TREC BSE 24,Hart Endcap MOD CAT 545/550,
2903,"CHELMSFORD, MA",BASE STR Wal-Mart,130427,004W TREC BSE 24,Hart Endcap MOD CAT 545/550,
2909,"CORRY, PA",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2910,SALEM OH 11-11-02,BASE STR Supercenter,130427,004W TREC BSE 24,Hart Endcap MOD CAT 545/550,
2911,"CENTRAL SQUARE, NY",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2912,"TAYLOR, MI",BASE STR Supercenter,249945,004W TREC LPP 24,Hart Endcap MOD CAT 545/550,
2913,"BOUTTE, LA",BASE STR Supercenter,223558,004W TREC V2 24,Hart Endcap MOD CAT 545/550,
2914,"MASSILLON, OH",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2915,SOUTH SETAUKET NY,BASE STR Wal-Mart,405412,004W TREC ALT 36,Hart Endcap MOD CAT 545/550,
2916,"EAST MEADOW, NY",BASE STR Wal-Mart,405411,004W TREC ALT 24,Hart Endcap MOD CAT 545/550,
2917,ISLANDIA NY,BASE STR Wal-Mart,405412,004W TREC ALT 36,Hart Endcap MOD CAT 545/550,
2918,"ALLEN, TX",BASE STR Supercenter,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
2920,"FLEMING ISLAND, FL",BASE STR Supercenter,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
