Store Number,NSW2 CONSOLE - QTY,NSW2 MARIO KART WLD - QTY,Total Estimated Preorder QTY,# of Associates Needed  for Dispense
322,19,40,59,1
323,3,1,4,1
324,1,6,7,1
325,8,16,24,1
326,0,0,0,0
328,8,29,37,1
329,9,24,33,1
330,10,33,43,1
331,14,31,45,1
332,19,36,55,1
333,6,20,26,1
334,4,9,13,1
335,14,30,44,1
336,4,8,12,1
337,2,4,6,1
338,2,5,7,1
339,0,0,0,0
340,1,2,3,1
341,0,0,0,0
342,2,6,8,1
343,8,22,30,1
344,1,9,10,1
345,4,14,18,1
346,9,15,24,1
347,2,6,8,1
348,4,7,11,1
350,4,13,17,1
351,17,37,54,1
352,0,0,0,0
353,3,4,7,1
354,1,8,9,1
355,13,32,45,1
356,10,24,34,1
357,3,7,10,1
358,6,19,25,1
359,24,57,81,2
360,4,7,11,1
361,14,41,55,1
362,1,3,4,1
363,3,12,15,1
364,0,7,7,1
365,10,27,37,1
366,7,22,29,1
368,1,5,6,1
369,1,8,9,1
370,0,1,1,1
371,15,31,46,1
372,5,16,21,1
373,2,5,7,1
374,13,26,39,1
375,10,31,41,1
376,14,28,42,1
378,0,3,3,1
379,14,36,50,1
381,12,42,54,1
382,4,18,22,1
383,2,11,13,1
384,9,22,31,1
385,0,0,0,0
386,7,6,13,1
387,0,3,3,1
388,4,26,30,1
389,17,39,56,1
390,4,9,13,1
391,9,23,32,1
392,3,26,29,1
393,9,27,36,1
394,8,16,24,1
395,26,60,86,2
396,15,39,54,1
397,27,59,86,2
398,10,40,50,1
399,14,41,55,1
400,23,51,74,1
401,3,9,12,1
402,9,18,27,1
403,2,4,6,1
404,13,41,54,1
405,3,20,23,1
406,17,43,60,1
407,23,46,69,1
408,13,32,45,1
409,3,6,9,1
410,8,28,36,1
411,0,0,0,0
412,3,13,16,1
413,3,20,23,1
414,8,22,30,1
415,9,19,28,1
416,14,40,54,1
417,6,15,21,1
418,1,2,3,1
419,1,4,5,1
420,10,23,33,1
421,15,27,42,1
422,7,9,16,1
423,15,31,46,1
424,8,14,22,1
425,0,9,9,1
426,14,31,45,1
427,9,36,45,1
428,9,18,27,1
429,20,39,59,1
430,6,23,29,1
431,8,24,32,1
432,4,6,10,1
433,9,20,29,1
434,16,37,53,1
435,8,23,31,1
436,4,10,14,1
437,9,18,27,1
438,2,2,4,1
440,2,3,5,1
442,10,24,34,1
443,3,8,11,1
444,21,39,60,1
445,14,26,40,1
446,0,0,0,0
447,4,20,24,1
448,5,11,16,1
449,9,24,33,1
450,9,20,29,1
451,16,36,52,1
452,19,50,69,1
453,0,0,0,0
454,3,9,12,1
456,23,50,73,1
457,14,28,42,1
458,2,14,16,1
459,16,35,51,1
461,13,34,47,1
462,19,40,59,1
463,5,14,19,1
464,20,46,66,1
465,6,28,34,1
466,1,4,5,1
467,11,34,45,1
468,7,20,27,1
469,11,18,29,1
470,18,40,58,1
471,9,19,28,1
472,25,47,72,1
473,0,0,0,0
475,25,68,93,2
476,0,5,5,1
477,10,25,35,1
478,0,0,0,0
479,8,24,32,1
480,0,0,0,0
481,13,29,42,1
482,4,6,10,1
483,8,24,32,1
484,18,43,61,1
485,2,4,6,1
486,4,17,21,1
488,1,12,13,1
489,9,17,26,1
490,16,26,42,1
491,20,43,63,1
492,4,20,24,1
493,9,15,24,1
494,16,38,54,1
495,8,17,25,1
497,13,30,43,1
498,1,1,2,1
499,11,30,41,1
500,30,69,99,2
501,5,21,26,1
502,2,14,16,1
503,0,0,0,0
504,9,24,33,1
505,2,5,7,1
506,1,9,10,1
507,8,28,36,1
508,7,23,30,1
510,13,33,46,1
511,12,29,41,1
512,28,64,92,1
513,6,17,23,1
514,9,24,33,1
515,5,12,17,1
516,4,13,17,1
517,14,37,51,1
518,14,30,44,1
519,9,19,28,1
520,15,44,59,1
521,9,18,27,1
522,11,27,38,1
523,4,8,12,1
524,3,3,6,1
526,15,31,46,1
527,6,21,27,1
528,15,26,41,1
529,14,36,50,1
530,5,11,16,1
531,18,40,58,1
532,18,41,59,1
533,10,25,35,1
535,24,53,77,1
536,14,34,48,1
537,26,57,83,1
538,17,38,55,1
539,6,11,17,1
540,2,11,13,1
541,26,52,78,2
542,11,28,39,1
543,9,18,27,1
544,13,38,51,1
545,0,0,0,0
546,16,38,54,1
547,16,39,55,1
548,18,44,62,1
549,9,26,35,1
550,3,3,6,1
551,8,20,28,1
552,9,15,24,1
553,14,29,43,1
554,35,71,106,2
555,5,17,22,1
556,6,10,16,1
557,7,29,36,1
558,15,29,44,1
559,18,41,59,1
560,18,36,54,1
561,0,3,3,1
562,9,20,29,1
563,19,52,71,1
564,15,38,53,1
565,1,9,10,1
566,10,19,29,1
567,5,10,15,1
568,4,15,19,1
569,5,13,18,1
571,21,44,65,1
572,6,14,20,1
573,18,42,60,1
574,16,34,50,1
575,20,66,86,1
576,21,40,61,1
577,26,66,92,2
578,18,62,80,2
579,16,38,54,1
580,17,32,49,1
581,9,24,33,1
582,16,31,47,1
583,5,18,23,1
584,14,29,43,1
585,14,51,65,1
586,13,24,37,1
587,5,23,28,1
588,10,22,32,1
589,13,40,53,1
590,16,32,48,1
591,10,19,29,1
592,20,41,61,1
593,3,15,18,1
594,11,20,31,1
595,27,60,87,1
596,4,11,15,1
598,18,38,56,1
599,13,37,50,1
600,3,8,11,1
601,18,35,53,1
602,20,37,57,1
603,13,34,47,1
604,16,32,48,1
605,10,30,40,1
606,9,21,30,1
608,20,64,84,1
609,9,26,35,1
610,8,17,25,1
611,14,19,33,1
612,9,24,33,1
613,22,48,70,1
614,17,31,48,1
615,18,42,60,1
616,4,17,21,1
617,0,0,0,0
618,17,31,48,1
619,6,27,33,1
620,13,27,40,1
621,7,15,22,1
622,22,53,75,1
623,16,42,58,1
624,9,16,25,1
625,5,14,19,1
626,0,0,0,0
627,2,10,12,1
628,18,48,66,1
629,7,11,18,1
630,14,29,43,1
631,18,36,54,1
632,11,22,33,1
633,4,19,23,1
634,9,23,32,1
635,13,35,48,1
636,5,14,19,1
637,6,18,24,1
638,8,21,29,1
639,11,33,44,1
640,14,42,56,1
641,11,29,40,1
642,5,12,17,1
643,11,27,38,1
644,9,28,37,1
645,13,25,38,1
646,4,12,16,1
647,4,14,18,1
648,25,62,87,2
649,17,36,53,1
651,14,32,46,1
652,5,24,29,1
653,7,19,26,1
655,6,32,38,1
656,10,28,38,1
657,16,45,61,2
658,11,32,43,1
659,16,39,55,1
660,6,23,29,1
661,19,39,58,1
662,16,29,45,1
663,13,40,53,1
664,5,29,34,1
665,6,16,22,1
666,11,30,41,1
667,7,22,29,1
668,8,31,39,1
669,17,42,59,1
670,17,24,41,1
671,20,43,63,1
672,25,55,80,2
673,18,47,65,1
674,20,45,65,1
675,4,13,17,1
676,14,33,47,1
677,4,18,22,1
678,10,27,37,1
680,14,43,57,1
681,7,13,20,1
682,28,53,81,1
683,4,21,25,1
684,3,22,25,1
685,19,41,60,1
686,4,8,12,1
687,19,28,47,1
688,14,43,57,1
689,15,52,67,1
690,17,37,54,1
691,11,22,33,1
692,16,35,51,1
693,0,0,0,0
694,14,33,47,1
695,9,31,40,1
696,7,19,26,1
697,24,56,80,1
698,17,39,56,1
699,13,39,52,1
700,2,8,10,1
701,18,35,53,1
702,14,32,46,1
703,16,42,58,1
705,23,49,72,1
706,24,49,73,1
707,1,2,3,1
708,9,10,19,1
709,19,43,62,1
710,12,41,53,1
711,9,30,39,1
712,3,19,22,1
713,5,17,22,1
714,0,1,1,1
715,15,31,46,1
716,2,9,11,1
718,14,39,53,1
719,23,57,80,2
720,16,42,58,1
721,20,41,61,1
722,18,35,53,1
723,7,21,28,1
724,13,33,46,1
725,24,69,93,1
726,3,10,13,1
727,6,18,24,1
728,4,15,19,1
729,14,29,43,1
730,4,12,16,1
731,3,0,3,1
733,7,16,23,1
734,9,37,46,1
735,3,15,18,1
736,4,19,23,1
737,11,21,32,1
738,0,12,12,1
739,11,23,34,1
740,6,18,24,1
741,16,38,54,1
742,17,44,61,1
743,21,43,64,1
744,19,44,63,1
745,12,20,32,1
746,19,38,57,1
748,8,21,29,1
749,10,25,35,1
750,5,11,16,1
751,4,15,19,1
752,20,49,69,1
753,17,37,54,1
754,15,36,51,1
755,15,44,59,1
756,4,13,17,1
757,7,15,22,1
758,4,7,11,1
759,4,7,11,1
760,0,0,0,0
761,2,8,10,1
762,5,14,19,1
764,5,15,20,1
765,16,30,46,1
766,4,22,26,1
767,3,30,33,1
768,15,46,61,1
769,11,25,36,1
770,2,13,15,1
771,18,40,58,1
772,10,39,49,1
773,4,11,15,1
774,9,23,32,1
775,14,30,44,1
776,9,25,34,1
777,11,23,34,1
778,9,23,32,1
779,13,44,57,1
780,16,33,49,1
781,7,28,35,1
782,7,8,15,1
783,3,5,8,1
784,9,10,19,1
785,0,0,0,0
786,16,32,48,1
787,10,21,31,1
788,0,2,2,1
789,17,34,51,1
790,4,7,11,1
791,6,18,24,1
792,0,0,0,0
793,4,16,20,1
794,6,20,26,1
795,0,5,5,1
796,17,39,56,1
797,10,25,35,1
798,1,11,12,1
799,7,15,22,1
800,14,29,43,1
801,3,11,14,1
802,8,25,33,1
803,0,8,8,1
804,4,18,22,1
805,18,48,66,1
806,18,37,55,1
807,15,36,51,1
808,8,40,48,1
809,3,22,25,1
810,10,33,43,1
811,3,7,10,1
812,4,10,14,1
813,10,12,22,1
814,4,10,14,1
815,2,18,20,1
816,6,8,14,1
817,31,69,100,3
818,10,27,37,1
819,23,48,71,1
820,9,19,28,1
821,6,34,40,1
822,6,23,29,1
823,7,11,18,1
824,18,43,61,1
825,4,12,16,1
826,4,20,24,1
827,5,20,25,1
828,19,52,71,1
829,15,32,47,1
830,4,11,15,1
833,4,6,10,1
834,0,1,1,1
835,17,39,56,1
836,18,46,64,1
837,2,2,4,1
838,17,35,52,1
839,10,19,29,1
841,0,0,0,0
842,14,33,47,1
843,1,5,6,1
844,16,36,52,1
845,0,0,0,0
846,4,11,15,1
847,9,15,24,1
848,10,21,31,1
849,20,46,66,1
850,19,38,57,1
851,0,5,5,1
852,14,32,46,1
853,18,43,61,1
854,8,21,29,1
855,11,21,32,1
856,18,39,57,1
857,16,44,60,1
858,2,13,15,1
859,15,30,45,1
860,20,48,68,1
861,13,34,47,1
862,8,29,37,1
863,2,3,5,1
864,7,18,25,1
865,26,61,87,1
866,18,37,55,1
867,13,13,26,1
868,7,38,45,1
869,8,20,28,1
870,13,31,44,1
871,0,0,0,0
872,17,39,56,1
873,7,8,15,1
874,2,7,9,1
875,9,14,23,1
876,5,7,12,1
877,19,41,60,1
878,11,43,54,1
879,9,16,25,1
880,19,45,64,1
881,16,32,48,1
882,2,3,5,1
884,15,34,49,1
885,4,10,14,1
886,10,20,30,1
887,9,18,27,1
888,5,10,15,1
889,8,17,25,1
890,49,98,147,2
891,9,26,35,1
892,24,55,79,2
893,0,0,0,0
894,20,42,62,1
895,1,7,8,1
896,21,52,73,1
897,4,12,16,1
898,0,0,0,0
899,14,27,41,1
900,0,9,9,1
901,14,28,42,1
902,4,26,30,1
903,5,15,20,1
904,12,27,39,1
905,16,47,63,1
906,6,20,26,1
907,5,23,28,1
908,30,63,93,2
909,8,20,28,1
910,10,28,38,1
911,12,18,30,1
912,9,21,30,1
913,5,17,22,1
914,3,8,11,1
915,18,38,56,1
916,14,30,44,1
917,1,3,4,1
918,4,23,27,1
919,18,43,61,1
921,2,10,12,1
922,16,32,48,1
923,32,67,99,2
924,4,10,14,1
925,13,29,42,1
927,6,8,14,1
928,37,100,137,2
929,17,48,65,1
930,4,12,16,1
931,18,36,54,1
932,14,27,41,1
933,11,22,33,1
934,9,22,31,1
935,14,28,42,1
936,8,36,44,1
937,22,48,70,1
938,4,14,18,1
939,13,32,45,1
940,14,28,42,1
941,14,47,61,1
942,28,78,106,2
943,34,68,102,2
944,22,50,72,1
945,14,29,43,1
947,17,36,53,1
948,17,45,62,1
950,10,25,35,1
951,0,0,0,0
952,2,10,12,1
953,22,50,72,1
954,1,3,4,1
955,30,67,97,2
956,11,29,40,1
957,4,9,13,1
958,12,31,43,1
959,9,19,28,1
960,13,27,40,1
961,11,16,27,1
962,4,10,14,1
963,15,35,50,1
964,32,68,100,2
965,9,14,23,1
966,4,4,8,1
967,17,40,57,1
968,20,46,66,1
969,14,33,47,1
970,14,33,47,1
971,4,6,10,1
972,13,29,42,1
973,13,37,50,1
974,17,52,69,1
975,0,30,30,1
976,0,2,2,1
977,4,10,14,1
978,2,9,11,1
979,8,18,26,1
980,17,36,53,1
981,4,16,20,1
982,9,29,38,1
984,21,66,87,1
985,4,14,18,1
986,5,13,18,1
987,9,29,38,1
988,23,65,88,2
989,14,30,44,1
990,23,59,82,2
991,9,21,30,1
992,10,30,40,1
993,4,11,15,1
994,16,57,73,1
995,14,34,48,1
996,0,0,0,0
999,19,45,64,1
1000,16,56,72,1
1001,10,32,42,1
1002,8,18,26,1
1003,11,33,44,1
1004,15,34,49,1
1005,15,25,40,1
1006,2,10,12,1
1007,9,14,23,1
1008,15,31,46,1
1009,13,35,48,1
1010,5,16,21,1
1011,16,36,52,1
1012,16,36,52,1
1013,7,14,21,1
1014,19,39,58,1
1015,27,65,92,2
1016,12,26,38,1
1017,5,14,19,1
1018,2,2,4,1
1019,5,22,27,1
1020,7,22,29,1
1021,10,22,32,1
1022,6,16,22,1
1023,9,23,32,1
1024,1,4,5,1
1025,1,12,13,1
1026,17,40,57,1
1027,21,42,63,1
1028,12,35,47,1
1029,9,16,25,1
1030,14,30,44,1
1032,18,35,53,1
1033,15,28,43,1
1034,14,37,51,1
1035,18,42,60,1
1036,16,40,56,1
1037,0,0,0,0
1038,5,15,20,1
1039,12,33,45,1
1040,22,43,65,1
1041,22,55,77,1
1042,18,39,57,1
1043,0,6,6,1
1044,13,27,40,1
1045,20,61,81,1
1046,0,0,0,0
1047,9,28,37,1
1048,8,27,35,1
1051,3,8,11,1
1052,1,3,4,1
1053,15,27,42,1
1054,3,12,15,1
1055,20,46,66,1
1056,9,28,37,1
1057,3,9,12,1
1058,9,25,34,1
1059,2,5,7,1
1060,21,49,70,1
1061,2,8,10,1
1062,21,54,75,1
1063,0,1,1,1
1064,14,34,48,1
1065,5,8,13,1
1066,9,25,34,1
1067,0,0,0,0
1068,9,31,40,1
1069,2,7,9,1
1070,5,23,28,1
1071,20,43,63,1
1072,3,10,13,1
1073,2,5,7,1
1074,4,7,11,1
1075,19,42,61,1
1076,10,21,31,1
1077,13,25,38,1
1079,19,34,53,1
1080,23,47,70,1
1081,30,63,93,2
1082,16,40,56,1
1083,18,36,54,1
1084,25,45,70,1
1085,19,41,60,2
1086,32,77,109,2
1087,18,40,58,1
1088,8,18,26,1
1089,10,23,33,1
1090,10,24,34,1
1091,6,13,19,1
1093,4,16,20,1
1094,10,25,35,1
1095,9,22,31,1
1096,14,29,43,1
1097,14,39,53,1
1098,4,13,17,1
1099,16,41,57,1
1100,0,4,4,1
1101,9,23,32,1
1102,4,8,12,1
1103,18,39,57,1
1104,15,40,55,1
1105,11,28,39,1
1106,0,1,1,1
1107,3,4,7,1
1108,0,2,2,1
1109,2,3,5,1
1110,2,3,5,1
1111,9,21,30,1
1112,4,16,20,1
1113,22,45,67,1
1114,0,4,4,1
1115,4,13,17,1
1116,7,12,19,1
1117,24,51,75,1
1118,20,40,60,1
1119,4,18,22,1
1120,18,52,70,1
1121,8,14,22,1
1122,7,15,22,1
1123,18,45,63,1
1124,9,18,27,1
1125,28,71,99,2
1126,10,25,35,1
1128,3,7,10,1
1129,27,52,79,1
1130,7,15,22,1
1131,9,19,28,1
1132,14,35,49,1
1133,14,16,30,1
1134,13,33,46,1
1135,5,14,19,1
1136,9,21,30,1
1137,15,28,43,1
1138,28,46,74,2
1139,14,41,55,1
1140,14,34,48,1
1141,19,40,59,1
1142,9,18,27,1
1143,0,5,5,1
1144,9,23,32,1
1146,13,25,38,1
1147,2,3,5,1
1148,14,33,47,1
1149,10,24,34,1
1150,15,40,55,1
1151,17,40,57,1
1152,0,0,0,0
1153,9,14,23,1
1154,5,11,16,1
1155,5,14,19,1
1156,23,64,87,2
1157,8,20,28,1
1158,3,14,17,1
1159,4,12,16,1
1160,19,49,68,2
1161,25,65,90,1
1162,6,22,28,1
1163,13,21,34,1
1164,9,32,41,1
1165,16,34,50,1
1166,1,8,9,1
1167,28,67,95,2
1168,2,9,11,1
1169,1,3,4,1
1170,12,28,40,1
1171,10,27,37,1
1172,16,43,59,1
1173,16,31,47,1
1174,0,1,1,1
1175,14,30,44,1
1176,13,43,56,1
1177,22,41,63,1
1178,17,48,65,1
1179,16,40,56,1
1180,18,41,59,1
1181,18,43,61,1
1182,18,42,60,1
1183,14,44,58,1
1184,11,28,39,1
1185,27,61,88,2
1186,2,6,8,1
1187,1,7,8,1
1188,16,44,60,1
1189,0,0,0,0
1190,16,29,45,1
1191,17,44,61,1
1192,4,6,10,1
1193,9,22,31,1
1194,18,48,66,1
1195,6,19,25,1
1196,3,2,5,1
1197,9,19,28,1
1198,24,69,93,2
1199,6,23,29,1
1200,22,40,62,1
1201,13,30,43,1
1202,15,41,56,1
1203,28,72,100,2
1204,14,27,41,1
1205,7,22,29,1
1206,9,29,38,1
1207,14,33,47,1
1209,17,37,54,1
1210,14,31,45,1
1211,4,15,19,1
1212,12,29,41,1
1213,21,45,66,1
1214,3,5,8,1
1215,18,46,64,1
1216,21,52,73,1
1217,8,18,26,1
1218,24,54,78,1
1219,10,26,36,1
1220,19,53,72,2
1221,18,42,60,1
1222,20,49,69,1
1223,11,22,33,1
1224,14,38,52,1
1225,13,34,47,1
1226,9,20,29,1
1227,14,35,49,1
1228,31,61,92,2
1229,11,23,34,1
1230,12,17,29,1
1231,21,48,69,1
1232,16,33,49,1
1233,13,27,40,1
1234,4,17,21,1
1235,11,25,36,1
1236,9,23,32,1
1237,8,24,32,1
1238,14,33,47,1
1239,14,30,44,1
1240,18,46,64,1
1241,20,55,75,1
1242,22,56,78,1
1243,12,25,37,1
1244,18,35,53,1
1245,19,49,68,1
1247,15,29,44,1
1248,11,17,28,1
1249,8,23,31,1
1252,18,40,58,1
1253,35,64,99,2
1254,15,33,48,1
1255,5,14,19,1
1256,17,57,74,2
1257,0,5,5,1
1259,14,28,42,1
1260,0,9,9,1
1261,14,30,44,1
1263,26,52,78,2
1264,5,26,31,1
1265,8,26,34,1
1266,11,18,29,1
1267,28,51,79,1
1268,8,10,18,1
1270,14,30,44,1
1271,9,12,21,1
1272,0,9,9,1
1273,24,60,84,2
1274,5,19,24,1
1275,15,26,41,1
1276,14,31,45,1
1277,5,7,12,1
1279,20,43,63,1
1280,21,45,66,1
1281,14,33,47,1
1282,3,11,14,1
1283,13,29,42,1
1284,14,32,46,1
1285,12,13,25,1
1286,10,22,32,1
1287,18,26,44,1
1288,10,25,35,1
1289,14,27,41,1
1290,14,32,46,1
1291,21,61,82,1
1292,20,40,60,1
1293,11,24,35,1
1294,14,28,42,1
1295,1,1,2,1
1296,17,32,49,1
1297,9,13,22,1
1298,13,33,46,1
1299,14,28,42,1
1300,17,33,50,1
1301,19,43,62,1
1302,7,21,28,1
1303,27,66,93,2
1304,17,44,61,1
1305,28,70,98,2
1306,18,43,61,1
1307,16,36,52,1
1308,19,47,66,2
1309,14,37,51,1
1310,11,36,47,1
1311,15,33,48,1
1312,9,23,32,1
1313,14,35,49,1
1314,9,35,44,1
1315,11,50,61,1
1316,6,16,22,1
1317,12,24,36,1
1318,20,51,71,1
1319,18,45,63,1
1320,19,44,63,1
1321,14,36,50,1
1322,18,40,58,1
1323,6,21,27,1
1324,14,65,79,2
1325,14,41,55,1
1326,9,26,35,1
1327,4,32,36,1
1328,2,10,12,1
1329,3,23,26,1
1330,14,37,51,1
1331,13,33,46,1
1332,13,25,38,1
1333,4,17,21,1
1334,0,7,7,1
1335,13,25,38,1
1336,9,18,27,1
1337,6,36,42,1
1338,9,23,32,1
1339,10,24,34,1
1340,5,24,29,1
1341,19,44,63,1
1342,12,19,31,1
1344,14,30,44,1
1345,6,12,18,1
1346,16,26,42,1
1347,10,28,38,1
1348,14,34,48,1
1349,18,44,62,1
1350,21,50,71,1
1351,16,29,45,1
1352,4,13,17,1
1353,11,34,45,1
1354,1,14,15,1
1355,9,31,40,1
1356,15,30,45,1
1357,1,12,13,1
1358,1,7,8,1
1359,12,22,34,1
1360,7,17,24,1
1361,12,35,47,1
1362,12,27,39,1
1363,6,14,20,1
1364,7,17,24,1
1365,10,33,43,1
1366,5,15,20,1
1367,20,44,64,1
1368,2,9,11,1
1369,5,12,17,1
1370,6,21,27,1
1371,14,34,48,1
1372,17,39,56,1
1373,17,52,69,1
1374,25,53,78,1
1375,5,15,20,1
1376,23,60,83,2
1377,21,43,64,1
1378,15,34,49,1
1379,14,26,40,1
1380,5,13,18,1
1381,10,29,39,1
1382,9,22,31,1
1383,8,22,30,1
1384,2,9,11,1
1385,16,39,55,1
1386,10,24,34,1
1387,15,46,61,1
1388,13,27,40,1
1389,9,19,28,1
1390,17,59,76,1
1391,15,31,46,1
1392,12,31,43,1
1393,3,10,13,1
1394,23,42,65,1
1395,8,19,27,1
1396,10,30,40,1
1397,15,44,59,1
1398,17,35,52,1
1399,8,23,31,1
1400,18,47,65,1
1401,28,56,84,2
1403,7,35,42,1
1404,12,34,46,1
1405,6,10,16,1
1406,15,35,50,1
1407,17,38,55,1
1408,9,23,32,1
1409,20,50,70,1
1410,13,35,48,1
1411,15,38,53,1
1412,12,41,53,1
1413,19,59,78,2
1414,6,11,17,1
1415,6,20,26,1
1416,9,18,27,1
1417,11,27,38,1
1418,18,53,71,1
