Region,Start Time,End Time,Code,Session,Location/Room,BU,Notes
5,8/11/2022 13:15,8/11/2022 14:15,L13,Lunch,Exhibit Hall B,Southwest,
6,8/11/2022 13:15,8/11/2022 14:15,L13,Lunch,Exhibit Hall B,Southwest,
13,8/11/2022 13:15,8/11/2022 14:15,L13,Lunch,Exhibit Hall B,Southwest,
44,8/11/2022 13:15,8/11/2022 14:15,L13,Lunch,Exhibit Hall B,Southwest,
46,8/11/2022 13:15,8/11/2022 14:15,L13,Lunch,Exhibit Hall B,Southwest,
5,8/11/2022 14:30,8/11/2022 15:30,MF5,Entertainment/Toys,Exhibit Hall F,Southwest,
6,8/11/2022 14:30,8/11/2022 15:30,MF5,Entertainment/Toys,Exhibit Hall F,Southwest,
13,8/11/2022 14:30,8/11/2022 15:30,MF6,Seasonal,Exhibit Hall F,Southwest,
44,8/11/2022 14:30,8/11/2022 15:30,MF6,Seasonal,Exhibit Hall F,Southwest,
46,8/11/2022 14:30,8/11/2022 15:30,MF6,Seasonal,Exhibit Hall F,Southwest,
5,8/11/2022 15:45,8/11/2022 16:45,MF1,Fresh,Exhibit Hall D,Southwest,
6,8/11/2022 15:45,8/11/2022 16:45,MF1,Fresh,Exhibit Hall D,Southwest,
13,8/11/2022 15:45,8/11/2022 16:45,MF2,Food/Consumables/H&W,Exhibit Hall D,Southwest,
44,8/11/2022 15:45,8/11/2022 16:45,MF2,Food/Consumables/H&W,Exhibit Hall D,Southwest,
46,8/11/2022 15:45,8/11/2022 16:45,MF2,Food/Consumables/H&W,Exhibit Hall D,Southwest,
,8/11/2022 17:00,8/11/2022 18:00,SC!,Supply Chain Breakout , Mile High BR 3&4,Supply Chain,
5,8/12/2022 6:00,8/12/2022 7:15,NTR,New To Role Managers,Mile High BR 3&4,Southwest,
6,8/12/2022 6:00,8/12/2022 7:15,NTR,New To Role Managers,Mile High BR 3&4,Southwest,
13,8/12/2022 6:00,8/12/2022 7:15,NTR,New To Role Managers,Mile High BR 3&4,Southwest,
44,8/12/2022 6:00,8/12/2022 7:15,NTR,New To Role Managers,Mile High BR 3&4,Southwest,
46,8/12/2022 6:00,8/12/2022 7:15,NTR,New To Role Managers,Mile High BR 3&4,Southwest,
5,8/12/2022 6:00,8/12/2022 7:15,MF7,Merchandise floor open,Exhibit Hall D-F,Southwest,
6,8/12/2022 6:00,8/12/2022 7:15,MF7,Merchandise floor open,Exhibit Hall D-F,Southwest,
13,8/12/2022 6:00,8/12/2022 7:15,MF7,Merchandise floor open,Exhibit Hall D-F,Southwest,
44,8/12/2022 6:00,8/12/2022 7:15,MF7,Merchandise floor open,Exhibit Hall D-F,Southwest,
46,8/12/2022 6:00,8/12/2022 7:15,MF7,Merchandise floor open,Exhibit Hall D-F,Southwest,
5,8/12/2022 7:30,8/12/2022 8:30,MF6,Seasonal,Exhibit Hall F,Southwest,
6,8/12/2022 7:30,8/12/2022 8:30,MF6,Seasonal,Exhibit Hall F,Southwest,
13,8/12/2022 7:30,8/12/2022 8:30,MF5,Entertainment/Toys,Exhibit Hall F,Southwest,
44,8/12/2022 7:30,8/12/2022 8:30,MF5,Entertainment/Toys,Exhibit Hall F,Southwest,
46,8/12/2022 7:30,8/12/2022 8:30,MF5,Entertainment/Toys,Exhibit Hall F,Southwest,
5,8/12/2022 8:45,8/12/2022 9:45,MF3,Apparel,Exhibit Hall E,Southwest,
6,8/12/2022 8:45,8/12/2022 9:45,MF3,Apparel,Exhibit Hall E,Southwest,
13,8/12/2022 8:45,8/12/2022 9:45,MF4,Home/Hardlines,Exhibit Hall E,Southwest,
44,8/12/2022 8:45,8/12/2022 9:45,MF4,Home/Hardlines,Exhibit Hall E,Southwest,
46,8/12/2022 8:45,8/12/2022 9:45,MF4,Home/Hardlines,Exhibit Hall E,Southwest,
5,8/12/2022 10:00,8/12/2022 11:00,BUI,Business Unit Meeting,Mile High BR 1&2,Southwest,
6,8/12/2022 10:00,8/12/2022 11:00,BUI,Business Unit Meeting,Mile High BR 1&2,Southwest,
13,8/12/2022 10:00,8/12/2022 11:00,BUI,Business Unit Meeting,Mile High BR 1&2,Southwest,
44,8/12/2022 10:00,8/12/2022 11:00,BUI,Business Unit Meeting,Mile High BR 1&2,Southwest,
46,8/12/2022 10:00,8/12/2022 11:00,BUI,Business Unit Meeting,Mile High BR 1&2,Southwest,
5,8/12/2022 11:15,8/12/2022 12:15,RMSE,Regional Meeting,RM708/710/712,Southwest,
6,8/12/2022 11:15,8/12/2022 12:15,RMSE,Regional Meeting,Four Seasons BR 4,Southwest,
13,8/12/2022 11:15,8/12/2022 12:15,RMSE,Regional Meeting,RM 603,Southwest,
44,8/12/2022 11:15,8/12/2022 12:15,RMSE,Regional Meeting,RM 605,Southwest,
46,8/12/2022 11:15,8/12/2022 12:15,RMSE,Regional Meeting,RM 607,Southwest,
5,8/12/2022 12:30,8/12/2022 13:30,MF2,Food/Consumables/H&W,Exhibit Hall D,Southwest,
6,8/12/2022 12:30,8/12/2022 13:30,MF2,Food/Consumables/H&W,Exhibit Hall D,Southwest,
13,8/12/2022 12:30,8/12/2022 13:30,MF1,Fresh,Exhibit Hall D,Southwest,
44,8/12/2022 12:30,8/12/2022 13:30,MF1,Fresh,Exhibit Hall D,Southwest,
46,8/12/2022 12:30,8/12/2022 13:30,MF1,Fresh,Exhibit Hall D,Southwest,
5,8/12/2022 13:45,8/12/2022 14:45,L24,Lunch,Exhibit Hall B,Southwest,
6,8/12/2022 13:45,8/12/2022 14:45,L24,Lunch,Exhibit Hall B,Southwest,
13,8/12/2022 13:45,8/12/2022 14:45,L24,Lunch,Exhibit Hall B,Southwest,
44,8/12/2022 13:45,8/12/2022 14:45,L24,Lunch,Exhibit Hall B,Southwest,
46,8/12/2022 13:45,8/12/2022 14:45,L24,Lunch,Exhibit Hall B,Southwest,
5,8/12/2022 15:00,8/12/2022 16:00,GS2,General Session,Exhibit Hall A,Southwest,
6,8/12/2022 15:00,8/12/2022 16:00,GS2,General Session,Exhibit Hall A,Southwest,
13,8/12/2022 15:00,8/12/2022 16:00,GS2,General Session,Exhibit Hall A,Southwest,
44,8/12/2022 15:00,8/12/2022 16:00,GS2,General Session,Exhibit Hall A,Southwest,
46,8/12/2022 15:00,8/12/2022 16:00,GS2,General Session,Exhibit Hall A,Southwest,
52,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting,Mile High BR 1&2,West,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
54,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting,Mile High BR 1&2,West,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
60,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting,Mile High BR 1&2,West,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
56,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting,Mile High BR 1&2,West,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
57,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting,Mile High BR 1&2,West,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
47,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting,Mile High BR 1&2,West,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
 ,8/10/2022 13:00,8/10/2022 17:00,TP1,Transportation Leadership Meeting,RM601,Transportation,
52,8/10/2022 17:30,8/10/2022 19:00,,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,West,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
54,8/10/2022 17:30,8/10/2022 19:00,,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,West,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
60,8/10/2022 17:30,8/10/2022 19:00,,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,West,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
56,8/10/2022 17:30,8/10/2022 19:00,,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,West,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
57,8/10/2022 17:30,8/10/2022 19:00,,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,West,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
47,8/10/2022 17:30,8/10/2022 19:00,,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,West,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
52,8/11/2022 7:30,8/11/2022 9:00,GS1,General Session,Exhibit Hall A,West,
54,8/11/2022 7:30,8/11/2022 9:00,GS1,General Session,Exhibit Hall A,West,
60,8/11/2022 7:30,8/11/2022 9:00,GS1,General Session,Exhibit Hall A,West,
56,8/11/2022 7:30,8/11/2022 9:00,GS1,General Session,Exhibit Hall A,West,
57,8/11/2022 7:30,8/11/2022 9:00,GS1,General Session,Exhibit Hall A,West,
47,8/11/2022 9:30,8/11/2022 10:30,E21,End 2 End ,Mile High BR 1&2,West,
52,8/11/2022 9:30,8/11/2022 10:30,E21,End 2 End ,Mile High BR 1&2,West,
54,8/11/2022 9:30,8/11/2022 10:30,E21,End 2 End ,Mile High BR 1&2,West,
60,8/11/2022 9:30,8/11/2022 10:30,E21,End 2 End ,Mile High BR 1&2,West,
56,8/11/2022 9:30,8/11/2022 10:30,E21,End 2 End ,Mile High BR 1&2,West,
57,8/11/2022 9:30,8/11/2022 10:30,E21,End 2 End ,Mile High BR 1&2,West,
47,8/11/2022 10:45,8/11/2022 11:45,LS2,Listening Session,Four Seasons BR 1,West,
52,8/11/2022 10:45,8/11/2022 11:45,LS2,Listening Session,Four Seasons BR 1,West,
54,8/11/2022 10:45,8/11/2022 11:45,LS2,Listening Session,Four Seasons BR 2&3,West,
60,8/11/2022 10:45,8/11/2022 11:45,LS2,Listening Session,Four Seasons BR 2&3,West,
56,8/11/2022 10:45,8/11/2022 11:45,LS2,Listening Session,RM 708/710/712,West,
57,8/11/2022 10:45,8/11/2022 11:45,LS2,Listening Session,Four Seasons BR 4,West,
47,8/11/2022 12:00,8/11/2022 13:00,MF2,Food/Consumables/H&W,Exhibit Hall D,West,
52,8/11/2022 12:00,8/11/2022 13:00,MF2,Food/Consumables/H&W,Exhibit Hall D,West,
54,8/11/2022 12:00,8/11/2022 13:00,MF2,Food/Consumables/H&W,Exhibit Hall D,West,
60,8/11/2022 12:00,8/11/2022 13:00,MF1,Fresh,Exhibit Hall D,West,
56,8/11/2022 12:00,8/11/2022 13:00,MF1,Fresh,Exhibit Hall D,West,
57,8/11/2022 12:00,8/11/2022 13:00,MF1,Fresh,Exhibit Hall D,West,
,8/11/2022 13:15,8/11/2022 14:15,TP2,Transportation Breakout,RM601,Transportation,
47,8/11/2022 13:15,8/11/2022 14:15,L13,Lunch,Exhibit Hall B,West,
52,8/11/2022 13:15,8/11/2022 14:15,L13,Lunch,Exhibit Hall B,West,
54,8/11/2022 13:15,8/11/2022 14:15,L13,Lunch,Exhibit Hall B,West,
60,8/11/2022 13:15,8/11/2022 14:15,L13,Lunch,Exhibit Hall B,West,
56,8/11/2022 13:15,8/11/2022 14:15,L13,Lunch,Exhibit Hall B,West,
57,8/11/2022 13:15,8/11/2022 14:15,L13,Lunch,Exhibit Hall B,West,
47,8/11/2022 14:30,8/11/2022 15:30,MF1,Fresh,Exhibit Hall D,West,
52,8/11/2022 14:30,8/11/2022 15:30,MF1,Fresh,Exhibit Hall D,West,
54,8/11/2022 14:30,8/11/2022 15:30,MF1,Fresh,Exhibit Hall D,West,
60,8/11/2022 14:30,8/11/2022 15:30,MF2,Food/Consumables/H&W,Exhibit Hall D,West,
56,8/11/2022 14:30,8/11/2022 15:30,MF2,Food/Consumables/H&W,Exhibit Hall D,West,
57,8/11/2022 14:30,8/11/2022 15:30,MF2,Food/Consumables/H&W,Exhibit Hall D,West,
47,8/11/2022 15:45,8/11/2022 16:45,MF4,Home/Hardlines,Exhibit Hall E,West,
52,8/11/2022 15:45,8/11/2022 16:45,MF4,Home/Hardlines,Exhibit Hall E,West,
54,8/11/2022 15:45,8/11/2022 16:45,MF4,Home/Hardlines,Exhibit Hall E,West,
60,8/11/2022 15:45,8/11/2022 16:45,MF3,Apparel,Exhibit Hall E,West,
56,8/11/2022 15:45,8/11/2022 16:45,MF3,Apparel,Exhibit Hall E,West,
57,8/11/2022 15:45,8/11/2022 16:45,MF3,Apparel,Exhibit Hall E,West,
,8/11/2022 17:00,8/11/2022 18:00,SC!,Supply Chain Breakout , Mile High BR 3&4,Supply Chain,
47,8/12/2022 6:00,8/12/2022 7:15,NTR,New To Role Managers,Mile High BR 3&4,West,
52,8/12/2022 6:00,8/12/2022 7:15,NTR,New To Role Managers,Mile High BR 3&4,West,
54,8/12/2022 6:00,8/12/2022 7:15,NTR,New To Role Managers,Mile High BR 3&4,West,
60,8/12/2022 6:00,8/12/2022 7:15,NTR,New To Role Managers,Mile High BR 3&4,West,
56,8/12/2022 6:00,8/12/2022 7:15,NTR,New To Role Managers,Mile High BR 3&4,West,
57,8/12/2022 6:00,8/12/2022 7:15,NTR,New To Role Managers,Mile High BR 3&4,West,
47,8/12/2022 6:00,8/12/2022 7:15,MF7,Merchandise floor open,Exhibit Hall D-F,West,
52,8/12/2022 6:00,8/12/2022 7:15,MF7,Merchandise floor open,Exhibit Hall D-F,West,
54,8/12/2022 6:00,8/12/2022 7:15,MF7,Merchandise floor open,Exhibit Hall D-F,West,
60,8/12/2022 6:00,8/12/2022 7:15,MF7,Merchandise floor open,Exhibit Hall D-F,West,
56,8/12/2022 6:00,8/12/2022 7:15,MF7,Merchandise floor open,Exhibit Hall D-F,West,
57,8/12/2022 6:00,8/12/2022 7:15,MF7,Merchandise floor open,Exhibit Hall D-F,West,
47,8/12/2022 7:30,8/12/2022 8:30,RMW,Regional Meeting,Four Seasons BR 1,West,
52,8/12/2022 7:30,8/12/2022 8:30,RMW,Regional Meeting,Four Seasons BR 2&3,West,
54,8/12/2022 7:30,8/12/2022 8:30,RMW,Regional Meeting,RM 607,West,
60,8/12/2022 7:30,8/12/2022 8:30,RMW,Regional Meeting,RM 605,West,
56,8/12/2022 7:30,8/12/2022 8:30,RMW,Regional Meeting,RM 708/710/712,West,
57,8/12/2022 7:30,8/12/2022 8:30,RMW,Regional Meeting,Four Seasons BR 4,West,
47,8/12/2022 8:45,8/12/2022 9:45,BU2,Business Meeting,Mile High BR 1&2,West,
52,8/12/2022 8:45,8/12/2022 9:45,BU2,Business Meeting,Mile High BR 1&2,West,
54,8/12/2022 8:45,8/12/2022 9:45,BU2,Business Meeting,Mile High BR 1&2,West,
60,8/12/2022 8:45,8/12/2022 9:45,BU2,Business Meeting,Mile High BR 1&2,West,
56,8/12/2022 8:45,8/12/2022 9:45,BU2,Business Meeting,Mile High BR 1&2,West,
57,8/12/2022 8:45,8/12/2022 9:45,BU2,Business Meeting,Mile High BR 1&2,West,
47,8/12/2022 10:00,8/12/2022 11:00,MF6,Seasonal,Exhibit Hall F,West,
52,8/12/2022 10:00,8/12/2022 11:00,MF6,Seasonal,Exhibit Hall F,West,
54,8/12/2022 10:00,8/12/2022 11:00,MF6,Seasonal,Exhibit Hall F,West,
60,8/12/2022 10:00,8/12/2022 11:00,MF5,Entertainment/Toys,Exhibit Hall F,West,
56,8/12/2022 10:00,8/12/2022 11:00,MF5,Entertainment/Toys,Exhibit Hall F,West,
57,8/12/2022 10:00,8/12/2022 11:00,MF5,Entertainment/Toys,Exhibit Hall F,West,
47,8/12/2022 11:15,8/12/2022 12:15,MF5,Entertainment/Toys,Exhibit Hall F,West,
52,8/12/2022 11:15,8/12/2022 12:15,MF5,Entertainment/Toys,Exhibit Hall F,West,
54,8/12/2022 11:15,8/12/2022 12:15,MF5,Entertainment/Toys,Exhibit Hall F,West,
60,8/12/2022 11:15,8/12/2022 12:15,MF6,Seasonal,Exhibit Hall F,West,
56,8/12/2022 11:15,8/12/2022 12:15,MF6,Seasonal,Exhibit Hall F,West,
57,8/12/2022 11:15,8/12/2022 12:15,MF6,Seasonal,Exhibit Hall F,West,
47,8/12/2022 12:30,8/12/2022 13:30,MF3,Apparel,Exhibit Hall E,West,
52,8/12/2022 12:30,8/12/2022 13:30,MF3,Apparel,Exhibit Hall E,West,
54,8/12/2022 12:30,8/12/2022 13:30,MF3,Apparel,Exhibit Hall E,West,
60,8/12/2022 12:30,8/12/2022 13:30,MF4,Home/Hardlines,Exhibit Hall E,West,
56,8/12/2022 12:30,8/12/2022 13:30,MF4,Home/Hardlines,Exhibit Hall E,West,
57,8/12/2022 12:30,8/12/2022 13:30,MF4,Home/Hardlines,Exhibit Hall E,West,
47,8/12/2022 13:45,8/12/2022 14:45,L24,Lunch,Exhibit Hall B,West,
52,8/12/2022 13:45,8/12/2022 14:45,L24,Lunch,Exhibit Hall B,West,
54,8/12/2022 13:45,8/12/2022 14:45,L24,Lunch,Exhibit Hall B,West,
60,8/12/2022 13:45,8/12/2022 14:45,L24,Lunch,Exhibit Hall B,West,
56,8/12/2022 13:45,8/12/2022 14:45,L24,Lunch,Exhibit Hall B,West,
57,8/12/2022 13:45,8/12/2022 14:45,L24,Lunch,Exhibit Hall B,West,
47,8/12/2022 15:00,8/12/2022 16:00,GS2,General Session,Exhibit Hall A,West,
52,8/12/2022 15:00,8/12/2022 16:00,GS2,General Session,Exhibit Hall A,West,
54,8/12/2022 15:00,8/12/2022 16:00,GS2,General Session,Exhibit Hall A,West,
60,8/12/2022 15:00,8/12/2022 16:00,GS2,General Session,Exhibit Hall A,West,
56,8/12/2022 15:00,8/12/2022 16:00,GS2,General Session,Exhibit Hall A,West,
57,8/12/2022 15:00,8/12/2022 16:00,GS2,General Session,Exhibit Hall A,West,
2,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting,Mile High BR 1&2,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
29,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting,Mile High BR 1&2,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
3,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting,Mile High BR 1&2,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
12,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting,Mile High BR 1&2,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
9,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting,Mile High BR 1&2,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
14,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting,Mile High BR 1&2,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
42,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting,Mile High BR 1&2,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
,8/10/2022 13:00,8/10/2022 17:00,TP1,Transportation Leadership Meeting,RM601,Transportation,
2,8/10/2022 17:30,8/10/2022 19:00,LM2,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
29,8/10/2022 17:30,8/10/2022 19:00,LM2,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
3,8/10/2022 17:30,8/10/2022 19:00,LM2,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
12,8/10/2022 17:30,8/10/2022 19:00,LM2,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
9,8/10/2022 17:30,8/10/2022 19:00,LM2,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
14,8/10/2022 17:30,8/10/2022 19:00,LM2,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
42,8/10/2022 17:30,8/10/2022 19:00,LM2,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,Southeast,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
2,8/11/2022 7:30,8/11/2022 9:00,GS1,General Session,Exhibit Hall A,Southeast,
