Division,Region,Market,Facility,Bucket
A,14,15,1032,General Increase
E,25,243,1033,General Increase
F,4,305,1034,General Increase
A,2,294,1036,General Increase
F,4,36,1037,General Increase
F,4,304,1039,General Increase
M,54,379,1045,General Increase
E,41,242,1053,General Increase
M,54,388,1058,General Increase
F,4,304,1060,General Increase
F,4,304,1064,General Increase
E,25,341,1071,General Increase
A,12,149,1075,General Increase
A,3,94,1079,General Increase
A,3,98,1082,General Increase
A,3,101,1083,General Increase
A,9,91,1084,General Increase
A,9,90,1086,General Increase
A,3,101,1090,General Increase
E,40,361,1094,General Increase
M,54,388,1095,General Increase
A,9,105,1119,General Increase
E,40,360,1120,General Increase
E,25,278,1125,General Increase
F,4,304,1131,General Increase
F,26,309,1133,General Increase
E,41,259,1139,General Increase
E,41,259,1140,General Increase
E,25,249,1141,General Increase
E,25,243,1142,General Increase
F,4,42,1144,General Increase
F,4,36,1146,General Increase
E,40,362,1151,General Increase
M,52,426,1152,General Increase
B,6,506,1154,General Increase
F,4,306,1156,General Increase
E,25,243,1157,General Increase
E,25,243,1160,General Increase
E,40,339,1161,General Increase
E,53,435,1167,General Increase
E,41,256,1170,General Increase
A,9,115,1171,General Increase
A,3,98,1172,General Increase
A,3,98,1173,General Increase
B,46,364,1175,General Increase
E,40,340,1177,General Increase
A,2,294,1179,General Increase
E,25,243,1180,General Increase
E,40,339,1188,General Increase
E,41,257,1190,General Increase
M,54,388,1199,General Increase
A,3,101,1205,General Increase
A,14,15,1207,General Increase
F,4,305,1209,General Increase
E,41,260,1210,General Increase
A,2,294,1217,General Increase
B,46,366,1218,General Increase
A,3,101,1219,General Increase
A,9,90,1220,General Increase
A,3,101,1225,General Increase
A,12,149,1226,General Increase
M,54,379,1231,General Increase
E,21,217,1239,General Increase
B,46,367,1240,General Increase
M,52,418,1241,General Increase
A,2,294,1242,General Increase
A,12,144,1248,General Increase
M,54,380,1252,General Increase
E,40,340,1265,General Increase
E,53,441,1267,General Increase
M,54,388,1280,General Increase
M,52,418,1285,General Increase
E,21,221,1289,General Increase
F,4,304,1290,General Increase
B,46,367,1291,General Increase
M,54,380,1308,General Increase
M,54,381,1315,General Increase
A,2,294,1317,General Increase
B,46,366,1324,General Increase
B,46,366,1325,General Increase
E,25,243,1327,General Increase
E,21,222,1330,General Increase
E,21,223,1331,General Increase
M,52,426,1332,General Increase
B,46,372,1334,General Increase
F,75,315,1335,General Increase
F,4,304,1337,General Increase
F,75,315,1344,General Increase
F,4,36,1358,General Increase
F,4,36,1359,General Increase
M,52,426,1361,General Increase
A,14,15,1362,General Increase
M,57,365,1364,General Increase
E,53,436,1365,General Increase
M,57,365,1370,General Increase
A,9,91,1374,General Increase
E,41,152,1376,General Increase
E,21,247,1378,General Increase
B,46,372,1381,General Increase
F,4,29,1383,General Increase
F,4,305,1385,General Increase
M,52,414,1389,General Increase
A,3,94,1391,General Increase
M,52,413,1393,General Increase
F,75,286,1406,General Increase
E,21,221,1407,General Increase
E,21,223,1410,General Increase
B,46,366,1411,General Increase
M,54,381,1412,General Increase
M,52,421,1415,General Increase
E,19,207,1416,General Increase
E,25,341,1418,General Increase
E,21,248,1419,General Increase
F,75,290,1424,General Increase
E,21,218,1427,General Increase
E,53,439,1430,General Increase
M,52,418,1431,General Increase
E,21,222,1433,General Increase
M,52,413,1435,General Increase
B,46,405,1439,General Increase
M,54,403,1440,General Increase
E,21,221,1441,General Increase
E,21,225,1443,General Increase
A,3,98,1444,General Increase
E,19,213,1445,General Increase
E,25,275,1451,General Increase
F,26,309,1452,General Increase
E,25,275,1454,General Increase
M,54,381,1456,General Increase
M,54,381,1457,General Increase
M,54,381,1461,General Increase
E,21,221,1463,General Increase
F,4,305,1464,General Increase
M,52,421,1470,General Increase
M,52,421,1473,General Increase
M,57,365,1474,General Increase
M,52,418,1475,General Increase
E,25,243,1476,General Increase
E,19,238,1479,General Increase
E,21,239,1480,General Increase
M,47,430,1483,General Increase
M,47,382,1485,General Increase
E,19,238,1487,General Increase
E,53,263,1490,General Increase
M,52,413,1491,General Increase
M,54,376,1492,General Increase
E,21,223,1495,General Increase
M,52,415,1496,General Increase
M,47,430,1500,General Increase
E,21,221,1503,General Increase
E,21,221,1504,General Increase
M,52,415,1506,General Increase
M,47,382,1508,General Increase
M,52,415,1509,General Increase
E,21,225,1510,General Increase
B,46,371,1512,General Increase
E,40,340,1514,General Increase
M,47,430,1520,General Increase
E,21,225,1521,General Increase
F,75,287,1523,General Increase
F,75,290,1524,General Increase
F,75,287,1525,General Increase
M,52,426,1526,General Increase
M,52,415,1528,General Increase
F,22,233,1529,General Increase
B,46,369,1532,General Increase
B,46,369,1533,General Increase
M,47,427,1534,General Increase
M,47,430,1535,General Increase
F,22,234,1537,General Increase
M,47,430,1538,General Increase
E,53,196,1542,General Increase
M,47,430,1543,General Increase
M,52,412,1545,General Increase
M,52,426,1546,General Increase
B,46,368,1549,General Increase
M,54,388,1550,General Increase
F,26,308,1552,General Increase
M,57,394,1559,General Increase
M,57,396,1560,General Increase
A,12,145,1561,General Increase
M,52,424,1562,General Increase
M,47,427,1565,General Increase
E,21,247,1566,General Increase
M,47,427,1567,General Increase
E,41,259,1569,General Increase
M,54,582,1572,General Increase
B,46,405,1573,General Increase
M,57,447,1574,General Increase
M,56,457,1575,General Increase
E,19,238,1576,General Increase
M,52,424,1577,General Increase
M,47,427,1581,General Increase
M,57,449,1583,General Increase
M,57,396,1584,General Increase
F,22,234,1591,General Increase
E,21,219,1594,General Increase
E,21,217,1595,General Increase
B,46,370,1598,General Increase
E,40,362,1599,General Increase
M,57,447,1600,General Increase
E,25,482,1601,General Increase
F,4,42,1603,General Increase
M,47,430,1604,General Increase
M,56,457,1608,General Increase
F,17,192,1610,General Increase
B,46,366,1612,General Increase
M,56,457,1616,General Increase
M,54,381,1617,General Increase
E,19,238,1618,General Increase
F,17,192,1619,General Increase
M,52,418,1621,General Increase
F,17,226,1623,General Increase
M,57,447,1624,General Increase
M,52,426,1625,General Increase
M,47,427,1627,General Increase
E,19,213,1628,General Increase
M,56,457,1630,General Increase
M,52,412,1632,General Increase
M,52,419,1634,General Increase
M,47,427,1636,General Increase
M,47,432,1637,General Increase
F,22,237,1640,General Increase
E,53,439,1643,General Increase
F,22,232,1644,General Increase
M,57,581,1645,General Increase
B,46,372,1646,General Increase
M,47,427,1649,General Increase
M,52,419,1654,General Increase
E,53,425,1657,General Increase
M,54,379,1659,General Increase
F,4,304,1662,General Increase
A,2,294,1663,General Increase
E,21,239,1665,General Increase
F,4,306,1666,General Increase
F,22,168,1670,General Increase
M,47,433,1671,General Increase
F,17,192,1673,General Increase
F,75,280,1674,General Increase
F,17,189,1677,General Increase
M,52,413,1683,General Increase
M,47,430,1685,General Increase
M,54,403,1686,General Increase
M,54,376,1689,General Increase
E,40,362,1691,General Increase
F,4,124,1694,General Increase
M,47,427,1695,General Increase
M,52,412,1696,General Increase
M,54,401,1699,General Increase
F,75,280,1703,General Increase
F,17,191,1705,General Increase
M,54,401,1708,General Increase
E,21,248,1709,General Increase
F,75,285,1715,General Increase
F,75,508,1716,General Increase
F,75,508,1717,General Increase
M,52,418,1721,General Increase
M,52,421,1722,General Increase
M,52,413,1723,General Increase
F,75,315,1726,General Increase
F,17,192,1731,General Increase
M,52,414,1732,General Increase
E,21,246,1734,General Increase
F,75,284,1736,General Increase
M,52,421,1738,General Increase
E,20,227,1739,General Increase
E,53,263,1740,General Increase
F,75,284,1741,General Increase
F,22,165,1742,General Increase
F,17,192,1744,General Increase
E,21,239,1745,General Increase
B,46,371,1746,General Increase
F,4,36,1748,General Increase
E,19,203,1754,General Increase
E,25,341,1761,General Increase
F,16,157,1762,General Increase
M,52,413,1764,General Increase
M,54,582,1768,General Increase
E,20,229,1770,General Increase
E,19,202,1771,General Increase
M,56,468,1772,General Increase
F,22,168,1777,General Increase
M,47,382,1778,General Increase
F,75,315,1780,General Increase
F,17,190,1781,General Increase
M,52,423,1786,General Increase
M,52,414,1787,General Increase
F,16,183,1788,General Increase
E,19,197,1790,General Increase
F,22,231,1792,General Increase
F,22,232,1794,General Increase
A,2,294,1795,General Increase
F,16,184,1796,General Increase
F,16,179,1797,General Increase
M,47,411,1802,General Increase
E,21,248,1804,General Increase
F,17,189,1806,General Increase
F,22,165,1807,General Increase
M,54,388,1808,General Increase
E,19,202,1809,General Increase
F,17,164,1810,General Increase
F,17,192,1813,General Increase
M,57,449,1815,General Increase
E,53,436,1819,General Increase
F,4,306,1821,General Increase
F,22,234,1823,General Increase
F,75,286,1825,General Increase
M,57,581,1826,General Increase
M,54,582,1827,General Increase
E,53,439,1828,General Increase
F,17,191,1830,General Increase
F,17,191,1831,General Increase
F,17,190,1835,General Increase
E,19,202,1836,General Increase
M,57,394,1838,General Increase
M,56,511,1840,General Increase
F,22,178,1844,General Increase
B,46,366,1846,General Increase
F,22,234,1850,General Increase
M,52,423,1855,General Increase
F,16,179,1856,General Increase
F,75,284,1860,General Increase
M,52,422,1861,General Increase
M,52,422,1864,General Increase
M,52,421,1865,General Increase
F,75,293,1867,General Increase
F,16,180,1868,General Increase
F,22,165,1869,General Increase
M,60,475,1870,General Increase
F,17,187,1871,General Increase
M,47,383,1872,General Increase
A,9,118,1874,General Increase
F,75,282,1875,General Increase
M,57,581,1877,General Increase
M,57,581,1882,General Increase
F,17,226,1884,General Increase
E,20,229,1885,General Increase
F,22,234,1886,General Increase
F,22,232,1887,General Increase
M,54,401,1888,General Increase
F,75,285,1890,General Increase
F,75,508,1893,General Increase
E,20,214,1894,General Increase
M,47,383,1901,General Increase
F,75,292,1904,General Increase
F,17,195,1909,General Increase
M,56,457,1910,General Increase
E,20,215,1911,General Increase
E,19,207,1913,General Increase
F,16,179,1919,General Increase
F,22,178,1921,General Increase
E,19,200,1923,General Increase
F,16,179,1924,General Increase
F,17,191,1926,General Increase
E,20,214,1927,General Increase
E,19,205,1928,General Increase
E,53,440,1931,General Increase
F,16,179,1932,General Increase
E,25,267,1933,General Increase
E,53,196,1936,General Increase
E,25,268,1938,General Increase
F,16,180,1939,General Increase
F,17,188,1940,General Increase
M,47,433,1943,General Increase
F,17,226,1945,General Increase
M,60,473,1947,General Increase
M,56,399,1951,General Increase
M,52,422,1952,General Increase
F,16,183,1954,General Increase
E,53,263,1955,General Increase
M,47,382,1956,General Increase
A,9,105,1957,General Increase
F,17,164,1959,General Increase
E,21,225,1961,General Increase
M,47,432,1965,General Increase
F,17,194,1966,General Increase
F,75,281,1968,General Increase
F,75,290,1969,General Increase
F,16,179,1974,General Increase
F,17,190,1976,General Increase
F,22,178,1977,General Increase
F,75,508,1981,General Increase
F,75,508,1985,General Increase
E,19,205,1987,General Increase
E,21,217,1990,General Increase
E,25,251,1991,General Increase
F,17,195,1993,General Increase
F,17,188,1997,General Increase
M,57,449,2001,General Increase
F,17,174,2003,General Increase
M,52,415,2004,General Increase
F,4,306,2005,General Increase
M,60,475,2006,General Increase
M,60,473,2007,General Increase
F,75,281,2009,General Increase
E,19,201,2010,General Increase
F,16,179,2013,General Increase
F,75,292,2015,General Increase
M,60,473,2016,General Increase
F,22,233,2023,General Increase
F,17,226,2024,General Increase
F,75,280,2027,General Increase
M,56,450,2030,General Increase
M,47,427,2033,General Increase
E,21,239,2035,General Increase
M,60,472,2037,General Increase
F,75,292,2038,General Increase
F,22,170,2040,General Increase
F,75,284,2041,General Increase
M,56,457,2044,General Increase
F,75,281,2045,General Increase
F,16,180,2046,General Increase
F,16,179,2047,General Increase
M,57,396,2050,General Increase
B,46,405,2051,General Increase
M,56,457,2053,General Increase
F,17,188,2056,General Increase
F,22,231,2059,General Increase
E,19,201,2062,General Increase
F,17,226,2064,General Increase
F,22,170,2068,General Increase
M,56,468,2069,General Increase
M,60,469,2070,General Increase
M,60,469,2071,General Increase
M,60,469,2074,General Increase
M,60,478,2075,General Increase
M,47,382,2084,General Increase
M,52,422,2087,General Increase
E,20,311,2089,General Increase
F,17,174,2090,General Increase
F,17,189,2093,General Increase
F,22,170,2096,General Increase
F,17,188,2097,General Increase
E,21,219,2098,General Increase
E,53,196,2100,General Increase
M,60,475,2101,General Increase
F,17,164,2104,General Increase
F,17,195,2107,General Increase
F,22,165,2108,General Increase
F,22,165,2109,General Increase
B,46,372,2112,General Increase
B,46,370,2113,General Increase
E,20,216,2115,General Increase
F,17,187,2116,General Increase
F,17,190,2120,General Increase
M,60,472,2121,General Increase
E,21,223,2124,General Increase
M,54,380,2125,General Increase
E,53,440,2127,General Increase
M,47,411,2131,General Increase
F,4,306,2134,General Increase
F,17,190,2135,General Increase
F,16,181,2138,General Increase
F,16,180,2140,General Increase
F,22,166,2141,General Increase
F,16,179,2143,General Increase
F,22,168,2145,General Increase
F,17,189,2146,General Increase
M,47,383,2147,General Increase
M,57,458,2150,General Increase
F,17,188,2152,General Increase
F,16,183,2153,General Increase
F,17,171,2156,General Increase
F,75,290,2160,General Increase
F,17,191,2166,General Increase
F,22,167,2167,General Increase
F,22,232,2169,General Increase
E,40,333,2175,General Increase
M,57,459,2177,General Increase
F,16,179,2178,General Increase
F,22,232,2185,General Increase
M,60,473,2187,General Increase
M,60,469,2188,General Increase
E,19,207,2191,General Increase
E,20,208,2193,General Increase
F,75,283,2194,General Increase
F,22,178,2195,General Increase
M,60,472,2196,General Increase
M,52,423,2198,General Increase
F,16,180,2202,General Increase
E,25,267,2204,General Increase
F,22,233,2205,General Increase
M,54,403,2207,General Increase
F,17,226,2208,General Increase
F,17,195,2210,General Increase
E,20,208,2211,General Increase
E,40,340,2213,General Increase
M,54,585,2223,General Increase
F,16,181,2224,General Increase
F,22,237,2230,General Increase
F,75,280,2233,General Increase
F,17,189,2234,General Increase
F,22,167,2236,General Increase
M,60,475,2241,General Increase
M,60,478,2243,General Increase
F,75,293,2248,General Increase
M,60,467,2249,General Increase
E,21,225,2250,General Increase
F,22,168,2252,General Increase
F,22,165,2254,General Increase
F,22,232,2255,General Increase
F,75,283,2258,General Increase
M,47,383,2259,General Increase
F,17,190,2262,General Increase
F,22,167,2263,General Increase
F,17,189,2264,General Increase
E,20,214,2266,General Increase
M,60,473,2269,General Increase
B,46,375,2270,General Increase
F,75,285,2272,General Increase
E,19,205,2273,General Increase
M,52,424,2274,General Increase
E,21,239,2275,General Increase
E,19,238,2276,General Increase
M,57,449,2277,General Increase
F,17,228,2278,General Increase
F,75,282,2279,General Increase
M,56,451,2280,General Increase
F,17,189,2285,General Increase
F,17,171,2286,General Increase
M,54,585,2293,General Increase
F,17,174,2294,General Increase
F,75,287,2295,General Increase
M,57,448,2297,General Increase
F,17,163,2299,General Increase
E,20,227,2300,General Increase
M,54,582,2307,General Increase
M,60,470,2308,General Increase
E,21,221,2309,General Increase
E,20,209,2313,General Increase
E,20,214,2316,General Increase
M,60,472,2317,General Increase
F,22,231,2318,General Increase
M,60,472,2319,General Increase
M,60,470,2321,General Increase
A,12,145,2322,General Increase
M,60,472,2325,General Increase
F,22,233,2334,General Increase
E,53,441,2335,General Increase
E,53,196,2338,General Increase
F,22,233,2340,General Increase
F,4,36,2348,General Increase
E,19,207,2350,General Increase
F,17,188,2351,General Increase
M,52,424,2352,General Increase
E,19,205,2354,General Increase
F,17,195,2355,General Increase
F,75,283,2357,General Increase
E,53,196,2358,General Increase
E,20,209,2362,General Increase
F,17,174,2365,General Increase
M,52,419,2367,General Increase
F,17,174,2368,General Increase
F,17,188,2370,General Increase
M,60,514,2385,General Increase
E,21,239,2388,General Increase
O,72,102,2392,General Increase
E,21,218,2400,General Increase
M,56,392,2402,General Increase
M,60,514,2403,General Increase
F,17,194,2405,General Increase
F,75,293,2412,General Increase
E,53,196,2417,General Increase
F,75,285,2419,General Increase
E,53,436,2421,General Increase
M,60,477,2422,General Increase
O,59,495,2425,General Increase
E,21,217,2426,General Increase
E,21,223,2429,General Increase
M,47,433,2432,General Increase
F,75,282,2435,General Increase
F,75,293,2436,General Increase
F,75,286,2437,General Increase
A,2,294,2440,General Increase
E,21,223,2441,General Increase
O,59,485,2442,General Increase
M,47,430,2443,General Increase
F,17,189,2444,General Increase
F,22,170,2445,General Increase
F,22,170,2446,General Increase
E,21,225,2447,General Increase
M,60,471,2450,General Increase
M,47,383,2455,General Increase
A,9,115,2459,General Increase
F,75,285,2460,General Increase
O,61,552,2468,General Increase
M,60,467,2469,General Increase
E,21,217,2471,General Increase
M,60,475,2476,General Increase
M,57,459,2479,General Increase
F,17,226,2480,General Increase
F,22,232,2481,General Increase
B,46,371,2482,General Increase
M,57,394,2483,General Increase
A,9,118,2484,General Increase
M,60,474,2485,General Increase
E,40,362,2490,General Increase
E,21,246,2491,General Increase
E,19,200,2493,General Increase
F,4,124,2496,General Increase
F,17,174,2497,General Increase
O,72,96,2499,General Increase
F,22,231,2502,General Increase
F,17,174,2503,General Increase
F,17,188,2504,General Increase
M,56,399,2508,General Increase
E,53,440,2510,General Increase
M,54,582,2511,General Increase
B,46,369,2512,General Increase
F,75,285,2514,General Increase
B,46,371,2515,General Increase
M,60,514,2516,General Increase
F,22,558,2518,General Increase
F,22,233,2519,General Increase
M,57,446,2526,General Increase
F,22,232,2528,General Increase
F,17,164,2531,General Increase
A,14,14,2533,General Increase
F,22,232,2535,General Increase
M,57,581,2536,General Increase
M,56,457,2537,General Increase
M,60,474,2539,General Increase
E,20,229,2540,General Increase
F,17,226,2543,General Increase
E,19,238,2544,General Increase
F,17,164,2547,General Increase
M,60,474,2549,General Increase
M,60,476,2550,General Increase
F,75,280,2551,General Increase
M,60,476,2552,General Increase
M,56,453,2553,General Increase
B,46,368,2554,General Increase
F,75,284,2555,General Increase
M,57,447,2557,General Increase
E,19,206,2558,General Increase
E,19,206,2559,General Increase
F,75,285,2560,General Increase
F,17,228,2561,General Increase
F,75,286,2564,General Increase
F,75,280,2566,General Increase
E,19,200,2567,General Increase
M,57,446,2568,General Increase
M,60,514,2571,General Increase
F,22,234,2574,General Increase
F,75,281,2577,General Increase
F,17,191,2581,General Increase
F,17,174,2582,General Increase
F,17,172,2583,General Increase
F,17,195,2586,General Increase
E,20,235,2588,General Increase
M,57,394,2592,General Increase
M,57,396,2593,General Increase
M,60,471,2594,General Increase
M,60,471,2595,General Increase
M,60,471,2596,General Increase
E,40,339,2600,General Increase
E,20,227,2603,General Increase
F,17,174,2604,General Increase
M,47,383,2607,General Increase
M,47,382,2608,General Increase
F,22,168,2614,General Increase
E,40,339,2616,General Increase
E,19,203,2618,General Increase
E,19,202,2620,General Increase
E,41,260,2628,General Increase
E,19,197,2631,General Increase
O,61,510,2632,General Increase
F,17,175,2633,General Increase
F,17,164,2637,General Increase
F,22,168,2641,General Increase
M,52,423,2642,General Increase
F,75,286,2647,General Increase
F,22,166,2650,General Increase
F,17,175,2651,General Increase
B,46,375,2656,General Increase
F,16,183,2659,General Increase
E,21,219,2666,General Increase
E,53,435,2668,General Increase
B,46,373,2671,General Increase
M,54,389,2672,General Increase
E,19,201,2678,General Increase
E,21,247,2679,General Increase
E,19,201,2680,General Increase
F,16,180,2681,General Increase
F,16,181,2682,General Increase
O,61,512,2689,General Increase
E,25,243,2691,General Increase
E,19,206,2692,General Increase
E,19,205,2693,General Increase
E,40,340,2694,General Increase
A,9,89,2695,General Increase
E,19,203,2700,General Increase
M,60,469,2710,General Increase
M,60,469,2711,General Increase
M,52,426,2714,General Increase
M,52,415,2716,General Increase
M,60,469,2722,General Increase
E,21,217,2725,General Increase
E,21,219,2726,General Increase
M,54,378,2729,General Increase
F,4,124,2749,General Increase
M,54,380,2751,General Increase
M,54,585,2752,General Increase
F,75,280,2756,General Increase
A,12,151,2757,General Increase
M,52,414,2764,General Increase
B,46,370,2766,General Increase
B,46,372,2767,General Increase
B,46,372,2768,General Increase
E,21,217,2774,General Increase
B,46,368,2777,General Increase
B,46,373,2778,General Increase
M,56,399,2780,General Increase
M,56,399,2781,General Increase
E,41,260,2783,General Increase
F,17,192,2785,General Increase
E,25,482,2786,General Increase
F,75,280,2790,General Increase
F,75,285,2791,General Increase
F,75,287,2795,General Increase
F,75,508,2799,General Increase
F,75,315,2807,General Increase
F,75,290,2808,General Increase
E,53,425,2812,General Increase
E,19,238,2818,General Increase
M,52,421,2820,General Increase
F,75,290,2821,General Increase
F,17,175,2825,General Increase
M,52,418,2827,General Increase
F,22,166,2830,General Increase
F,4,29,2832,General Increase
M,57,396,2838,General Increase
F,22,558,2841,General Increase
F,17,188,2844,General Increase
A,12,144,2846,General Increase
M,47,433,2847,General Increase
F,75,293,2850,General Increase
F,75,508,2853,General Increase
E,40,362,2855,General Increase
E,40,361,2856,General Increase
E,40,360,2857,General Increase
F,17,194,2859,General Increase
F,4,29,2860,General Increase
M,56,399,2861,General Increase
M,56,399,2862,General Increase
M,60,474,2865,General Increase
F,22,558,2871,General Increase
E,19,197,2872,General Increase
E,19,206,2873,General Increase
F,17,189,2874,General Increase
A,9,90,2881,General Increase
M,52,422,2882,General Increase
M,57,394,2884,General Increase
F,22,233,2888,General Increase
M,52,415,2889,General Increase
B,46,73,2891,General Increase
M,54,376,2892,General Increase
F,75,280,2894,General Increase
F,17,163,2899,General Increase
F,16,159,2902,General Increase
F,17,164,2905,General Increase
F,17,171,2906,General Increase
F,17,191,2911,General Increase
E,19,197,2912,General Increase
F,17,171,2915,General Increase
F,17,172,2916,General Increase
F,17,171,2917,General Increase
A,3,101,2920,General Increase
M,54,401,2921,General Increase
B,46,366,2922,General Increase
M,47,382,2923,General Increase
M,56,453,2925,General Increase
M,60,476,2927,General Increase
F,75,285,2931,General Increase
M,52,413,2935,General Increase
O,72,549,2944,General Increase
F,22,233,2945,General Increase
M,60,476,2947,General Increase
E,40,362,2955,General Increase
M,52,412,2957,General Increase
E,19,206,2959,General Increase
E,21,225,2967,General Increase
E,25,243,2968,General Increase
M,57,449,2985,General Increase
E,53,439,2986,General Increase
M,47,430,2990,General Increase
F,17,190,2992,General Increase
E,25,268,3004,General Increase
A,12,151,3017,General Increase
O,61,490,3019,General Increase
F,75,283,3035,General Increase
O,61,9,3049,General Increase
M,60,471,3053,General Increase
E,40,340,3061,General Increase
O,72,102,3066,General Increase
F,75,292,3077,General Increase
F,17,175,3078,General Increase
M,56,399,3093,General Increase
O,61,557,3094,General Increase
O,61,550,3098,General Increase
O,59,495,3110,General Increase
A,14,15,3119,General Increase
O,61,512,3123,General Increase
O,61,490,3126,General Increase
O,61,490,3127,General Increase
O,61,490,3128,General Increase
A,12,149,3137,General Increase
O,61,481,3138,General Increase
O,61,481,3139,General Increase
O,61,481,3140,General Increase
O,61,481,3141,General Increase
O,61,9,3143,General Increase
O,61,550,3145,General Increase
O,61,550,3146,General Increase
M,47,432,3150,General Increase
M,47,432,3151,General Increase
O,61,491,3152,General Increase
O,61,491,3153,General Increase
O,61,491,3154,General Increase
F,17,577,3159,General Increase
O,72,96,3162,General Increase
O,59,495,3166,General Increase
O,61,491,3172,General Increase
O,61,491,3173,General Increase
M,54,378,3177,General Increase
O,61,550,3178,General Increase
E,21,222,3206,General Increase
A,3,94,3207,General Increase
M,54,582,3208,General Increase
M,52,424,3209,General Increase
F,22,178,3212,General Increase
M,60,473,3217,General Increase
M,60,467,3218,General Increase
B,46,405,3220,General Increase
F,17,190,3221,General Increase
M,54,391,3227,General Increase
F,22,231,3228,General Increase
M,54,403,3232,General Increase
M,52,419,3233,General Increase
F,22,178,3236,General Increase
M,47,430,3237,General Increase
B,46,369,3241,General Increase
E,20,209,3250,General Increase
E,21,218,3251,General Increase
F,22,167,3252,General Increase
F,17,228,3253,General Increase
M,47,383,3259,General Increase
M,60,473,3260,General Increase
M,60,475,3261,General Increase
F,22,558,3266,General Increase
M,47,432,3267,General Increase
E,40,362,3273,General Increase
M,47,433,3278,General Increase
F,17,192,3280,General Increase
F,17,228,3281,General Increase
E,21,218,3282,General Increase
F,4,124,3289,General Increase
F,17,174,3291,General Increase
F,17,176,3292,General Increase
E,20,209,3293,General Increase
E,41,242,3294,General Increase
A,3,101,3308,General Increase
A,3,98,3309,General Increase
