Store,Kit Type,Estimated Delivery,Actual Delivery,Status/Notes,Carrier,Tracking Number
761,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688899
489,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688900
3616,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752751
803,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752752
541,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752753
4129,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752754
2665,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752755
553,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752756
531,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752757
2938,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752758
309,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752759
402,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752760
415,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752761
7301,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752762
310,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752763
773,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752764
311,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752765
386,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752766
533,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752767
543,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752768
312,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752769
1204,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752771
505,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752773
331,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752774
4679,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752775
1102,FY24 D18 Annual Event Legacy Kit w/Transition,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752776
935,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752777
532,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752778
1196,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752779
401,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752780
1136,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752781
5056,FY24 D18 Annual Event Legacy Kit w/Transition,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752782
2822,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752783
1206,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752785
2132,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752786
4683,FY24 D18 Annual Event Legacy Kit w/Transition,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752787
839,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752788
1266,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752789
3288,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752790
323,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752791
87,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752792
1169,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752793
116,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752794
278,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752795
3868,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752796
6932,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752797
376,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752798
450,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752799
448,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752800
1193,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752251
98,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752252
1110,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752253
149,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752254
1108,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752255
1109,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752256
23,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752257
307,FY24 D18 Annual Event Legacy Kit w/Transition,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752258
976,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752259
539,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752260
4295,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752261
498,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752262
1128,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752263
75,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752264
1106,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752265
405,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752266
876,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752267
170,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752268
1107,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752269
244,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,58752270
1468,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981532
1710,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981533
1059,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981534
954,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981535
2720,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981537
1192,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981538
874,FY24 D18 Annual Event Legacy Kit w/Transition,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981588
875,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981539
708,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981540
3060,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981541
903,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981542
365,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981543
2939,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310135
2755,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310136
6469,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310137
981,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310138
1271,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310139
183,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310140
1069,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981544
205,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310141
785,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310142
916,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310143
2717,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310144
707,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310145
5419,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310146
303,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310147
6964,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310148
153,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,61310149
699,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981557
176,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981530
155,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981531
848,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981556
182,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981525
347,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981527
391,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981528
258,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981529
118,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981555
114,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981522
105,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,56981523
