Store,Affected
2339,YES
2340,YES
2351,YES
2354,YES
2357,YES
2358,YES
2359,YES
2365,YES
2366,YES
2368,YES
2371,YES
2385,YES
2387,YES
2388,YES
2400,YES
2403,YES
2404,YES
2412,YES
2420,YES
2426,YES
2427,YES
2429,YES
2432,YES
2434,YES
2435,YES
2440,YES
2441,YES
2445,YES
2446,YES
2447,YES
2457,YES
2458,YES
2460,YES
2463,YES
2469,YES
2471,YES
2472,YES
2476,YES
2479,YES
2480,YES
2484,YES
2485,YES
2496,YES
2497,YES
2502,YES
2504,YES
2505,YES
2506,YES
2508,YES
2509,YES
2514,YES
2515,YES
2516,YES
2519,YES
2522,YES
2526,YES
2528,YES
2529,YES
2532,YES
2535,YES
2539,YES
2543,YES
2544,YES
2545,YES
2547,YES
2549,YES
2550,YES
2554,YES
2557,YES
2559,YES
2560,YES
2561,YES
2566,YES
2574,YES
2579,YES
2580,YES
2581,YES
2584,YES
2587,YES
2588,YES
2592,YES
2593,YES
2595,YES
2596,YES
2597,YES
2599,YES
2605,YES
2609,YES
2610,YES
2612,YES
2614,YES
2615,YES
2616,YES
2617,YES
2627,YES
2628,YES
2629,YES
2630,YES
2631,YES
2641,YES
2642,YES
2645,YES
2647,YES
2649,YES
2650,YES
2651,YES
2652,YES
2656,YES
2665,YES
2667,YES
2668,YES
2671,YES
2672,YES
2679,YES
2684,YES
2687,YES
2688,YES
2690,YES
2691,YES
2693,YES
2695,YES
2697,YES
2702,YES
2703,YES
2705,YES
2706,YES
2712,YES
2713,YES
2715,YES
2717,YES
2720,YES
2722,YES
2724,YES
2725,YES
2726,YES
2727,YES
2729,YES
2732,YES
2733,YES
2735,YES
2740,YES
2748,YES
2752,YES
2763,YES
2764,YES
2765,YES
2768,YES
2769,YES
2774,YES
2778,YES
2780,YES
2781,YES
2782,YES
2783,YES
2787,YES
2790,YES
2791,YES
2793,YES
2796,YES
2803,YES
2804,YES
2806,YES
2807,YES
2809,YES
2811,YES
2812,YES
2813,YES
2814,YES
2817,YES
2818,YES
2820,YES
2821,YES
2822,YES
2827,YES
2828,YES
2831,YES
2832,YES
2834,YES
2842,YES
2843,YES
2844,YES
2845,YES
2846,YES
2847,YES
2849,YES
2850,YES
2854,YES
2855,YES
2857,YES
2859,YES
2860,YES
2862,YES
2864,YES
2871,YES
2873,YES
2874,YES
2881,YES
2882,YES
2883,YES
2886,YES
2888,YES
2891,YES
2892,YES
2918,YES
2920,YES
2923,YES
2924,YES
2926,YES
2929,YES
2931,YES
2935,YES
2941,YES
2945,YES
2946,YES
2950,YES
2953,YES
2955,YES
2956,YES
2957,YES
2958,YES
2962,YES
2963,YES
2964,YES
2973,YES
2978,YES
2980,YES
2985,YES
2987,YES
2990,YES
2991,YES
2993,YES
2996,YES
3004,YES
3014,YES
3018,YES
3035,YES
3044,YES
3056,YES
3057,YES
3058,YES
3059,YES
3067,YES
3075,YES
3077,YES
3078,YES
3081,YES
3093,YES
3106,YES
3112,YES
3114,YES
3118,YES
3119,YES
3136,YES
3150,YES
3151,YES
3159,YES
3163,YES
3169,YES
3170,YES
3180,YES
3182,YES
3188,YES
3192,YES
3197,YES
3201,YES
3205,YES
3207,YES
3209,YES
3212,YES
3213,YES
3214,YES
3215,YES
3216,YES
3217,YES
3219,YES
3224,YES
3225,YES
3226,YES
3227,YES
3228,YES
3230,YES
3233,YES
3235,YES
3236,YES
3243,YES
3247,YES
3260,YES
3261,YES
3262,YES
3265,YES
3269,YES
3271,YES
3273,YES
3274,YES
3278,YES
3279,YES
3281,YES
3283,YES
3284,YES
3285,YES
3286,YES
3289,YES
3293,YES
3295,YES
3296,YES
3297,YES
3298,YES
3302,YES
3308,YES
3309,YES
3310,YES
3311,YES
3313,YES
3319,YES
3320,YES
3324,YES
3337,YES
3339,YES
3344,YES
3347,YES
3348,YES
3349,YES
3350,YES
3362,YES
3364,YES
3370,YES
3372,YES
3380,YES
3382,YES
3383,YES
3384,YES
3387,YES
3388,YES
3389,YES
3390,YES
3391,YES
3395,YES
3397,YES
3400,YES
3401,YES
3402,YES
3403,YES
3404,YES
3406,YES
3407,YES
3409,YES
3417,YES
3418,YES
3423,YES
3425,YES
3427,YES
3428,YES
3430,YES
3431,YES
3432,YES
3433,YES
3434,YES
3435,YES
3436,YES
3439,YES
3453,YES
3460,YES
3462,YES
3463,YES
3464,YES
3465,YES
3469,YES
3471,YES
3472,YES
3473,YES
3475,YES
3477,YES
3482,YES
3483,YES
3484,YES
3487,YES
3489,YES
3492,YES
3499,YES
3500,YES
3502,YES
3505,YES
3510,YES
3511,YES
3516,YES
3518,YES
3520,YES
3522,YES
3525,YES
3527,YES
3528,YES
3531,YES
3533,YES
3535,YES
3537,YES
3541,YES
3560,YES
3564,YES
3566,YES
3567,YES
3569,YES
3570,YES
3572,YES
3573,YES
3582,YES
3584,YES
3585,YES
3588,YES
3589,YES
3590,YES
3591,YES
3595,YES
3596,YES
3597,YES
3601,YES
3607,YES
3608,YES
3609,YES
3611,YES
3612,YES
3621,YES
3623,YES
3624,YES
3625,YES
3627,YES
3630,YES
3631,YES
3632,YES
3634,YES
3639,YES
3640,YES
3645,YES
3652,YES
3700,YES
3701,YES
3702,YES
3708,YES
3709,YES
3710,YES
3717,YES
3722,YES
3725,YES
3728,YES
3731,YES
3733,YES
3734,YES
3739,YES
3742,YES
3754,YES
3762,YES
3763,YES
3771,YES
3773,YES
3777,YES
3781,YES
3782,YES
3786,YES
3790,YES
3794,YES
3795,YES
3796,YES
3801,YES
3802,YES
3804,YES
3812,YES
3823,YES
3825,YES
3826,YES
3827,YES
3828,YES
3835,YES
3837,YES
3840,YES
3843,YES
3851,YES
3853,YES
3860,YES
3864,YES
3867,YES
3872,YES
3874,YES
3877,YES
3884,YES
3886,YES
3887,YES
3888,YES
3891,YES
3893,YES
3894,YES
3897,YES
3912,YES
3947,YES
4049,YES
4064,YES
4101,YES
4102,YES
4103,YES
4108,YES
4111,YES
4112,YES
4115,YES
4129,YES
4130,YES
4131,YES
4132,YES
4137,YES
4144,YES
4153,YES
4161,YES
4162,YES
4163,YES
4164,YES
4165,YES
4171,YES
4183,YES
4185,YES
4187,YES
4194,YES
4195,YES
4216,YES
4219,YES
4221,YES
4224,YES
4226,YES
4231,YES
4237,YES
4238,YES
4239,YES
4240,YES
4250,YES
4256,YES
4257,YES
4258,YES
4260,YES
4262,YES
4273,YES
4274,YES
4276,YES
4279,YES
4283,YES
4284,YES
4285,YES
4286,YES
4288,YES
4298,YES
4299,YES
4303,YES
4321,YES
4322,YES
4332,YES
4333,YES
4335,YES
4337,YES
4356,YES
4358,YES
4365,YES
4368,YES
4370,YES
4377,YES
4381,YES
4383,YES
4384,YES
4387,YES
4392,YES
4393,YES
4399,YES
4404,YES
4405,YES
4407,YES
4414,YES
4416,YES
4420,YES
4428,YES
4430,YES
4436,YES
4440,YES
4444,YES
4460,YES
4472,YES
4475,YES
4477,YES
4484,YES
4488,YES
4503,YES
4511,YES
4512,YES
4520,YES
4521,YES
4526,YES
4531,YES
4538,YES
4554,YES
4556,YES
4557,YES
4558,YES
4564,YES
4569,YES
4570,YES
4590,YES
4593,YES
4597,YES
4599,YES
4601,YES
4615,YES
4616,YES
4627,YES
4631,YES
4638,YES
4653,YES
4664,YES
4679,YES
4681,YES
4682,YES
4683,YES
4687,YES
4690,YES
4865,YES
5012,YES
5022,YES
5025,YES
5030,YES
5033,YES
5034,YES
5035,YES
5036,YES
5037,YES
5039,YES
5045,YES
5046,YES
5051,YES
5054,YES
5055,YES
5057,YES
5058,YES
5060,YES
5063,YES
5064,YES
5071,YES
5076,YES
5078,YES
5079,YES
5080,YES
5082,YES
5085,YES
5087,YES
5090,YES
5092,YES
5095,YES
5105,YES
5116,YES
5118,YES
5123,YES
5124,YES
5127,YES
5134,YES
5136,YES
5137,YES
5139,YES
5141,YES
5142,YES
5144,YES
5145,YES
5147,YES
5150,YES
5151,YES
5154,YES
5155,YES
5156,YES
5159,YES
5166,YES
5173,YES
5174,YES
5175,YES
5184,YES
5189,YES
5192,YES
5193,YES
5215,YES
5220,YES
5231,YES
5239,YES
5240,YES
5246,YES
5250,YES
5278,YES
5288,YES
5295,YES
5299,YES
5301,YES
5312,YES
5317,YES
5320,YES
5325,YES
5330,YES
5331,YES
5334,YES
5335,YES
5337,YES
5342,YES
5350,YES
5359,YES
5369,YES
5390,YES
5394,YES
5425,YES
5429,YES
5430,YES
5435,YES
5439,YES
5446,YES
5447,YES
5460,YES
5492,YES
5612,YES
5617,YES
5626,YES
5632,YES
5644,YES
5671,YES
5701,YES
5706,YES
5707,YES
5713,YES
5751,YES
5752,YES
5807,YES
5809,YES
5810,YES
5843,YES
5854,YES
5859,YES
5866,YES
5882,YES
5890,YES
5898,YES
5922,YES
5930,YES
5932,YES
5935,YES
5947,YES
5956,YES
5959,YES
5987,YES
6397,YES
6477,YES
