DC Number,Type,Date,Application,Summary,Status,CRQ,Cell
3010,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes,Deployed,CHG3353974,Cell012
3010,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Deployed,CHG3338786,Cell012
3010,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Deployed,CHG3339095,Cell012
3010,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes,Deployed,CHG3348423,Cell012
3010,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
4020,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
4020,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
4020,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
4020,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
4020,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
4047,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
4047,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358524,"Cell010, Cell011"
4047,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
4047,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
4047,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
4154,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3353974,Cell012
4154,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Deployed,CHG3338786,Cell012
4154,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
4154,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,CHG3339095,Cell012
4154,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3348423,Cell012
4154,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
4154,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
4154,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Deployed,CHG3339095,Cell012
6042,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6042,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,
6042,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
6042,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,CHG3356181,"Cell000, Cell001, Cell002"
6042,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,CHG3362478,Cell001
6042,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
6042,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,
6042,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6042,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Deployed,CHG3355374,Cell001
6042,Bug Fix,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,CHG3353476,"Cell000, Cell001, Cell002"
6042,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
6042,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,CHG3356304,Cell001
6047,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
6047,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
6047,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6047,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
6047,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
6055,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
6055,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
6055,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
6055,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
6055,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6056,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
6056,Enhancement,7/25/2025,ICQA,ICQA Web UI Pallet Rounding Fix Rollout,Planned,CHG3362580,"Cell000, Cell002"
6056,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
6056,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes",Planned,CHG3358491,"Cell000, Cell001, Cell002"
6057,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
6057,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,
6057,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Deployed,CHG3355374,Cell001
6057,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,
6057,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
6057,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
6057,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6057,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6057,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,CHG3362478,Cell001
6057,Bug Fix,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,CHG3353476,"Cell000, Cell001, Cell002"
6057,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,CHG3356181,"Cell000, Cell001, Cell002"
6057,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,CHG3356304,Cell001
6059,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
6059,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
6059,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
6059,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6059,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
6062,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6062,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
6062,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
6062,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
6062,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
6064,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
6064,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
6064,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,CHG3362580,"Cell000, Cell002"
6064,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
6065,Bug Fix,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,CHG3353476,"Cell000, Cell001, Cell002"
6065,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,CHG3356181,"Cell000, Cell001, Cell002"
6065,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6065,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,Cell001
6065,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,Cell001
6065,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Deployed,CHG3355374,Cell001
6065,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
6065,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
6065,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
6065,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6065,Enhancement,7/25/2025,Location UI,Location UI CCM Update Missing for Location Deletion 6065,Planned,CHG3362520,Cell001
6065,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,CHG3356304,Cell001
6065,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,CHG3362478,Cell001
6071,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
6071,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6071,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
6071,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
6071,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
6072,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3353974,Cell012
6072,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3348423,Cell012
6072,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Deployed,CHG3339095,Cell012
6072,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,CHG3339095,Cell012
6072,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
6072,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6072,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Deployed,CHG3338786,Cell012
6072,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
6073,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
6073,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
6073,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
6073,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
6073,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6074,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
6074,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6074,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
6074,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
6074,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
6077,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,
6077,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
6077,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
6077,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6077,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,CHG3356304,Cell001
6077,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,CHG3362478,Cell001
6077,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,
6077,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
6077,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,CHG3356181,"Cell000, Cell001, Cell002"
6077,Bug Fix,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,CHG3353476,"Cell000, Cell001, Cell002"
6077,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6077,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Deployed,CHG3355374,Cell001
6082,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6082,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
6082,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
6082,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,CHG3356181,"Cell000, Cell001, Cell002"
6082,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6082,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Deployed,CHG3355374,Cell001
6082,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,CHG3356304,Cell001
6082,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,
6082,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
6082,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,
6082,Bug Fix,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,CHG3353476,"Cell000, Cell001, Cell002"
6082,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,CHG3362478,Cell001
6083,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,CHG3362478,Cell001
6083,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,
6083,Bug Fix,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,CHG3353476,"Cell000, Cell001, Cell002"
6083,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
6083,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
6083,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,
6083,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6083,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Deployed,CHG3355374,Cell001
6083,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,CHG3356304,Cell001
6083,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
6083,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6083,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,CHG3356181,"Cell000, Cell001, Cell002"
6084,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Deployed,CHG3355374,Cell001
6084,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
6084,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,CHG3362478,Cell001
6084,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
6084,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6084,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,CHG3356304,Cell001
6084,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,
6084,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Deployed,CHG3349545,
6084,Bug Fix,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,CHG3353476,"Cell000, Cell001, Cell002"
6084,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,CHG3356181,"Cell000, Cell001, Cell002"
6084,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Deployed,CHG3315513,Cell001
6084,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
6085,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,CHG3339095,Cell012
6085,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6085,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Deployed,CHG3339095,Cell012
6085,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3353974,Cell012
6085,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Deployed,CHG3338786,Cell012
6085,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
6085,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3348423,Cell012
6085,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
6090,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,CHG3362580,"Cell000, Cell002"
6090,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
6090,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
6090,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
6091,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
6091,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
6091,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6091,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
6091,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
6095,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6095,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
6095,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
6095,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,CHG3339095,Cell012
6095,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3353974,Cell012
6095,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Deployed,CHG3338786,Cell012
6095,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Deployed,CHG3339095,Cell012
6095,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3348423,Cell012
