Store ,NSW2 Console QTY,NSW2 Mario Kart World QTY,NSW2 Pro Controller ,Total Estimated Preorder,Associates Needed
184,21,52,19,92,2
185,12,22,2,36,1
186,5,16,2,23,1
188,18,40,7,65,1
189,3,13,,16,1
190,5,17,1,23,1
192,17,42,6,65,1
194,17,43,8,68,1
195,12,27,9,48,1
196,9,33,7,49,1
197,7,20,2,29,1
198,4,8,3,15,1
199,4,14,2,20,1
200,11,32,11,54,1
201,16,44,9,69,1
202,6,26,12,44,1
203,4,5,,9,1
204,8,17,4,29,1
205,2,11,,13,1
206,9,42,11,62,1
207,2,6,,8,1
210,3,,1,4,1
211,6,8,,14,1
212,14,41,10,65,1
213,11,21,2,34,1
214,3,6,3,12,1
216,9,41,9,59,1
217,13,36,7,56,1
218,4,8,1,13,1
219,15,34,7,56,1
220,17,44,8,69,1
221,17,44,13,74,2
222,6,14,2,22,1
224,8,16,5,29,1
225,2,7,2,11,1
226,,4,,4,1
227,9,10,2,21,1
228,12,30,3,45,1
229,2,10,,12,1
231,10,23,6,39,1
232,,4,1,5,1
233,2,13,1,16,1
234,15,53,18,86,1
236,2,6,1,9,1
237,10,20,5,35,1
238,3,12,1,16,1
239,2,4,2,8,1
240,5,12,6,23,1
242,3,18,7,28,1
243,18,40,17,75,1
244,1,4,,5,1
246,4,12,4,20,1
247,3,3,,6,1
248,2,13,2,17,1
249,13,29,4,46,1
250,1,6,,7,1
251,6,16,2,24,1
252,4,14,,18,1
253,8,26,2,36,1
254,2,11,,13,1
256,25,59,10,94,2
257,4,12,3,19,1
258,5,32,4,41,1
259,14,32,8,54,1
260,15,30,3,48,1
261,8,15,3,26,1
262,10,25,1,36,1
264,15,40,5,60,1
265,14,23,3,40,1
266,13,37,11,61,1
267,8,25,10,43,1
268,4,17,6,27,1
269,13,31,3,47,1
271,1,4,,5,1
272,23,57,16,96,2
273,1,10,6,17,1
275,4,19,5,28,1
276,3,9,1,13,1
277,20,44,14,78,1
278,12,28,7,47,1
279,2,4,,6,1
280,2,9,1,12,1
281,1,4,2,7,1
282,10,23,4,37,1
283,4,13,2,19,1
284,20,37,11,68,2
285,14,29,8,51,1
286,8,22,1,31,1
287,3,24,4,31,1
288,1,7,1,9,1
290,3,9,4,16,1
292,9,25,3,37,1
293,4,7,2,13,1
294,7,20,3,30,1
295,10,33,10,53,1
296,4,11,1,16,1
297,19,45,19,83,1
298,5,15,1,21,1
299,20,48,13,81,1
300,6,12,4,22,1
301,7,30,5,42,1
302,6,16,,22,1
303,1,3,,4,1
304,8,36,6,50,1
305,1,2,,3,1
306,10,26,4,40,1
307,13,26,2,41,1
308,8,28,7,43,1
309,8,23,2,33,1
310,3,8,1,12,1
311,1,2,1,4,1
312,2,7,2,11,1
313,13,33,12,58,1
314,4,18,2,24,1
315,5,20,5,30,1
316,3,19,1,23,1
317,8,10,2,20,1
318,3,9,1,13,1
319,15,41,11,67,1
321,5,23,5,33,1
322,17,38,11,66,1
323,3,1,,4,1
324,1,6,,7,1
325,8,16,2,26,1
328,8,29,11,48,1
329,9,23,2,34,1
330,10,33,2,45,1
331,13,28,5,46,1
332,19,34,11,64,1
333,6,20,,26,1
334,4,9,1,14,1
335,14,28,11,53,1
336,4,8,3,15,1
337,2,4,1,7,1
338,2,5,3,10,1
340,1,2,,3,1
342,1,6,,7,1
343,8,22,2,32,1
344,1,8,,9,1
345,4,13,4,21,1
346,9,15,7,31,1
347,1,6,,7,1
348,4,7,,11,1
350,4,12,2,18,1
351,17,37,3,57,1
353,3,4,,7,1
354,1,8,2,11,1
355,13,32,9,54,1
356,10,24,9,43,1
357,3,7,3,13,1
358,6,18,3,27,1
359,23,55,15,93,2
360,4,7,2,13,1
361,13,41,7,61,1
362,1,3,,4,1
363,3,12,6,21,1
364,,7,2,9,1
365,8,23,6,37,1
366,7,22,6,35,1
368,1,5,6,12,1
369,1,8,,9,1
370,,1,,1,1
371,15,31,9,55,1
372,5,16,2,23,1
373,2,5,,7,1
374,13,24,7,44,1
375,9,31,11,51,1
376,14,27,8,49,1
378,,3,1,4,1
379,13,35,12,60,1
381,12,40,5,57,1
382,4,18,2,24,1
383,2,10,1,13,1
384,9,22,2,33,1
386,6,6,1,13,1
387,,3,,3,1
388,4,26,8,38,1
389,16,39,16,71,1
390,4,9,4,17,1
391,9,22,4,35,1
392,3,25,1,29,1
393,9,27,8,44,1
394,8,16,3,27,1
395,25,58,2,85,2
396,14,39,8,61,1
397,25,57,9,91,2
398,9,35,3,47,1
399,14,38,7,59,1
400,23,50,8,81,1
401,3,9,1,13,1
402,9,17,3,29,1
403,1,4,1,6,1
404,12,39,11,62,1
405,3,20,4,27,1
406,15,41,9,65,1
407,23,45,6,74,1
408,13,30,14,57,1
409,3,5,1,9,1
410,8,27,4,39,1
412,3,13,,16,1
413,3,19,3,25,1
414,8,22,2,32,1
415,9,19,4,32,1
416,13,36,7,56,1
417,6,13,3,22,1
418,1,2,,3,1
419,1,4,,5,1
420,9,21,1,31,1
421,13,26,4,43,1
422,7,9,6,22,1
423,14,31,5,50,1
424,7,13,1,21,1
425,,9,2,11,1
426,13,29,11,53,1
427,9,36,7,52,1
428,9,18,6,33,1
429,20,37,7,64,1
430,6,22,5,33,1
431,8,23,9,40,1
432,4,6,2,12,1
433,9,18,7,34,1
434,16,36,10,62,1
435,8,23,7,38,1
436,4,10,,14,1
437,9,16,3,28,1
438,2,2,,4,1
440,2,3,1,6,1
442,9,24,3,36,1
443,3,7,,10,1
444,21,39,12,72,1
445,14,26,6,46,1
447,3,20,3,26,1
448,5,11,1,17,1
449,8,24,,32,1
450,9,19,1,29,1
451,15,36,14,65,1
452,18,46,12,76,1
454,3,9,2,14,1
456,22,50,13,85,1
457,12,26,4,42,1
458,1,11,,12,1
459,16,32,3,51,1
461,13,33,3,49,1
462,19,40,9,68,1
463,5,13,4,22,1
464,16,45,4,65,1
465,5,26,2,33,1
466,1,3,,4,1
467,11,33,11,55,1
468,7,20,6,33,1
469,10,18,3,31,1
470,18,37,11,66,1
471,9,19,2,30,1
472,23,44,12,79,1
475,25,68,16,109,2
476,,5,,5,1
477,8,25,9,42,1
479,8,22,4,34,1
481,13,26,5,44,1
482,4,6,2,12,1
483,8,23,3,34,1
484,17,43,12,72,1
485,2,4,2,8,1
486,4,17,4,25,1
488,1,12,,13,1
489,8,17,3,28,1
490,14,26,5,45,1
491,17,43,9,69,1
492,4,20,4,28,1
493,9,15,3,27,1
494,16,38,11,65,1
495,6,16,4,26,1
497,12,29,13,54,1
498,1,1,1,3,1
499,11,28,3,42,1
500,29,67,12,108,2
501,4,21,5,30,1
502,2,14,1,17,1
504,9,24,3,36,1
505,2,5,2,9,1
506,1,9,2,12,1
507,8,27,3,38,1
508,7,22,4,33,1
510,12,31,6,49,1
511,10,27,8,45,1
512,27,60,5,92,1
513,4,17,,21,1
514,9,23,10,42,1
515,4,12,6,22,1
516,4,13,2,19,1
517,14,37,8,59,1
518,14,30,10,54,1
519,7,18,4,29,1
520,15,43,15,73,1
521,9,17,2,28,1
522,11,27,6,44,1
523,4,8,2,14,1
524,1,3,,4,1
526,15,31,8,54,1
527,6,21,4,31,1
528,13,25,2,40,1
529,14,32,8,54,1
530,5,11,2,18,1
531,16,37,8,61,1
532,18,40,7,65,1
533,9,25,4,38,1
535,24,50,9,83,1
536,14,33,3,50,1
537,23,55,8,86,1
538,15,38,12,65,1
539,6,11,,17,1
540,2,10,3,15,1
541,26,50,14,90,2
542,11,27,8,46,1
543,8,17,5,30,1
544,12,38,7,57,1
546,16,37,8,61,1
547,16,37,8,61,1
548,17,44,9,70,1
549,9,25,5,39,1
550,3,3,1,7,1
551,8,19,2,29,1
552,9,14,1,24,1
553,14,29,3,46,1
554,31,65,4,100,2
555,5,17,2,24,1
556,5,9,1,15,1
557,6,29,8,43,1
558,13,28,5,46,1
559,18,41,5,64,1
560,15,36,14,65,1
561,,3,,3,1
562,9,19,4,32,1
563,19,52,9,80,1
564,15,36,3,54,1
565,1,9,,10,1
566,10,19,3,32,1
567,5,10,3,18,1
568,4,15,3,22,1
569,5,13,2,20,1
571,21,44,10,75,1
572,6,14,1,21,1
573,18,42,13,73,1
574,16,33,3,52,1
575,20,66,19,105,1
576,18,38,15,71,1
577,26,65,16,107,2
578,17,56,7,80,2
579,13,37,15,65,1
580,16,32,7,55,1
581,8,23,,31,1
582,14,30,9,53,1
583,4,18,1,23,1
584,12,28,5,45,1
585,13,49,20,82,1
586,13,23,3,39,1
587,5,22,2,29,1
588,10,21,7,38,1
589,13,37,11,61,1
590,15,32,7,54,1
591,9,19,1,29,1
592,20,40,13,73,1
593,2,14,4,20,1
594,11,19,4,34,1
595,24,58,10,92,1
596,4,11,3,18,1
598,18,36,3,57,1
599,12,34,7,53,1
600,3,8,,11,1
601,18,34,4,56,1
602,18,37,18,73,1
603,12,33,6,51,1
604,15,31,5,51,1
605,10,30,8,48,1
606,9,19,4,32,1
608,20,63,10,93,1
609,7,24,3,34,1
610,8,17,6,31,1
611,14,19,1,34,1
612,9,24,4,37,1
613,22,47,11,80,1
614,15,30,4,49,1
615,18,41,6,65,1
616,4,17,2,23,1
618,17,31,13,61,1
619,6,25,4,35,1
620,13,24,11,48,1
621,7,15,3,25,1
622,22,52,12,86,1
623,16,42,14,72,1
624,9,14,1,24,1
625,4,12,5,21,1
627,2,8,,10,1
628,17,45,12,74,1
629,7,11,1,19,1
630,14,29,4,47,1
631,18,36,10,64,1
632,11,22,7,40,1
633,4,19,2,25,1
634,9,21,6,36,1
635,13,34,8,55,1
636,5,14,,19,1
637,6,18,4,28,1
638,8,21,4,33,1
639,11,32,5,48,1
640,14,41,14,69,1
641,10,29,2,41,1
642,4,12,,16,1
643,10,26,2,38,1
644,9,27,9,45,1
645,13,24,3,40,1
646,4,12,2,18,1
647,4,12,3,19,1
648,25,62,18,105,2
649,16,36,14,66,1
651,13,31,7,51,1
652,4,21,4,29,1
653,7,18,4,29,1
655,6,30,7,43,1
656,10,28,6,44,1
657,14,44,16,74,2
658,10,31,3,44,1
659,16,38,11,65,1
660,6,23,3,32,1
661,19,39,9,67,1
662,15,29,6,50,1
663,13,39,6,58,1
664,5,29,8,42,1
665,6,15,1,22,1
666,10,30,4,44,1
667,6,22,4,32,1
668,8,30,3,41,1
669,17,41,7,65,1
670,17,23,12,52,1
671,19,42,3,64,1
672,23,53,10,86,2
673,18,45,9,72,1
674,17,45,8,70,1
675,4,12,1,17,1
676,14,31,6,51,1
677,4,18,1,23,1
678,9,26,10,45,1
680,13,41,7,61,1
681,7,13,5,25,1
682,27,53,11,91,1
683,3,20,6,29,1
684,3,22,1,26,1
685,15,41,9,65,1
686,4,7,2,13,1
687,17,24,5,46,1
688,13,42,15,70,1
689,15,50,7,72,1
690,17,37,7,61,1
691,10,22,3,35,1
692,16,34,3,53,1
694,13,32,8,53,1
695,8,31,10,49,1
696,7,15,7,29,1
697,24,53,14,91,1
698,17,37,10,64,1
699,13,38,11,62,1
700,2,8,1,11,1
701,17,35,9,61,1
702,13,28,7,48,1
703,15,41,12,68,1
705,22,49,14,85,1
706,21,46,15,82,1
707,1,2,,3,1
708,8,10,1,19,1
709,19,43,9,71,1
710,8,39,8,55,1
711,7,26,4,37,1
712,3,18,,21,1
713,5,16,5,26,1
715,15,30,7,52,1
716,2,9,2,13,1
718,14,39,4,57,1
719,23,56,11,90,2
720,16,41,10,67,1
721,17,38,8,63,1
722,18,34,5,57,1
723,7,19,2,28,1
724,13,31,8,52,1
725,21,68,15,104,1
726,3,10,,13,1
727,5,17,1,23,1
728,4,15,2,21,1
729,13,26,5,44,1
730,3,12,1,16,1
731,3,,,3,1
733,7,16,3,26,1
734,9,37,7,53,1
735,3,15,1,19,1
736,4,19,1,24,1
737,10,21,6,37,1
738,,9,1,10,1
739,10,21,5,36,1
740,6,17,1,24,1
741,15,38,13,66,1
742,16,43,12,71,1
743,21,41,8,70,1
744,18,42,9,69,1
745,10,20,8,38,1
746,19,37,8,64,1
748,8,19,1,28,1
749,10,25,8,43,1
750,5,11,2,18,1
751,4,15,6,25,1
752,19,47,5,71,1
753,16,37,14,67,1
754,15,36,8,59,1
755,15,43,4,62,1
756,4,13,3,20,1
757,6,15,1,22,1
758,4,7,2,13,1
759,4,7,3,14,1
761,2,8,4,14,1
762,5,14,5,24,1
764,4,14,6,24,1
765,14,29,10,53,1
766,3,21,3,27,1
767,3,29,3,35,1
768,14,45,7,66,1
769,11,25,9,45,1
770,2,13,,15,1
771,18,39,8,65,1
772,9,38,5,52,1
773,4,11,1,16,1
774,9,23,7,39,1
775,14,29,6,49,1
776,9,25,4,38,1
777,11,23,2,36,1
778,8,23,3,34,1
779,12,44,10,66,1
780,16,33,5,54,1
781,7,28,5,40,1
782,5,5,,10,1
783,3,4,,7,1
784,9,10,3,22,1
786,14,31,10,55,1
787,9,21,3,33,1
788,,2,,2,1
789,17,33,6,56,1
790,4,6,3,13,1
791,6,17,2,25,1
793,2,16,1,19,1
794,5,19,2,26,1
795,,5,,5,1
796,17,38,2,57,1
797,9,25,6,40,1
798,1,11,2,14,1
799,7,15,1,23,1
800,14,29,8,51,1
801,2,11,2,15,1
802,7,22,6,35,1
803,,7,,7,1
804,4,16,,20,1
805,17,48,18,83,1
806,17,37,7,61,1
807,15,35,10,60,1
808,8,40,9,57,1
809,3,19,3,25,1
810,10,32,5,47,1
811,3,7,1,11,1
812,4,10,3,17,1
813,10,12,3,25,1
814,4,10,1,15,1
815,2,18,1,21,1
816,6,8,,14,1
817,31,66,17,114,3
818,10,27,2,39,1
819,22,45,12,79,1
820,9,19,2,30,1
821,6,32,4,42,1
822,6,21,1,28,1
823,6,11,1,18,1
824,18,43,14,75,1
825,4,12,4,20,1
826,4,20,4,28,1
827,3,19,1,23,1
828,19,51,8,78,1
829,15,32,9,56,1
830,4,10,3,17,1
833,4,6,,10,1
834,,1,,1,1
835,15,39,14,68,1
836,18,46,3,67,1
837,2,2,2,6,1
838,16,34,6,56,1
839,9,19,7,35,1
842,13,32,5,50,1
843,1,5,1,7,1
844,15,36,8,59,1
846,4,10,6,20,1
847,9,15,2,26,1
848,10,21,5,36,1
849,18,45,16,79,1
850,19,37,15,71,1
851,,4,1,5,1
852,13,31,12,56,1
853,17,43,12,72,1
854,8,21,1,30,1
855,9,20,2,31,1
856,18,39,7,64,1
857,14,43,11,68,1
858,2,12,1,15,1
859,15,30,4,49,1
860,18,47,14,79,1
861,12,32,3,47,1
862,7,28,1,36,1
863,2,3,,5,1
864,5,18,2,25,1
865,26,59,15,100,1
866,17,36,7,60,1
867,13,13,3,29,1
868,5,38,4,47,1
869,7,19,5,31,1
870,10,31,7,48,1
872,16,39,7,62,1
873,7,7,3,17,1
874,2,7,,9,1
875,8,14,4,26,1
876,4,7,,11,1
877,17,41,10,68,1
878,11,43,12,66,1
879,8,16,7,31,1
880,18,42,10,70,1
881,16,32,11,59,1
882,2,3,,5,1
884,15,32,6,53,1
885,4,10,1,15,1
886,9,19,11,39,1
887,9,17,,26,1
888,4,10,2,16,1
889,7,17,6,30,1
890,48,98,25,171,2
891,8,25,5,38,1
892,23,54,17,94,2
894,19,42,11,72,1
895,1,7,2,10,1
896,20,51,2,73,1
897,4,12,1,17,1
899,14,26,3,43,1
900,,9,3,12,1
901,14,28,6,48,1
902,4,24,2,30,1
903,4,15,2,21,1
904,12,27,6,45,1
905,15,47,15,77,1
906,5,18,4,27,1
907,5,23,4,32,1
908,27,62,23,112,2
909,8,18,5,31,1
910,10,28,8,46,1
911,12,18,3,33,1
912,8,21,3,32,1
913,5,17,4,26,1
914,3,7,1,11,1
915,18,37,12,67,1
916,13,29,9,51,1
917,1,3,,4,1
918,4,22,6,32,1
919,18,41,14,73,1
921,2,10,2,14,1
922,16,32,11,59,1
923,30,66,13,109,2
924,3,10,3,16,1
925,13,28,10,51,1
927,6,7,1,14,1
928,35,98,25,158,2
929,16,47,8,71,1
930,4,12,3,19,1
931,17,34,10,61,1
932,13,27,4,44,1
933,11,22,5,38,1
934,9,22,7,38,1
935,14,27,3,44,1
936,8,35,11,54,1
937,22,46,11,79,1
938,4,14,6,24,1
939,13,32,8,53,1
940,12,28,12,52,1
941,14,43,13,70,1
942,28,76,20,124,2
943,32,68,24,124,2
944,22,49,6,77,1
945,13,28,7,48,1
947,17,36,7,60,1
948,17,43,6,66,1
950,9,25,7,41,1
952,2,10,,12,1
953,22,48,19,89,1
954,1,3,,4,1
955,29,65,18,112,2
956,11,29,11,51,1
957,4,9,3,16,1
958,11,30,2,43,1
959,8,19,3,30,1
960,12,27,2,41,1
961,11,16,,27,1
962,3,9,1,13,1
963,13,35,7,55,1
964,28,63,6,97,2
965,9,13,1,23,1
966,4,4,2,10,1
967,17,40,11,68,1
968,19,46,3,68,1
969,14,31,3,48,1
970,14,33,6,53,1
971,4,6,1,11,1
972,13,29,7,49,1
973,12,36,4,52,1
974,16,51,14,81,1
975,,30,2,32,1
976,,2,1,3,1
977,4,10,1,15,1
978,2,8,2,12,1
979,8,18,2,28,1
980,16,34,4,54,1
981,4,16,,20,1
982,9,29,9,47,1
984,21,65,18,104,1
985,4,14,3,21,1
986,5,12,4,21,1
987,9,29,6,44,1
988,23,64,15,102,2
989,14,28,12,54,1
990,23,57,17,97,2
991,7,20,3,30,1
992,10,29,8,47,1
993,4,11,4,19,1
994,16,57,18,91,1
995,13,34,6,53,1
999,19,42,11,72,1
1000,16,55,8,79,1
1001,10,31,5,46,1
1002,7,18,3,28,1
1003,11,31,10,52,1
1004,13,33,5,51,1
1005,15,25,4,44,1
1006,2,10,1,13,1
1007,9,14,8,31,1
1008,14,30,15,59,1
1009,13,35,5,53,1
1010,5,16,2,23,1
1011,15,35,10,60,1
1012,16,35,14,65,1
1013,7,14,2,23,1
1014,19,38,5,62,1
1015,25,61,11,97,2
1016,11,26,4,41,1
1017,5,14,2,21,1
1018,2,2,1,5,1
1019,4,21,7,32,1
1020,6,20,2,28,1
1021,9,21,5,35,1
1022,5,16,3,24,1
1023,9,23,7,39,1
1024,1,4,1,6,1
1025,1,12,1,14,1
1026,16,40,4,60,1
1027,20,39,15,74,1
1028,11,34,7,52,1
1029,9,16,4,29,1
1030,14,29,7,50,1
1032,16,34,8,58,1
1033,15,27,4,46,1
1034,13,37,6,56,1
1035,17,42,6,65,1
1036,16,39,11,66,1
1038,5,14,1,20,1
1039,12,32,3,47,1
1040,21,42,14,77,1
1041,19,53,6,78,1
1042,17,38,3,58,1
1043,,6,1,7,1
1044,12,26,9,47,1
1045,20,58,14,92,1
1047,9,28,4,41,1
1048,8,27,6,41,1
1051,2,8,,10,1
1052,1,2,,3,1
1053,13,27,13,53,1
1054,3,11,2,16,1
1055,20,45,14,79,1
1056,9,26,5,40,1
1057,3,9,1,13,1
1058,8,24,5,37,1
1059,2,4,1,7,1
1060,20,47,13,80,1
1061,2,7,2,11,1
1062,18,49,16,83,1
1063,,1,,1,1
1064,14,34,7,55,1
1065,5,6,,11,1
1066,8,25,6,39,1
1068,9,30,4,43,1
1069,1,7,1,9,1
1070,5,23,1,29,1
1071,19,42,6,67,1
1072,3,10,,13,1
1073,2,5,,7,1
1074,3,7,,10,1
1075,16,38,11,65,1
1076,10,19,5,34,1
1077,10,22,7,39,1
1079,16,34,6,56,1
1080,22,47,18,87,1
1081,28,63,15,106,2
1082,15,39,9,63,1
1083,17,34,7,58,1
1084,25,45,12,82,1
1085,19,39,17,75,2
1086,32,73,20,125,2
1087,17,39,3,59,1
1088,8,18,6,32,1
1089,9,23,5,37,1
1090,9,24,6,39,1
1091,6,12,5,23,1
1093,3,16,3,22,1
1094,9,25,6,40,1
1095,9,22,8,39,1
1096,13,28,6,47,1
1097,14,39,6,59,1
1098,4,13,3,20,1
1099,16,41,6,63,1
1100,,4,1,5,1
1101,9,23,7,39,1
1102,4,7,1,12,1
1103,18,39,12,69,1
1104,14,38,4,56,1
1105,11,28,2,41,1
1106,,1,,1,1
1107,3,4,1,8,1
1108,,1,,1,1
1109,2,3,2,7,1
1110,2,3,1,6,1
1111,9,21,4,34,1
1112,3,16,3,22,1
1113,20,44,3,67,1
1114,,4,,4,1
1115,3,13,1,17,1
1116,7,12,1,20,1
1117,23,50,13,86,1
1118,20,40,4,64,1
1119,4,16,7,27,1
1120,18,50,12,80,1
1121,7,14,3,24,1
1122,7,14,3,24,1
1123,17,39,4,60,1
1124,9,18,5,32,1
1125,27,70,19,116,2
1126,10,25,4,39,1
1128,3,7,3,13,1
1129,27,52,13,92,1
1130,7,15,2,24,1
1131,9,16,4,29,1
1132,14,34,5,53,1
1133,13,16,2,31,1
1134,13,32,5,50,1
1135,5,14,7,26,1
1136,9,18,4,31,1
1137,14,28,4,46,1
1138,28,46,17,91,2
1139,14,41,9,64,1
1140,14,33,7,54,1
1141,17,40,6,63,1
1142,8,17,1,26,1
1143,,5,1,6,1
1144,9,23,2,34,1
1146,12,25,3,40,1
1147,2,3,1,6,1
1148,13,33,6,52,1
1149,10,23,4,37,1
1150,12,40,14,66,1
1151,17,40,10,67,1
1153,9,14,3,26,1
1154,5,10,1,16,1
1155,5,14,,19,1
1156,21,63,17,101,2
1157,8,20,1,29,1
1158,3,13,3,19,1
1159,4,11,2,17,1
1160,19,48,13,80,2
1161,24,63,19,106,1
1162,6,21,4,31,1
1163,13,19,7,39,1
1164,9,32,7,48,1
1165,13,33,7,53,1
1166,1,8,2,11,1
1167,26,64,15,105,2
1168,2,8,,10,1
1169,1,3,1,5,1
1170,12,27,8,47,1
1171,10,25,8,43,1
1172,15,43,7,65,1
1173,16,30,7,53,1
1174,,1,,1,1
1175,14,28,10,52,1
1176,13,40,13,66,1
1177,22,41,11,74,1
1178,17,45,14,76,1
1179,15,40,15,70,1
1180,18,40,16,74,1
1181,18,42,13,73,1
1182,16,40,15,71,1
1183,13,42,9,64,1
1184,10,27,9,46,1
1185,27,58,12,97,2
1186,1,6,,7,1
1187,1,7,1,9,1
1188,15,44,13,72,1
1190,16,28,5,49,1
1191,16,44,11,71,1
1192,4,6,3,13,1
1193,9,22,4,35,1
1194,18,47,9,74,1
1195,6,16,2,24,1
1196,3,2,,5,1
1197,9,19,3,31,1
1198,24,69,18,111,2
1199,6,22,6,34,1
1200,21,39,8,68,1
1201,11,28,2,41,1
1202,15,40,4,59,1
1203,27,70,8,105,2
1204,13,27,4,44,1
1205,7,22,7,36,1
1206,9,26,9,44,1
1207,13,33,7,53,1
1209,15,36,5,56,1
1210,14,30,13,57,1
1211,4,15,3,22,1
1212,10,29,4,43,1
1213,20,43,15,78,1
1214,3,5,2,10,1
1215,15,45,8,68,1
1216,19,51,15,85,1
1217,8,17,4,29,1
1218,21,53,1,75,1
1219,10,25,5,40,1
1220,19,52,14,85,2
1221,18,41,10,69,1
1222,20,48,12,80,1
1223,11,20,5,36,1
1224,13,37,5,55,1
1225,11,33,6,50,1
1226,9,19,4,32,1
1227,14,34,13,61,1
1228,28,60,18,106,2
1229,11,22,13,46,1
1230,12,17,3,32,1
1231,20,47,16,83,1
1232,15,32,11,58,1
1233,13,27,7,47,1
1234,4,17,5,26,1
1235,10,24,10,44,1
1236,9,23,8,40,1
1237,8,22,8,38,1
1238,13,32,3,48,1
1239,14,30,4,48,1
1240,17,41,10,68,1
1241,18,53,16,87,1
1242,22,55,10,87,1
1243,12,22,3,37,1
1244,17,34,13,64,1
1245,19,49,9,77,1
1247,15,27,6,48,1
1248,11,17,5,33,1
1249,8,23,4,35,1
1252,16,39,13,68,1
1253,35,63,19,117,2
1254,15,32,,47,1
1255,4,14,1,19,1
