StoreNumber,Item #,Item Description,Hot PLU, New Retails  ,
3303,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3303,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3303,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3303,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3303,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3304,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3304,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3304,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3304,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3304,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3304,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3304,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3304,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3304,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3304,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3305,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3305,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3305,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3305,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3305,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3305,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3305,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3305,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3305,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3305,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3307,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3307,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3307,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3307,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3307,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3307,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3307,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3307,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3307,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3307,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3308,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3308,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3308,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
