Store,,OCT,73,YTD,74,OCT,75,YTD,76,OCT,77,YTD,78,OCT,79,YTD,80,OCT,81,YTD,82,OCT,83,YTD,84,OCT,85,YTD,86,OCT,87,YTD,88,OCT,89,YTD,90,OCT,91,YTD,92
1570,,3.03%,,0.03%,R,7.53%,,2.93%,R,10.12%,,0.23%,,10.76%,,3.52%,R,1,R,2,R,39.26%,,42.34%,,5,,40,,83.47%,G,94.48%,G,0:58:54,,0:51:47,,1537/2576,,2256/2576,R
1647,,11.35%,G,1.88%,,19.19%,,11.91%,,4.49%,,-2.63%,,34.48%,G,1.15%,R,14,,157,,29.49%,,29.49%,,17,G,216,G,58.55%,,56.13%,,0:44:36,,0:42:58,,574/2576,,1850/2576,
1709,,3.47%,,4.21%,,6.98%,,19.09%,,6.27%,,18.72%,G,10.38%,,5.82%,,2,R,5,R,21.72%,R,29.22%,,1,R,7,R,75.36%,,96.17%,G,0:51:37,,0:43:57,,1724/2576,,1278/2576,
1804,,-1.49%,,1.45%,,15.39%,,19.33%,,15.79%,,14.56%,,3.68%,,7.60%,,13,,71,,34.03%,,40.88%,,1,R,13,R,62.00%,,57.41%,,0:25:16,G,0:29:04,G,1268/2576,,1223/2576,
2819,,0.36%,,5.00%,,0.32%,R,6.51%,R,6.50%,,-7.50%,R,3.88%,,10.16%,,0,R,16,R,20.40%,R,29.14%,,0,R,9,R,70.11%,,75.35%,,0:59:49,,0:47:01,,2219/2576,R,2045/2576,
4230,,3.17%,,6.69%,,22.64%,,19.48%,,10.50%,,3.78%,,26.98%,,23.18%,,0,R,91,,35.63%,,44.14%,,0,R,26,,68.59%,,64.65%,,0:50:11,,0:58:02,,1013/2576,,966/2576,
4231,,-2.43%,,0.80%,R,-6.12%,R,1.34%,R,-18.59%,R,-8.48%,R,27.58%,,8.55%,,4,,133,,22.56%,R,32.38%,,1,R,29,,8.27%,R,14.69%,R,1:04:13,R,0:46:16,,2423/2576,R,2320/2576,R
5025,,7.38%,,4.45%,,13.22%,,5.92%,R,-1.72%,,-9.79%,R,21.19%,,16.70%,,7,,92,,39.69%,,42.83%,,2,,42,,66.80%,,67.44%,,1:06:33,R,1:02:48,,1266/2576,,1923/2576,
Total,B,2.23%,,2.08%,R,9.61%,,7.99%,R,2.50%,,-1.49%,R,16.96%,,8.48%,,0.15,R,0.24,R,30.95%,,36.65%,,0.1,,0.16,,63.91%,,68.11%,G,0:49:34,,0:46:36,,294/394,,367/394,R
591,,11.97%,G,9.08%,G,40.63%,G,32.05%,G,7.62%,,13.84%,,43.60%,G,16.85%,,11,,217,,37.57%,,39.86%,,3,,45,,53.32%,,48.72%,,0:34:39,G,0:40:42,,179/2576,G,305/2576,G
702,,0.62%,,3.59%,,-0.89%,R,5.60%,R,-9.06%,R,-1.72%,,6.98%,,-0.08%,R,14,,67,,29.37%,,38.11%,,3,,90,,33.57%,,29.23%,R,0:53:04,,0:56:12,,2148/2576,R,2171/2576,R
1139,,-5.01%,R,1.84%,,11.22%,,19.61%,,0.95%,,7.14%,,6.68%,,11.85%,,1,R,24,R,25.80%,,26.90%,R,3,,21,,85.56%,G,89.58%,G,1:39:38,R,1:16:15,R,2106/2576,R,1676/2576,
1140,,1.08%,,-1.57%,R,26.45%,,3.87%,R,43.73%,G,0.51%,,4.62%,,-4.86%,R,7,,42,,26.03%,,33.59%,,2,,30,,51.32%,,51.99%,,0:45:06,,0:44:25,,981/2576,,2335/2576,R
1426,,-4.59%,R,1.88%,,8.56%,,17.27%,,-3.22%,,-1.23%,,12.20%,,10.32%,,2,R,145,,26.69%,,31.94%,,4,,116,G,50.14%,,55.86%,,1:03:07,,1:04:44,R,2137/2576,R,1696/2576,
1569,,-7.59%,R,3.28%,,-13.50%,R,-5.60%,R,-6.89%,R,-11.29%,R,-15.27%,R,-2.77%,R,2,R,71,,23.14%,R,26.15%,R,4,,54,,20.49%,R,39.44%,,1:01:00,,0:59:36,,2545/2576,R,2428/2576,R
2638,,-10.68%,R,0.09%,R,-6.20%,R,10.67%,,6.87%,,6.59%,,-14.22%,R,-7.09%,R,8,,54,,22.10%,R,26.32%,R,7,,68,,19.34%,R,32.27%,R,0:55:23,,0:58:37,,2455/2576,R,2235/2576,R
3894,,-0.21%,,-2.36%,R,18.66%,,6.90%,R,23.06%,,9.91%,,22.88%,,1.78%,R,16,,556,G,31.22%,,46.12%,,27,G,260,G,26.70%,R,32.09%,R,1:10:10,R,0:59:10,,1202/2576,,2054/2576,
Total,B,-2.27%,R,1.61%,R,9.86%,,10.81%,R,6.70%,,2.59%,,6.71%,R,3.28%,R,0.25,,0.54,,27.69%,,33.35%,,0.21,,0.31,,45.15%,,50.73%,,1:01:17,R,0:58:05,,354/394,R,363/394,R
&nbsp;,B,0.35%,R,3.23%,R,12.02%,,16.70%,,7.09%,,7.03%,,10.98%,,11.32%,,0.27,R,0.33,R,32.39%,,35.72%,,0.15,,0.21,,56.46%,,58.05%,,0:44:22,G,0:43:16,G,30/34,R,21/34,
844,,18.46%,G,10.33%,G,41.61%,G,42.83%,G,53.28%,G,28.60%,G,22.07%,,28.25%,G,0,R,0,R,35.47%,,37.06%,,1,R,3,R,20.59%,R,23.06%,R,0:32:28,G,0:37:30,,210/2576,G,327/2576,G
852,,0.11%,,2.36%,,17.70%,,18.55%,,19.86%,,13.86%,,9.35%,,4.78%,,17,,331,G,39.32%,,39.74%,,4,,196,G,110.11%,G,102.14%,G,0:43:53,,0:42:20,,935/2576,,1002/2576,
1003,,-2.23%,,5.96%,,29.12%,,25.45%,,53.77%,G,14.04%,,12.72%,,17.36%,,1,R,131,,36.36%,,39.04%,,0,R,38,,103.13%,G,104.59%,G,0:39:32,,0:43:45,,857/2576,,539/2576,
1307,,5.37%,,-3.37%,R,-1.55%,R,-5.34%,R,-6.40%,R,-6.84%,R,9.40%,,-4.17%,R,1,R,4,R,28.22%,,34.21%,,0,R,2,R,15.34%,R,21.48%,R,0:37:52,,0:53:30,,1983/2576,,2558/2576,R
1386,,15.29%,G,7.19%,,40.65%,G,28.72%,G,36.11%,G,28.90%,G,23.87%,,13.06%,,11,,24,R,37.73%,,35.76%,,5,,20,,40.57%,,29.91%,R,0:34:40,G,0:34:04,G,105/2576,G,585/2576,
2956,,16.09%,G,23.42%,G,76.86%,G,78.95%,G,34.04%,G,37.95%,G,108.33%,G,74.62%,G,1,R,14,R,24.00%,R,34.94%,,3,,26,,52.86%,,59.40%,,0:50:24,,0:46:11,,172/2576,G,94/2576,G
4323,,-1.83%,,7.88%,,-0.59%,R,5.64%,R,7.91%,,1.41%,,-4.12%,R,0.74%,R,0,R,0,R,44.41%,G,50.08%,G,3,,6,R,24.36%,R,28.49%,R,0:44:52,,0:45:15,,2128/2576,R,1904/2576,
Total,B,7.41%,G,7.51%,G,24.60%,G,22.08%,,25.77%,G,14.72%,G,18.01%,,11.92%,,0.14,R,0.26,R,35.36%,,38.60%,,0.07,R,0.15,,55.34%,,54.27%,,0:40:54,G,0:43:49,,37/394,G,69/394,G
786,,-5.78%,R,5.46%,,1.03%,,20.79%,,21.71%,,18.80%,G,-16.70%,R,8.70%,,0,R,33,,33.19%,,36.76%,,0,R,22,,73.70%,,88.16%,G,0:37:19,,0:40:53,,2115/2576,R,898/2576,
4405,,10.81%,G,11.07%,G,28.20%,,29.94%,G,14.18%,,17.22%,G,59.46%,G,24.70%,,0,R,1,R,41.74%,,45.87%,,3,,38,,15.89%,R,22.30%,R,0:40:08,,0:43:07,,390/2576,G,385/2576,G
5352,,-0.85%,,2.83%,,0.55%,R,11.68%,,1.31%,,2.09%,,-2.70%,R,6.79%,,2,R,35,,40.28%,,44.04%,,2,,32,,104.44%,G,106.59%,G,1:13:23,R,1:06:49,R,2166/2576,R,1872/2576,
5442,,-3.02%,R,7.15%,,31.39%,G,23.49%,,33.33%,G,6.95%,,10.65%,,18.80%,,50,G,180,,29.22%,,36.28%,,2,,14,R,83.61%,G,79.29%,,0:50:04,,0:54:23,,887/2576,,763/2576,
Total,B,-0.26%,,6.88%,,16.85%,,21.74%,,19.73%,G,11.31%,G,7.96%,,15.50%,,0.42,,0.23,R,33.95%,,39.24%,,0.06,R,0.1,R,71.90%,G,74.69%,G,0:47:39,,0:49:44,,207/394,,86/394,
2215,,-3.56%,R,-0.55%,R,13.81%,,14.14%,,13.88%,,8.02%,,30.75%,,20.78%,,27,G,242,G,25.26%,,32.32%,,6,,86,,17.42%,R,20.10%,R,0:57:51,,1:02:04,,1541/2576,,1752/2576,
3400,,4.49%,,16.09%,G,21.11%,,49.28%,G,9.18%,,37.65%,G,43.62%,G,44.75%,G,1,R,134,,33.47%,,38.17%,,3,,55,,27.89%,R,31.55%,R,1:04:21,R,0:57:48,,1081/2576,,127/2576,G
3790,,14.84%,G,20.37%,G,29.88%,G,50.27%,G,22.46%,,38.11%,G,31.40%,,31.85%,G,16,,354,G,40.56%,,50.18%,G,8,,320,G,64.06%,,60.45%,,0:31:10,G,0:33:01,G,89/2576,G,Jul-76,G
4286,,8.89%,,9.69%,G,25.56%,,36.67%,G,39.90%,G,43.63%,G,16.18%,,19.67%,,2,R,86,,24.05%,R,30.64%,,0,R,25,,88.61%,G,89.48%,G,0:50:34,,0:45:59,,659/2576,,252/2576,G
4531,,13.24%,G,15.83%,G,73.61%,G,57.62%,G,93.36%,G,47.98%,G,32.06%,,32.72%,G,12,,259,G,37.02%,,45.24%,,15,G,257,G,81.01%,,86.94%,G,0:44:21,,0:43:58,,34/2576,G,Sep-76,G
Total,B,7.07%,G,11.72%,G,30.46%,G,40.63%,G,31.43%,G,33.64%,G,31.34%,G,29.55%,G,0.37,,0.79,G,32.30%,,39.74%,,0.21,,0.54,G,51.18%,,55.91%,,0:47:58,,0:47:45,,20/394,G,5/394,G
1256,,2.21%,,9.07%,G,28.71%,,32.13%,G,36.65%,G,20.05%,G,0.00%,,24.72%,,7,,104,,24.32%,R,29.17%,,0,R,15,R,44.81%,,52.17%,,1:09:19,R,0:57:33,,1260/2576,,518/2576,
5486,,1.57%,,12.83%,G,5.16%,,23.38%,,17.12%,,30.98%,G,4.39%,,18.23%,,21,,274,G,33.87%,,44.00%,,9,G,172,G,48.40%,,40.43%,,0:56:01,,0:54:52,,1622/2576,,344/2576,G
Total,B,1.89%,,10.94%,G,12.51%,,26.25%,G,24.97%,G,26.05%,G,3.18%,R,20.03%,,0.45,,0.69,,31.30%,,39.72%,,0.15,,0.34,G,47.43%,,43.81%,,1:02:09,R,0:56:05,,265/394,,23/394,G
2204,,-8.34%,R,-0.49%,R,-7.96%,R,26.74%,,14.18%,,13.49%,,-11.62%,R,22.56%,,0,R,3,R,23.22%,R,30.62%,,0,R,3,R,14.13%,R,13.94%,R,1:07:05,R,1:04:19,R,2524/2576,R,1554/2576,
2816,,-5.73%,R,12.46%,G,23.23%,,73.59%,G,45.53%,G,53.33%,G,32.16%,,55.86%,G,0,R,10,R,16.09%,R,23.90%,R,3,,40,,8.02%,R,20.36%,R,1:03:23,,0:50:20,,1479/2576,,237/2576,G
Total,B,-6.83%,R,6.59%,,9.44%,,52.45%,G,28.98%,G,31.60%,G,14.69%,,42.63%,G,0,R,0.02,R,18.28%,R,26.20%,R,0.05,R,0.08,R,9.90%,R,18.17%,R,1:05:10,R,0:57:22,,361/394,R,70/394,G
2815,,6.89%,,11.97%,G,34.56%,G,26.92%,,21.16%,,9.13%,,49.28%,G,28.66%,G,5,,81,,27.16%,,32.34%,,2,,76,,34.08%,,40.39%,,0:53:57,,0:57:20,,563/2576,,525/2576,
Total,B,6.89%,G,11.97%,G,34.56%,G,26.92%,G,21.16%,G,9.13%,,49.28%,G,28.66%,G,0.16,R,0.3,,27.16%,,32.34%,,0.06,R,0.28,,34.08%,R,40.39%,R,0:53:57,,0:57:20,,58/394,G,48/394,G
3891,,-8.50%,R,-3.76%,R,-33.42%,R,-23.86%,R,-35.91%,R,-19.17%,R,-17.90%,R,-33.83%,R,0,R,3,R,29.06%,,44.06%,,2,,8,R,11.76%,R,14.57%,R,1:02:31,,1:07:46,R,2569/2576,R,2572/2576,R
3893,,16.96%,G,10.96%,G,34.59%,G,21.27%,,39.31%,G,1.30%,,28.31%,,26.01%,G,75,G,556,G,61.97%,G,64.19%,G,66,G,431,G,53.40%,,51.75%,,0:40:02,,0:40:33,,37/2576,G,356/2576,G
5199,,-9.94%,R,2.07%,,-9.57%,R,11.41%,,-7.46%,R,3.52%,,-4.86%,R,9.12%,,14,,68,,36.86%,,34.39%,,3,,14,R,77.55%,,80.54%,G,1:02:36,,0:56:41,,2438/2576,R,1938/2576,
5276,,7.50%,,16.70%,G,36.65%,G,39.34%,G,42.25%,G,24.89%,G,28.42%,,35.91%,G,8,,243,G,30.98%,,34.27%,,2,,105,G,64.95%,,60.50%,,1:16:36,R,1:15:34,R,535/2576,,156/2576,G
Total,B,0.74%,,5.79%,,4.46%,R,10.59%,R,5.29%,,0.36%,R,6.40%,R,6.30%,R,0.78,,0.8,G,40.39%,G,45.31%,G,0.59,G,0.51,G,50.52%,,52.62%,,1:00:34,,1:00:09,,334/394,R,289/394,
1413,,7.41%,,7.54%,,-2.14%,R,7.63%,,13.27%,,-3.17%,,3.80%,,2.38%,R,0,R,85,,25.23%,,36.76%,,2,,120,G,48.63%,,73.56%,,0:49:31,,0:49:04,,1815/2576,,1662/2576,
3434,,-1.98%,,-5.04%,R,-5.52%,R,-4.94%,R,-10.43%,R,-22.23%,R,25.09%,,12.39%,,16,,178,,25.96%,,38.54%,,0,R,51,,69.03%,,78.89%,,0:33:24,G,0:37:47,,2032/2576,,2213/2576,R
3597,,7.29%,,5.55%,,18.67%,,10.46%,,-2.80%,,-9.72%,R,39.13%,G,12.72%,,0,R,67,,41.67%,,46.05%,,3,,76,,70.83%,,64.72%,,0:54:00,,0:52:19,,917/2576,,1644/2576,
5060,,6.17%,,-2.41%,R,43.77%,G,24.84%,,44.81%,G,2.06%,,32.92%,,24.91%,,7,,114,,41.59%,,44.93%,,4,,17,,49.17%,,54.22%,,0:43:23,,0:38:18,,228/2576,G,1139/2576,
Total,B,4.91%,,1.83%,R,11.33%,,7.86%,R,5.59%,,-10.03%,R,22.72%,,11.99%,,0.19,R,0.41,,32.51%,,41.10%,,0.07,R,0.24,,59.16%,,68.88%,G,0:46:31,,0:45:27,,224/394,,351/394,R
254,,-0.21%,,4.89%,,5.64%,,21.75%,,2.35%,,23.37%,G,1.24%,,23.82%,,12,,25,R,39.75%,,39.47%,,32,G,55,,91.80%,G,94.75%,G,0:33:14,G,0:39:47,,1494/2576,,610/2576,
422,,24.13%,G,7.04%,,103.42%,G,20.45%,,117.46%,G,15.13%,,65.86%,G,15.61%,,2,R,27,R,45.74%,G,49.09%,G,4,,50,,96.88%,G,106.97%,G,0:42:34,,0:38:38,,13/2576,G,563/2576,
481,,-0.20%,,1.64%,,1.61%,,14.51%,,-9.72%,R,10.99%,,-5.50%,R,4.97%,,10,,156,,42.94%,G,41.95%,,13,G,132,G,93.35%,G,79.59%,,1:14:15,R,1:03:56,R,2082/2576,R,1585/2576,
612,,-3.08%,R,9.82%,G,19.81%,,41.62%,G,21.54%,,39.80%,G,3.15%,,20.22%,,1,R,167,,25.56%,,38.56%,,0,R,23,,99.44%,G,97.89%,G,0:36:55,,0:34:17,G,1343/2576,,89/2576,G
1093,,10.94%,G,5.36%,,38.90%,G,16.07%,,20.33%,,9.33%,,21.28%,,11.37%,,4,,16,R,39.18%,,38.53%,,5,,45,,79.73%,,66.16%,,1:04:38,R,0:56:34,,354/2576,G,1346/2576,
1734,,10.71%,G,6.27%,,10.85%,,20.54%,,8.56%,,16.27%,,19.91%,,12.65%,,0,R,4,R,33.02%,,33.75%,,1,R,60,,59.43%,,60.67%,,0:33:17,G,0:34:00,G,990/2576,,789/2576,
2491,,9.09%,,7.32%,,16.28%,,37.36%,G,13.85%,,29.83%,G,16.48%,,32.68%,G,1,R,22,R,27.36%,,31.99%,,2,,10,R,31.70%,R,21.22%,R,0:38:58,,0:36:33,G,943/2576,,423/2576,G
3255,,-7.94%,R,9.72%,G,-4.46%,R,44.69%,G,17.43%,,45.17%,G,-9.87%,R,37.46%,G,0,R,7,R,42.66%,G,51.94%,G,0,R,5,R,47.79%,,56.78%,,0:23:55,G,0:25:11,G,2171/2576,R,104/2576,G
5403,,6.01%,,5.78%,,46.39%,G,17.06%,,-0.87%,,5.64%,,49.78%,G,11.99%,,9,,93,,54.26%,G,41.20%,,2,,41,,52.21%,,58.08%,,0:59:24,,0:58:23,,546/2576,,1260/2576,
Total,B,5.13%,,6.27%,,20.96%,,25.50%,G,12.29%,,22.85%,G,17.54%,,17.83%,,0.14,R,0.21,R,39.66%,,40.56%,,0.21,,0.17,,68.73%,G,67.70%,G,0:42:40,G,0:41:00,G,52/394,G,34/394,G
200,,-10.57%,R,0.34%,R,2.21%,,18.26%,,10.26%,,13.12%,,-11.60%,R,10.25%,,21,,93,,46.26%,G,52.36%,G,27,G,147,G,64.10%,,58.58%,,0:39:02,,0:42:57,,1891/2576,,1178/2576,
343,,-1.68%,,-1.16%,R,8.89%,,10.62%,,0.73%,,-0.54%,,-3.49%,R,4.47%,,23,,58,,49.88%,G,48.38%,G,1,R,5,R,69.64%,,59.28%,,0:49:53,,0:42:53,,1788/2576,,2076/2576,R
609,,-1.88%,,3.84%,,2.75%,,2.46%,R,2.45%,,-11.79%,R,5.60%,,0.39%,R,3,,62,,38.94%,,42.93%,,3,,35,,82.03%,G,80.37%,G,0:54:20,,1:00:12,,1981/2576,,2214/2576,R
1454,,-4.05%,R,0.65%,R,0.51%,R,2.82%,R,0.32%,,-4.99%,R,-4.48%,R,2.54%,R,3,,46,,30.96%,,34.86%,,7,,23,,37.34%,,22.47%,R,1:03:12,,0:53:52,,2356/2576,R,2440/2576,R
1602,,0.08%,,0.27%,R,7.04%,,4.39%,R,6.57%,,-9.85%,R,9.80%,,4.82%,,0,R,1,R,32.31%,,47.32%,G,9,G,21,,12.92%,R,30.39%,R,1:16:28,R,0:57:57,,2023/2576,,2424/2576,R
1690,,-0.60%,,1.40%,,9.15%,,4.96%,R,35.57%,G,12.29%,,3.48%,,2.84%,R,1,R,25,R,47.06%,G,53.49%,G,3,,22,,38.66%,,27.35%,R,0:57:13,,0:58:31,,1669/2576,,2192/2576,R
2728,,-6.85%,R,-0.41%,R,-1.07%,R,8.46%,,-16.86%,R,-4.24%,R,13.25%,,9.90%,,1,R,61,,50.00%,G,56.14%,G,1,R,12,R,36.17%,,59.96%,,0:43:08,,0:45:00,,2277/2576,R,2071/2576,R
3210,,-6.48%,R,0.74%,R,16.98%,,10.53%,,-1.02%,,-10.29%,R,5.82%,,7.20%,,15,,88,,38.69%,,40.45%,,3,,19,,84.78%,G,68.34%,,1:06:04,R,0:47:17,,1726/2576,,2062/2576,R
3602,,-2.58%,,-3.08%,R,6.95%,,17.65%,,24.55%,G,53.11%,G,3.61%,,4.59%,,3,,50,,38.32%,,40.17%,,0,R,5,R,71.72%,,81.96%,G,0:56:47,,0:59:37,,1866/2576,,1700/2576,
Total,B,-4.35%,R,0.42%,R,5.56%,R,9.26%,R,4.38%,,0.83%,,0.35%,R,5.50%,R,0.25,,0.2,R,42.00%,G,46.83%,G,0.19,,0.12,,56.37%,,54.79%,,0:55:20,,0:50:56,,365/394,R,373/394,R
197,,1.82%,,0.25%,R,13.65%,,7.20%,R,7.21%,,2.00%,,9.98%,,4.68%,,14,,124,,47.36%,G,52.54%,G,5,,64,,68.48%,,69.56%,,1:00:27,,1:02:53,,1310/2576,,2068/2576,R
199,,-5.04%,R,5.70%,,12.70%,,55.82%,G,25.00%,G,106.43%,G,9.36%,,27.77%,G,0,R,0,R,34.76%,,38.53%,,0,R,45,,30.48%,R,32.20%,R,1:01:54,,0:53:16,,1901/2576,,486/2576,G
603,,9.09%,,6.05%,,36.46%,G,22.96%,,32.29%,G,31.33%,G,17.13%,,11.18%,,20,,138,,41.81%,,44.46%,,16,G,110,G,72.50%,,53.07%,,1:01:27,,0:47:08,,273/2576,G,603/2576,
1028,,-15.84%,R,-5.52%,R,5.37%,,5.40%,R,11.15%,,1.79%,,-9.80%,R,-1.14%,R,1,R,7,R,67.39%,G,62.24%,G,1,R,11,R,36.96%,,38.82%,,0:39:39,,0:42:21,,2111/2576,R,2322/2576,R
1125,,1.49%,,7.66%,,14.32%,,18.07%,,74.74%,G,11.25%,,-17.01%,R,13.07%,,1,R,28,R,36.57%,,44.49%,,3,,63,,33.52%,,27.60%,R,0:38:50,,0:42:50,,1337/2576,,919/2576,
1323,,12.33%,G,3.35%,,35.45%,G,7.83%,,31.55%,G,17.99%,G,34.35%,G,-6.40%,R,0,R,23,R,53.41%,G,53.20%,G,0,R,7,R,25.85%,R,43.64%,,0:51:02,,0:39:59,,373/2576,G,1844/2576,
1421,,5.98%,,1.19%,,40.75%,G,13.65%,,69.95%,G,16.77%,G,21.30%,,16.52%,,52,G,121,,40.08%,,38.48%,,23,G,75,,109.09%,G,89.52%,G,0:27:49,G,0:38:05,,59/2576,G,1199/2576,
3459,,0.67%,,13.85%,G,4.42%,,52.61%,G,-17.31%,R,42.24%,G,11.34%,,42.31%,G,1,R,9,R,40.36%,,31.91%,,0,R,2,R,78.55%,,83.96%,G,0:46:57,,0:40:31,,1935/2576,,123/2576,G
3460,,10.03%,G,8.40%,,18.75%,,32.52%,G,45.26%,G,20.36%,G,26.77%,,30.42%,G,1,R,1,R,31.42%,,41.16%,,0,R,4,R,8.95%,R,22.39%,R,1:01:08,,1:07:27,R,931/2576,,680/2576,
5157,,-6.92%,R,3.84%,,5.90%,,22.62%,,-5.37%,R,17.05%,G,-2.17%,R,7.37%,,0,R,17,R,41.67%,,40.74%,,2,,14,R,99.72%,G,95.83%,G,0:35:15,G,0:35:02,G,1994/2576,,921/2576,
Total,B,1.19%,,4.08%,,18.59%,,19.55%,,21.69%,G,16.89%,G,9.34%,,13.16%,,0.29,,0.17,R,43.18%,G,45.11%,G,0.16,,0.14,,56.35%,,54.29%,,0:48:17,,0:46:49,,150/394,,150/394,
633,,3.66%,,4.12%,,11.56%,,18.89%,,8.07%,,15.72%,,10.60%,,9.10%,,1,R,30,R,43.77%,G,45.09%,,0,R,25,,85.62%,G,94.94%,G,0:40:05,,0:39:48,,1264/2576,,991/2576,
636,,0.32%,,11.56%,G,11.20%,,29.65%,G,12.73%,,17.05%,G,-3.25%,R,24.57%,,0,R,7,R,51.94%,G,52.18%,G,0,R,9,R,80.88%,,76.81%,,0:40:34,,0:35:55,G,1523/2576,,233/2576,G
775,,8.10%,,1.20%,,28.05%,,11.91%,,11.50%,,0.13%,,33.96%,G,11.00%,,4,,103,,41.70%,,39.88%,,1,R,24,,24.59%,R,28.77%,R,1:10:56,R,1:09:58,R,774/2576,,2088/2576,R
796,,13.12%,G,11.13%,G,70.30%,G,46.45%,G,147.92%,G,43.63%,G,23.87%,,19.37%,,6,,39,,39.24%,,39.42%,,1,R,15,R,103.47%,G,89.80%,G,0:46:26,,0:53:51,,86/2576,G,238/2576,G
891,,-8.93%,R,0.20%,R,5.08%,,8.86%,,-3.38%,,-12.26%,R,4.99%,,25.11%,,2,R,84,,51.13%,G,56.05%,G,11,G,127,G,64.03%,,77.47%,,0:37:39,,0:37:31,,1937/2576,,1655/2576,
4511,,-5.59%,R,2.60%,,6.38%,,28.19%,G,-14.15%,R,11.91%,,11.02%,,16.26%,,24,,371,G,60.72%,G,60.06%,G,4,,163,G,70.36%,,70.38%,,1:05:27,R,0:45:06,,2009/2576,,584/2576,
5399,,4.38%,,8.28%,,-3.10%,R,14.01%,,1.87%,,0.60%,,-9.09%,R,20.89%,,0,R,14,R,35.29%,,41.55%,,1,R,37,,28.24%,R,35.58%,,0:33:14,G,0:34:16,G,1984/2576,,1114/2576,
Total,B,2.68%,,5.21%,,16.98%,,21.47%,,12.09%,,7.84%,,12.16%,,17.24%,,0.17,R,0.34,,46.89%,G,47.85%,G,0.08,,0.21,,63.21%,,64.46%,,0:44:53,,0:44:07,,146/394,,73/394,G
&nbsp;,B,1.85%,,5.51%,,15.92%,,20.95%,G,16.44%,G,12.73%,G,12.55%,,15.54%,,0.27,R,0.33,R,37.20%,,41.67%,,0.17,,0.22,,54.39%,,55.80%,,0:49:56,,0:48:25,,17/34,,Mar-34,G
198,,-0.76%,,5.81%,,14.77%,,35.99%,G,-0.26%,,20.08%,G,-10.33%,R,19.71%,,7,,15,R,48.03%,G,48.86%,G,19,G,35,,27.53%,R,18.53%,R,0:40:15,,0:44:06,,1539/2576,,545/2576,
213,,3.78%,,2.57%,,20.32%,,17.74%,,20.82%,,7.13%,,4.21%,,12.05%,,3,,25,R,45.69%,G,44.84%,,0,R,79,,65.50%,,66.32%,,0:30:15,G,0:36:34,G,825/2576,,1181/2576,
224,,4.62%,,3.27%,,32.91%,G,18.77%,,38.18%,G,-6.53%,R,10.22%,,19.28%,,18,,135,,29.86%,,39.48%,,20,G,125,G,87.25%,G,90.17%,G,0:34:35,G,0:36:27,G,314/2576,G,1027/2576,
317,,6.03%,,2.16%,,22.84%,,21.43%,,35.09%,G,22.74%,G,-6.51%,R,7.74%,,0,R,45,,44.94%,G,41.60%,,0,R,12,R,39.56%,,41.13%,,0:31:46,G,0:33:58,G,824/2576,,1134/2576,
435,,-1.02%,,-0.50%,R,17.06%,,5.99%,R,12.96%,,-2.51%,,16.45%,,-0.24%,R,0,R,12,R,31.64%,,39.63%,,1,R,6,R,79.47%,,69.21%,,0:31:40,G,0:33:40,G,1205/2576,,2241/2576,R
454,,-7.18%,R,-0.23%,R,7.88%,,3.15%,R,5.83%,,3.83%,,-2.71%,R,-7.65%,R,33,G,224,G,42.51%,G,50.51%,G,7,,62,,96.17%,G,99.02%,G,0:43:44,,0:47:12,,1709/2576,,2016/2576,
506,,-0.78%,,2.20%,,27.86%,,14.01%,,50.74%,G,9.90%,,-4.24%,R,-3.30%,R,0,R,47,,38.05%,,41.73%,,2,,29,,84.96%,G,74.62%,,0:31:03,G,0:31:22,G,863/2576,,1546/2576,
936,,2.56%,,10.39%,G,15.09%,,42.11%,G,26.32%,G,50.54%,G,-9.70%,R,20.81%,,0,R,1,R,39.05%,,40.87%,,1,R,55,,33.06%,,33.79%,,0:47:37,,0:43:19,,1461/2576,,239/2576,G
Total,B,1.29%,,3.43%,,19.38%,,19.38%,,21.17%,G,11.04%,,-0.13%,R,8.89%,,0.25,,0.23,R,39.81%,,43.18%,,0.2,,0.18,,62.49%,,59.45%,,0:35:42,G,0:38:08,G,127/394,,153/394,
15,,-5.95%,R,-1.71%,R,-0.82%,R,5.49%,R,-11.16%,R,-3.91%,,-8.04%,R,0.26%,R,18,,149,,43.92%,G,42.87%,,3,,27,,58.56%,,49.40%,,0:44:50,,0:46:44,,2229/2576,R,2267/2576,R
32,,6.52%,,3.85%,,17.81%,,19.00%,,22.84%,,11.04%,,2.96%,,9.83%,,22,,180,,63.67%,G,62.37%,G,29,G,194,G,84.89%,G,99.72%,G,0:52:51,,0:48:35,,681/2576,,857/2576,
379,,1.32%,,-0.23%,R,13.54%,,10.89%,,0.00%,,-3.96%,R,6.94%,,7.60%,,103,G,239,G,29.55%,,37.74%,,5,,43,,40.18%,,28.10%,R,0:25:42,G,0:23:32,G,1261/2576,,1865/2576,
871,,5.18%,,7.01%,,43.50%,G,30.15%,G,23.96%,G,11.96%,,33.11%,G,14.88%,,3,,16,R,55.72%,G,55.50%,G,1,R,5,R,70.65%,,63.39%,,0:24:35,G,0:23:56,G,203/2576,G,477/2576,G
1009,,7.20%,,2.10%,,17.57%,,4.75%,R,16.90%,,-7.76%,R,4.95%,,6.27%,,5,,228,G,33.20%,,44.32%,,1,R,54,,79.57%,,71.64%,,0:52:39,,1:04:38,R,1017/2576,,2137/2576,R
