Store,,OCT,73,YTD,74,OCT,75,YTD,76,OCT,77,YTD,78,OCT,79,YTD,80,OCT,81,YTD,82,OCT,83,YTD,84,OCT,85,YTD,86,OCT,87,YTD,88,OCT,89,YTD,90,OCT,91,YTD,92
2890,,-0.47%,,10.33%,G,9.70%,,36.80%,G,20.43%,,31.10%,G,6.01%,,40.31%,G,2,R,69,,52.33%,G,50.76%,G,1,R,13,R,28.67%,R,35.06%,,0:48:51,,0:45:09,,1641/2576,,191/2576,G
3750,,-2.97%,R,-3.19%,R,-7.62%,R,5.72%,R,-5.61%,R,-2.18%,,5.41%,,6.93%,,1,R,9,R,52.57%,G,70.15%,G,1,R,15,R,59.82%,,54.46%,,0:27:11,G,0:29:31,G,2121/2576,R,2156/2576,R
Total,B,-0.25%,,1.90%,R,0.92%,R,11.51%,R,5.60%,,4.72%,,0.27%,R,11.82%,,0.1,R,0.19,R,38.74%,,42.27%,,0.03,R,0.06,R,47.14%,,47.02%,,0:47:44,,0:46:04,,371/394,R,345/394,R
&nbsp;,B,5.70%,G,6.12%,,13.61%,,18.73%,,12.38%,,7.85%,G,20.02%,,19.68%,,0.4,,0.45,,31.38%,,35.88%,,0.15,,0.2,,50.23%,,49.62%,,0:48:40,,0:49:11,,Nov-34,,Aug-34,
588,,5.24%,,4.99%,,4.21%,,26.84%,,-2.65%,,11.26%,,20.44%,,24.17%,,15,,290,G,44.16%,G,47.78%,G,1,R,10,R,35.95%,,60.85%,,0:46:40,,0:42:01,,1542/2576,,578/2576,
889,,-2.03%,,1.99%,,8.01%,,22.26%,,-0.51%,,7.46%,,12.58%,,27.31%,G,16,,52,,33.14%,,39.50%,,4,,53,,22.35%,R,30.72%,R,0:27:21,G,0:32:17,G,1668/2576,,963/2576,
899,,8.47%,,5.20%,,15.65%,,25.18%,,14.17%,,8.60%,,30.49%,,16.45%,,101,G,1037,G,44.16%,G,49.32%,G,10,G,231,G,85.28%,G,65.40%,,0:48:57,,0:42:18,,496/2576,G,497/2576,G
952,,5.36%,,8.77%,,0.95%,R,17.18%,,6.10%,,4.87%,,4.38%,,17.16%,,1,R,157,,37.76%,,38.96%,,0,R,81,,77.27%,,77.37%,,0:45:42,,0:42:25,,1715/2576,,730/2576,
1006,,1.15%,,4.75%,,17.45%,,16.15%,,29.50%,G,9.93%,,10.97%,,9.49%,,10,,134,,34.22%,,36.85%,,0,R,10,R,28.52%,R,28.88%,R,0:41:16,,0:39:23,,1177/2576,,1332/2576,
1072,,-1.52%,,-1.51%,R,7.90%,,5.79%,R,9.15%,,1.93%,,7.88%,,-5.09%,R,22,,278,G,30.84%,,32.68%,,2,,37,,25.81%,R,47.93%,,0:55:48,,1:05:43,R,1886/2576,,2337/2576,R
2615,,10.65%,G,-3.27%,R,21.73%,,15.14%,,35.38%,G,12.34%,,7.63%,,9.08%,,48,G,174,,31.56%,,34.15%,,3,,42,,41.84%,,41.08%,,0:38:48,,0:42:12,,490/2576,G,1664/2576,
Total,B,3.83%,,2.84%,,10.03%,,18.89%,,10.94%,,8.25%,,13.68%,,13.73%,,0.98,G,1.11,G,36.71%,,40.44%,,0.09,,0.24,,42.52%,,50.32%,,0:44:28,,0:44:23,,222/394,,154/394,
556,,0.11%,,3.77%,,-13.99%,R,8.17%,,4.15%,,11.07%,,-15.43%,R,-6.41%,R,1,R,108,,32.21%,,45.09%,,3,,326,G,32.88%,,52.60%,,0:44:12,,0:32:27,G,2305/2576,R,1520/2576,
593,,13.03%,G,6.68%,,12.94%,,8.54%,,16.09%,,6.42%,,-10.10%,R,-0.45%,R,0,R,66,,40.31%,,47.90%,G,2,,150,G,68.22%,,43.64%,,0:48:22,,0:46:21,,1098/2576,,1558/2576,
639,,9.92%,G,8.74%,,14.55%,,23.09%,,2.59%,,6.27%,,51.02%,G,32.62%,G,0,R,2,R,29.19%,,44.84%,,0,R,6,R,72.70%,,63.97%,,1:04:43,R,1:13:23,R,1173/2576,,876/2576,
686,,-6.13%,R,-0.65%,R,-5.00%,R,4.66%,R,-2.88%,,1.84%,,-20.16%,R,-4.96%,R,51,G,325,G,43.37%,G,45.43%,,8,,122,G,28.48%,R,23.91%,R,0:24:22,G,0:27:58,G,2136/2576,R,2007/2576,
836,,5.32%,,4.43%,,0.56%,R,10.58%,,1.77%,,-11.99%,R,13.53%,,18.20%,,1,R,18,R,41.90%,,54.68%,G,2,,24,,44.88%,,47.03%,,0:57:03,,1:15:42,R,1805/2576,,1943/2576,
862,,-2.80%,,4.30%,,21.55%,,19.06%,,21.20%,,7.51%,,3.29%,,14.82%,,3,,3,R,24.85%,R,30.82%,,2,,19,,27.04%,R,18.16%,R,0:56:08,,0:57:03,,1576/2576,,1582/2576,
864,,17.72%,G,8.30%,,27.27%,,17.84%,,12.72%,,9.33%,,51.52%,G,10.36%,,0,R,0,R,19.26%,R,27.01%,R,0,R,0,R,2.18%,R,2.96%,R,0:42:37,,0:43:11,,607/2576,,1315/2576,
1018,,-2.92%,R,1.55%,,0.04%,R,4.83%,R,-18.03%,R,3.26%,,-0.87%,,-4.44%,R,11,,155,,27.86%,,25.69%,R,2,,4,R,27.57%,R,22.54%,R,0:37:33,,0:33:42,G,2270/2576,R,2239/2576,R
2630,,-5.66%,R,-1.33%,R,-9.56%,R,3.82%,R,-4.52%,R,-6.50%,R,-22.73%,R,-4.49%,R,0,R,52,,18.95%,R,28.11%,R,0,R,1,R,75.49%,,67.90%,,0:24:04,G,0:29:04,G,2425/2576,R,2335/2576,R
5392,,-2.87%,,6.95%,,17.90%,,26.65%,,25.08%,G,10.52%,,5.50%,,17.71%,,5,,74,,24.04%,R,30.95%,,3,,106,G,81.63%,G,81.37%,G,1:13:53,R,1:09:21,R,1577/2576,,738/2576,
Total,B,3.06%,,4.55%,,6.30%,R,13.03%,,6.49%,,4.02%,,6.55%,R,8.19%,,0.23,,0.29,,29.51%,,38.43%,,0.07,R,0.28,,45.20%,,42.76%,,0:48:01,,0:48:41,,330/394,R,295/394,
110,,12.64%,G,0.50%,R,26.98%,,7.15%,R,44.56%,G,-10.25%,R,36.79%,G,25.57%,,69,G,263,G,30.76%,,40.03%,,8,,246,G,4.48%,R,34.99%,,2:03:00,R,2:00:11,R,476/2576,G,2079/2576,R
942,,0.56%,,6.50%,,-11.64%,R,10.16%,,-24.40%,R,-4.67%,R,3.48%,,6.62%,,36,G,653,G,45.28%,G,50.48%,G,15,G,444,G,76.84%,,59.22%,,1:23:11,R,1:14:27,R,2169/2576,R,1593/2576,
959,,1.55%,,4.07%,,12.17%,,19.36%,,-1.07%,,7.98%,,23.16%,,13.21%,,68,G,547,G,44.64%,G,50.96%,G,14,G,128,G,87.52%,G,86.90%,G,0:47:10,,0:45:00,,1071/2576,,777/2576,
2695,,7.77%,,11.42%,G,0.48%,R,30.30%,G,-0.75%,,16.07%,,19.33%,,14.53%,,318,G,3387,G,54.20%,G,61.39%,G,8,,451,G,25.99%,R,54.28%,,0:42:40,,0:39:31,,1295/2576,,110/2576,G
2843,,12.99%,G,10.47%,G,14.57%,,19.67%,,9.21%,,8.82%,,18.77%,,16.87%,,24,,270,G,35.20%,,41.86%,,25,G,286,G,69.25%,,78.95%,,0:53:26,,0:44:55,,709/2576,,466/2576,G
