Store ID,First Assigned Carrier,Fulfillment Type, Status, Trend,Directional Focus,Max_WM_WK_ID,Weeks on DPI,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
1415,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202426,3,77.40%,91.90%,8.6,78.90%,75.50%,83.40%,72.00%
4374,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202426,3,72.50%,96.70%,6.4,58.00%,67.90%,78.10%,83.30%
1864,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202426,44,94.90%,95.90%,9.4,97.70%,88.80%,95.90%,96.30%
5089,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202426,6,95.00%,96.80%,5.9,98.40%,89.70%,95.20%,96.70%
2321,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202426,5,91.80%,98.60%,8.4,89.70%,89.20%,90.40%,97.60%
4568,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202426,10,91.50%,96.60%,4.2,98.30%,91.90%,84.10%,91.60%
3200,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202426,14,92.30%,99.90%,6.2,96.10%,89.80%,91.50%,92.10%
3561,SPARK,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202426,4,85.90%,91.40%,6.9,86.90%,85.10%,88.20%,83.40%
1932,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202426,10,80.40%,95.20%,8.7,85.40%,85.10%,74.20%,76.70%
2140,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202426,1,85.60%,99.10%,6.4,83.00%,82.70%,89.10%,88.00%
2224,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202426,44,85.70%,95.40%,8.9,88.70%,87.70%,78.60%,87.70%
1985,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202426,5,90.90%,95.60%,9.2,93.80%,89.20%,87.20%,93.80%
5936,UBER,Scheduled Standard Delivery,Executive Review,-,Driver Supply Focus,202426,11,67.90%,99.70%,9.2,,69.90%,68.20%,65.70%
2833,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202426,22,91.60%,99.60%,5.6,91.80%,86.70%,92.60%,94.70%
4334,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202426,10,92.30%,95.70%,10,93.90%,88.10%,96.20%,90.40%
2906,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202426,10,88.80%,98.00%,6,94.90%,85.40%,84.50%,91.30%
3543,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202426,10,92.30%,99.40%,7.3,96.90%,95.80%,87.60%,89.60%
2547,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202426,2,77.50%,99.80%,6.4,91.10%,80.20%,64.80%,71.90%
622,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,10,92.60%,92.50%,14.7,99.10%,98.40%,95.30%,69.40%
935,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,36,89.90%,98.20%,15.7,91.30%,88.90%,91.70%,87.50%
1266,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202426,2,85.90%,76.10%,16.9,88.40%,81.90%,84.50%,88.90%
398,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,2,78.40%,95.50%,24.9,90.70%,86.70%,70.30%,64.30%
916,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202426,8,82.50%,53.50%,36,88.00%,56.40%,83.70%,92.20%
1025,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202426,1,86.20%,85.60%,15.8,89.80%,80.90%,89.20%,84.60%
4416,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,8,86.90%,92.80%,15.4,93.10%,81.30%,50.20%,97.50%
504,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202426,6,89.60%,93.90%,12.6,85.20%,94.80%,88.00%,90.20%
5612,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,17,87.40%,89.80%,16.3,91.90%,80.00%,79.80%,96.40%
3771,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,45,93.60%,95.10%,15.9,99.60%,99.60%,86.60%,90.20%
4524,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,19,85.00%,82.40%,17.2,93.80%,70.90%,87.20%,88.70%
2628,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,4,89.90%,83.10%,16.9,91.70%,89.00%,91.20%,87.50%
5417,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,12,81.10%,77.10%,18.9,97.20%,49.90%,78.70%,87.20%
4383,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,35,79.40%,95.70%,16,92.80%,74.80%,65.90%,81.80%
2080,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,46,90.00%,87.10%,13.4,94.60%,91.00%,86.40%,88.10%
2644,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202426,17,83.70%,55.20%,22.9,69.20%,84.10%,87.30%,91.50%
5376,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202426,4,73.50%,95.10%,10.4,80.40%,76.80%,68.60%,67.00%
5844,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,34,78.40%,83.00%,19.2,90.50%,63.90%,72.10%,91.20%
1923,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,49,85.60%,75.10%,16.5,90.10%,81.30%,80.50%,92.00%
2102,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,4,84.40%,90.90%,10.5,92.20%,84.40%,73.70%,86.90%
3453,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202426,22,83.40%,74.80%,18.7,83.20%,78.90%,77.00%,94.40%
1618,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,10,87.10%,90.10%,18.4,96.90%,87.90%,88.60%,73.60%
4531,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,10,90.20%,90.20%,14.5,98.20%,84.90%,84.10%,93.00%
2728,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,49,95.50%,91.80%,11.9,99.50%,98.40%,89.50%,95.80%
2063,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,5,86.00%,83.30%,15.2,96.50%,75.40%,87.20%,84.30%
1863,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,3,91.10%,92.90%,16.1,94.60%,91.30%,89.10%,89.70%
2362,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202426,41,81.50%,85.90%,11.2,82.00%,68.70%,85.50%,86.90%
4255,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,10,91.60%,81.30%,18.8,95.60%,92.10%,94.20%,84.70%
5285,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202426,1,83.30%,81.40%,30.3,76.80%,81.30%,87.20%,86.80%
2115,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,31,93.30%,89.50%,12.2,94.60%,93.90%,96.80%,87.00%
2600,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,10,90.80%,90.60%,13.3,93.70%,88.50%,92.60%,88.20%
5150,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,49,91.30%,93.00%,12.2,94.80%,89.00%,87.80%,93.80%
3502,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,14,87.00%,84.10%,14.3,90.10%,90.20%,87.70%,79.70%
5104,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,44,94.90%,90.00%,13.2,98.90%,97.00%,93.90%,89.80%
1510,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,43,92.00%,83.80%,15.5,96.20%,96.20%,90.00%,85.10%
3749,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,35,90.80%,71.70%,15.4,95.90%,88.00%,83.70%,95.30%
1728,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,7,95.50%,86.60%,26.9,97.80%,87.90%,98.00%,98.30%
2726,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,45,87.10%,90.40%,12.6,92.00%,79.20%,90.80%,86.10%
2417,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,11,80.90%,86.30%,10.8,92.10%,87.10%,77.20%,64.60%
6394,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,41,86.90%,83.70%,19.3,96.10%,81.00%,83.60%,87.40%
2421,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202426,1,83.20%,93.30%,10.5,82.50%,84.30%,80.30%,86.20%
2510,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,9,82.40%,85.70%,8.1,90.00%,62.00%,91.10%,84.60%
2748,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,7,88.10%,96.90%,11.5,97.30%,88.90%,85.50%,75.90%
1101,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,22,95.20%,71.70%,15.6,98.50%,97.80%,96.30%,86.90%
990,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,11,90.20%,78.60%,17.1,93.80%,89.60%,90.80%,85.80%
919,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,18,92.80%,97.00%,11.1,96.40%,93.30%,94.70%,86.30%
1362,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,7,88.00%,95.70%,14.1,93.70%,85.40%,87.00%,85.20%
3075,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,2,89.30%,80.00%,14.1,93.50%,87.40%,89.50%,86.70%
3119,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,6,87.80%,97.20%,12.5,90.20%,87.10%,90.80%,82.80%
3439,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,19,86.90%,82.40%,15.2,92.20%,78.30%,88.40%,88.60%
5872,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,8,83.80%,91.60%,14.5,93.90%,88.00%,84.90%,62.10%
4520,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,2,81.10%,63.80%,15,97.00%,73.60%,76.00%,80.60%
1390,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,21,83.60%,84.40%,24.6,92.90%,84.70%,82.50%,70.80%
705,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,24,92.50%,95.40%,13.4,95.70%,91.30%,96.20%,86.80%
578,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202426,6,90.50%,81.30%,9.6,88.20%,88.30%,93.90%,91.70%
2310,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202426,45,80.90%,66.40%,13.4,89.60%,77.00%,81.30%,73.90%
848,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,42,50.20%,63.90%,30.1,94.50%,51.80%,30.60%,30.50%
722,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202426,1,86.50%,92.50%,11.3,88.20%,82.30%,89.40%,86.50%
3205,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202426,34,84.50%,93.00%,14.2,87.90%,80.20%,75.20%,93.50%
1227,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202426,49,90.60%,81.30%,11.3,89.20%,86.40%,93.10%,94.30%
124,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,10,84.90%,85.80%,14.6,93.80%,82.80%,85.80%,77.50%
3331,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,47,90.10%,85.50%,9.6,96.70%,90.70%,86.00%,87.60%
278,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,21,75.70%,65.70%,17.2,90.80%,64.60%,72.30%,75.90%
2392,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,4,94.10%,85.60%,10.6,98.20%,95.10%,96.80%,86.90%
2485,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202426,3,79.90%,76.70%,10.5,89.00%,77.90%,69.80%,83.50%
2006,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,2,86.50%,84.20%,10.7,91.00%,84.90%,84.90%,85.70%
5935,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,42,86.60%,90.80%,15,92.80%,90.70%,77.20%,85.10%
3404,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,17,90.00%,93.40%,13.8,91.90%,88.70%,89.20%,90.10%
1855,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,25,76.80%,77.90%,15,93.30%,65.30%,65.30%,85.90%
2198,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,13,91.40%,92.20%,13.3,95.40%,84.20%,90.70%,96.10%
1560,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,10,83.00%,89.80%,13.3,95.80%,88.60%,70.40%,80.20%
2050,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,5,80.00%,78.30%,18.8,97.90%,79.00%,64.20%,82.40%
2593,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,5,82.40%,80.00%,19.8,93.60%,82.60%,74.20%,77.50%
1439,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,5,85.80%,92.70%,20.8,97.10%,92.60%,82.30%,66.10%
3220,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,2,84.70%,85.70%,17.6,97.70%,90.00%,78.90%,68.70%
3180,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,5,79.80%,87.40%,18,94.40%,82.90%,57.10%,77.80%
1888,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,11,79.50%,66.40%,20.3,97.00%,86.60%,60.50%,72.60%
2293,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,38,91.00%,87.70%,9.2,92.80%,94.90%,84.00%,93.90%
3533,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,49,82.80%,86.90%,19.3,94.80%,81.00%,76.70%,79.30%
1534,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,10,90.30%,85.30%,13,98.50%,91.20%,85.70%,85.60%
1581,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202426,12,75.50%,59.60%,17.9,66.70%,71.10%,85.60%,79.70%
1543,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202426,4,77.60%,72.90%,11.2,71.80%,69.40%,88.50%,82.00%
1604,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202426,4,84.90%,68.50%,13.7,89.00%,77.50%,90.70%,82.10%
3872,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,3,87.30%,78.70%,13.6,91.10%,82.40%,87.00%,88.40%
1778,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,3,87.00%,84.00%,9.3,92.00%,91.10%,77.20%,87.80%
1977,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,10,83.10%,96.80%,17.8,96.40%,90.30%,86.30%,56.00%
2195,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,19,92.10%,96.60%,14.7,96.50%,92.10%,90.90%,89.10%
3337,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,3,89.90%,94.10%,11.8,95.20%,96.70%,84.30%,82.10%
1994,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202426,9,92.50%,95.10%,12.6,98.70%,91.90%,87.90%,88.40%
2222,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,35,82.60%,85.10%,15,95.10%,67.10%,76.10%,92.60%
2046,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,19,85.30%,90.50%,11.2,92.40%,74.40%,91.00%,83.20%
2142,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,35,91.40%,89.70%,11.7,93.00%,87.50%,94.90%,90.10%
2504,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,5,89.60%,97.40%,12.7,94.10%,94.10%,85.20%,86.00%
2210,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,21,90.00%,80.40%,13.8,95.50%,92.10%,82.60%,87.80%
5481,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,40,86.50%,92.40%,12.6,93.30%,87.30%,77.90%,87.70%
1097,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,2,86.10%,79.20%,11.8,96.80%,84.40%,82.40%,80.20%
2059,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,21,77.40%,82.10%,20.7,96.60%,82.00%,71.70%,64.20%
7162,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202426,9,62.70%,55.40%,27.7,50.00%,69.30%,50.00%,75.00%
1875,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,2,82.80%,85.00%,15.9,96.30%,89.40%,71.60%,63.80%
2279,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202426,49,87.00%,87.70%,16.6,88.70%,79.10%,88.70%,92.50%
2435,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,36,89.30%,95.30%,15.4,95.30%,84.00%,88.30%,89.70%
1359,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202426,1,81.00%,88.40%,15.5,85.40%,75.30%,76.90%,87.20%
5095,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202426,45,85.50%,95.80%,13.9,95.60%,95.00%,78.30%,74.70%
2064,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202426,3,89.20%,97.80%,11.7,97.50%,86.30%,86.10%,86.30%
