Store,Dates,Reg,0.01,0.05,0.1,0.25,,,,,,,,,,,
1082,5/16/2024,22,,,,,,,,,,,,,,,
1082,5/16/2024,23,,,,,,,,,,,,,,,
1082,5/16/2024,24,,,,,,,,,,,,,,,
1082,5/16/2024,40,,,,,,,,,,,,,,,
1082,5/16/2024,41,,,,,,,,,,,,,,,
1082,5/16/2024,42,,,,,,,,,,,,,,,
1082,5/16/2024,66,,,,,,,,,,,,,,,
1082,5/16/2024,67,,,,,,,,,,,,,,,
1082,5/16/2024,77,,,,,,,,,,,,,,,
1082,5/16/2024,91,,,,,,,,,,,,,,,
1082,5/16/2024,92,audit,,,,,,,,,,,,,,
1082,5/16/2024,93,,,,,,,,,,,,,,,
1082,5/16/2024,98,,,,,,,,,,,,,,,
1801,5/16/2024,11,,,,,,,,,,,,,,,
1801,5/16/2024,12,,,,,,,,,,,,,,,
1801,5/16/2024,13,,,,,,,,,,,,,,,
1801,5/16/2024,14,,,,,,,,,,,,,,,
1801,5/16/2024,23,audit,,,,,,,,,,,,,,
1801,5/16/2024,24,,,,,,,,,,,,,,,
1801,5/16/2024,25,audit,,,,,,,,,,,,,,
1801,5/16/2024,26,audit,,,,,,,,,,,,,,
1801,5/16/2024,40,,,,,,,,,,,,,,,
1801,5/16/2024,41,,,,,,,,,,,,,,,
1801,5/16/2024,58,audit,,,,,,,,,,,,,,
1801,5/16/2024,59,,,,,,,,,,,,,,,
1801,5/16/2024,62,,,,,,,,,,,,,,,
1801,5/16/2024,63,,,,,,,,,,,,,,,
1801,5/16/2024,64,,,,,,,,,,,,,,,
1801,5/16/2024,67,audit,,,,,,,,,,,,,,
1801,5/16/2024,68,audit,,,,,,,,,,,,,,
1801,5/16/2024,71,,,,,,,,,,,,,,,
1801,5/16/2024,79,audit,,,,,,,,,,,,,,
1801,5/16/2024,80,,,,,,,,,,,,,,,
1801,5/16/2024,91,audit,,,,,,,,,,,,,,
1801,5/16/2024,92,,,,,,,,,,,,,,,
1801,5/16/2024,93,,,,,,,,,,,,,,,
1801,5/16/2024,95,,,,,,,,,,,,,,,
1801,5/16/2024,98,,,,,,,,,,,,,,,
2918,5/16/2024,15,2,1,1,1,,,,,,,,,,,
2918,5/16/2024,17,audit,,,,,,,,,,,,,,
2918,5/16/2024,19,1,1,1,1,,,,,,,,,,,
2918,5/16/2024,20,audit,,,,,,,,,,,,,,
2918,5/16/2024,21,1,1,0,1,,,,,,,,,,,
2918,5/16/2024,23,audit,,,,,,,,,,,,,,
2918,5/16/2024,40,0,1,1,1,,,,,,,,,,,
2918,5/16/2024,41,0,0,0,0,,,,,,,,,,,
2918,5/16/2024,42,0,0,0,0,,,,,,,,,,,
2918,5/16/2024,54,0,0,0,0,,,,,,,,,,,
2918,5/16/2024,58,0,0,0,0,,,,,,,,,,,
2918,5/16/2024,67,1,0,0,1,,,,,,,,,,,
2918,5/16/2024,70,1,0,1,1,,,,,,,,,,,
2918,5/16/2024,71,0,0,0,0,,,,,,,,,,,
2918,5/16/2024,77,1,0,1,1,,,,,,,,,,,
2918,5/16/2024,79,0,0,0,0,,,,,,,,,,,
2918,5/16/2024,80,0,0,0,0,,,,,,,,,,,
2918,5/16/2024,91,2,1,0,2,,,,,,,,,,,
2918,5/16/2024,92,3,2,1,2,,,,,,,,,,,
2918,5/16/2024,93,1,1,0,1,,,,,,,,,,,
2918,5/16/2024,98,0,1,0,0,,,,,,,,,,,
3014,5/16/2024,16,audit,,,,,,,,,,,,,,
3014,5/16/2024,17,,,,,,,,,,,,,,,
3014,5/16/2024,18,,,,,,,,,,,,,,,
3014,5/16/2024,19,audit,,,,,,,,,,,,,,
3014,5/16/2024,20,audit,,,,,,,,,,,,,,
3014,5/16/2024,21,,,,,,,,,,,,,,,
3014,5/16/2024,22,,,,,,,,,,,,,,,
3014,5/16/2024,23,,,,,,,,,,,,,,,
3014,5/16/2024,24,,,,,,,,,,,,,,,
3014,5/16/2024,25,,,,,,,,,,,,,,,
3014,5/16/2024,40,,,,,,,,,,,,,,,
3014,5/16/2024,41,,,,,,,,,,,,,,,
3014,5/16/2024,42,audit,,,,,,,,,,,,,,
3014,5/16/2024,58,audit,,,,,,,,,,,,,,
3014,5/16/2024,60,,,,,,,,,,,,,,,
3014,5/16/2024,61,,,,,,,,,,,,,,,
3014,5/16/2024,62,,,,,,,,,,,,,,,
3014,5/16/2024,63,,,,,,,,,,,,,,,
3014,5/16/2024,64,,,,,,,,,,,,,,,
3014,5/16/2024,68,,,,,,,,,,,,,,,
3014,5/16/2024,69,,,,,,,,,,,,,,,
3014,5/16/2024,70,audit,,,,,,,,,,,,,,
3014,5/16/2024,77,,,,,,,,,,,,,,,
3014,5/16/2024,79,,,,,,,,,,,,,,,
3014,5/16/2024,91,audit,,,,,,,,,,,,,,
3014,5/16/2024,92,audit,,,,,,,,,,,,,,
3014,5/16/2024,93,,,,,,,,,,,,,,,
3014,5/16/2024,98,,,,,,,,,,,,,,,
3284,5/16/2024,20,,,,,,,,,,,,,,,
3284,5/16/2024,22,,,,,,,,,,,,,,,
3284,5/16/2024,24,,,,,,,,,,,,,,,
3284,5/16/2024,26,,,,,,,,,,,,,,,
3284,5/16/2024,28,,,,,,,,,,,,,,,
3284,5/16/2024,40,,,,,,,,,,,,,,,
3284,5/16/2024,41,,,,,,,,,,,,,,,
3284,5/16/2024,42,,,,,,,,,,,,,,,
3284,5/16/2024,58,,,,,,,,,,,,,,,
3284,5/16/2024,59,,,,,,,,,,,,,,,
3284,5/16/2024,62,,,,,,,,,,,,,,,
3284,5/16/2024,63,,,,,,,,,,,,,,,
3284,5/16/2024,67,,,,,,,,,,,,,,,
3284,5/16/2024,68,,,,,,,,,,,,,,,
3284,5/16/2024,77,,,,,,,,,,,,,,,
3284,5/16/2024,92,audit,,,,,,,,,,,,,,
3284,5/16/2024,93,,,,,,,,,,,,,,,
3284,5/16/2024,98,,,,,,,,,,,,,,,
4681,5/16/2024,17,,,,,,,,,,,,,,,
4681,5/16/2024,18,,,,,,,,,,,,,,,
4681,5/16/2024,19,,,,,,,,,,,,,,,
4681,5/16/2024,21,,,,,,,,,,,,,,,
4681,5/16/2024,23,,,,,,,,,,,,,,,
4681,5/16/2024,24,,,,,,,,,,,,,,,
4681,5/16/2024,25,,,,,,,,,,,,,,,
4681,5/16/2024,67,,,,,,,,,,,,,,,
4681,5/16/2024,70,,,,,,,,,,,,,,,
4681,5/16/2024,79,,,,,,,,,,,,,,,
4681,5/16/2024,80,,,,,,,,,,,,,,,
4681,5/16/2024,91,audit,,,,,,,,,,,,,,
4681,5/16/2024,92,,,,,,,,,,,,,,,
4681,5/16/2024,93,,,,,,,,,,,,,,,
4681,5/16/2024,94,,,,,,,,,,,,,,,
5080,5/16/2024,18,,,,,,,,,,,,,,,
5080,5/16/2024,19,,,,,,,,,,,,,,,
5080,5/16/2024,20,,,,,,,,,,,,,,,
5080,5/16/2024,21,,,,,,,,,,,,,,,
5080,5/16/2024,22,,,,,,,,,,,,,,,
5080,5/16/2024,23,audit,,,,,,,,,,,,,,
5080,5/16/2024,24,,,,,,,,,,,,,,,
5080,5/16/2024,25,,,,,,,,,,,,,,,
5080,5/16/2024,26,,,,,,,,,,,,,,,
5080,5/16/2024,27,,,,,,,,,,,,,,,
5080,5/16/2024,40,,,,,,,,,,,,,,,
5080,5/16/2024,41,,,,,,,,,,,,,,,
5080,5/16/2024,58,,,,,,,,,,,,,,,
5080,5/16/2024,61,,,,,,,,,,,,,,,
5080,5/16/2024,62,,,,,,,,,,,,,,,
5080,5/16/2024,67,,,,,,,,,,,,,,,
5080,5/16/2024,68,audit,,,,,,,,,,,,,,
5080,5/16/2024,74,,,,,,,,,,,,,,,
5080,5/16/2024,77,,,,,,,,,,,,,,,
5080,5/16/2024,80,,,,,,,,,,,,,,,
5080,5/16/2024,81,,,,,,,,,,,,,,,
5080,5/16/2024,90,,,,,,,,,,,,,,,
5080,5/16/2024,92,,,,,,,,,,,,,,,
5080,5/16/2024,93,,,,,,,,,,,,,,,
5080,5/16/2024,95,,,,,,,,,,,,,,,
5080,5/16/2024,98,,,,,,,,,,,,,,,
5172,5/16/2024,1,,,,,,,,,,,,,,,
5172,5/16/2024,3,,,,,,,,,,,,,,,
5172,5/16/2024,4,,,,,,,,,,,,,,,
5172,5/16/2024,5,,,,,,,,,,,,,,,
5172,5/16/2024,6,audit,,,,,,,,,,,,,,
5172,5/16/2024,7,,,,,,,,,,,,,,,
5172,5/16/2024,8,,,,,,,,,,,,,,,
5172,5/16/2024,9,,,,,,,,,,,,,,,
5172,5/16/2024,10,,,,,,,,,,,,,,,
5172,5/16/2024,52,,,,,,,,,,,,,,,
5172,5/16/2024,59,,,,,,,,,,,,,,,
5172,5/16/2024,67,,,,,,,,,,,,,,,
5172,5/16/2024,70,,,,,,,,,,,,,,,
5172,5/16/2024,71,,,,,,,,,,,,,,,
5172,5/16/2024,77,,,,,,,,,,,,,,,
5172,5/16/2024,79,,,,,,,,,,,,,,,
5172,5/16/2024,80,,,,,,,,,,,,,,,
5172,5/16/2024,91,,,,,,,,,,,,,,,
5172,5/16/2024,92,,,,,,,,,,,,,,,
5172,5/16/2024,93,,,,,,,,,,,,,,,
5172,5/16/2024,95,,,,,,,,,,,,,,,
5316,5/16/2024,1,2,2,1,2,,,,,,,,,,,
5316,5/16/2024,2,3,2,1,1,,,,,,,,,,,
5316,5/16/2024,3,3,1,0,1,,,,,,,,,,,
5316,5/16/2024,4,3,1,0,2,,,,,,,,,,,
5316,5/16/2024,5,2,1,0,2,,,,,,,,,,,
5316,5/16/2024,6,2,1,1,2,,,,,,,,,,,
5316,5/16/2024,7,audit,,,,,,,,,,,,,,
5316,5/16/2024,8,0,1,0,1,,,,,,,,,,,
5316,5/16/2024,9,1,2,1,2,,,,,,,,,,,
5316,5/16/2024,10,audit,,,,,,,,,,,,,,
5316,5/16/2024,11,audit,,,,,,,,,,,,,,
5316,5/16/2024,12,2,2,1,2,,,,,,,,,,,
5316,5/16/2024,13,1,0,0,0,,,,,,,,,,,
5316,5/16/2024,14,1,0,0,0,,,,,,,,,,,
5316,5/16/2024,58,0,1,0,0,,,,,,,,,,,
5316,5/16/2024,59,1,0,1,1,,,,,,,,,,,
5316,5/16/2024,67,1,1,1,1,,,,,,,,,,,
5316,5/16/2024,68,1,1,1,1,,,,,,,,,,,
5316,5/16/2024,71,0,1,1,1,,,,,,,,,,,
5316,5/16/2024,72,1,0,1,1,,,,,,,,,,,
5316,5/16/2024,77,0,1,1,0,,,,,,,,,,,
5316,5/16/2024,78,audit,,,,,,,,,,,,,,
5316,5/16/2024,79,audit,,,,,,,,,,,,,,
5316,5/16/2024,90,0,0,0,0,,,,,,,,,,,
5316,5/16/2024,91,0,0,0,0,,,,,,,,,,,
5316,5/16/2024,92,audit,,,,,,,,,,,,,,
5316,5/16/2024,93,audit,,,,,,,,,,,,,,
5316,5/16/2024,94,audit,,,,,,,,,,,,,,
5316,5/16/2024,95,0,0,0,1,,,,,,,,,,,
5316,5/16/2024,98,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
