Store,,JUL,73,YTD,74,JUL,75,YTD,76,JUL,77,YTD,78,JUL,79,YTD,80,L12 Mths,81,L12 Mths,82,JUL,83,YTD,84,JUL,85,YTD,86,JUL,87,YTD,88,JUL,89,YTD,90,JUL,91,YTD,92
3,,17.81%,G,11.30%,G,6.71%,,4.56%,,4.07%,,10.63%,,-9.52%,,-14.47%,,4.89,G,4.89,G,36.12%,,34.44%,,0.27%,,0.35%,,34.12%,,35.63%,,0:36:03,,0:29:44,G,615/2578,,834/2578,
510,,14.55%,,15.77%,G,13.37%,G,28.85%,G,17.52%,G,41.75%,G,-12.39%,,2.44%,G,4.41,,4.41,,33.68%,R,33.38%,R,0.20%,,0.83%,,37.02%,,39.34%,,0:24:58,G,0:25:47,G,491/2578,G,124/2578,G
1111,,13.52%,,4.32%,,-8.45%,,-4.44%,,-22.57%,R,-2.51%,,-2.53%,,-9.57%,,4.47,,4.47,,41.21%,,41.45%,,1.01%,,1.51%,,91.64%,G,93.72%,G,0:43:31,,0:36:35,,1379/2578,,1456/2578,
1121,,-6.90%,R,-3.49%,R,28.55%,G,-4.22%,,-26.50%,R,-14.42%,R,-22.58%,,-19.25%,,4.00,R,4.00,R,26.85%,R,25.66%,R,0.00%,R,0.24%,R,60.65%,,41.19%,,N/A,R,0:24:02,G,1842/2578,,2146/2578,R
1363,,1.43%,R,3.40%,,-4.07%,,-2.83%,,-5.32%,,-0.65%,,-27.76%,R,-24.06%,R,4.29,R,4.29,R,24.25%,R,32.57%,R,1.15%,,0.88%,,61.58%,,54.63%,,0:17:47,G,0:20:11,G,1734/2578,,1628/2578,
1400,,6.91%,,12.23%,G,-14.30%,R,15.11%,,-17.71%,R,20.23%,,-15.57%,,-1.76%,,3.92,R,3.92,R,21.99%,R,29.39%,R,0.49%,,0.43%,,33.81%,,26.87%,,0:33:31,,0:36:18,,2069/2578,R,558/2578,
2811,,6.40%,,6.36%,,-3.15%,,2.31%,,-0.44%,,12.81%,,-26.10%,R,-19.70%,,4.11,R,4.11,R,34.65%,,33.68%,R,0.44%,,0.34%,,18.48%,R,20.52%,R,0:31:40,G,0:38:17,,1695/2578,,1480/2578,
3627,,22.40%,G,15.78%,G,3.05%,,4.12%,,17.07%,G,26.80%,G,-12.47%,,-9.49%,,4.76,,4.76,,58.62%,G,45.48%,,0.26%,,0.56%,,31.33%,,31.53%,,0:28:49,G,0:28:24,G,454/2578,G,543/2578,
5482,,17.16%,G,5.01%,,11.10%,,0.79%,,-7.04%,,-5.14%,,20.12%,G,-9.60%,,<5 Reviews,,<5 Reviews,,38.50%,,35.97%,,0.45%,,0.90%,,38.25%,,37.89%,,0:41:44,,0:37:19,,591/2578,,1445/2578,
Total,B,10.88%,,8.47%,G,3.19%,,4.31%,,-2.75%,,9.79%,,-12.83%,,-12.04%,,4.48,,4.48,,37.21%,,35.70%,R,0.46%,R,0.61%,R,42.81%,,40.96%,,0:30:07,G,0:29:43,G,130/394,,123/394,
594,,1.88%,,4.23%,,-16.63%,R,-6.00%,,-14.95%,R,5.29%,,-24.78%,R,-22.48%,R,4.71,,4.71,,64.72%,G,56.11%,G,0.88%,,0.68%,,16.03%,R,17.52%,R,0:35:58,,0:35:05,,2109/2578,R,1684/2578,
722,,-0.38%,R,-2.01%,R,-22.70%,R,-17.91%,R,-26.18%,R,-16.22%,R,-28.35%,R,-22.86%,R,4.50,,4.50,,39.38%,,35.08%,,0.87%,,0.74%,,21.96%,R,26.60%,,0:47:40,,0:54:23,R,2429/2578,R,2477/2578,R
727,,17.41%,G,4.59%,,8.87%,,9.01%,,7.33%,,13.81%,,16.84%,G,-24.80%,R,4.40,,4.40,,49.55%,,42.97%,,0.00%,R,0.11%,R,8.11%,R,23.45%,,0:28:14,G,0:26:49,G,417/2578,G,1136/2578,
787,,19.16%,G,11.38%,G,22.70%,G,25.77%,G,7.16%,,19.43%,,2.43%,,1.02%,G,4.68,,4.68,,64.23%,G,60.79%,G,0.00%,R,0.02%,R,36.86%,,35.11%,,0:38:42,,0:36:55,,196/2578,G,252/2578,G
855,,6.99%,,3.18%,,3.74%,,-10.56%,R,6.89%,,-10.86%,R,-10.59%,,-19.63%,,4.14,R,4.14,R,50.38%,,46.27%,,0.72%,,0.72%,,15.98%,R,22.02%,R,0:33:27,,0:38:51,,1110/2578,,2139/2578,R
856,,10.54%,,14.52%,G,3.64%,,13.01%,,8.97%,,11.55%,,-19.67%,,-1.85%,,4.50,,4.50,,41.27%,,43.16%,,2.02%,,1.65%,,48.46%,,38.05%,,0:42:20,,0:45:29,,972/2578,,479/2578,G
1488,,-3.52%,R,8.13%,,-12.91%,,1.04%,,-24.77%,R,-5.45%,R,-15.33%,,13.67%,G,4.22,R,4.22,R,79.64%,G,62.03%,G,0.00%,R,0.18%,R,14.03%,R,22.78%,,0:52:31,,0:50:14,,2335/2578,R,1299/2578,
2732,,12.04%,,5.06%,,3.31%,,-2.25%,,-15.84%,R,-14.04%,R,6.37%,G,-2.38%,,4.89,G,4.89,G,53.49%,,47.63%,,0.33%,,0.68%,,42.51%,,38.31%,,0:40:53,,0:41:57,,872/2578,,1443/2578,
3205,,15.61%,G,9.44%,,33.28%,G,6.49%,,51.13%,G,23.30%,G,7.92%,G,-14.55%,,4.80,G,4.80,G,55.75%,,52.86%,,0.00%,R,0.82%,,29.58%,,23.64%,,0:48:29,,0:45:33,,188/2578,G,828/2578,
4409,,8.01%,,3.32%,,-9.94%,,-2.05%,,-9.36%,,3.50%,,-29.59%,R,-24.25%,R,4.43,,4.43,,45.28%,,39.89%,,0.23%,,0.24%,R,65.15%,,70.68%,G,0:59:38,R,1:06:13,R,2021/2578,,1932/2578,
Total,B,8.08%,,6.04%,,-0.88%,,0.44%,,-4.74%,,1.38%,,-13.06%,,-12.27%,,4.54,,4.54,,52.74%,G,48.13%,,0.56%,R,0.60%,R,32.14%,R,32.25%,,0:41:55,,0:42:46,,217/394,,239/394,
1578,,19.66%,G,21.11%,G,-1.47%,,25.16%,G,11.41%,,43.49%,G,-25.66%,R,2.12%,G,4.09,R,4.09,R,47.72%,,47.31%,,0.95%,,0.91%,,35.03%,,27.65%,,0:38:27,,0:35:34,,965/2578,,173/2578,G
5390,,19.73%,G,17.24%,G,7.29%,,10.84%,,7.48%,,25.43%,G,-9.20%,,-6.70%,,4.80,G,4.80,G,41.07%,,44.60%,,0.66%,,1.00%,,96.32%,G,85.45%,G,0:34:08,,0:29:41,G,372/2578,G,206/2578,G
Total,B,19.70%,G,18.97%,G,3.77%,,15.85%,G,8.84%,G,31.32%,G,-16.93%,,-3.31%,G,4.58,,4.58,,43.86%,,45.70%,,0.76%,,0.97%,,70.54%,G,61.98%,G,0:35:41,G,0:31:48,G,44/394,G,7/394,G
575,,17.13%,G,14.00%,G,11.41%,,11.22%,,17.30%,G,24.08%,G,11.68%,G,1.88%,G,4.94,G,4.94,G,51.38%,,45.53%,,1.34%,,0.89%,,34.15%,,33.82%,,0:33:08,,0:30:24,G,154/2578,G,241/2578,G
878,,11.41%,,12.48%,G,-2.45%,,27.82%,G,-3.77%,,25.09%,G,-29.55%,R,-1.98%,,4.20,R,4.20,R,38.71%,,31.82%,R,0.78%,,3.12%,G,11.52%,R,17.34%,R,0:33:20,,0:31:32,,1508/2578,,249/2578,G
1314,,3.66%,,10.06%,,2.12%,,17.49%,G,-4.17%,,26.42%,G,-16.62%,,-19.46%,,4.50,,4.50,,34.49%,,30.35%,R,3.31%,G,5.40%,G,22.78%,,22.33%,R,0:34:37,,0:27:54,G,1462/2578,,476/2578,G
1373,,0.97%,R,6.87%,,1.21%,,10.57%,,17.72%,G,24.41%,G,-23.37%,,-14.23%,,4.60,,4.60,,59.28%,G,54.58%,,0.48%,,1.14%,,58.85%,,52.28%,,0:39:39,,0:38:38,,1350/2578,,636/2578,
2154,,11.58%,,7.29%,,-15.36%,R,-20.39%,R,-3.78%,,-5.99%,R,-29.13%,R,-29.17%,R,4.70,,4.70,,43.30%,,43.00%,,0.93%,,0.63%,,58.46%,,48.15%,,0:51:42,,0:51:22,,1806/2578,,2114/2578,R
2941,,16.27%,G,14.52%,G,31.71%,G,19.36%,G,34.90%,G,18.14%,,7.76%,G,5.80%,G,4.91,G,4.91,G,52.12%,,48.65%,,0.39%,,0.99%,,12.29%,R,14.71%,R,0:35:16,,0:33:31,,128/2578,G,194/2578,G
3462,,1.31%,R,6.15%,,20.19%,G,18.04%,G,19.59%,G,21.56%,,2.57%,,2.57%,G,4.76,,4.76,,40.14%,,28.30%,R,0.00%,R,0.12%,R,20.07%,R,23.66%,,0:43:37,,0:30:02,G,913/2578,,555/2578,
4436,,16.77%,G,17.03%,G,-0.87%,,-5.20%,,-21.10%,R,-7.81%,R,12.81%,G,-1.41%,,<5 Reviews,,<5 Reviews,,35.81%,,26.45%,R,0.58%,,0.76%,,26.20%,,13.31%,R,0:42:19,,0:37:11,,1130/2578,,1371/2578,
7185,,12.75%,,9.96%,,16.94%,G,12.17%,,6.12%,,12.35%,,-1.85%,,-3.12%,,4.75,,4.75,,43.57%,,45.71%,,0.72%,,0.92%,,37.62%,,34.06%,,0:45:56,,0:48:26,,507/2578,G,634/2578,
Total,B,9.28%,,10.18%,G,4.54%,,7.84%,,6.32%,,15.56%,,-12.49%,,-10.14%,,4.71,G,4.71,G,45.38%,,40.67%,,1.02%,,1.69%,,35.68%,,32.26%,,0:40:46,,0:37:00,,97/394,,56/394,G
459,,0.87%,R,4.54%,,-19.98%,R,-5.46%,,-6.50%,,1.69%,,-32.46%,R,-17.10%,,4.50,,4.50,,40.10%,,37.49%,,1.92%,,2.96%,G,42.51%,,41.89%,,0:49:10,,0:48:36,,2267/2578,R,1752/2578,
520,,17.13%,G,10.10%,G,19.80%,G,5.90%,,-2.96%,,2.76%,,27.67%,G,2.79%,G,4.78,G,4.78,G,40.41%,,40.63%,,0.00%,R,0.40%,,47.86%,,40.94%,,0:59:56,R,1:00:51,R,490/2578,G,1005/2578,
548,,5.19%,,7.09%,,-31.02%,R,-9.48%,R,7.80%,,13.91%,,-47.18%,R,-26.60%,R,4.83,G,4.83,G,33.33%,R,37.90%,,0.00%,R,0.13%,R,18.22%,R,23.70%,,1:10:52,R,0:57:39,R,2347/2578,R,1967/2578,
780,,-4.75%,R,-0.37%,,-31.12%,R,-11.82%,R,-39.73%,R,-14.78%,R,-32.57%,R,-23.87%,R,5.00,G,5.00,G,67.63%,G,59.00%,G,1.23%,,2.31%,,57.97%,,46.48%,,0:35:14,,0:28:41,G,2251/2578,R,1912/2578,
1720,,11.02%,,9.09%,,-4.66%,,6.82%,,25.27%,G,41.21%,G,-25.77%,R,-11.86%,,4.27,R,4.27,R,68.55%,G,59.73%,G,0.64%,,0.62%,,47.48%,,57.62%,,0:42:08,,0:36:25,,1230/2578,,630/2578,
3388,,5.54%,,6.75%,,-57.19%,R,-28.31%,R,-79.91%,R,-31.67%,R,-32.60%,R,-14.22%,,4.43,,4.43,,39.95%,,43.07%,,17.05%,G,3.72%,G,60.05%,,63.39%,,0:45:27,,0:36:22,,2285/2578,R,1860/2578,
3389,,14.61%,,16.71%,G,22.29%,G,17.60%,G,61.62%,G,33.90%,G,7.79%,G,12.16%,G,4.76,,4.76,,51.81%,,46.82%,,0.33%,,0.37%,,12.35%,R,12.46%,R,0:47:50,,0:36:15,,290/2578,G,242/2578,G
3786,,14.48%,,5.77%,,8.55%,,-0.61%,,18.60%,G,-0.86%,,6.19%,G,-6.10%,,3.64,R,3.64,R,35.20%,,41.92%,,1.12%,,3.62%,G,65.02%,,62.81%,,0:48:09,,0:52:25,,574/2578,,1427/2578,
5252,,18.01%,G,-0.65%,,3.78%,,4.85%,,-3.49%,,3.73%,,-18.05%,,-9.97%,,4.31,,4.31,,73.43%,G,65.66%,G,0.49%,,1.45%,,91.61%,G,88.10%,G,0:41:07,,0:39:29,,722/2578,,1245/2578,
Total,B,9.12%,,6.12%,,-12.18%,R,-3.05%,,-10.06%,R,2.63%,,-18.89%,R,-10.97%,,4.51,,4.51,,48.30%,,46.72%,,1.11%,,1.60%,,49.80%,,47.73%,,0:48:51,,0:43:36,,334/394,R,248/394,
518,,20.51%,G,17.29%,G,18.80%,G,21.48%,G,21.59%,G,26.70%,G,5.19%,G,3.44%,G,4.53,,4.53,,59.30%,G,52.13%,,1.40%,,1.69%,,58.45%,,59.04%,,0:32:46,,0:36:09,,64/2578,G,103/2578,G
615,,15.63%,G,19.38%,G,31.36%,G,62.45%,G,39.68%,G,85.38%,G,4.27%,G,20.25%,G,4.77,G,4.77,G,63.64%,G,62.23%,G,21.31%,G,10.17%,G,42.27%,,36.87%,,0:30:00,G,0:30:39,G,26/2578,G,4/2578,G
937,,8.17%,,7.09%,,-17.49%,R,6.30%,,-10.14%,,26.17%,G,-16.60%,,-17.32%,,4.00,R,4.00,R,43.60%,,51.38%,,0.00%,R,0.00%,R,17.06%,R,13.35%,R,0:50:29,,0:52:01,,2183/2578,R,1264/2578,
1586,,5.10%,,1.59%,,-1.83%,,-13.35%,R,5.44%,,-7.50%,R,-20.98%,,-24.12%,R,4.75,,4.75,,34.91%,,34.00%,R,0.00%,R,0.78%,,10.55%,R,10.50%,R,0:43:15,,0:43:49,,1688/2578,,2285/2578,R
3403,,18.57%,G,9.79%,,2.35%,,3.43%,,22.73%,G,17.45%,,-16.51%,,-11.51%,,4.86,G,4.86,G,53.54%,,50.59%,,1.23%,,0.63%,,31.16%,,40.25%,,0:44:20,,0:47:02,,617/2578,,915/2578,
5275,,7.07%,,5.85%,,-13.84%,R,-7.27%,,-22.05%,R,-0.92%,,-16.70%,,-15.21%,,4.58,,4.58,,34.84%,,31.73%,R,0.28%,,0.42%,,21.72%,R,21.94%,R,0:43:58,,0:41:46,,2125/2578,R,1893/2578,
Total,B,13.10%,G,10.70%,G,5.74%,G,11.54%,G,11.78%,G,21.87%,G,-8.86%,,-6.90%,,4.62,,4.62,,51.02%,,48.21%,,5.38%,G,2.93%,G,35.66%,,36.07%,,0:40:05,,0:41:08,,20/394,G,28/394,G
640,,15.80%,G,7.44%,,8.71%,,-1.51%,,6.75%,,-5.17%,R,-11.68%,,-14.94%,,4.00,R,4.00,R,42.92%,,40.91%,,2.76%,G,5.16%,G,116.24%,G,95.54%,G,0:36:09,,0:34:38,,468/2578,G,1250/2578,
641,,-3.41%,R,-1.70%,R,-46.71%,R,-29.12%,R,-32.84%,R,-21.89%,R,-50.52%,R,-39.12%,R,<5 Reviews,,<5 Reviews,,24.34%,R,31.10%,R,0.00%,R,0.39%,,34.39%,,33.95%,,0:29:36,G,0:43:11,,2493/2578,R,2510/2578,R
1123,,4.40%,,-0.60%,,-34.13%,R,-22.13%,R,-43.30%,R,-23.66%,R,-36.38%,R,-25.48%,R,4.44,,4.44,,41.90%,,27.58%,R,1.48%,,0.97%,,70.34%,,43.92%,,0:53:20,,0:53:20,R,2364/2578,R,2467/2578,R
1244,,17.03%,G,19.25%,G,25.61%,G,39.05%,G,37.05%,G,61.07%,G,13.08%,G,19.06%,G,4.50,,4.50,,36.57%,,40.16%,,1.31%,,0.81%,,61.19%,,45.78%,,0:46:02,,0:40:03,,156/2578,G,110/2578,G
2265,,12.50%,,7.34%,,15.73%,G,13.25%,,-2.61%,,18.94%,,20.09%,G,8.05%,G,4.88,G,4.88,G,51.08%,,49.68%,,1.61%,,2.69%,G,74.64%,G,65.95%,,0:58:26,R,0:45:48,,440/2578,G,397/2578,G
2687,,12.62%,,9.64%,,18.26%,G,11.65%,,7.52%,,10.44%,,-0.33%,,-0.91%,G,5.00,G,5.00,G,27.12%,R,28.41%,R,3.92%,G,1.73%,,40.52%,,31.45%,,0:39:24,,0:33:22,,367/2578,G,474/2578,G
3222,,7.20%,,10.15%,G,-3.00%,,21.91%,G,24.14%,G,61.13%,G,-14.73%,,0.04%,G,<5 Reviews,,<5 Reviews,,33.71%,R,30.07%,R,1.85%,,2.08%,,91.50%,G,84.60%,G,0:19:19,G,0:21:00,G,1010/2578,,136/2578,G
5487,,11.10%,,3.60%,,-17.51%,R,-5.91%,,-5.29%,,-2.94%,,-26.44%,R,-19.81%,,4.64,,4.64,,34.64%,,41.12%,,0.00%,R,0.12%,R,37.25%,,49.32%,,0:37:17,,0:36:45,,1917/2578,,1855/2578,
Total,B,9.70%,,6.47%,,-3.91%,,0.95%,,-2.34%,,5.11%,,-15.06%,,-11.80%,,4.51,,4.51,,38.67%,,36.80%,,1.96%,,1.99%,,70.76%,G,59.96%,,0:40:25,,0:38:04,,205/394,,171/394,
396,,9.94%,,5.78%,,15.06%,G,3.30%,,-14.49%,,-10.69%,R,25.74%,G,4.35%,G,4.46,,4.46,,35.04%,,32.66%,R,1.02%,,2.02%,,66.54%,,58.33%,,1:18:22,R,0:59:41,R,908/2578,,1329/2578,
514,,-0.78%,R,0.97%,,-12.07%,,-7.57%,,-12.78%,,-12.21%,R,-37.70%,R,-25.99%,R,<5 Reviews,,<5 Reviews,,34.95%,,33.56%,R,0.00%,R,0.05%,R,25.24%,,30.70%,,0:33:24,,0:34:23,,2280/2578,R,2228/2578,R
624,,12.86%,,13.20%,G,11.94%,,5.69%,,-6.42%,,1.82%,,5.10%,G,-2.52%,,4.80,G,4.80,G,50.71%,,51.34%,,3.25%,G,5.97%,G,8.08%,R,11.93%,R,0:48:40,,0:44:31,,645/2578,,735/2578,
644,,5.27%,,1.58%,,3.46%,,-0.58%,,14.29%,G,8.18%,,-26.97%,R,-17.30%,,4.33,,4.33,,56.15%,,41.24%,,0.00%,R,1.01%,,78.08%,G,65.17%,,0:47:56,,0:45:31,,1325/2578,,1643/2578,
1270,,15.25%,G,16.00%,G,-2.89%,,16.34%,G,-1.52%,,19.88%,,-3.59%,,3.25%,G,4.13,R,4.13,R,38.97%,,44.88%,,1.16%,,6.02%,G,33.81%,,38.90%,,0:34:28,,0:32:31,,1026/2578,,198/2578,G
4487,,12.63%,,3.94%,,-11.81%,,-8.72%,R,-21.62%,R,-5.39%,R,-17.82%,,-17.73%,,4.60,,4.60,,32.19%,R,31.80%,R,0.77%,,1.37%,,14.38%,R,20.75%,R,0:33:05,,0:32:50,,1722/2578,,1906/2578,
6576,,3.14%,,2.12%,,-8.38%,,-13.06%,R,-39.86%,R,-21.18%,R,-6.69%,,-17.34%,,4.71,,4.71,,44.39%,,43.73%,,0.00%,R,0.22%,R,24.22%,,26.95%,,0:47:45,,0:38:12,,2067/2578,R,2181/2578,R
6887,,14.38%,,9.88%,,13.12%,G,12.43%,,-5.65%,,4.46%,,9.09%,G,5.14%,G,4.33,,4.33,,32.03%,R,31.11%,R,0.75%,,0.65%,,63.28%,,52.98%,,0:39:51,,0:41:45,,573/2578,,704/2578,
Total,B,8.93%,,6.50%,,0.25%,,1.63%,,-10.12%,R,-1.39%,R,-9.25%,,-8.08%,,4.50,,4.50,,40.15%,,39.75%,,0.79%,,2.34%,,35.48%,,36.16%,,0:44:27,,0:40:59,,222/394,,195/394,
477,,12.21%,,10.40%,G,24.17%,G,29.46%,G,14.16%,G,11.98%,,-1.49%,,0.99%,G,<5 Reviews,,<5 Reviews,,49.06%,,58.25%,G,9.77%,G,11.04%,G,83.40%,G,90.12%,G,0:30:57,G,0:30:28,G,144/2578,G,89/2578,G
619,,9.73%,,6.96%,,19.25%,G,17.92%,G,4.86%,,13.37%,,8.80%,G,-0.52%,G,4.71,,4.71,,35.58%,,27.80%,R,3.00%,G,3.76%,G,37.47%,,32.07%,,0:26:55,G,0:29:19,G,331/2578,G,419/2578,G
663,,11.74%,,4.50%,,-10.22%,,-13.75%,R,-15.41%,R,-9.51%,R,-5.53%,,-14.44%,,4.67,,4.67,,27.31%,R,28.23%,R,0.71%,,1.10%,,38.23%,,36.52%,,1:05:38,R,1:02:58,R,1774/2578,,2165/2578,R
698,,9.82%,,3.03%,,17.14%,G,-5.99%,,296.53%,G,19.34%,,-11.07%,,-20.51%,,4.74,,4.74,,71.15%,G,72.62%,G,2.45%,G,5.59%,G,59.29%,,72.72%,G,0:42:46,,0:43:19,,334/2578,G,1392/2578,
1089,,-0.94%,R,-4.11%,R,-23.89%,R,-12.19%,R,-11.66%,,0.52%,,-31.25%,R,-23.52%,R,4.75,,4.75,,30.16%,R,33.60%,R,0.00%,R,0.07%,R,43.68%,,45.84%,,0:28:55,G,0:26:41,G,2296/2578,R,2222/2578,R
1606,,13.92%,,0.60%,,-5.46%,,-7.97%,,-19.53%,R,-10.67%,R,-3.81%,,-31.72%,R,4.60,,4.60,,37.62%,,42.41%,,11.96%,G,13.44%,G,38.61%,,57.59%,,0:44:37,,0:44:52,,1302/2578,,2075/2578,R
3659,,15.05%,,13.10%,G,2.72%,,8.42%,,-5.58%,,9.73%,,-3.57%,,-1.86%,,4.75,,4.75,,88.54%,G,85.46%,G,12.01%,G,15.27%,G,84.84%,G,84.60%,G,0:28:27,G,0:25:32,G,401/2578,G,183/2578,G
3835,,9.74%,,10.89%,G,-7.27%,,3.36%,,-12.99%,,2.56%,,-16.88%,,-0.69%,G,4.45,,4.45,,47.04%,,46.88%,,1.19%,,0.86%,,61.44%,,64.30%,,0:53:21,,0:41:12,,1669/2578,,843/2578,
5263,,16.80%,G,9.93%,,-3.97%,,-3.57%,,-28.08%,R,-14.33%,R,-9.30%,,-22.53%,R,4.25,R,4.25,R,53.48%,,48.43%,,0.00%,R,0.84%,,60.07%,,65.87%,,0:39:52,,0:27:17,G,1284/2578,,1363/2578,
Total,B,10.48%,,5.61%,,-1.01%,,-1.19%,,3.05%,,3.17%,,-9.92%,,-14.12%,,4.62,,4.62,,48.86%,,48.88%,,4.51%,G,5.86%,G,55.07%,,58.82%,,0:38:58,,0:35:31,G,98/394,,184/394,
658,,6.21%,,4.51%,,-14.13%,R,-2.06%,,-8.11%,,2.39%,,-32.80%,R,-20.72%,,5.00,G,5.00,G,33.18%,R,42.94%,,0.00%,R,0.03%,R,44.55%,,54.05%,,0:21:39,G,0:25:33,G,1902/2578,,1421/2578,
669,,6.00%,,-0.50%,,-15.63%,R,-16.54%,R,6.23%,,-9.25%,R,-26.43%,R,-22.55%,R,4.83,G,4.83,G,29.81%,R,31.03%,R,0.65%,,1.19%,,80.22%,G,64.89%,,0:24:21,G,0:25:59,G,1674/2578,,2086/2578,R
756,,3.38%,,3.66%,,-20.71%,R,-5.95%,,-4.89%,,16.25%,,-57.89%,R,-36.60%,R,4.25,R,4.25,R,30.56%,R,40.09%,,4.79%,G,3.97%,G,91.67%,G,81.90%,G,0:29:27,G,0:27:12,G,2062/2578,,1485/2578,
