Store Nbr,Store Name,Store Type Descr,,,,,,,,,,
850,"ALBUQUERQUE (C), NM",BASE STR Supercenter,,,,,,,,,,
851,"RUIDOSO DOWNS, NM",BASE STR Supercenter,,,,,,,,,,
861,LUBBOCK TX,BASE STR Supercenter,,,,,,,,,,
865,NEW BRAUNFELS TX,BASE STR Supercenter,,,,,,,,,,
867,SCOTTSBLUFF NE,BASE STR Supercenter,,,,,,,,,,
868,CARLSBAD NM,BASE STR Supercenter,,,,,,,,,,
869,ALAMOSA CO,BASE STR Supercenter,,,,,,,,,,
872,PEARLAND TX,BASE STR Supercenter,,,,,,,,,,
873,TAOS NM,BASE STR Wal-Mart,,,,,,,,,,
880,IRVING TX,BASE STR Supercenter,,,,,,,,,,
890,ORLANDO (UNION PARK) FL,BASE STR Supercenter,,,,,,,,,,
896,GRAND PRARIE TX,BASE STR Supercenter,,,,,,,,,,
897,FT STOCKTON TX,BASE STR Supercenter,,,,,,,,,,
898,PECOS TX,BASE STR Wal-Mart,,,,,,,,,,
900,CHILDRESS TX,BASE STR Supercenter,,,,,,,,,,
901,SEGUIN TX,BASE STR Supercenter,,,,,,,,,,
905,LONGMONT CO,BASE STR Supercenter,,,,,,,,,,
908,ORLANDO (SW) FL,BASE STR Supercenter,,,,,,,,,,
913,DECORAH IA,BASE STR Supercenter,,,,,,,,,,
915,STAFFORD/MISSOURI CITY TX,BASE STR Supercenter,,,,,,,,,,
917,BRADY TX,BASE STR Supercenter,,,,,,,,,,
927,PLAINVIEW TX,BASE STR Supercenter,,,,,,,,,,
939,WACO TX,BASE STR Supercenter,,,,,,,,,,
940,"WESTWORTH VILLAGE, TX",BASE STR Supercenter,,,,,,,,,,
945,LUBBOCK TX (W),BASE STR Supercenter,,,,,,,,,,
951,HEMPSTEAD TX,BASE STR Wal-Mart,,,,,,,,,,
962,TRINIDAD CO,BASE STR Supercenter,,,,,,,,,,
964,EL PASO (S) TX,BASE STR Supercenter,,,,,,,,,,
972,LAKE WORTH TX,BASE STR Supercenter,,,,,,,,,,
980,GREELEY CO,BASE STR Supercenter,,,,,,,,,,
989,METAIRIE LA,BASE STR Supercenter,,,,,,,,,,
999,SAN ANTONIO RAY ELLISON &,BASE STR Supercenter,,,,,,,,,,
1000,BROWNSVILLE TX,BASE STR Supercenter,,,,,,,,,,
1001,"PUEBLO, CO",BASE STR Supercenter,,,,,,,,,,
1015,"EL PASO, TX",BASE STR Supercenter,,,,,,,,,,
1020,ALBERT LEA MN,BASE STR Supercenter,,,,,,,,,,
1022,TYLER (W) TX,BASE STR Supercenter,,,,,,,,,,
1040,HOUSTON (SPENCER) TX,BASE STR Supercenter,,,,,,,,,,
1041,WESLACO TX,BASE STR Supercenter,,,,,,,,,,
1042,BASTROP TX,BASE STR Supercenter,,,,,,,,,,
1046,CARRIZO SPRINGS TX,BASE STR Wal-Mart,,,,,,,,,,
1051,LEVELLAND TX,BASE STR Supercenter,,,,,,,,,,
1062,WEBSTER TX,BASE STR Supercenter,,,,,,,,,,
1078,BALLINGER TX,BASE STR Wal-Mart,,,,,,,,,,
1084,ORLANDO FL,BASE STR Wal-Mart,,,,,,,,,,
1086,SAINT CLOUD FL,BASE STR Supercenter,,,,,,,,,,
1093,RANTOUL IL,BASE STR Supercenter,,,,,,,,,,
1098,PORT LAVACA TX,BASE STR Supercenter,,,,,,,,,,
1118,BALCH SPRINGS TX,BASE STR Supercenter,,,,,,,,,,
1137,HOUSTON (UVALDE) TX,BASE STR Supercenter,,,,,,,,,,
1149,"SAFFORD, AZ",BASE STR Supercenter,,,,,,,,,,
1185,AUSTIN (N) TX,BASE STR Supercenter,,,,,,,,,,
1198,SAN ANTONIO (N) TX,BASE STR Supercenter,,,,,,,,,,
1199,AVON CO,BASE STR Supercenter,,,,,,,,,,
1200,COLORADO SPRINGS CO,BASE STR Supercenter,,,,,,,,,,
1211,HARVARD IL,BASE STR Supercenter,,,,,,,,,,
1216,CARROLLTON TX,BASE STR Supercenter,,,,,,,,,,
1218,CASA GRANDE AZ,BASE STR Supercenter,,,,,,,,,,
1231,THORNTON CO,BASE STR Supercenter,,,,,,,,,,
1235,SAN ANTONIO TX,BASE STR Supercenter,,,,,,,,,,
1249,"SAN ANGELO, TX",BASE STR Supercenter,,,,,,,,,,
1253,AUSTIN (S) TX,BASE STR Supercenter,,,,,,,,,,
1256,JOLIET IL,BASE STR Supercenter,,,,,,,,,,
1272,SNYDER TX,BASE STR Supercenter,,,,,,,,,,
1279,HOUSTON TX,BASE STR Supercenter,,,,,,,,,,
1296,SAN BENITO TX,BASE STR Supercenter,,,,,,,,,,
1306,ALAMOGORDO NM,BASE STR Supercenter,,,,,,,,,,
1313,SAN ANTONIO (S) TX,BASE STR Supercenter,,,,,,,,,,
1324,NOGALES AZ,BASE STR Supercenter,,,,,,,,,,
1325,TUCSON (N) AZ,BASE STR Wal-Mart,,,,,,,,,,
1329,LOGANSPORT IN,BASE STR Supercenter,,,,,,,,,,
1332,"SOUTH SIOUX CITY, NE",BASE STR Supercenter,,,,,,,,,,
1347,SAN ANTONIO (E) TX,BASE STR Supercenter,,,,,,,,,,
1357,SILVER CITY NM,BASE STR Supercenter,,,,,,,,,,
1378,"GOSHEN (S), IN",BASE STR Supercenter,,,,,,,,,,
1380,LAS VEGAS NM,BASE STR Supercenter,,,,,,,,,,
1384,LA JUNTA CO,BASE STR Supercenter,,,,,,,,,,
1405,"BAY CITY, TX",BASE STR Supercenter,,,,,,,,,,
1409,HOUSTON TX,BASE STR Supercenter,,,,,,,,,,
1414,BELEN NM,BASE STR Supercenter,,,,,,,,,,
1420,STREAMWOOD IL,BASE STR Supercenter,,,,,,,,,,
1436,"GREENACRES CITY, FL",BASE STR Supercenter,,,,,,,,,,
1437,GUYMON OK,BASE STR Supercenter,,,,,,,,,,
1439,"WASHINGTON CITY, UTAH",BASE STR Supercenter,,,,,,,,,,
1446,RICE LAKE WI,BASE STR Supercenter,,,,,,,,,,
1451,BEARDSTOWN IL,BASE STR Supercenter,,,,,,,,,,
1453,GREEN BAY WI,BASE STR Supercenter,,,,,,,,,,
1470,WILLMAR MN,BASE STR Supercenter,,,,,,,,,,
1474,YUMA AZ,BASE STR Supercenter,,,,,,,,,,
1482,TAMPA (W)FL,BASE STR Wal-Mart,,,,,,,,,,
1490,ROCKFORD IL,BASE STR Supercenter,,,,,,,,,,
1492,AURORA CO,BASE STR Supercenter,,,,,,,,,,
1494,CORPUS CHRISTI TX,BASE STR Supercenter,,,,,,,,,,
1510,FLORENCE KY,BASE STR Supercenter,,,,,,,,,,
1511,MIRAMAR FL,BASE STR Supercenter,,,,,,,,,,
1512,CHANDLER AZ,BASE STR Supercenter,,,,,,,,,,
1516,BORGER TX,BASE STR Supercenter,,,,,,,,,,
1526,STORM LAKE IA,BASE STR Supercenter,,,,,,,,,,
1531,CARPENTERSVILLE IL,BASE STR Supercenter,,,,,,,,,,
1533,PEORIA AZ,BASE STR Supercenter,,,,,,,,,,
1549,PHOENIX (W) AZ,BASE STR Supercenter,,,,,,,,,,
1551,FRANKLIN WI,BASE STR Supercenter,,,,,,,,,,
1554,STOCKTON CA,BASE STR Supercenter,,,,,,,,,,
1555,EL CENTRO CA,BASE STR Supercenter,,,,,,,,,,
1559,LAS VEGAS (NE) NV,BASE STR Wal-Mart,,,,,,,,,,
1563,LANCASTER CA,BASE STR Supercenter,,,,,,,,,,
1566,GOSHEN IN,BASE STR Supercenter,,,,,,,,,,
1574,BAKERSFIELD (S) CA,BASE STR Supercenter,,,,,,,,,,
1578,ROSWELL GA,BASE STR Supercenter,,,,,,,,,,
1583,MADERA CA,BASE STR Wal-Mart,,,,,,,,,,
1587,MODESTO CA,BASE STR Wal-Mart,,,,,,,,,,
1588,VICTORVILLE CA,BASE STR Supercenter,,,,,,,,,,
1590,"HIALEAH, FL",BASE STR Supercenter,,,,,,,,,,
1596,BOLINGBROOK IL,BASE STR Supercenter,,,,,,,,,,
1612,TUCSON (S) AZ,BASE STR Supercenter,,,,,,,,,,
1615,PITTSBURG CA,BASE STR Wal-Mart,,,,,,,,,,
1624,BAKERSFIELD (NE) CA,BASE STR Supercenter,,,,,,,,,,
1635,WAUKESHA WI,BASE STR Supercenter,,,,,,,,,,
1643,FOND DU LAC WI,BASE STR Supercenter,,,,,,,,,,
1645,HANFORD CA,BASE STR Supercenter,,,,,,,,,,
1651,"AMERICAN CANYON, CA",BASE STR Supercenter,,,,,,,,,,
1657,FARIBAULT MN,BASE STR Supercenter,,,,,,,,,,
1659,BRIGHTON CO,BASE STR Supercenter,,,,,,,,,,
1660,PALMDALE CA,BASE STR Supercenter,,,,,,,,,,
1677,"NEW HARTFORD, NY",BASE STR Supercenter,,,,,,,,,,
1680,KENDALL FL,BASE STR Supercenter,,,,,,,,,,
1692,COLTON CA,BASE STR Supercenter,,,,,,,,,,
1693,REDLANDS CA,BASE STR Wal-Mart,,,,,,,,,,
1697,ELK GROVE CA,BASE STR Wal-Mart,,,,,,,,,,
1704,VACAVILLE CA,BASE STR Supercenter,,,,,,,,,,
1723,"DES MOINES, IA",BASE STR Supercenter,,,,,,,,,,
1728,ANDERSON IN,BASE STR Supercenter,,,,,,,,,,
1732,DENISON IA,BASE STR Supercenter,,,,,,,,,,
1745,RICHMOND IN,BASE STR Supercenter,,,,,,,,,,
1746,TEMPE AZ,BASE STR Supercenter,,,,,,,,,,
1756,FONTANA CA,BASE STR Wal-Mart,,,,,,,,,,
1784,SALEM OR,BASE STR Supercenter,,,,,,,,,,
1789,LODI CA,BASE STR Supercenter,,,,,,,,,,
1793,WOODBURN OR,BASE STR Supercenter,,,,,,,,,,
1800,GARLAND TX,BASE STR Supercenter,,,,,,,,,,
1803,SAN ANTONIO NACOGDOCHES &,BASE STR Supercenter,,,,,,,,,,
1805,LAQUINTA CA,BASE STR Supercenter,,,,,,,,,,
1814,ELGIN IL,BASE STR Supercenter,,,,,,,,,,
1815,FRESNO CA,BASE STR Supercenter,,,,,,,,,,
1817,HERMISTON OR,BASE STR Supercenter,,,,,,,,,,
1825,MANASSAS VA,BASE STR Supercenter,,,,,,,,,,
1826,VISALIA CA,BASE STR Supercenter,,,,,,,,,,
1832,"CATHEDRAL CITY, CA",BASE STR Supercenter,,,,,,,,,,
1837,HUMBLE TX,BASE STR Supercenter,,,,,,,,,,
1840,MANTECA CA,BASE STR Supercenter,,,,,,,,,,
1845,"COOPER CITY (DAVIE), FL",BASE STR Supercenter,,,,,,,,,,
1846,DOUGLAS AZ,BASE STR Supercenter,,,,,,,,,,
1853,HEMET CA,BASE STR Supercenter,,,,,,,,,,
1859,"CALEXICO, CA",BASE STR Supercenter,,,,,,,,,,
1876,"HOOD RIVER, OR",BASE STR Wal-Mart,,,,,,,,,,
1877,"PORTERVILLE, CA",BASE STR Wal-Mart,,,,,,,,,,
1879,"BARSTOW, CA",BASE STR Supercenter,,,,,,,,,,
1881,SACRAMENTO (NW) CA,BASE STR Supercenter,,,,,,,,,,
1882,"SELMA, CA",BASE STR Supercenter,,,,,,,,,,
1892,"HODGKINS,IL",BASE STR Supercenter,,,,,,,,,,
1899,"RIVERSIDE (E), CA",BASE STR Supercenter,,,,,,,,,,
1900,"BURLEY, ID",BASE STR Supercenter,,,,,,,,,,
1903,"YUBA CITY, CA",BASE STR Supercenter,,,,,,,,,,
1908,"GREENBAY (E), WI",BASE STR Supercenter,,,,,,,,,,
1912,"CORONA, CA",BASE STR Supercenter,,,,,,,,,,
1914,"SAN BERNARDINO, CA",BASE STR Supercenter,,,,,,,,,,
1922,"RANCHO CUCAMONGA, CA",BASE STR Wal-Mart,,,,,,,,,,
1933,"NORTHLAKE, IL",BASE STR Wal-Mart,,,,,,,,,,
1938,"BEDFORD PARK, IL",BASE STR Supercenter,,,,,,,,,,
1941,"GLENDORA, CA",BASE STR Supercenter,,,,,,,,,,
1951,"ONTARIO, OR",BASE STR Supercenter,,,,,,,,,,
1958,"RIO GRANDE CITY, TX",BASE STR Supercenter,,,,,,,,,,
1963,"TURLOCK, CA",BASE STR Wal-Mart,,,,,,,,,,
1971,"ROCHESTER, MN",BASE STR Supercenter,,,,,,,,,,
1983,"CERES (MODESTO SE), CA",BASE STR Supercenter,,,,,,,,,,
1989,"LOMPOC, CA",BASE STR Supercenter,,,,,,,,,,
1992,"UPLAND, CA",BASE STR Wal-Mart,,,,,,,,,,
1996,"HALLANDALE, FL",BASE STR Supercenter,,,,,,,,,,
2002,"GILROY, CA",BASE STR Supercenter,,,,,,,,,,
2003,"NORTH BRUNSWICK, NJ",BASE STR Supercenter,,,,,,,,,,
2007,"MOSES LAKE, WA",BASE STR Supercenter,,,,,,,,,,
2025,"TRACY, CA",BASE STR Supercenter,,,,,,,,,,
2028,"RIVERSIDE (S), CA",BASE STR Supercenter,,,,,,,,,,
2031,"UNION CITY, CA",BASE STR Wal-Mart,,,,,,,,,,
2032,"OXNARD, CA",BASE STR Supercenter,,,,,,,,,,
2039,"MERCED, CA",BASE STR Wal-Mart,,,,,,,,,,
2048,"FAIRFIELD, CA",BASE STR Supercenter,,,,,,,,,,
2052,"UKIAH, CA",BASE STR Wal-Mart,,,,,,,,,,
2053,"WILLOWS, CA",BASE STR Supercenter,,,,,,,,,,
2066,"HOUSTON, TX",BASE STR Supercenter,,,,,,,,,,
2077,"LAKE ELSINORE, CA",BASE STR Supercenter,,,,,,,,,,
2082,"CERRITOS, CA",BASE STR Supercenter,,,,,,,,,,
2091,"MIAMI (AIRPORT), FL",BASE STR Supercenter,,,,,,,,,,
2093,"UTICA, NY",BASE STR Supercenter,,,,,,,,,,
2094,"VISTA, CA",BASE STR Supercenter,,,,,,,,,,
2098,"COLUMBUS, OH (NE)",BASE STR Supercenter,,,,,,,,,,
2099,"PASO ROBLES, CA EF",BASE STR Wal-Mart,,,,,,,,,,
2101,"KENNEWICK, WA",BASE STR Supercenter,,,,,,,,,,
2105,"FARMERS BRANCH, TX",BASE STR Supercenter,,,,,,,,,,
2106,"RENO (N), NV",BASE STR Supercenter,,,,,,,,,,
2113,"PHOENIX, AZ",BASE STR Supercenter,,,,,,,,,,
2117,"LOS BANOS (MERCED), CA EF",BASE STR Supercenter,,,,,,,,,,
2125,"LAKEWOOD, CO",BASE STR Supercenter,,,,,,,,,,
2139,"LYNN, MA",BASE STR Wal-Mart,,,,,,,,,,
2150,"SAN DIEGO (S), CA EF",BASE STR Wal-Mart,,,,,,,,,,
2151,"SUNRISE, FL",BASE STR Supercenter,,,,,,,,,,
2187,"WENATCHEE, WA",BASE STR Supercenter,,,,,,,,,,
2189,"RENO (S), NV",BASE STR Supercenter,,,,,,,,,,
2190,"WOODLAND, CA",BASE STR Wal-Mart,,,,,,,,,,
2198,"BLOOMINGTON, MN",BASE STR Supercenter,,,,,,,,,,
2223,"WESTMINSTER, CO",BASE STR Supercenter,,,,,,,,,,
2237,"LEHIGH ACRES, FL",BASE STR Supercenter,,,,,,,,,,
2239,"SAN ANTONIO (W), TX",BASE STR Supercenter,,,,,,,,,,
2241,"SUNNYSIDE, WA",BASE STR Supercenter,,,,,,,,,,
2242,"ANAHEIM, CA",BASE STR Supercenter,,,,,,,,,,
2245,"OCEANSIDE (E), CA",BASE STR Supercenter,,,,,,,,,,
2251,"CITY OF INDUSTRY, CA",BASE STR Supercenter,,,,,,,,,,
2257,"HOUSTON, TX",BASE STR Supercenter,,,,,,,,,,
2269,"YAKIMA,  WA",BASE STR Supercenter,,,,,,,,,,
2277,"CLOVIS, CA",BASE STR Supercenter,,,,,,,,,,
2288,"POMONA, CA",BASE STR Wal-Mart,,,,,,,,,,
2291,CHULA VISTA (W) CA,BASE STR Wal-Mart,,,,,,,,,,
2292,"COVINA, CA",BASE STR Supercenter,,,,,,,,,,
2297,"STEVENSON RANCH, CA",BASE STR Wal-Mart,,,,,,,,,,
2333,APPLE VALLEY CA,BASE STR Wal-Mart,,,,,,,,,,
2334,"LANCASTER, PA",BASE STR Supercenter,,,,,,,,,,
2335,"MADISON, WI (E)",BASE STR Supercenter,,,,,,,,,,
2388,"PORTLAND, IN",BASE STR Supercenter,,,,,,,,,,
2401,"DUARTE, CA",BASE STR Wal-Mart,,,,,,,,,,
2404,"SAN ANTONIO, TX",BASE STR Supercenter,,,,,,,,,,
2421,"ST CROIX FALLS, WI",BASE STR Supercenter,,,,,,,,,,
2426,"COLUMBUS (SW), OH",BASE STR Supercenter,,,,,,,,,,
2427,"DALLAS, TX",BASE STR Supercenter,,,,,,,,,,
2434,"IRON MOUNTAIN, MI",BASE STR Supercenter,,,,,,,,,,
2439,BAYTOWN TX,BASE STR Supercenter,,,,,,,,,,
2458,"SALINAS, CA",BASE STR Supercenter,,,,,,,,,,
2464,SACRAMENTO DELTA SHORES C,BASE STR Supercenter,,,,,,,,,,
2479,"SAN DIEGO, CA",BASE STR Supercenter,,,,,,,,,,
2482,"MESA (W), AZ",BASE STR Supercenter,,,,,,,,,,
2494,"OCEANSIDE (WEST), CA",BASE STR Supercenter,,,,,,,,,,
2495,WESTMINSTER CA,BASE STR Wal-Mart,,,,,,,,,,
2507,"SANTA MARIA, CA",BASE STR Wal-Mart,,,,,,,,,,
2515,"PHOENIX (E), AZ",BASE STR Supercenter,,,,,,,,,,
2516,"RENTON, WA",BASE STR Supercenter,,,,,,,,,,
2517,"SANTA ANA, CA",BASE STR Supercenter,,,,,,,,,,
2523,"BREA, CA",BASE STR Wal-Mart,,,,,,,,,,
2526,"PORTER RANCH, CA",BASE STR Supercenter,,,,,,,,,,
2536,"TULARE, CA",BASE STR Wal-Mart,,,,,,,,,,
2546,"ORANGE, CA",BASE STR Wal-Mart,,,,,,,,,,
2550,"VANCOUVER (E),WA",BASE STR Supercenter,,,,,,,,,,
