STORE,market_nbr,Region_nbr,Effective Week,D3 C70 Moving Ftg,D3 C231 Soho Ftg,D12 C72 Moving Ftg,D12 Flooring Ftg
490,78,6,37,0,20,16,0
491,253,41,37,0,20,20,0
492,580,41,37,24,0,0,0
493,260,41,37,24,0,0,0
494,16,14,37,0,20,28,0
495,138,11,37,0,12,8,0
497,242,41,37,24,0,0,0
498,134,13,37,0,12,20,0
499,344,44,37,0,20,24,8
500,505,7,37,0,20,32,8
501,141,13,37,0,20,16,0
502,129,13,37,28,0,0,0
503,84,6,37,8,0,0,0
504,61,6,37,0,20,12,0
505,134,13,37,0,20,8,0
506,272,40,37,0,12,16,0
507,260,41,37,0,20,20,0
508,506,7,37,0,20,16,0
510,21,2,37,0,20,16,0
511,38,4,37,0,12,20,0
512,505,7,37,0,20,16,0
513,73,7,37,0,20,8,0
514,39,4,37,0,20,20,0
515,18,2,37,0,12,24,0
516,45,5,37,0,20,20,0
517,353,44,37,0,20,12,0
518,24,2,37,0,20,8,0
519,260,41,37,0,20,16,0
520,21,2,37,0,20,20,0
521,66,13,37,0,20,24,0
522,60,6,37,0,12,20,0
523,46,13,37,0,12,12,0
524,84,6,37,0,12,20,0
526,242,41,37,0,12,20,0
527,61,6,37,0,20,32,0
528,115,9,37,0,20,16,0
529,61,6,37,0,20,24,0
530,327,42,37,0,20,8,0
531,132,13,37,0,20,20,8
532,130,13,37,0,20,16,0
533,132,13,37,0,12,20,0
535,74,7,37,0,20,28,0
536,74,7,37,0,20,32,0
537,73,7,37,0,12,32,0
538,93,3,37,0,20,28,0
539,134,13,37,0,20,32,0
540,129,13,37,0,20,20,8
541,128,13,37,0,20,32,0
542,129,13,37,0,20,20,0
543,132,13,37,0,12,8,0
544,353,44,37,0,20,28,0
545,258,20,37,8,0,0,0
546,62,6,37,0,20,32,0
547,114,3,37,0,20,16,8
548,25,2,37,0,20,0,0
549,71,7,37,0,12,16,8
550,273,25,37,0,12,20,0
551,93,3,37,0,20,20,0
552,258,20,37,0,8,20,0
553,125,13,37,0,12,20,0
554,88,7,37,0,20,16,0
555,32,2,37,0,20,32,8
556,28,3,37,0,20,20,0
557,407,47,37,0,20,8,0
558,407,47,37,0,20,20,0
559,418,52,37,0,20,20,0
560,360,40,37,0,20,8,0
561,76,5,37,0,12,8,0
562,2,14,37,0,12,12,0
563,94,3,37,0,20,32,0
564,344,44,37,0,12,20,0
565,55,5,37,0,20,8,0
566,580,41,37,0,20,16,0
567,85,6,37,12,0,0,0
568,152,12,37,24,0,0,0
569,257,41,37,0,20,24,8
571,260,41,37,0,20,8,0
572,46,13,37,0,20,20,0
573,361,40,37,32,0,0,0
574,37,4,37,0,20,32,0
575,26,2,37,0,20,20,0
576,345,44,37,0,20,24,0
577,362,40,37,0,20,32,0
578,123,12,37,0,20,16,0
579,94,3,37,0,12,28,0
580,116,9,37,0,20,12,0
581,414,52,37,0,20,16,0
582,94,3,37,0,12,20,0
583,121,12,37,0,12,16,0
584,260,41,37,0,20,8,0
585,42,4,37,0,0,16,0
586,37,4,37,0,12,24,0
587,152,12,37,0,12,12,0
588,27,3,37,0,20,20,0
589,256,41,37,0,20,12,0
590,48,5,37,0,20,24,0
591,259,21,37,0,12,24,0
592,406,47,37,0,20,28,0
593,28,3,37,0,20,16,0
594,19,2,37,0,12,8,0
595,569,6,37,0,20,8,0
596,271,41,37,20,0,0,0
598,429,47,37,0,20,16,0
599,124,12,37,0,12,8,0
600,70,7,37,0,12,8,0
601,74,7,37,0,20,24,0
602,68,13,37,0,20,28,0
603,278,25,37,0,20,28,0
604,7,14,37,0,20,28,0
605,29,4,37,0,20,20,0
606,29,4,37,0,12,12,0
607,349,44,37,0,12,12,0
608,73,7,37,32,0,0,0
609,275,25,37,0,20,28,0
610,76,5,37,0,20,28,8
611,387,46,37,0,12,32,8
612,273,25,37,0,20,24,0
613,94,3,37,0,12,24,0
614,16,14,37,0,20,24,0
615,22,2,37,0,20,8,0
616,38,4,37,0,20,20,0
617,580,41,37,8,0,0,0
618,26,2,37,0,20,32,0
619,119,12,37,0,20,16,0
620,124,12,37,0,20,8,0
621,37,4,37,0,12,20,0
622,344,44,37,0,20,28,8
623,118,9,37,0,20,20,0
624,39,4,37,0,20,0,0
625,37,4,37,0,12,20,0
626,73,7,37,0,12,8,0
627,38,4,37,0,20,20,8
628,36,4,37,0,20,20,0
629,42,4,37,0,20,20,8
630,38,4,37,0,20,12,0
631,35,4,37,0,20,12,0
632,36,4,37,0,20,20,0
633,279,25,37,0,12,16,0
634,38,4,37,0,12,28,0
635,29,4,37,0,20,24,0
636,279,25,37,0,12,20,0
