Store Number,Raft Quantity
1136,20
1139,18
1141,3
1146,20
1149,7
1150,3
1151,2
1155,1
1156,15
1157,1
1159,8
1160,5
1163,20
1164,3
1166,1
1171,20
1172,20
1173,20
1179,10
1180,5
1182,20
1183,7
1184,4
1185,1
1187,2
1189,10
1191,7
1195,20
1196,2
1198,2
1199,3
1202,3
1203,20
1204,20
1206,20
1207,20
1209,7
1210,1
1212,20
1213,20
1217,10
1218,6
1219,20
1221,5
1222,20
1224,20
1225,20
1226,2
1230,3
1231,5
1232,1
1233,3
1234,1
1237,3
1239,20
1240,14
1241,1
1242,2
1243,4
1244,7
1247,6
1252,5
1259,18
1260,1
1266,20
1270,1
1273,5
1276,5
1277,4
1280,6
1284,2
1285,4
1288,4
1289,8
1290,1
1292,5
1295,1
1296,20
1297,20
1298,20
1300,20
1301,2
1304,7
1306,4
1309,12
1316,8
1317,7
1318,9
1319,2
1320,2
1321,3
1322,1
1331,2
1334,17
1335,4
1336,5
1337,2
1342,20
1344,8
1346,20
1348,20
1349,20
1350,1
1351,8
1353,20
1354,20
1355,20
1357,6
1358,20
1359,20
1360,10
1361,4
1362,20
1363,1
1364,10
1366,16
1368,4
1370,20
1371,1
1374,3
1375,1
1379,20
1380,2
1381,12
1383,20
1384,2
1387,20
1388,7
1390,20
1391,20
1392,20
1396,3
1398,20
1405,20
1406,7
1407,5
1410,5
1414,6
1415,20
1422,7
1424,8
1426,1
1427,3
1429,2
1432,7
1436,20
1438,4
1439,4
1440,7
1441,2
1442,4
1443,6
1444,20
1445,3
1446,8
1447,20
1449,3
1450,4
1453,6
1457,3
1460,1
1461,9
1463,14
1466,6
1468,1
1469,4
1472,7
1473,7
1476,1
1477,12
1478,2
1482,20
1485,1
1494,20
1499,5
1500,7
1501,20
1505,7
1507,3
1508,2
1510,2
1511,20
1512,6
1513,20
1514,2
1516,4
1517,20
1519,10
1522,1
1525,7
1526,4
1527,20
1533,17
1534,7
1535,9
1536,20
1538,6
1540,5
1541,20
1542,11
1543,7
1544,6
1552,2
1554,5
1555,6
1560,14
1563,9
1564,2
1565,7
1567,3
1568,5
1569,3
1572,8
1573,6
1575,10
1577,2
1578,2
1579,2
1583,6
1587,3
1588,6
1589,20
1590,20
1591,4
1592,7
1593,6
1594,3
1595,2
1597,6
1598,3
1605,20
1607,1
1609,13
1610,9
1611,10
1612,6
1615,1
1616,3
1617,1
1619,7
1620,4
1622,2
1623,7
1624,12
1625,3
1627,3
1628,5
1629,1
1630,1
1632,13
1633,6
1634,16
1636,13
1638,1
1641,20
1642,7
1644,11
1648,16
1649,4
1652,1
1653,2
1654,6
1655,1
1656,8
1659,2
1660,3
1661,20
1663,6
1664,5
1665,1
1669,4
1672,4
1673,3
1674,6
1679,4
1680,20
1682,3
1685,8
1687,5
1694,10
1701,6
1702,20
1703,6
1704,10
1705,6
1707,4
1708,20
1712,20
1714,6
1719,12
1724,1
1729,1
1730,4
1733,8
1739,7
1741,8
1743,10
1744,1
1748,20
1749,10
1751,10
1752,5
1754,16
1755,4
1757,1
1760,1
1762,4
1763,4
1764,1
1765,11
1767,20
1769,10
1770,2
1771,4
1772,19
1775,12
1781,8
1782,4
1783,3
1784,6
1785,4
1788,7
1789,20
1790,12
1791,12
1792,4
1794,7
1795,3
1797,1
1798,2
1799,8
1800,6
1806,10
1807,2
1809,4
1815,13
1817,4
1819,10
1823,10
1826,4
1830,9
1833,5
1835,1
1836,4
1839,4
1841,7
1843,7
1844,2
1845,20
1850,10
1851,20
1856,3
1859,12
1861,4
1866,7
1867,6
1871,7
1872,5
1874,20
1875,3
1876,10
1878,15
1880,9
1881,3
1884,3
1885,5
1887,4
1888,5
1900,12
1901,4
1902,4
1903,2
1904,10
1905,13
1907,8
1909,3
1910,4
1912,4
1916,20
1917,7
1920,13
1921,16
1923,6
1924,12
1926,1
1930,3
1931,7
1932,6
1934,2
1935,5
1936,7
1937,7
1939,1
1940,7
1941,3
1942,13
1943,1
1945,4
1946,10
1947,1
1948,1
1951,18
1953,3
1954,10
1956,6
1957,20
1959,9
1960,20
1961,2
1962,4
1963,5
1965,10
1966,2
1967,4
1968,20
1971,8
1972,5
1973,4
1975,4
1978,11
1979,5
1980,2
1981,7
1983,8
1984,6
1985,1
1986,2
1987,6
1988,12
1990,2
1993,8
1994,2
1995,14
1996,20
1999,5
2000,20
2002,2
2005,2
2006,13
2007,5
2008,1
2010,7
2013,7
2014,5
2016,7
2019,10
2023,5
2024,4
2025,13
2027,18
2030,4
2037,8
2039,9
2043,7
2044,9
2047,4
2048,5
2049,2
2050,3
2052,9
2053,4
2054,7
2056,7
2057,2
2058,2
2059,5
2061,6
2063,1
2064,7
2065,3
2068,10
2069,9
2071,20
2074,5
2075,10
2078,7
2080,16
2081,20
2083,4
2084,19
2088,6
2089,3
2090,4
2091,20
2093,5
2095,5
2099,7
2100,10
2101,6
2102,7
2104,1
2107,9
2108,17
2112,14
2115,4
2116,5
2120,4
2121,10
2132,20
2135,2
2136,4
2138,4
2140,20
2143,7
2144,4
2145,4
2146,4
2149,12
2150,1
2151,20
2153,7
2154,3
2156,4
2159,12
2163,4
2164,5
2166,9
2167,9
2169,4
2174,2
2176,20
2178,4
2183,7
2185,2
2187,6
2188,15
2189,10
2190,6
2196,20
2197,7
2199,1
2202,3
2205,8
2208,3
2209,4
2213,2
2214,9
2222,13
2224,1
2228,7
2230,14
2233,10
2234,8
2237,20
2238,7
2239,7
2242,7
2243,10
2244,3
2249,6
2252,14
2255,5
2256,3
2259,7
2262,1
2263,3
2265,8
2269,4
2270,1
2271,4
2273,3
2274,3
2275,1
2278,3
2283,4
2284,2
2285,2
2287,2
2288,7
2289,7
2291,6
2297,3
2307,9
2310,11
2311,17
2313,5
2315,7
2317,7
2318,8
2325,18
2326,4
2329,4
2330,4
2332,7
2335,10
2336,4
2337,9
2338,10
2348,20
2351,7
2352,6
2357,10
2358,12
2359,5
2361,8
2365,6
2367,4
2368,4
2369,4
2385,1
2386,3
2387,20
2399,8
2400,5
2402,7
2403,12
2404,1
2405,4
2412,7
2417,10
2418,7
2419,3
2422,14
2424,7
2434,6
2435,10
2436,3
2438,2
2439,20
2440,10
2441,2
2443,3
2444,10
2446,3
2448,1
2450,12
2453,3
2459,20
2464,3
2469,3
2474,3
2476,4
2479,7
2480,10
2481,4
2485,3
2494,14
2496,7
2497,4
2502,5
2503,5
2504,1
2507,11
2508,20
2510,9
2511,3
2512,20
2514,2
2518,2
2520,7
2522,7
2528,7
2529,6
2530,1
2531,7
2533,20
2535,13
2537,4
2538,4
2539,16
2540,7
2541,3
2543,7
2545,12
2546,4
2547,4
2548,7
2549,20
2550,11
2553,2
2557,13
2560,18
2561,2
2566,11
2567,3
2571,7
2572,1
2574,4
2576,16
2581,7
2582,7
2585,9
2587,4
2591,20
2593,8
2595,14
2597,7
2598,5
2603,5
2604,4
2605,8
2607,7
2610,10
2611,5
2614,5
2619,5
2620,4
2627,20
2628,1
2637,20
2638,1
2639,7
2645,1
2647,6
2652,2
2662,3
2664,8
2665,20
2672,1
2674,1
2682,4
2683,2
2684,3
2692,10
2693,9
2696,9
2702,1
2704,6
2705,1
2706,20
2708,6
2712,20
2715,20
2720,1
2724,20
2725,8
2727,20
2729,5
2732,3
2735,7
2740,20
2748,20
2749,10
2753,12
2757,1
2758,4
2761,1
2762,14
2763,20
2765,20
2767,9
2772,20
2777,3
2780,9
2781,10
2782,8
2789,20
2790,3
2793,7
2794,7
2795,8
2796,20
2805,4
2806,9
2807,3
2813,10
2814,20
2821,5
2822,20
2823,5
2831,14
2832,20
2833,3
2834,2
2842,7
2844,3
2845,4
2847,3
2850,1
2853,1
2856,2
2857,1
2860,20
2861,6
2862,10
2865,6
2882,4
2884,4
2885,2
2894,3
2901,5
2906,1
2908,1
2909,2
2910,8
2911,10
2913,20
2914,5
2920,20
2921,3
2922,7
2923,1
2924,2
2925,5
2927,14
2928,20
2933,10
2937,5
2938,20
2946,20
2947,11
2950,5
2952,8
2958,2
2962,20
2963,20
2966,6
2980,4
2987,20
2988,1
2989,4
2991,8
2992,3
2994,3
3017,3
3018,9
3057,2
3058,1
3075,20
3081,6
3093,10
3102,7
3119,20
3163,20
3167,20
3177,10
3191,10
3197,20
3200,4
3208,10
3209,4
3214,4
3215,10
3216,3
3219,7
3221,11
3222,2
3223,5
3228,6
3230,6
3232,15
3233,7
3234,4
3235,20
3239,14
3241,2
3243,7
3247,1
3251,5
3253,4
3258,14
3259,9
3261,7
3265,1
3266,2
3268,7
3269,3
3270,2
3276,3
3277,9
3279,1
3281,4
3282,15
3283,1
3288,20
3289,19
3293,5
3294,2
3297,4
3298,20
3304,4
3305,3
3307,20
3308,20
3309,20
3311,20
3313,4
3320,20
3324,14
3328,1
3331,1
3332,4
3334,5
3337,8
3339,13
3342,4
3347,1
3348,20
3349,20
3350,10
3352,11
3363,1
3367,20
3370,20
3372,20
3379,3
3380,4
3381,1
3382,1
3383,2
3387,20
3395,5
3397,20
3412,10
3415,20
3417,20
3418,20
3427,1
3428,4
3439,20
3443,10
3454,15
3458,9
3464,8
3472,6
3473,18
3474,20
3481,11
3483,20
3484,20
3485,2
3486,4
3490,7
3492,1
3493,13
3501,4
3502,1
3511,13
3514,4
3516,4
3525,10
3526,20
3527,20
3528,4
3535,6
3537,19
3538,20
3543,4
3549,7
3567,20
3568,18
3569,3
3570,2
3572,20
3580,9
3581,3
3582,1
3583,4
3587,9
3589,12
3591,5
3607,8
3608,2
3612,4
3616,20
3624,6
3625,20
3626,4
3630,6
3633,6
3641,7
3643,1
3644,7
3648,3
3652,12
3658,5
3659,2
3660,3
3700,3
3702,20
3705,5
3708,8
3712,9
3722,4
3731,2
3738,5
3739,6
3742,7
3751,5
3754,20
3761,8
3762,4
3764,2
3765,1
3768,7
3774,19
3778,9
3780,4
3784,2
3785,20
3789,10
3792,2
3794,15
3801,9
3802,3
3825,20
3826,3
3829,5
3830,7
3833,12
3835,2
3838,4
3848,7
3850,13
3852,3
3858,20
3864,20
3868,2
3886,20
3889,7
3894,4
3896,5
3897,1
4063,20
4065,20
4102,5
4108,6
4111,5
4112,20
4115,1
4118,1
4129,20
4131,7
4156,7
4161,20
4162,2
4164,5
4166,2
4176,17
4187,1
4194,20
4195,3
4201,2
4202,14
4203,1
4215,3
4219,9
4223,8
4224,8
4226,2
4237,4
4238,5
4241,3
4243,9
4244,7
4246,4
4247,10
4249,20
4253,4
4258,5
4260,20
4262,2
4273,20
4278,4
4281,1
4303,20
4309,2
4321,4
4325,7
4330,3
4333,20
4334,3
4335,14
4341,7
4352,4
4358,5
4359,2
4374,2
4377,3
4384,20
4389,4
4395,7
4399,7
4403,8
4404,8
4412,4
4416,1
4420,4
4423,11
4427,20
4438,4
4439,3
4440,3
4444,20
4446,20
4460,2
4471,4
4474,13
4476,3
4477,1
4482,1
4483,2
4501,3
4503,4
4520,20
4556,20
4557,4
4570,4
4597,2
4599,3
4601,2
4609,2
4612,6
4615,4
4616,2
4627,1
4635,7
4637,1
4638,2
4643,4
4653,4
4664,20
4678,8
4679,20
4681,20
4683,20
4690,20
4696,4
4849,6
5003,4
5022,20
5027,5
5033,2
5034,20
5035,20
5036,20
5037,20
5041,10
5044,2
5048,14
5054,20
5055,20
5056,20
5057,2
5065,1
5070,2
5071,4
5073,18
5078,13
5079,20
5082,4
5085,8
5087,20
5095,4
5099,19
5105,4
5116,20
5117,4
5123,3
5124,2
5127,2
5130,8
5133,10
5136,2
5140,3
5159,19
5162,5
5165,20
5166,2
5167,7
5168,15
5172,20
5173,2
5200,2
5203,9
5218,20
5219,4
5220,20
5227,7
5232,2
5234,4
5239,7
5240,7
5241,4
5242,12
5245,3
5246,20
5247,4
5252,1
5260,2
5261,4
5264,20
5266,20
5270,7
5273,1
5275,6
5278,3
5281,7
5294,1
5295,3
5296,4
5300,20
5301,20
5311,2
5319,5
5320,5
5325,20
5331,3
5337,10
5342,1
5343,5
5345,4
5347,20
5358,7
5359,1
5368,5
5370,2
5373,1
5374,3
5376,10
5379,9
5388,20
5391,20
5396,4
5397,13
5399,5
5419,2
5424,7
5428,16
5432,1
5433,7
5434,4
5440,6
5449,20
5450,19
5455,20
5458,3
5460,20
5461,7
5469,4
5470,5
5471,6
5472,11
5480,4
5487,3
5489,3
5494,14
5497,1
5498,4
5499,3
5626,1
5628,7
5629,1
5653,20
5671,20
5691,2
5701,6
5705,20
5727,20
5732,4
5735,1
5745,4
5747,6
5763,7
5772,20
5803,1
5808,20
5809,20
5812,10
5814,4
5835,15
5839,3
5841,2
5845,20
5847,7
5848,4
5851,20
5853,13
5854,20
5861,7
5864,1
5869,10
5872,20
5879,1
5882,20
5883,20
5888,4
5893,4
5898,20
5911,20
5912,20
5922,20
5929,9
5932,20
5935,4
5956,11
5964,20
5976,4
5987,6
6173,20
6190,20
6300,3
6370,4
6395,20
6397,20
6467,4
6789,1
6878,1
6887,4
6898,1
6929,4
6931,2
6951,8
6952,11
6978,20
7009,20
7032,4
7087,1
7129,5
7179,20
7181,20
7194,2
7199,7
7238,20
7243,20
7294,6
7301,20
7326,4
