Store,Display/Vehicle,ItemNumber,Item Description,FDC,Quantity Shipped,Full Quantity
3693,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
3693,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
3716,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
3716,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
3751,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3751,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3751,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
3751,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
3751,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
3751,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
3751,Older Student Train,599123523,48PCEX UF AST 12C,6029,0,1
3751,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
3807,8-foot Train,573577801,12PC12CT COLORED PE,6029,0,20
3807,8-foot Train,573577798,6PC24CT PENCILS,6029,0,12
3807,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3807,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
3833,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3833,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3833,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
3833,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
3833,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
3833,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
3833,Older Student Train,599123523,48PCEX UF AST 12C,6029,0,1
3833,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
3861,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3861,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3861,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
3861,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
3861,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
3861,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
3861,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
3883,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
3883,School List Holder,599123827,40PCMINI KIT,6029,0,1
3883,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3883,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
3883,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
3883,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
3883,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
4359,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
4359,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
4359,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
4359,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
4359,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
4359,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
4430,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
4430,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
4430,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
4430,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
4430,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
4430,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
4430,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
4451,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
4451,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
4451,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
4451,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
4451,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
4451,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
4451,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
4474,8-foot Train,599173375,48PCPM PF BLPNT 4CT,6029,0,2
4474,8-foot Train,573577801,12PC12CT COLORED PE,6029,0,20
4474,8-foot Train,573577798,6PC24CT PENCILS,6029,0,12
4474,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
4474,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
4474,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
5186,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
5186,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
5186,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
5186,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
5186,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
5186,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
5186,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
5274,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
5274,School List Holder,599123827,40PCMINI KIT,6029,0,1
5274,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
5274,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
5274,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
5274,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
5274,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
5428,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
5428,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
5428,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
5428,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
5428,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
