Store Nbr,Item Nbr,Item Desc 1,Net Ship Qty,POS Qty,Eligible to Donate
58,599974075,TREAT BAGS,36 ,0 ,36 
58,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
58,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
58,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
58,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
58,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
58,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
58,651304209,GIFT ACESORIES KIT,16 ,0 ,16 
60,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
60,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
60,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
60,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
60,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
60,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
61,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
61,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
61,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
61,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
61,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
61,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
65,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
65,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
65,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
65,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
65,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
65,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
69,599951705,40IN PAWS STRIP WRAP,96 ,0 ,96 
69,599956015,30IN KRAFT DOG WRAP,60 ,0 ,60 
69,599973065,CUB-CAT W GIFT BAG,60 ,0 ,60 
69,599973066,CUB-CAT WFACE BAG,60 ,0 ,60 
69,599973067,CUB-DASHING SNOW BAG,60 ,0 ,60 
69,599973068,CUB-GREEN PRTND BAG,60 ,0 ,60 
69,599973069,CUB-CATFCE PRTND BAG,60 ,0 ,60 
69,599973070,LGSQ-CATFCE TREE BAG,60 ,0 ,60 
69,599973071,LGSQ HPY HOLIDAY BAG,60 ,0 ,60 
69,599973072,XLVG-PRNTDBUCKET BAG,60 ,0 ,60 
69,599974075,TREAT BAGS,36 ,0 ,36 
69,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
69,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
69,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
69,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
69,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
69,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
69,651304209,GIFT ACESORIES KIT,8 ,1 ,7 
70,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
70,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
70,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
70,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
70,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
70,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
74,599951705,40IN PAWS STRIP WRAP,12 ,0 ,12 
74,599956015,30IN KRAFT DOG WRAP,24 ,0 ,24 
74,599973065,CUB-CAT W GIFT BAG,12 ,0 ,12 
74,599973066,CUB-CAT WFACE BAG,12 ,0 ,12 
74,599973067,CUB-DASHING SNOW BAG,12 ,0 ,12 
74,599973068,CUB-GREEN PRTND BAG,12 ,0 ,12 
74,599973069,CUB-CATFCE PRTND BAG,12 ,0 ,12 
74,599973070,LGSQ-CATFCE TREE BAG,12 ,0 ,12 
74,599973071,LGSQ HPY HOLIDAY BAG,12 ,0 ,12 
74,599973072,XLVG-PRNTDBUCKET BAG,12 ,0 ,12 
74,599974075,TREAT BAGS,12 ,0 ,12 
74,651304209,GIFT ACESORIES KIT,8 ,0 ,8 
75,599951705,40IN PAWS STRIP WRAP,12 ,0 ,12 
75,599956015,30IN KRAFT DOG WRAP,12 ,0 ,12 
75,599973065,CUB-CAT W GIFT BAG,24 ,0 ,24 
75,599973066,CUB-CAT WFACE BAG,24 ,0 ,24 
75,599973067,CUB-DASHING SNOW BAG,24 ,0 ,24 
75,599973068,CUB-GREEN PRTND BAG,24 ,0 ,24 
75,599973069,CUB-CATFCE PRTND BAG,24 ,0 ,24 
75,599973070,LGSQ-CATFCE TREE BAG,24 ,0 ,24 
75,599973071,LGSQ HPY HOLIDAY BAG,24 ,0 ,24 
75,599973072,XLVG-PRNTDBUCKET BAG,24 ,0 ,24 
75,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
75,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
75,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
75,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
75,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
75,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
75,651304209,GIFT ACESORIES KIT,16 ,0 ,16 
77,599951705,40IN PAWS STRIP WRAP,48 ,0 ,48 
77,599956015,30IN KRAFT DOG WRAP,36 ,0 ,36 
77,599973065,CUB-CAT W GIFT BAG,12 ,0 ,12 
77,599973066,CUB-CAT WFACE BAG,12 ,0 ,12 
77,599973067,CUB-DASHING SNOW BAG,12 ,0 ,12 
77,599973068,CUB-GREEN PRTND BAG,12 ,0 ,12 
77,599973069,CUB-CATFCE PRTND BAG,12 ,0 ,12 
77,599973070,LGSQ-CATFCE TREE BAG,12 ,0 ,12 
77,599973071,LGSQ HPY HOLIDAY BAG,12 ,0 ,12 
77,599973072,XLVG-PRNTDBUCKET BAG,12 ,0 ,12 
77,599974075,TREAT BAGS,24 ,0 ,24 
77,651304209,GIFT ACESORIES KIT,8 ,0 ,8 
80,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
80,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
80,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
80,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
80,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
80,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
82,599951705,40IN PAWS STRIP WRAP,12 ,0 ,12 
82,599956015,30IN KRAFT DOG WRAP,12 ,0 ,12 
82,599973065,CUB-CAT W GIFT BAG,12 ,0 ,12 
82,599973066,CUB-CAT WFACE BAG,12 ,0 ,12 
82,599973067,CUB-DASHING SNOW BAG,12 ,0 ,12 
82,599973068,CUB-GREEN PRTND BAG,12 ,0 ,12 
82,599973069,CUB-CATFCE PRTND BAG,12 ,0 ,12 
82,599973070,LGSQ-CATFCE TREE BAG,12 ,0 ,12 
82,599973071,LGSQ HPY HOLIDAY BAG,12 ,0 ,12 
82,599973072,XLVG-PRNTDBUCKET BAG,12 ,0 ,12 
82,599974075,TREAT BAGS,24 ,0 ,24 
82,651304209,GIFT ACESORIES KIT,8 ,0 ,8 
85,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
85,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
85,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
85,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
85,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
85,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
86,599951705,40IN PAWS STRIP WRAP,24 ,0 ,24 
86,599956015,30IN KRAFT DOG WRAP,36 ,0 ,36 
86,599973065,CUB-CAT W GIFT BAG,12 ,0 ,12 
86,599973066,CUB-CAT WFACE BAG,12 ,0 ,12 
86,599973067,CUB-DASHING SNOW BAG,12 ,0 ,12 
86,599973068,CUB-GREEN PRTND BAG,12 ,0 ,12 
86,599973069,CUB-CATFCE PRTND BAG,12 ,0 ,12 
86,599973070,LGSQ-CATFCE TREE BAG,12 ,0 ,12 
86,599973071,LGSQ HPY HOLIDAY BAG,12 ,0 ,12 
86,599973072,XLVG-PRNTDBUCKET BAG,12 ,0 ,12 
86,599974075,TREAT BAGS,48 ,0 ,48 
86,651304209,GIFT ACESORIES KIT,16 ,0 ,16 
87,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
87,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
87,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
87,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
87,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
87,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
91,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
91,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
91,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
91,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
91,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
91,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
93,599951705,40IN PAWS STRIP WRAP,84 ,0 ,84 
93,599956015,30IN KRAFT DOG WRAP,12 ,0 ,12 
93,599973065,CUB-CAT W GIFT BAG,12 ,0 ,12 
93,599973066,CUB-CAT WFACE BAG,12 ,0 ,12 
93,599973067,CUB-DASHING SNOW BAG,12 ,0 ,12 
93,599973068,CUB-GREEN PRTND BAG,12 ,0 ,12 
93,599973069,CUB-CATFCE PRTND BAG,12 ,0 ,12 
93,599973070,LGSQ-CATFCE TREE BAG,12 ,0 ,12 
93,599973071,LGSQ HPY HOLIDAY BAG,12 ,0 ,12 
93,599973072,XLVG-PRNTDBUCKET BAG,12 ,0 ,12 
93,599974075,TREAT BAGS,12 ,0 ,12 
93,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
93,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
93,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
93,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
93,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
93,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
93,651304209,GIFT ACESORIES KIT,8 ,0 ,8 
94,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
94,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
94,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
94,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
94,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
94,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
95,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
95,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
95,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
95,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
95,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
95,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
96,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
96,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
96,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
96,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
96,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
96,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
97,599951705,40IN PAWS STRIP WRAP,24 ,0 ,24 
97,599956015,30IN KRAFT DOG WRAP,12 ,0 ,12 
97,599973065,CUB-CAT W GIFT BAG,12 ,0 ,12 
97,599973066,CUB-CAT WFACE BAG,12 ,0 ,12 
97,599973067,CUB-DASHING SNOW BAG,12 ,0 ,12 
97,599973068,CUB-GREEN PRTND BAG,12 ,0 ,12 
97,599973069,CUB-CATFCE PRTND BAG,12 ,0 ,12 
97,599973070,LGSQ-CATFCE TREE BAG,12 ,0 ,12 
97,599973071,LGSQ HPY HOLIDAY BAG,12 ,0 ,12 
97,599973072,XLVG-PRNTDBUCKET BAG,12 ,0 ,12 
97,599974075,TREAT BAGS,24 ,0 ,24 
97,651304209,GIFT ACESORIES KIT,8 ,0 ,8 
100,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
100,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
100,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
100,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
100,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
100,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
102,599951705,40IN PAWS STRIP WRAP,12 ,0 ,12 
102,599956015,30IN KRAFT DOG WRAP,12 ,0 ,12 
102,599973065,CUB-CAT W GIFT BAG,12 ,0 ,12 
102,599973066,CUB-CAT WFACE BAG,12 ,0 ,12 
102,599973067,CUB-DASHING SNOW BAG,12 ,0 ,12 
102,599973068,CUB-GREEN PRTND BAG,12 ,0 ,12 
102,599973069,CUB-CATFCE PRTND BAG,12 ,0 ,12 
102,599973070,LGSQ-CATFCE TREE BAG,12 ,0 ,12 
102,599973071,LGSQ HPY HOLIDAY BAG,12 ,0 ,12 
102,599973072,XLVG-PRNTDBUCKET BAG,12 ,0 ,12 
102,599974075,TREAT BAGS,24 ,0 ,24 
102,651304209,GIFT ACESORIES KIT,8 ,0 ,8 
105,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
105,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
105,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
105,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
105,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
105,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
107,599951705,40IN PAWS STRIP WRAP,36 ,0 ,36 
107,599956015,30IN KRAFT DOG WRAP,24 ,0 ,24 
107,599973065,CUB-CAT W GIFT BAG,12 ,0 ,12 
107,599973066,CUB-CAT WFACE BAG,12 ,0 ,12 
107,599973067,CUB-DASHING SNOW BAG,12 ,0 ,12 
107,599973068,CUB-GREEN PRTND BAG,12 ,0 ,12 
107,599973069,CUB-CATFCE PRTND BAG,12 ,0 ,12 
107,599973070,LGSQ-CATFCE TREE BAG,12 ,0 ,12 
107,599973071,LGSQ HPY HOLIDAY BAG,12 ,0 ,12 
107,599973072,XLVG-PRNTDBUCKET BAG,12 ,0 ,12 
107,599974075,TREAT BAGS,24 ,0 ,24 
107,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
107,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
107,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
107,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
