Store Number,Ship Date,Item Description,Item Number,Qty Shipped,Carrier,Tracking Number,Website
383,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280364799463,https://www.fedex.com/fedextrack/?trknbr=280364799463&trkqual=12028~280364799463~FDEG
413,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280360537383,https://www.fedex.com/fedextrack/?trknbr=280360537383&trkqual=12028~280360537383~FDEG
592,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280365379412,https://www.fedex.com/fedextrack/?trknbr=280365379412&trkqual=12028~280365379412~FDEG
647,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280365440919,https://www.fedex.com/fedextrack/?trknbr=280365440919&trkqual=12028~280365440919~FDEG
1066,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280361110246,https://www.fedex.com/fedextrack/?trknbr=280361110246&trkqual=12028~280361110246~FDEG
1106,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280361122375,https://www.fedex.com/fedextrack/?trknbr=280361122375&trkqual=12028~280361122375~FDEG
1624,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280334977163,https://www.fedex.com/fedextrack/?trknbr=280334977163&trkqual=12028~280334977163~FDEG
1692,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280337961494,https://www.fedex.com/fedextrack/?trknbr=280337961494&trkqual=12028~280337961494~FDEG
4201,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280358137544,https://www.fedex.com/fedextrack/?trknbr=280358137544&trkqual=12028~280358137544~FDEG
194,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280344292706,https://www.fedex.com/fedextrack/?trknbr=280344292706&trkqual=12028~280344292706~FDEG
706,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700408337,https://www.fedex.com/fedextrack/?trknbr=412700408337&trkqual=12028~412700408337~FDEG
5040,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410473,https://www.fedex.com/fedextrack/?trknbr=412700410473&trkqual=12028~412700410473~FDEG
5358,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410624,https://www.fedex.com/fedextrack/?trknbr=412700410624&trkqual=12028~412700410624~FDEG
3304,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700409984,https://www.fedex.com/fedextrack/?trknbr=412700409984&trkqual=12028~412700409984~FDEG
1756,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280338677403,https://www.fedex.com/fedextrack/?trknbr=280338677403&trkqual=12028~280338677403~FDEG
1817,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280326012910,https://www.fedex.com/fedextrack/?trknbr=280326012910&trkqual=12028~280326012910~FDEG
248,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280368493922,https://www.fedex.com/fedextrack/?trknbr=280368493922&trkqual=12028~280368493922~FDEG
294,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280377556579,https://www.fedex.com/fedextrack/?trknbr=280377556579&trkqual=12028~280377556579~FDEG
897,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280364980552,https://www.fedex.com/fedextrack/?trknbr=280364980552&trkqual=12028~280364980552~FDEG
978,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280377314717,https://www.fedex.com/fedextrack/?trknbr=280377314717&trkqual=12028~280377314717~FDEG
1054,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280368056125,https://www.fedex.com/fedextrack/?trknbr=280368056125&trkqual=12028~280368056125~FDEG
352,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280365798316,https://www.fedex.com/fedextrack/?trknbr=280365798316&trkqual=12028~280365798316~FDEG
385,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280372385865,https://www.fedex.com/fedextrack/?trknbr=280372385865&trkqual=12028~280372385865~FDEG
542,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280364662761,https://www.fedex.com/fedextrack/?trknbr=280364662761&trkqual=12028~280364662761~FDEG
599,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280360700360,https://www.fedex.com/fedextrack/?trknbr=280360700360&trkqual=12028~280360700360~FDEG
672,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280360778676,https://www.fedex.com/fedextrack/?trknbr=280360778676&trkqual=12028~280360778676~FDEG
1646,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280268296084,https://www.fedex.com/fedextrack/?trknbr=280268296084&trkqual=12028~280268296084~FDEG
3896,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280338091488,https://www.fedex.com/fedextrack/?trknbr=280338091488&trkqual=12028~280338091488~FDEG
3197,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700407834,https://www.fedex.com/fedextrack/?trknbr=412700407834&trkqual=12028~412700407834~FDEG
3503,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700407926,https://www.fedex.com/fedextrack/?trknbr=412700407926&trkqual=12028~412700407926~FDEG
5228,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700408109,https://www.fedex.com/fedextrack/?trknbr=412700408109&trkqual=12028~412700408109~FDEG
5301,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700408175,https://www.fedex.com/fedextrack/?trknbr=412700408175&trkqual=12028~412700408175~FDEG
3420,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700407904,https://www.fedex.com/fedextrack/?trknbr=412700407904&trkqual=12028~412700407904~FDEG
