Distribution Cener (DC),Banner,Commodity,Pick Type,Week 33,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47
6062,WM,Frozen Turkey,FPP,0,0,569,569,682,739,796,796,796,171,57,284,227,57
6064,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,957,957,0,0,0,636,636
6064,WM,Ham,Case Pick,0,0,0,3869,2073,1935,3869,7024,8513,2322,2322,2322,4643,0
6064,WM,Frozen Turkey,FPP,0,0,238,238,285,309,333,333,333,71,24,119,95,24
6065,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,4230,6567,0,0,0,0
6065,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,100,28,132,0,0,0,0
6065,SAMS,Ham,Case Pick,1200,1200,0,1200,0,1200,0,0,1200,0,1200,0,1200,0
6065,SAMS,Ham,FPP,0,0,0,0,56,56,84,84,84,28,0,56,56,0
6065,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1939,1939,0,0,0,533,533
6065,WM,Ham,Case Pick,0,0,0,2328,1293,1164,2328,4245,5121,1397,1397,1397,2793,0
6065,WM,Frozen Turkey,FPP,0,0,413,413,496,537,578,578,578,124,41,207,165,41
6071,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,809,809,0,0,0,440,440
6071,WM,Ham,Case Pick,0,0,0,3772,2041,1886,3772,6857,8299,2263,2263,2263,4527,0
6071,WM,Frozen Turkey,FPP,0,0,517,517,620,672,724,724,724,155,52,258,207,52
6072,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1987,1987,0,0,0,828,828
6072,WM,Ham,Case Pick,0,0,0,4901,2657,2450,4901,8910,10782,2941,2941,2941,5881,0
6072,WM,Frozen Turkey,FPP,0,0,536,536,643,696,750,750,750,161,54,268,214,54
6073,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,2085,2085,0,0,0,710,710
6073,WM,Ham,Case Pick,0,0,0,3197,1766,1598,3197,5826,7033,1918,1918,1918,3836,0
6073,WM,Frozen Turkey,FPP,0,0,455,455,546,591,637,637,637,136,45,227,182,45
6074,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,3040,5040,0,0,0,0
6074,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,56,19,68,0,0,0,0
6074,SAMS,Ham,Case Pick,1200,0,0,1200,0,0,0,0,1200,0,1200,0,0,0
6074,SAMS,Ham,FPP,0,0,0,0,28,28,56,56,56,28,0,56,28,0
6074,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,568,568,0,0,0,377,377
6074,WM,Ham,Case Pick,0,0,0,3468,1898,1734,3468,6312,7629,2081,2081,2081,4161,0
6074,WM,Frozen Turkey,FPP,0,0,490,490,588,637,686,686,686,147,49,245,196,49
6077,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,2469,2469,0,0,0,617,617
6077,WM,Ham,Case Pick,0,0,0,2900,1616,1450,2900,5291,6380,1740,1740,1740,3480,0
6077,WM,Frozen Turkey,FPP,0,0,539,539,647,700,754,754,754,162,54,269,216,54
6082,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,3494,3494,0,0,0,935,935
6082,WM,Ham,Case Pick,0,0,0,4689,2557,2345,4689,8532,10317,2814,2814,2814,5627,0
6082,WM,Frozen Turkey,FPP,0,0,587,587,705,764,822,822,822,176,59,294,235,59
6083,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1677,1677,0,0,0,787,787
6083,WM,Ham,Case Pick,0,0,0,3342,1941,1671,3342,6132,7353,2005,2005,2005,4011,0
6083,WM,Frozen Turkey,FPP,0,0,835,835,1003,1086,1170,1170,1170,251,84,418,334,84
6084,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,867,867,0,0,0,468,468
6084,WM,Ham,Case Pick,0,0,0,4547,2402,2274,4547,8240,10004,2728,2728,2728,5457,0
6084,WM,Frozen Turkey,FPP,0,0,876,876,1051,1139,1226,1226,1226,263,88,438,350,88
6085,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,741,741,0,0,0,476,476
6085,WM,Ham,Case Pick,0,0,0,1893,1115,947,1893,3480,4165,1136,1136,1136,2272,0
6085,WM,Frozen Turkey,FPP,0,0,503,503,603,653,704,704,704,151,50,251,201,50
6090,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,748,748,0,0,0,430,430
6090,WM,Ham,Case Pick,0,0,0,3259,1772,1629,3259,5927,7170,1955,1955,1955,3911,0
6090,WM,Frozen Turkey,FPP,0,0,572,572,687,744,801,801,801,172,57,286,229,57
6091,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,3960,6139,0,0,0,0
6091,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,88,28,105,0,0,0,0
6091,SAMS,Ham,Case Pick,1200,1200,0,1200,0,1200,1200,0,1200,0,1200,0,0,0
6091,SAMS,Ham,FPP,0,0,0,0,56,56,84,84,84,28,0,84,56,0
6091,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1428,1428,0,0,0,650,650
6091,WM,Ham,Case Pick,0,0,0,2947,1608,1474,2947,5362,6484,1768,1768,1768,3537,0
6091,WM,Frozen Turkey,FPP,0,0,400,400,480,520,560,560,560,120,40,200,160,40
6095,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1901,1901,0,0,0,663,663
6095,WM,Ham,Case Pick,0,0,0,4391,2378,2196,4391,7983,9661,2635,2635,2635,5270,0
6095,WM,Frozen Turkey,FPP,0,0,436,436,523,567,610,610,610,131,44,218,174,44
6096,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,3240,3285,0,0,0,0
6096,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,28,9,28,0,0,0,0
6096,SAMS,Ham,Case Pick,1200,0,0,1200,0,0,0,0,1200,0,1200,0,0,0
6096,SAMS,Ham,FPP,0,0,0,0,28,28,28,28,28,0,0,28,28,0
6096,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1408,1408,0,0,0,527,527
6096,WM,Ham,Case Pick,0,0,0,2561,1395,1281,2561,4659,5635,1537,1537,1537,3073,0
6096,WM,Frozen Turkey,FPP,0,0,539,539,647,701,755,755,755,162,54,270,216,54
6097,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,2865,2865,0,0,0,996,996
6097,WM,Ham,Case Pick,0,0,0,5798,3093,2899,5798,10519,12755,3479,3479,3479,6957,0
6097,WM,Frozen Turkey,FPP,0,0,733,733,879,952,1026,1026,1026,220,73,366,293,73
6099,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,324,324,0,0,0,640,640
6099,WM,Ham,Case Pick,0,0,0,3934,2160,1967,3934,7164,8655,2360,2360,2360,4721,0
6099,WM,Frozen Turkey,FPP,0,0,505,505,606,657,707,707,707,152,51,253,202,51
6858,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,2108,2108,0,0,0,670,670
6858,WM,Ham,Case Pick,0,0,0,4323,2349,2162,4323,7862,9512,2594,2594,2594,5188,0
6858,WM,Frozen Turkey,FPP,0,0,436,436,524,567,611,611,611,131,44,218,175,44
7010,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1492,1492,0,0,0,665,665
7010,WM,Ham,Case Pick,0,0,0,4422,2450,2211,4422,8061,9728,2653,2653,2653,5306,0
7010,WM,Frozen Turkey,FPP,0,0,645,645,774,838,903,903,903,193,64,322,258,64
7012,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,3570,2617,0,0,0,0
7012,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,66,19,79,0,0,0,0
7012,SAMS,Ham,Case Pick,1200,1200,0,1200,0,1200,0,0,1200,0,1200,0,0,0
7012,SAMS,Ham,FPP,0,0,0,0,56,56,84,84,84,28,0,84,56,0
7012,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1892,1892,0,0,0,691,691
7012,WM,Ham,Case Pick,0,0,0,3457,1863,1729,3457,6280,7606,2074,2074,2074,4148,0
7012,WM,Frozen Turkey,FPP,0,0,538,538,646,700,753,753,753,161,54,269,215,54
7013,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,959,959,0,0,0,618,618
7013,WM,Ham,Case Pick,0,0,0,4756,2550,2378,4756,8634,10462,2853,2853,2853,5707,0
7013,WM,Frozen Turkey,FPP,0,0,996,996,1195,1295,1395,1395,1395,299,100,498,398,100
7014,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1555,1555,0,0,0,624,624
7014,WM,Ham,Case Pick,0,0,0,2118,1189,1059,2118,3869,4661,1271,1271,1271,2542,0
7014,WM,Frozen Turkey,FPP,0,0,420,420,504,546,588,588,588,126,42,210,168,42
7015,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,2834,2834,0,0,0,824,824
7015,WM,Ham,Case Pick,0,0,0,4996,2694,2498,4996,9077,10991,2998,2998,2998,5995,0
7015,WM,Frozen Turkey,FPP,0,0,612,612,735,796,857,857,857,184,61,306,245,61
7016,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,2613,2613,0,0,0,902,902
7016,WM,Ham,Case Pick,0,0,0,3814,2074,1907,3814,6937,8391,2289,2289,2289,4577,0
7016,WM,Frozen Turkey,FPP,0,0,462,462,555,601,647,647,647,139,46,231,185,46
7017,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,3392,3392,0,0,0,821,821
7017,WM,Ham,Case Pick,0,0,0,4100,2189,2050,4100,7440,9020,2460,2460,2460,4920,0
7017,WM,Frozen Turkey,FPP,0,0,624,624,749,812,874,874,874,187,62,312,250,62
7018,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1369,1369,0,0,0,565,565
7018,WM,Ham,Case Pick,0,0,0,2884,1598,1442,2884,5259,6346,1731,1731,1731,3461,0
7018,WM,Frozen Turkey,FPP,0,0,580,580,696,753,811,811,811,174,58,290,232,58
7019,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,2311,2311,0,0,0,803,803
7019,WM,Ham,Case Pick,0,0,0,3965,2148,1983,3965,7208,8724,2379,2379,2379,4758,0
7019,WM,Frozen Turkey,FPP,0,0,398,398,478,518,557,557,557,119,40,199,159,40
7021,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,851,851,0,0,0,520,520
7021,WM,Ham,Case Pick,0,0,0,3542,1921,1771,3542,6440,7792,2125,2125,2125,4250,0
7021,WM,Frozen Turkey,FPP,0,0,732,732,878,951,1024,1024,1024,220,73,366,293,73
7023,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1197,1197,0,0,0,462,462
7023,WM,Ham,Case Pick,0,0,0,2216,1255,1108,2216,4051,4875,1329,1329,1329,2659,0
7023,WM,Frozen Turkey,FPP,0,0,530,530,636,689,741,741,741,159,53,265,212,53
7024,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,4140,5974,0,0,0,0
7024,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,56,19,59,0,0,0,0
7024,SAMS,Ham,Case Pick,1200,0,0,1200,0,0,0,0,1200,0,1200,0,0,0
7024,SAMS,Ham,FPP,0,0,0,0,56,0,56,56,56,28,0,56,28,0
7024,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,930,930,0,0,0,664,664
7024,WM,Ham,Case Pick,0,0,0,2644,1497,1322,2644,4834,5816,1586,1586,1586,3173,0
7024,WM,Frozen Turkey,FPP,0,0,440,440,528,572,616,616,616,132,44,220,176,44
7030,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,3635,5138,0,0,0,0
7030,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,38,9,43,0,0,0,0
7030,SAMS,Ham,Case Pick,1200,0,0,1200,0,0,1200,0,1200,0,1200,0,0,0
7030,SAMS,Ham,FPP,0,0,0,0,28,28,28,28,28,28,0,28,28,0
7030,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1937,1937,0,0,0,755,755
7030,WM,Ham,Case Pick,0,0,0,2500,1392,1250,2500,4561,5501,1500,1500,1500,3000,0
7030,WM,Frozen Turkey,FPP,0,0,544,544,653,707,762,762,762,163,54,272,218,54
7048,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,518,518,0,0,0,338,338
7048,WM,Ham,Case Pick,0,0,0,2250,1229,1125,2250,4095,4951,1350,1350,1350,2700,0
7048,WM,Frozen Turkey,FPP,0,0,383,383,460,498,537,537,537,115,38,192,153,38
7055,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1898,1898,0,0,0,597,597
7055,WM,Ham,Case Pick,0,0,0,3864,2128,1932,3864,7039,8500,2318,2318,2318,4636,0
7055,WM,Frozen Turkey,FPP,0,0,496,496,595,645,694,694,694,149,50,248,198,50
7077,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,4860,7681,0,0,0,0
7077,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,75,19,105,0,0,0,0
7077,SAMS,Ham,Case Pick,1200,0,0,1200,0,0,1200,0,1200,0,1200,0,0,0
7077,SAMS,Ham,FPP,0,0,0,0,56,56,56,56,56,28,0,56,56,0
7077,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,543,543,0,0,0,342,342
7077,WM,Ham,Case Pick,0,0,0,2530,1381,1265,2530,4604,5566,1518,1518,1518,3036,0
7077,WM,Frozen Turkey,FPP,0,0,457,457,549,594,640,640,640,137,46,229,183,46
7079,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,5429,7060,0,0,0,0
7079,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,56,19,59,0,0,0,0
7079,SAMS,Ham,Case Pick,1200,0,0,1200,0,1200,0,0,1200,0,1200,0,0,0
7079,SAMS,Ham,FPP,0,0,0,0,28,56,28,28,28,28,0,28,28,0
7079,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,880,880,0,0,0,572,572
7079,WM,Ham,Case Pick,0,0,0,2138,1217,1069,2138,3912,4704,1283,1283,1283,2566,0
7079,WM,Frozen Turkey,FPP,0,0,497,497,597,646,696,696,696,149,50,249,199,50
7084,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1087,1087,0,0,0,534,534
7084,WM,Ham,Case Pick,0,0,0,3495,1870,1748,3495,6344,7690,2097,2097,2097,4195,0
7084,WM,Frozen Turkey,FPP,0,0,491,491,589,638,687,687,687,147,49,245,196,49
8348,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,653,653,0,0,0,322,322
8348,WM,Ham,Case Pick,0,0,0,1700,935,850,1700,3096,3739,1020,1020,1020,2040,0
8348,WM,Frozen Turkey,FPP,0,0,582,582,699,757,815,815,815,175,58,291,233,58
8397,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,13025,16885,0,0,0,0
8397,SAMS,Ham,Case Pick,2400,2400,0,2400,0,2400,2400,0,2400,0,2400,0,1200,0
8397,SAMS,Ham,FPP,0,0,0,0,140,140,196,168,196,84,0,168,140,0
8851,SAMS,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,0,6300,9412,0,0,0,0
8851,SAMS,Fresh Turkey,FPP,0,0,0,0,0,0,0,313,75,389,0,0,0,0
8851,SAMS,Ham,Case Pick,2400,1200,0,2400,0,1200,2400,0,1200,0,1200,0,1200,0
8851,SAMS,Ham,FPP,0,0,0,0,112,84,84,112,112,56,0,112,84,0
8851,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,1445,1445,0,0,0,401,401
8851,WM,Ham,Case Pick,0,0,0,2015,1108,1008,2015,3670,4433,1209,1209,1209,2418,0
8851,WM,Frozen Turkey,FPP,0,0,311,311,374,405,436,436,436,93,31,156,125,31
8852,WM,Fresh Turkey,Case Pick,0,0,0,0,0,0,0,598,598,0,0,0,467,467
8852,WM,Ham,Case Pick,0,0,0,3252,1776,1626,3252,5918,7154,1951,1951,1951,3902,0
8852,WM,Frozen Turkey,FPP,0,0,515,515,618,670,721,721,721,155,52,258,206,52
