Store Number,Start Date,Current Delivery,Current MP Delivery Window,Updated Delivery,Updated MP Delivery Window,COMMENTS
1133,6/17/2025,Same Day Delivery,14:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
1156,6/17/2025,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
1191,6/17/2025,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
1238,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1243,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1261,6/17/2025,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
1287,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
1288,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1290,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1312,6/17/2025,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
1322,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1337,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1345,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1399,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1465,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1498,6/17/2025,Same Day Delivery,18:00:00-21:00:00,Same Day Delivery,16:00:00-21:00:00,
1552,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1558,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1613,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1614,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
1662,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1774,6/17/2025,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,18:00:00-04:00:00,
1842,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
1849,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2005,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2134,6/17/2025,Same Day Delivery,14:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
2137,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2247,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2472,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2496,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
2704,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2793,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2836,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2845,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2908,6/17/2025,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
2929,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3182,6/17/2025,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
3289,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3304,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3305,6/17/2025,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
3503,6/17/2025,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,18:00:00-04:00:00,
3595,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
3612,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3626,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3658,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
3768,6/17/2025,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
3770,6/17/2025,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
3889,6/17/2025,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
4224,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
4250,6/17/2025,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
4458,6/17/2025,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
4477,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
4574,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5118,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5320,6/17/2025,Same Day Delivery,18:00:00-21:00:00,Same Day Delivery,16:00:00-21:00:00,
5346,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
5481,6/17/2025,Same Day Delivery,14:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
5787,6/17/2025,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
5879,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
6789,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
6879,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
6958,6/17/2025,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
