33,Northeast,3/26/24,2:45 PM,4:30 PM,Northeast Regional Meeting,Omni Hotel,Oklahoma Station 4
33,Northeast,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
33,Northeast,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
34,Northeast,3/26/24,2:45 PM,4:30 PM,Northeast Regional Meeting,Omni Hotel,Oklahoma Station 4
34,Northeast,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
34,Northeast,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
37,Northeast,3/26/24,2:45 PM,4:30 PM,Northeast Regional Meeting,Omni Hotel,Oklahoma Station 4
37,Northeast,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
37,Northeast,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
38,Northeast,3/26/24,2:45 PM,4:30 PM,Northeast Regional Meeting,Omni Hotel,Oklahoma Station 4
38,Northeast,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
38,Northeast,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
39,Northeast,3/26/24,2:45 PM,4:30 PM,Northeast Regional Meeting,Omni Hotel,Oklahoma Station 4
39,Northeast,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
39,Northeast,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
40,Northeast,3/26/24,2:45 PM,4:30 PM,Northeast Regional Meeting,Omni Hotel,Oklahoma Station 4
40,Northeast,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
40,Northeast,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
1,Western,3/26/24,2:45 PM,4:30 PM,Western Regional Meeting,Omni Hotel,Five Moons 5
1,Western,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
1,Western,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
3,Western,3/26/24,2:45 PM,4:30 PM,Western Regional Meeting,Omni Hotel,Five Moons 5
