Store Number,Item Number,Item Description,Zero Sales Vlookup (vs. 9/17 pull),Curr Str On Hand Qty
3621,667589684,HT 27G CLEAR TOTE,Zero Sales - 8 Weeks, 19 
5320,653492904,HT 5GAL TOTE RED,Zero Sales - 8 Weeks, 19 
2202,653486469,HART 12GAL TOTE BLU,Zero Sales - 8 Weeks, 18 
1003,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 18 
1883,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 18 
400,653486472,HART 40GAL TOTE BLU,Zero Sales - 8 Weeks, 18 
1326,653490273,HART 50GAL TOTE BLU,Zero Sales - 8 Weeks, 18 
906,653492902,HT 17GAL TOTE RED,Zero Sales - 8 Weeks, 18 
163,667589684,HT 27G CLEAR TOTE,Zero Sales - 8 Weeks, 18 
775,667589684,HT 27G CLEAR TOTE,Zero Sales - 8 Weeks, 18 
814,667589684,HT 27G CLEAR TOTE,Zero Sales - 8 Weeks, 18 
1054,667589684,HT 27G CLEAR TOTE,Zero Sales - 8 Weeks, 18 
5055,667589684,HT 27G CLEAR TOTE,Zero Sales - 8 Weeks, 18 
5448,667589684,HT 27G CLEAR TOTE,Zero Sales - 8 Weeks, 18 
5705,667589684,HT 27G CLEAR TOTE,Zero Sales - 8 Weeks, 18 
5330,653486469,HART 12GAL TOTE BLU,Zero Sales - 8 Weeks, 17 
1520,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 17 
1103,653483357,HART 27GAL TOTE BLU,Zero Sales - 8 Weeks, 17 
1631,653486472,HART 40GAL TOTE BLU,Zero Sales - 8 Weeks, 17 
3201,653486467,HART 5GAL TOTE BLU,Zero Sales - 8 Weeks, 17 
5214,653486467,HART 5GAL TOTE BLU,Zero Sales - 8 Weeks, 17 
2603,667589686,HT 40G CLEAR TOTE,Zero Sales - 8 Weeks, 17 
2630,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 16 
5337,653483357,HART 27GAL TOTE BLU,Zero Sales - 8 Weeks, 16 
2665,653490273,HART 50GAL TOTE BLU,Zero Sales - 8 Weeks, 16 
800,653492855,HT 12GAL TOTE RED,Zero Sales - 8 Weeks, 16 
862,653492902,HT 17GAL TOTE RED,Zero Sales - 8 Weeks, 16 
2355,653486469,HART 12GAL TOTE BLU,Zero Sales - 8 Weeks, 15 
4508,653486469,HART 12GAL TOTE BLU,Zero Sales - 8 Weeks, 15 
800,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 15 
2300,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 15 
4303,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 15 
2279,653483357,HART 27GAL TOTE BLU,Zero Sales - 8 Weeks, 15 
2726,653483357,HART 27GAL TOTE BLU,Zero Sales - 8 Weeks, 15 
2633,653490273,HART 50GAL TOTE BLU,Zero Sales - 8 Weeks, 15 
158,653492855,HT 12GAL TOTE RED,Zero Sales - 8 Weeks, 15 
7156,653492855,HT 12GAL TOTE RED,Zero Sales - 8 Weeks, 15 
703,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 15 
4298,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 15 
1736,653492902,HT 17GAL TOTE RED,Zero Sales - 8 Weeks, 15 
7301,653492902,HT 17GAL TOTE RED,Zero Sales - 8 Weeks, 15 
3170,667589684,HT 27G CLEAR TOTE,Zero Sales - 8 Weeks, 15 
1248,653492858,HT 40GAL TOTE RED,Zero Sales - 8 Weeks, 15 
1839,653492858,HT 40GAL TOTE RED,Zero Sales - 8 Weeks, 15 
772,653486469,HART 12GAL TOTE BLU,Zero Sales - 8 Weeks, 14 
3483,653486469,HART 12GAL TOTE BLU,Zero Sales - 8 Weeks, 14 
853,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 14 
2994,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 14 
3522,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 14 
4487,653483357,HART 27GAL TOTE BLU,Zero Sales - 8 Weeks, 14 
1549,653492855,HT 12GAL TOTE RED,Zero Sales - 8 Weeks, 14 
351,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 14 
1611,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 14 
2571,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 14 
220,667589684,HT 27G CLEAR TOTE,Zero Sales - 8 Weeks, 14 
471,653492900,HT 50GAL TOTE RED,Zero Sales - 8 Weeks, 14 
2055,653492900,HT 50GAL TOTE RED,Zero Sales - 8 Weeks, 14 
9,653492904,HT 5GAL TOTE RED,Zero Sales - 8 Weeks, 14 
394,653492904,HT 5GAL TOTE RED,Zero Sales - 8 Weeks, 14 
3518,653492904,HT 5GAL TOTE RED,Zero Sales - 8 Weeks, 14 
961,653486469,HART 12GAL TOTE BLU,Zero Sales - 8 Weeks, 13 
1526,653486469,HART 12GAL TOTE BLU,Zero Sales - 8 Weeks, 13 
1584,653486469,HART 12GAL TOTE BLU,Zero Sales - 8 Weeks, 13 
237,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 13 
973,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 13 
1992,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 13 
2633,653483360,HART 17GAL TOTE BLU,Zero Sales - 8 Weeks, 13 
931,653483357,HART 27GAL TOTE BLU,Zero Sales - 8 Weeks, 13 
5848,653483357,HART 27GAL TOTE BLU,Zero Sales - 8 Weeks, 13 
1367,653486472,HART 40GAL TOTE BLU,Zero Sales - 8 Weeks, 13 
2202,653490273,HART 50GAL TOTE BLU,Zero Sales - 8 Weeks, 13 
2320,653492855,HT 12GAL TOTE RED,Zero Sales - 8 Weeks, 13 
2504,653492855,HT 12GAL TOTE RED,Zero Sales - 8 Weeks, 13 
1769,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 13 
2025,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 13 
2546,667589685,HT 15G CLEAR TOTE,Zero Sales - 8 Weeks, 13 
1196,653492902,HT 17GAL TOTE RED,Zero Sales - 8 Weeks, 13 
5417,653492902,HT 17GAL TOTE RED,Zero Sales - 8 Weeks, 13 
3,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
61,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 5 
111,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 21 
120,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
261,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 13 
287,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, -   
307,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 19 
359,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 18 
449,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
457,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
463,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
469,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 5 
492,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 18 
529,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
533,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
542,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
557,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 14 
588,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
608,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 14 
618,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
653,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 18 
684,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 6 
708,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 4 
710,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
753,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
849,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
886,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 6 
896,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 6 
915,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
924,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
953,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 13 
958,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 13 
984,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
1044,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 28 
1055,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
1059,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
1091,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 2 
1128,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 6 
1153,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 6 
1158,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
1238,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 17 
1248,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
1285,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 17 
1312,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 19 
1326,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 6 
1338,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
1407,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
1424,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
1427,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
1447,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 14 
1495,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
1529,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 17 
1530,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 18 
1545,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
1555,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
1620,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 6 
1628,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
1633,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 13 
1640,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 5 
1666,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 5 
1673,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
1679,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 14 
1692,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
1709,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
1774,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 14 
1789,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 15 
1801,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 16 
1830,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 2 
1834,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
1835,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 13 
1864,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
1869,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
1939,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
1968,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 5 
2016,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
2103,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
2170,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 5 
2174,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 13 
2180,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
2185,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
2205,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
2214,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
2285,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 2 
2286,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 17 
2287,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 2 
2293,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
2307,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
2334,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
2355,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
2427,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 14 
2457,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 11 
2479,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
2482,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
2546,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 14 
2577,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
2585,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 15 
2586,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
2591,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 10 
2598,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 17 
2600,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 3 
2614,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
2618,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 8 
2679,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 7 
2690,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 6 
2706,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
2724,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 3 
2834,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
2857,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 24 
2867,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
2958,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
2963,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 9 
2989,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
3017,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 3 
3218,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
3431,653483360,HART 17GAL TOTE BLU,Zero Sales - 4 Weeks, 12 
