Distribution Center (DC),Item Number,Category,Pick Type,Supplier Number,Supplier Name
6059,9420598,Carving,FPP   ,460052943,Frey Farms
6059,9450059,White,Case Pick,460052943,Frey Farms
6059,9473972,Tigers,Case Pick,460052941,Frey Farms
6059,551690020,Carving,FPP   ,41392941,PREMIER MELON
6059,551710426,Pie ,Case Pick,460052941,Frey Farms
6059,565695234,Ornamental Mix,Case Pick,460052941,Frey Farms
6059,576952792,Autumn Colours,Case Pick,460052945,Frey Farms
6059,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
6059,654152931,Pie ,FPP   ,460052941,Frey Farms
6059,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6059,671128113,Black Cat / Midnight,Case Pick,460052941,Frey Farms
6062,9420464,Mini,Case Pick,460052941,Frey Farms
6062,9420499,Gourds,Case Pick,460052941,Frey Farms
6062,9420598,Carving,FPP   ,460052943,Frey Farms
6062,9450059,White,Case Pick,460052943,Frey Farms
6062,9473972,Tigers,Case Pick,460052941,Frey Farms
6062,551710426,Pie ,Case Pick,460052941,Frey Farms
6062,565695234,Ornamental Mix,Case Pick,460052941,Frey Farms
6062,576871421,Carving,FPP   ,464353940,Indian Hills Produce
6062,576952792,Autumn Colours,Case Pick,460052945,Frey Farms
6062,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
6062,654152931,Pie ,FPP   ,460052941,Frey Farms
6062,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6062,671128113,Black Cat / Midnight,Case Pick,460052942,Frey Farms
6064,9445464,Carving,FPP   ,468777940,Lusk Onion Co.
6064,556108565,Tigers,Case Pick,468777941,Lusk Onion Co.
6064,556108567,Mini,Case Pick,468777941,Lusk Onion Co.
6064,556108568,Gourds,Case Pick,468777941,Lusk Onion Co.
6064,556115967,Ornamental Mix,Case Pick,468777941,Lusk Onion Co.
6064,556152829,Autumn Colours,Case Pick,468777942,Lusk Onion Co.
6064,571317436,Pie ,Case Pick,468777941,Lusk Onion Co.
6064,571318252,Pie ,FPP   ,468777941,Lusk Onion Co.
6064,576219639,White,Case Pick,468777940,Lusk Onion Co.
6064,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6065,576811037,Carving,FPP   ,551424943,Midwest Best
6065,585138309,White,Case Pick,551424940,Midwest Best Produce
6065,585138310,Autumn Colours,Case Pick,551424943,Midwest Best Produce
6065,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
6065,653976454,Tigers,Case Pick,551424940,Midwest Best Produce
6065,653976455,Mini,Case Pick,551424940,Midwest Best Produce
6065,654012019,Gourds,Case Pick,551424940,Midwest Best Produce
6065,654319933,Pie ,Case Pick,551424940,Midwest Best Produce
6065,654394136,Ornamental Mix,Case Pick,551424940,Midwest Best Produce
6065,654424766,Pie ,FPP   ,551424940,Midwest Best Produce
6065,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6065,671128113,Black Cat / Midnight,Case Pick,460052943,Frey Farms
6071,550813548,Gourds,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6071,550813559,Tigers,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6071,550876476,Ornamental Mix,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6071,550937075,White,Case Pick,231772943,Bottomley Evergreens and Farms Inc.
6071,551690702,Autumn Colours,Case Pick,231772942,Bottomley Evergreens and Farms Inc.
6071,551701181,Pie ,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6071,595309333,Carving,FPP   ,71714940,Ruby
6071,654194076,Pie ,FPP   ,231772942,Bottomley Evergreens and Farms Inc.
6071,654461045,Mini,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6071,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6072,9420464,Mini,Case Pick,460052941,Frey Farms
6072,9420499,Gourds,Case Pick,460052941,Frey Farms
6072,9420598,Carving,FPP   ,460052943,Frey Farms
6072,9450059,White,Case Pick,460052943,Frey Farms
6072,9473972,Tigers,Case Pick,460052941,Frey Farms
6072,551710426,Pie ,Case Pick,460052941,Frey Farms
6072,565695234,Ornamental Mix,Case Pick,460052941,Frey Farms
6072,576952792,Autumn Colours,Case Pick,460052945,Frey Farms
6072,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
6072,654152931,Pie ,FPP   ,460052941,Frey Farms
6072,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6073,9446423,Carving,FPP   ,257662944,Fifer Orchards
6073,9478249,Carving,FPP   ,231772942,Bottomley Evergreens & Farms
6073,550813548,Gourds,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6073,550813559,Tigers,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6073,550876476,Ornamental Mix,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6073,550937075,White,Case Pick,231772943,Bottomley Evergreens and Farms Inc.
6073,551690702,Autumn Colours,Case Pick,231772942,Bottomley Evergreens and Farms Inc.
6073,551701181,Pie ,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6073,654194076,Pie ,FPP   ,231772942,Bottomley Evergreens and Farms Inc.
6073,654461045,Mini,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6073,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6074,585138309,White,Case Pick,551424940,Midwest Best Produce
6074,594460141,Carving,FPP   ,260448941,SMP
6074,595014639,Gourds,Case Pick,38755942,Mouzin
6074,595014642,Mini,Case Pick,38755942,Mouzin
6074,595014644,Tigers,Case Pick,38755942,Mouzin
6074,595014646,Pie ,Case Pick,38755942,Mouzin
6074,595600878,Autumn Colours,Case Pick,447713947,"Wiers Family Farms, Inc."
6074,596932031,Ornamental Mix,Case Pick,38755942,Mouzin
6074,654137665,Pie ,FPP   ,38755942,Mouzin
6074,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6074,671128113,Black Cat / Midnight,Case Pick,460052944,Frey Farms
6077,9420464,Mini,Case Pick,460052941,Frey Farms
6077,9420499,Gourds,Case Pick,460052941,Frey Farms
6077,9420598,Carving,FPP   ,460052943,Frey Farms
6077,9450059,White,Case Pick,460052943,Frey Farms
6077,9473972,Tigers,Case Pick,460052941,Frey Farms
6077,551710426,Pie ,Case Pick,460052941,Frey Farms
6077,565695234,Ornamental Mix,Case Pick,460052941,Frey Farms
6077,576952792,Autumn Colours,Case Pick,460052945,Frey Farms
6077,585922797,Carving,FPP   ,232772940,Freyco Produce Inc
6077,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
6077,654152931,Pie ,FPP   ,460052941,Frey Farms
6077,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6082,9420464,Mini,Case Pick,460052941,Frey Farms
6082,9420499,Gourds,Case Pick,460052941,Frey Farms
6082,9420598,Carving,FPP   ,460052943,Frey Farms
6082,9450059,White,Case Pick,460052943,Frey Farms
6082,9473972,Tigers,Case Pick,460052941,Frey Farms
6082,551710426,Pie ,Case Pick,460052941,Frey Farms
6082,565695234,Ornamental Mix,Case Pick,460052941,Frey Farms
6082,576811037,Carving,FPP   ,551424943,Midwest Best Produce
6082,576952792,Autumn Colours,Case Pick,460052945,Frey Farms
6082,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
6082,654152931,Pie ,FPP   ,460052941,Frey Farms
6082,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6082,671128113,Black Cat / Midnight,Case Pick,460052945,Frey Farms
6083,9445464,Carving,FPP   ,468777940,Lusk Onion Co.
6083,556108565,Tigers,Case Pick,468777941,Lusk Onion Co.
6083,556108567,Mini,Case Pick,468777941,Lusk Onion Co.
6083,556108568,Gourds,Case Pick,468777941,Lusk Onion Co.
6083,556115967,Ornamental Mix,Case Pick,468777941,Lusk Onion Co.
6083,556152829,Autumn Colours,Case Pick,468777942,Lusk Onion Co.
6083,571317436,Pie ,Case Pick,468777941,Lusk Onion Co.
6083,571318252,Pie ,FPP   ,468777941,Lusk Onion Co.
6083,576219639,White,Case Pick,468777940,Lusk Onion Co.
6083,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6084,9445464,Carving,FPP   ,468777940,Lusk Onion Co.
6084,556108565,Tigers,Case Pick,468777941,Lusk Onion Co.
6084,556108567,Mini,Case Pick,468777941,Lusk Onion Co.
6084,556108568,Gourds,Case Pick,468777941,Lusk Onion Co.
6084,556115967,Ornamental Mix,Case Pick,468777941,Lusk Onion Co.
6084,556152829,Autumn Colours,Case Pick,468777942,Lusk Onion Co.
6084,571317436,Pie ,Case Pick,468777941,Lusk Onion Co.
6084,571318252,Pie ,FPP   ,468777941,Lusk Onion Co.
6084,576219639,White,Case Pick,468777940,Lusk Onion Co.
6084,595309333,Carving,FPP   ,71714940,Ruby
6084,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6085,576811037,Carving,FPP   ,551424943,Midwest Best
6085,577185803,White,Case Pick,38755942,Mouzin
6085,585138310,Autumn Colours,Case Pick,551424943,Midwest Best Produce
6085,595014639,Gourds,Case Pick,38755942,Mouzin
6085,595014642,Mini,Case Pick,38755942,Mouzin
6085,595014644,Tigers,Case Pick,38755942,Mouzin
6085,595014646,Pie ,Case Pick,38755942,Mouzin
6085,596932031,Ornamental Mix,Case Pick,38755942,Mouzin
6085,654137665,Pie ,FPP   ,38755942,Mouzin
6085,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6085,664928610,Carving,FPP   ,105265940,Alsum Farms and Produce
6090,9445401,Carving,FPP   ,656883946,EAGLE FARMS
6090,9468330,Gourds,Case Pick,518840941,Fewel Farms
6090,9468337,Mini,Case Pick,518840941,Fewel Farms
6090,9468344,Tigers,Case Pick,518840941,Fewel Farms
6090,551710425,Pie ,Case Pick,518840941,Fewel Farms
6090,571422083,Ornamental Mix,Case Pick,518840941,Fewel Farms
6090,576219639,White,Case Pick,468777940,Lusk Onion Co.
6090,654152708,Pie ,FPP   ,518840941,Fewel Farms
6090,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6090,662100908,Autumn Colours,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
6090,671128113,Black Cat / Midnight,Case Pick,460052946,Frey Farms
6091,9478249,Carving,FPP   ,231772942,Bottomley Evergreens & Farms
6091,550813548,Gourds,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6091,550813559,Tigers,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6091,550876476,Ornamental Mix,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6091,550937075,White,Case Pick,231772943,Bottomley Evergreens and Farms Inc.
6091,551690702,Autumn Colours,Case Pick,231772942,Bottomley Evergreens and Farms Inc.
6091,551701181,Pie ,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6091,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
6091,654194076,Pie ,FPP   ,231772942,Bottomley Evergreens and Farms Inc.
6091,654461045,Mini,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6091,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6095,9420464,Mini,Case Pick,460052941,Frey Farms
6095,9420499,Gourds,Case Pick,460052941,Frey Farms
6095,9420598,Carving,FPP   ,460052943,Frey Farms
6095,9450059,White,Case Pick,460052943,Frey Farms
6095,9473972,Tigers,Case Pick,460052941,Frey Farms
6095,551710426,Pie ,Case Pick,460052941,Frey Farms
6095,565695234,Ornamental Mix,Case Pick,460052941,Frey Farms
6095,576479938,Carving,FPP   ,455811943,Global Produce Sales
6095,576952792,Autumn Colours,Case Pick,460052945,Frey Farms
6095,654152931,Pie ,FPP   ,460052941,Frey Farms
6095,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6095,665782690,Carving,FPP   ,45228940,PJC Farms INC.
6096,9446423,Carving,FPP   ,257662944,Fifer Orchards
6096,550813548,Gourds,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6096,550813559,Tigers,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6096,550876476,Ornamental Mix,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6096,551701181,Pie ,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6096,582608529,Carving,FPP   ,60198940,Canam Pepper Company
6096,585767885,Autumn Colours,Case Pick,60198940,Canam Pepper Company
6096,595340374,White,Case Pick,60198940,Canam Pepper Company
6096,654194076,Pie ,FPP   ,231772942,Bottomley Evergreens and Farms Inc.
6096,654461045,Mini,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6096,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6097,9420464,Mini,Case Pick,460052941,Frey Farms
6097,9420499,Gourds,Case Pick,460052941,Frey Farms
6097,9420598,Carving,FPP   ,460052943,Frey Farms
6097,9445352,Carving,FPP   ,38755940,Mouzin
6097,9473972,Tigers,Case Pick,460052941,Frey Farms
6097,9478249,Carving,FPP   ,231772942,Bottomley Evergreens & Farms
6097,551710426,Pie ,Case Pick,460052941,Frey Farms
6097,565695234,Ornamental Mix,Case Pick,460052941,Frey Farms
6097,576952792,Autumn Colours,Case Pick,460052945,Frey Farms
6097,577185803,White,Case Pick,38755942,Mouzin
6097,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
6097,654152931,Pie ,FPP   ,460052941,Frey Farms
6097,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6099,9478249,Carving,FPP   ,231772942,Bottomley Evergreens and Farms Inc.
6099,550813548,Gourds,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6099,550813559,Tigers,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6099,550876476,Ornamental Mix,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6099,550937075,White,Case Pick,231772943,Bottomley Evergreens and Farms Inc.
6099,551690702,Autumn Colours,Case Pick,231772942,Bottomley Evergreens and Farms Inc.
6099,551701181,Pie ,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6099,581367056,Carving,FPP   ,393843940,Scotlynn Sweetpac Growers
6099,654194076,Pie ,FPP   ,231772942,Bottomley Evergreens and Farms Inc.
6099,654461045,Mini,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6099,661684435,Candy Corn,Case Pick,460052940,Frey Farms
6858,9478249,Carving,FPP   ,231772942,Bottomley Evergreens & Farms
6858,550813548,Gourds,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6858,550813559,Tigers,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6858,550876476,Ornamental Mix,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6858,550937075,White,Case Pick,231772943,Bottomley Evergreens and Farms Inc.
6858,551690702,Autumn Colours,Case Pick,231772942,Bottomley Evergreens and Farms Inc.
6858,551701181,Pie ,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6858,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
6858,654194076,Pie ,FPP   ,231772942,Bottomley Evergreens and Farms Inc.
6858,654461045,Mini,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
6858,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7010,9445464,Carving,FPP   ,468777940,Lusk Onion Co.
7010,556108565,Tigers,Case Pick,468777941,Lusk Onion Co.
7010,556108567,Mini,Case Pick,468777941,Lusk Onion Co.
7010,556108568,Gourds,Case Pick,468777941,Lusk Onion Co.
7010,556115967,Ornamental Mix,Case Pick,468777941,Lusk Onion Co.
7010,556152829,Autumn Colours,Case Pick,468777942,Lusk Onion Co.
7010,571317436,Pie ,Case Pick,468777941,Lusk Onion Co.
7010,571318252,Pie ,FPP   ,468777941,Lusk Onion Co.
7010,576219639,White,Case Pick,468777940,Lusk Onion Co.
7010,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7012,9420605,Carving,FPP   ,447713946,"Wiers Farm, Inc"
7012,582608529,Carving,FPP   ,60198940,Canam Pepper Company
7012,595014639,Gourds,Case Pick,38755942,Mouzin
7012,595014642,Mini,Case Pick,38755942,Mouzin
7012,595014644,Tigers,Case Pick,38755942,Mouzin
7012,595014646,Pie ,Case Pick,38755942,Mouzin
7012,595600878,Autumn Colours,Case Pick,447713947,"Wiers Family Farms, Inc."
7012,596900670,White,Case Pick,447713946,"Wiers Family Farms, Inc."
7012,596932031,Ornamental Mix,Case Pick,38755942,Mouzin
7012,654137665,Pie ,FPP   ,38755942,Mouzin
7012,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7013,9450199,Carving,FPP   ,913913941,VAN GRONINGEN
7013,556108565,Tigers,Case Pick,468777941,Lusk Onion Co.
7013,556108567,Mini,Case Pick,468777941,Lusk Onion Co.
7013,556108568,Gourds,Case Pick,468777941,Lusk Onion Co.
7013,556115967,Ornamental Mix,Case Pick,468777941,Lusk Onion Co.
7013,556152829,Autumn Colours,Case Pick,468777942,Lusk Onion Co.
7013,571317436,Pie ,Case Pick,468777941,Lusk Onion Co.
7013,571318252,Pie ,FPP   ,468777941,Lusk Onion Co.
7013,576075716,White,Case Pick,559955940,"Bay Baby Produce, Inc"
7013,595309333,Carving,FPP   ,71714940,The Ruby Company (dba The Ruby Company)
7013,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7014,550813548,Gourds,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7014,550813559,Tigers,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7014,550876476,Ornamental Mix,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7014,550937075,White,Case Pick,231772943,Bottomley Evergreens and Farms Inc.
7014,551690702,Autumn Colours,Case Pick,231772942,Bottomley Evergreens and Farms Inc.
7014,551701181,Pie ,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7014,581367056,Carving,FPP   ,393843940,Scotlynn Sweetpac Growers
7014,654194076,Pie ,FPP   ,231772942,Bottomley Evergreens and Farms Inc.
7014,654211567,Carving,FPP   ,755762940,Jones & Jones Enterprises
7014,654461045,Mini,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7014,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7014,671128113,Black Cat / Midnight,Case Pick,460052947,Frey Farms
7015,9445464,Carving,FPP   ,468777940,Lusk Onion Co.
7015,9450178,Carving,FPP   ,662212942,H C Schmieding
7015,556108565,Tigers,Case Pick,468777941,Lusk Onion Co.
7015,556108567,Mini,Case Pick,468777941,Lusk Onion Co.
7015,556108568,Gourds,Case Pick,468777941,Lusk Onion Co.
7015,556115967,Ornamental Mix,Case Pick,468777941,Lusk Onion Co.
7015,556152829,Autumn Colours,Case Pick,468777942,Lusk Onion Co.
7015,571317436,Pie ,Case Pick,468777941,Lusk Onion Co.
7015,571318252,Pie ,FPP   ,468777941,Lusk Onion Co.
7015,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7015,662187264,White,Case Pick,71714940,The Ruby Company (dba The Ruby Company)
7015,671128113,Black Cat / Midnight,Case Pick,460052948,Frey Farms
7016,9446423,Carving,FPP   ,257662944,Fifer Orchards
7016,9478249,Carving,FPP   ,231772942,Bottomley Evergreens & Farms
7016,550813548,Gourds,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7016,550813559,Tigers,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7016,550876476,Ornamental Mix,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7016,550937075,White,Case Pick,231772943,Bottomley Evergreens and Farms Inc.
7016,551690702,Autumn Colours,Case Pick,231772942,Bottomley Evergreens and Farms Inc.
7016,551701181,Pie ,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7016,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
7016,654194076,Pie ,FPP   ,231772942,Bottomley Evergreens and Farms Inc.
7016,654461045,Mini,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7016,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7017,9420605,Carving,FPP   ,447713946,"Wiers Farm, Inc"
7017,587308811,Carving,FPP   ,438275940,"Sun Fresh Farms, Inc."
7017,595014639,Gourds,Case Pick,38755942,Mouzin
7017,595014642,Mini,Case Pick,38755942,Mouzin
7017,595014644,Tigers,Case Pick,38755942,Mouzin
7017,595014646,Pie ,Case Pick,38755942,Mouzin
7017,595600878,Autumn Colours,Case Pick,447713947,"Wiers Family Farms, Inc."
7017,596900670,White,Case Pick,447713946,"Wiers Family Farms, Inc."
7017,596932031,Ornamental Mix,Case Pick,38755942,Mouzin
7017,654137665,Pie ,FPP   ,38755942,Mouzin
7017,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7018,9450178,Carving,FPP   ,662212942,H C Schmieding
7018,552183313,White,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
7018,556108565,Tigers,Case Pick,468777941,Lusk Onion Co.
7018,556108567,Mini,Case Pick,468777941,Lusk Onion Co.
7018,556108568,Gourds,Case Pick,468777941,Lusk Onion Co.
7018,556115967,Ornamental Mix,Case Pick,468777941,Lusk Onion Co.
7018,556152829,Autumn Colours,Case Pick,468777942,Lusk Onion Co.
7018,571317436,Pie ,Case Pick,468777941,Lusk Onion Co.
7018,571318252,Pie ,FPP   ,468777941,Lusk Onion Co.
7018,595309333,Carving,FPP   ,71714940,Ruby
7018,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7019,9420598,Carving,FPP   ,460052943,Frey Farms
7019,550813548,Gourds,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7019,550813559,Tigers,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7019,550876476,Ornamental Mix,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7019,550937075,White,Case Pick,231772943,Bottomley Evergreens and Farms Inc.
7019,551701181,Pie ,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7019,576871421,Carving,FPP   ,464353940,Indian Hills Produce
7019,576952792,Autumn Colours,Case Pick,460052945,Frey Farms
7019,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
7019,654194076,Pie ,FPP   ,231772942,Bottomley Evergreens and Farms Inc.
7019,654461045,Mini,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7019,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7021,9446752,Carving,FPP   ,457848940,Robert S Cox
7021,9468330,Gourds,Case Pick,518840941,Fewel Farms
7021,9468337,Mini,Case Pick,518840941,Fewel Farms
7021,9468344,Tigers,Case Pick,518840941,Fewel Farms
7021,551710425,Pie ,Case Pick,518840941,Fewel Farms
7021,571422083,Ornamental Mix,Case Pick,518840941,Fewel Farms
7021,581950124,Carving,FPP   ,518840940,Fewel Farms
7021,595064995,White,Case Pick,518840941,Fewel Farms
7021,654152708,Pie ,FPP   ,518840941,Fewel Farms
7021,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7021,661885535,Autumn Colours,Case Pick,518840941,Fewel Farms
7023,9446423,Carving,FPP   ,257662944,Fifer Orchards
7023,550813548,Gourds,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7023,550813559,Tigers,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7023,550876476,Ornamental Mix,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7023,550937075,White,Case Pick,231772943,Bottomley Evergreens and Farms Inc.
7023,551690702,Autumn Colours,Case Pick,231772942,Bottomley Evergreens and Farms Inc.
7023,551701181,Pie ,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7023,576479938,Carving,FPP   ,455811943,Global Produce Sales
7023,654194076,Pie ,FPP   ,231772942,Bottomley Evergreens and Farms Inc.
7023,654461045,Mini,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
7023,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7024,9420464,Mini,Case Pick,460052941,Frey Farms
7024,9420499,Gourds,Case Pick,460052941,Frey Farms
7024,9420598,Carving,FPP   ,460052943,Frey Farms
7024,9473972,Tigers,Case Pick,460052941,Frey Farms
7024,551710426,Pie ,Case Pick,460052941,Frey Farms
7024,565695234,Ornamental Mix,Case Pick,460052941,Frey Farms
7024,576952792,Autumn Colours,Case Pick,460052945,Frey Farms
7024,577185803,White,Case Pick,38755942,Mouzin
7024,585922797,Carving,FPP   ,533526941,Dan Avila & Sons
7024,594460141,Carving,FPP   ,260448941,SMP MARKETING LLC
