Region,Date,Start Time,End Time,Session,Room/Level
Rich Bourget,March 13th ,11:45 AM,12:45 PM,FrontEnd,Exhibit Hall - Level 1
Rich Bourget,March 13th ,1:00 PM,2:00 PM,Listening Session,South S330E-H - Level 3
Rich Bourget,March 13th ,2:15 PM,3:45 PM,Business Unit ,South A320A-H - Level 3
Rich Bourget,March 13th ,4:30 PM,5:30 PM,Consumables,Exhibit Hall - Level 1
Rich Bourget,March 13th ,5:45 PM,6:45 PM,Awards Celebration,North Exhibit Hall - Level 1
Rich Bourget,March 14th ,7:30 AM,8:30 AM,Apparel,Exhibit Hall - Level 1
Rich Bourget,March 14th ,8:45 AM,9:45 AM,People Session,South S320A-H - Level 3
Rich Bourget,March 14th ,10:00 AM,11:00 AM,Backroom,Exhibit Hall - Level 1
Rich Bourget,March 14th ,11:15 AM,12:00 PM,Lunch,Exhibit Hall - Level 1
Rich Bourget,March 14th ,12:15 PM,1:15 PM,Toys & Tech,Exhibit Hall - Level 1
Rich Bourget,March 14th ,1:30 PM,2:30 PM,Home,Exhibit Hall - Level 1
Rich Bourget,March 14th ,2:45 PM,3:45 PM,Seasonal,Exhibit Hall - Level 1
Rich Bourget,March 14th ,4:00 PM,5:00 PM,Closing General Session,North Exhibit Hall - Level 1
Rich Bourget,March 15th ,7:30 AM,9:00 AM,Business Unit Meeting,South S330A-D - Level 3
Rich Bourget,March 15th ,9:15 AM,11:00 AM,Business Unit Meeting,South S330E-H - Level 3
